"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",25.8535483870968,"Up",230593000,230593000,-177811000,52782000,-17500000,-10266000,-6957000,-277000,35282000,5918000,-7351000,13269000,41200000,-39546000,1654000,-17475000,-15821000,-15821000,-15821000,-15821000,143572000,142915000,70963000,156130000,57944000,25460000,30394000,428609000,2614470000,79857000,57504000,57436000,2751831000,3180440000,120385000,68709000,56340000,80544000,80491000,257269000,5053000,774819000,540023000,234796000,779872000,1037141000,2580601000,-433706000,-3596000,2143299000,2143299000,3180440000,-15821000,52844000,40262000,2452000,79737000,-29972000,-4093000,816000,-33249000,-80318000,-12681000,-102970000,-56482000,-56482000,-56482000,88126000,61393000,78081000,0.2289,0.15301,-0.06861,-0.00738,-0.00497,-4.93528,1.666,0.4839,0.0193,-0.17691,-0.17674,2.5785,23.96649,0.87311,-0.00531,0.02621,-0.93252,-2.3292
"12","2013_Q1",21.1781666666667,"Down",205929000,205929000,-154790000,51139000,-15430000,-6521000,-6441000,-2468000,35709000,-4605000,-4591000,-14000,31104000,20480000,51584000,-14034000,37550000,37550000,37550000,37550000,126439000,125440000,62438000,170670000,46635000,21186000,22991000,406182000,2675811000,75832000,63576000,62621000,2815219000,3221401000,106374000,57482000,55983000,75895000,75774000,238252000,3460000,781409000,577488000,203921000,784869000,1023121000,2602157000,-396156000,-7721000,2198280000,2198280000,3221401000,37550000,49572000,-7897000,-17532000,61693000,-21784000,-1e+06,2085000,-49996000,-2608000,-16564000,-29172000,-17475000,-17475000,-17475000,85281000,59443000,59999000,0.24833,0.1734,0.18234,0.01708,0.01166,1.59784,1.70484,0.46542,0.01845,0.42145,0.4203,2.31129,24.67288,0.67341,0.01236,0.01974,-0.78559,-1.87617
"13","2013_Q2",14.5528125,"Down",171797000,171797000,-137783000,34014000,-22265000,-10227000,-6841000,-5197000,11749000,-5876000,-9732000,3856000,5873000,17642000,23515000,-11245000,12270000,12270000,12270000,12270000,332809000,331311000,68182000,184690000,51699000,22324000,26748000,637380000,2637648000,62559000,86095000,85149000,2786302000,3423682000,76921000,52636000,6130000.00000001,72316000,72263000,155367000,307791000,764690000,585073000,179617000,1072481000,1227848000,2590972000,-383886000,-11252000,2195834000,2195834000,3423682000,12270000,49724000,-3270000,-45790000,12934000,-12827000,-4649000,-5788000,-23264000,244660000,-15902000,216201000,205871000,205871000,205871000,61473000,313921000,14101000,0.19799,0.06839,0.07142,0.00559,0.00358,1.14923,4.10242,0.55917,0.09169,0.13641,0.13628,1.90996,24.41226,0.15677,0.00375,0.00431,-0.30726,-1.60763
"14","2013_Q3",13.66015625,"Down",204525000,204525000,-199250000,5275000,-23766000,-15026000,-6774000,-1966000,-18491000,-10511000,-10930000,419000,-29002000,17635000,-11367000,-23673000,-35040000,-35040000,-35040000,-35040000,249531000,249531000,64607000,148286000,49445000,17945000,28880000,511869000,3018022000,54547000,82278000,81309000,3154847000,3666716000,91921000,57446000,5485000,54568000,54447000,151974000,306578000,856672000,711550000,145122000,1163250000,1315224000,2771969000,-418926000,-1551000,2351492000,2351492000,3666716000,-35040000,56865000,-7395000,48908000,63338000,-27201000,-683000,13341000,-127757000,-1856999.99999997,-15504000,-17360999.9999999,-81780000,-81780000,-81780000,38374000,312063000,83754000,0.02579,-0.09041,-0.17132,-0.0149,-0.00956,-2.39024,3.36814,0.55931,0.08511,-0.35079,-0.35099,2.04754,23.54129,0.83848,-0.00995,0.02379,1.62954,-3.38175
"15","2013_Q4",11.26609375,"Down",200825000,200825000,-191903000,8922000,-24277000,-16239000,-3305000,-4733000,-15355000,-11453000,-9662000,-1791000,-26808000,-21515000,-48323000,2058000,-46265000,-46265000,-46265000,-46265000,211434000,211434000,74417000,123537000,69371000,26778000,39880000,478759000,3015590000,54807000,87761000,86657000,3158158000,3636917000,95462000,63610000,3868000,59222000,59101000,158552000,306372000,880045000,709910000,170135000,1186417000,1344969000,2757383000,-465191000,-244000,2291948000,2291948000,3636917000,-46265000,60097000,23475000,-10503000,26804000,-32726000,-2690000,-19000,-35435000,-1824000,-12647000,-29466000,-38097000,-38097000,-38097000,44742000,310240000,-545000,0.04443,-0.07646,-0.23037,-0.02019,-0.01272,0.01178,3.01957,0.58682,0.0853,-0.45908,-0.45893,1.99275,22.74254,-0.00541,-0.01329,-0.00016,2.20835,-6.43478
"16","2014_Q1",10.7581967213115,"Down",168847000,168847000,-164291000,4556000,-22579000,-13851000,-5440000,-3288000,-18023000,-18448000,-10979000,-7469000,-36471000,-736033000,-772504000,190976000,-581528000,-581528000,-581528000,-581528000,206690000,206690000,81074000,132023000,111443000,25940000,50495000,531230000,2237774000,51095000,65879000,64690000,2354748000,2885978000,53847000,53847000,2505000,88209000,87198000,144561000,306130000,704720000,556246000,148474000,1010850000,1155411000,2782192000,-1046719000,-4906000,1730567000,1730567000,2885978000,-581528000,62878000,558537000,-28996000,10891000,-28059000,-29999.9999999963,31740000,-32999.9999999851,-1606999.99999999,-13495000,-15102000,-4243999.99999999,-4243999.99999999,-4744000.00000001,44855000,308635000,-203176000,0.02698,-0.10674,-3.44411,-0.33603,-0.2015,0.34938,3.67478,0.66765,0.10694,-5.76672,-5.77044,1.67437,17.16117,-2.0148,-0.21193,-0.07405,2.27277,-5.65638
"17","2014_Q2",8.22126984126984,"Down",159633000,159633000,-147355000,12278000,-25097000,-13896000,-4217000,-6984000,-12819000,-15037000,-13054000,-1983000,-27856000,-14024000,-41880000,4689000,-37191000,-37191000,-37191000,-37191000,318560000,272932000,75806000,133578000,125728000,30835000,59895000,653672000,2217311000,51917000,64085000,63256000,2333313000,2986985000,49958000,49958000,8095000,82731000,80873000,140784000,456152000,692352000,544096000,148256000,1148504000,1289288000,2784555000,-1083910000,-2948000,1697697000,1697697000,2986985000,-37191000,40459000,11586000,-24481000,-9627000,-11936000,-46220000,65000,-58091000,148889000,-14929000,133960000,66242000,66242000,66242000,27640000,464247000,-13466000,0.07691,-0.0803,-0.23298,-0.0219099999999999,-0.01245,0.36208,4.64308,0.75943,0.15542,-0.36332,-0.36332,1.55945,16.58474,-0.13155,-0.01303,-0.00471999999999999,5.27088,-11.36493
"18","2014_Q3",7.6846875,"Down",164562000,164562000,-160077000,4485000,-23342000,-9398000,-5153000,-8791000,-18857000,-12428000,-12311000,-117000.000000001,-31285000,-9215000.00000006,-40500000,-2621000,-43121000,-43121000.0000001,-43121000.0000001,-43121000.0000001,316775000,269133000,68693000,137644000,103636000,23593000,44964000,626748000,2211454000,52185000,77135000,76327000,2340774000,2967522000,49651000,49651000,11565000,94329000,92471000,155545000,468570000,686774000,540232000,146542000,1155344000,1310889000,2786795000,-1127031000,-3131000,1656633000,1656633000,2967522000,-43121000,41390000,12157000.0000001,20065000,30491000,-15356000,-2140000.00000001,812000.000000004,-18934000,-2851000,-12505000,-15356000,-3799000.00000001,-3799000.00000001,-3799000,22533000,480135000,29863000,0.02725,-0.11459,-0.26203,-0.02603,-0.01453,-0.69254,4.02937,0.7913,0.1618,-0.420919999999999,-0.420919999999999,1.60636,16.17111,0.29151,-0.01527,0.01058,7.24981,-8.6631
"19","2014_Q4",4.45796875,"Down",170938000,170938000,-167894000,3044000,-19346000,-8515000,-6587000,-4244000,-16302000,-16442000,-11615000,-4827000,-32744000,19628000,-13116000,16582000,3466000,3466000,3466000,3466000,295445000,245925000,67599000,127985000,105330000,19974000,50335000,596359000,2204178000,45328000,69459000,68754000,2318965000,2915324000,49232000,49232000,11733000,85854000,83996000,146819000,457744000,648521000,516715000,131806000,1106265000,1253084000,2789132000,-1123565000,-3327000,1662240000,1662240000,2915324000,3466000,41985000,-30394000,16516000,31573000,-16784000,-2063000,2597000,-30079000,-13274000,-11428000,-24702000,-23208000,-23208000,-23208000,25683000,469477000,8833000,0.01781,-0.09537,0.02028,0.00209000000000009,0.00119000000000007,2.54847,4.06187,0.75385,0.16104,0.03382,0.03379,1.66818,16.22172,0.0862,0.00125000000000006,0.00318000000000001,6.77616,-10.6755
"20","2015_Q1",5.81213114754098,"Up",140609000,140609000,-165055000,-24446000,-20837000,-9036000,-5783000,-6018000,-45283000,-8857000,-10566000,1709000,-54140000,-1465492000,-1519632000,409604000,-1110028000,-1110028000,-1110028000,-1110028000,270861000,270861000,107923000,114931000,63727000,15523000,48204000,557442000,729103000,27668000,122356000,54841000,879127000,1436569000,49052000,49052000,17498000,99062000,99062000,165612000,451048000,265581000,141076000,124505000,716629000,882241000,2790729000,-2233593000,-2808000,554328000,554328000,1436569000,-1110028000,38602000,1062135000,10402000,1111000,-19839000,-90000,50549000,25370000,9118000,-10042000,-924000,25557000,25557000,24936000,-6681000,468546000,-425722000,-0.17386,-0.32205,-7.89443,-2.00248,-0.77269,0.38352,3.36595,1.59155,0.32616,-10.83113,-10.84075,1.372,5.40887,-4.15399,-0.86152,-0.33041,-29.58913,-4.36555
"21","2015_Q2",5.47936507936508,"Down",152956000,152956000,-148152000,4804000,-19863000,-8834000,-4266000,-6763000,-15059000,-13276000,-10765000,-2511000,-28335000,-4884000,-33219000,-68000,-33287000,-33287000,-33287000,-33287000,179587000,179587000,118390000,115337000,92589000,18629000,66705000,505903000,827734000,23421000,118760000,55025000,969915000,1475818000,45387000,45387000,65719000,96976000,88898000,208082000,447779000,266393000,121799000,144594000,714172000,922254000,2792249000,-2235890000,-2795000,553564000,553564000,1475818000,-33287000,33090000,10593000,-13845000,-3449000,-17620000,-278000,-1501000,-121417000,44906000,-10791000,34115000,-90751000,-90751000,-91274000,18031000,513498000,-13366000,0.03141,-0.09845,-0.21762,-0.0601300000000005,-0.02255,0.40154,2.43127,1.66603,0.34794,-0.3245,-0.3245,1.49109,5.39641,-0.1303,-0.0249599999999999,-0.01002,18.51872,-22.17352
"22","2015_Q3",3.63453125,"Down",166263000,166263000,-158072000,8191000.00000001,-14298000,-8452000,-3579000,-2267000,-6107000,-13585000,-10734000,-2851000,-19692000,2754000.00000024,-16938000.0000002,260000,-16678000.0000001,-16678000.0000001,-16678000.0000001,-16678000.0000001,205868000,205868000,112159000,109207000,92162000,17442000,67458000,519396000,1119458000,30954000,116841000,52721000,1267253000,1786649000,42522000,42522000,9121000,101453000,93375000,153096000,538589000,367314000,223868000,143446000,905903000,1058999000,2983390000,-2252568000,-3172000,727650000,727650000,1786649000,-16678000,38974000,2578000,12130000,37004000,-23512000,-1595000,129000.000000007,-34130000,33374000,-9826000,23548000,26422000,26422000,26281000,32867000,547710000,21224999.9999999,0.04927,-0.03673,-0.10031,-0.02292,-0.00933,-1.27263,3.39262,1.45537,0.30656,-0.123509999999999,-0.123510000000001,1.23125,5.38856,0.15718,-0.01015,0.01292,10.40077,-55.97544
"23","2015_Q4",2.73,"Down",162551000,162551000,-155733000,6818000,-13743000,-6693000,-2112000,-4938000,-6925000,-21341000,-12446000,-8895000,-28266000,5787000,-22479000,8259000,-14220000,-14220000,-14220000,-14220000,205708000,205708000,93599000,98109000,94323000,18431000,68695000,491739000,1112633000,30720000,123581000,59222000,1266934000,1758673000,49690000,49690000,11775000,83157000,75079000,144622000,534211000,365455000,222809000,142646000,899666000,1044288000,2984793000,-2266788000,-3620000,714385000,714385000,1758673000,-14220000,35496000,7273000,8221000,36770000,-23528000,-3000,65000,-23586000,-2618000,-10193000,-12811000,373000,373000,-160000,28571000,545986000,5005000,0.04194,-0.0426,-0.08748,-0.01991,-0.00809000000000002,-0.35197,3.40017,1.4618,0.31045,-0.10514,-0.10514,1.20188,5.28208,0.03701,-0.00875000000000003,0.00308000000000001,11.90991,-49.13762
"24","2016_Q1",3.46196721311475,"Up",79637000,79637000,-67823000,11814000,-12457000,-8657000,-1564000,-2236000,-642999.999999999,-14443000,-11033000,-3410000,-15086000,-229164000,-244250000,20624000,-223626000,-302998000,-302998000,-302998000,200714000,200714000,85992000,81711000,78271000,10942000,67329000,446688000,785218000,27534000,73049000,71107000,885801000,1332489000,52153000,52153000,10431000,77496000,77496000,140080000,479979000,290954000,147132000,143822000,770933000,911013000,3025974000,-2600776000,-3722000,421476000,421476000,1332489000,-223626000,18393000,208154000,14166000,43217000,-23706000,-3999.99999999977,-2674000,-32160000,3735000,-8967000,-15844000,-4787000,-4787000,-4994000.00000001,17750000,490410000,-12414000,0.14835,-0.00807,-3.80474,-0.7189,-0.22739,0.0409700000000001,3.18881,2.16148,0.36804,-2.0797,-2.0797,0.54661,2.8929,-0.08521,-0.2519,-0.01032,16.3209,-450.5381
"25","2016_Q2",7.86203125,"Up",148387000,148387000,-129519000,18868000,-14211000,-8276000,-1731000,-4204000,4657000,-9806000,-11120000,1314000,-5149000,-13141000,-18290000,-2106000,-20396000,-20396000,-20396000,-20396000,173389000,173389000,82929000,78597000,85833000,13130000,72703000,420748000,795052000,29644000,79654000,76904000,904350000,1325098000,46955000,46955000,16801000,66683000,66683000,130439000,494300000,295219000,146845000,148374000,789519000,919958000,3028403000,-2621172000,-2091000,405140000,405140000,1325098000,-20396000,27964000,15685000,-16636000,6617000,-18163000,-7000,-476000,-18646000,-5971000,-9411000,-15382000,-27411000,-27411000,-27325000,32621000,511101000,-72000,0.12715,0.03138,-0.13745,-0.05034,-0.01539,0.00353,3.22563,2.27072,0.38571,-0.13575,-0.13575,0.98761,2.69646,-0.00048,-0.01684,-5.99999999999993e-05,10.35259,72.51707
"26","2016_Q3",13.68265625,"Up",182007000,182007000,-137971000,44036000,-13996000,-7400000,-2232000,-4364000,30040000,-12732000,-10875000,-1857000,17308000,-3578999.99999997,13729000,768000,14497000,14497000,14497000,14497000,257591000,257591000,79932000,84074000,87949000,11614000,76335000,509546000,769380000,50989000,81940000,80570000,902309000,1411855000,49219000,49219000,108809000,64874000,64874000,222902000,402257000,290537000,131459000,159078000,692794000,915696000,3103117000,-2606675000,-283000,496159000,496159000,1411855000,14497000.0000001,37506000,-4507000,-1557000,45939000,-15995000,-92000,-798000,-16885000,-6712000,-10909000,55450000,84504000,84504000,84202000,67546000,511066000,49226000,0.24195,0.16505,0.0796500000000003,0.02922,0.01027,3.3956,2.28596,1.84557,0.36198,0.0941500000000004,0.09181,1.18208,3.2224,0.31971,0.01117,0.03793,3.75263,8.43792
"27","2016_Q4",10.2819047619048,"Down",176247000,176247000,-133170000,43077000,-15310000,-7113000,-3706000,-4491000,27767000,-1663000,-8068000,6405000,26104000,-11001000,15103000,54456000,69559000,69559000,69559000,69559000,222517000,222517000,67662000,89761000,87571000,17125000,70446000,467511000,769455000,38635000,95341000,93487000,903431000,1370942000,49972000,49972000,12512000,50723000,50723000,113207000,389233000,236171000,81484000,154687000,625404000,738611000,3171307000,-2537116000,-1860000,632331000,632331000,1370942000,69559000,27762000,-39203000,-10306000,47812000,-20825000,-21000,4133000,-18140000,-107868000,-6512000,-64867000,-35195000,-35195000,-35074000,55529000,401745000,-30058000,0.24441,0.15755,0.39467,0.11,0.05074,-0.43212,4.1297,1.16808,0.29304,0.43194,0.41946,1.09444,3.92657,-0.18665,0.05476,-0.02366,3.22765,6.45471000000001
