"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",9.28387096774193,"Up",-1250047,-946381,-303666,-1250047,4221,4221,-1245826,-1245826,-1245826,-1245826,-1245826,-1245826,10990871,10990871,459887,76141,11450758,13218,13218,11463976,669843,594944,74899,669843,669843,33445373,-22651240,10794133,10794133,11463976,-1245826,843,654042,-78781,-669722,3943301,3273579,3273579,3273579,-1249204,0,-0.11542,-0.10867,17.09469,0.06206,0,-0.19942,-0.19942,1.72784,-0.11542,8.7983,8.79237
"12","2013_Q1",6.683,"Down",-1458633,-740370,-718263,-1458633,5605,5605,-1453028,-1453028,-1453028,-1453028,-1453028,-1453028,10035615,10035615,657833,61552,10693448,12548,12548,10705996,709559,691168,18391,709559,709559,34100705,-24104268,9996437,9996437,10705996,-1453028,854,654532,183929,-613713,-341359,-955256.000000001,-955256.000000001,-955256.000000001,-1457779,0,-0.14535,-0.13572,15.07056,0.07098,0,-0.21404,-0.21404,1.47253,-0.145350000000001,6.88418,6.88015
"13","2013_Q2",8.57265625,"Up",-1475049,-1019949,-455100,-1472549,7068,7068,-1465481,-1465481,-1465481,-1465481,-1465481,-1465481,18979031,18979031,254450,204450,19233481,13098,13098,19246579,847716,700795,146921,848549,848549,43967779,-25569749,18398030,18398030,19246579,-1465481,899,410715,-3908,-1057775,10052640,8943416,8943416,8943416,-1471650,0,-0.07965,-0.07614,22.66632,0.04612,0,-0.18817,-0.18817,2.36228,-0.07965,12.89643,12.88856
"14","2013_Q3",6.64671875,"Down",-2233492,-1556145,-677347,-2230992,12940,12940,-2218052,-2218052,-2218052,-2218052,-2218052,-2218052,17970320,17970320,390508,340474,18360828,15647,15647,18376475,1106166,868374,237792,1107833,1107833,45056443,-27787801,17268642,17268642,18376475,-2218052,1174,1037669,174221,-1004988,0,-1008711,-1008711,-1008711,-2229818,-9.09494701772928e-13,-0.12844,-0.1207,16.57364,0.06415,0,-0.24931,-0.24931,1.941,-0.12844,8.0591,8.05486
"15","2013_Q4",3.98890625,"Down",-2092404,-1622924,-469480,-2089904,12440,12440,-2077464,-2077464,-2077464,-2077464,-2077464,-2077464,16827617,16827617,556128,506062,17383745,19547,19547,17403292,1056045,725503,330542,1058545,1058545,46210012,-29865265,16344747,16344747,17403292,-2077464,1408,878577,60083,-1137396,1,-1142703,-1142703,-1142703,-2088496,0,-0.1271,-0.11937,16.4223,0.06476,0,-0.23164,-0.23164,1.82247,-0.1271,8.05729,8.05186
"16","2014_Q1",7.08688524590164,"Up",-1895934,-1881779,-14155,-1893434,11307,11307,-1882127,-1882127,-1882127,-1882127,-1882127,-1882127,15579309,15579309,155164,105067,15734473,26892,26892,15761365,650627,311924,338703,650627,650627,46858130,-31747392,15110738,15110738,15761365,-1882127,2178,808012,-166848,-1238785,0,-1248308,-1248308,-1248308,-1891256,4.54747350886464e-13,-0.12456,-0.11941,24.18355,0.04306,0,-0.20974,-0.20974,1.68387,-0.12456,8.23755,8.22807
"17","2014_Q2",6.51206349206349,"Down",-2337000,-2277000,-60000,-2335000,10000,10000,-2325000,-2325000,-2325000,-2325000,-2325000,-2325000,14201144,14201144,215147,123664,14417701,34230,34230,14451931,655467,457105,198362,655467,655467,47869019,-34072555,13796464,13796464,14451931,-2325000,3000,688000,-42000,-1676000,349000,-1378000,-1378000,-1378000,-2332000,0,-0.16852,-0.16088,21.99607,0.04751,0,-0.25803,-0.25803,1.53114,-0.16852,6.08968,6.08186
"18","2014_Q3",7.3653125,"Up",-2794000,-2758000,-36000,-2603000,7000,7000,-2596000,-2596000,-2596000,-2596000,-2596000,-2596000,12101796,12101796,474396,324245,12830091,75767,1048955,13879046,1303215,750106,553109,1341726,1835050,48712276,-36668280,12043996,12043996,13879046,-2596000,26000,709000,328000,-1533000,134000,-2099000,-2099000,-2099000,-2577000,7.27595761418343e-12,-0.21554,-0.18704,9.56238,0.15236,0,-0.28495,-0.28495,1.32201,-0.20706,4.69608,4.64917
"19","2014_Q4",8.11890625,"Up",-2660000,-2590000,-70000,-2458000,6000,6000,-2452000,-2452000,-2452000,-2452000,-2452000,-2452000,10363603,10363603,485862,335654,11268978,179141,1138605,12407583,1519929,804183,715746,1577259,2123680,49404118,-39120215,10283903,10283903,12407583,-2452000,22000,554000,81000,-1795000,134000,-1738000,-1738000,-1738000,-2436000,0,-0.23843,-0.19762,7.14466,0.20651,0,-0.26783,-0.26783,1.12329,-0.2264,4.25435,4.21627
"20","2015_Q1",7.6472131147541,"Down",-2923000,-2852000,-71000,-2751000,6000,6000,-2745000,-2745000,-2745000,-2745000,-2745000,-2745000,8211000,8211000,391000,241000,9056000,243000,1186000,10242000,1503000,787000,716000,1560000,2092000,50015000,-41865000,8150000,8150000,10242000,-2745000,34000,664000,-6000,-2053000,-18000,-2153000,-2153000,-2153000,-2717000,5.82076609134674e-11,-0.33681,-0.26801,5.80513,0.25669,6.93889390390723e-18,-0.29657,-0.29657,0.88053,-0.31617,3.02208,2.98473
"21","2015_Q2",8.1568253968254,"Up",-3673000,-3492000,-181000,-3117000,24000,-7000,-3093000,-3093000,-3093000,-3093000,-3093000,-3093000,2898000,2898000,563000,413000,4608000,479000,4767000,9375000,1997000,1145000,852000,2236000,3169000,51164000,-44958000,6206000,6206000,9375000,-3093000,126000,627000,65000,-2275000,-5000,-5313000,-5313000,-5313000,-2991000,0,-0.49839,-0.32992,2.06082,0.51063,0,-0.33125,-0.33125,0.66465,-0.43325,0.96891,0.92974
"22","2015_Q3",7.7240625,"Down",-4398000,-4373000,-24999.9999999999,-3481000,-249000,-249000,-3730000,-3730000,-3730000,-3730000,-3730000,-3730000,10051000,10051000,586000,436000,12009000,601000,4845000,16854000,1888000,1181000,707000,2667000,11614000,53928000,-48688000,5240000,5240000,16854000,-3730000,152000,801000,-395000,-3172000,10505000,7153000,7153000,7153000,-3329000,8061000,-0.71183,-0.22131,4.50281,2.21641,0.47828,-0.39252,-0.39252,0.55143,-0.26292,0.59778,0.57167
"23","2015_Q4",6.79015625,"Down",-5010000,-4917000,-93000,-3529000,-423000,-423000,-3952000,-3952000,-3952000,-3952000,-3952000,-3952000,6556000,6556000,835000,685000,9365000,1067000,5656000,15021000,3013000,1917000,1096000,3742000,12777000,54884000,-52640000,2244000,2244000,15021000,-3952000,172000,1112000,273000,-2395000,-53999.9999999981,-3495000,-3495000,-3495000,-3357000,8217000,-1.76114,-0.2631,2.50267,5.69385,0.54703,-0.40889,-0.40889,0.23217,-0.35039,-0.49479,-0.47067
"24","2016_Q1",4.85934426229508,"Down",-6251000,-6218000,-33000,-4695000,-429000,-429000,-5124000,-5124000,-5124000,-5124000,-5124000,-5124000,2685000,2685000,936000,786000,5873000,2657000,8258000,14131000,4607000,3407000,1200000,5374000,15516000,56379000,-57764000,-1385000,-1385000,14131000,-5124000,160000,1281000,382000,-3301000,301000,-3871000,-3871000,-3871000,-4535000,8336000,3.69964,-0.36261,1.09285,-11.20289,0.58991,-0.52289,-0.52289,-0.14134,-0.58513,-1.24609,-1.20362
"25","2016_Q2",3.895,"Down",-5886000,-5840000,-46000,-3754000,-629000,-629000,-4383000,-4496000,-4496000,-4496000,-4496000,-4496000,11821000,11821000,929000,779000,14926000,4814000,10380000,25306000,4920000,4253000,667000,5670000,16522000,71044000,-62260000,8784000,8784000,25306000,-4496000,174000,1490000,531000,-2301000,13860000,9136000,9136000,9136000,-3580000,9099000,-0.51184,-0.17767,2.63245,1.88092,0.35956,-0.432,-0.432,0.84401,-0.22897,0.76034,0.72509
"26","2016_Q3",3.90046875,"Up",-6743000,-6667000,-76000,-4008000,-631000,-631000,-4639000,-4639000,-4639000,-4639000,-4639000,-4639000,5441000,5441000,639000,489000,9443000,7053000,12606000,22049000,5088000,3956000,1132000,5325000,16441000,72507000,-66899000,5608000,5608000,22049000,-4639000,360000,1394000,118000,-2767000,-56000,-6380000,-6380000,-6380000,-3648000,9413000,-0.82721,-0.2104,1.77333,2.9317,0.42691,-0.34794,-0.34794,0.42062,-0.27739,-1.08882,-0.99102
"27","2016_Q4",2.66507936507936,"Down",-6831000,-6815000,-16000,-4309000,762000,-732000,-3547000,-3850000,-3850000,-3850000,-3850000,-3850000,2362000,2362000,2453000,1162000,8950000,7346000,12567000,21517000,5086000,3795000,1291000,5780000,18685000,73581000,-70749000,2832000,2832000,21517000,-3850000,427000,1535000,-2021000,-3909000,1975000,-3079000,-3079000,-3079000,-3882000,9730000,-1.35946,-0.17893,1.54844,6.59781,0.4522,-0.28576,-0.28576,0.2102,-0.24465,-1.89799,-1.70991
"28","2017_Q1",2.59645161290323,"Down",-6230000,-5629000,-601000,-3508000,-739000,-782000,-4247000,-6213000,-6102000,-6102000,-6102000,-6102000,8853000,8853000,1138000,938000,14753000,7295000,12494000,27247000,5176000,3538000,1638000,9905000,20815000,83283000,-76851000,6432000,6432000,27247000,-6102000,445000,2730000,689000,-2238000,8893000,6491000,6491000,6491000,-3063000,11910000,-0.94869,-0.22395,1.48945,3.23616,0.43711,-0.44347,-0.44347,0.46745,-0.28628,-0.99804,-0.87144
"29","2017_Q2",3.69301587301587,"Up",-6971000,-6811000,-160000,-4231000,-788000,-788000,-5019000,-5034000,-5006000,-5006000,-5006000,-5006000,7396000,7396000,1125000,925000,13601000,7103000,12278000,25879000,4900000,3920000,980000,11795000,20562000,87174000,-81857000,5317000,5317000,25879000,-5006000,435000,1273000,-682000,-3980000,2739000,-1457000,-1457000,-1457000,-3796000,12197000,-0.94151,-0.19344,1.15312,3.86722,0.47131,-0.26449,-0.26449,0.28092,-0.24695,-1.26475,-1.13472
"30","2017_Q3",2.25507936507937,"Down",-6586000,-6485000,-101000,-3017000,-767000,-767000,-3784000,1456000,1484000,1484000,1484000,1484000,4165000,4165000,1506000,786000,10359000,6567000,17237000,27596000,4825000,3344000,1481000,5517000,19950000,88019000,-80373000,7646000,7646000,27596000,1484000,405000,-4305000,111000,-2305000,-627000,-3231000,-3231000,-3231000,-2612000,11848000,0.19409,0.05378,1.87765,2.60921,0.42934,0.0734,0.0734,0.3782,0.0672099999999999,-2.94142,-2.54657
"31","2017_Q4",1.66761904761905,"Down",-5844000,-5781000,-63000,-2764000,-1677000,-793000,-4441000,-5720000,-5692000,-5692000,-5692000,-5692000,3867000,3867000,1143000,943000,10104000,6419000,16107000,26211000,5325000,4035000,1290000,6053000,22465000,89811000,-86065000,3746000,3746000,26211000,-5692000,473000,2963000,32000,-2224000,2123000,-298000,-298000,-298000,-2291000,13877000,-1.51949,-0.21716,1.66925,5.99706,0.52943,-0.28072,-0.28072,0.18475,-0.28237,-4.36927,-3.62156
"32","2018_Q1",1.77377049180328,"Up",-6031000,-5942000,-89000,-2151000,-678000,-678000,-2829000,-3622000,-2771000,-2771000,-2771000,-2771000,4219000,4219000,714000,714000,8806000,6215000,15111000,23917000,5094000,3885000,1209000,5774000,21302000,91451000,-88836000,2615000,2615000,23917000,-2771000,452000,786000,1239000,-294000,695000,152000,152000,152000,-1699000,14008000,-1.05966,-0.11586,1.52511,8.14608,0.58569,-0.13393,-0.13393,0.12639,-0.15273,-5.76162,-4.55091
"33","2018_Q2",2.2346875,"Up",-6575000,-6488000,-87000,-1781000,-663000,-663000,-2444000,-3513000,-3513000,-3513000,-3513000,-3513000,2892000,2892000,851000,851000,7394000,6008000,13805000,21199000,4925000,3883000,1042000,5904000,21116000,92432000,-92349000,83000,83000,21199000,-3513000,459000,1979000,110000,-965000,-98000,-1327000,-1327000,-1327000,-1322000,14136000,-42.3253,-0.16572,1.25237,254.40964,0.66682,-0.16769,-0.16769,0.00396,-0.2257,-8.5053,-6.31331
"34","2018_Q3",2.70412698412698,"Up",-6851000,-6779000,-72000,-624000,-926000,-671000,-1550000,2522000,2522000,2522000,2522000,2522000,4170000,4170000,982000,982000,8728000,5966000,17600000,26328000,6459000,4663000,1796000,8159000,22596000,93559000,-89827000,3732000,3732000,26328000,2522000,458000,-2916000,1301000,1365000,349000,1278000,1278000,1278000,-166000,14266000,0.675780000000017,0.09579,1.06974,6.05465999999998,0.54186,0.11901,0.11901,0.1761,0.13162,-60.81928,-16.17949
"35","2018_Q4",4.28730158730159,"Up",-7197000,-6964000,-233000,-649000,-705000,-705000,-1354000,-2514000,-2514000,-2514000,-2514000,-2514000,6315000,6315000,1114000,1114000,11684000,6061000,16605000,28289000,7658000,5931000,1727000,10368000,23836000,96794000,-92341000,4453000,4453000,28289000,-2514000,482000,1903000,452000,323000,2469000,2145000,2145000,2145000,-167000,14397000,-0.56456,-0.08887,1.12693,5.3528,0.50893,-0.11581,-0.11581,0.20513,-0.12794,-48.39521,-12.453
"36","2019_Q1",6.04508196721311,"Up",-9445000,-9012000,-433000,-2163000,-331000,-689000,-2494000,18130000,18130000,18130000,18130000,18130000,28258000,6838000,837000,837000,32843000,6375000,16608000,49451000,8533000,6250000,2283000,11901000,24700000,98962000,-74211000,24751000,24751000,49451000,18130000,444000,-20184000,1574000,-35999.9999999999,1411000,523000,523000,523000,-1719000,15248000,0.7325,0.36663,2.75968,0.997939999999998,0.30835,0.76109,0.57741,1.03904,0.44437,7.56835,6.01479
"37","2019_Q2",5.51793650793651,"Down",-8948000,-8543000,-405000,-556000,27000,-603000,-529000,11333000,11333000,11333000,11358000,11358000,32265000,4265000,1658000,1658000,38505000,6242000,28005000,66510000,7235000,6143000,1092000,11210000,29476000,99912000,-62853000,37059000,37034000,66510000,11333000,452000,-10813000,-2448000,-1476000,-773000,-2573000,-2573000,-2573000,-104000,14488000,0.30669,0.17077,3.43488,0.79592,0.21783,0.45722,0.42716,1.49182,0.19447,170.93269,31.97302
"38","2019_Q3",6.54859375,"Up",-9058000,-8248000,-810000,-767000,-716000,-716000,-1483000,-2420000,-2420000,-2420000,-2378000,-2378000,31843000,4193000,1401000,1401000,38119000,5946000,27038000,65157000,8519000,6943000,1576000,9856000,30159000,100296000,-65231000,35065000,34998000,65157000,-2420000,641000,1638000,985000,844000,-455000,-72000,-72000,-72000,-126000,14144000,-0.0679500000000003,-0.0365,3.86759,0.86173,0.21708,-0.0943,-0.08872,1.39044,-0.04253,140.46825,23.07562
"39","2019_Q4",5.7928125,"Down",-9052000,-8608000,-444000,-358000,-620000,-620000,-978000,-11630000,-11630000,-11630000,-11469000,-11469000,25751000,3631000,1365000,1365000,32374000,5202000,22324000,54698000,9872000,8144000,1728000,11428000,30971000,100655000,-76700000,23955000,23727000,54698000,-11630000,447000,11213000,-1e+05,-70000,-412999.999999999,-562000,-562000,-562000,89000,13906000,-0.48337,-0.20968,2.83287,1.30531,0.25423,-0.44879,-0.5161,0.93737,-0.259,-133.08989,33.08659
"40","2020_Q1",5.92354838709677,"Up",-8113000,-7689000,-424000,926000,-561000,-561000,365000,2600000,2592000,2592000,2657000,2657000,30149000,4949000,586000,586000,36045000,5375000,23040000,59085000,9819000,7702000,2117000,12284000,31667000,101754000,-74043000,27711000,27418000,59085000,2592000,605000,-1385000,-160000,1652000,635000,1318000,1318000,1318000,1531000,14024000,0.09691,0.04497,2.9343,1.15497,0.23735,0.10348,0.08784,1.07922,0.05469,-10.53233,-17.41361
"41","2020_Q2",4.9147619047619,"Down",-8819000,-8416000,-403000,-628000,-560000,-560000,-1188000,-12923000,-12923000,-12923000,-12907000,-12907000,18474000,4124000,1316000,1316000,25808000,5147000,21085000,46893000,9977000,7527000,2450000,13224000,31865000,102287000,-86950000,15337000,15028000,46893000,-12923000,493000,12597000,-717000,-550000,-2000.0000000149,-825000,-825000,-825000,-135000,14182000,-0.85886,-0.27524,1.9516,2.12038,0.30243,-0.49896,-0.49896,0.5929,-0.35633,31.79259,6.83439
"42","2020_Q3",5.99953125,"Up",-7703000.00000003,-6954000.00000001,-748999.999999998,-2847000,-486000,-504999.999999999,-3333000,-260000.000000004,-259999.999999996,-259999.999999996,-236999.999999996,-237000,23177000,4102000,1333000,1333000,30369000,4993000,19085000,49454000,8949000,5780000,3169000,13083000,34058000,102915000,-87187000,15728000,15396000,49454000,-260000,508000.000000001,-1535000,-1364000,-2651000,2966000,-22000.0000001192,-22000.0000001192,-22000.0000001192,-2339000.00000001,17579000,-0.0153900000000002,-0.00479000000000002,2.32126,2.21213,0.35546,-0.00916,-0.00916,0.60802,-0.00595000000000001,2.39333,1.96628
"43","2020_Q4",5.63765625,"Down",-9106000,-8436000,-670000,1597000,-3723000,-498000,-2126000,8623000,8623000,8623000,8638000,8638000,33377000,5727000,1431000,1431000,40977000,4773000,18493000,59470000,9383000,5691000,3692000,13782000,34542000,103824000,-78549000,25275000,24928000,59470000,8623000,503000,-6363000,-96000,2667000,-760999.999999762,1625000,1625000,1625000,2100000,16937000,0.34652,0.14525,2.97323,1.38567,0.2848,0.33343,0.33343,0.97562,0.1747,-7.82857,-10.2943
"44","2021_Q1",8.19409836065574,"Up",-8032000,-7441000,-590999.999999985,2626000.00000012,-2286000.00000006,-672999.999999993,340000.00000003,1145000.00000003,1140999.99999994,1140999.99999994,1149000.00000006,1149000.00000003,32756000,4301000,1602000,1602000,40982000,3868000,16492000,57474000,6247000,3932000,2315000,10799000,30646000,104583000,-77400000,27183000,26828000,57474000,1140999.99999997,542999.999999985,1842000,-4092000,-566000,-770000,-1425999.99999905,-1425999.99999905,-1425999.99999905,3169000,16881000,0.0428300000000022,0.0199899999999996,3.79498,1.14231,0.29372,0.0442900000000003,0.0442899999999985,1.04793,0.0224600000000001,-5.00947,-6.04532
"45","2021_Q2",8.53095238095238,"Up",-8.756e+09,-8.164e+09,-5.92e+08,2.917e+09,-1.832e+09,-5.13e+08,1.085e+09,2.17e+08,2.17e+08,2.17e+08,2.17e+08,2.17e+08,32124000,6504000,763000,763000,40636000,4200000,15616000,56252000,6807000,5176000,1631000,10074000,28382000,105408000,-77183000,28225000,27870000,56252000,2.17e+08,5.04e+08,3.305e+09,-8.18e+08,3.208e+09,-780999999.999998,2.203e+09,2.203e+09,2.203e+09,3.421e+09,13679000,7.78615,3.85764,4.03375,1.01837,0.24317,8.33998,7.89647,1.08477,4.44262,-0.00539,-0.00632
"46","2021_Q3",9.05078125,"Up",-9.548e+09,-9.123e+09,-4.25e+08,4.169e+09,-2.307e+09,-1.314e+09,1.862e+09,-2.478e+09,-2.478e+09,-2.478e+09,-2.478e+09,-2.95e+09,85060000,72851000.0000001,800999.999999996,801000.000000002,93474000.0000001,4937000,13492000,106966000,7594999.99999999,5207000,2388000,8143999.99999999,84117999.9999999,102864000,-79660999.9999998,23203000,22848000,106966000,-2.478e+09,4.51e+08,6.67e+09,7.97e+08,5.44e+09,5.2238e+10,6.6347e+10,6.6347e+10,6.6347e+10,4.62e+09,71286999.9999998,-129.11415,-27.57886,11.47765,3.68164,0.66645,-113.37757,-107.34837,0.89176,-29.84924,-0.0029800000000002,-0.0033000000000002
"47","2021_Q4",9.87859375,"Up",-17481000,-11356000,-6125000,-3717000,-2391000,-1685000,-6108000,-8328000,-8328000,-8328000,-8328000,-8328000,67845000,57856000,15198000,1562000,91126000,4827000,11675000.0000002,102801000,10078000,7335000,2743000,10477000,86567000,104578000,-87989000,16589000,16234000,102801000,2250411000,-953603000,-9960223000,21987000,-8641428000,-51405528000,-68496445000,-68496445000,-68496445000,-957320000,71477000,-0.513,-0.08101,8.69772,5.33245,0.69529,-0.31277,-0.31277,0.62302,-0.08882,-0.00379,-0.97713
"48","2022_Q1",7.71725806451613,"Down",18269082000,17257041000,1012041000,-7080420000,4130818000,1823249000,-2949602000,2251454000,2251321000,2251321000,2251321000,2723321000,50670000,42167000.0000019,1304999.99999997,1304999.99999997,60662000.0000019,3141000,37667000,98329000,9426000.00000024,6337000.00000024,3088999.99999994,9722000,87398000.0000038,106693000,-95407000.0000038,11285999.9999998,10931000,98329000,-7418000,481000.000000238,6687000,-1239999.99999976,-1490000.00000191,-2000,-15689000,-15689000,-15689000,-7079939000,77956000,249.13741,27.69601,6.23966,7.99543,0.79281,95.32114,95.32114,0.395029999999987,30.63658,-0.00385000000000017,-0.00385000000000013
"49","2022_Q2",6.74822580645161,"Down",-1.4056e+10,-1.3398e+10,-6.58e+08,2.101e+09,-4.678e+09,-1.792e+09,-2.577e+09,-2.438e+09,-2.438e+09,-2.438e+09,-2.438e+09,-2.438e+09,5.059e+10,4.1948e+10,1.334e+09,1.334e+09,6.2315e+10,2.968e+09,3.528e+10,9.7595e+10,8.706e+09,6.758e+09,1.948e+09,9.182e+09,8.7859e+10,1.07936e+11,-9.7845e+10,1.0091e+10,9.736e+09,9.7595e+10,-2.438e+09,8.23e+08,5.09e+09,-2.508e+09,9.67e+08,-7.76e+08,-2.19e+08,-2.19e+08,-2.19e+08,2.924e+09,7.913e+10,-0.25041,-0.02498,6.78665,9.02414,0.8108,-89.54406,-89.54406,370.62721,-0.02743,9.7606,13.58401
