"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",12.3985483870968,"Up",2008188000,-1701132000,307056000,-145022000,-145022000,162034000,7460000,-3207000,169494000,169494000,-57087000,112407000,112407000,-1240000,111167000,111167000,610230000,533217000,474425000,474425000,927047000,105556000,12865000,5806000,2117258000,915792000,2320444000,-1404652000,1349569000,630875000,125367000,108765000,132482000,2265361000,4382619000,676710000,289212000,5845000,42638000,339015000,676710000,2.5e+08,559710000,477102000,82608000,809710000,1486420000,7713000,7713000,3050070000,-168896000,2888887000,7312000,2896199000,4382619000,112407000,28920000,1286000,-71591000,71022000,-33991000,12915000,-21076000,-39497000,-4722000,-41252000,8694000,8694000,-256000,8438000,190954000,2.5e+08,142459000,0.1529,0.08069,0.05536,0.03838,0.02537,1.28149,3.12875,0.51323,0.05704,0.21106,0.20683,3.81264,5.48469,0.27047,0.07499,0.04066,0.03844,0.35529,-1.88648,-2.22318
"12","2013_Q1",15.0845,"Up",2170184000,-1818405000,351779000,-159685000,-159685000,192094000,8644000,-3155000,200738000,200738000,-66452000,134286000,134286000,-1685000,132601000,132601000,759775000,682388000,507041000,507041000,950521000,103347000,12772000,5555000,2320684000,924480000,2342018000,-1417538000,1318802000,630875000,123072000,48999.9999999851,134024000,2243282000,4563966000,786300000,385877000,4864000,40049000,355510000,786300000,2.5e+08,702741000,615428000,87313000,952741000,1739041000,7707000,7707000,3135317000,-323569000,2819455000,5470000,2824925000,4563966000,134286000,30867000,10521000,58054000,233728000,-37334000,3482000.00000001,-33852000,-39521000,-9884000,-50885000,148991000,148991000,180000,149171000,222961000,2.5e+08,310133000,0.1621,0.08852,0.0611,0.04694,0.02905,2.33884,2.9514,0.61561,0.05478,0.25214,0.24725,4.12663,5.36122,0.58972,0.07515,0.04556,0.0821,0.29804,-2.28639,-2.65378
"13","2013_Q2",16.8378125,"Up",2116241000,-1772048000,344193000,-155831000,-155831000,188362000,8559000,-3094000,196921000,196921000,-65876000,131045000,131045000,-1329000,129716000,129716000,887677000,887677000,466536000,466536000,953682000,91950000,13276000,8272000,2399845000,916194000,2356149000,-1439955000,1306791000,630875000,120882000,49000,132866000,2222985000,4622830000,737386000,324367000,35082000,47876000,330061000,737386000,2.5e+08,701492000,613009000,88483000,951492000,1688878000,31249000,7755000,3220347000,-324458000,2927138000,6814000,2933952000,4622830000,131045000,29844000,-11300000,-7776000,141813000,-19134000,85477000,66343000,-39438000,23222000,-2955000,205201000,205201000,88000,205289000,218206000,2.5e+08,257172000,0.16264,0.08901,0.0613,0.04421,0.02806,1.98258,3.25453,0.57563,0.05408,0.24573,0.24098,4.00888,5.545,0.48717,0.07471,0.04354,0.06619,0.30403,-2.92236,-3.38538
"14","2013_Q3",17.490625,"Up",2152686000,-1799885000,352801000,-173066000,-173066000,179735000,5168000,-3142000,184903000,184903000,-58262000,126641000,126641000,-1121000,125520000,125520000,262748000,262748000,462239000,462239000,998931000,108422000,12037000,7920000,1832340000,957759000,2423049000,-1465290000,1877542000,932114000,382816000,49000,140902000,2835301000,4667641000,707894000,315040000,6881000,45601000,340372000,707894000,2.5e+08,691915000,612451000,79464000,941915000,1649809000,34434000,7763000,3300597000,-325172000,3009859000,7973000,3017832000,4667641000,126641000,31317000,5868000,-48081000,115745000,-22049000,-12935000,-698112000,-44967000,-2534999.99999999,-42625000,-624992000,-624992000,63000,-624929000,211052000,2.5e+08,199184000,0.16389,0.08349,0.05831,0.04159,0.02689,1.58687,2.58844,0.54669,0.05356,0.23695,0.23177,4.0637,5.68181,0.37601,0.08489,0.04306,0.0503,0.35825,-0.0604,-0.0709300000000002
"15","2013_Q4",18.30171875,"Up",2159525000,-1829219000,330306000,-150999000,-150999000,179307000,-2231000,-3122000,177076000,177076000,-63171000,113905000,113905000,-270000,113635000,113635000,329496000,329496000,514398000,514398000,1003736000,103960000,14867000,9723000,1951590000,949021000,2434599000,-1485578000,1860638000,934472000,380410000,49000,138944000,2809659000,4761249000,789484000,369887000,6128000,48239000,365230000,789484000,2.5e+08,667881000,589659000,78222000,917881000,1707365000,7737000,7737000,3363363000,-325565000,3045535000,8349000,3053884000,4761249000,113905000,31825000,11415000,14146000,171291000,-21029000,206000,-23110000,-45021000,-37087000,-81316000,66865000,66865000,-117000,66748000,211132000,2.5e+08,267420000,0.15295,0.08303,0.05262,0.03721,0.02387,2.35332,2.47198,0.55908,0.05251,0.21473,0.20984,4.08067,5.75489,0.50532,0.08507,0.03995,0.06733,0.39619,-0.37652,-0.44335
"16","2014_Q1",19.3401639344262,"Up",2323202000,-1937686000,385516000,-147444000,-147444000,238072000,1535000,-3095000,239607000,239607000,-81122000,158485000,158485000,-1145000,157340000,157340000,434014000,434014000,551500000,551500000,967977000,93922000,1.3e+07,7379000,2047413000,955333000,2460862000,-1505529000,1913134000,934472000,378093000,162535000,142339000,2868467000,4915880000,784009000,387284000,8637000,45511000,342577000,784009000,2.5e+08,565292000,481230000,84062000,815292000,1599301000,7725000,7725000,3452529000,-149214000,3311040000,5539000,3316579000,4915880000,158485000,31864000,-1088000,19695000,208956000,-34386000,-1809000,-36195000,-44894000,-24207000,-68625000,104136000,104136000,382000,104518000,269936000,2.5e+08,336367000,0.16594,0.10248,0.06773,0.04744,0.03201,2.13784,2.61147,0.48221,0.05086,0.29816,0.29115,4.40247,6.27443,0.63742,0.08507,0.04894,0.08141,0.28533,-0.68169,-0.77293
"17","2014_Q2",20.3742857142857,"Up",2242672000,-1844030000,398642000,-166189000,-166189000,232453000,2818000,-3094000,235271000,235271000,-80813000,154458000,154458000,-1110000,153348000,153348000,639844000,639844000,505024000,505024000,924500000,97465000,13888000,10034000,2166833000,967521000,2495532000,-1528011000,1932816000,962102000,378361000,166494000,144408000,2900337000,5067170000,824525000,354832000,67361000,55920000,346412000,824525000,2.5e+08,568214000,483449000,84765000,818214000,1642739000,15527000,7733000,3553213000,-150986000,3417754000,6677000,3424431000,5067170000,154458000,31760000,6055000,122019000,314292000,-32760000,4028000,-70133000,-44833000,3437000,-37285000,206874000,206874000,-1044000,205830000,264213000,2.5e+08,434285000,0.17775,0.10365,0.06838,0.04478,0.03026,2.83202,2.62798,0.47971,0.04934,0.2907,0.28374,4.25148,6.47911,0.82328,0.08499,0.04671,0.10236,0.29236,-1.47549,-1.67709
"18","2014_Q3",20.6559375,"Up",2244866000,-1866108000,378758000,-165785000,-165785000,212973000,184000,-3093000,213157000,213157000,-72451000,140706000,140706000,-616000,140090000,140090000,499330000,499330000,515161000,515161000,1053501000,104620000,12293000,5975000,2172612000,976247000,2526810000,-1550563000,1936965000,962204000,376058000,170351000,142734000,2913212000,5085824000,751994000,339354000,4067000,53419000,355154000,751994000,2.5e+08,570686000,485473000,85213000,820686000,1572680000,7770000,7733000,3640464000,-142318000,3505916000,7228000,3513144000,5085824000,140706000,31924000,-2034000,-209853000,-39257000.0000001,-38072000,-4139000,-42312000,-52761000,-13017000,-59851000,-141420000,-141420000,906000,-140514000,244897000,2.5e+08,69423000,0.16872,0.09487,0.0624,0.03988,0.02755,0.49556,2.88913,0.44766,0.04916,0.2654,0.25903,4.25283,6.64185,0.13152,0.09995,0.0445,0.01602,0.37662,-1.0181,-1.17071
"19","2014_Q4",22.4065625,"Up",2284947000,-1920948000,363999000,-153035000,-153035000,210964000,2018000,-3125000,212982000,212982000,-73968000,139014000,139014000,-1039000,137975000,137975000,530977000,530977000,536505000,536505000,1076892000,100667000,13140000,9164000,2245041000,978150000,2538008000,-1559858000,1965242000,962577000,373716000,199770000,143231000,2943392000,5188433000,785099000,358016000,4464000,56018000,366601000,785099000,2.5e+08,573754000,487375000,86379000,823754000,1608853000,7735000,7735000,3715339000,-151771000,3571303000,8277000,3579580000,5188433000,139014000,33450000,-2597000,-50536000,119331000,-32427000,1016000,-31785000,-52766000,-9992000,-54982000,32564000,32564000,-917000,31647000,244414000,2.5e+08,235419000,0.1593,0.09233,0.06038,0.03855,0.02659,1.70624,2.85956,0.44945,0.04818,0.26133,0.25513,4.32783,6.76427,0.4459,0.09994,0.04332,0.05346,0.38243,-1.14959,-1.33187
"20","2015_Q1",23.3704918032787,"Up",2543771000,-2120187000,423584000,-165939000,-165939000,257645000,3097000,-3392000,260742000,260742000,-88894000,171848000,171848000,-584000,171264000,171264000,334174000,334174000,609526000,609526000,1054552000,134519000,15250000,6738000,2132771000,1001767000,2582232000,-1580465000,2321081000,1226406000,554890000,130284000,145050000,3322848000,5455619000,954692000,484042000,5507000,53466000,411677000,954692000,2.5e+08,638871000,502693000,112176000,888871000,1843563000,7724000,7724000,3805654000,-207700000,3605678000,6378000,3612056000,5455619000,171848000,32910000,261000,147494000,352513000,-45594000,-2623000,-472545000,-52796000,-28842000,-77252000,-197284000,-197284000,481000,-196803000,290555000,2.5e+08,481349000,0.16652,0.10128,0.06733,0.04741,0.03139,2.81057,2.23399,0.51039,0.04582,0.32487,0.31736,4.8253,6.83964,0.91307,0.10015,0.04978,0.10694,0.30827,-0.2897,-0.32671
"21","2015_Q2",24.2869841269841,"Up",2395073000,-1950468000,444605000,-180299000,-180299000,264306000,-269000,-3078000,264037000,264037000,-91607000,172430000,172430000,-712000,171718000,171718000,527097000,527097000,578238000,578238000,1016788000,124208000,29534000,7821000,2246331000,997237000,2589840000,-1592603000,2316055000,1225449000,552820000,134876000,147133000,3313292000,5559623000,937304000,407419000,61020000,69068000,399797000,937304000,2.5e+08,640003000,504649000,105491000,890003000,1827307000,15279000,7729000,3911548000,-200037000,3726790000,5526000,3732316000,5559623000,172430000,32759000,-4102000,45415000,246502000,-17743000,14932000,-2811000,-52801000,2057000,-49362000,194329000,194329000,-1406000,192923000,297065000,2.5e+08,416344000,0.18563,0.11035,0.0717,0.04601,0.03089,2.42458,2.39659,0.48959,0.04497,0.32562,0.31792,4.5417,7.06699,0.7895,0.10012,0.04857,0.09007,0.30749,-0.93278,-1.04839
"22","2015_Q3",25.81921875,"Up",2279345000,-1819789000,459556000,-189733000,-189733000,269823000,5908000,-3083000,275731000,275731000,-95296000,180435000,180435000,-234000,180201000,180201000,624395000,624395000,578726000,578726000,963481000,135829000,14546000,5691000,2302431000,990068000,2604519000,-1614451000,2330499000,1228933000,550854000,139457000,147201000,3320567000,5622998000,870182000,385855000,5791999.99999999,66555000,411980000,870182000,2.5e+08,659001000,506742000,108427000,909001000,1779183000,14619000,7740000,4025770000,-199757000,3840632000,3183000,3843815000,5622998000,180435000,32968000,12434000,-26602000,199235000,-26191000,-9553000,-35744000.0000001,-65914000,3942000,-65877000,97614000,97614000,-316000,97298000,302791000,2.5e+08,345294000,0.20162,0.11838,0.07906,0.04688,0.03205,1.91616,2.64592,0.46287,0.04446,0.34125,0.33316,4.31648,7.27315,0.6539,0.12482,0.05178,0.07265,0.36578,-1.23648,-1.38756
"23","2015_Q4",30.75546875,"Up",2188587000,-1779197000,409390000,-184627000,-184627000,224763000,3456000,-3129000,228219000,228219000,-81263000,146956000,146956000,-18000,146938000,146938000,349169000,349169000,549056000,549056000,984452000,121099000,17376000,6850000,2003776000,1001810000,2628767000,-1626957000,3085495000,1978907000,548967000,166743000,145260000,4087305000,6091081000,895107000,393795000,6812000,69230000,425270000,1245107000,2.5e+08,659962000,508667000,110713000,909962000,2155069000,18063000,7745000,4106566000,-191843000,3932786000,3226000,3936012000,6091081000,146956000,33300000,14960000,49292000,244508000,-37844000,-1955000,-808138000,-66046000,1838000,289171000,-274459000,-274459000,-767000,-275226000,258063000,6e+08,350774000,0.18706,0.1027,0.06714,0.03733,0.02412,2.38722,1.60932,0.54753,0.0985,0.27802,0.2715,4.141,7.44117,0.66369,0.12496,0.04099,0.06751,0.44948,0.97198,1.11598
"24","2016_Q1",36.1795081967213,"Up",2400858000,-1905828000,495030000,-188952000,-188952000,306078000,4615000,-3821000,310693000,289156000,-101713000,187443000,187443000,-212000,187231000,187231000,347239000,347239000,605689000,605689000,993265000,116839000,14383000,9422000,2063032000,1011739000,2645899000,-1634160000,3065060000,1699484000,827219000,132861000,146498000,4076799000,6139831000,1029025000,495317000,6764000,66696000,460248000,1214025000,2.5e+08,674413000,509261000,101056000,924413000,2138438000,7741000,7741000,4216125000,-225668000,3998198000,3195000,4001393000,6139831000,187443000,34407000,18342000,61555000,301747000,-43784000,-8222000,-54253999.9999999,-66073000,-22297000,-244559000,2933999.99999988,2933999.99999988,-4864000,-1930000.00000006,340485000,4.35e+08,459969000,0.20619,0.12749,0.07799,0.04679,0.03049,2.45669,1.69933,0.53442,0.07085,0.35417,0.34558,4.54151,7.56308,0.87009,0.12499,0.04956,0.09,0.3529,0.25775,0.28673
"25","2016_Q2",32.5834375,"Down",2292672000,-1734661000,558011000,-209948000,-209948000,348063000,6105000,-3407000,354168000,354168000,-119001000,235167000,235167000,-106000,235061000,235061000,375215000,375215000,554738000,554738000,994826000,21304000,13820000,7484000,1946083000,1014003000,2673465000,-1659462000,3080803000,1699361000,825069000,136917000,144875000,4094806000,6040889000,1020098000,411031000,89859000,79727000,439481000,1020098000,2.5e+08,607278000,511615000,95663000,857278000,1877376000,13431000,7755000,4374596000,-227739000,4160288000,3225000,4163513000,6040889000,235167000,31804000,-18969000,30689000,278691000,-32069000,11088000,-20981000,-66137000,3514000,-227474000,30236000,30236000,-2260000,27976000,379867000,2.5e+08,497488000,0.24339,0.15182,0.10253,0.05646,0.03891,2.11642,1.90774,0.45091,0.04138,0.44447,0.4331,4.3351,7.86649,0.94068,0.12506,0.05999,0.09909,0.28136,-0.32963,-0.35975
"26","2016_Q3",32.491875,"Down",2300235000,-1773876000,526359000,-211144000,-211144000,315215000,9973000,-3029000,325188000,324197000,-108813000,215384000,215384000,13000,215397000,215397000,379881000,379881000,548497000,548497000,1027440000,19264000,13908000,5356000,1975082000,1048930000,2731721000,-1682791000,3086333000,1698370000,823130000,140990000,145730000,4135263000,6110345000,937384000,389418000,10096000,77304000,460566000,937384000,2.5e+08,613322000,513842000,99480000,863322000,1800706000,19052000,7765000,4513097000,-225666000,4306483000,3156000,4309639000,6110345000,215384000,32104000,-11526000,-105518000,130444000,-65074000,1090000,-63984000,-76741000,-1502000,-61936000,4524000,4524000,142000,4666000,347319000,2.5e+08,285540000,0.22883,0.13704,0.09364,0.04998,0.03525,1.32565,2.10701,0.41783,0.04091,0.40649,0.39612,4.3409,8.127,0.53886,0.14482,0.05647,0.0552,0.35628,-0.37395,-0.41204
