"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q1",73.6685245901639,"Up",198004000,-70638000,127366000,-164050000,-122024000,-42026000,-36684000,-6562000,22497000,-43246000,-43246000,-1417000,-44663000,-44663000,-44663000,-44663000,668791000,252455000,416336000,159171000,159171000,79024000,35792000,43232000,906986000,104237000,146757000,37215000,517766000,1424752000,97326000,17829000,79497000,409671000,409671000,506997000,45643000,12567000,33076000,489080000,996077000,799371000,-358583000,-12113000,428675000,428675000,1424752000,-44663000,13325000,67855000,13144000,49661000,-8880000,-34323000,0,-43203000,14998000,14998000,-1357000,13641000,20099000,20099000,-2730000,17369000,-23359000,443437000,-17678000,0.64325,-0.18527,-0.22557,-0.10419,-0.03135,0.39581,1.78894,2.32362,0.31124,-0.30062,-0.30062,1.33273,2.88534,-0.11899,-0.04867,-0.01926,9.64742,6.14311
"12","2015_Q2",77.1257142857143,"Up",211964000,-76899000,135065000,-189297000,-139449000,-49848000,-54232000,-2874000,4704000,-57106000,-57106000,-987000,-58093000,-58093000,-58093000,-58093000,745010000,307981000,437029000,142720000,142720000,96204000,53860000,42344000,983934000,115438000,140645000,35816000,509708000,1493642000,90382000,18192000,72190000,450544000,450544000,540926000,46483000,12789000,33694000,497806000,1038732000,887264000,-416676000,-15678000,454910000,454910000,1493642000,-58093000,13824000,81136000,30499000,67366000,-26699000,-6566000,30999.9999999995,-34334000,30474000,30474000,-735000,29739000,62771000,62771000,-7245000,55526000,-40408000,451323000,-35621000,0.63721,-0.25585,-0.27407,-0.1277,-0.03889,0.61317,1.81898,2.28338,0.30216,-0.38319,-0.38319,1.39816,3.00069,-0.23496,-0.06098,-0.03739,7.26804,5.41538
"13","2015_Q3",74.70703125,"Down",246716000,-79717000,166999000,-220234000,-166958000,-53276000,-53235000,-7186000,521000,-60421000,-60421000,-1504000,-61925000,-61925000,-61925000,-61925000,722524000,325354000,397170000,143206000,143206000,88344000,43998000,44346000,954074000,124902000,151051000,46207000,609237000,1563311000,104051000,20966000,83085000,487582000,487582000,591633000,49554000,15112000,34442000,508565000,1100198000,953986000,-478601000,-12272000,463113000,463113000,1563311000,-61925000,15033000,89222000,37855000,80185000,-15121000,-39908000,-9965000,-64994000,11210000,11210000,-11711000,-501000,14690000,14690000,2683000,17373000,-38202000,459011000,-13964000,0.67689,-0.21577,-0.251,-0.13371,-0.03961,0.2255,1.61261,2.37566,0.29361,-0.4009,-0.4009,1.59723,2.99817,-0.0904,-0.06373,-0.01437,6.89788,4.95
"14","2015_Q4",82.585625,"Up",261150000,-81888000,179262000,-207302000,-151480000,-55822000,-28040000,-11791000,-3952000,-39831000,-39831000,-1199000,-41030000,-41030000,-41030000,-41030000,728951000,349073000,379878000,159768000,159768000,92888000,45305000,47583000,981607000,132713000,148056000,47982000,681281000,1662888000,115335000,30654000,84681000,519486000,519486000,634821000,44302000,8917000,35385000,511133000,1145954000,1051637000,-519631000,-15072000,516934000,516934000,1662888000,-41030000,15100000,90339000,-760000,63649000,-20768000,-50430000,-473999.999999998,-71672000,31663000,31663000,-269000,31394000,23371000,23371000,348000,23719000,-12940000,466831000,-33269000,0.68643,-0.10737,-0.15711,-0.07937,-0.02467,0.81085,1.54627,2.21683,0.28074,-0.26145,-0.26145,1.66411,3.29403,-0.212,-0.03991,-0.03236,20.25657,9.34807
"15","2016_Q1",63.3162295081967,"Down",285650000,-90909000,194741000,-225599000,-167156000,-58443000,-30858000,-4796000,3177000,-35654000,-35654000,-1724000,-37378000,-37378000,-37378000,-37378000,801250000,412305000,388945000,203333000,203333000,81052000,29076000,51976000,1085635000,144714000,154036000,55362000,721417000,1807052000,138633000,37369000,101264000,593003000,593003000,731636000,34068000,10751000,23317000,508602000,1240238000,1140705000,-557009000,-16882000,566814000,566814000,1807052000,-37378000,16399000,93213000,34320000,106554000,-26643000,-33786000,-92000,-60521000,20001000,20001000,-303000,19698000,65731000,65731000,-2299000,63432000,-14459000,474534000,-5058000,0.68175,-0.10803,-0.13085,-0.06594,-0.02068,0.13532,1.48385,2.18809,0.2626,-0.23386,-0.23386,1.78722,3.54638,-0.03165,-0.03476,-0.0047,22.59603,10.58772
"16","2016_Q2",69.48578125,"Up",305879000,-94260000,211619000,-265771000,-199847000,-65924000,-54152000,-7407000,702000,-61559000,-331559000,-1773000,-333332000,-333332000,-333332000,-333332000,900873000,453450000,447423000,190263000,190263000,102122000,46534000,55588000,1193258000,154244000,164710000,61100000,680785000,1874043000,376234000,39621000,336613000,672049000,672049000,1048283000,40761000,10468000,30293000,523404000,1571687000,1207266000,-890341000,-14569000,302356000,302356000,1874043000,-333332000,17452000,102610000,291957000,78687000,-34827000,4378000,-457000,-31406000,19873000,19873000,-28563000,-8690000,38591000,38591000,2554000,41145000,-36700000,482643000,222203000,0.69184,-0.17704,-1.08975,-1.10245,-0.17787,-0.66661,1.1383,5.19813,0.25754,-2.05675,-2.05675,1.88736,1.86562,1.37106,-0.40367,0.26909,11.39591,7.72326
"17","2016_Q3",73.71609375,"Up",341312000,-96649000,244663000,-292941000,-222577000,-70364000,-48278000,-5988000,2260000,-54266000,-54266000,4641000,-49625000,-49625000,-49625000,-49625000,806714000,289113000,517601000,197296000,197296000,93879000,36647000,57232000,1097889000,166551000,225459000,77471000,616449000,1714338000,154226000,41095000,113131000,697855000,697855000,852081000,47084000,15130000,31954000,537975000,1390056000,1268878000,-928543000,-16053000,324282000,324282000,1714338000,-49625000,2e+07,100982000,-219528000,-148171000,-28852000,66662000,-154000,3859000,14278000,14278000,-31446000,-17168000,-161480000,-161480000,-2857000,-164337000,-28278000,490891000,-281299000,0.71683,-0.14145,-0.14539,-0.15303,-0.02895,5.66849,1.28848,4.28657,0.28634,-0.30289,-0.30289,2.08322,1.97928,-1.71693,-0.05755,-0.32624,11.16851,6.54176
"18","2016_Q4",80.6942857142857,"Up",357656000,-102837000,254819000,-281594000,-206576000,-75018000,-26775000,-6606000,1783000,-33381000,-33381000,-2877000,-36258000,-36258000,-36258000,-36258000,806880000,325067000,481813000,220089000,220089000,99938000,37281000,62657000,1126907000,176106000,228748000,83597000,686207000,1813114000,154682000,30012000,124670000,743657000,743657000,898339000,52992000,18048000,34944000,552272000,1450611000,1343769000,-964801000,-16465000,362503000,362503000,1813114000,-36258000,22264000,111149000,-437000,96718000,-31183000,-20697000,289000,-51591000,20912000,20912000,-29919000,-9007000,36120000,36120000,-166000,35954000,-4511000,499280000,-33254000.0000001,0.71247,-0.07486,-0.10138,-0.10002,-0.02,0.91715,1.25443,4.00165,0.27537,-0.21924,-0.21924,2.16265,2.19196,-0.201079999999999,-0.03964,-0.03635,68.18887,11.48833
"19","2017_Q1",87.2006451612903,"Up",385666000,-104936000,280730000,-304333000,-230400000,-73933000,-23603000,-7242000,1290000,-30845000,-30845000,-1744000,-32589000,-32589000,-32589000,-32589000,899362000,401238000,498124000,322757000,322757000,120416000,43636000,76780000,1342535000,181620000,246954000,98566000,691232000,2033767000,209716000,38080000,171636000,861782000,861782000,1071498000,67496000,33319000,34177000,575308000,1646806000,1405484000,-997390000,-21133000,386961000,386961000,2033767000,-32589000,23366000,117673000,24237000,132687000,-29450000,528000,-178000,-29100000,11315000,11315000,-32202000,-20887000,82700000,82700000,-6316000,76384000,-237000,507812000,-3706000,0.72791,-0.0612,-0.0845,-0.08422,-0.01602,0.11372,1.25295,4.25574,0.24969,-0.19532,-0.19532,2.31145,2.31921,-0.02221,-0.03387,-0.00385,1652.1097,16.58899
"20","2017_Q2",98.0238095238095,"Up",428771000,-116084000,312687000,-334479000,-249990000,-84489000,-21792000,-949000,7729000,-22741000,-22741000,1227000,-21514000,-21514000,-21514000,-21514000,975314000,439915000,535399000,278107000,278107000,142834000,64048000,78786000,1396255000,189659000,258088000,93419000,774008000,2170263000,178252000,33658000,144594000,961553000,961553000,1139805000,86629000,50440000,36189000,603119000,1742924000,1477069000,-1038052000,-11678000,427339000,427339000,2170263000,-21514000,25226000,116021000,67875000,187608000,-33186000,-79544000,-2584854.260419,-127765000,34807000,34807000,-54438000,-19631000,40212000,40212000,-843000,39369000,3434000,516490000,36896000,0.72926,-0.05082,-0.05018,-0.05034,-0.00991,-1.71498,1.22499,4.07855,0.23798,-0.1275,-0.1275,2.54098,2.53249,0.21865,-0.02088,0.03581,-133.61211,21.0547
"21","2017_Q3",111.195396825397,"Up",448258000,-122128000,326130000,-363924000,-273919000,-90005000,-37794000,-19822000,-8485000,-57616000,-57616000,1812000,-55804000,-55804000,-55804000,-55804000,1692176000,1173457000,518719000,279088000,279088000,139763000,54666000,85097000,2111027000,213501000,280083000,103066000,813379000,2924406000,197986000,24478000,173508000,1019304000,1019304000,1217290000,84627000,47491000,37136000,1224690000,2441980000,1577884000,-1094525000,-933000,482426000,482426000,2924406000,-55804000,27181000,128250000,29098000,128725000,-42087000,20871000,-4828958.35641469,-27718000,-48915000,6085000,-109417000,613795000,714802000,714802000,18883000,733685000,-10613000,1140063000,-25414000,0.72755,-0.08431,-0.12449,-0.11567,-0.01908,0.45542,1.7342,5.06187,0.38984,-0.32745,-0.32745,2.63033,2.83082,-0.14913,-0.03269,-0.01489,52.02233,14.60848
"22","2017_Q4",124.317619047619,"Up",492372000,-127486000,364886000,-368796000,-270331000,-98465000,-3910000,-15987000,579000,-19897000,-19897000,-2285000,-22182000,-22182000,-22182000,-22182000,1671897000,1104871000,567026000,291903000,291903000,163692000,66881000,96811000,2127492000,231304000,285861000,108794000,942023000,3069515000,198305000,20752000,177553000,1082346000,1082346000,1280651000,80844000,42298000,38546000,1237473000,2518124000,1670512000,-1118713000,-408000,551391000,551391000,3069515000,-22182000,29401000,141232000,-6627000,141824000,-46753000,-154428000,-4e+06,-210181000,35856000,35856000,-43902000,-8045999.99999988,-76403000.0000001,-76403000.0000001,7725000,-68677999.9999999,25491000,1156629000,-25604000,0.74108,-0.00794,-0.04505,-0.04023,-0.00723,1.15427,1.66126,4.56686,0.37681,-0.12905,-0.12905,2.86457,3.20794,-0.14896,-0.0124,-0.01431,-20.21372,131.7821
"23","2018_Q1",154.32868852459,"Up",563625000,-134074000,429551000,-467469000,-362910000,-104559000,-37918000,-10832000,5981000,-48750000,-48750000,-880000,-49630000,-49630000,-49630000,-49630000,1779298000,726495000,1052803000,437051000,437051000,205602000,95959000,109643000,2421951000,245124000,491728000,276084000,1128294000,3550245000,285366000,32109000,253257000,1210695000,1210695000,2039479000,102004000,36120000,65884000,732022000,2771501000,1731541000,-958564000,5767000,778744000,778744000,3550245000,-49630000,32067000,167244000,34983000,184664000,-35154000,-450714000,-750000,-518284000,5819000,5819000,-53041000,-47222000,-380842000,-380842000,2363000,-378479000,-5851000,1173436000,-5142000,0.76212,-0.06728,-0.08806,-0.06373,-0.01398,0.10361,1.18753,3.55894,0.33052,-0.28579,-0.28579,3.24561,4.48436,-0.02961,-0.02416,-0.0025,103.54845,15.97822
"24","2018_Q2",173.26484375,"Up",589222000,-143473000,445749000,-466032000,-348764000,-117268000,-20283000,12923000,29987000,-7359999.99999999,-7360000,17982000,10622000,10622000,10622000,10622000,1885959000,682854000,1203105000,371008000,371008000,232959000,117092000,115867000,2489926000,267454000,495896000,284658000,1214559000,3704485000,288453000,37715000,250738000,1292638000,1292638000,2098016000,103511000,50244000,53267000,741306000,2839322000,1819587000,-941454000,-12970000,865163000,865163000,3704485000,10622000,33411000,111556000,94491000,250080000,-43221000,-194025000,-5132251.7566931,-237246000,52657000,52657000,-85843000,-61792000,-48958000,-48958000,6491000,-42467000,13128000,1154720000,46416000,0.7565,-0.03442,0.01803,0.01228,0.00287,4.3698,1.1868,3.28183,0.31171,0.06053,0.05583,3.35772,4.93019,0.2645,0.005,0.02186,-55.70072,36.05182
"25","2018_Q3",189.115555555556,"Up",631056000,-153165000,477891000,-509880000,-381964000,-127916000,-31989000,-8860000,6638000,-40849000,-40849000,-11897000,-52746000,-52746000,-52746000,-52746000,1749658000,704846000,1044812000,367598000,367598000,234373000,115305000,119068000,2351629000,286953000,529673000,298940000,1121255000,3472884000,304650000,30656000,273994000,1320928000,1320928000,1837041000,98465000,44389000,54076000,744133000,2581174000,1889905000,-994200000,-3995000,891710000,891710000,3472884000,-52746000,35207000,102764000,40671000,125896000,-55991000,307243000,-11370142.5839885,226312000,8762000,8762000,-69264000,-303081000,49127000,49127000,-13996000,35131000,3218000,857131000,-205000,0.75729,-0.05069,-0.08358,-0.05915,-0.01519,0.00389,1.28012,2.89463,0.24681,-0.29742,-0.29742,3.55839,5.02816,-0.00116,-0.02855,-0.00011,-277.35457,27.90106
"26","2018_Q4",177.438253968254,"Down",673097000,-157858000,515239000,-505671000,-370016000,-135655000,9568000,-2338000,8895000,7230000,7230000.00000001,1175000,8405000.00000001,8405000.00000001,8405000.00000001,8405000.00000001,1626040000,703629000,922411000,424698000,424698000,241447000,115262000,126185000,2292185000,297371000,534325000,307186000,1289257000,3581442000,294768000,43223000,251545000,1363217000,1363217000,1818957000,88663000,41244000,47419000,742301000,2561258000,2007397000,-985795000,-1418000,1020184000,1020184000,3581442000,8405000.00000001,37874000,189466000,-90244000,145501000,-50737000,-29773000.0000001,-8839000,-89348999.9999999,39018000,39018000,-66917000,-68234000,-12082000,-12082000,-2088000,-14170000,47442000,814610000,-94714000,0.76548,0.01421,0.01249,0.00823999999999998,0.00235,-11.26877,1.26016,2.51058,0.22745,0.04703,0.04373,3.76622,5.70829,-0.52996,0.00436999999999999,-0.04924,-17.1036199999999,-84.80665
"27","2019_Q1",219.826393442623,"Up",715441000,-168162000,547279000,-547001000,-398339000,-148662000,278000,1677000,10615000,1955000,1955000,5060000,7015000,7015000,7015000,7015000,1497922000,566204000,931718000,574810000,574810000,271961000,132071000,139890000,2344693000,347216000,605375000,355948000,1534447000,3879140000,360979000,30733000,330246000,1651594000,1651594000,2012573000,93661000,38597000,55064000,755368000,2767941000,2094014000,-978780000,-4035000,1111199000,1111199000,3879140000,7015000,43112000,143649000,95836000,289612000,-98913000,-144565000,8839000,-247139000,3723000,3723000,-59919000,-174321000,-131848000,-131848000,-5937000,-137785000,43390000,661707000,35253000,0.76495,0.00039,0.00981,0.00631,0.00181,5.02537,1.16502,2.49095,0.17058,0.03901,0.04627,3.97824,6.17888,0.19603,0.00376,0.01889,-19.27207,-3007.96763
"28","2019_Q2",262.789365079365,"Up",788926000,-186252000,602674000,-618387000,-445865000,-172522000,-15713000,4257000,12425000,-11456000,-11456000,9911000,-1545000,-1545000,-1545000,-1545000,1662113000,639722000,1022391000,422559000,422559000,289814000,145185000,144629000,2374486000,350651000,999125000,754689000,2024409000,4398895000,344829000,38668000,306161000,1753012000,1711060000,2097841000,436228000,36722000,399506000,1106103000,3203944000,2165115000,-980487000,10323000,1194951000,1194951000,4398895000,-1545000,55449000,204419000,102525000,360848000,-47124000,-175613000,21864000,-200873000,53093000,53093000,-139493000,-86400000,73575000,73575000,1079000,74654000,39736000,669875000,85226000,0.76392,-0.01992,-0.00196,-0.00129,-0.00035,-55.16246,1.13187,2.68123,0.15228,-0.00848999999999997,-0.00848999999999999,4.33329,6.56344,0.46812,-0.00067,0.03704,-24.97076,63.1475800000003
"29","2019_Q3",271.8771875,"Up",833904000,-198147000,635757000,-662757000,-479337000,-183420000,-2.7e+07,10685000,18954000,-16315000,-16315000,5236000,-11079000,-11079000,-11079000,-11079000,1653384000,583581000,1069803000,503376000,503376000,285527000,133482000,152045000,2442287000,364007000,1049693000,775622000,2160416000,4602703000,426627000,65711000,360916000,1798352000,1752220000,2224979000,438633000,37159000,401474000,1116778000,3341757000,2238970000,-991566000,13542000,1260946000,1260946000,4602703000,-11079000,60328000,214363000,-19877000,243735000,-86056000,-116710000,249000,-202517000,10207000,10207000,-108126000,-97919000,-56701000,-56701000,207000,-56494000,33328000,678145000,-77841000,0.76239,-0.03238,-0.01329,-0.00879,-0.00241,7.026,1.09767,2.6502,0.14734,-0.05932,-0.05932,4.46472,6.75111,-0.41676,-0.00466,-0.03274,-29.26185,36.11996
