"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","liabilities_from_discontinued_operations_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"13","2013_Q2",40.2084375,"Down",844572000,-466871000,377701000,-142373000,-32421000,-3353000,-106599000,235328000,-2966000,-882000,-2084000,232362000,13971000,246333000,-86722000,159611000,-8000,-8000,159603000,159603000,159603000,241146000,241146000,580173000,580173000,78550000,79563000,48557000,979432000,4491051000,441794000,22011000,22011000,4954856000,5934288000,382028000,107553000,274475000,427233000,1.95e+08,1321660000,1226216000,2583000,92861000,1516660000,1943893000,265515000,10826000,254689000,-91098000,3648872000,167106000,3990395000,3990395000,5934288000,159611000,106599000,3044000,72676000,-8000,341922000,-212030000,-193928000,-7432000,473000,4016000,-2943000,145051000,145051000,145051000,341927000,2.35e+08,289295000,0.44721,0.27864,0.18898,0.04,0.0269,1.81259,2.2925,0.48714,0.0396,1.50758,1.4859,7.97767,37.69253,2.73263,0.0702,0.03011,0.05215,0.04657,-0.01797,-0.02612
"14","2013_Q3",43.3196875,"Up",838309000,-461737000,376572000,-148965000,-32836000,-3696000,-112433000,227607000,-768000,-871000,103000,226839000,5312999.99999999,232152000,-81085000,151067000,13000,13000,151080000,151080000,151080000,172993000,172993000,603238000,603238000,82725000,73020000,50450000,931976000,4560562000,501383000,18531000,18531000,5080476000,6012452000,260890000,94653000,166237000,304537000,1.95e+08,1338283000,1252297000,426000,85560000,1533283000,1837820000,276786000,10843000,265943000,-91098000,3783890000,205054000,4174632000,4174632000,6012452000,151067000,112433000,12878000,-1.24e+08,13000,152391000,-210292000,-210292000,-16037000,4433000,1352000,-10252000,-68153000,-68153000,-68153000,340040000,2.35e+08,86833000,0.4492,0.27151,0.18022,0.03619,0.02513,0.57475,3.0603,0.44024,0.03909,1.42091,1.40167,7.88433,39.26257,0.81667,0.15083,0.02907,0.01511,0.10615,0.18235,0.27243
"15","2013_Q4",51.44140625,"Up",840197000,-450990000,389207000,-153253000,-31090000,-4373000,-117790000,235954000,-2964000,-1750000,-1214000,232990000,157375000,390365000,-139387000,250978000,15181000,15181000,266159000,266159000,266159000,480480000,480480000,622405000,622405000,86586000,91019000,68277000,1280490000,4613301000,287634000,16186000,16186000,4917121000,6197611000,388885000,134153000,254732000,432854000,1.95e+08,1274733000,1193634000,491000,80608000,1469733000,1902587000,284135000,10848000,273287000,-91098000,3996530000,105457000,4295024000,4295024000,6197611000,250978000,117790000,-155642000,54023000,181000,267330000,-174499000,54620000,-16050000,1212000,375000,-14463000,307487000,307487000,307487000,353744000,2.35e+08,372655000,0.46323,0.28083,0.31678,0.06197,0.04295,1.40012,2.95825,0.44297,0.03792,2.50079,2.46841,7.89436,40.35539,3.50141,0.1508,0.04862,0.0642,0.0603,-0.69395,-1.04037
"16","2014_Q1",61.8967213114754,"Up",864536000,-473170000,391366000,-152517000,-29903000,-3813000,-118801000,238849000,2213000,-973000,3186000,241062000,4385000,245447000,-85650000,159797000,0,0,159797000,159797000,159797000,447868000,447868000,621420000,621420000,88866000,100057000,79938000,1258211000,4676103000,316154000,14359000,14359000,5006616000,6264827000,334063000,144379000,189684000,452273000,8e+07,1288827000,1222981000,495000,65351000,1368827000,1821100000,299632000,10874000,288758000,-91098000,4102663000,132530000,4443727000,4443727000,6264827000,159797000,118801000,16605000,-59661000,2.91038304567337e-11,235542000,-184219000,-184219000,-53534000,7199000,2400000,-83935000,-32612000,-32612000,-32612000,357650000,1.95e+08,199420000,0.45269,0.27627,0.18484,0.03596,0.02551,1.24796,2.78197,0.40981,0.03113,1.50015,1.47289,8.11611,41.71691,1.87212,0.50257,0.03599,0.03364,0.33501,-0.70703,-1.05869
"17","2014_Q2",73.3639682539683,"Up",889152000,-474048000,415104000,-156737000,-32243000,-4257000,-120237000,258367000,-1086000,-741000,-345000,257281000,5664000,262945000,-89763000,173182000,-4700372.17704038,-4700372.17704038,173182000,173182000,173182000,581414000,581414000,630240000,630240000,97335000,82301000,61222000,1391290000,4693770000,312455000,13072000,13072000,5019297000,6410587000,360488000,130490000,229998000,478737000,8e+07,1283238000,1222653000,507000,60078000,1363238000,1841975000,333851000,10962000,322889000,-103029000,4208074000,129716000,4568612000,4568612000,6410587000,173182000,120237000,1972000,9467000,-66917.5191681313,304858000,-132730000,-132730000,-53860000,8201000,7077000,-38582000,133546000,133546000,133546000,378604000,1.95e+08,345104000,0.46685,0.29058,0.19477,0.03791,0.02701,1.99272,2.90617,0.40318,0.03042,1.61627,1.59502,8.29828,42.63793,3.22079,0.50266,0.03755,0.05707,0.311,-1.02063,-1.4956
"18","2014_Q3",71.59796875,"Down",893430000,-480167000,413263000,-162019000,-34431000,-3625000,-123963000,251244000,-1267000,-1235000,-32000,249977000,25450000,275427000,-100838000,174589000,-19000,-19000,174570000,174570000,174570000,584979000,584979000,624108000,624108000,99829000,80068000,59091000,1388984000,4801236000,284670000,13391000,13391000,5099297000,6488281000,320147000,135300000,184847000,438488000,8e+07,1281720000,1220624000,3638000,57458000,1361720000,1800208000,371027000,11032000,359995000,-110950000,4314571000,113425000,4688073000,4688073000,6488281000,174589000,123963000,-7648000,-55732000,-19000,235153000,-210702000,-187364000,-67685000,11500000,11961000,-44224000,3565000,3565000,3565000,375207000,1.95e+08,209611000,0.46256,0.28121,0.19539,0.03724,0.02691,1.20073,3.16767,0.384,0.03005,1.62112,1.59697,8.2967,43.53506,1.94652,0.62855,0.0393,0.034,0.38772,-1.03937,-1.55219
"19","2014_Q4",52.87296875,"Down",952087000,-515239000,436848000,-167064000,-34222000,-3864000,-128978000,269784000,-716000,-1062000,346000,269068000,26010000,295078000,-102788000,192290000,-11000,-11000,192279000,192279000,192279000,549928000,549928000,705787000,705787000,106250000,88456000,69324000,1450421000,4943660000,279428000,19573000,19573000,5242661000,6693082000,383935000,139396000,244539000,502111000,8e+07,1291884000,1230633000,3786000,57465000,1371884000,1873995000,387513000,11048000,376465000,-112845000,4431974000,112445000,4819087000,4819087000,6693082000,192290000,128978000,-2494000,-60879000,-11000,257884000,-257111000,-231244000,-67997000,2669000,3637000,-61691000,-35051000,-35051000,-35051000,398762000,1.95e+08,183560000,0.45883,0.28336,0.20196,0.0399,0.02873,0.95465,2.88865,0.38887,0.02913,1.77811,1.75809,8.80445,44.56464,1.69748,0.6288,0.04127,0.02911,0.35364,-0.89007,-1.3156
"20","2015_Q1",44.8613114754098,"Down",981299000,-537261000,444038000,-189342000,-34377000,-4159000,-150806000,254696000,-681000,-76000,-605000,254015000,7193000,261208000,-94659000,166549000,-16999.9999999999,-16999.9999999999,166532000,166532000,166532000,360909000,360909000,705214000,705214000,106241000,104637000,80912000,1277001000,5188544000,236644000,18809000,18809000,5443997000,6720998000,464309000,182031000,282278000,507161000,39502000,1283358000,1215259000,3989000,64110000,1322860000,1830021000,395023000,11051000,383972000,-112969000,4525797000,83126000,4890977000,4890977000,6720998000,166549000,150806000,-2484000,16333000,-17000,331187000,-320817000,-320817000,-74844000,880000,892000.000000001,-188072000,-177702000,-177702000,-177702000,405502000,79137000,195677000,0.4525,0.25955,0.16971,0.03405,0.02478,1.17501,2.51794,0.37416,0.01177,1.5387,1.52354,9.06688,45.191,1.80799,0.69153,0.0386,0.03129,0.44943,-0.69487,-1.10631
"21","2015_Q2",51.1396825396825,"Up",1060787000,-559463000,501324000,-175126000,-32736000,-4158000,-138232000,326198000,19000,-295000,314000,326217000,4173000,330390000,-126767000,203623000,-15000,-15000,203608000,203608000,203608000,251636000,251636000,734329000,734329000,110773000,113254000,90118000,1209992000,5400016000,165581000,25930000,25930000,5591527000,6801519000,403278000,168346000,234932000,447456000,4e+07,1392841000,1317264000,4221000,71356000,1432841000,1880297000,406408000,11083000,395325000,-180613000,4654349000,41078000,4921222000,4921222000,6801519000,203623000,138232000,127352000,-75883000,-15000,393309000,-362821000,-362821000,-74822000,-61716000,-1525000,-138063000,-107575000,-107575000,-107575000,464430000,81002000,152493000,0.4726,0.30751,0.19194,0.04137,0.02994,0.74895,2.70416,0.38208,0.01191,1.88573,1.87066,9.82456,45.57826,1.41233,0.69297,0.04354,0.02385,0.36748,-0.36741,-0.5231
"22","2015_Q3",39.56,"Down",885670000,-467099000,418571000,-190100000,-34995000,-4857000,-150248000,228471000,19000,-35999.9999999998,55000,228490000,2855000,231345000,-77803000,153542000,1000,1000,153543000,153543000,153543000,719127000,719127000,623706000,623706000,124269000,101267000,79132000,1568369000,5572818000,164648000,38315000,38315000,5775781000,7344150000,348629000,172373000,176256000,391145000,532908000,1417721000,1320364000,4177000,93180000,1950629000,2341774000,413527000,11085000,402442000,-180613000,4729390000,40072000,5002376000,5002376000,7344150000,153542000,150248000,12617000,106851000,1000,423259000,-388053000,-388053000,-74525000,983000,-4296000,431847000,467053000,467053000,467053000,378719000,572115000,175320000,0.4726,0.25796,0.17336,0.03069,0.02091,1.14183,4.00969,0.46813,0.0779,1.4263,1.41649,8.22723,46.46846,1.6286,0.69228,0.03262,0.02507,0.48537,-0.38818,-0.64346
"23","2015_Q4",39.108125,"Down",661445000,-350640000,310805000,-177547000,-29253000,-3329000,-144965000,133258000,-4829000,-4548000,-281000,128429000,1791000,130220000,-39321000,90899000,-27000,-27000,90872000,90872000,90872000,770918000,770918000,490224000,490224000,128217000,112332000,95327000,1501691000,5630311000,159976000,43839000,43839000,5834126000,7335817000,303952000,128670000,175282000,346503000,532388000,1435417000,1325920000,4428000,105069000,1967805000,2314308000,420245000,11086000,409159000,-181469000,4745771000,36962000,5021509000,5021509000,7335817000,90899000,144965000,18320000,80831000,-27000,334988000,-202971000,-202971000,-74480000,470000,-1516000,-77262000,54755000,54755000,54755000,278223000,571545000,195404000,0.46989,0.20146,0.13738,0.0181,0.01239,2.15032,4.33385,0.46088,0.07791,0.84412,0.83774,6.14423,46.64532,1.81513,0.69185,0.02353,0.0278,0.81961,-0.71659,-1.49614
"24","2016_Q1",37.9190163934426,"Down",553800000,-326274000,227526000,-216082000,-37728000,-3760000,-174594000,11444000,-5293000,-4304000,-989000,6151000.00000001,-36227000,-30076000,2486000.00000001,-27590000,-6000,-6000,-27596000,-27596000,-27596000,774927000,729384000,445948000,445948000,128541000,89778000,64475000,1439194000,5563170000,104354000,40524000,40524000,5708048000,7147242000,305726000,108169000,197557000,348197000,492443000,1410756000,1295916000,4720000,110120000,1903199000,2251396000,431240000,11099000,420141000,-182363000,4648346000,-1377000,4895846000,4895846000,7147242000,-27590000,174594000,35721000,94299000,-6000,277018000,-154957000,-200564000,-74540000,3259000,495000,-121610000,-45156000,-45156000,-45156000,186038000,531537000,122894000,0.41085,0.02066,-0.04983,-0.00564,-0.00386,-4.45333,4.13328,0.45986,0.07437,-0.25614,-0.25418,5.1402,45.44172,1.14066,0.69186,0.00687,0.01797,-2.70112,-1.30828,-21.26791
"25","2016_Q2",44.86953125,"Up",487847000,-276644000,211203000,-177122000,-32074000,-2919000,-142129000,34081000,-4052000,-3791000,-261000,30029000,4589000,34618000,-18720000,15898000,104000,104000,16002000,16002000,16002000,895938000,848230000,373896000,373896000,127242000,79600000,71151000,1476676000,5530817000,85276000,37505000,37505000,5653598000,7130274000,366388000,96442000,269946000,408790000,492668000,1398523000,1295601000,5139000,97783000,1891191000,2299981000,438720000,11130000,427590000,-185950000,4589597000,-12074000,4830293000,4830293000,7130274000,15898000,142129000,27482000,122583000,104000,308196000,-108412000,-110730000,-74560000,-59000,-4001000,-78620000,118846000,118846000,118846000,176210000,531760000,209101000,0.43293,0.06986,0.0328,0.00331,0.00224,13.06718,3.61231,0.47616,0.07458,0.14837,0.14761,4.5233,44.78631,1.93878,0.69132,0.0134,0.03093,4.65942,-2.06673,-10.68566
"26","2016_Q3",46.07875,"Up",438191000,-221611000,216580000,-177643000,-33811000,-2315000,-141517000,38937000,-4269000,-4922000,653000,34668000,2684000,37352000,-12178000,25174000,-3969000,-3969000,21205000,21205000,21205000,943539000,898013000,330726000,330726000,129649000,56463000,56233000,1460377000,5446352000,83363000,35013000,35013000,5564728000,7025105000,332102000,91437000,240665000,371328000,492919000,1378758000,1278664000,4110000,95984000,1871677000,2243005000,447253000,11136000,436117000,-187986000,4536047000,-13214000,4782100000,4782100000,7025105000,25174000,141517000,-11194000,28830000,-6000.00000000003,184321000,-62354000,-60229000,-74740000,-140000,571000.000000001,-74309000,49783000,49783000,49783000,180454000,532063000,159108000,0.49426,0.08886,0.04839,0.00443,0.00302,7.50332,3.93285,0.46904,0.07574,0.19632,0.19553,4.0568,44.27296,1.47303,0.69195,0.01434,0.02377,3.52464,-2.28023,-10.56774
