"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_marketable_securities","other_long_term_assets","prepaid_expense","investments_in_affiliates","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",106.485,"Down",136476000,-32358000,104118000,-61734000,-5276000,-42602000,-13856000,42384000,-21443000,-25064000,3547000,74000,20941000,-1211000,19730000,19730000,20221000,-2634000,17587000,16219000,1943000,1943000,24934000,24934000,77193000,3780021000,4817684000,-1037663000,141573000,141573000,535885000,36517000,477967000,4457479000,4534672000,121205000,76828000,44377000,2533829000,94198000,87024000,2749232000,4349000,4349000,4349000,2753581000,2116534000,3000,2116531000,-524591000,1665693000,115398000,1781091000,4534672000,20221000,43040000,5633000,21964000,90858000,-101762000,-39372000,-52759000,-8910000,-202803000,-40013000,59569000,98683000,-8483000,109756000,-2189000,-2189000,-2189000,85424000,2533829000,0.7629,0.31056,0.11884,0.00911,0.00358,0.02808,1.54601,0.55877,0.45546,0.45506,3.83249,44.7046,1.12364,0.01302,2.46704,29.63905,59.73683
"12","2013_Q1",112.615666666667,"Up",138199000,-31985000,106214000,-60304000,-8133000,-44036000,-8135000,45910000,6884000,-37508000,32747000,11645000,52794000,-4563000,48231000,48231000,49640000,-4479000,45161000,43793000,18606000,18606000,23520000,23520000,108289000,4019006000,5100523000,-1081517000,92713000,92713000,627215000,35003000,571345000,4738934000,4847223000,109910000,64858000,45052000,2677683000,175165000,168559000,2962758000,4349000,4349000,4349000,2967107000,2204781000,3000,2204778000,-513727000,1764804000,115312000,1880116000,4847223000,49640000,45017000,-36476000,-18362000,39819000,-293122000,0,-85608000,93003000,-285727000,-40806000,223540000,89336000,-9499000,262571000,16663000,16663000,16663000,90927000,2677683000,0.76856,0.3322,0.31688,0.02329,0.00903,0.03655,1.57815,0.55242,1.21915,1.21656,3.8473,47.07699,1.13599,0.01854,0.93179,29.24409,57.91934
"13","2013_Q2",118.0078125,"Up",148005000,-32253000,115752000,-68800000,-6239000,-46787000,-15774000,46952000,-18907000,-25211000,4211000,2093000,28045000,1116000,29161000,29161000,29703000,-3132000,26571000,25203000,30844000,30844000,24790000,24790000,66993000,4160267000,5287297000,-1127030000,80432000,80432000,628767000,28329000,579654000,4869466000,4936459000,136857000,86461000,50396000,2671238000,139800000,133693000,2947895000,4349000,4349000,4349000,2952244000,2329386000,3000,2329383000,-532671000,1870465000,113750000,1984215000,4936459000,29703000,47144000,36210000,10665000,123722000,-189528000,-6541000,-49537000,101839000,-143767000,-41152000,-44572000,124272000,-6265000,32283000,12238000,12238000,12238000,94096000,2671238000,0.78208,0.31723,0.17028,0.0127,0.00511,0.02273,1.48786,0.54112,0.64485,0.6434,3.7869,45.97134,1.05293,0.01424,1.63282,28.06064,56.23603
"14","2013_Q3",117.166875,"Down",149875000,-34132000,115743000,-67485000,-7349000,-47672000,-12464000,48258000,-20129000,-32257000,7282000,4846000,28129000,856000,28985000,28985000,29575000,-3261000,26314000,24946000,20217000,20217000,25167000,25167000,155928000,4145179000,5318512000,-1173333000,88734000,88734000,669157000,27890000,618259000,4903070000,5058998000,126898000,76410000,50488000,2921246000,36461000,34533000,3084605000,4349000,4349000,4349000,3088954000,2331833000,3000,2331830000,-547428000,1858155000,111889000,1970044000,5058998000,29575000,48031000,18746000,-12030000,84322000,-23915000,-7461000,-64107000,-99889000,-195372000,-46446000,153972000,2823000,-9926000,100423000,-10627000,-10627000,-10627000,96289000,2921246000,0.77226,0.32199,0.16645,0.01266,0.00493,0.05055,1.56796,0.57744,0.63244,0.66717,3.79967,45.2387,1.17751,0.01458,1.86186,30.12835,60.11499
"15","2013_Q4",117.03203125,"Down",153949000,-35785000,118164000,-69027000,-6264000,-48228000,-14535000,49137000,13996000,-29193000,40802000,2387000,63133000,-415000,62718000,62718000,75875000,-5719000,70156000,68788000,9509000,9509000,46485000,46485000,123622000,4126624000,5340716000,-1214092000,89899000,89899000,745457000,49270000,674075000,4961980000,5085602000,134330000,83844000,50486000,2905404000,47815000,44654000,3087549000,4349000,4349000,4349000,3091898000,2330044000,3000,2330041000,-523594000,1880200000,113504000,1993704000,5085602000,75875000,48487000,8813000,966000,134141000,-59406000,-2440000,-59093000,33988000,-86951000,-46548000,-4434000,566000,-7482000,-57898000,-10708000,-10708000,-10708000,97624000,2905404000,0.76755,0.31918,0.44682,0.0345,0.01353,0.04004,1.55083,0.5713,1.7429,1.64947,3.90065,45.77058,1.1794,0.02352,0.67669,29.66376,58.93512
"16","2014_Q1",124.010163934426,"Up",158761000,-37890000,120871000,-71068000,-6832000,-49733000,-14503000,49803000,-23986000,-29863000,3569999.99999999,2307000,25817000,-5799000,20018000,20018000,36902000,-3660000,33242000,31874000,18491000,18491000,35275000,35275000,122021000,4239301000,5494187000,-1254886000,90084000,90084000,735433000,29268000,677133000,5064818000,5186839000,117810000,67183000,50627000,2814103000,252339000,252339000,3184252000,4349000,4349000,4349000,3188601000,2345767000,4000,2345763000,-534898000,1884619000,113619000,1998238000,5186839000,36902000,49856000,-122866000,-1095000,-37203000,-197890000,0,10159000,160125000,-27606000,-46522000,113195000,15046000,-7928000,73791000,8982000,8982000,8982000,99659000,2814103000,0.76134,0.3137,0.20077,0.01595,0.00615,0.03832,1.59571,0.54255,1.02817,1.0257,5.1212,58.41369,1.50067,0.01628,1.45956,28.05178,56.13341
"17","2014_Q2",136.855238095238,"Up",161009000,-36967000,124042000,-73234000,-7583000,-50312000,-15339000,50808000,-15636000,-29041000,10526000,2879000,35172000,-8766000,26406000,26406000,26406000,-3126000,23280000,21912000,19918000,19918000,28753000,28753000,84776000,5648254000,6949047000,-1300793000,100348000,100348000,799664000,54024000,716443000,6548266000,6633042000,84931000,83470000,1461000.00000001,2818394000,167964000,165855000,3071289000,4349000,4349000,4349000,3075638000,2505007000,4000,2505003000,-554763000,2023994000,1533410000,3557404000,6633042000,26406000,50312000,-2834000,18010000,91894000,-66722000,-10340000,-39679000,56151000,-60590000,-96388000,-78805000,158772000,-13456000,-29877000,1427000,1427000,1427000,101120000,2818394000,0.7704,0.31556,0.13609,0.00616,0.0033,0.0276,0.86457,0.4249,0.58145,0.57767,4.27249,51.7511,2.55772,0.01854,4.39887,27.6748,55.07944
"18","2014_Q3",146.9215625,"Up",259788000,-53213000,206575000,-141195000,-9558000,-101292000,-30345000,65380000,-33708000,-42151000,5629000,2814000,31672000,-27026000,4646000,4646000,4646000,-2125000,2521000,1207000,17946000,17946000,29592000,29592000,114060000,10017731000,11402457000,-1384726000,106358000,106358000,1110214000,113398000,964970000,11234303000,11348363000,219039000,132424000,86615000,4999004000,134572000,134572000,5352615000,0,0,0,5352615000,6414264000,6000,6414258000,-629566000,5858448000,137300000,5995748000,11348363000,4646000,101292000,-3220999.99999999,-5620999.99999999,97096000,-146177000,-4001000,-18350000,-507019000,-675547000,1427000.00000001,322639000,125065000,-13005000,436126000,-142325000,-1972000,-1972000,166672000,4999004000,0.79517,0.25167,0.00464999999999999,2e-04,0.00011,0.02131,0.89274,0.4405,0.0195,0.0194499999999999,4.19792,93.47502,-0.0230599999999996,-2e-05,-1.18227,29.88539,76.18626
"19","2014_Q4",155.4159375,"Up",270872000,-56294000,214578000,-145534000,-11480000,-102286000,-31768000,69044000,-37927000,-45829000,4910000,2992000,31117000,27464000,58581000,58581000,58581000,-3720000,54861000,53566000,17877000,17877000,70123000,70123000,110973000,10274724000,11744715000,-1469991000,108147000,108147000,1172718000,87999861.4437929,1043277000,11555589000,11666562000,254769000,167160000,87609000,5003497000,293411000,293411000,5551677000,0,0,0,5551677000,6569448000,6000,6569442000,-659906000,5983292000,131593000,6114885000,11666562000,58581000,102286000,-33611000,41915000,169171000,-410843000,-1175000,-70239000,66059000,-416198000,-82439000,165648000,172153000,-8404000,246958000,-69000,-69000,-69000,171330000,5003497000,0.79217,0.2549,0.19775,0.00876,0.00459,0.01999,0.9079,0.42888,0.85171,0.84931,4.3069,93.96244,1.31079,0.01223,1.53902,29.09952,72.20932
"20","2015_Q1",178.781639344262,"Up",279269000,-58199000,221070000,-149380000,-12257000,-106702000,-30421000,71690000,-25576000,-47530000,18828000,3126000,46114000,-1309000,44805000,44805000,44805000,-3317000,41488000,40174000,25610000,25610000,70139000,70139000,120672000,10165271000,11730077000,-1564806000,117240000,117240000,1123549000,33378000,1042423000,11406060000,11526732000,223383000,135162000,88221000,4837865000,306160000,306160000,5367408000,0,0,0,5367408000,6651171000,6000,6651165000,-702249000,6022672000,136652000,6159324000,11526732000,44805000,106702000,-3630000,-12726000,135151000,-76863999.9999999,-5e+06,-673564000,760607000,5179000,-83174000,-130096000,86428000,-5755000,-132597000,7732999.99999997,7733000.00000001,7733000.00000001,178392000,4837865000,0.7916,0.25671,0.14385,0.00652,0.00349,0.02248,0.87143,0.41971,0.63043,0.63043,4.3824,93.35274,1.3052,0.01122,2.07034,26.97573,67.12589
"21","2015_Q2",175.863968253968,"Down",282873000,-55618000,227255000,-149005000,-10545000,-106907000,-31553000,78250000,-39036000,-47546000,4311000,4199000,39214000,25539000,64753000,64753000,64753000,-4076000,60677000,59363000,219200000,219200000,36030000,36030000,284184000,10518423000,12177115000,-1658692000,128502000,128502000,1154050000,25836000,1057298000,11800975000,12085159000,260974000,162100000,98874000,5436053000,62360000,62360000,5759387000,0,0,0,5759387000,6848261000,6000,6848255000,-735304000,6186707000,139065000,6325772000,12085159000,64753000,106907000,-34746000,25635000,162549000,-325451000,-7250000,-90163000,136008000,-286856000,-83663000,219732000,190205000,-10184000,316090000,191783000,193590000,193590000,185157000,5436053000,0.80338,0.27663,0.20986,0.00938,0.00491,0.04934,0.91046,0.44981,0.92487,0.92186,4.40712,95.23898,1.30346,0.01216,1.40935,28.17529,66.66905
"22","2015_Q3",176.39734375,"Up",296162000,-57401000,238761000,-155956000,-9549000,-113731000,-32676000,82805000,-43076000,-50802000,4472000,3254000,39729000,10813000,50542000,50542000,50542000,-3674000,46868000,45555000,30242000,30242000,34910000,34910000,90828000,10731813000,12490700000,-1758887000,121244000,121244000,1101119000,31004000,1044208000,11954176000,12045004000,245938000,146251000,99687000,5340569000,90027000,90027000,5676534000,0,0,0,5676534000,6941635000,6000,6941629000,-781333000,6234052000,134418000,6368470000,12045004000,50542000,113731000,-13804000,-25970000,124499000,-178285000,-9.31322574615479e-10,-123073000,13060000.0000001,-288298000,-93356000,-27013000.0000001,100805000,-7793000,-27356999.9999999,-191156000,-188958000,-188958000,196536000,5340569000,0.80618,0.27959,0.15382,0.00715,0.00378,0.016,0.89135,0.44338,0.7029,0.70114,4.56968,95.05145,1.44045,0.01186,2.0493,27.01961,64.13051
"23","2015_Q4",184.88046875,"Up",304626000,-60528000,244098000,-161028000,-11129000,-116308000,-33591000,83070000,-35507000,-50053000,7179000,7367000,47563000,-381000,47182000,47182000,47182000,-3545000,43637000,42323000,35668000,35668000,36638000,36638000,94974000,10697866000,1.2556e+10,-1858134000,133058000,133058000,1086819000,38101000,1036043000,11917743000,12012717000,277752000,177807000,99945000,5315409000,63144000,63144000,5656305000,0,0,-1.81898940354586e-12,5656305000,6980449000,6000,6980443000,-833158000,6221041000,135371000,6356412000,12012717000,47182000,116308000,931000,36439000,200860000,-71756000,-7050000,-21608000,15247000,-85167000,-94981000,-49531000,38998000,-4753000,-110267000,5426000,5426000,5426000,199378000,5315409000,0.8013,0.2727,0.13893,0.00666,0.00352,0.01679,0.88986,0.44248,0.64973,0.64816,4.67656,94.37209,1.45813,0.01176,2.24419,26.48106,63.55773
"24","2016_Q1",177.637868852459,"Down",310746000,-61406000,249340000,-156079000,-8867000,-116477000,-30735000,93261000,-46204000,-56426000,5899000,4323000,47057000,38705000,85762000,85762000,85762000,-4824000,80938000,79624000,29683000,29683000,93372000,93372000,142340000,10650782000,12600674000,-1949892000,137485000,137485000,1077777000,41730000,1036047000,11866044000,12008384000,231681000,131415000,100266000,5303757000,90471000,90471000,5625909000,0,0,0,5625909000,7003323000,6000,7003317000,-839340000,6237733000,144742000,6382475000,12008384000,85762000,116477000,-29154000,-42825000,130260000,-254757000,0,-8759000.00000001,198281000,-65235000,-95257000,5315999.99999999,28669000,-9738000,-71010000,-5984999.99999997,-5985000,-5985000,209738000,5303757000,0.80239,0.30012,0.25623,0.01248,0.00663,0.0253,0.88146,0.44167,1.21838,1.21412,4.75493,94.31921,1.45759,0.01496,1.19634,25.14601,56.55176
"25","2016_Q2",182.06171875,"Up",314202000,-60071000,254131000,-153308000,-9182000,-109707000,-34419000,100823000,-32190000,-52466000,15068000,5208000,68633000,18274000,86907000,86907000,86907000,-5071000,81836000,77981000,48164000,48164000,32319000,32319000,98681000,10720586000,12772388000,-2051802000,138597000,138597000,1109620000,39936000,1069684000,11968803000,12067484000,281853000,170444000,111409000,5188520000,235918000,235918000,5706291000,0,0,0,5706291000,7010187000,6000,7010181000,-868195000,6215742000,145451000,6361193000,12067484000,86907000,109707000,-32374000,36370000,200610000,-162804000,-1344000,-50591000,133980000,-80759000,-95476000,-4008000,5098000,-6984000,-101370000,18481000,18481000,18481000,210530000,5188520000,0.80881,0.32089,0.24819,0.01226,0.00646,0.01729,0.89705,0.42996,1.19227,1.1895,4.8039,93.90613,1.45975,0.01502,1.22435,24.41626,50.98396
"26","2016_Q3",186.8059375,"Up",321590000,-61538000,260052000,-153912000,-9698000,-109673000,-34541000,106140000,-31863000,-55568000,14296000,9409000,74277000,2547000,76824000,76824000,76824000,-4811000,72013000,72013000,182515000,182515000,32861000,32861000,235824000,10668226000,12828066000,-2159840000,152263000,152263000,1150378000,47106000,1103272000,11970867000,12206691000,255380000,145217000,110163000,5618286000,73418000,73418000,5947084000,0,0,0,5947084000,7017968000,6000,7017962000,-899822000,6118146000,141461000,6259607000,12206691000,76824000,109673000,-6963000,-29791000,149743000,-57172000,-15008000,-46107000,17914000,-100373000,-106012000,271451000,6383000,-86841000,84981000,134351000,134351000,134351000,215813000,5618286000,0.80864,0.33005,0.22393,0.0115,0.0059,0.03965,0.95007,0.46026,1.10026,1.09817,4.91344,93.47658,1.61971,0.01499,1.47212,25.18741,51.21322
"27","2016_Q4",178.783968253968,"Down",329171000,-63781000,265390000,-155694000,-9647000,-110467000,-35580000,109696000,-42182000,-56693000,9568000,4943000,67514000,2648000,70162000,70162000,70162000,-4601000,65561000,65561000,195167000,195167000,15888000,15888000,233996000,10614884000,12884718000,-2269834000,153703000,153703000,1174613000,51700000,1122913000,11943200000,12177196000,295408000,185185000,110223000,5584687000,69090000,69090000,5949185000,0,0,2.8421709430404e-14,5949185000,7024833000,6000,7024827000,-936215000,6088618000,139393000,6228011000,12177196000,70162000,110467000,5057000,44458000,230144000,-66139000,-2427000,-25274000,10157000,-83683000,-104796000,-27302000,6015000,-7726000,-133809000,12652000,12652000,12652000,220163000,5584687000,0.80624,0.33325,0.19917,0.01053,0.00538,0.03933,0.95523,0.45862,1.00081,0.99914,5.02492,92.94512,1.59975,0.01442,1.59845,24.47968,49.13142
