"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","other_share_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",47.45484375,"Down",6.304e+09,-4.04e+09,2.264e+09,-7.64e+08,-7.64e+08,1.5e+09,-2.27e+08,-3.17e+08,-3.17e+08,9e+07,1.273e+09,1.273e+09,-2.7e+08,1.003e+09,1.003e+09,0,1.003e+09,1.003e+09,1.794e+09,1.794e+09,1.044e+09,1.044e+09,3.089e+09,1.444e+09,9.56e+08,7.371e+09,7.145e+09,1.06067e+11,5.9583e+10,4.4844e+10,1.64e+09,1.13212e+11,1.20583e+11,5.069e+09,3.45e+08,4.724e+09,1.5e+09,1.5e+09,1.0287e+10,2.8465e+10,1.5529e+10,1.4106e+10,1.423e+09,4.3994e+10,5.4281e+10,5.8668e+10,1.2e+07,5.8656e+10,-2.4e+08,8.634e+09,-9.75e+08,6.6087e+10,2.15e+08,6.6302e+10,1.20583e+11,1.003e+09,2.27e+08,-1.42e+08,-6.8e+08,4.08e+08,-2.23e+08,4.42e+08,4e+06,-8.97e+08,5.12e+08,1.4e+07,-3.71e+08,4.1e+07,4.1e+07,-1e+07,3.1e+07,1.727e+09,3.2183e+10,1.094e+09,0.35914,0.23794,0.15911,0.01513,0.00832,1.09073,0.71654,0.81869,0.2669,0.82281,0.81678,5.17145,54.21411,0.89746,0.73585,0.01666,0.0096,0.89432,17.59641,20.25933
"12","2018_Q3",48.2834920634921,"Up",6.69e+09,-4.343e+09,2.347e+09,-7.56e+08,-7.56e+08,1.591e+09,-2.96e+08,-3.16e+08,-3.16e+08,2e+07,1.295e+09,1.061e+09,-3.08e+08,753000000.000001,753000000.000001,1e+06,754000000.000001,753999999.999999,3.369e+09,3.369e+09,1.95e+09,1.95e+09,3.094e+09,1.067e+09,4.68e+08,9.48e+09,7.117e+09,1.05152e+11,5.9084e+10,4.4302e+10,1.766e+09,1.12269e+11,1.21749e+11,5.12e+09,4.04e+08,4.716e+09,1.236e+09,1.236e+09,9.113e+09,3.1269e+10,1.5652e+10,1.426e+10,1.392e+09,4.6921e+10,5.6034e+10,5.8701e+10,1.2e+07,5.8689e+10,-2.54e+08,8.624e+09,-1.551e+09,6.552e+10,1.95e+08,6.5715e+10,1.21749e+11,753000000.000001,2.35e+08,3.33e+08,-1.513e+09,-1.92e+08,-2.15e+08,7.72e+08,5.75e+08,-7.62e+08,2.041e+09,-1.7e+07,1.262e+09,1.645e+09,1.645e+09,-7e+07,1.575e+09,1.826e+09,3.4026e+10,406000000.000001,0.35082,0.23782,0.11271,0.01147,0.00619,0.53846,1.04027,0.85268,0.27948,0.618540000000001,0.61501,5.48811,53.74897,0.33306,0.6251,0.01314,0.00352,1.01061,16.78916,19.26901
"13","2018_Q4",42.2998412698413,"Down",6.374e+09,-4.268e+09,2.106e+09,-1.317e+09,-1.317e+09,7.89e+08,-2.43e+08,-3.29e+08,-3.29e+08,8.6e+07,5.46e+08,7.8e+08,-1.6e+08,6.2e+08,6.2e+08,2e+06,6.22e+08,6.22e+08,1.366e+09,1.366e+09,2.032e+09,2.032e+09,3.287e+09,9.05e+08,7.1e+08,7.59e+09,7.216e+09,1.04924e+11,5.8727e+10,4.4308e+10,1.889e+09,1.1214e+11,1.1973e+11,5.225e+09,3.15e+08,4.91e+09,9.78e+08,9.78e+08,7.581e+09,3.0998e+10,1.5573e+10,1.4215e+10,1.358e+09,4.6571e+10,5.4152e+10,5.8805e+10,1.2e+07,5.8793e+10,-2.64e+08,8.576e+09,-1.732e+09,6.5385e+10,1.93e+08,6.5578e+10,1.1973e+11,6.2e+08,2.74e+08,2.9e+08,-5.01e+08,6.83e+08,-1.56e+08,1.13e+08,-9.4e+07,-7.62e+08,-1.755e+09,-3.2e+07,-2.549e+09,-1.96e+09,-1.96e+09,-4.8e+07,-2.008e+09,1.063e+09,3.2376e+10,5.66e+08,0.3304,0.12378,0.09758,0.00948,0.0052,0.90997,1.00119,0.82576,0.27041,0.51025,0.50734,5.22888,53.63823,0.46432,0.6251,0.01219,0.00499,1.22508,29.17215,39.30292
"14","2019_Q1",33.5955737704918,"Down",6.9e+09,-4.696e+09,2.204e+09,-3.53e+08,-3.53e+08,1.851e+09,-3.5e+08,-3.22e+08,-3.22e+08,-2.8e+07,1.501e+09,-1.4435e+10,1.805e+09,-1.263e+10,-1.263e+10,5.9e+07,-1.2571e+10,-1.2571e+10,1.13e+09,1.13e+09,2.129e+09,2.129e+09,2.667e+09,3.149e+09,1.221e+09,9.075e+09,7.078e+09,8.7308e+10,4.9468e+10,3.6503e+10,1.337e+09,9.4386e+10,1.03461e+11,5.283e+09,4.08e+08,4.875e+09,1.822e+09,1.822e+09,7.503e+09,3.077e+10,1.341e+10,1.2202e+10,1.208e+09,4.418e+10,5.1683e+10,5.8735e+10,1.2e+07,5.8723e+10,-2.82e+08,-4.853e+09,-1.943e+09,5.1657e+10,1.21e+08,5.1778e+10,1.03461e+11,-1.263e+10,2.47e+08,1.3427e+10,6.31e+08,1.675e+09,-2.32e+08,1.7e+07,-1.97e+08,-7.62e+08,-9.5e+08,7e+06,-1.705e+09,-2.27e+08,-2.27e+08,-4e+06,-2.31e+08,2.098e+09,3.1168e+10,6.92e+08,0.31942,0.26826,-1.82188,-0.24279,-0.1215,-0.05505,1.20952,0.99817,0.30125,-10.31255,-10.51087,5.66038,42.37654,0.56768,0.6251,-0.12256,0.00718,-0.0606199999999999,14.31745,16.22798
"15","2019_Q2",26.3728571428571,"Down",5.959e+09,-3.948e+09,2.011e+09,-8.29e+08,-8.29e+08,1.182e+09,5.9e+07,-3.21e+08,-3.21e+08,3.8e+08,1.241e+09,6.21e+08,-2.17e+08,4.04e+08,4.04e+08,1e+06,4.05e+08,4.05e+08,1.096e+09,1.096e+09,2.01e+09,2.01e+09,3.118e+09,2.611e+09,1.116e+09,8.835e+09,7.031e+09,8.7696e+10,4.9553e+10,3.6091e+10,2.052e+09,9.4727e+10,1.03562e+11,5.083e+09,3.56e+08,4.727e+09,1.582e+09,1.582e+09,7.972e+09,2.9803e+10,1.3952e+10,1.2161e+10,1.791e+09,4.3755e+10,5.1727e+10,5.8264e+10,1.2e+07,5.8252e+10,-2.91e+08,-4.586e+09,-1.684e+09,5.1703e+10,1.32e+08,5.1835e+10,1.03562e+11,4.04e+08,2.39e+08,1.66e+08,-5.05e+08,3.04e+08,-2.49e+08,-1.4e+07,1.77e+08,-4.88e+08,-1e+06,-1.5e+07,-5.04e+08,-2.3e+07,-2.3e+07,-1.1e+07,-3.4e+07,1.421e+09,3.111e+10,8.84e+08,0.33747,0.19836,0.06796,0.00781,0.00391,2.18272,1.10825,0.99792,0.3004,0.33197,0.33088,4.88443,42.37951,0.72459,0.4,0.00922,0.00912,1.20494,21.12175,25.39255
"16","2019_Q3",24.4703125,"Down",6.406e+09,-4.324e+09,2.082e+09,-7.5e+08,-7.5e+08,1.332e+09,-1.83e+08,-3.16e+08,-3.16e+08,1.33e+08,1.149e+09,5.51e+08,-1.03e+08,448000000.000002,448000000.000002,1e+06,448999999.999998,4.49e+08,1.452e+09,1.452e+09,2.049e+09,2.049e+09,3.074e+09,2.593e+09,1.058e+09,9.168e+09,7.023e+09,8.701e+10,4.8943e+10,3.5989e+10,2.078e+09,9.4033e+10,1.03201e+11,5.045e+09,3.84e+08,4.661e+09,1.453e+09,1.453e+09,7.797e+09,2.9832e+10,1.3895e+10,1.2128e+10,1.767e+09,4.3727e+10,5.1524e+10,5.7781e+10,1.2e+07,5.7769e+10,-2.91e+08,-4.14e+09,-1.807e+09,5.1543e+10,1.34e+08,5.1677e+10,1.03201e+11,448000000.000002,2.55e+08,490000000.000002,-1.72e+08,1.021e+09,-1.99e+08,4e+06,-1.95e+08,-4.88e+08,1.5e+07,0,-4.73e+08,3.53e+08,3.53e+08,3e+06,3.56e+08,1.587e+09,3.1131e+10,1.319e+09,0.32501,0.20793,0.0700900000000002,0.00868999999999999,0.00435,2.93764,1.17584,0.99704,0.30165,0.368030000000001,0.367430000000002,5.25082,42.24836,1.08115,0.4,0.00969,0.01364,1.08686,18.70132,22.28153
"17","2019_Q4",26.16125,"Up",6.076e+09,-4.129e+09,1.947e+09,-7.62e+08,-7.62e+08,1.185e+09,-1.8e+07,-3.98e+08,-3.98e+08,3.8e+08,1.167e+09,1.162e+09,-2.64e+08,8.98e+08,8.98e+08,1e+06,8.99e+08,8.99e+08,2.315e+09,2.315e+09,1.959e+09,1.959e+09,3.158e+09,1.693e+09,1.124e+09,9.125e+09,6.926e+09,8.6771e+10,4.8714e+10,3.5826e+10,2.231e+09,9.3697e+10,1.02822e+11,4.892e+09,2.78e+08,4.614e+09,1.66e+09,1.66e+09,9.112e+09,2.8112e+10,1.3792e+10,1.201e+10,1.782e+09,4.1904e+10,5.1016e+10,5.7305e+10,1.2e+07,5.7293e+10,-2.65e+08,-3.241e+09,-2.126e+09,5.1673e+10,1.33e+08,5.1806e+10,1.02822e+11,8.98e+08,2.43e+08,-3.13e+08,-1.63e+08,6.65e+08,-1.33e+08,2.6e+07,1.129e+09,-4.88e+08,-3.19e+08,-9.7e+07,-9.04e+08,8.9e+08,8.9e+08,-3.2e+07,8.58e+08,1.428e+09,3.0672e+10,1.396e+09,0.32044,0.19503,0.14796,0.01735,0.00874,1.55284,1.00143,0.98475,0.2983,0.73689,0.73508,4.98033,42.35492,1.14426,0.4,0.01441,0.0145,0.54283,19.85784,23.92996
"18","2020_Q1",23.9320967741935,"Down",6.536e+09,-4.429e+09,2.107e+09,-8.37e+08,-8.37e+08,1.27e+09,-2.67e+08,-3.26e+08,-3.26e+08,5.9e+07,1.003e+09,3.27e+08,-1.44e+08,1.83e+08,1.83e+08,-1e+06,1.82e+08,1.82e+08,2.279e+09,2.279e+09,1.973e+09,1.973e+09,2.721e+09,1.124e+09,6.18e+08,8.097e+09,7.055e+09,8.6298e+10,4.8652e+10,3.5546e+10,2.1e+09,9.3353e+10,1.0145e+11,5.034e+09,3.84e+08,4.65e+09,1.813e+09,1.813e+09,7.875e+09,2.8216e+10,1.361e+10,1.1878e+10,1.732e+09,4.1826e+10,4.9701e+10,5.684e+10,1.2e+07,5.6828e+10,-2.71e+08,-3.06e+09,-1.886e+09,5.1623e+10,1.26e+08,5.1749e+10,1.0145e+11,1.83e+08,2.57e+08,5.17e+08,6.05e+08,1.562e+09,-1.87e+08,5.87e+08,4e+08,-4.89e+08,-1.622e+09,7.9e+07,-2.032e+09,-7e+07,-7e+07,3.4e+07,-3.6e+07,1.527e+09,2.9244e+10,2.089e+09,0.32237,0.19431,0.0278500000000001,0.00352000000000001,0.00179,11.47802,1.02819,0.96042,0.28826,0.14869,0.14833,5.33987,42.17565,1.7067,0.39951,0.00709,0.02208,2.68681,17.65881,21.23228
"19","2020_Q2",26.7609523809524,"Up",6.157e+09,-4.299e+09,1.858e+09,-8.62e+08,-8.62e+08,9.96e+08,-2.29e+08,-3.1e+08,-3.1e+08,8.1e+07,7.67e+08,5.41e+08,-1.6e+08,3.81e+08,3.81e+08,-3e+06,3.78e+08,3.78e+08,5.403e+09,5.403e+09,2.321e+09,2.321e+09,2.831e+09,1.153e+09,5.35e+08,1.1708e+10,6.813e+09,8.5552e+10,4.8259e+10,3.5062e+10,2.231e+09,9.2365e+10,1.04073e+11,5.011e+09,3.74e+08,4.637e+09,1.675e+09,1.675e+09,7.934e+09,3.1531e+10,1.3484e+10,1.1839e+10,1.645e+09,4.5015e+10,5.2949e+10,5.639e+10,1.2e+07,5.6378e+10,-2.69e+08,-2.686e+09,-2.426e+09,5.1009e+10,1.15e+08,5.1124e+10,1.04073e+11,3.81e+08,2.43e+08,3.45e+08,-7.57e+08,2.12e+08,-1.31e+08,9e+06,-1.22e+08,-4.88e+08,3.593e+09,66581598.0295407,3.105e+09,3.195e+09,3.195e+09,-7.1e+07,3.124e+09,1.239e+09,3.2779e+10,5.11e+08,0.30177,0.16177,0.06139,0.00739,0.00363,1.35185,1.47567,1.0357,0.31496,0.30933,0.30882,5.03846,41.74223,0.41817,0.39935,0.00889,0.00525,1.29101,22.09524,27.48594
"20","2020_Q3",30.01671875,"Up",6.648e+09,-4.196e+09,2.452e+09,-9.18e+08,-9.18e+08,1.534e+09,-3.64e+08,-4.42e+08,-4.42e+08,7.8e+07,1.17e+09,-1.703e+09,5.1e+07,-1.652e+09,-1.652e+09,999999.999999999,-1.651e+09,-1.651e+09,2.812e+09,2.812e+09,2.045e+09,2.045e+09,2.815e+09,1.104e+09,5.04e+08,8.776e+09,6.777e+09,8.2753e+10,4.7202e+10,3.331e+10,2.241e+09,8.953e+10,9.8306e+10,5.196e+09,3.78e+08,4.818e+09,2.091e+09,2.091e+09,8.05e+09,2.8097e+10,1.2994e+10,1.1374e+10,1.62e+09,4.1091e+10,4.9141e+10,5.6002e+10,1.2e+07,5.599e+10,-3.3e+08,-4.336e+09,-2.296e+09,4.904e+10,1.25e+08,4.9165e+10,9.8306e+10,-1.652e+09,2.47e+08,2.472e+09,9.37e+08,2.004e+09,-1.27e+08,1.2e+07,-1.15e+08,-4.89e+08,-4.018e+09,-3.5e+07,-4.542e+09,-2.653e+09,-2.653e+09,6.2e+07,-2.591e+09,1.781e+09,2.886e+10,2.54e+09,0.36883,0.23075,-0.24835,-0.03358,-0.01679,-1.53846,1.09019,0.99951,0.29357,-1.35106,-1.35328,5.44026,40.13093,2.07856,0.40016,-0.01277,0.02791,-0.29618,14.62549,16.98044
"21","2020_Q4",29.6425,"Down",6.441e+09,-4.097e+09,2.344e+09,-8.97e+08,-8.97e+08,1.447e+09,-2.41e+08,-3.14e+08,-3.14e+08,7.3e+07,1.206e+09,9.06e+08,-3.08e+08,5.98e+08,5.98e+08,-1e+06,5.97e+08,5.97e+08,2.72e+09,2.72e+09,1.979e+09,1.979e+09,2.661e+09,2.705e+09,4.01e+08,1.0065e+10,6.558e+09,8.1499e+10,4.6418e+10,3.2861e+10,2.22e+09,8.8057e+10,9.8122e+10,5.386e+09,3.33e+08,5.053e+09,1.773e+09,1.773e+09,7.694e+09,2.7882e+10,1.3207e+10,1.1461e+10,1.746e+09,4.1089e+10,4.8783e+10,5.5556e+10,1.2e+07,5.5544e+10,-3.41e+08,-3.739e+09,-2.258e+09,4.9218e+10,1.21e+08,4.9339e+10,9.8122e+10,5.98e+08,2.32e+08,3.81e+08,-1.01e+08,1.11e+09,-1.39e+08,1.4e+07,-1.25e+08,-4.9e+08,-5.71e+08,-1.1e+07,-1.072e+09,-8.7e+07,-8.7e+07,-5e+06,-9.2e+07,1.679e+09,2.8417e+10,1.747e+09,0.36392,0.22465,0.09269,0.0121,0.00608,2.9263,1.30816,0.98873,0.28961,0.48854,0.48854,5.27087,40.2766,1.42962,0.40098,0.01195,0.01921,0.82077,15.30494,17.75881
"22","2021_Q1",33.2186885245902,"Up",6.939e+09,-4.416e+09,2.523e+09,-9.73e+08,-9.73e+08,1.55e+09,-2.64e+08,-3.28e+08,-265144773.738963,6.4e+07,1.286e+09,1.286e+09,-2.52e+08,1.034e+09,1.034e+09,-2e+06,1.032e+09,1.032e+09,3.417e+09,3.417e+09,2.063e+09,2.063e+09,2.773e+09,2.569e+09,5.74e+08,1.0822e+10,6.876e+09,8.2132e+10,4.6667e+10,3.3089e+10,2.376e+09,8.9008e+10,9.983e+10,5.722e+09,3.58e+08,5.364e+09,2.103e+09,2.103e+09,8.061e+09,2.807e+10,1.3456e+10,1.1462e+10,1.988e+09,4.1526e+10,4.9587e+10,5.5108e+10,1.2e+07,5.5096e+10,-3.44e+08,-2.694e+09,-1.967e+09,5.0103e+10,1.4e+08,5.0243e+10,9.983e+10,1.034e+09,2.47e+08,-56999999.9999998,3.79e+08,1.603e+09,-1.99e+08,3.9e+07,-1.6e+08,-4.91e+08,-3.17e+08,-1.4e+07,-8.22e+08,6.21e+08,6.21e+08,7.6e+07,6.97e+08,1.797e+09,2.8306e+10,2.229e+09,0.3636,0.22338,0.14872,0.02054,0.01034,2.15988,1.34251,0.98694,0.28354,0.84176,0.82825,5.65987,40.86705,1.81811,0.40049,0.01655,0.02423,0.47578,13.85031,16.05742
"23","2021_Q2",39.2488888888889,"Up",6.394e+09,-4.193e+09,2.201e+09,-8.82e+08,-8.82e+08,1.319e+09,-3.85e+08,-4.15e+08,-4.15e+08,3e+07,9.34e+08,7.04e+08,-1.36e+08,5.68e+08,5.68e+08,-5e+06,5.63e+08,5.63e+08,2.36e+09,2.36e+09,2.079e+09,2.079e+09,2.676e+09,6.021e+09,6.21e+08,1.3136e+10,6.579e+09,7.8949e+10,4.5021e+10,3.1447e+10,2.481e+09,8.5528e+10,9.8664e+10,5.597e+09,3.71e+08,5.226e+09,1.841e+09,1.841e+09,7.57e+09,2.7074e+10,1.3589e+10,1.1619e+10,1.97e+09,4.0663e+10,4.8233e+10,5.469e+10,1.2e+07,5.4678e+10,-3.73e+08,-2.131e+09,-1.898e+09,5.0288e+10,1.43e+08,5.0431e+10,9.8664e+10,5.68e+08,2.22e+08,4.5e+08,-4.3e+08,8.1e+08,-2.27e+08,1.1e+07,-2.16e+08,-4.89e+08,-1.117e+09,-3.7e+07,-1.643e+09,-1.049e+09,-1.049e+09,-8e+06,-1.057e+09,1.541e+09,2.7206e+10,1.02e+09,0.34423,0.20629,0.08805,0.01116,0.00571,1.81172,1.73527,0.95642,0.27574,0.46034,0.45698,5.22813,41.11856,0.83401,0.39984,0.01153,0.01118,0.86856,16.1233,18.837
"24","2021_Q3",35.4384375,"Down",6.615e+09,-4.324e+09,2.291e+09,-9.43e+08,-9.43e+08,1.348e+09,-5.9e+08,-6.13e+08,-6.13e+08,2.3e+07,7.58e+08,6.45e+08,-6.7e+08,-2.5e+07,-2.5e+07,-2e+06,-2.7e+07,-26999999.9999999,3.941e+09,3.941e+09,2.008e+09,2.008e+09,2.82e+09,2.616e+09,6.24e+08,1.1385e+10,6.611e+09,7.9042e+10,4.4941e+10,3.1477e+10,2.624e+09,8.5653e+10,9.7038e+10,5.681e+09,3.22e+08,5.359e+09,2.588e+09,2.588e+09,9.879e+09,2.3545e+10,1.3472e+10,1.1377e+10,2.095e+09,3.7017e+10,4.6896e+10,5.4267e+10,1.2e+07,5.4255e+10,-3.92e+08,-2.158e+09,-1.72e+09,4.9997e+10,1.45e+08,5.0142e+10,9.7038e+10,-2.5e+07,2.27e+08,2.13e+08,8.04e+08,1.219e+09,-2.04e+08,1.2e+07,3.243e+09,-4.9e+08,-2.406e+09,-1.6e+07,-2.912e+09,1.55e+09,1.55e+09,3.1e+07,1.581e+09,1.575e+09,2.5155e+10,2.845e+09,0.34633,0.20378,-0.00408,-0.000540000000000002,-0.000279999999999999,-105.37037,1.15244,0.93526,0.25923,-0.02208,-0.0218099999999999,5.40883,40.88062,2.32625,0.40065,0.00522,0.03205,-18.14815,13.46921,15.73739
"25","2021_Q4",34.2275,"Down",6.324e+09,-4.296e+09,2.028e+09,-8.72e+08,-8.72e+08,1.156e+09,-2.77e+08,-4.15e+08,-4.15e+08,1.38e+08,8.79e+08,8.79e+08,-1.43e+08,7.36e+08,7.36e+08,-3e+06,7.33e+08,7.33e+08,2.273e+09,2.273e+09,1.958e+09,1.958e+09,2.839e+09,2.487e+09,6.03e+08,9.557e+09,6.588e+09,7.8752e+10,4.4803e+10,3.1386e+10,2.563e+09,8.534e+10,9.4897e+10,5.573e+09,2.85e+08,5.288e+09,1.847e+09,1.847e+09,8.455e+09,2.2937e+10,1.3267e+10,1.1389e+10,1.878e+09,3.6204e+10,4.4659e+10,5.3835e+10,1.2e+07,5.3823e+10,-4.63e+08,-1.425e+09,-1.858e+09,5.0089e+10,1.49e+08,5.0238e+10,9.4897e+10,7.36e+08,2.28e+08,1.03e+08,-6.48e+08,4.19e+08,-2.24e+08,-2.5e+07,-2.83e+08,-4.9e+08,-1.199e+09,-8.9e+07,-1.778e+09,-1.642e+09,-1.642e+09,-2.6e+07,-1.668e+09,1.384e+09,2.3972e+10,6.55e+08,0.32068,0.1828,0.11591,0.01459,0.00772,0.89359,1.13034,0.88895,0.25261,0.59788,0.59352,5.15824,40.85563,0.53426,0.39967,0.01398,0.00749,0.66849,15.67847,18.77076
"26","2022_Q1",36.0141935483871,"Up",6.709e+09,-4.547e+09,2.162e+09,-8.91e+08,-8.91e+08,1.271e+09,-5e+08,-6.04e+08,-270637550.300019,1.04e+08,7.71e+08,-5.2e+08,2.65e+08,-2.55e+08,-2.55e+08,-2e+06,-2.57e+08,-2.57e+08,3.445e+09,3.445e+09,1.957e+09,1.957e+09,2.729e+09,8.63e+08,7.16e+08,8.994e+09,6.806e+09,7.7594e+10,4.3542e+10,3.1296e+10,2.756e+09,8.44e+10,9.3394e+10,6.366e+09,2.68e+08,8.04e+08,1.944e+09,1.944e+09,9.064e+09,2.1061e+10,1.3817e+10,1.0536e+10,1.747e+09,3.4878e+10,4.3942e+10,5.3391e+10,1.2e+07,53388654947.6095,-5.87e+08,-1.682e+09,-1.824e+09,4.9298e+10,1.54e+08,4.9452e+10,9.3394e+10,-2.55e+08,2.33e+08,2.258e+09,6.8e+08,2.916e+09,-2.5e+08,5000000.00000001,1.294e+09,-4.9e+08,-2.404e+09,-1.17e+08,-3.011e+09,1.199e+09,1.199e+09,-2.7e+07,1.172e+09,1.504e+09,2.1815e+10,1.669e+09,0.32225,0.18945,-0.03831,-0.0052,-0.00275,-6.49416000000001,0.99228,0.88858,0.23358,-0.20928,-0.20743,5.46336,40.14495,1.35912,0.39902,0.00274,0.01962,-1.90661,12.2141,14.45319
"27","2022_Q2",38.9608064516129,"Up",6.045e+09,-4.114e+09,1.931e+09,-8.27e+08,-8.27e+08,1.104e+09,-1.44e+08,-2.42e+08,-2.42e+08,9.8e+07,9.6e+08,9.71e+08,-1.9e+08,7.81e+08,7.81e+08,-5e+06,7.76e+08,7.76e+08,2.978e+09,2.978e+09,2.067e+09,2.067e+09,3.093e+09,1.137e+09,8.69e+08,9.275e+09,6.602e+09,7.7987e+10,4.364e+10,3.144e+10,2.907e+09,8.4589e+10,9.3864e+10,5.799e+09,3.15e+08,5.484e+09,2.485e+09,2.485e+09,9.064e+09,2.097e+10,1.3986e+10,1.0609e+10,1.852e+09,3.4956e+10,4.402e+10,5.2966e+10,1.2e+07,5.2954e+10,-6.05e+08,-9.05e+08,-1.812e+09,4.9644e+10,2e+08,4.9844e+10,9.3864e+10,7.81e+08,2.2e+08,-4.3e+07,-4.72e+08,4.86e+08,-2.14e+08,6e+06,-4.69e+08,-4.9e+08,-9e+06,1.4e+07,-4.85e+08,-4.68e+08,-4.68e+08,2e+06,-4.66e+08,1.324e+09,2.175e+10,8.28e+08,0.31944,0.18263,0.12837,0.01557,0.00827,1.06701,1.02328,0.88316,0.23172,0.63347,0.63347,4.93469,40.52571,0.67592,0.4,0.01479,0.00968,0.63144,14.17825,17.00362
"28","2022_Q3",36.541875,"Down",6.554e+09,-4.57e+09,1.984e+09,-8.12e+08,-8.12e+08,1.172e+09,-1.43e+08,-2.34e+08,-2.34e+08,9.1e+07,1.029e+09,3.99e+08,-1.34e+08,2.65e+08,2.65e+08,0,2.65e+08,2.65e+08,1.518e+09,1.518e+09,2.145e+09,2.145e+09,3.433e+09,1.042e+09,7.6e+08,8.138e+09,6.568e+09,7.697e+10,4.296e+10,3.1176e+10,2.834e+09,8.3538e+10,9.1676e+10,5.935e+09,2.65e+08,5.67e+09,1.99e+09,1.99e+09,9.119e+09,1.9724e+10,1.3831e+10,1.0465e+10,1.861e+09,3.3555e+10,4.2674e+10,5.2532e+10,1.2e+07,5.252e+10,-6.86e+08,-6.4e+08,-2.41e+09,4.8796e+10,2.06e+08,4.9002e+10,9.1676e+10,2.65e+08,2.36e+08,5.12e+08,-7.11e+08,3.02e+08,-2.21e+08,9e+06,-4.52e+08,-4.9e+08,-6.67e+08,-8e+07,-1.237e+09,-1.387e+09,-1.387e+09,-7.4e+07,-1.461e+09,1.408e+09,2.0918e+10,6.1e+08,0.30272,0.17882,0.04043,0.00541,0.00289,2.30189,0.89242,0.87086,0.22817,0.21633,0.21475,5.3502,39.83347,0.49796,0.4,0.00901,0.00728,1.84906,13.77841,16.5529
