"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",18.6115625,"Up",68533000,65693000,69269000,-3576000,2840000,4796000,-2590000,-3137000,65396000,-43568000,-2097000,-41471000,21828000,21828000,-615000,21213000,-7719000,13494000,13494000,13494000,13494000,131678000,1396177000,3374744000,18950000,79673000,298683000,5299905000,4553230000,2611996000,1941234000,119446000,37433000,4710109000,1055879000,-486043000,28945000,589796000,589796000,5299905000,13494000,7292000,4322000,-1440000,524000,24192000,8105000,-119636000,217133000,5361000,110963000,-9106000,-1362000,-2182000,-155231000,-167881000,-32726000,-32726000,-32726000,29120000,119446000,45468000,0.3185,0.1969,0.02288,0.00255,3.3695,7.986,0.02254,0.37696,0.37696,1.91449,16.47613,1.27016,0.25438,0.00426,0.00858,0.67482,-0.42005,-0.56038
"12","2013_Q3",22.56953125,"Up",68676000,68473000,71631000,-3158000,202999.999999999,4921000,-4997000,1842000,70518000,-46142000,-981000,-45161000,24376000,24376000,-18074000,6302000,-1906000,4396000,4349000,4349000,4349000,218827000,1512707000,4329043000,33642000,209190000,405693000,6709102000,5.523e+09,3231754000,2291246000,142054000,68910000,5907403000,1291467000,-481694000,996000,801699000,801699000,6709102000,4349000,7887000,-2845000,1292000,-2329000,8354000,15279000,-257801000,185906000,4102000,220499000,-9179000,-1471000,-85000,-130969000,-141704000,87149000,87149000,87149000,32263000,142054000,47119000,0.35494,0.06333,0.00542,0.00065,10.83444,7.3686,0.02117,0.11226,1.05124,1.77265,20.69328,1.21623,0.23693,0.00202,0.00702,2.1106,-2.3796,-3.14953
"13","2013_Q4",26.295625,"Up",87416000,82289000,85158000,-2869000,5127000,5142000,-5841000,4167000,91583000,-50750000,-1906000,-48844000,40833000,40833000,-5450000,35383000,-11243000,24140000,24163000,24163000,24163000,144019000,1546242000,4299607000,32683000,215862000,378442000,6616855000,5433144000,3104456000,2328688000,140743000,70872000,5800566000,1282711000,-457531000,327000,816289000,816289000,6616855000,24163000,8589000,617000,-5037000,-13513000,14819000,18083000,-116935000,102206000,9600000,12954000,-11363000,-1425000,-148000,-89645000,-102581000,-74808000,-74808000,-74808000,49422000,140743000,65235000,0.46711,0.27641,0.0296,0.00365,2.69979,7.10602,0.02127,0.54433,1.03362,1.96927,18.38903,1.46959,0.25598,0.00537,0.00986,0.47026,-0.06629,-0.08023
"14","2014_Q1",28.4572131147541,"Up",77332000,81258000,83856000,-2598000,-3926000,5322000,-9659000,1338000,78670000,-46893000,-1770000,-45123000,31777000,31777000,-16673000,15104000,-11657000,3447000,3108999.99999999,3108999.99999999,3108999.99999999,147422000,1522684000,4230318000,32435000,208743000,312125000,6533363000,5280987000,2962541000,2318446000,246371000,196912000,5724270000,1287202000,-454422000,-3347000,809093000,809093000,6533363000,3109000,7741000,-3789000,11947000,-16121000,2887000,-8550000,-33424000,110855000,-358000,68523000,-11358000,105508000,-11122000,-151035000,-68007000,3403000,3403000,3403000,39518000,246371000,26504000,0.41092,0.0402,0.00384000000000001,0.00048,8.52493,7.07492,0.03771,0.07008,0.0700799999999999,1.74316,18.23801,0.59743,0.25602,0.00221,0.00406,3.65326,2.5039,3.11386
"15","2014_Q2",28.2938095238095,"Down",90706000,86015000,88360000,-2345000,4691000,4934000,-5101000,644000,91350000,-47964000,-1523000,-46441000,43386000,43386000,-2200000,41186000,-15281000,25905000,25080000,25080000,25080000,342087000,1502473000,4079887000,29908000,208743000,354755000,6517853000,5369408000,2977799000,2391609000,138538000,63773000,5684151000,1278617000,-429342000,6825000,833702000,833702000,6517853000,25080000,6653000,94000,-6680000,2097000,27244000,9847000,1993000,184428000,2939000,199207000,-11306000,-107953000,-2058000,89531000,-31786000,194665000,194665000,194665000,50039000,138538000,77264000,0.47831,0.2765,0.03008,0.00385,3.0807,6.81796,0.02126,0.56169,1.01947,2.03144,18.67152,1.7304,0.25321,0.00558,0.01185,0.4508,-4.06781,-4.69158
"16","2014_Q3",28.66171875,"Up",201012000,192533000,204363000,-11830000,8479000,8462000,413000,-5030000,195982000,-82958000,-2843000,-80115000,113024000,113024000,-86242000,26782000,-15552000,11230000,10555000,10555000,10555000,363365000,1602098000,11107956000,40440000,1725153000,503749000,15684866000,11667797000,8966363000,2701434000,439474000,139663000,12246934000,3879245000,-418787000,20121000,3437932000,3437932000,15684866000,10555000,11370000,273999.999999998,32580000,-28859000,25920000,3389000,301120000,-118792000,534263000,1066027000,-25711000,-993244000,-20249000,-31465000,-1070669000,21278000,21278000,21278000,124394000,439474000,114476000,0.56227,0.05251,0.00307,0.000670000000000001,10.84567,3.5623,0.02802,0.10755,1.02825,2.04824,35.03125,1.16647,0.26199,0.00231,0.0073,2.43591,0.611840000000001,0.67339
"17","2014_Q4",30.24046875,"Up",205160000,188846000,202356000,-13510000,16314000,9096000,6245000,-5050000,200110000,-89730000,-3687000,-86043000,110380000,110380000,-5193000,105187000,-42911000,62276000,62271000,62271000,62271000,260862000,1585283000,11492986000,38368000,1722129000,507541000,15938345000,11523437000,8680949000,2842488000,797217000,139445000,12460099000,3856588000,-356516000,20821000,3478246000,3478246000,15938345000,62271000,10411000,14133000,-590000,7874000,94099000,8337000,-24474000,-368426000,5781000,-378782000,-25710000,359088000,0,-151198000,182180000,-102503000,-102503000,-102503000,120791000,797217000,179913000,0.53802,0.30352,0.0179,0.00391,2.88919,3.58229,0.05002,0.61103,1.01104,2.01311,34.1299,1.76538,0.25228,0.00552,0.01129,0.41287,4.44036,4.85917
"18","2015_Q1",31.447868852459,"Up",207686000,194983000,209696000,-14713000,12703000,7343000,5353000,-2063000,205623000,-83924000,-3181000,-80743000,121699000,121699000,-7380999.99999999,114318000,-43261000,71057000,70999000,70999000,70999000,313226000,1607786000,11797977000,36551000,1720479000,474175000,16234605000,11755128000,8823776000,2931352000,816985000,156262000,12728375000,3808209000,-285712000,26380000,3506230000,3506230000,16234605000,70999000,-1746000,4305000,13307000,97982000,184847000,3981000,-49770000.0000001,-289089000,4984000,-329894000,-51435000,19741000,1.86264514923096e-09,229105000,197411000,52364000,52364000,52364000,119953000,816985000,265177000,0.58598,0.34186,0.02025,0.00437,3.73494,3.63022,0.05032,0.69126,0.12425,2.02206,34.13718,2.5818,0.50078,0.00754,0.01633,0.72445,4.19964,4.13938
"19","2015_Q2",32.555873015873,"Up",219946000,199075000,214314000,-15239000,20871000,7970000,9626000,-16434000,203512000,-82360000,-3221000,-79139000,121152000,121152000,-2e+06,119152000,-46073000,73079000,73079000,73079000,73079000,391854000,1624314000,12179788000,36022000,1728380000,447517000,16643940000,11934175000,8904712000,3029463000,1049604000,126800000,13110579000,3759897000,-212633000,28744000,3533361000,3533361000,16643940000,73079000,10648000,16558000,-2772000,28973000,126486000,6484000,-51623000,-375891000,11704000,-409326000,-51424000,234754000,0,178138000,361468000,78628000,78628000,78628000,131800000,1049604000,213330000,0.55083,0.33226,0.02068,0.00439,2.91917,3.71051,0.06306,0.71707,1.01133,2.15817,34.67037,2.09326,0.50459,0.00748,0.01282,0.70368,4.99052,5.42913
"20","2015_Q3",31.9225,"Down",222175000,202552000,218455000,-15903000,19623000,9735000,9911000,-6529000,215646000,-84376000,-3332000,-81044000,131270000,131270000,-9e+05,130370000,-45287000,85083000,85083000,85083000,85083000,640631000,1715408000,11934814000,35984000,1728380000,430247000,16697020000,12581816000,9185128000,3396688000,436695000,127019000,13145530000,3713768000,-127550000,16255000,3551490000,3551490000,16697020000,85083000,11439000,6811000,6093000,43087000,152513000,4782000,-163985000,274345000,11655000,126797000,-51492000,-615405000,-8336000,644700000,-30533000,248777000,248777000,248777000,142709000,436695000,235865000,0.59084,0.38295,0.02396,0.0051,2.77218,3.70141,0.02615,0.83439,1.00958,2.17883,34.82877,2.31308,0.50497,0.00818,0.01413,0.6052,-1.42903,-1.55356
"21","2015_Q4",32.40640625,"Up",208278000,192520000,207672000,-15152000,15758000,8977000,6099000,-8746000,199532000,-89392000,-3396000,-85996000,110140000,110140000,-747000,109393000,-39777000,69616000,69616000,69616000,69616000,236294000,1826614000,12348934000,36475000,1728380000,467648000,16814105000,12115763000,8607081000,3508682000,987914000,128724000,13232401000,3666217000,-57934000,24459000,3581704000,3581704000,16814105000,69616000,11152000,13503000,3118000,26889000,124278000,1742000,-129992000,-406516000,-26174000,-560940000,-51508000,549746000,-55000,-465858000,32325000,-404337000,-404337000,-404337000,121292000,987914000,189700000,0.52881,0.33425,0.01944,0.00414,2.72495,3.69444,0.05876,0.68209,0.68209,2.04068,35.09307,1.85866,0.50467,0.0072,0.01128,0.73989,6.19678,6.82422
"22","2016_Q1",25.8829508196721,"Down",257257000,229199000,243497000,-14298000,28058000,16592000,11283000,-13772000,243485000,-98600000,-3811000,-94789000,144885000,144885000,-23664000,121221000,-49380000,71841000,71841000,71841000,71841000,396486000,3579147000,14363143000,39197000,2176291000,607837000,21288490000,15666182000,9494727000,6171455000,1057914000,166703000,16890799000,4407003000,13907000,27828000,4397691000,4397691000,21288490000,71841000,1056000,13837000,20781000,83086000,190601000,11021000,388846000,-421023000,-38808000,200972000,-60686000,69417000,-8999.99999999907,-240103000,-231381000,160192000,160192000,160192000,145941000,1057914000,289428000,0.56319,0.27926,0.01634,0.00337,4.02873,3.84083,0.04969,0.60187,0.60187,2.15527,36.84331,2.42479,0.50842,0.00623,0.0136,0.84473,4.53216,4.56519
"23","2016_Q2",29.07953125,"Up",279133000,244594000,259230000,-14636000,34539000,15345000,10839000,-20140000,258993000,-110488000,-3572000,-106916000,148505000,148505000,-2e+05,148305000,-57849000,90456000,90456000,90456000,90456000,519518000,3257836000,14353156000,39713000,2175791000,593869000,21031009000,15441375000,9301412000,6139963000,990124000,142918000,16574417000,4354938000,104363000,48479000,4456592000,4456592000,21031009000,90456000,12965000,20140000,1843000,6754000,132158000,1553000,290795000,-81936000,130822000,341234000,-60906000,-68483000,-141000,-220830000,-350360000,123032000,123032000,123032000,161470000,990124000,227626000,0.53202,0.32406,0.0203,0.0043,2.51643,3.71908,0.04708,0.75251,0.75251,2.32212,37.07462,1.89363,0.50668,0.0072,0.01082,0.67332,2.91451,3.16896
"24","2016_Q3",31.31875,"Up",255878000,233757000,247054000,-13297000,22121000,14706000,6549000,-13903000,241975000,-105781000,-3401000,-102380000,136194000,136194000,-4300000,131894000,-49726000,82168000,82168000,82168000,82168000,445353000,3371760000,14498171000,38718000,2175791000,592933000,21147139000,15148009000,8925313000,6222696000,1357530000,128296000,16633835000,4300492000,186531000,81744000,4513304000,4513304000,21147139000,82168000,12674000,13903000,14106000,17975000,140826000,1122000,-115065000,-101781000,-9396999.99999997,-225121000,-60888000,366807000,-4275000,-291514000,10130000,-74165000,-74165000,-74165000,148868000,1357530000,217691000,0.53226,0.32112,0.01821,0.00389,2.64934,3.68551,0.06419,0.68292,0.68292,2.12668,37.51146,1.8093,0.50606,0.00676,0.01029,0.74102,6.12742,6.69763
"25","2016_Q4",36.7284126984127,"Up",261555000,234635000,247855000,-13220000,26920000,16016000,10365000,-8471000,253084000,-108779000,-4625000,-104154000,144305000,144305000,-1931000,142374000,-48479000,93895000,93895000,93895000,93895000,540365000,3360721000,14594870000,38977000,2173949000,579336000,21315291000,15645668000,9123722000,6521946000,982123000,144905000,16772696000,4245754000,280426000,72073000,4542595000,4542595000,21315291000,93895000,12463000,8471000,14322000,27818000,156969000,-863000,-86631000,-39754000,5290000,-121958000,-60956000,-377197000,-195000,498349000,60001000,95012000,95012000,95012000,156768000,982123000,232202000,0.55172,0.35899,0.02067,0.00441,2.473,3.69232,0.04608,0.77975,0.77975,2.17208,37.72387,1.92832,0.50621,0.00726,0.01089,0.64919,2.81791,3.06128
"26","2017_Q1",42.005,"Up",277200000,248305000,261773000,-13468000,28895000,15593000,12668000,-23215000,253985000,-115482000,-4880000,-110602000,138503000,138503000,-3140000,135363000,-49716000,85647000,85647000,85647000,85647000,419670000,3245700000,15298716000,38594000,2173949000,599026000,21869767000,15870611000,9211595000,6659016000,1346556000,173545000,17390712000,4163360000,366073000,5982000.00000001,4479055000,4479055000,21869767000,85647000,11299000,25791000,17187000,11230000,151154000,-1785000,-70851000,-841832000,-38239000,-952707000,-60687000,364801000,-28633000,405377000,680858000,-120695000,-120695000,-120695000,149802000,1346556000,208963000,0.49965,0.30897,0.01912,0.00392,2.43982,3.88267,0.06157,0.71364,0.71364,2.30971,37.32079,1.74114,0.50566,0.00669,0.00955,0.70857,6.18741,6.69217
"27","2017_Q2",37.7314285714286,"Down",267566000,232452000,247409000,-14957000,35114000,14148000,20353000,-24728000,242838000,-112657000,-3378000,-109279000,130181000,130181000,-3887000,126294000,-47626000,78668000,78668000,78668000,78668000,296500000,3354893000,15395382000,28908000,2173949000,588857000,21927254000,16331008000,9541200000,6789808000,903125000,185015000,17419148000,4109708000,444321000,12718000,4508106000,4508106000,21927254000,78668000,11560000,24728000,16189000,12044000,143189000,8558000,-205191000,-27459000,5275000,-218817000,-60833000,-445203000,-2281000,460775000,-47542000,-123170000,-123170000,-123170000,141741000,903125000,209969000,0.48654,0.29401,0.01745,0.00359,2.66905,3.86396,0.04119,0.65643,0.65643,2.23264,37.61677,1.75203,0.50761,0.00636,0.00958,0.77329,4.27981,4.65986
"28","2017_Q3",36.5842857142857,"Down",277755000,242473000,259544000,-17071000,35282000,14093000,18889000,-11499000,266256000,-112123000,-3976000,-108147000,154133000,154133000,-5584000,148549000,-54902000,93647000,93647000,93647000,93647000,287480000,3496619000,15572657000,29108000,2173949000,616710000,22246877000,16874977000,10173938000,6701039000,663197000,148798000,17686972000,4056126000,537968000,29729000,4559905000,4559905000,22246877000,93647000,10549000,11513000,13259000,-86954000,42014000,-1008000,-241640000,-59962999.9999999,14276000,-288335000,-60831000,-243155000,-5277000,546564000,237301000,-9020000,-9020000,-9020000,164682000,663197000,131622000,0.55492,0.33716,0.02054,0.00421,1.40551,3.8788,0.02981,0.78061,0.78061,2.31526,38.00966,1.09715,0.50706,0.00694,0.00592,0.64958,2.28147,2.43762
"29","2017_Q4",37.7211111111111,"Up",273072000,241690000,260966000,-19276000,31382000,13409000,13889000,-15119000,257953000,-113671000,-4213000,-109458000,144282000,144282000,-4871000,139411000,-37945000,101466000,101466000,101466000,101466000,270018000,3549480000,15530911000,28910000,2173949000,624343000,22242932000,16773245000,9861371000,6911874000,698525000,160494000,17632264000,4001774000,639434000,33613000,4610668000,4610668000,22242932000,101466000,10867000,17243000,12210000,31183000,172969000,-1681000,-172346000,143815000,-30409000,-60621000,-60831000,32945000,-235000,-101689000,-129810000,-17462000,-17462000,-17462000,155149000,698525000,222596000,0.52837,0.37157,0.02201,0.00456,2.1938,3.82423,0.0314,0.84518,0.84518,2.2746,38.40527,1.85415,0.5067,0.0073,0.01001,0.59952,2.76191,2.96993
"30","2018_Q1",41.7313114754098,"Up",289751000,262956000,284597000,-21641000,26795000,15079000,13057000,-6406000,283345000,-123643000,-5786000,-117857000,159702000,159702000,-19225000,140477000,-56440000,84037000,84037000,84037000,84037000,398437000,3795221000,17314387000,31852000,2548670000,906309000,24994876000,18865536000,10357492000,8508044000,929779000,221963000,20017278000,4288792000,723471000,31171000,4977598000,4977598000,24994876000,84037000,13293000,6406000,17354000,4706000,125796000,8866000,80372000,398236000,-47278000,600514000,-64908000,194064000,-101360000,-625687000,-597891000,128419000,128419000,128419000,172995000,929779000,243007000,0.55117,0.29003,0.01688,0.00336,2.89167,4.02147,0.0372,0.66386,0.66386,2.28891,39.32094,1.91965,0.51275,0.00596,0.00972,0.77237,3.07143,3.32708
"31","2018_Q2",42.18734375,"Up",295059000,256500000,277775000,-21275000,38559000,14439000,13240000,-4e+06,291059000,-125124000,-4439000,-120685000,165935000,165935000,-2271000,163664000,-45388000,118276000,118276000,118276000,118276000,547796000,3819236000,16321010000,33686000,2548670000,866348000,24149330000,18078788000,9846648000,8232140000,1027507000,175545000,19281840000,4112509000,835611000,-11936000,4867490000,4867490000,24149330000,118276000,15097000,4065000,4146000,-5601000,135983000,-3969000,-180852000,1073091000,2299000,890569000,-63689000,95570000,-122651000,-786423000,-877193000,149359000,149359000,149359000,181032000,1027507000,216850000,0.56238,0.40086,0.0243,0.0049,1.83342,3.96135,0.04255,0.93815,0.93815,2.34036,38.6082,1.72002,0.50517,0.00753,0.00898,0.53848,2.64987,2.89096
