"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",12.64375,"Up",198653000,-100699000,97954000,-98708000,-11814000,-754000,-5886000,-2613000,-3273000,-6640000,-981000,-7621000,4950000,-2671000,-2671000,-2671000,-2671000,221200000,221200000,124345000,30315000,16653000,382634000,370211000,21231000,228703000,27966000,143072000,21526000,620145000,1002779000,47152000,18152000,2.9e+07,18550000,58965000,23566000,35399000,124667000,173575000,163904000,163904000,337479000,462146000,520727000,133622000,-115930000,538419000,540633000,1002779000,-2671000,11814000,6413000,-26474000,-10918000,-4979000,-1125000,1870000,-4234000,-3975000,-7232000,-6290000,-21442000,-21442000,-21442000,11060000,192125000,-25343000,0.49309,-0.0038,-0.01345,-0.00494,-0.00266,9.48821,3.06925,0.85482,0.19159,-0.04762,-0.04762,3.54206,9.60022,-0.45188,-0.00298,-0.02826,-2.62884,38.56101
"12","2013_Q3",14.8875,"Up",207853000,-96129000,111724000,-99586000,-11774000,12138000,-6859000,-2656000,-4203000,5279000.00000001,-1383000,3896000.00000001,-710999.999999996,3185000,3185000,3185000,3185000,218101000,218101000,130059000,29112000,15809000,384136000,367567000,20330000,220898000,27966000,141334000,19238000,608795000,992931000,41422000,16791000,24631000,27200000,63712000,24402000,39310000,132334000,160950000,159704000,159704000,320654000,452988000,520767000,131175000,-114213000,537729000,539943000,992931000,3185000,11774000,5421000,-4570000,15810000,-7190000,-250000,250000,-7190000,-3975000,-1592000,-11719000,-3099000,-3099000,-3099000,23912000,188150000,12863000,0.53751,0.0584,0.01532,0.0059,0.00321,4.03862,2.90278,0.83896,0.18949,0.0568299999999999,0.0568299999999999,3.70881,9.59494,0.22952,0.00359,0.01449,-1.25255,-2.46753999999999
"13","2013_Q4",17.83484375,"Up",189535000,-95581000,93954000,-98153000,-12096000,-4199000,-6232000,-2655000,-3577000,-10431000,-1467000,-11898000,3047000,-8851000,-8851000,-8851000,-8851000,202136000,202136000,122832000,28354000,15967000,360148000,359058000,19696000,224835000,27966000,139597000,21449000,603589000,963737000,48346000,17055000,31291000,38850000,65187000,26281000,38906000,152383000,145325000,160792000,160792000,306117000,458500000,505042000,111192000,-113211000,503023000,505237000,963737000,-8851000,12096000,240000,17558000,21043000,-3062000,-50000,-281000,-3393000,-3975000,-1791000,-33615000,-15965000,-15965000,-15965000,7897000,184175000,19346000,0.49571,-0.02215,-0.0467,-0.01752,-0.00918,-2.18574,2.36344,0.90749,0.19111,-0.15674,-0.15674,3.35644,8.90795,0.3426,-0.01041,0.02275,-2.27441,4.27745
"14","2014_Q1",17.1008196721311,"Down",-163684000,66765000,-96919000,97935000,5162000,1016000,-10920000,-2513000,-8407000,-9904000,3535000,-6369000,4621000,-1748000,7863000,7863000,7863000,221255000,221255000,139703000,34553000,16256000,402054000,353797000,16567000,193712000,27966000,137862000,19151000,564076000,966130000,43515000,16529000,26986000,2e+06,67606000,28633000,38973000,113121000,1.98e+08,107272000,107272000,305272000,418393000,509803000,116893000,-80923000,545773000,547737000,966130000,-1748000,-5162000,5460000,-17724000,7570000,-588000,-150000,30000,-5066000,15825000,-609000,16615000,19119000,19119000,19119000,-4146000,2e+08,-27079000,0.59211,-0.00621,-0.04804,0.01436,0.00814,-3.44385,3.55419,0.76386,0.20701,0.13682,0.13682,-2.84826,9.49699,-0.4712,0.0092,-0.03167,5.12663,-20.92028
"15","2014_Q2",17.0684126984127,"Down",203794000,-101749000,102045000,-98399000,-11729000,3646000,-4077000,-2254000,-1823000,-431000,-330000,-761000,149000,-612000,-612000,-612000,-612000,187119000,187119000,124910000,34221000,15629000,352430000,347071000,16025000,235638000,56682000,141839000,29242000,598734000,951164000,43469000,14811000,28658000,2e+06,67213000,27121000,40092000,112682000,197500000,104787000,104787000,302287000,414969000,505719000,108932000,-80420000,534231000,536195000,951164000,-612000,11729000,3703000,14640000,29460000,-2584000,-153000,1761000,-46976000,-5e+05,-5147000,-16620000,-34136000,-34136000,-34136000,15375000,199500000,27282000,0.50073,0.01789,-0.003,-0.00114,-0.00064,-44.57843,3.12765,0.77391,0.20974,-0.01067,-0.01067,3.55444,9.31771,0.47584,-0.00073,0.03246,0.80527,3.39578
"16","2014_Q3",18.268125,"Up",21206000,-22832000,-1626000,-1535000,-3196000,-3161000,-3238000,-2041000,-1197000,-6399000,-3919000,-10318000,3914000,-6404000,-3235000,-3235000,-3235000,91502000,91502000,128932000,33484000,14952000,260264000,355125000,16382000,323086000,105571000,189143000,18629000,694593000,954857000,43158000,15556000,27602000,2e+06,69219000,27391000,41828000,114377000,1.97e+08,110077000,110077000,307077000,421454000,507238000,104317000,-79917000,531638000,533403000,954857000,-6404000,3196000,1084000,-5129000,10855000,-4712000,-1050000,219000,-105660000,-5e+05,1076000,-812000,-95617000,-95617000,-95617000,35000.0000000037,1.99e+08,-13720000,-0.0766799999999999,-0.14906,-0.15255,-0.00606,-0.00339,4.24111,2.27549,0.79012,0.20841,-0.03856,-0.03856,0.25274,6.33634,-0.16352,-0.00384,-0.01629,3071.37143,-34.00759
"17","2014_Q4",17.55515625,"Down",123126000,-64713000,58413000,-51318000,-8706000,7095000,-3493000,-2050000,-1443000,3602000,196000,3798000,-2755000,1043000,-1341000,-1341000,-1341000,124369000,124369000,125096000,32920000,15210000,289880000,348979000,16765000,322819000,106423000,192172000,16334000,688563000,978443000,53521000,16719000,36802000,2e+06,81139000,34058000,47081000,136660000,196500000,108432000,108432000,304932000,441592000,511630000,102976000,-79417000,535189000,536851000,978443000,1043000,8706000,2857000,6237000,30719000,1706000,-8e+05,-191000,-3832000,-5e+05,2181000,5980000,32867000,32867000,32867000,15801000,198500000,26499000,0.47442,0.05762,-0.01089,-0.0025,-0.00137,-19.76063,2.12118,0.82256,0.20287,-0.01594,-0.01594,1.46392,6.36319,0.31506,-0.00159,0.0314,4.69154,10.44834
"18","2015_Q1",20.7827868852459,"Up",150626000,-68576000,82050000,-51590000,-8549000,30460000,-11050000,-2149000,-8901000,19410000,-2783000,16627000,-1197000,15430000,15717000,15717000,15717000,158459000,158459000,99609000,57756000,13331000,315824000,157841000,9454000,547985000,106261000,187259000,14116000,715280000,1031104000,34888000,13987000,20901000,2e+06,97650000,8812000,88838000,134538000,194373000,182260000,182260000,376633000,511171000,526026000,118693000,-126443000,518276000,519933000,1031104000,15430000,8549000,-229000,13495000,31021000,-4854000,-649000,218000,-5469000,-500000.000000002,4234000,7138000,32690000,32690000,32690000,39009000,196373000,48847000,0.54473,0.20222,0.10434,0.03023,0.01524,3.10791000000001,2.34747,0.98315,0.19045,0.27896,0.27459,2.67342,9.19875,0.86697,0.01749,0.05436,0.971929999999443,1.24471
"19","2015_Q2",22.4546031746032,"Up",123023000,-68362000,54661000,-58687000,-8295000,-4026000,-6174000,-2052000,-4122000,-10200000,-2938000,-13138000,5023000,-8115000,-5100000,-5100000,-5100000,159489000,159489000,136695000,34185000,17039000,336200000,336588000,14698000,345040000,106261000,187063000,15780000,696326000,1032526000,50364000,17123000,33241000,2e+06,85765000,27242000,58523000,138129000,195500000,181942000,181942000,377442000,515571000,527331000,113593000,-125626000,515298000,516955000,1032526000,-8115000,8295000,3238000,-11682000,-18000,-2300000,-6450000,0,-10311000,-5e+05,7597000,11359000,1030000,1030000,1030000,4269000,197500000,-14736000,0.44432,-0.03273,-0.04146,-0.00987,-0.00494,2.88941,2.43396,0.99732,0.19128,-0.08895,-0.08895,2.14569,8.98749,-0.25702,-0.00569,-0.01644,8.90396,-9.44138
"20","2015_Q3",18.55453125,"Down",198134000,-91118000,107016000,-88364000,-13366000,18652000,-7958000,-4225000,-3733000,10694000,-30188000,-19494000,6539000,-12955000,-31402000,-31402000,-31402000,101420000,101420000,171985000,58731000,32849000,332136000,275013000,13915000,1077656000,555046000,475386000,38231000,1366584000,1698720000,45138000,17141000,27997000,6656000,45351000,8764000,36587000,97145000,400467000,276218000,276218000,676685000,773830000,1168379000,-117616000,-125873000,924890000,924890000,1698720000,-12955000,13366000,8428000,-70191000,-62952000,-6464000,9.31322574615479e-10,250000,-3684000,82750000,-13254000,8567000,-58069000,-58069000,-58069000,32018000,407123000,-51176000,0.54012,0.09414,-0.15849,-0.03395,-0.01849,1.62971,3.41897,0.83667,0.23966,-0.37427,-0.37427,2.36147,11.02332,-0.60994,0.01749,-0.03182,9.54785000000003,16.38982
"21","2015_Q4",19.53953125,"Up",189691000,-88296000,101395000,-94757000,-16273000,6638000,-6161000,-4246000,-1915000,477000,-29019000,-28542000,4099000,-24443000,-24443000,-24443000,-24443000,81342000,81342000,164972000,47959000,17784000,294273000,269792000,14876000,1102769000,586342000,478006000,38421000,1387437000,1681710000,51756000,21994000,29762000,6792000,52956000,10999000,41957000,111504000,396812000,280940000,277739000,677752000,789256000,1165475000,-147969000,-125052000,892454000,892454000,1681710000,-24443000,16273000,20362000,35782000,48189000,-6465000,-637000,0,-56470000,-3519000,-562000,-11797000,-20078000,-20078000,-20078000,22911000,403604000,48129000,0.53453,0.03499,-0.12886,-0.02739,-0.01453,-1.96903,2.63913,0.88437,0.24,-0.29062,-0.29062,2.25535,10.61094,0.57224,-0.0155,0.03052,14.06582,48.54806
"22","2016_Q1",16.8080327868852,"Down",143327000,-68648000,74679000,-69599000,-11857000,5080000,-54901000,-4576000,-50325000,-49821000,-761000,-50582000,22223000,-28359000,-21532000,-21532000,-21532000,114621000,114621000,171901000,16108000,11482000,302630000,271047000,13856000,1093327000,585787000,479187000,14713000,1378230000,1680860000,65275000,31606000,33669000,6656000,47892000,8508000,39384000,119823000,392487000,267567000,267567000,660054000,779877000,1164823000,-174038000,-89802000,900983000,900983000,1680860000,-28359000,11857000,35513000,5657000.00000001,23651000,8941000,-571000,3050000,9103000,-1137000,-1035000,-6285000,26469000,26469000,26469000,16937000,399143000,9311999.99999999,0.52104,0.03544,-0.15023,-0.0239,-0.01281,-0.43247,2.52564,0.86558,0.23746,-0.25589,-0.25589,1.70329,10.70725,0.11066,-0.01373,0.00594,16.79884,56.00827
"23","2016_Q2",15.22984375,"Down",209498000,-95885000,113613000,-100726000,-14411000,12887000,-8220000,-4579000,-3641000,4667000,-574000,4093000,795000,4888000,4888000,4888000,4888000,96252000,96252000,172793000,21599000,16016000,290644000,265829000,14992000,1101960000,585787000,473430000,14663000,1382781000,1673425000,46473000,27736000,18737000,6656000,44076000,7317000,36759000,97205000,391656000,266328000,266328000,657984000,755189000,1162922000,-155578000,-89108000,918236000,918236000,1673425000,4888000,14411000,8243000,-21201000,6341000,-6321000,-1553000,4000,-7870000,-1e+06,-4890000,-11380000,-12909000,-12909000,-12909000,27298000,398312000,-1019000,0.54231,0.06151,0.02333,0.00532,0.00292,-0.20847,2.99001,0.82243,0.23802,0.05821,0.05804,2.49506,10.93594,-0.01214,0.00309,-0.00064,11.06528,23.43912
"24","2016_Q3",15.90859375,"Up",227817000,-92463000,135354000,-108573000,-14786000,26781000,-8339000.00000001,-4432000,-3907000.00000001,18442000,-22000,18420000,-6932000,11488000,11488000,11488000,11488000,66479000,66479000,191243000,19861000,18701000,277583000,263696000,14840000,1131170000,617080000,479773000,13619000,1409706000,1687289000,55449000,29024000,26425000,6656000,42754000,7297000,35457000,104859000,390825000,267204000,267204000,658029000,762888000,1157066000,-144249000,-88416000,924401000,924401000,1687289000,11488000,14786000,13438000,-8692000,31020000,-7061000,-175000,18000.0000000005,-50718000,-1e+06,-520000,-10075000,-29773000,-29773000,-29773000,41567000,397481000,32746000,0.59413,0.11755,0.05043,0.01243,0.00681,2.85045,2.6472,0.82528,0.23557,0.13713,0.13668,2.71946,11.03459,0.39089,0.00723,0.02061,7.9631,12.35958
"25","2016_Q4",15.5152380952381,"Down",233040000,-91568000,141472000,-110516000,-14892000,30956000,-8793000,-4592000,-4201000,22163000,-26000,22137000,-9615000,12522000,12522000,12522000,12522000,88378000,88378000,184487000,19349000,18160000,292214000,262870000,14344000,1115446000,616780000,473589000,14544000,1392660000,1684874000,50324000,27573000,22751000,9312000,47268000,14608000,32660000,106904000,387339000,264158000,264158000,651497000,758401000,1146517000,-132386000,-87658000,926473000,926473000,1684874000,12522000,14892000,7932000,8281000,43627000,-8208000,0,194000,-8014000,-1e+06,-1727000,-13714000,21899000,21899000,21899000,45848000,396651000,55536000,0.60707,0.13284,0.05373,0.01352,0.00743,4.43507,2.73342,0.81859,0.23542,0.15045,0.14993,2.79995,11.13148,0.66726,0.00789,0.03499,6.7238,9.95842
"26","2017_Q1",20.1582258064516,"Up",198465000,-63654000,134811000,-76172000,-11115000,58639000,-9665000,-4436000,-5229000,48974000,-436000,48538000,-17514000,31024000,38337000,38337000,38337000,134352000,134352000,178537000,33006000,18785000,345895000,225437000,14221000,1150353000,575780000,412551000,145414000,1390011000,1735906000,47174000,15976000,31198000,6571000,50386000,6410000,43976000,104131000,386614000,299226000,299226000,685840000,789971000,1133359000,-94077000,-93347000,945935000,945935000,1735906000,31024000,11115000,26019000,-13249000,65505000,-4321000,-4e+05,-69000,-6826000,-3635000,198000,-18165000,40514000,40514000,40514000,69754000,393185000,69698000,0.67927,0.29546,0.19317,0.04053,0.02208,1.81803,3.32173,0.83512,0.2265,0.46532,0.46322,2.40891,11.48147,0.84597,0.0234,0.04254,3.71065,4.41400999999997
"27","2017_Q2",18.6934920634921,"Down",198475000,-94925000,103550000,-103350000,-13861000,2e+05,-8541000,-4195000,-4346000,-8341000,-47000,-8388000,5655000,-2733000,-1939000,-1939000,-1939000,132268000,132268000,190110000,19421000,19421000,341799000,256070000,14499000,1101895000,616780000,462161000,13379000,1372464000,1714263000,49864000,30518000,19346000,2656000,38401000,6292000,32109000,90921000,389719000,286169000,272683000,675888000,766809000,1136635000,-96513000,-92668000,947454000,947454000,1714263000,-2733000,13861000,5630000,-11476000,9477000,-3916000,-609000,128000,-4584000,-979000,-5699000,-6977000,-2084000,-2084000,-2084000,14061000,392375000,-6986000,0.52173,0.00101,-0.00977,-0.00205,-0.00113,3.60289,3.7593,0.80934,0.22889,-0.02362,-0.02362,2.4181,11.5432,-0.08511,-0.00119,-0.0043,18.49847,1300.535
"28","2017_Q3",17.5373015873016,"Down",244346000,-103179000,141167000,-118674000,-15512000,22493000,-6612000,-8248000,1636000,15881000,-264000.000000002,15617000,-6278000,9338999.99999999,8545000.00000001,8545000,8545000,149649000,149649000,200215000,30193000,30193000,380057000,252044000,13520000,1095760000,616780000,456666000,12776000,1361324000,1741381000,54837000,25701000,29136000,2656000,41534000,4789000,36745000,99027000,395599000,289206000,269636000,684805000,783832000,1136112000,-88717000,-91989000,955406000,957549000,1741381000,6855000,13781000,5749000,-8671000,19518000,-4825000,-225000,3499000,-1911000,11437000,-7166000,-226000,17381000,17381000,17381000,36274000,398255000,29056000,0.57773,0.0920500000000001,0.03497,0.00892,0.00491,3.40035,3.83791,0.81858,0.2287,0.10382,0.10362,2.9689,11.60854,0.35304,0.00519,0.01766,6.85356,11.0525900000005
"29","2017_Q4",15.4998412698413,"Down",172405000,-73437000,98968000,-103138000,-12044000,-4170000,-8084000,-5720000,-2364000,-12254000,-38004000,-50258000,20170000,-30088000,-26684000,-26684000,-26684000,126535000,126535000,197152000,31245000,31245000,354932000,247156000,14137000,1070385000,587377000,456398000,16122000,1331678000,1686610000,67897000,28708000,39189000,2656000,38125000,7088000,31037000,108678000,393179000,255779000,251890000,648958000,757636000,1134303000,-116202000,-91270000,926831000,928974000,1686610000,-27604000,13775000,6566000,11872000,3839000,-15722000,-699000,23000,-16991000,-2656000,-1859000,-9962000,-23114000,-23114000,-23114000,9605000,395835000,-14415000,0.57404,-0.02419,-0.15478,-0.02872,-0.01582,0.54021,3.2659,0.81556,0.23469,-0.32526,-0.32526,2.1015,11.29744,-0.17571,-0.01688,-0.00912,28.03748,-64.58034
