"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",9.2184375,"Up",30424000,-22514000,7910000,-7485000,-7485000,425000,-296000,-283000,-13000,129000,129000,0,129000,129000,129000,129000,3925000,3925000,6826000,14395000,1519000,26665000,11946000,1593000,1569000,13539000,40204000,10628000,5449000,5179000,1037000,19434000,7461000,26895000,20581000,-8465000,-348000,11768000,13309000,40204000,129000,337000,-52000,3896000,4310000,-45000,-545000,-2915000,-2957000,808000,808000,-57000,751000,762000,7187000,4613000,0.25999,0.01397,0.00424,0.00969,0.00321,35.75969,1.37208,2.02081,0.17876,0.11609,0.11609,27.37941,10.59035,4.15137,0.00592,0.21154,4.28084,7.67529
"12","2013_Q3",13.6746875,"Up",32273000,-23778000,8495000,-7295000,-7295000,1200000,-329000,-322000,-7000,871000,871000,-145000,726000,726000,726000,726000,2659000,2659000,9337000,14040000,1812000,27848000,11728000,1557000,1533000,13285000,41133000,10730000,5912000,4727000,1204000,19992000,7129000,27121000,20636000,-7697000,-426000,12513000,14012000,41133000,726000,343000,-40000,-2271000,-1242000,-49000,-48999.9999999999,190000,103000,-1188000,-1188000,-78000,-1266000,1543000,7144000,-631999.999999998,0.26322,0.03718,0.0225,0.05181,0.01765,-0.870519999999999,1.39296,1.93556,0.17368,0.65335,0.63584,29.04338,11.2608,-0.568749999999999,0.03249,-0.02828,2.90668,3.7375
"13","2013_Q4",15.66578125,"Up",33538000,-24445000,9093000,-7291000,-7291000,1802000,-313000,-320000,7000,1489000,1489000,-227000,1262000,1262000,1262000,1262000,2131000,2131000,10796000,15249000,1736000,29912000,11686000,1500000,1476000,13186000,43098000,12834000,7277000,5328000,1217000,20874000,6773000,27647000,20773000,-6563000,-386000,13824000,15451000,43098000,1262000,337000,8000,-479000,1128000,-253000,-253000,-1478000,-1442000,-567000,-567000,39000,-528000,2139000,6923000,1634000,0.27113,0.05373,0.03763,0.08168,0.02928,1.29477,1.43298,1.78933,0.16063,1.13408,1.09226,30.13839,12.42272,1.46837,0.05384,0.06971,2.2403,2.65927
"14","2014_Q1",15.4159016393443,"Down",31643000,-24450000,7193000,-7224000,-7224000,-30999.9999999998,-404000,-327000,-77000,-435000,-435000,1780000,1345000,1345000,1345000,1345000,1948000,1948000,12278000,16654000,2511000,33391000,11424000,1448000,1427000,12872000,46263000,13766000,5880000,7886000,1131000,24558000,7057000,31615000,20846000,-7631000,-478000,12737000,14648000,46263000,1345000,352000,-1524000,-2629000,-2456000,-144000,-144000,2493000,2493000,-107000,-107000,-76000,-183000,321000,6578000,-4232000,0.22732,-0.000980000000000002,0.04251,0.09182,0.02907,-3.14647,1.35968,2.15832,0.14219,1.20693,1.13483,28.39465,11.42947,-3.79756,0.0589,-0.18532,14.42368,-149.35484
"15","2014_Q2",17.1431746031746,"Up",33108000,-24047000,9061000,-7375000,-7375000,1686000,-292000,-261000,-31000,1394000,1394000,-529000,865000,865000,865000,865000,2898000,2898000,11211000,16207000,1671000,31987000,11258000,1401000,1381000,12659000,44646000,10734000,5843000,4304000,1122000,20192000,6394000,26586000,20917000,-4360000,-545000,16012000,18060000,44646000,865000,334000,-208000,1638000,2629000,-44000,-44000,-1579000,-1555000,1030000,1030000,-80000,950000,2020000,6424000,4143000,0.27368,0.05092,0.02613,0.0479,0.01937,4.7896,1.58414,1.47209,0.14389,0.77551,0.73906,29.68263,14.35539,3.71436,0.03382,0.16199,1.74554,2.09134
"16","2014_Q3",17.13765625,"Down",32833000,-24707000,8126000,-7296000,-7296000,830000,-185000,-228000,43000,645000,645000,-302000,343000,343000,343000,343000,2534000,2534000,11839000,17345000,1416000,33134000,11718000,861000,840000,12579000,45713000,10655000,6415000,3970000,1196000,20222000,6684000,26906000,21010000,-3768000,-475000,16767000,18807000,45713000,343000,342000,-132000,-1104000,-551000,-160000,340000,-226000,-226000,-437000,-437000,73000,-364000,1172000,6788000,210000,0.24749,0.02528,0.01045,0.01824,0.0075,0.612240000000002,1.63851,1.43064,0.14849,0.30729,0.29107,29.41498,15.0215,0.18814,0.01285,0.00786999999999993,3.62969,5.12529999999997
"17","2014_Q4",13.86265625,"Down",33227000,-24937000,8290000,-7612000,-7612000,678000,-286000,-219000,-67000,392000,392000,-145000,247000,247000,247000,247000,2883000,2883000,11681000,16520000,1998000,33082000,11485000,811000,791000,12296000,45378000,10849000,6765000,3939000,1154000,19587000,6449000,26036000,21132000,-3212000,-567000,17353000,19342000,45378000,247000,338000,-145000,1150000,1590000,-83000,-83000,-1064000,-1064000,443000,443000,-94000,349000,1016000,6511000,2228000,0.2495,0.02041,0.00743,0.01277,0.00544,9.02024,1.68898,1.34609,0.14348,0.21482,0.21043,28.89807,15.09219,1.93773,0.00917,0.08269,3.57087,5.35103
"18","2015_Q1",13.6106557377049,"Down",31762000,-24429000,7333000,-7976000,-7976000,-643000,-279000,-288000,9000,-922000,-922000,262000,-660000,-660000,-660000,-660000,3523000,3523000,10954000,16113000,3887000,34477000,11761000,722000,708000,12483000,46960000,14513000,6380000,8133000,1138000,24888000,6535000,31423000,21137000,-6860000,-675000,13602000,15537000,46960000,-660000,341000,260000,-14000.0000000002,-73000,-515000,-515000,1322000,1322000,734000,734000,-94000,640000,-302000,6256000,-1093000,0.23087,-0.02024,-0.02078,-0.04248,-0.01405,1.65606,1.38529,2.02246,0.13322,-0.56926,-0.59924,27.3952,11.73193,-0.942730000000001,-0.02844,-0.04709,-9.04967,-4.25039
"19","2015_Q2",9.77539682539683,"Down",27538000,-21670000,5868000,-7868000,-7868000,-2e+06,-470000,-321000,-149000,-2470000,-2470000,485000,-1985000,-1985000,-1985000,-1985000,3558000,3558000,9417000,16045000,4180000,33200000,11533000,671000,657000,12204000,45404000,15873000,8054000,7819000,2317000,26460000,5423000,31883000,21224000,-8560000,-793000,11871000,13521000,45404000,-1985000,330000,86000,2639000,1070000,-77000,-77000,-862000,-838000,155000,155000,-120000,35000,-1670000,6361000,407000,0.21309,-0.07263,-0.07208,-0.14681,-0.04372,-0.20504,1.25472,2.35804,0.1401,-1.71268,-1.71268,23.76014,10.24245,0.35116,-0.09336,0.01914,-1.67844,-1.4015
"20","2015_Q3",6.92046875,"Down",30164000,-22287000,7877000,-7255000,-7255000,622000.000000001,-237000,-245000,8000.00000000003,385000,385000,101000,486000,486000,486000,486000,3641000,3641000,11115000,15569000,4202000,34527000,11361000,764000,750000,12125000,46652000,16151000,8261000,7890000,2254000,27509000,5166000,32675000,21209000,-7958000,-808000,12443000,13977000,46652000,486000,318000,-9000,-1123000,-328000,-127000,-173000,599000,599000,97999.9999999999,97999.9999999999,-15000,83000,940000,6126000,-411000,0.26114,0.02062,0.01611,0.03477,0.01042,-0.84568,1.25512,2.33777,0.13131,0.41889,0.41882,25.99897,10.72488,-0.35425,0.02271,-0.01921,2.64362,3.99518
"21","2015_Q4",4.693125,"Down",28129000,-21907000,6222000,-7330000,-7330000,-1108000,-346000,-312000,-34000,-1454000,-1454000,308000,-1146000,-1146000,-1146000,-1146000,3364000,3364000,11773000,16278000,4199000,35614000,11125000,1211000,1208000,12336000,47950000,15231000,7670000,7561000,2363000,30001000,4967000,34968000,21426000,-8731000,-874000,11821000,12982000,47950000,-1146000,320000,478000,-2485000,-2833000,-63000,-569000,3189000,3189000,-213000,-213000,-64000,-277000,-788000,6012000,-3644000,0.2212,-0.03939,-0.04074,-0.08828,-0.0239,3.17976,1.18709,2.69358,0.12538,-0.98184,-0.98184,24.09955,10.12766,-3.122,-0.05642,-0.1794,-3.36041,-2.38989
"22","2016_Q1",4.52655737704918,"Down",26008000,-20527000,5481000,-7099000,-7099000,-1618000,-489000,-414000,-75000,-2107000,-2107000,820000,-1287000,-1287000,-1287000,-1287000,1969000,1969000,11536000,16733000,2476000,32714000,10985000,3147000,1163000,14132000,46846000,15953000,7019000,8934000,1251000,29872000,4930000,34802000,21466000,-9577000,-565000,11324000,12044000,46846000,-1287000,302000,-749000,416000,-1318000,-130000,-130000,73000,62000.0000000005,-1386000,-1386000,-8999.99999999997,-1395000,-1316000,5824000,-1850000,0.21074,-0.06221,-0.04948,-0.10686,-0.02747,1.43745,1.09514,2.88957,0.12432,-1.09068,-1.09086,22.04068,9.59661,-1.5678,-0.07062,-0.10151,-2.92933,-2.38257
"23","2016_Q2",6.21625,"Up",25345000,-19154000,6191000,-6978000,-6978000,-787000,-163000,-283000,120000,-950000,-950000,320000,-630000,-630000,-630000,-630000,2323000,2323000,11006000,15277000,4179000,32785000,10817000,1412000,1085000,12229000,45014000,16594000,6726000,9868000,2732000,29738000,3805000,33543000,21504000,-10028000,-546000,10930000,11471000,45014000,-630000,325000,80000,3140000,2915000,-137000,-141000,-2294000,-2419000,355000,355000,-1000,354000,-462000,6195000,2221000,0.24427,-0.03105,-0.02486,-0.05492,-0.014,-3.5254,1.10246,2.92416,0.13762,-0.53381,-0.53381,21.47517,9.26114,1.88188,-0.03498,0.12333,-8.38095,-4.91995
"24","2016_Q3",5.9665625,"Down",24756000,-18320000,6436000,-7529000,-7529000,-1093000,-330000,-304000,-26000,-1423000,-1423000,-758000,-2181000,-2181000,-1924000,-1924000,2249000,2249000,6656000,15932000,2616000,27453000,10566000,1327000,1083000,11893000,39346000,15668000,7427000,8241000,2803000,26257000,3672000,29929000,21607000,-12132000,-522000,8953000,9417000,39346000,-2181000,309000,552000,4062000,2742000,-56000,-55000,-2795000,-2795000,-108000,-108000,34000,-74000.0000000002,-784000,6073000,3980000,0.25998,-0.04415,-0.07772,-0.20431,-0.0489,-2.06861,1.04555,3.17819,0.15435,-1.62253,-1.62253,20.87705,7.55018,3.35638,-0.12107,0.25044,-4.87755,-3.49863
"25","2016_Q4",5.04190476190476,"Down",27356000,-18905000,8451000,-7036000,-7036000,1415000,-280000,-341000,61000,1135000,1135000,0,1135000,1135000,1123000,1123000,1709000,1709000,9569000,16348000,2405000,30031000,10315000,1343000,1099000,11658000,41689000,15237000,7189000,8048000,2297000,27343000,3699000,31042000,21730000,-11008000,-551000,10171000,10647000,41689000,1135000,302000,170000,-3545000,-1938000,-51000,-70000,1509000,1509000,-499000,-499000,-41000,-540000,1717000,5607000,-1879000,0.30893,0.05173,0.04105,0.10548,0.02694,-1.6732,1.09831,2.91556,0.1345,0.9374,0.9374,22.83472,8.48998,-1.56845,0.06748,-0.1129,2.27024,2.75477
"26","2017_Q1",5.54241935483871,"Up",-36998000,28279000,-8719000,10303000,10303000,1584000,-386000,-240000,-146000,1198000,1198000,12000,1210000,1210000,965000,965000,968000,968000,10509000,16291000,777000,28545000,10116000,3195000,1057000,13311000,41856000,15031000,6143000,8888000,2093000,27457000,3190000,30647000,22405000,-11028000,-574000,10803000,11209000,41856000,1210000,23000,-432000,-1744000,-1060000,-131000,-146000,504000,481000,-725000,-725000,-16000,-741000,1607000,4919000,-279999.999999999,0.23566,-0.04281,-0.02608,0.08609,0.02306,-0.29016,1.03963,2.73414,0.11752,0.75438,0.75438,-28.92276,8.44512,-0.218889999999999,0.0585099999999999,-0.01698,2.45862,2.49432
"27","2017_Q2",4.22238095238095,"Down",7450000,-5634000,1816000,-3447000,-3447000,-1631000,-292000,-297000,5000,-1923000,3240000,-1238000,2002000,2002000,2002000,2002000,809000,809000,8811000,13182000,675000,23477000,8262000,2816000,1212000,11078000,34555000,14759000,5114000,8882000,1241000,18374000,2991000,21365000,22428000,-8820000,-561000,13047000,13190000,34555000,2002000,257000,-5259000,-705000,2217000,6718000,6623000,-9037000,-9037000,-197000,-197000,38000,-159000,-1374000,3894000,5877000,0.24376,-0.21893,0.26872,0.15178,0.05794,2.93556,1.27773,1.61979,0.11269,1.50413,1.50413,5.5973,9.8024,4.41548,0.11491,0.33733,-2.24527,-1.89148
"28","2017_Q3",4.84952380952381,"Up",10744000,-6755000,3989000,-2412000,-2412000,1577000,-301000,-125000,-176000,1276000,1276000,-208000,1068000,1068000,1068000,1068000,191000,191000,8789000,12574000,2326000,23880000,7989000,3656000,2169000,11645000,35525000,14643000,4836000,8607000,2054000,16697000,3693000,20390000,22437000,-6757000,-538000,15142000,15135000,35525000,1856000,247000,829999.999999999,1031000,283000,-37000.0000000009,58000.0000000009,-587000,-931000,-590000,-590000,-28000,-618000,1824000,5419000,3026000,0.37128,0.14678,0.0993999999999999,0.07056,0.03006,2.83333,1.4302,1.34721,0.15254,0.8024,0.8024,8.07212999999999,11.37641,2.27348,0.05114,0.14491,2.86623,3.31516
"29","2017_Q4",4.85761904761905,"Up",11453000,-7020000,4433000,-4485000,-4485000,-52000,998000,-209000,1207000,946000,1028000,-462000,566000,566000,566000,566000,1994000,1994000,11991000,11219000,891000,26095000,994000,27930000,2049000,28924000,55019000,10400000,2592000,6227000,4646000,15046000,9135000,24181000,37400000,-5987000,-575000,30838000,30838000,55019000,682000,550000,262000,-3090000,-1062000,-203000,562000,2433000,2293000,1793000,1793000,10000,1803000,498000,4646000,-2333000,0.38706,-0.00454,0.04942,0.01835,0.01029,-4.12191,1.73435,0.78413,0.08444,0.42524,0.41587,8.60481,23.16905,-1.75282,0.01269,-0.05229,5.3253,-51
"30","2018_Q1",4.87377049180328,"Up",11897000,-8990000,2907000,-3032000,-3032000,-125000,-1351000,-263000,-1088000,-1476000,-1477000,3238000,1761000,1761000,1761000,1761000,3313000,3313000,10036000,762000,7006000,21117000,538000,25236000,518000,25774000,46891000,9885000,3321000,6561000,5877000,15762000,4891000,20653000,37641000,-10910000,-493000,26238000,26238000,46891000,857000,1093000,-3145000,269999.999999999,-212000,86000,86000,-4136000,1407000,1281000,1281000,38000,1319000,968000,5877000,-1914000,0.24435,-0.01051,0.14802,0.06712,0.03756,-1.08688,1.33974,0.78714,0.12533,1.28222,1.31085,8.66244,19.10441,-1.39362,0.04759,-0.05172,2.64876,-20.512
"31","2018_Q2",3.89265625,"Down",8913000,-6501000,2412000,-3974000,-3974000,-1562000,-488000,-591000,103000,-2050000,-2050000,575000,-1475000,-1475000,-1475000,-1475000,2148000,2148000,5876000,1154000,2897000,12075000,491000,24293000,508000,24784000,36859000,7542000,2555000,4984000,445000,7987000,4131000,12118000,37641000,-12385000,-515000,24741000,24741000,36859000,-1475000,994000,191000,3644000,3354000,-14000,1413000,-305000,-5910000,-1143000,-1143000,-22000,-1165000,-568000,445000,2487000,0.27062,-0.17525,-0.16549,-0.05962,-0.04002,-1.6861,1.51183,0.48979,0.01207,-1.07273,-1.07273,6.48218,17.99345,1.80873,-0.05031,0.08483,2.99824,1.09027
"32","2018_Q3",4.15301587301587,"Up",8373000,-6223000,2150000,-3752000,-3752000,-1602000,-88000,-38000,-50000,-1690000,-1688000,279000,-1409000,-1409000,-1409000,-1409000,413000,413000,5964000,1097000,1345000,8819000,594000,27026000,4174000,27620000,36439000,8301000,2778000,5600000,946000,9247000,3871000,13118000,37641000,-13794000,-526000,23321000,23321000,36439000,-1409000,992000,-255000,-128000,-8e+05,-161000,-1429000,-5111000,494000,-1735000,-1735000,0,-1735000,-610000,946000,-1178000,0.25678,-0.19133,-0.16828,-0.06042,-0.03867,0.83605,0.95371,0.5625,0.02596,-1.02473,-1.02473,6.08945,16.96073,-0.85673,-0.05007,-0.04187,-0.87377,-0.33271
"33","2018_Q4",3.24714285714286,"Down",10267000,-6874000,3393000,-5065000,-5065000,-1672000,242000,-46000,288000,-1430000,-1432000,205000,-1227000,-1227000,-1227000,-1227000,718000,718000,7295000,926000,951000,9890000,539000,26411000,4490000,26950000,36840000,9666000,3785000,5869000,467000,10133000,3605000,13738000,38662000,-15042000,-518000,23102000,23102000,36840000,-1227000,1007000,63000,922000,765000,-20000,-11000,-446000,-446000,308000,308000,-3000,305000,-665000,467000,32000,0.33048,-0.16285,-0.11951,-0.05311,-0.03331,-0.02608,0.97602,0.59467,0.01268,-0.79924,-0.79924,6.68773,15.0482,0.02084,-0.04515,0.00118,0.37744,0.15012
"34","2019_Q1",2.37262295081967,"Down",9241000,-6143000,3098000,-4359000,-4359000,-1261000,96000.0000000001,7000,89000.0000000001,-1165000,-1165000,-332000,-1497000,-1497000,-1497000,-1497000,1195000,1195000,5804000,801000,718000,8518000,617000,25486000,4498000,26103000,34621000,9009000,3169000,5840000,256000,9265000,3745000,13010000,38662000,-16518000,-533000,21611000,21611000,34621000,-1497000,1005000,54000,1264000,826000,-147000,-145000,5358000,-247000,434000,434000,43000,477000,-256000,256000,1193000,0.33525,-0.13646,-0.162,-0.06927,-0.04324,-0.79693,0.91937,0.60201,0.00739,-0.88329,-0.88329,5.45256,12.75136,0.70392,-0.05845,0.04658,3.66797,0.74465
"35","2019_Q2",4.26603174603175,"Up",6293000,-5144000,1149000,-4024000,-4024000,-2875000,147000,8000,139000,-2728000,-2728000,7e+05,-2028000,-2028000,-2028000,-2028000,652000,652000,4612000,975000,716000,6955000,7e+05,26364000,6309000,27064000,34019000,9533000,3929000,5604000,923000,10456000,3976000,14432000,38662000,-18546000,-529000,19587000,19587000,34019000,-2028000,1013000,-728000,1497000,-246000,-163000,-163000,-140000,-140000,-549000,-549000,6000,-543000,-1862000,2007000,-1228000,0.18258,-0.45686,-0.32226,-0.10354,-0.05961,0.60552,0.66517,0.73682,0.059,-1.19646,-1.19646,3.71268,11.55575,-0.72448,-0.08282,-0.05015,-0.72771,-0.4713
