"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",55.37546875,"Up",209871000,-130274000,79597000,-38833000,-20958000,-16205000,-4753000,-17875000,40764000,584000,584000,41348000,41348000,-5662000,35686000,35686000,35686000,35686000,310448000,229219000,81229000,127479000,127479000,98363000,34922000,33156000,571212000,61161000,88554000,10634000,9847000,787000,160349000,731561000,109261000,83091000,26170000,49348000,3010000,46338000,158609000,132741000,41866000,73280000,132741000,291350000,343360000,97986000,-1135000,440211000,440211000,731561000,35686000,2430000,7691000,18172000,63979000,-11325000,-11325000,-11325000,9064000,1644570.41594799,-2261000,4605000,4605000,4605000,66323000,66323000,66306000,43194000,0,55703000,0.37927,0.19423,0.17004,0.08107,0.04878,1.56092,3.60138,0.66184,0,0.8068,0.74855,4.74481,9.95239,1.25935,0.06228,0.09722,-7.18729,-7.61574
"12","2018_Q3",48.1504761904762,"Down",227118000,-145172000,81946000,-41281000,-21730000,-15954000,-5776000,-19551000,40665000,-2480000,-2480000,38185000,38185000,-3617000,34568000,34568000,34568000,34568000,349361000,214540000,134821000,118103000,118103000,102014000,46569000,44520000,616047000,68532000,86144000,12507000,11551000,956000,167183000,783230000,108090000,81610000,26480000,45881000,3407000,42474000,153971000,144368000,47595000,79943000,144368000,298339000,353475000,132554000,-1138000,484891000,484891000,783230000,34568000,2623000,7364000,-664000,43891000,-10060000,-10060000,-10060000,-51628000,-533000.000000001,-62221000,2986000,2986000,2986000,-15344000,-15344000,-15327000,43288000,2.3283064365387e-10,36181000,0.36081,0.17905,0.1522,0.07129,0.04414,1.04666,4.00106,0.61527,0,0.76442,0.71575,5.02239,10.72268,0.80009,0.05493,0.0575,-8.07062,-8.5912
"13","2018_Q4",38.2939682539683,"Down",236578000,-158596000,77982000,-43945000,-23836000,-16938000,-6898000,-20109000,34037000,-689000,-689000,33348000,33348000,12295000,45643000,45643000,45643000,45643000,341128000,192876000,148252000,151088000,151088000,107179000,56258000,46396000,655653000,73415000,102240000,20870000,13218000,1108000,196525000,852178000,115015000,83459000,31556000,51135000,5795000,45340000,166150000,147065000,53663000,93402000,147065000,313215000,361749000,178197000,-983000,538963000,538963000,852178000,45643000,3348000,8169000,-22825000,34335000,-8666000,-8666000,-8666000,-28954000,-7791000,-56634000,324000,324000,324000,-21975000,-21975000,-21975000,37385000,0,-6400999.99999999,0.32962,0.14387,0.19293,0.08469,0.05356,-0.140239999999999,3.94615,0.58114,0,1.00041,0.94491,5.18536,11.81309,-0.1403,0.06653,-0.00933000000000001,-9.12473,-10.02227
"14","2019_Q1",39.9403278688525,"Up",263670000,-183959000,79711000,-55757000,-31047000,-19210000,-11837000,-24710000,23954000,288000,288000,24242000,24242000,-12093000,12149000,12149000,12936000,12936000,306444000,187764000,118680000,173579000,173579000,141519000,55767000,45073000,677309000,119329000,74256000,93578000,14699000,5501000,287163000,964472000,136807000,107079000,29728000,72272000,14351000,57921000,225718000,164518000,60670000,102349000,168028000,393746000,371799000,191133000,-524000,562408000,570726000,964472000,12149000,4218000,2094000,28413000,46874000,-8557000,-8557000,-8557000,58236000,-1658000,-35493000,2106000,2106000,-15870000,-4489000,-4489000,-4403000,28172000,20149000,60121000,0.30231,0.09085,0.04906,0.02267,0.01341,4.64757,3.00069,0.6899,0.02089,0.28205,0.2715,5.74892,12.26245,1.31085,0.01712,0.07959,-10.1624,-11.95187
"15","2019_Q2",50.4553968253968,"Up",271871000,-185761000,86110000,-58062000,-31863000,-20172000,-11691000,-26199000,28048000,-6151000,-6151000,21897000,21897000,-3922000,17975000,17975000,19016000,19016000,333542000,226478000,107064000,187496000,187496000,150798000,45696000,37828000,717532000,132988000,57252000,269151000,14589000,43142000,459391000,1176923000,150559000,90190000,60369000,80280000,13527000,66753000,248072000,224305000,66037000,149724000,231334000,479406000,417390000,210149000,-1220000,626319000,697517000,1176923000,17975000,5841000,8858000,23776000,56450000,-10620000,-10620000,-10620000,29259000,3631000,-17045000,309000,309000,-2630000,36775000,36775000,38714000,33889000,24262000,50967000,0.31673,0.10317,0.06994,0.02726,0.01616,2.68022,2.89243,0.6873,0.02061,0.40442,0.38787,5.782,13.32021,1.08394,0.0201,0.05387,-9.12627,-11.02681
"16","2019_Q3",74.5515625,"Up",325010000,-214340000,110670000,-65317000,-35812000,-22127000,-13685000,-29505000,45353000,773000.000000002,773000.000000002,46126000,46126000,-13213000,32913000,32913000,33128000,33128000,286185000,176575000,109610000,237804000,237804000,148892000,57663000,50642000,730544000,140200000,79616000,271334000,14751000,45243000,491150000,1221694000,188242000,116795000,71447000,89082000,15708000,73374000,293778000,242349000,73796000,159890000,247868000,541646000,431689000,243277000,-895000,674071000,680048000,1221694000,32913000,7201000,10889000,-219000,50784000,-11624000,-11624000,-11624000,-24507000,74999.9999999991,-35176000,3455000,3455000,-64755000,-49147000,-49147000,-49903000,52554000,21973000,53924000,0.34051,0.13954,0.10193,0.04871,0.02712,1.62775,2.48672,0.79648,0.01799,0.6947,0.66669,6.81554,14.13544,1.1308,0.03508,0.0571,-5.02744,-5.82568
"17","2019_Q4",85.51046875,"Up",410556000,-271247000,139309000,-73292000,-34240000,-22026000,-12214000,-30747000,66017000,-17023000,-17023000,48994000,48994000,-7270000,41724000,41724000,41627000,41627000,332685000,247342000,85343000,292232000,292232000,134283000,75603000,68234000,834803000,149675000,92871000,260243000,17180000,42268000,502789000,1337592000,213216000,132230000,80986000,105279000,15006000,90273000,335407000,260942000,81934000,171246000,264997000,600404000,450464000,284904000,-3356000,732012000,737188000,1337592000,41724000,7004000,14672000,5299999.99999999,68700000,-17435000,-17435000,-17435000,11107000,152000,-6176000,1176000,1176000,-922000,61602000,61602000,70767000,73021000,20967000,68156000,0.33932,0.1608,0.10139,0.05647,0.03112,1.6373,2.48893,0.81445,0.01568,0.86355,0.81477,8.51701,15.18563,1.4139,0.04085,0.06688,-4.26888,-4.72178
"18","2020_Q1",105.75564516129,"Up",418223000,-274974000,143249000,-92721000,-35430000,-23659000,-11771000,-34900000,50528000,11058000,11058000,61586000,61586000,-9241000,52345000,52345000,52778000,52778000,315746000,223901000,91845000,298383000,298383000,170798000,147836000,115268000,932763000,176963000,119176000,265722000,16298000,45762000,561861000,1494624000,285114000,157148000,127966000,135927000,70815000,65112000,436714000,246240000,89982000,151797000,246240000,682954000,475797000,337682000,-1809000,811670000,811670000,1494624000,52345000,6849000,28163000,-4291000,83066000,-32883000,-32883000,-32883000,-33169000,-28404000,-94456000,4126000,4126000,-4714000,-16104000,-16104000,-23441000,57377000,15673000,29444000,0.34252,0.12082,0.1262,0.06502,0.03531,0.55788,2.13587,0.84142,0.01049,1.0823,1.03536,8.57635,16.64463,0.6038,0.04916,0.02743,-5.22985,-5.93875
"19","2020_Q2",122.275238095238,"Up",431218000,-291210000,140008000,-72233000,-40438000,-24253000,-16185000,-36695000,67775000,-16605000,-16605000,51170000,51170000,-8922000,42248000,42248000,42248000,42248000,419215000,324072000,95143000,235673000,235673000,198557000,102474000,66874000,955919000,195982000,103863000,258076000,17095000,46350000,557921000,1513840000,214875000,139138000,75737000,159758000,30706000,129052000,389681000,257741000,98134000,157405000,257741000,647422000,491878000,379930000,-5390000,866418000,866418000,1513840000,42248000,7325000,9022000,49150000,107745000,-27053000,-27053000,-27053000,10409000,-3280000,-19924000,3308000,3308000,3315000.00000001,91136000,91136000,100171000,75100000,15048000,106119000,0.32468,0.15717,0.09797,0.04876,0.02791,2.51181,2.45308,0.74724,0.00994,0.85882,0.80977,8.7658,17.61254,2.15719,0.03709,0.09315,-5.38172,-5.96336
"20","2020_Q3",192.200625,"Up",331851000,-228888000,102963000,-72998000,-34900000,-20936000,-13964000,-38098000,29965000,11565000,11565000,41530000,41530000,-4862000,36668000,36668000,36668000,36668000,541404000,428372000,113032000,181700000,181700000,264460000,85434000,79867000,1072998000,226416000,45684000,260728000,19121000,45117000,532828000,1605826000,246746000,158264000,88482000,143063000,25625000,117438000,405065000,275960000,103181000,171667000,275960000,681025000,511645000,416598000,-3442000,924801000,924801000,1605826000,36668000,7936000,11209000,3497000,59310000,-26653000,-26653000,-26653000,42515000,30938000,46800000,5806000,5806000,5681000,111791000,111791000,104300000,37901000,15256000,19607000,0.31027,0.0903,0.1105,0.03965,0.02283,0.53472,2.64895,0.7364,0.00949999999999999,0.73641,0.69787,6.6646,18.57287,0.39377,0.03015,0.01612,-13.88217,-17.55875
"21","2020_Q4",276.37421875,"Up",338095000,-230032000,108063000,-77669000,-36852000,-21924000,-14928000,-40817000,30394000,15765000,15765000,46159000,46159000,-2408000,43751000,43751000,43751000,43751000,1158694000,1048109000,110585000,183141000,183141000,297027000,106119000,83866000,1744981000,257717000,21003000,254595000,10678000,42574000,533315000,2278296000,223734000,122106000,101628000,143161000,27267000,115894000,382537000,293390000,109439000,178756000,863722000,1246259000,574331000,460349000,-2643000,1032037000,1032037000,2278296000,43751000,8196000,18034000,-41607000,28374000,-36847000,-36847000,-36847000,26714000,-16044000,-26177000,10091000,10091000,628317000,630514000,630514000,619737000,38590000,585974000,-37456000,0.31962,0.0899,0.1294,0.04239,0.0192,-0.85612,4.5616,1.20757,0.2572,0.86566,0.82308,6.68954,20.41986,-0.7411,0.02289,-0.0196,-14.84115,-18.84319
"22","2021_Q1",301.573606557377,"Up",358107000,-247782000,110325000,-95898000,-46914000,-28872000,-18042000,-47513000,14427000,10380000,10380000,24807000,24807000,-7152000,17655000,17655000,17655000,17655000,970833000,827146000,143687000,218706000,218706000,331696000,198106000,198106000,1719341000,303408000,147434000,266926000,11676000,46953000,717768000,2437109000,348837000,162051000,186786000,87262000,24648000,62614000,436099000,341903000,115372000,226531000,915253000,1351352000,603891000,478004000,3857000,1085757000,1085757000,2437109000,17655000,8377000,34519000,-33325000,27226000,-36237000,-36237000,-36237000,-161504000,-39595000,-237336000,2295000,2295000,3171000,-206939000,-206939000,-220963000,22804000,573350000,-39606000,0.30808,0.04029,0.0493,0.01626,0.00724,-2.24333,3.94255,1.24462,0.23526,0.34387,0.33117,6.97492,21.14739,-0.77141,0.00882,-0.01979,-17.43041,-27.55133
"23","2021_Q2",251.870952380952,"Down",405489000,-265415000,140074000,-95946000,-46760000,-26911000,-19849000,-46977000,44128000,-6097000,-6097000,38031000,38031000,-7955000,30076000,30076000,30076000,30076000,824236000,685157000,139079000,271713000,271713000,340038000,149120000,102985000,1585107000,312214000,294828000,272446000,17353000,56277000,879488000,2464595000,297003000,122063000,174940000,84508000,21065000,63443000,397726000,347588000,122168000,225420000,966945000,1364671000,595721000,510964000,-6761000,1099924000,1099924000,2464595000,30076000,9278000,38481000,-53752000,24083000,-24545000,-24545000,-24545000,-146078000,17041000,-153582000,5008000,5008000,-2062000.00000006,-131561000,-131561000,-141989000,53406000,635572000,-16936000,0.34544,0.10883,0.07417,0.02734,0.0122,-0.56311,3.98542,1.2407,0.25788,0.58144,0.5371,7.83902,21.26402,-0.32741,0.01444,-0.00813,-3.53264,-4.27538
"24","2021_Q3",272.2121875,"Up",480057000,-323865000,156192000,-100633000,-48828000,-20608685.7340335,-20868676.8287272,-52664000,55559000,-1743000,-1743000,53816000,53816000,-8724000,45092000,45092000,45092000,45092000,669798000,524112000,145686000,343652000,343652000,321915000,153546000,137480000,1488911000,340319000,457362000,277733000,19962000,59935000,1075414000,2564325000,318447000,141174000,177273000,80999000,16144000,64855000,399585000,366865000,128109000,238756000,986947000,1386532000,625268000,556056000,-3536000,1177793000,1177793000,2564325000,45092000,9601000,24835000,-40843000,38685000,-40722000,-40722000,-40722000,-172629000,30935000,-182416000,464000,464000,-19144000,-162875000,-162875000,-161045000,65160000,620221000,-7681000,0.32536,0.11573,0.09393,0.03829,0.01758,-0.17034,3.72614,1.17723,0.24187,0.87173,0.80526,9.28059,22.76931,-0.14849,0.02083,-0.00355,-0.76085,-0.892329999999999
"25","2021_Q4",315.734375,"Up",526404000,-353843000,172561000,-106147000,-50481000,-16397447.645378,-21891169.1049696,-55666000,66414000,-5751000,-5751000,60663000,60663000,-7615000,53048000,53048000,53048000,53048000,672047000,526588000,145459000,416244000,416244000,304713000,159550000,148364000,1552554000,353344000,473315000,277620000,21827000,62397000,1104279000,2656833000,321331000,137621000,183710000,84035000,16939000,67096000,405507000,388435000,136269000,251761000,1009243000,1414750000,652109000,609104000,-19135000,1242083000,1242083000,2656833000,53048000,10100000,26963000,-28327000,61784000,-28868000,-49397951.3824891,-49397951.3824006,-18091000,4637000,-61961000,656000,656000,1773999.99999999,1597000,1597000,10195000,76514000,620949000,26934000,0.32781,0.12617,0.10077,0.04271,0.01997,0.50773,3.82867,1.13901,0.23372,1.01905,0.94804,10.11222,23.86031,0.5174,0.02356,0.01196,-0.66783,-0.76939
"26","2022_Q1",274.646774193548,"Down",551915000,-391424000,160491000,-119453000,-55127000,-19544235.7340335,-23537576.8287272,-64326000,41038000,-6324000,-6324000,34714000,34714000,6240000,40954000,40954000,40954000,40954000,697817000,530089000,167728000,456339000,456339000,380143000,176992000,176992000,1711291000,410379000,482228000,297055000,27572000,80993000,1189662000,2900953000,435912000,252068000,183844000,89269000,17789000,71480000,525181000,444198000,151556000,292642000,1065733000,1590914000,687300000,650058000,-27319000,1310039000,1310039000,2900953000,40954000,10556000,33331000,4736000,89577000,-55116000,-46712959.9706749,-46712959.9706186,-40391000,-10384000,-86252000,-3925000,-3925000,4254000,7579000,7579000,-4218000,51594000,621535000,-5026000,0.29079,0.07436,0.0742,0.03126,0.01412,-0.12272,3.25848,1.2144,0.21425,0.7595,0.73329,10.23536,24.2949,-0.09321,0.01724,-0.00212,-1.47851,-1.85881
"27","2022_Q2",273.471935483871,"Down",655080000,-476122000,178958000,-128094000,-61745000,-35316000,-26429000,-66349000,50864000,-5449000,-5449000,45415000,45415000,-12292000,33123000,33123000,33123000,33123000,1161329000,1002772000,158557000,676820000,676820000,432504000,191664000,191664000,2462317000,473511000,449673000,297414000,31205000,83366000,1220598000,3682915000,460890000,241630000,219260000,107851000,25511000,82340000,568741000,481386000,158734000,322652000,1103649000,1672390000,1373405000,683181000,-46067000,2010525000,2010525000,3682915000,33123000,11660000,38965000,-246737000,-162989000,-43210000,-43210000,-43210000,26384000,1692000,-15134000,652004000,652004000,652335000,474212000,474212000,472683000,62524000,622263000,-215131000,0.27318,0.07765,0.05056,0.01647,0.00899,-6.49491,4.32942,0.83182,0.16896,0.63064,0.59223,12.4723,38.279,-4.09596,0.01064,-0.06908,-8.62175,-10.59818
"28","2022_Q3",294.9690625,"Up",727774000,-545132000,182642000,-146630000,-67096000,-68979690.4432776,-31186538.6187881,-74847000,36012000,-14311000,-14311000,21701000,21701000,-6617000,15084000,15084000,15084000,15084000,895793000,745534000,150259000,669100000,669100000,470272000,248643000,248643000,2283808000,489109000,709571000,290290000,33400000,90345000,1488970000,3772778000,489953000,253399000,236554000,122221000,30460000,91761000,612174000,510081000,170235000,339846000,1133072000,1745246000,1418881000,698265000,-89620000,2027532000,2027532000,3772778000,15084000,12478000,66926000,-17073000,77415000,-48674000,-48674000,-48674000,-262216000,91000,-310799000,164000,164000,-3929000,-237313000,-237313000,-257238000,48490000,622991000,-10640000,0.25096,0.04948,0.02073,0.00744,0.004,-0.70538,3.73065,0.86077,0.16513,0.27,0.25756,13.02698,36.29223,-0.19045,0.00477,-0.00337,-5.62594,-7.57531
