"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",32.7125396825397,"Down",43113,-1094378,-1051265,-4157144,-183771,-1942487,-5208409,-861099,-648134,-649065,-37115,-6069508,-3577005,-9646513,-6298604,-6298604,-6274408,-6274408,1294950,1294950,1134307,153388,2511122,38389,36154758,36193147,38704269,6054015,6054015,17303738,26327536,44903040,-31539066,-959401,12404651,12376733,38704269,-6274408,2031956,965602,1366205,-1910645,-2404752,-5862382,-5862382,-5863829,-3176453,17596363,-24.38394,-120.80832,-145.53402,-0.50695,-0.16211,0.14512,2.12718,0.45464,-6.7174,-6.7174,0.04616,13.28037,-0.192819999999999,-5.13195,-3.12983
"12","2017_Q1",23.8666129032258,"Down",176725,3887366.69964944,-6783242.81266813,-23641147,-227895,-2913971,-4262304,-757075,-638494,-640054,11193,-5019379,-9976252,-14995631,-26539412,-26539412,-26403482,-26403482,4998314,4998314,428049,428049,5521432,28329,12738674,12767003,18288435,20379085,7217078,20461015,27575577,49879624,-57942548,-1060390,-9123294,-9287142,18288435,-26567330,1435290,22022335,2068190,-1041515,2825076,3733580,3733580,3703364,-2827014,4670502,-21.8500269185359,-24.11829,-149.40434,2.84301,-1.44373,0.26985,-2.96922,0.25538,-26.60691,-26.60691,0.178090000000001,-9.19361,12.15305,0.11596,0.07691
"13","2017_Q2",7.02968253968254,"Down",78137,-451761.999999996,-373625.000000007,-2436063,-247652,-1482453,-2809688,-668265,-567578,-568819,-14825,-3477953,-199329,-3677282,-3677282,-3677282,-3606646,-3606646,493452,493452,1166599,226088,1763448,20414,12107523,12127937,13891385,6117663,6117663,9865871,25418010,51316283,-61549194,-1059308,-11292141,-11526625,13891385,-3606646,706429,80278,-1848562,-4668501,-2097,-4503306,-4503306,-4504862,-2103259,16351814,-4.78167,-35.95848,-46.15798,0.3129,-0.25963,0.17874,-2.20516,1.17712,-3.02768,-3.02768,0.06559,-9.47952,-0.4689,-7.5399,-5.64417
"14","2017_Q3",5.34920634920635,"Down",368800,-1027724,-658924,-2269788,-138634,-1491266,-2928712,452210,-564059,-564680,913357,-2476502,208300.999999999,-2268201,-2285443,-2285443,-2200793,-2200793,1095721,1095721,1093185,128718,2305242,12213,11783075,11795288,14100530,5294616,5294616,10998719,25149498,53953319,-63749987,-933245,-10729835,-11048969,14100529,-2200793,640365,148806,-1035089,-2446711,-2097,596297,596297,602269,-2288347,17121896,-1.78667,-7.94118999999999,-5.96744,0.19919,-0.15608,0.20959,-2.27619,1.21427,-1.55905,-1.55905,0.26126,-7.6011,-0.25227,-7.00338,-5.47209
"15","2017_Q4",11.7655555555556,"Up",162713,-64836,97876.9999999998,-3291637,-213130,-2621089,-3193760,490353,-1282292,-1283223,2252886,-2703407,-3681888,-6385295,-6397486,-6397486,-6677486,-6677486,122172.000000001,122172.000000001,4617460,108878,4863262,9803,7818614,7828417,12691679,1954836,1954836,19981379,21924790,61836188,-70427472,-450623,-9041829,-9233111,12691679,-6677486,457718,850929,-2321053,-7689892,2769660,2934075,2934075,2946168,-2736042,15582156,0.601530000000001,-19.62818,-41.03843,0.72321,-0.52613,0.24339,-2.37458,1.22775,-4.25182,-4.25182,0.10361,-5.75734,-0.80525,-5.65049,-4.84068
"16","2018_Q1",10.5277049180328,"Down",-90028,-1926525,-2016553,-531227,-231585,-2102906,-2547780,-5218490,1106899,1106899,-6324759,-7766270,-11340473,-19106743,-18973358,-18973358,-18848644,-18848644,14948529,14948529,92855,92855,15048210,10011,3660480.18813223,10011,15058221,1961784,1961784,7670100,7670100,97114971,-89276117,-450734,7388121,7388121,15058221,-18848644,45756,15910192,6889317,3996621,-2773254,10605282,10605282,10906640,-2502024,1763920,22.39918,28.29986,209.36424,-2.55121,-1.25172,1.96193,1.03817,0.11714,-13.54929,-13.54929,-0.06472,5.31093,-2.0595,5.26958,5.17494
"17","2018_Q2",5.39171875,"Down",239967,-267709,-27741.9999999995,-1819323,-563716,-1255607,-1847065,-53173,-40295,-40295,2454,-1900238,-502582,-2402820,-2402820,-2402820,-2402820,-2402820,5436007,5367963,184038,184038,5620045,5578377,1198137,6776514,12396559,2071142,2071142,3970339,3970339,100555876,-91678937,-450719,8426220,8426220,12396559,-2402820,244126,832107,-2323835,-3650422,-5930159,-9580581,-9580581,-9580566,-1602939,1613849,-0.115609999999993,-7.69716,-10.01313,-0.28516,-0.19383,1.41551,0.47119,0.13019,-0.54476,-0.54476,0.0544,1.91035,-0.23932,2.38447,2.06931
"18","2018_Q3",3.78539682539683,"Down",688502,-931630,-243128,-1225844,-558894,-666950,-1468972,-35820.0000000009,-9150,-9150,-18909,-1504792,-3171853,-4676645,-4676645,-4676645,-4676645,-4676645,4617886,4232611,574852,574852,5192738,4457869,1180343,5638212,10830950,1953693,1953693,3143518,3143518,104493733,-96355582,-450719,7687432,7687432,10830950,-4676645,592386,456535.999999998,1672994,-1954729,819377,-1135351.99999999,-1135351.99999999,-1135352,-876586,999106,-0.35313,-2.13357999999999,-6.79249,-0.60835,-0.43179,1.65189,0.40892,0.09225,-1.06027,-1.06027,0.15609,1.74286,-0.53838,4.12827,2.46348
"19","2018_Q4",2.39079365079365,"Down",338672,-1132570,-793898,-701143,-89859,-611284,-1495041,100229,-16893,-19446.0000000001,125125,-1394812,54355,-1340457,-1340457,-1340457,-1340457,-1340457,3188780,3188780,550184,550184,3841062,3855812,1162549,5018361,8859423,1329165,1329165,1474289,2473395,104532786,-97696039,-450719,6386028,6386028,8859423,-1340457,616857,2834698,-3788532,-1677434,633603,-1043831,-1043831,-1043831,-878184,999106,-2.34415,-4.41442,-3.95798,-0.2099,-0.1513,2.60537,0.38731,0.11277,-0.21979,-0.21979,0.05553,1.0471,-0.18151,2.49341,1.46462
"20","2019_Q1",2.04147540983607,"Down",295231,-1019849,-724618,-1467952,-161578,-1306374,-2192570,-49570,-913.999999999985,-12591,-108670,-2242140,-2083128,-4325268,-4394402,-4394402,-4394402,-4394402,2551171,2551171,464006,464006,3015177,1034575,1144755,2179330,5194507,1235444,1235444,2273633,2273633,105462034,-102090441,-450719,2920874,2920874,5194507,-4394402,616343,268021,2554052,-955986,318377,-637609,-637609,-637609,-1576227,999106,-2.45441,-7.42663,-14.88462,-1.50448,-0.84597,1.32615,0.77841,0.19234,-0.69276,-0.69276,0.04654,0.46046,-1.12103,0.98467,0.70787
