"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"13","2018_Q3",23.0130158730159,"Up",132101000,-115785000,16316000,-7287000,-7287000,9029000,-5485000,-9047000,3562000,3544000,3544000,3544000,3544000,3544000,3544000,13790000,13790000,45351000,45351000,36175000,8026000,2680000,103342000,553240000,91850000,85615000,6235000,645090000,748432000,54385000,15620000,33736000,7168000,87774000,422372000,79660000,79660000,502032000,589806000,158692000,158626000,158626000,748432000,3544000,10031000,-8761000,-2897000,1917000,-3880000,-2750000,28188000,-18622000,9566000,8733000,8733000,8733000,19060000,429540000,0.12351,0.06835,0.02683,0.02234,0.00474,1.17736,3.71822,0.57392,0.14833,0.14667,5.52886,6.63902,0.00531,21.8127,46.04607
"14","2018_Q4",22.6887301587302,"Down",147166000,-114029000,33137000,-7315000,-7315000,25822000,-12466000,-9445000,-3021000,13356000,13356000,13356000,13356000,13356000,13356000,863000,863000,49152000,49152000,34322000,7178000,1643000,91515000,552456000,90398000,85615000,4783000,642854000,734369000,59152000,10730000,35849000,7070000,96511000,402447000,79667000,79667000,482114000,578625000,155109000,155744000,155744000,734369000,13356000,9801000,6799999.99999999,8941000,38898000,-10155000,-10155000,-20261000,-21409000,-41670000,-12927000,-12927000,-12927000,35623000,409517000,0.22517,0.17546,0.09075,0.08576,0.01819,0.94823,3.71523,0.55764,0.55899,0.36281,6.15938,6.51839,0.02071,11.47163,15.8258099999999
"15","2019_Q1",23.4014754098361,"Up",168673000,-144144000,24529000,-6235000,15527000,18294000,-8156000,-9334000,1178000,10138000,9387000,9387000,9387000,9387000,9387000,2460000,2460000,54794000,54794000,31490000,8767000,2235000,97511000,557028000,94231000,85615000,8616000,651259000,748770000,62385000,15551000,41400000,2722000,167332000,429933000,4789000,4789000,434722000,602054000,146277000,146716000,146716000,748770000,9387000,11505000,-9426000,2456000,13922000,-11098000,-11098000,19779000,-21006000,-1227000,1597000,1597000,1597000,29799000,432655000,0.14542,0.10846,0.05565,0.06398,0.01254,0.58274,4.10353,0.57782,0.39288,0.25499,7.05952,6.14054,0.01607,14.43656,23.51563
"16","2019_Q2",25.3711111111111,"Up",158369000,-148462000,9907000,-9837000,-9837000,70000,-8993000,-9633000,640000,-8923000,-8923000,-8923000,-8923000,-8923000,-8923000,106745000,106745000,64904000,64904000,27999000,17249000,2391000,216897000,560372000,118511000,85615000,32896000,678883000,895780000,96637000,7667000,75950000,2762000,173399000,475975000,30935000,30935000,506910000,680309000,215176000,215471000,215471000,895780000,-8923000,11208000,2264000,-14818000,-10269000,-11279000,-11279000,45447000,80386000,125833000,104285000,104285000,104285000,11278000,478737000,0.06256,0.000439999999999996,-0.05634,-0.04141,-0.00996,1.25085,3.15731,0.53444,-0.19822,-0.24239,3.51814,4.78665,-0.01231,32.98386,5314.17143
"17","2019_Q3",25.19046875,"Down",168079000,-151572000,16507000,-11030000,1972000,5477000,-9278000,-9196000,-82000,-3801000,-3801000,-3801000,-3801000,-3801000,-3801000,5005000,5005000,61818000,61818000,31292000,11014000,3069000,109129000,724090000,126350000,85615000,40735000,850440000,959569000,103421000,15648000,82261000,2733000,146154000,523348000,36910000,36910000,560258000,706412000,301246000,301349000,253157000,959569000,-3801000,11248000,11332000,-948000,17831000,-38613000,-113313000,46801000,-53059000,-6258000,-101740000,-101740000,-101740000,16725000,526081000,0.09821,0.03259,-0.02261,-0.01501,-0.00396,0.74667,2.79041,0.54825,-0.08444,-0.10325,3.73384,6.69441,-0.00466,31.15552,95.13894
"18","2019_Q4",28.37921875,"Up",157405000,-130939000,26466000,-7800000,2196000,18666000,-9814000,-9872000,58000,8852000,8852000.00000001,8852000,8852000,8852000,8852000,2357000.00000001,2357000.00000001,49643000,49643000,42349000,3998000,3998000,98347000,744448000,126320000,85615000,40705000,870768000,969115000,92158000,21512000,57437000,4490000,136648000,543589000,36995000,36995000,580584000,717232000,300014000,300075000,251883000,969115000,8852000.00000001,13291000,6031000,7743000,35917000,-31592000,-30090000,17726000,-26201000,-8474999.99999999,-2648000,-2648000,-2648000,31957000,548079000,0.16814,0.11859,0.05624,0.03514,0.00913,0.71971,2.84748,0.56555,0.19665,0.24046,3.49672,6.66611,0.01058,17.07676,29.2361499999999
"19","2020_Q1",29.5616129032258,"Up",199715000,-236461000,-36746000,-70151000,-93149000,-106897000,-13547000,-13341000,-206000,-120444000,-133044000,-131112000,-131112000,-77632000,-77632000,9053000,9053000,72421000,72421000,32998000,5617000,5617000,120089000,751780000,122949000,85615000,37334000,874729000,994818000,81478000,18985000,59066000,6590000,128372000,596430000,37440000,37440000,633870000,762242000,280745000,280768000,232576000,994818000,-131112000,29818000,4993000,-2531000,-98832000,-63716000,9482000,49380000,-85328000,93374000,4024000,4024000,4024000,-77079000,603020000,-0.18399,-0.53525,-0.38871,-0.33379,-0.07804,0.93548,3.27739,0.60616,-1.72458,-2.10882,4.43663,6.23721,-0.08892,-7.70595,-5.55644
"20","2020_Q2",28.8339682539683,"Down",204477000,-177170000,27307000,-9452000,-1763000,17855000,-10222000,-10394000,172000,7633000.00000003,7633000,7633000,7633000,7633000,7633000,5311000,5311000,79637000,79637000,40506000,7380000,7380000,132834000,766862000,125825000,85615000,40210000,892687000,1025521000,96673000,32636000,50370000,7583000,106736000,667785000,36152000,36152000,703937000,810673000,263034000,263040000,214848000,1025521000,7632999.99999997,13965000,799000,5507000,27904000,-25691000,-29460000,69097000,-71283000,-2186000,-3742000,-3742000,-3742000,31820000,675368000,0.13355,0.08732,0.03733,0.03553,0.00744,1.24451,3.77324,0.65856,0.16957,0.20735,4.54242,5.84339,0.00824,21.05773,37.5277
"21","2020_Q3",34.80171875,"Up",167712000,-140033000,27679000,-9043000,-2096000,18636000,-10165000,-10124000,-41000,8471000,8471000,8471000,8471000,8471000,8471000,98101000,98101000,82543000,82543000,39723000,17557000,8932000,237924000,784523000,127599000,85615000,41984000,912122000,1150046000,118700000,20358000,75346000,7558000,126258000,597510000,35798000,35798000,633308000,759566000,438671000,438672000,390480000,1150046000,8471000,15239000,5094000,-3050000,25754000,-33148000,-33148000,-71178000,171362000,100184000,92790000,92790000,92790000,33875000,605068000,0.16504,0.11112,0.05051,0.02169,0.00737,1.88443,1.94521,0.52613,0.18818,0.23011,3.72569,9.74502,0.00821,14.96582,27.20364
"22","2020_Q4",39.3428125,"Up",225580000,-200009000,25571000,-12621000,-6425000,12950000,-11814000,-11950000,136000,1135999.99999999,1136000,1411000,1411000,1410999.99999999,1410999.99999999,1346000,1346000,86930000,86930000,61978000,26073000,14845000,176327000,1061870000,165454000,101303000,64151000,1227324000,1403651000,118077000,27182000,78759000,11611000,129688000,893837000,77734000,63933000,971571000,1101259000,350592000,350584000,302392000,1403651000,1410999.99999999,20597000,9809000,-26285000,5532000,-18048000,-310978000,258998000,-241420000,208691000,-96755000,-96755000,-96755000,33547000,905448000,0.11336,0.05741,0.00625000000000001,0.00466999999999999,0.00101,1.35962,3.64183,0.64507,0.0313499999999999,0.03833,5.01122,7.78816,0.0011,26.95031,69.81483
"23","2021_Q1",45.3049180327869,"Up",277193000,-279928000,-2735000,-98421000,-119253000,-101156000,-13524000,-13528000,4000,-114680000,-123395000,-123839000,-123839000,-103805000,-103805000,66114000,66114000,124212000,124212000,45224000,23493000,6820000,259043000,1242421000,224530000,99660000,124870000,1466951000,1725994000,194869000,22398000,147815000,14551000,234275000,913498000,168561000,143343000,1082059000,1316334000,-78837999.9999999,-78838000,409660000,1725994000,-123839000,32635000,40687000,5726000,-44791000,-144111000,-10383000,27757000,-32341000,99832000,44658000,44658000,44658000,-68521000,928049000,-0.00987,-0.36493,-0.37449,-0.25339,-0.06014,1.10572,3.21324,0.53769,-2.30601,-2.81979,6.15779,-1.75137,-0.06892,-12.57914,-8.52085
"24","2021_Q2",45.8660317460317,"Up",241621000,-197702000,43919000,-52863000,-31342000,-8944000,-13268000,-13377000,109000,-22212000,-20568000,-19887000,-19887000,-27191000,-27191000,3388000.00000001,3388000.00000001,83257000,83257000,59947000,15028000,15028000,161620000,1090489000,159798000,99660000,60138000,1250287000,1411907000,130869000,28540000,90623000,12446000,143315000,955347000,75487000,62288000,1030834000,1174149000,285540000,285536000,237758000,1411907000,-23175000,21521000,9670999.99999999,-9586000,-1569000,-77662000,-77662000,343293000,-166879000,176414000,97183000,97183000,97183000,-152884113.454597,967793000,-0.0539206884122587,-0.690068446301644,-0.660644904577275,-0.526524178017835,-0.105616452409875,1.12773,4.93842,0.68545,-4.2052009046098,-4.92826723717955,7.22446339481191,-5.5712290385642,-0.120813141728665,-14.0520563363429,-61.5797507355737
"25","2021_Q3",50.78984375,"Up",285963000,-234564000,51399000,-57727000,-34548000,-6328000,-17082000,-17481000,399000,-23410000,-21709000,-21449000,-21449000,-24968000,-24968000,42901000,42901000,74398000,74398000,47662000,13501000,13501000,178462000,1114521000,159725000,99660000,60065000,1274246000,1452708000,155930000,28041000,103923000,12056000,167986000,789451000,74746000,61522000,864197000,1032183000,468254000,468246000,420525000,1452708000,-24851000,23510000,12433000,52648000,63740000,-76321000,-76321000,-174228000,-26652000,13985000,1404000,1404000,1404000,-181326958.524554,801507000,-0.0179496037516215,-0.783379026921734,-0.737000410954436,-0.683712532099332,-0.116086983370745,1.06236,2.45451,0.55173,-4.83622735748755,-5.38405705771874,7.9771500065694,-3.00437057179791,-0.132458192926132,16.4002763208578,-57.3016541755271
"26","2021_Q4",64.08046875,"Up",235900000,-255586000,-19686000,71996000,55446000,52310000,-5638000,-5045000,-593000,46672000,43327000,42445000,42445000,53159000,53159000,11792000,11792000,86889000,86889000,53814000,22964000,16055000,175459000,1395506000,168726000,99660000,69066000,1564232000,1739691000,167727000,24698000,130543000,11906000,179633000,1134706000,97828000,84671000,1232534000,1412167000,375217000,375218000,327524000,1739691000,49135000,20206000,30199000,-51011000,48529000,2960000,-242692000,46200000,51198000,97364000,-96799000,-96799000,-96799000,-160350324.332233,1146612000,0.0356512827848264,-0.687787594080957,-0.649075711854378,-0.676064620131163,-0.0995390226462423,0.97676,4.31164,0.65909,-4.30913263162152,-4.53625584939857,7.82571661504218,2.39489568086733,-0.113136647660534,32.2555333176296,-29.029878027717
"27","2022_Q1",70.8059677419355,"Up",278194000,-265817000,12377000,-136514000,-164664000,-124137000,-19629000,-20594000,965000,-143766000,-163296000,-146380000,-146380000,-123069000,-123069000,16801000,16801000,97439000,97439000,57717000,26773000,7230000,198730000,1498197000,227220000,103928000,123292000,1725417000,1924147000,217901000,29535000,163306000,39105000,257006000,1232441000,164036000,1.64e+08,1396477000,1653483000,318059000,318358000,270664000,1924147000,-146380000,27682000,4137000,37251000,-77310000,-181299000,64353000,109743000,-147401000,-37988000,-50945000,-50945000,-50945000,-96455000,1271546000,0.04449,-0.44622,-0.44239,-0.45469,-0.06396,0.77325,6.10899,0.66084,-2.73396,-2.73396,6.18003,7.07226,-0.07213,-13.0086100000001,-10.10774
"28","2022_Q2",73.8935483870968,"Up",232982000,-233595000,-613000.000000007,-33691000,-33691000,-34304000,-10086000,-9970000,-116000,-44390000,-45291000,-45307000,-45307000,-45307000,-45307000,5172000,5172000,80735000,80735000,66135000,16403000,8138000,168445000,1536428000,224139000,103928000,120211000,1760567000,1929012000,173080000,21919000,138552000,39315000,212395000,1058246000,157102000,157067000,1215348000,1427743000,594003000,548963000,501269000,1929012000,-45307000,22559000,10421000,-30596000,-42923000,-53051000,-58051000,-176839000,-68992000,87784000,-13190000,-13190000,-13190000,-11745000,1097561000,-0.00263,-0.14724,-0.19447,-0.09038,-0.02349,0.79307,2.84826,0.56898,-0.69673,-0.69673,3.5828,8.44195,-0.0258,-93.00885,-31.84436
"29","2022_Q3",66.3325,"Down",296321000,-279109000,17212000,-27704000,-27704000,-10492000,-14570000,-13959000,-611000,-25062000,-27344000,-27342000,-27342000,-27337000,-27337000,12700000,12700000,124429000,124429000,74347000,15385000,10763000,226861000,1551762000,277509000,103928000,173581000,1829271000,2056132000,198029000,20463000,153630000,37284000,235313000,1219721000,167328000,167296000,1387049000,1622362000,553919000,481469000,433770000,2056132000,-27342000,28833000,18469000,-45928000,-25968000,-44354000,-44354000,159832000,-45776000,113450000,43128000,43128000,43128000,18341000,1257005000,0.05809,-0.03541,-0.09225,-0.06302,-0.0133,0.96408,3.74014,0.61134,-0.41044,-0.41044,4.449,7.22883,-0.01471,67.84281,-118.5956
