"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",15.4396875,"Down",46270000,-33551000,12719000,-13774000,-12189000,-1585000,-1055000,127000,-172000,296000,-928000,-928000,1171000,243000,243000,215000,215000,8174000,8174000,32912000,32912000,46862000,7606000,5972000,95554000,56263000,93871000,-37608000,77190000,39428000,530000,133453000,229007000,19709000,10449000,295000,8418000,1538000,1383000,21361000,48446000,8608000,39838000,48489000,69850000,61366000,107769000,-10087000,159048000,159157000,229007000,243000,3002000,1449000,1596000,6290000,-4453000,-4408000,-231000,0,-1661000,221000,221000,-247000,-26000,1947000,157000,-2081000,0.27489,-0.0228,0.00465,0.00135,0.00094,-9.67907,4.47329,0.43887,0.00069,0.01591,0.01591,3.42492,11.77279,-0.15404,0.00363,-0.01002,-4.11762,7.59905
"12","2013_Q3",19.33,"Up",57859000,-40796000,17063000,-11050000,-9482000,-1568000,6013000,-602000,-183000,-420000,5411000,5411000,-1956000,3455000,3455000,3440000,3440000,2323000,2323000,41511000,41511000,45563000,7507000,5516000,96904000,59860000,98963000,-39103000,75579000,38121000,506000,135439000,232343000,24996000,14203000,906000,9338000,4918000,4763000,30022000,38941000,8430000,30511000,38961000,68983000,62218000,110659000,-9642000,163235000,163360000,232343000,3455000,3025000,876000,1752000,9108000,-5273000,-5126000,-9637000,163000,-9968000,-5986000,-5986000,135000,-5851000,9038000,128000,7473000,0.29491,0.10393,0.05945,0.02106,0.01481,2.17238,3.22777,0.42228,0.000549999999999999,0.25413,0.25406,4.27437,12.05909,0.55207,0.0197,0.03692,-0.242860000000001,-0.365039999999998
"13","2013_Q4",21.0371875,"Up",48591000,-33084000,15507000,-10600000,-9019000,-1581000,4907000,-376000,-129000,-248000,4531000,4531000,-1394000,3137000,3610000,3561000,3561000,9578000,9578000,32018000,32018000,41708000,6546000,3982000,89850000,63500000,104208000,-40708000,76204000,37646000,5e+05,139704000,229554000,20878000,9135000,1325000,9868000,1666000,1392000,22642000,35734000,8429000,27305000,35739000,58381000,62787000,113670000,-5464000,170993000,171173000,229554000,3137000,2711000,315000,8255000,15073000,-3700000,-4287000,-3470000,0,-4078000,6708000,6708000,284000,6992000,7618000,103000,13567000,0.31913,0.10099,0.07329,0.0208,0.01551,3.80988,3.96829,0.34106,0.00045,0.26299,0.2629,3.58855,12.62819,1.00195,0.01985,0.06554,-1.24376,-1.93092
"14","2014_Q1",20.1116393442623,"Down",49340000,-36495000,12845000,-11732000,-10118000,-1614000,1113000,-318000,-164000,-156000,795000,795000,-1557000,-762000,-757000,-757000,-757000,10598000,10598000,37785000,37785000,41191000,14032000,4277000,103606000,60215000,98573000,-38358000,76724000,36458000,1893000,136939000,240545000,26253000,14567000,2657000,8479000,1454000,1019000,30614000,36902000,7795000,29107000,36902000,67516000,63623000,113390000,-3984000,173029000,173029000,240545000,-762000,3530000,1148000,-3493000,1545000,-2797000,-4419000,3643000,132000,4120000,1246000,1246000,19000,1265000,4643000,2907000,-90000,0.26034,0.02256,-0.01534,-0.00437,-0.00315,0.118890000000001,3.38427,0.3902,0.01209,-0.05588,-0.05586,3.64197,12.77191,-0.00663999999999976,-0.000969999999999999,-0.000420000000000004,-1.65647,-6.91015
"15","2014_Q2",19.6657142857143,"Down",46769000,-32055000,14714000,-11631000,-10015000,-1616000,3083000,-539000,-109000,-435000,2544000,2544000,-741000,1803000,1487000,1487000,1487000,9130000,9130000,36804000,36804000,43497000,8803000,6145000,98234000,63968000,109500000,-45532000,74673000,34597000,1718000,138641000,236875000,23844000,13558000,2036000,7693000,3406000,3002000,27766000,36805000,7968000,28837000,36805000,64571000,64287000,114480000,-6463000,172304000,172304000,236875000,1803000,3240000,1386000,-2952000,3179000,-1994000,-2025000,-1893000,22000,-2395000,-1241000,-1241000,-226000,-1467000,6323000,516000,2118000,0.31461,0.06592,0.03179,0.00863,0.00628,1.42434,3.53792,0.37475,0.00218,0.10898,0.10894,3.42775,12.62833,0.15523,0.00972,0.0101,-1.36233,-2.79403
"16","2014_Q3",19.5703125,"Down",51911000,-36012000,15899000,-12121000,-10505000,-1616000,3778000,158000,-174000,332000,3936000,3936000,-1839000,2097000,2316000,2316000,2316000,8692000,8692000,39187000,39187000,46335000,9961000,7221000,104175000,64896000,111886000,-46990000,72877000,32939000,1868000,137773000,241948000,20849000,9748000,2473000,8069000,3039000,2622000,23908000,41394000,7588000,33806000,41394000,65302000,65560000,116808000,-5722000,176646000,176646000,241948000,2097000,3371000,1208000,-9479000,-2457000,-2129000,-2242000,4395000,212000,4074000,-625000,-625000,137000,-488000,7149000,20000,-2620000,0.30627,0.07278,0.04461,0.01311,0.00957,-1.13126,4.35733,0.36968,8.00000000000024e-05,0.16915,0.16908,3.79128,12.90121,-0.19135,0.01318,-0.01202,-1.21304,-2.29539
"17","2014_Q4",16.15375,"Down",51886000,-36804000,15082000,-11679000,-10103000,-1576000,3403000,336000,-137000,472000,3739000,3739000,-1420000,2319000,2339000,2339000,2339000,14932000,14932000,30923000,30923000,41846000,18755000,7161000,106456000,57680000,100305000,-42625000,65460000,29403000,1236000,123140000,229596000,20610000,9104000,3030000,7917000,2799000,2364000,23413000,37324000,8641000,28683000,37324000,60737000,66535000,118745000,-16421000,168859000,168859000,229596000,2319000,3401000,447000,8799000,15157000,-2349000,-1952000,-5785000,0,-6343000,6862000,6862000,-573000,6289000,6804000,4000,14674000,0.29068,0.06559,0.04508,0.01385,0.01019,6.27362,4.54688,0.35969,2e-05,0.17081,0.17076,3.78903,12.33111,1.07158,0.01406,0.07117,-2.194,-4.38672
"18","2015_Q1",14.0413114754098,"Down",51995000,-36271000,15724000,-12542000,-11247000,-1295000,3182000,-781000,-131000,-682000,2401000,-4380000,87000,-4293000,-3575000,-3575000,-3575000,9400000,9400000,35501000,35501000,40101000,10094000,6123000,95096000,63835000,109733000,-45898000,60398000,26734000,315000,124233000,219329000,28625000,14076000,3770000,10220000,3883000,3510000,32508000,31906000,7003000,24903000,31906000,64414000,67788000,113723000,-26596000,154915000,154915000,219329000,-3575000,3142000,6313000,1554000,7434000,-8101000,-7164000,-2860000,125000,-3190000,-2920000,-2920000,-2612000,-5532000,6324000,-7.27595761418343e-12,-309999.999999996,0.30241,0.0612,-0.06876,-0.02308,-0.0163,0.086710000000001,2.92531,0.4158,3.3881317890172e-21,-0.26057,-0.26069,3.78979,11.29139,-0.0225999999999997,-0.01614,-0.00166000000000001,-1.4864,-2.95412
"19","2015_Q2",11.6833333333333,"Down",40819000,-30116000,10703000,-11933000,-10916000,-1017000,-1230000,945000,-182000,1124000,-285000,-2281000,-96000,-2377000,-2377000,-2377000,-2377000,12939000,12939000,29920000,29920000,42888000,9967000,6349000,95714000,60417000,106061000,-45644000,54945000,23567000,1114000,115362000,211076000,25975000,12006000,2757000,10646000,2289000,1968000,28264000,40494000,6285000,34209000,40494000,68758000,68851000,110780000,-37313000,142318000,142318000,211076000,-2377000,2672000,2459000,-6586000,-3832000,-891000,-891000,10141000,10000,8747000,4024000,4024000,-485000,3539000,1442000,0,-5939000,0.26221,-0.03013,-0.05823,-0.0167,-0.01126,2.49853,3.38643,0.48313,0,-0.17197,-0.17197,2.95314,10.29631,-0.42967,-0.00994,-0.03249,-8.97295,10.51951
"20","2015_Q3",9.96671875,"Down",44741000,-32156000,12585000,-11532000,-10519000,-1013000,1053000,-222000,-263000,40000,831000,-285000,-1034000,-1319000,-1319000,-1319000,-1319000,10889000,10889000,35518000,35518000,43227000,12085000,7111000,101719000,61289000,107925000,-46636000,56487000,22990000,1253000,117776000,219495000,29762000,16615000,4004000,8576000,1411000,1094000,31173000,44450000,8749000,35701000,44450000,75623000,69797000,108894000,-34819000,143872000,143872000,219495000,-1319000,2511000,1603000,-3680000,-885000,-1580000,-1605000,1102000,175000,585999.999999998,-1904000,-1904000,-146000,-2050000,3564000,0,-662000,0.28129,0.02354,-0.02948,-0.00917,-0.00601,0.5019,3.26305,0.52563,0,-0.09436,-0.09436,3.20064,10.29218,-0.04736,-0.004,-0.00352,-3.05527,-10.34093
"21","2015_Q4",7.75671875,"Down",39508000,-29219000,10289000,-10945000,-9938000,-1007000,-656000,-1718000,-255000,-1463000,-2374000,-2659000,-1574000,-4233000,-4233000,-4233000,-4233000,8574000,8574000,34235000,34235000,41565000,12267000,7082000,96641000,60381000,107865000,-47484000,52905000,21994000,1154000,113286000,209927000,22412000,10337000,3915000,7592000,2388000,1993000,24804000,46861000,8894000,37967000,46861000,71665000,70441000,104093000,-36272000,138262000,138262000,209927000,-4233000,2550000,3658000,-3672000,-1697000,-2341000,-2194000,2199000,0,1632000,-2259000,-2259000,-56000,-2315000,1894000,4000,-2545000,0.26043,-0.0166,-0.10714,-0.03062,-0.02016,0.60123,3.89619,0.51833,2e-05,-0.30349,-0.30349,2.83258,9.91288,-0.18247,-0.0198,-0.01375,-4.52482,13.06402
"22","2016_Q1",5.94311475409836,"Down",41850000,-39803000,2047000,-9366000,-8370000,-996000,-7319000,-1415000,-1045000,-370000,-8734000,-20864000,4822000,-16042000,-16042000,-16042000,-16042000,6291000,6291000,35798000,35798000,35449000,8916000,8916000,86454000,57999000,106523000,-48524000,37739000,20418000,131000,95738000,182192000,30502000,14624000,2783000,12811000,2396000,2396000,32898000,30873000,2119000,28754000,30873000,63771000,71119000,87767000,-40465000,118421000,118421000,182192000,-16042000,2544000,10637000,10893000,8032000,-621000,-636000,-8444000,87000,-9177000,-1781000,-1781000,-502000,-2283000,-4775000,4.54747350886464e-13,675000,0.04891,-0.17489,-0.38332,-0.13547,-0.08805,-0.04208,2.62794,0.53851,0,-1.14654,-1.14654,2.99106,8.46367,0.04824,-0.10365,0.00452,1.31749,0.859539999999967
"23","2016_Q2",9.18140625,"Up",40532000,-30147000,10385000,-10470000,-9471000,-999000,-85000,-131000,-164000,32000,-216000,-216000,-197000,-413000,-413000,-413000,-413000,5595000,5595000,32858000,32858000,36578000,12302000,12302000,87333000,58760000,109594000,-50834000,37899000,19977000,134000,96659000,183992000,27656000,14212000,467000,12689000,7370000,7370000,35026000,26654000,1739000,24915000,26654000,61680000,71705000,87066000,-36459000,122312000,122312000,183992000,-413000,2513000,326000,1379000,3805000,-435000,-415000,-4e+06,0,-4284000,-894000,-894000,198000,-696000,2428000,0,3569000,0.25622,-0.0021,-0.01019,-0.00338,-0.00224,-8.64165,2.49338,0.50428,0,-0.02923,-0.02923,2.86854,8.6563,0.25259,-0.00087,0.02396,-2.30437,65.82353
"24","2016_Q3",10.70609375,"Up",41317000,-31409000,9908000,-9901000,-8886000,-1015000,7000,-92000.0000000001,-397000,304000,-85000,-913999.999999998,148000.000000001,-766000.000000002,-765999.999999998,-766000,-766000,9444000,9444000,29235000,29235000,33841000,9713000,9713000,82233000,57705000,109711000,-52006000,35951000,18539000,79000,93656000,175889000,23597000,9079000,662000,13567000,5123000,5123000,28720000,26393000,1421000,24972000,26393000,55113000,72503000,86012000,-37718000,120776000,120776000,175889000,-765999.999999998,2765000,987000,1651000,4637000,-761000,-745000,-2999.99999999907,189000,-100999.999999999,3791000,3791000,57999.9999999999,3849000,2772000,1.13686837721616e-13,3514000,0.2398,0.000170000000000022,-0.01854,-0.00633999999999999,-0.00436,-4.58747,2.86327,0.45632,0,-0.05467,-0.0546700000000001,2.94863,8.61929,0.25078,-0.00324999999999998,0.02388,-3.40693,-1349.14286
"25","2016_Q4",13.141746031746,"Up",36553000,-28096000,8457000,-10526000,-9517000,-1009000,-2069000,-423000,-265000,-158000,-2492000,-2865000,-272000,-3137000,-3137000,-3137000,-3137000,7451000,7451000,25970000,25970000,32866000,6597000,6597000,72884000,59006000,112758000,-53752000,35045000,17521000,107000,94051000,166935000,27375000,11785000,419000,14881000,2589000,2589000,29964000,18291000,1556000,16735000,18291000,48255000,72982000,82589000,-36866000,118680000,118680000,166935000,-3137000,2769000,1083000,8682000,9397000,-2843000,-2848000,-8250000,-20000,-8560000,-2011000,-2011000,18000,-1993000,7e+05,0,6811000,0.23136,-0.0566,-0.08582,-0.02643,-0.01879,-2.17118,2.43239,0.4066,0,-0.22131,-0.22131,2.57876,8.37268,0.48051,-0.02079,0.04973,-10.64429,3.60126
"26","2017_Q1",14.7208064516129,"Up",40173000,-30243000,9930000,-11855000,-10867000,-988000,-1925000,212000,-241000,455000,-1713000,-1713000,-476000,-2189000,-2189000,-2189000,-2189000,6419000,6419000,32959000,32959000,28833000,5148000,5148000,73359000,57133000,109427000,-52294000,32063000,15827000,139000,89196000,162555000,28128000,13260000,548000,14030000,2619000,2619000,30747000,19399000,1448000,17951000,19399000,50146000,73841000,80107000,-41514000,112409000,112409000,162555000,-2189000,2720000,1459000,-1631000,359000,-1680000,-1694000,998999.999999998,128000,838000.000000002,-497000,-497000,-535000,-1032000,795000,-1.13686837721616e-13,-2040000,0.24718,-0.04792,-0.05449,-0.01947,-0.01347,0.93193,2.38589,0.4461,4.2351647362715e-22,-0.15429,-0.15429,2.83155,7.92302,-0.14379,-0.01441,-0.01548,-8.07421,3.33454999999967
"27","2017_Q2",13.1163492063492,"Down",38962000,-28596000,10366000,-12672000,-11688000,-984000,-2306000,-84000,-506000,421000,-2390000,-2390000,-630000,-3020000,-3020000,-3020000,-3020000,5056000,5056000,33637000,33637000,31037000,6280000,6280000,76010000,57688000,112294000,-54606000,31366000,15018000,130000,89054000,165064000,25619000,13484000,784000,11056000,2170000,2170000,27789000,26028000,1794000,24234000,26028000,53817000,74412000,76792000,-39696000,111247000,111247000,165064000,-3020000,2665000,1219000,-6050000,-5186000,-1647000,-1647000,6e+06,-222000,5382000,-1451000,-1451000,88000,-1363000,359000,0,-6708000,0.26605,-0.05919,-0.07751,-0.02715,-0.0183,2.22119,2.73525,0.48376,0,-0.21163,-0.21163,2.73027,7.79567,-0.47007,-0.01989,-0.04887,-14.08357,2.19254
"28","2017_Q3",13.6120634920635,"Up",47190000,-33172000,14018000,-11578000,-10574000,-1004000,2440000,-1280000,-330000,-950000,1160000,702000.000000002,-514000,188000.000000002,187999.999999999,188000,188000,8615000,8615000,38628000,38628000,30893000,5642000,5642000,83778000,58123000,115480000,-57357000,31977000,14682000,128000,90100000,173878000,27760000,15338000,361000,11766000,1286000,1286000,29046000,27843000,1441000,26402000,27843000,56889000,75377000,76685000,-34736000,116989000,116989000,173878000,188000,2710000,920999.999999999,-1766000,2053000,-518000,-518000,2e+06,116000,1795000,3330000,3330000,229000,3559000,5150000,0,3380000,0.29705,0.05171,0.00398,0.00161000000000001,0.00108,17.97872,2.88432,0.48628,-6.7762635780344e-21,0.0131000000000001,0.0131,3.28906,8.15394,0.23558,0.00333,0.02334,-1.67282,-3.53074
"29","2017_Q4",20.2144444444444,"Up",52162000,-34999000,17163000,-12025000,-10979000,-1046000,5138000,-802000,-367000,-436000,4336000,-13248000,-812000,-14060000,-14060000,-14060000,-14060000,8861000,8861000,45443000,45443000,31489000,5293000,5293000,91086000,59585000,118752000,-59167000,14195000,13980000,215000,73780000,164866000,30257000,15794000,958000,13210000,2772000,2772000,33029000,25532000,1040000,24492000,25532000,58561000,76120000,62330000,-31784000,106305000,106305000,164866000,-14060000,2689000,17932000,-2910000,3651000,-1132000,-1132000,-2e+06,-76000,-2372000,147000,147000,99000,246000,7827000,0,4597000,0.32903,0.0985,-0.26954,-0.13226,-0.08528,-0.32696,2.75776,0.55088,0,-0.97758,-0.97758,3.62678,7.3913,0.31963,-0.1044,0.03487,-1.13211,-1.7246
