"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","fed_funds_sold_repos","other_interbank_assets","short_long_term_investments","trading_securities","investment_securities_available_for_sale","other_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","property_plant_equipment_net","other_assets","total_assets","total_deposits","short_term_debt","securities_sold_under_repo","trading_account_liabilities","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","deferred_income_taxes","change_in_working_capital","trading_assets_liabilities","net_change_in_operating_loans","accrued_interest_receivable","other_operating_assets_liabilities","net_cash_from_operating_activities","net_change_in_investments","decrease_in_investments","increase_in_investments","net_change_in_loans_interbank","net_change_in_interbank_assets","net_change_in_other_loans","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","net_change_in_interbank_transfers","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",31.9941935483871,"Up",2.5146e+10,1.0976e+10,1.3629e+10,-2.653e+09,1.417e+10,2.047e+09,4.58e+08,8.718e+09,2.947e+09,-1.789e+09,2.3357e+10,-1.5371e+10,-1.5371e+10,7.986e+09,7.986e+09,7.986e+09,-2.278e+09,5.708e+09,5.708e+09,5.708e+09,-3.62e+08,5.346e+09,5.3343e+10,3.86335e+11,2.81991e+11,1.04344e+11,9.4648e+11,4.47053e+11,3.65901e+11,1.33526e+11,6.99123e+11,-2.2824e+10,7.21947e+11,1.4271e+10,1.4271e+10,2.19091e+11,2.321284e+12,1.139611e+12,4.57625e+11,2.57218e+11,1.44933e+11,2.4114e+11,2.83215e+11,2.121591e+12,9.058e+09,9.8536e+10,4.105e+09,9.4431e+10,-1.2177e+10,9.9888e+10,4.388e+09,1.99693e+11,1.99693e+11,2.321284e+12,5.708e+09,1.294e+09,1.789e+09,-5.91e+08,-7.15e+08,-2.4859e+10,-2.7607e+10,-7.15e+08,5.289e+09,-1.826e+09,-1.6659e+10,-4.956e+09,3.9028e+10,-4.3984e+10,1.554e+09,-6.92e+08,2.246e+09,-3.57e+08,-3.759e+09,-1.223e+09,4.46e+09,6.775e+09,-4.455e+09,2.14e+09,-2.2463e+10,2.4603e+10,1.234e+09,2.38418579101562e-07,2.2848e+10,1.435e+09,2.8754e+10,8.336e+09,8.336e+09,1.41e+08,8.477e+09,9.28e+09,6.98765e+11,0.31759,0.2126,0.02677,0.0023,10.62426,0.30103,1.40558,1.40171,6.61145,50.12226,0.32155,0.00283,0.22877,69.54978,80.81918
"12","2013_Q1",36.9495,"Up",2.3653e+10,1.1122e+10,1.3524e+10,-2.402e+09,1.2531e+10,1.194e+09,1.02e+08,9.012e+09,2.223e+09,-6.56e+08,2.2997e+10,-1.6047e+10,-1.6047e+10,6.95e+09,6.95e+09,6.95e+09,-1.258e+09,5.692e+09,5.692e+09,5.692e+09,-3.71e+08,5.321e+09,5.3723e+10,4.1811e+11,2.96296e+11,1.21814e+11,9.40197e+11,4.50028e+11,3.71152e+11,1.19017e+11,7.1186e+11,-2.1936e+10,7.33796e+11,1.4519e+10,1.4519e+10,2.18497e+11,2.359141e+12,1.193593e+12,4.27388e+11,2.40103e+11,1.31918e+11,2.49024e+11,2.85067e+11,2.155072e+12,9.058e+09,9.8709e+10,4.105e+09,9.4604e+10,-1.2002e+10,1.04223e+11,4.081e+09,2.04069e+11,2.04069e+11,2.359141e+12,5.692e+09,1.404e+09,6.56e+08,7.95e+08,3.75e+08,-1.3058e+10,-1.54e+08,-2.268e+09,2.415e+09,-1.3051e+10,-4510999999.99999,-3.716e+09,3.6764e+10,-4.048e+10,-4.4685e+10,-3.1874e+10,-1.2811e+10,-1.701e+09,-5.0104e+10,-1.478e+09,-4.831e+09,3.628e+09,-1.7097e+10,8.638e+09,-2.5788e+10,3.4426e+10,0,0,5.5567e+10,4.828e+09,5.4086e+10,-529000000.000002,-529000000.000002,9.09e+08,3.8e+08,8.354e+09,6.76412e+11,0.29383,0.22496,0.02607,0.00226,10.56051,0.28672,1.39791,1.39257,6.21401,51.2324,0.38829,0.00288,0.27777,74.53783,89.59554
"13","2013_Q2",39.37703125,"Up",2.5122e+10,1.0933e+10,1.3365e+10,-2.432e+09,1.4189e+10,3.761e+09,5.09e+08,7.964e+09,1.955e+09,-6.17e+08,2.4505e+10,-1.5423e+10,-1.5423e+10,9.082e+09,9.082e+09,9.082e+09,-2.553e+09,6.529e+09,6.529e+09,6.529e+09,-3.98e+08,6.131e+09,4.5524e+10,4.75978e+11,2.18343e+11,2.57635e+11,9.10793e+11,4.30991e+11,3.65744e+11,1.14058e+11,7.08106e+11,-2.078e+10,7.28886e+11,1.4541e+10,1.4541e+10,2.32325e+11,2.389349e+12,1.202507e+12,4.32806e+11,2.48245e+11,1.25726e+11,2.68361e+11,2.78589e+11,2.182263e+12,9.958e+09,9.7266e+10,4.105e+09,9.3161e+10,-1.301e+10,1.09402e+11,3.47e+09,2.07086e+11,2.07086e+11,2.389349e+12,6.529e+09,9.74e+08,6.17e+08,1.953e+09,1.821e+09,9.891e+09,2.6673e+10,4.68e+08,-1.2687e+10,-4.563e+09,1.9964e+10,2.68e+08,5.1248e+10,-5.098e+10,-5.4795e+10,-5.8054e+10,3.259e+09,-8.91e+08,-5.5455e+10,-1.242e+09,3.171e+10,3.333e+09,8.146e+09,2.0231e+10,-1.6467e+10,3.6698e+10,-1.7e+09,-2.578e+09,2.876e+09,-3.464e+09,2.818e+10,-7.311e+09,-7.311e+09,-8.88e+08,-8.199e+09,1.0056e+10,7.01167e+11,0.36152,0.24405,0.02961,0.00257,10.53796,0.29346,1.60573,1.59371,6.57954,51.62852,0.32528,0.00309,0.20258,65.19918,72.19148
"14","2013_Q3",41.8465625,"Up",2.5211e+10,1.0704e+10,1.3072e+10,-2.368e+09,1.4507e+10,3.76e+09,1.24e+08,8.894e+09,1.729e+09,-4.7e+07,2.5164e+10,-1.5866e+10,-1.5866e+10,9.298e+09,9.298e+09,9.298e+09,-2.802e+09,6.496e+09,6.496e+09,6.496e+09,-3.95e+08,6.101e+09,2.9214e+10,5.63825e+11,2.52507e+11,3.11318e+11,8.73353e+11,4.0147e+11,3.54725e+11,1.17158e+11,7.06202e+11,-1.9384e+10,7.25586e+11,1.4574e+10,1.4574e+10,2.50375e+11,2.439494e+12,1.20295e+12,4.64186e+11,2.58962e+11,1.48593e+11,2.66212e+11,2.96907e+11,2.230255e+12,1.1458e+10,9.7521e+10,4.105e+09,9.3416e+10,-1.4071e+10,1.14216e+11,1.15e+08,2.09239e+11,2.09239e+11,2.439494e+12,6.496e+09,1.435e+09,4.7e+07,8.08e+08,3.46e+08,5.9734e+10,5.154e+10,1.482e+09,-6.796e+09,1.3508e+10,6.852e+10,3.252e+09,3.9452e+10,-3.62e+10,-8.9102e+10,-8.8145e+10,-9.57e+08,-9.32e+08,-8.679e+10,-1.485e+09,1.6026e+10,1.594e+09,1.0758e+10,3.674e+09,-2.1644e+10,2.5318e+10,3.26e+08,-1.172e+09,-9.175e+09,-3.764e+09,1.928e+09,-1.6342e+10,-1.6342e+10,3.2e+07,-1.631e+10,1.0733e+10,7.30398e+11,0.36881,0.242,0.02916,0.0025,10.65889,0.29941,1.613,1.59951,6.66534,52.28982,0.39261,0.00311,0.2434,65.32973,75.4123500000001
"15","2013_Q4",43.0521875,"Up",2.3117e+10,1.0775e+10,1.3066e+10,-2.291e+09,1.2342e+10,2.662e+09,2.6e+07,7.534e+09,2.12e+09,5.43e+08,2.366e+10,-2.3626e+10,-2.3626e+10,3.4e+07,3.4e+07,3.4e+07,-4.14e+08,-3.8e+08,-3.8e+08,-3.8e+08,-1.96e+08,-5.76e+08,3.0664e+10,6.07361e+11,2.35916e+11,3.71445e+11,8.62342e+11,3.83348e+11,3.56556e+11,1.22438e+11,7.11108e+11,-1.7571e+10,7.28679e+11,1.4876e+10,1.4876e+10,2.35141e+11,2.463309e+12,1.281102e+12,4.20588e+11,2.18728e+11,1.48119e+11,2.63372e+11,2.91577e+11,2.256639e+12,1.1158e+10,9.766e+10,4.105e+09,9.3555e+10,-1.4652e+10,1.12135e+11,3.69e+08,2.0667e+11,2.0667e+11,2.463309e+12,-3.8e+08,1.651e+09,-5.43e+08,9.54e+08,4.73e+08,2.4701e+10,9.319e+09,-9.65e+08,1.5996e+10,3.51e+08,2.6383e+10,2.187e+09,3.0287e+10,-2.81e+10,-4.8446e+10,-4.3523e+10,-4.923e+09,-5.8e+08,-4.6856e+10,-1.547e+09,-5.0459e+10,-3.101e+09,-4.0226e+10,-7.132e+09,-1.5421e+10,8.289e+09,-1.043e+09,-2.54e+09,7.9276e+10,-5.092e+09,2.1135e+10,6.62e+08,6.62e+08,7.88e+08,1.45e+09,1.685e+09,6.8396e+11,0.00147,-0.02492,-0.00279,-0.00023,10.91904,0.27766,-0.15291,-0.15291,6.13671,51.90125,0.41067,0.00039,-2.68576,387.71276,19214.58824
"16","2014_Q1",45.716393442623,"Up",2.3917e+10,1.0907e+10,1.3166e+10,-2.259e+09,1.301e+10,-42000000.0000005,8e+06,8.218e+09,4.826e+09,-1.04e+08,2.3813e+10,-1.5552e+10,-1.5552e+10,8.261e+09,8.261e+09,8.261e+09,-3.02e+09,5.241e+09,5.241e+09,5.241e+09,-3.4e+08,4.901e+09,3.9771e+10,5.64167e+11,2.48116e+11,3.16051e+11,8.40132e+11,3.74664e+11,3.54003e+11,1.11465e+11,7.22154e+11,-1.6264e+10,7.38418e+11,1.4891e+10,1.4891e+10,2.32956e+11,2.415689e+12,1.287765e+12,3.76755e+11,1.81163e+11,1.37744e+11,2.67889e+11,2.72102e+11,2.204511e+12,1.1158e+10,9.7933e+10,4.105e+09,9.3828e+10,-1.4847e+10,1.15756e+11,1.178e+09,2.11178e+11,2.11178e+11,2.415689e+12,5.241e+09,1.246e+09,1.04e+08,5.976e+09,5.499e+09,-1.9481e+10,-6.32e+08,-3.347e+09,1.147e+09,-1.6649e+10,-6.914e+09,2.945e+09,4.2145e+10,-3.92e+10,3.4018e+10,4.3085e+10,-9.067e+09,1.575e+09,3.86e+10,-1.782e+09,-3.0311e+10,9.58e+08,-3.7545e+10,6.276e+09,-6.965e+09,1.3241e+10,-2.99e+08,-2.99e+08,8.499e+09,9.74e+08,-2.2919e+10,8.767e+09,8.767e+09,3.4e+08,9.107e+09,9.507e+09,6.44644e+11,0.3454,0.20492,0.02321,0.00203,10.43911,0.26686,1.30276,1.2792,6.35752,53.16853,0.47368,0.00277,0.363600000000001,63.62396,73.2203100000006
"17","2014_Q2",44.7484126984127,"Down",2.3215e+10,1.0667e+10,1.2793e+10,-2.126e+09,1.2548e+10,3.322e+09,3e+07,7.175e+09,2.021e+09,-8.5e+08,2.2365e+10,-1.4636e+10,-1.4636e+10,7.729e+09,7.729e+09,7.729e+09,-2.46e+09,5.269e+09,5.269e+09,5.269e+09,-3.76e+08,4.893e+09,2.6321e+10,6.37699e+11,2.65168e+11,3.72531e+11,8.49075e+11,3.75204e+11,3.5185e+11,1.22021e+11,7.15124e+11,-1.5847e+10,7.30971e+11,1.4919e+10,1.4919e+10,2.32359e+11,2.476986e+12,1.282705e+12,4.18876e+11,2.17442e+11,1.40609e+11,2.74512e+11,2.81238e+11,2.257331e+12,1.5083e+10,9.6728e+10,4.105e+09,9.2623e+10,-1.3729e+10,1.19318e+11,2.255e+09,2.19655e+11,2.19655e+11,2.476986e+12,5.269e+09,1.208e+09,8.5e+08,3.42e+09,2.832e+09,3.92e+09,-8.5e+09,3.972e+09,-9.09e+09,1.7538e+10,1.4667e+10,4.606e+09,3.403e+10,-2.9424e+10,-7.2436e+10,-7.3572e+10,1.136e+09,-5.8e+08,-6.841e+10,-1.554e+09,4.7813e+10,6.486e+09,3.6263e+10,5.064e+09,-1.7e+10,2.2064e+10,3.509e+09,-3.86e+08,-5.32e+09,-4.13e+09,4.0318e+10,-1.3425e+10,-1.3425e+10,-2.5e+07,-1.345e+10,8.937e+09,6.93388e+11,0.33293,0.21077,0.02228,0.00198,10.27671,0.27993,1.29198,1.27968,6.12986,54.01669,0.41033,0.0026,0.3176,74.64104,86.30703
"18","2014_Q3",46.85453125,"Up",2.4678e+10,1.0798e+10,1.2861e+10,-2.063e+09,1.388e+10,2.908e+09,1.2e+07,8.512e+09,2.448e+09,-6.92e+08,2.3986e+10,-1.5431e+10,-1.5431e+10,8.555e+09,8.555e+09,8.555e+09,-2.575e+09,5.98e+09,5.98e+09,5.98e+09,-4.13e+08,5.567e+09,2.7523e+10,6.42058e+11,2.48149e+11,3.93909e+11,8.68428e+11,3.92543e+11,3.61918e+11,1.13967e+11,7.31657e+11,-1.5326e+10,7.46983e+11,1.5216e+10,1.5216e+10,2.34115e+11,2.520336e+12,1.319751e+12,4.19021e+11,2.16561e+11,1.38656e+11,2.69929e+11,2.84321e+11,2.293022e+12,1.8463e+10,9.6984e+10,4.105e+09,9.2879e+10,-1.5047e+10,1.23497e+11,3.417e+09,2.27314e+11,2.27314e+11,2.520336e+12,5.98e+09,1.218e+09,6.92e+08,2.2e+08,-2.92e+08,-1.2481e+10,-1.5911e+10,-58999999.9999981,-3.711e+09,7.2e+09,-4.371e+09,-7.254e+09,2.3861e+10,-3.1115e+10,-2.2409e+10,-5712999999.99998,-1.6696e+10,1.54e+08,-2.9528e+10,-1.806e+09,-1489000000.00001,4.633e+09,-8.99e+08,-5.223e+09,-1.9628e+10,1.4405e+10,1.979e+09,-1.375e+09,3.8739e+10,-2.305e+09,3.5118e+10,1.219e+09,1.219e+09,-1.7e+07,1.202e+09,9.773e+09,6.8895e+11,0.34667,0.22559,0.02449,0.00221,10.08746,0.27336,1.47252,1.4602,6.52754,55.24282,0.4777,0.00293,0.32441,67.67901,77.3146699999998
"19","2014_Q4",48.55765625,"Up",2.4469e+10,1.1107e+10,1.2926e+10,-1.819e+09,1.3362e+10,2.966e+09,6e+06,7.898e+09,2.492e+09,-7.57e+08,2.3712e+10,-1.5798e+10,-1.5798e+10,7.914e+09,7.914e+09,7.914e+09,-2.349e+09,5.565e+09,5.565e+09,5.565e+09,-4.37e+08,5.128e+09,2.5372e+10,6.28648e+11,2.14336e+11,4.14312e+11,8.95888e+11,4.10657e+11,3.66358e+11,1.18873e+11,7.28368e+11,-1.4889e+10,7.43257e+11,1.5177e+10,1.5177e+10,2.32278e+11,2.527005e+12,1.334534e+12,4.01962e+11,1.98746e+11,1.43256e+11,2.68721e+11,2.90511e+11,2.295728e+12,2.0063e+10,9.7165e+10,4.105e+09,9.306e+10,-1.643e+10,1.27234e+11,3.245e+09,2.31277e+11,2.31277e+11,2.527005e+12,5.565e+09,1.147e+09,7.57e+08,-1.13e+08,-6.46e+08,-9.805e+09,-1.0923e+10,1.003e+09,5.008e+09,-4.893e+09,-2.449e+09,-1.15e+10,3.3371e+10,-4.4871e+10,1.3378e+10,1.3296e+10,8.2e+07,3.87e+08,2.308e+09,-1.718e+09,-1.9623e+10,-6.752e+09,-1.78e+10,4.929e+09,-1.2865e+10,1.7794e+10,1.1e+08,-1.489e+09,1.8627e+10,1.229e+09,-1.375e+09,-1.516e+09,-1.516e+09,-6.35e+08,-2.151e+09,9.061e+09,6.70683e+11,0.32343,0.20957,0.02217,0.00203,9.92631,0.26541,1.3655,1.3535,6.51568,56.24274,0.45747,0.00271,0.33502,71.21852,81.54043
"20","2015_Q1",48.0972131147541,"Down",2.275e+10,1.1062e+10,1.2951e+10,-1.889e+09,1.1688e+10,1.335e+09,2.9e+07,8.252e+09,2.072e+09,-8.4e+08,2.191e+10,-1.5409e+10,-1.5409e+10,6.501e+09,6.501e+09,6.501e+09,-1.57e+09,4.931e+09,4.931e+09,4.931e+09,-4.42e+08,4.489e+09,2.7831e+10,7.0028e+11,2.15803e+11,4.84477e+11,8.57427e+11,3.98988e+11,3.48004e+11,1.10435e+11,7.43151e+11,-1.4185e+10,7.57336e+11,1.5133e+10,1.5133e+10,2.2726e+11,2.572274e+12,1.363427e+12,4.1126e+11,1.92101e+11,1.52815e+11,2.76379e+11,2.89481e+11,2.340547e+12,2.0063e+10,9.7375e+10,4.105e+09,9.327e+10,-1.7856e+10,1.29977e+11,2.168e+09,2.31727e+11,2.31727e+11,2.572274e+12,4.931e+09,1.186e+09,8.4e+08,2.948e+09,2.468e+09,1.8841e+10,3.8358e+10,-1.034e+09,4.156e+09,-2.2639e+10,2.8746e+10,1.5543e+10,4.1982e+10,-2.6439e+10,-8.7745e+10,-7.1589e+10,-1.6156e+10,2.22e+09,-7.0006e+10,-1.912e+09,6.686e+09,4.875e+09,-6.659e+09,8.47e+09,-1.5782e+10,2.4252e+10,-1.511e+09,-1.51e+09,3.73e+10,3.604e+09,4.4167e+10,2.907e+09,2.907e+09,-4.48e+08,2.459e+09,7.687e+09,6.87639e+11,0.28576,0.19732,0.01937,0.00175,10.10045,0.26733,1.20323,132.02941,6.09789,56.73421,0.51249,0.00249,0.42593,85.83427,101.49331
"21","2015_Q2",53.3796825396825,"Up",2.4066e+10,1.0677e+10,1.2565e+10,-1.888e+09,1.3389e+10,3.655e+09,5.2e+07,7.669e+09,2.013e+09,-9.59e+08,2.3107e+10,-1.4883e+10,-1.4883e+10,8.224e+09,8.224e+09,8.224e+09,-2.31e+09,5.914e+09,5.914e+09,5.914e+09,-4.62e+08,5.452e+09,2.2821e+10,7.25727e+11,2.19344e+11,5.06383e+11,8.38493e+11,3.98981e+11,3.31136e+11,1.08376e+11,7.5012e+11,-1.4065e+10,7.64185e+11,1.4963e+10,1.4963e+10,2.23896e+11,2.577148e+12,1.367887e+12,4.10506e+11,1.96578e+11,1.58273e+11,2.80608e+11,2.82283e+11,2.341284e+12,2.1493e+10,9.635e+10,4.105e+09,9.2245e+10,-1.8436e+10,1.34048e+11,2.409e+09,2.35864e+11,2.35864e+11,2.577148e+12,5.914e+09,1.181e+09,9.59e+08,5.46e+08,3.3e+07,6.279e+09,2.4856e+10,1.79e+09,-2.7e+07,-2.034e+10,1.4879e+10,1.0387e+10,3.3509e+10,-2.3122e+10,-3.6481e+10,-2.5374e+10,-1.1107e+10,1.944e+09,-2.415e+10,-1.77e+09,-1.205e+09,-1.1885e+10,4.468e+09,6.212e+09,-2.2183e+10,2.8395e+10,-5.08e+08,-1.9e+09,8.967e+09,-1.147e+09,4.337e+09,-4.934e+09,-4.934e+09,-7.6e+07,-5.01e+09,9.405e+09,6.91114e+11,0.34173,0.22654,0.02312,0.00212,9.92642,0.26817,1.46351,1.45096,6.46015,57.54463,0.47513,0.0028,0.32465,71.0572,81.26131
"22","2015_Q3",53.89703125,"Up",2.3812e+10,1.0684e+10,1.2514e+10,-1.83e+09,1.3128e+10,2.834e+09,4.4e+07,8.049e+09,2.201e+09,-9.35e+08,2.2877e+10,-1.45e+10,-1.45e+10,8.377e+09,8.377e+09,8.377e+09,-2.087e+09,6.29e+09,6.29e+09,6.29e+09,-5.14e+08,5.776e+09,2.4095e+10,6.11657e+11,2.1285e+11,3.98807e+11,7.94193e+11,3.7787e+11,3.17795e+11,9.8528e+10,7.77332e+11,-1.3915e+10,7.91247e+11,1.5073e+10,1.5073e+10,2.26158e+11,2.449599e+12,1.287332e+12,3.62557e+11,1.80897e+11,1.39422e+11,2.86693e+11,2.71812e+11,2.208394e+12,2.4918e+10,9.6309e+10,4.105e+09,9.2204e+10,-1.9397e+10,1.38294e+11,1.081e+09,2.41205e+11,2.41205e+11,2.449599e+12,6.29e+09,1.238e+09,9.35e+08,5.23e+08,5.7e+07,8.31e+09,4.501e+09,-4.658e+09,1.81e+08,8.286e+09,1.7296e+10,1.1752e+10,3.5699e+10,-2.3947e+10,8.979e+10,1.13971e+11,-2.4181e+10,78999999.9999998,1.01621e+11,-1.964e+09,-1.9756e+10,-1.2276e+10,-1.5663e+10,8.183e+09,-1.8007e+10,2.619e+10,2.133e+09,-1.249e+09,-9.7805e+10,-3.74e+08,-1.17766e+11,1.151e+09,1.151e+09,1.23e+08,1.274e+09,9.615e+09,6.4925e+11,0.3518,0.24257,0.02395,0.00236,9.15567,0.26504,1.5578,1.54290000000001,6.42214,58.33297,0.52969,0.00316,0.34003,65.01872,74.62755
"23","2015_Q4",53.96390625,"Up",2.278e+10,1.0924e+10,1.2739e+10,-1.815e+09,1.1856e+10,2.367e+09,3.3e+07,7.381e+09,2.075e+09,-6.82e+08,2.2098e+10,-1.5368e+10,-1.5368e+10,6.73e+09,6.73e+09,6.73e+09,7.4e+07,6.804e+09,6.804e+09,6.804e+09,-5.34e+08,6.27e+09,2.1258e+10,5.94663e+11,2.18467e+11,3.76196e+11,7.74036e+11,3.61708e+11,3.0666e+11,1.05668e+11,7.95991e+11,-1.3466e+10,8.09457e+11,1.4709e+10,1.4709e+10,2.15428e+11,2.417121e+12,1.273106e+12,3.41449e+11,1.80319e+11,1.41474e+11,2.92945e+11,2.63893e+11,2.171393e+12,2.6068e+10,9.6421e+10,4.105e+09,9.2316e+10,-2.0541e+10,1.4305e+11,7.3e+08,2.45728e+11,2.45728e+11,2.417121e+12,6.804e+09,1.248e+09,6.82e+08,-1.89e+08,-6.2e+08,1.6579e+10,1.3319e+10,6.012e+09,1.1262e+10,-1.4014e+10,2.5124e+10,1.0271e+10,2.3166e+10,-1.2895e+10,-8.911e+09,1.7058e+10,-2.5969e+10,8.91e+08,2.251e+09,-1.944e+09,-1.9582e+10,-2.3454e+10,-5.94e+08,4.466e+09,-1.1192e+10,1.5658e+10,-1.29e+08,-1.248e+09,-7.628e+09,-8.01e+08,-3.0084e+10,-2.709e+09,-2.709e+09,-1.28e+08,-2.837e+09,7.978e+09,6.34394e+11,0.29543,0.27524,0.02552,0.00259,8.83657,0.26246,1.69716,1.68295,6.16609,59.45756,0.5262,0.0034,0.31005,76.85335,91.1049
"24","2016_Q1",48.7383606557377,"Down",2.2885e+10,1.1225e+10,1.3155e+10,-1.93e+09,1.166e+10,1.552e+09,7.3e+07,7.368e+09,2.667e+09,-1.251e+09,2.1634e+10,-1.4263e+10,-1.4263e+10,7.371e+09,7.371e+09,7.371e+09,-1.937e+09,5.434e+09,5.434e+09,5.434e+09,-5.26e+08,4.908e+09,2.049e+10,5.5259e+11,2.12575e+11,3.40015e+11,7.33387e+11,3.43839e+11,2.90827e+11,9.8721e+10,8.23744e+11,-1.3555e+10,8.37299e+11,1.4362e+10,1.4362e+10,2.0611e+11,2.351698e+12,1.279715e+12,2.95137e+11,1.52678e+11,1.26897e+11,2.88651e+11,2.40622e+11,2.104125e+12,2.6068e+10,9.6605e+10,4.105e+09,9.25e+10,-2.1691e+10,1.4642e+11,1.71e+08,2.47573e+11,2.47573e+11,2.351698e+12,5.434e+09,1.273e+09,1.251e+09,2.238e+09,1.863e+09,5.971e+09,2.729e+09,-1.89e+09,1.1248e+10,-6.116e+09,1.6167e+10,1.3573e+10,3.0617e+10,-1.7044e+10,1.2896e+10,4.1997e+10,-2.9101e+10,7.89e+08,2.7258e+10,-2.195e+09,-4.4336e+10,-1.0213e+10,-2.7626e+10,-6.497e+09,-1.5865e+10,9.368e+09,-1.219e+09,-1.219e+09,7.788e+09,-4.036e+09,-4.3998e+10,-5.73e+08,-5.73e+08,-1.95e+08,-7.68e+08,8.644e+09,5.83788e+11,0.32209,0.21446,0.01982,0.00209,8.49901,0.24824,1.33584,151.48148,6.22874,60.28823,0.59743,0.00302,0.44723,65.16636,76.42084
"25","2016_Q2",52.5078125,"Up",2.3239e+10,1.138e+10,1.3552e+10,-2.172e+09,1.1859e+10,2.679e+09,5.1e+07,7.027e+09,2.102e+09,-1.824e+09,2.1415e+10,-1.3837e+10,-1.3837e+10,7.578e+09,7.578e+09,7.578e+09,-2.058e+09,5.52e+09,5.52e+09,5.52e+09,-4.74e+08,5.046e+09,1.8212e+10,5.83416e+11,2.2322e+11,3.60196e+11,7.54413e+11,3.66153e+11,2.85323e+11,1.02937e+11,8.33319e+11,-1.3994e+10,8.47313e+11,1.4195e+10,1.4195e+10,2.19313e+11,2.423808e+12,1.321816e+12,3.25771e+11,1.60999e+11,1.47282e+11,2.90754e+11,2.3531e+11,2.173651e+12,2.6068e+10,9.5887e+10,4.105e+09,9.1782e+10,-2.2289e+10,1.4973e+11,7.61e+08,2.50157e+11,2.50157e+11,2.423808e+12,5.52e+09,1.289e+09,1.824e+09,1.374e+09,9.06e+08,-3.139e+10,-1.2886e+10,3.61e+08,-1.1115e+10,-7.75e+09,-2.1383e+10,9.08e+09,2.8739e+10,-1.9659e+10,-4.3823e+10,-3.0758e+10,-1.3065e+10,1.62e+08,-3.4581e+10,-1.946e+09,8.269e+09,8.07e+08,8.304e+09,-8.42e+08,-1.656e+10,1.5718e+10,-1.696e+09,-1.696e+09,5.1978e+10,-3.021e+09,5.3584e+10,-2.38e+09,-2.38e+09,1.02e+08,-2.278e+09,8.867e+09,6.16525e+11,0.32609,0.21713,0.02017,0.00208,8.68915,0.25436,1.35989,186.88889,6.26287,60.39158,0.52444,0.00288,0.38565,67.47637,78.95395
"26","2016_Q3",55.2490625,"Up",2.438e+10,1.1347e+10,1.3813e+10,-2.466e+09,1.3033e+10,2.976e+09,2.1e+07,7.417e+09,2.619e+09,-1.402e+09,2.2978e+10,-1.3638e+10,-1.3638e+10,9.34e+09,9.34e+09,9.34e+09,-3.14e+09,6.2e+09,6.2e+09,6.2e+09,-4.73e+08,5.727e+09,1.971e+10,5.82862e+11,2.37267e+11,3.45595e+11,7.62628e+11,3.80793e+11,2.7861e+11,1.03225e+11,8.58577e+11,-1.4227e+10,8.72804e+11,1.4262e+10,1.4262e+10,2.2714e+11,2.466096e+12,1.330958e+12,3.42281e+11,1.66044e+11,1.58958e+11,2.95627e+11,2.44807e+11,2.213673e+12,2.6068e+10,9.6079e+10,4.105e+09,9.1974e+10,-2.507e+10,1.53749e+11,1.597e+09,2.52423e+11,2.52423e+11,2.466096e+12,6.2e+09,1.336e+09,1.402e+09,2.04e+08,-3.29e+08,-1.0666e+10,-1.382e+09,-2.968e+09,-7.292e+09,9.76e+08,-1.524e+09,7.131e+09,2.9608e+10,-2.2477e+10,-2.3876e+10,553999999.999992,-2.443e+10,-7.38e+08,-1.7483e+10,-2.174e+09,9429999999.99999,-4.96e+08,5.042e+09,4.884e+09,-1.5462e+10,2.0346e+10,-2.84e+09,-2.84e+09,1.6231e+10,-7.2e+07,2.0575e+10,1.568e+09,1.568e+09,-7e+07,1.498e+09,1.0676e+10,6.37908e+11,0.3831,0.23491,0.02269,0.00232,8.7697,0.25867,1.57517,1.56198000000001,6.70554,62.25727,0.59794,0.0032,0.37961,57.9054,66.18822
