"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q2",46.768253968254,"Up",55421000,-21680000,33741000,-17814000,-10489000,-6242000,-1083000,15927000,-90000,-90000,15837000,15837000,-1808000,14029000,14029000,14029000,14029000,195557000,155085000,18988000,18988000,4069000,4069000,219143000,6083000,77623000,64683000,4651000,1851000,83706000,302849000,10305000,1545000,8760000,10305000,1700000,0,1700000,1700000,12005000,238959000,52076000,290844000,290844000,302849000,14029000,3482000,6269000,-8204000,15576000,-1437000,-2728000,-4274000,3829000,3829000,3829000,15131000,15131000,15131000,19409000,0,11576000,0.60881,0.28738,0.25314,0.04824,0.04632,0.82515,21.2657,0.04128,0,0.23491,0.22849,0.92801,4.87013,0.19384,0.04796,0.03957,-10.07558,-12.27833
"12","2017_Q3",46.5501587301587,"Down",56879000,-21077000,35802000,-19307000,-11428000,-6797000,-1082000,16495000,-38000,-38000,16457000,16457000,489000,16946000,16946000,16946000,16946000,210302000,169721000,20904000,20904000,8078000,8078000,239623000,6080000,85241000,73827000,4651000,1709000,91321000,330944000,12943000,1594000,11349000,12943000,2067000,-1.16415321826935e-10,2067000,2067000,15010000,247261000,68868000,315934000,315934000,330944000,16946000,3654000,5260000,-1675000,24185000,-7239000,-2438000,-12792000,3243000,3243000,3243000,14636000,14636000,14636000,20149000,9.09494701772928e-13,10746000,0.62944,0.29,0.29793,0.05364,0.05121,0.63413,18.51371,0.04751,4.2351647362715e-22,0.28162,0.27436,0.94526,5.25043,0.17859,0.05329,0.03379,-10.43734,-12.74944
"13","2017_Q4",49.5146031746032,"Up",56789000,-23062000,33727000,-20165000,-12144000,-6866000,-1155000,13562000,-395000,-395000,13167000,13167000,-2685000,10482000,10482000,10482000,10482000,225078000,184367000,21458000,21458000,6106000,6106000,252811000,6789000,96517000,85450000,4651000,1760000,103306000,356117000,19478000,3295000,16183000,19478000,2226000,0,2226000,2226000,21704000,255251000,79350000,334413000,334413000,356117000,10482000,4006000,4129000,3505000,22122000,-10235000,-2488000,-12724000,5248000,5248000,5248000,14646000,14646000,14646000,17568000,0,13523000,0.5939,0.23881,0.18458,0.03134,0.02943,1.29012,12.97931,0.0649,0,0.17308,0.16943,0.9377,5.52183,0.22329,0.03114,0.04017,-12.81182,-16.59622
"14","2018_Q1",54.1403278688525,"Up",60436000,-28790000,31646000,-23212000,-14189000,-7480000,-1543000,8434000,-1706000,-1706000,6728000,6728000,-823000,5905000,5905000,5905000,5905000,240269000,199472000,21602000,21602000,3310000,3310000,265396000,7836000,95927000,83635000,4651000,2180000,103763000,369159000,20490000,2420000,18070000,20490000,2395000,0,2395000,2395000,22885000,261243000,85300000,346274000,346274000,369159000,5905000,4810000,3178000,5926000,19819000,-4092000,-2726000,-6958000,2244000,2244000,2244000,15105000,15105000,15105000,13244000,2.91038304567337e-11,15901000,0.52363,0.13955,0.09771,0.01705,0.016,2.6928,12.95246,0.06609,-6.7762635780344e-21,0.09718,0.09466,0.99465,5.69895,0.2617,0.01694,0.0456,-18.14172,-28.48814
"15","2018_Q2",71.829375,"Up",69904000,-25548000,44356000,-23816000,-14367000,-7979000,-1470000,20540000,-1000,-1000,20539000,20539000,2038000,22577000,22577000,22577000,22577000,269835000,228945000,23022000,23022000,10730000,10730000,303764000,8626000,105641000,82148000,4651000,18226000,114267000,418031000,17154000,3112000,14042000,17154000,3903000,1437000,2466000,3903000,21057000,276446000,120528000,396974000,396974000,418031000,22577000,4520000,6330000,-10723000,22704000,-1121000,-2097000,-3398000,10167000,10167000,10167000,29473000,29473000,29473000,25060000,0,11178000,0.63453,0.29383,0.32297,0.05687,0.05401,0.49511,17.70806,0.05304,0,0.36909,0.36012,1.14278,6.48968,0.18274,0.05632,0.02788,-10.76756,-13.13705
"16","2018_Q3",86.1469841269841,"Up",71067000,-24492000,46575000,-25012000,-15136000,-8398000,-1478000,21563000,-75000.0000000002,-75000,21488000,21488000,1029000,22517000,22517000,22517000,22517000,302917000,261808000,24906000,24906000,11727000,11727000,339713000,8869000,106020000,82277000,4651000,18054000,114889000,454602000,17069000,1769000,15300000,17069000,4914000,2221000,2693000,4914000,21983000,289574000,143045000,432619000,432619000,454602000,22517000,4396000,5834000,-2811000,29936000,-2583000,-2604000,-5375000,8302000,8302000,8302000,32863000,32863000,32863000,25959000,0,19536000,0.65537,0.30342,0.31684,0.05205,0.04953,0.86761,19.90234,0.05081,-1.0842021724855e-19,0.36388,0.35517,1.14846,6.99126,0.31571,0.05146,0.04465,-11.66906,-14.048
"17","2018_Q4",80.608253968254,"Down",70495000,-24678000,45817000,-26831000,-16663000,-8678000,-1490000,18986000,-1555000,-1555000,17431000,17431000,-1745000,15686000,15686000,15686000,15686000,330257000,289007000,24465000,24465000,8953000,8953000,363839000,8743000,105116000,80730000,4651000,18300000,113859000,477698000,17400000,1495000,15905000,17400000,3497000,661000,2836000,3497000,20897000,298070000,158731000,456801000,456801000,477698000,15686000,4582000,4535000,3342000,28145000,-958000,-2651000,-3815000,2869000,2869000,2869000,27199000,27199000,27199000,23568000,0,27697000,0.64993,0.26932,0.22251,0.03434,0.03284,1.76571,20.91029,0.04575,0,0.25264,0.24539,1.1354,7.35732,0.44609,0.03408,0.06017,-14.01294,-17.39476
"18","2019_Q1",70.3024590163934,"Down",75777000,-31332000,44445000,-27864000,-16371000,-10002000,-1491000,16581000,-220999.999999999,49000.0000000009,16360000,16360000,-3241000,13119000,13119000,13119000,13119000,361475000,361475000,25668000,25668000,7534000,7534000,394677000,9900000,104730000,79666000,4651000,20413000,115339000,510016000,29053000,3520000,25533000,29053000,3884000,916000,2968000,3884000,32937000,305229000,171850000,477079000,477079000,510016000,13119000,4687000,5605000,9226000,32637000,793000,-2626000,38240000,1591000.00000001,1591000.00000001,1591000,72468000,72468000,72468000,21268000,-3.72529029846191e-09,34528000,0.58652,0.21881,0.17313,0.0275,0.02572,2.63191,13.58472,0.06904,1.73472347597681e-18,0.2109,0.20671,1.21816,7.66934,0.55506,0.02728,0.07179,-16.99619,-21.80055
"19","2019_Q2",69.6057142857143,"Down",87052000,-29299000,57753000,-30075000,-17679000,-10905000,-1491000,27678000,23600000,23600000,51278000,51278000,-9456000,41822000,41822000,41822000,41822000,329310000,329310000,27022000,27022000,8244000,8244000,364576000,9032000,144966000,81437000,4651000,58878000,232063000,596639000,19592000,1964000,17628000,23378000,43962000,7332000,36630000,43962000,67340000,315627000,213672000,529299000,529299000,596639000,41822000,4773000,-9914000,-11345000,25336000,-2388000,-5497000,-61730000,4229000,4229000,4229000,-32165000,-32165000,-32165000,32451000,0,28174000,0.66343,0.31795,0.48043,0.07901,0.0701,0.67366,15.59483,0.12722,0,0.67102,0.65448,1.39672,8.49243,0.45204,0.07295,0.04915,-10.14792,-11.8979
"20","2019_Q3",66.369375,"Down",86623000,-28183000,58440000,-30792000,-17653000,-11645000,-1494000,27648000,-1128000,-1128000,26520000,23736000,-4370000,19366000,19366000,19366000,19366000,815160000,815160000,27357000,27357000,10999000,10999000,853516000,10539000,152446000,88768000,4651000,59027000,244824000,1098340000,33187000,2740000,30447000,37141000,44168000,7773000,36395000,44168000,81309000,783993000,233038000,1017031000,1017031000,1098340000,19366000,4949000,4220000,2960000,31495000,-2840000,-4021000,-6860999.99999994,461216000,461216000,461216000,485850000,485850000,485850000,32597000,2.98023223876953e-08,37087000,0.67465,0.31918,0.22357,0.01904,0.01763,1.91506,22.98043,0.07995,1.38777878078145e-17,0.30141,0.2949,1.34818,15.82878,0.57721,0.01825,0.03495,-25.00721,-29.48351
"21","2019_Q4",62.38421875,"Down",157118000,-61083000,96035000,-68438000,-31876000,-23511000,-13051000,27597000,-41174000,-30819000,-13577000,-31252000,9918000,-21334000,-21334000,-21334000,-21334000,174557000,174557000,66647000,66647000,29119000,29119000,270323000,35199000,2254399000,796228000,1335187000,122984000,2289598000,2559921000,99830000,7966000,91864000,141860000,204284000,128642000,75642000,1400300000,1542160000,806057000,211704000,1017761000,1017761000,2559921000,-21334000,19069000,11285000,8219000,17239000,-9022000,-7714000,-1646802000,-458103000,-458103000,988960000,-640603000,-640603000,-640603000,46666000,1227266000,35945000,0.61123,0.17565,-0.13578,-0.02096,-0.00833,-1.68487,1.90556,1.51525,0.47942,-0.30217,-0.2968,2.22537,14.41527,0.50911,-0.00871,0.01468,22.55837,38.14578
"22","2020_Q1",66.3972580645161,"Up",201200000,-87519000,113681000,-87487000,-37304000,-31515000,-18668000,26194000,-15149000,-732000.000000004,11045000,-607000,417000.000000002,-190000,-190000,-190000,-190000,191726000,191726000,70863000,70863000,34711000,34711000,297300000,33486000,2234195000,783279000,1332631000,118267000,2267681000,2564981000,100473000,3980000,96493000,151937000,201134000,130492000,70642000,1382749000,1534686000,818781000,211514000,1030295000,1030295000,2564981000,-190000,26561000,13787000,-9218000,30940000,6964000,-8422000,-25101000,462500000,462500000,11330000,17168999.9999999,17168999.9999999,17168999.9999999,52755000,1220678000,50084000,0.56501,0.13019,-0.000939999999999969,-0.00018,-7.00000000000006e-05,-263.6,1.95673,1.48956,0.4759,-0.00268000000000007,-0.00263000000000002,2.83688,14.52695,0.70617,-8.00000000000002e-05,0.02042,19.50435,39.28197
"23","2020_Q2",55.2977777777778,"Down",190011000,-81937000,108074000,-80233000,-30453000,-31078000,-18702000,27841000,-13027000,-764000,14814000,2044000,-218000,1826000,1826000,1826000,1826000,171093000,171093000,69789000,69789000,42901000,42901000,283783000,35821000,2242875000,777483000,1332631000,132723000,2278696000,2562479000,74520000,7338000,67182000,134605000,220032000,134267000,85765000,1387224000,1521829000,827310000,213340000,1040650000,1040650000,2562479000,1826000,27507000,13355000,-27662000,15026000,-7511000,-11775000,-25294000,1223000,1223000,-10365000,-20633000,-20633000,-20633000,55348000,1214067000,20393000,0.56878,0.14652,0.00961,0.00175,0.00071,11.16813,2.10826,1.46238,0.47379,0.02573,0.02526,2.67697,14.66117,0.28731,0.00074,0.00824,18.84393,37.4618
"24","2020_Q3",54.93328125,"Down",176039000,-74255000,101784000,-82391000,-32660000,-30654000,-19077000,19393000,-9719000,-823999.999999999,9674000,-691000,543000,-148000,-148000,-148000,-148000,268910000,268910000,70235000,70235000,43982000,43982000,383127000,34528000,2246726000,783106000,1333808000,129753000,2281254000,2664381000,85567000,11708000,73859000,153776000,217371000,129857000,87514000,1170269000,1324045000,1127144000,213192000,1340336000,1340336000,2664381000,-148000,28599000,8589000,16596000,53636000,-1476000,-10012000,-30402000,288912000,288912000,74583000,97816999.9999999,97816999.9999999,97816999.9999999,47992000,1007586000,62569000,0.57819,0.11016,-0.00084,-0.00011,-6e-05,-422.76351,2.49146,0.98785,0.37817,-0.00205000000000001,-0.00201,2.43289,18.52367,0.86471,-5.99999999999999e-05,0.02439,15.39165,38.08983
"25","2020_Q4",62.19859375,"Up",179351000,-74793000,104558000,-84863000,-34979000,-30758000,-19126000,19695000,-7373000,-421000,12322000,4129000,-2340000,1789000,1789000,1789000,1789000,299356000,299356000,64291000,64291000,32383000,32383000,396030000,31774000,2229458000,776311000,1326793000,126333000,2261232000,2657262000,74965000,6746000,68219000,151359000,212088000,123993000,88095000,1150646000,1302005000,1140276000,214981000,1355257000,1355257000,2657262000,1789000,29379000,12941000,7946000,52055000,-2401000,-15455000,-21034000,1135000,1135000,-575000,30446000,30446000,30446000,49074000,1001058000,56959000,0.58298,0.10981,0.00997,0.00132,0.00067,31.83846,2.61649,0.96071,0.37673,0.02331,0.02292,2.33725,17.66129,0.74227,7e-04,0.02218,14.29885,35.62843
"26","2021_Q1",78.5655737704918,"Up",188169000,-87251000,100918000,-87843000,-36365000,-32319000,-19159000,13075000,244999.999999999,7016000,13320000,-1342000,6709000,5367000,5367000,5367000,5367000,328803000,328803000,72767000,72767000,58607000,58607000,460177000,29106000,2221124000,767003000,1327193000,126928000,2250230000,2710407000,128164000,1614000,126550000,204701000,202761000,119729000,83032000,1126978000,1331679000,1158380000,220348000,1378728000,1378728000,2710407000,5367000,30419000,9701000,15415000,60902000,-1705000,-14258000,-20234000,4077000.00000006,4077000.00000006,-11221000,29447000,29447000,29447000,43494000,986717000,50495000,0.53632,0.06949,0.02852,0.00389,0.00198,9.40841999999998,2.24804,0.96588,0.36405,0.06982,0.06818,2.44801,17.93677,0.65692,0.00209,0.01966,15.12655,50.31847
"27","2021_Q2",76.1852380952381,"Down",184202000,-81086000,103116000,-90056000,-34773000,-35469000,-19814000,13060000,-10319000,-3630000,2741000,-6066000,3451000,-2615000,-2615000,-2615000,-2615000,736773000,736773000,74468000,74468000,53870000,53870000,865111000,27479000,2269279000,780794000,1363568000,124917000,2296758000,3161869000,116127000,9636000,106491000,192304000,211475000,124748000,86727000,1121295000,1313599000,1630537000,217733000,1848270000,1848270000,3161869000,-2615000,31768000,18163000,-16398000,30918000,-2490000,-15469000,-67801000,460831000,460831000,444853000,407970000,407970000,407970000,44828000,972320000,22489000,0.5598,0.0709,-0.0142,-0.00141,-0.00083,-8.6,4.49866,0.71072,0.30751,-0.03199,-0.03199,2.25332,22.60964,0.2751,-0.00086,0.00742,5.25446,18.03576
"28","2021_Q3",69.44828125,"Down",189103000,-77132000,111971000,-96475000,-38288000,-37898000,-20289000,15496000,-6910000,343999.999999998,8586000,-7785000,3967000,-3818000,-3818000,-3818000,-3818000,753754000,753754000,74223000,74223000,32637000,32637000,860614000,27382000,2260638000,770329000,1363568000,126741000,2288020000,3148634000,93948000,4696000,89252000,185124000,205395000,115306000,90089000,1100844000,1285968000,1648751000,213915000,1862666000,1862666000,3148634000,-3818000,33051000,8943000,-928000,37248000,-3862000,-16628000,-20467000,2483000,2483000,200000.00000006,16980999.9999999,16980999.9999999,16980999.9999999,48547000,973574000,39790000,0.59212,0.08194,-0.02019,-0.00205,-0.00121,-10.42169,4.64885,0.69039,0.30921,-0.04572,-0.04572,2.26446,22.30497,0.47648,-0.00126,0.01308,4.52798,14.1856
"29","2021_Q4",58.23875,"Down",179954000,-76634000,103320000,-90442000,-32730000,-38070000,-19642000,12878000,-8759000,3122000,4119000,-9125000,4087000,-5038000,-5038000,-5038000,-5038000,649129000,649129000,84083000,84083000,30919000,30919000,764131000,24930000,2310553000,820946000,1363549000,126058000,2335483000,3099614000,87818000,5244000,82574000,107074000,197189000,110400000,86789000,1120690000,1227764000,1662973000,208877000,1871850000,1871850000,3099614000,-5038000,33545000,10592000,-16827000,22272000,-932000,-16936000,-79678000,1056000,1056000,-47219000,-104625000,-104625000,-104625000,46423000,930064000,24577000,0.57415,0.07156,-0.028,-0.00269,-0.00163,-4.87832,7.13648,0.65591,0.30006,-0.06029,-0.06029,2.15356,22.401,0.29412,-0.00168,0.00819,6.05163,21.81511
"30","2022_Q1",54.0006451612903,"Down",203297000,-97998000,105299000,-106166000,-37193000,-45927000,-23046000,-867000,-16515000,-5767000,-17382000,-43765000,10947000,-32818000,-32818000,-32818000,-32818000,225414000,225414000,87428000,87428000,38495000,38495000,351337000,23372000,2732393000,973137000,1645836000,113420000,2755765000,3107102000,132266000,27541000,104725000,153187000,179263000,99846000,79417000,1101340000,1254527000,1676516000,176059000,1852575000,1852575000,3107102000,-32818000,38824000,8773000,35778000,50557000,-1624000,-13675000,-471301000,2024000,2024000,-2971000,-423715000,-423715000,-423715000,37957000,930827000,61164000,0.51796,-0.00426,-0.16143,-0.01771,-0.01056,-1.86373,2.29352,0.67718,0.29958,-0.68196,-0.60888,4.22453,38.49666,1.27099,-0.01108,0.02064,18.58453,-813.62514
"31","2022_Q2",64.0498387096774,"Up",205679000,-94506000,111173000,-109168000,-40287000,-45183000,-23698000,2005000,-10762000,-301000,-8757000,-18051000,4412000,-13639000,-13639000,-13639000,-13639000,161247000,161247000,86003000,86003000,31673000,31673000,278923000,21003000,2765141000,1007864000,1645836000,111441000,2786144000,3065067000,94906000,13661000,81245000,117651000,173639000,95376000,78263000,1092153000,1209804000,1692843000,162420000,1855263000,1855263000,3065067000,-13639000,39486000,10328000,-29098000,7077000,-1155000,-13635000,-74203000,2811000,2811000,2959000,-64167000,-64167000,-64167000,41491000,929452000,6826000,0.54052,0.00975,-0.06631,-0.00735,-0.00445,-0.50048,2.37077,0.65209,0.30324,-0.16233,-0.16233,2.44792,22.08068,0.08124,-0.00461,0.00231,18.51498,383.14464
