"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"18","2019_Q1",28.4667213114754,"Up",82640000,-68435000,14205000,-14403000,-10856000,965000,-198000,-73000.0000000001,-311000,238000,-271000,-271000,-4000,-275000,-275000,-275000,-275000,81111000,26552000,54559000,31565000,31565000,5300000,5300000,117976000,69803000,3554000,16177000,8071000,8106000,89534000,207510000,14114000,2767000,11347000,50091000,33027000,16062000,64205000,1270000,998811.685711961,1270000,14132000,78337000,219838000,-6201000,-83711000,-753000,129173000,129173000,207510000,-275000,1485000,1219000,1235000,3664000,1879000.00000001,-15287000,-255000,-16622000,3942000,66400000,66400000,-64790000,5552000,-7406000,-7406000,-719000,-8125000.00000003,1287000,12862000,4405000,0.17189,-0.0024,-0.00333,-0.00213,-0.00133,-16.01818,1.83749,0.60645,0.06198,-0.00815,-0.00902,2.44876,3.82761,0.13053,-0.00192,0.0307399999999999,-53.02953,344.69192
"19","2019_Q2",32.8553968253968,"Up",86978000,-71946000,15032000,-16315000,-13646000,-2669000,-1283000,27000,-317000,344000,-1256000,-1256000,-40000,-1296000,-1296000,-1296000,-1296000,88270000,26622000,61648000,37568000,37568000,4847000,4847000,130685000,69365000,3701000,17554000,7839000,9715000,90620000,221305000,14956000,2897000,12059000,55769000,38594000,17175000,70725000,2493000,1002000,1491000,20571000,91296000,226262000,-10701000,-85007000,-545000,130009000,130009000,221305000,-1296000,1613000,1354000,2288000,3959000,-878000,-7145000,-1479000,-9502000,5200000,661000,661000,-468000,5393000,-150000,-150000,220000,70000,330000,18078000,1780000,0.17283,-0.01475,-0.0149,-0.00997,-0.00586,-1.37346,1.84779,0.70223,0.08169,-0.03779,-0.03779,2.53637,3.79119,0.05191,-0.00861,0.01182,-212.70303,54.70928
"20","2019_Q3",29.2940625,"Down",92199000,-77486000,14713000,-16554000,-13976000,-2578000,-1841000,-136000,-317000,453000,-1977000,-1977000,46000,-1931000,-1931000,-1931000,-1931000,92091000,27379000,64712000,43550000,43550000,4322000,4322000,139963000,69371000,3891000,17239000,7631000,9608000,90501000,230464000,15507000,2117000,13390000,62366000,44086000,18280000,77873000,2512000,1014000,1498000,21568000,99441000,229069000,-10701000,-86938000,-407000,131023000,131023000,230464000,-1931000,1564000,1973000,1316000,2922000,-902000,-3182000,5000,-4079000,967000,965000.000000007,965000.000000007,-194000,1738000,580999.999999998,580999.999999998,176000,757000,-277000,19056000,91000,0.15958,-0.01997,-0.02094,-0.01474,-0.00838,-0.0471299999999999,1.79732,0.75896,0.08269,-0.0558,-0.0558,2.66411,3.78594,0.00263000000000006,-0.01265,0.000600000000000021,263.66426,39.67137
"21","2019_Q4",29.38078125,"Up",99276000,-81831000,17445000,-16543000,-14272000,-2271000,902000,-102000,-340000,297000,8e+05,8e+05,-18000,782000,782000,782000,782000,96451000,25027000,71424000,50144000,50144000,4861000,4861000,151456000,69568000,4102000,17861000,7692000,10169000,91531000,242987000,16370000,2815000,13555000,69199000,49900000,19299000,85569000,2501000,1002000,1499000,24572000,110141000,230209000,-10701000,-86156000,-506000,132846000,132846000,242987000,782000,1181000,1891000,890000,4744000,-1806000,-6941000,-463000,-9210000,3e+06,629000,629000,-1386000,2243000,-2223000,-2223000,-129000,-2352000,2083000,22071000,1185000,0.17572,0.00909,0.00788,0.00589,0.00322,1.51535,1.76999,0.82909,0.09083,0.02242,0.02242,2.84622,3.80867,0.03397,0.00497,0.00753,-35.70811,-82.4612
"22","2020_Q1",31.2787096774194,"Up",105483000,-87749000,17734000,-17080000,-11941000,493000,654000,139000,-375000,535000,793000,793000,-157000,636000,636000,636000,636000,98900000,29168000,69732000,54408000,54408000,5513000,5513000,158821000,70372000,4323000,23684000,7731000,15953000,98379000,257200000,17885000,4087000,13798000,73740000,52546000,21194000,91625000,2729000,1118000,1611000,28815000,120440000,232731000,-10701000,-85520000,250000,136760000,136760000,257200000,636000,1274000,1733000,889000,4532000,-1787000,-2476000,-954000,-5217000,4e+06,727000,727000,-57000,4670000,3985000,3985000,156000,4141000,1928000,26086000,1187000,0.16812,0.0062,0.00603,0.00465,0.00247,1.86635,1.73338,0.88067,0.10142,0.01828,0.01828,3.031,3.92973,0.03411,0.00384,0.00717,-37.7666,-111.33639
"23","2020_Q2",32.3352380952381,"Up",111301000,-93449000,17852000,-18803000,-15302000,-2120000,-951000,-156000,-379000,282000,-1107000,-1107000,-26000,-1133000,-1133000,-1133000,-1133000,103315000,27221000,76094000,65997000,65997000,5766000,5766000,175078000,70569000,4094000,23458000,7571000,15887000,98121000,273199000,18775000,4772000,14003000,84876000,62014000,22862000,103651000,2879000,1118000,1761000,32723000,136374000,234642000,-10779000,-86653000,-385000,136825000,136825000,273199000,-1133000,1381000,1726000,950000,2924000,-1496000,-6479000,9000,-7966000,3744000,559000,559000,-399000,3904000,-1138000,-1138000,-809000,-1947000,430000,29844000,-90000,0.16039,-0.00854,-0.01018,-0.00828,-0.00415,0.07944,1.68911,0.9967,0.10924,-0.03236,-0.03236,3.17939,3.9085,-0.00257,-0.00668,-0.00053,-170.86279,77.25657
"24","2020_Q3",60.015625,"Up",117920000,-98053000,19867000,-18331000,-14315000,-2293000,1536000,-166000,-341000,202000,1370000,1370000,-17000,1353000,1353000,1353000,1353000,105175000,30013000,75162000,80724000,80724000,5888000,5888000,191787000,71018000,4462000,23006000,7111000,15895000,98486000,290273000,17945000,2928000,15017000,100038000,75658000,24380000,117983000,3034000,1118000,1916000,30381000,148364000,238077000,-10779000,-85300000,-89000,141909000,141909000,290273000,1353000,1723000,2256000,-482000,4850000,-1743000,732999.999999999,97999.9999999999,-911999.999999999,-2509000,1108000,1108000,-120000,-1521000,2417000,2417000,375000,2792000,3259000,27347000,1051000,0.16848,0.01303,0.01147,0.00953,0.00466,0.77679,1.62555,1.04549,0.09421,0.0385,0.03542,3.35538,4.03798,0.02991,0.00785,0.0061,-23.88095,-50.66927
"25","2020_Q4",94.45875,"Up",130120000,-109531000,20589000,-22848000,-18756000,-2426000,-2259000,-189000,-324000,49000,-2448000,-2532000,-26000,-2558000,-2558000,-2558000,-2558000,118302000,35230000,83072000,92409000,92409000,7344000,7344000,218055000,71114000,5038000,22935000,6944000,15991000,99087000,317142000,24056000,4999000,19057000,115793000,86954000,28839000,139849000,3156000,1118000,2038000,32995000,172844000,242825000,-10779000,-87858000,110000,144298000,144298000,317142000,-2558000,1666000,2446000,8252000,9806000,-1273000,-8409000,-19000,-9701000,2478000,2629000,2629000,-215000,4892000,4997000,4997000,220000,5217000,-593000,29839000,6412000,0.15823,-0.01736,-0.01966,-0.01773,-0.00807,-2.50665,1.55922,1.19783,0.09409,-0.0722,-0.07901,3.67267,4.07284,0.18098,-0.01443,0.03617,149.17875,39.16025
"26","2021_Q1",102.558032786885,"Up",142687000,-119094000,23593000,21117000,26526000,-3108000,44710000,-289000,-337000,48000,44421000,-3458000,-44000,-3502000,-3502000,-3502000,-3502000,229740000,139878000,89862000,99065000,99065000,8222000,8222000,337027000,72602000,5566000,83055000,27134000,22876000,161223000,498250000,28923000,6059000,22864000,121476000,92547000,28929000,150399000,7912000,4705000,3207000,7912000,158311000,439007000,-10779000,-91360000,3071000,339939000,339939000,498250000,-3502000,2301000,2637000,2528000,3964000,-2939000,-7065000,-31000,-58168000,-29950000,193982000,193982000,-459000,163573000,109369000,109369000,198000,109567000,47011000,0,46644000,0.16535,0.31334,-0.02454,-0.0103,-0.00703,-13.31925,2.24089,0.4657,1.38777878078145e-17,-0.09251,-0.09251,3.76925,8.9799,1.23216,-0.01007,0.13409,-4.88694000000001,-5.13844999999998
"27","2021_Q2",86.9885714285714,"Down",154685000,-133585000,21100000,-33744000,-26920000,-3731000,-12644000,-21000,2000,62000,-12665000,-12665000,217000,-12448000,-12448000,-12448000,-12448000,224457000,133126000,91331000,117884000,117884000,9664000,9664000,352005000,73664000,5808000,82221000,26105000,22789000,161693000,513698000,28627000,5262000,23365000,141047000,110912000,30135000,169674000,7947000,4477000,3470000,7947000,177621000,446975000,-10779000,-103808000,3689000,336077000,336077000,513698000,-12448000,3093000,8218000,-598000,-1735000,-2883000,-1679000,-40000,-4602000,-35019277.0435052,1238000,1238000,-1881000,-643000,-6980000,-6980000,230000,-6750000,-9551000,0,-13249000,0.13641,-0.08174,-0.08047,-0.03704,-0.02423,1.06435,2.0746,0.52851,0,-0.31355,-0.31355,3.8963,8.46532,-0.33372,-0.03618,-0.03851,23.50089,17.75206
"28","2021_Q3",98.61546875,"Up",168260000,-143715000,24545000,5032000,12269000,-4079000,29577000,181000,-3000.00000000003,99000,29758000,-9416000,195000,-9221000,-9221000,-9221000,-9221000,219421000,117332000,102089000,139966000,139966000,10535000,10535000,369922000,74405000,6226000,81413000,25120000,22798000,162044000,531966000,27393000,4863000,22530000,162470000,126614000,35856000,189863000,7898000,4259000,3639000,7898000,197761000,453950000,-10779000,-113029000,4063000,334205000,334205000,531966000,-9221000,3158000,6212000,-2336000,-2187000,-2887000,-11114000,-33000,-14034000,-8096412.34485963,1120000.00000003,1120000.00000003,-870000,250000,-15971000,-15971000,178000,-15793000,32735000,-9.31322574615479e-10,27317000,0.14588,0.17578,-0.0548,-0.02759,-0.01733,-2.96248,1.94836,0.59174,0,-0.23226,-0.23226,4.23824,8.41817,0.68808,-0.02695,0.07985,-6.70295,-7.41863999999999
"29","2021_Q4",116.51484375,"Up",181667000,-153501000,28166000,-15581000,-8246000,-4391000,12585000,61000,-51722.879990806,61000,12646000,-7131000,312000,-6819000,-6819000,-6819000,-6819000,221526000,109641000,111885000,157945000,157945000,11077000,11077000,390548000,75432000,6605000,78125000,23530000,22012000,160162000,550710000,32347000,6482000,25865000,178875000,140125000,38750000,211222000,7515000,3803000,3712000,7515000,218737000,460339000,-10779000,-119848000,2261000,331973000,331973000,550710000,-6819000,2944000,6057000,4042000,6224000,-2767000,-10429000,25000,-13171000,29802390.8755385,698000,698000,-979000,-281000,-7228000,-7228000,-461000,-7689000,15529000,0,16492000,0.15504,0.06928,-0.03754,-0.02054,-0.01238,-2.41854,1.84899,0.6589,0,-0.16927,-0.16927,4.50968,8.24085,0.4094,-0.02009,0.04858,-14.26531,-17.60238
