"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",3.44828125,"Up",6319084,6319084,-5964409,354675,-9996669,-5749113,-4247556,-9641994,133269,310437,-177168,-9508725,-2264685,-11773410,13040000,1167502,21364390,269419,21633809,21633809,137464653,38851936,98612717,2934384,2934384,4757286,1705581,1189026,146861904,6948694,26782582,22235778,33731276,180593180,8521935,3106207,5415728,2361453,1064919,10883388,303998,303998,303998,11187386,319930714,-34450978,-121359786,4921414,169041364,364430,169405794,180593180,21364390,1095202,-29381004,3651738,-3269674,-307930,-33115953,18825839,-3673849,11882316,11882316,-165767,11716549,-8546792,0,-18242984,0.05613,-1.52585,3.42357,0.1277,0.11979,-0.84326,13.49413,0.06604,0,0.34597,0.34597,0.10106,2.70336,-0.29175,0.12748,-0.1075,16.08377,14.25687
"12","2013_Q3",3.6284375,"Up",6078646,6078646,-6203957,-125311,-8510488,-4852536,-3657952,-8635799,480299,285227,195072,-8155500,371215,-7784285,-194000,-8061982,-8111337.99999999,201492,-7909846,-7909846,130383712,32799552,97584160,2697482,2697482,3668934,1527337,1414985,138277465,6429706,25711438,21102843,32141144,170418609,8868937,3143715,5725222,3487442,1930850,12356379,304785,304785,304785,12661164,320844410,-36681821,-129269632,2541654,157434611,322834,157757445,170418609,-8111337.99999999,1040256,1406731.99999999,1739947,-3924403,-205850,-4100,180873,-2230843,-5974373,-5974373,-78011,-6052384,-7595543,0,-5867446,-0.02061,-1.42068,-1.30125,-0.05014,-0.04641,0.74179,11.19078,0.08026,0,-0.12627,-0.12627,0.09703,2.51316,-0.09366,-0.05004,-0.03712,17.16582,15.09805
"13","2013_Q4",3.843125,"Up",4950048,4950048,-4622252,327796,-10636677,-5049932,-5586745,-10308881,359849,326684,33165,-9949032,1126248,-8822784,33000,-9015193,-9015193,241449,-8773744,-8773744,122747803,25290393,97457410,2824609,2824609,2842735,1232654,1232654,129647801,6191163,23486566,19056956,29677729,159325530,9879740,4295137,5584603,3394463,1782168,13274203,321750,321750,321750,13595953,321971186,-40437799,-138043376,2056283,145546294,183283,145729577,159325530,-9015193,922598,750723,1696010,-5645862,-5543,-98678,1719945,-3755978,-7681895,-7681895,172736,-7509159,-9386283,0,-7728816,0.06622,-2.08258,-1.77246,-0.06021,-0.05507,0.8809,9.7669,0.0933,0,-0.14005,-0.14005,0.07901,2.32328,-0.12337,-0.06007,-0.05292,13.07736,11.907
"14","2014_Q1",4.0355737704918,"Up",5549931,5549931,-5415471,134460,-7475477,-3473169,-2490894,-7341017,381117,196269,184848,-6959900,-2721280,-9681180,54209.0000000005,-9843875,-9843875,184040,-9659835,-9659835,112729201,16756666,95972535,2388461,2388461,3078055,1412285,1412285,119608002,6034963,20488758,17891124,26523721,146131723,9178650,3868865,5309785,2060452,547681,11239102,329435,329435,329435,11568537,321257393,-42442932,-147703211,3441997,134553247,9939,134563186,146131723,-9843875,588669,4792858,-1598118,-6060466,-222220,1019328,735026.999999999,-3186030,-8511469,-8511469,-22258,-8533727,-6752348,0,-8626895,0.02423,-1.32272,-1.74053,-0.07179,-0.0661,0.89307,10.64213,0.08597,0,-0.15689,-0.15689,0.09014,2.18536,-0.14011,-0.07161,-0.06395,16.69482,15.35607
"15","2014_Q2",3.29206349206349,"Down",4694770,4694770,-4225449,469321,-10083086,-4996802,-5086284,-9613765,298000,238172,59828,-9315765,181751,-9134014,143000,-9093319,-9093319,-41097,-9134416,-9134416,106145822,14811610,91334212,2367728,2367728,2361018,837157,837157,111711725,5350375,20031796,17667060,25382171,137093896,8794258,4147886,4646372,2055933,665172,10850191,332502,332502,332502,11182693,322687591,-42741551,-156837627,2801837,125910250,953,125911203,137093896,-9093319,932974,1214318,801226,-6144801,-444372,4822993,4364494,-170178,-1950485,-1950485,5429,-1945056,-8680791,0,-8466937,0.09997,-2.04776,-1.94566,-0.07255,-0.06663,0.92693,10.29583,0.08881,0,-0.14608,-0.14608,0.07508,2.0136,-0.13541,-0.07236,-0.06707,12.22767,11.04103
"16","2014_Q3",3.59484375,"Up",6943286,6943286,-4153739,2789547,-10058224,-4921191,-5137033,-7268677,394058,193305,200753,-6874619,-1993744,-8868363,-37000.0000000001,-9027916,-9027916,221973,-8805943,-8805943,98898843,13305327,85593516,3771733,3771733,3294840,1582697,1582697,107548113,5311666,18231535,16093573,23543201,131091314,9844599,4361832,5482767,1707934,289492,11552533,340541,340541,340541,11893074,323977495,-42741551,-165643570,3647019,119239393,-41153,119198240,131091314,-9027916,846620,3098105,-1812819,-6896010,-533665,5932574,5376581,-2.3283064365387e-10,-1519429,-1519429,13146,-1506283,-6422057,0,-8731541,0.40176,-1.04686,-1.26827,-0.07388,-0.06717,0.99155,9.30948,0.09978,0,-0.14057,-0.14057,0.11084,1.90344,-0.13938,-0.07367,-0.07304,15.39987,13.60617
"17","2014_Q4",3.4434375,"Down",9532024,9532024,-5204125,4327899,-9847837,-5015431,-4832406,-5519938,248819,237957,10862,-5271119,246227,-5024892,-44000,-5103908,-5103908,134468,-4969440,-4969440,94004993,17049083,76955910,3621055,3621055,3922395,1627400,1627400,103175843,5157660,18391027,16530953,23548687,126724530,9658109,4560754,5097355,1755260,345496,11413369,325892,325892,325892,11739261,325062792,-42741551,-170613010,3508858,115217089,-231820,114985269,126724530,-5103908,807957,941220,-993738,-4348469,-316019,8499692,8172672,-46914,3777289,3777289,-33533,3743756,-4711981,0,-5977738,0.45404,-0.57909,-0.52134,-0.04322,-0.03921,1.2029,9.03991,0.10209,0,-0.07932,-0.07932,0.15215,1.83915,-0.09542,-0.0431,-0.05184,19.95021,17.03008
"18","2015_Q1",3.8655737704918,"Up",10637385,10637385,-11245627,-608242,-5418103,-4974596,-443507,-6026345,84063,296969,-212906,-5942282,505204,-5437078,118000,-5445646,-5445646,143401,-5302245,-5302245,90858936,14635801,76223135,3758832,3758832,4081886,1224966,1181474,99924620,4589421,18427373,16834163,23016794,122941414,11374453,5503734,5870719,1868471,586471,13242924,311187,311187,311187,13554111,325377526,-42741551,-175915255,3126239,109846959,-459656,109387303,122941414,-5445646,414463,1557619,1257848,-2215716,54070,678121,741513.000000001,-919583,-2393786,-2393786,-19496,-2413282,-5611882,0,-4417964,-0.05718,-0.56653,-0.49845,-0.04847,-0.04313,0.83323,7.54551,0.12391,0,-0.08452,-0.08452,0.16956,1.751,-0.07042,-0.04833,-0.04027,16.19046,15.07696
"19","2015_Q2",3.57380952380952,"Down",8584991,8584991,-5283733,3301258,-9246407,-4386215,-4860192,-5945149,229174,209664,19510,-5715975,1962832,-3753143,-12500,-3813086,-3813086,-24906,-3837992,-3837992,87146196,12460936,74685260,19370996,4420993,3654213,1012404,852278,111183809,4246687,3776601,2366581,8023288,119207097,8373592,3524566,4849026,3625920,2343920,11999512,297309,297309,297309,12296821,326251802,-42741551,-179753247,3620914,107377918,-467642,106910276,119207097,-3813086,681899,-513111,-1832851,-5477149,-314400,1732884,3280038,0,-2197111,-2197111,22246,-2174865,-5263250,0,-7398001,0.38454,-0.6925,-0.44706,-0.0359,-0.0322,1.92757,9.26569,0.11502,0,-0.06084,-0.06084,0.13609,1.70214,-0.11727,-0.0358,-0.06901,16.55749,14.65837
"20","2015_Q3",3.05359375,"Down",10856607,10856607,-6359780,4496827,-9992237,-5108227,-4884010,-5495410,224656,198897,25759,-5270754,5989537,718783,-12500,706283,706283,74690,780973,780973,88320562,16477501,71843061,23281725,8315054,3065712,995789,853329,115663788,4107309,4235888,2943350,8343197,124006985,10434656,4778554,5656102,4804416,3522416,15239072,314812,314812,314812,15553884,327179170,-42741551,-178972274,3528254,108993599,-540498,108453101,124006985,706283,508514,-3840711,-754251,-3380165,-337414,2490461,7613210,-97211,4135834,4135834,-119269,4016565,-4986896,0,-6066061,0.4142,-0.50618,0.07194,0.0072,0.0063,-7.76731,7.58995,0.14342,0,0.01238,0.01201,0.17215,1.72825,-0.09619,0.00718,-0.05577,17.71053,16.0717
"21","2015_Q4",2.9325,"Down",8000926,8000926,-5357216,2643710,-8566999,-4558608,-4008391,-5923289,217938,175803,42135,-5705351,981201,-4724150,62500,-4661650,-4661650,-13690,-4675340,-4675340,87339457,14977483,72361974,17289843,2306504,2577750,1198674,943275,108405724,3641729,2829048,1713671,6470777,114876501,9326844,3708908,5617936,2692146,1485146,12018990,304183,304183,304183,12323173,327667268,-42741551,-183647614,1883399,103161502,-608174,102553328,114876501,-4661650,669887,-136489,2844765,-1283487,-341485,-204990,108893,-276351,-1450945,-1450945,-49073,-1500018,-5253402,0,-2812622,0.33043,-0.74033,-0.58435,-0.04559,-0.0407,0.60159,9.01954,0.12016,0,-0.07413,-0.07413,0.12686,1.63572,-0.0446,-0.04545,-0.02734,16.62531,14.74509
"22","2016_Q1",1.91180327868852,"Down",4611895,4611895,-7530449,-2918554,-4953998,-4081530,-872468,-7872552,-124103,173789,-297892,-7996655,934541,-7062114,-12500,-7074614,-7074614,113557,-6961057,-6961057,80710780,19767889,60942891,16487633,1487633,2512473,1445336,1357996,101156222,3496366,1407498,461416,4903864,106060086,8662278,3959704,4702574,2614566,1407566,11276844,298463,298463,298463,11575307,327319323,-42741551,-190608671,771774,94740875,-256096,94484779,106060086,-7074614,278682,-505052,522236,-6778748,-129509,11201664,12300217,-612776,4908693,4908693,-118287,4790406,-7593870,0,-7188643,-0.63283,-1.70701,-1.50937,-0.07367,-0.06563,1.03269,8.97026,0.12251,0,-0.10768,-0.11105,0.07134,1.46555,-0.1112,-0.07344,-0.07584,10.62841,10.25217
"23","2016_Q2",1.93046875,"Up",6119138,6119138,-4636041,1483097,-7800800,-3760849,-4039951,-6317703,125855,164948,-39093,-6191848,-501940,-6693788,-141000,-6834788,-6834788,-98673,-6933461,-6933461,90883644,27635331,63248313,1661113,1661113,2705857,860059,840943,96110673,3573408,1639383,711317,5212791,101323464,9073710,4439780,4633930,2659986,1329986,11733696,282760,282760,282760,12016456,327902479,-42741551,-197526132,1797607,89432403,-125395,89307008,101323464,-6834788,335478,796769,133218,-5569323,-223520,-2244650,13231177,-1500,7660354,7660354,191088,7851442,-5982225,0,-5931527,0.24237,-1.03245,-1.13308,-0.07764,-0.06843,0.85549,8.191,0.13455,0,-0.10837,-0.10837,0.09564,1.39786,-0.09271,-0.07739,-0.06621,15.19228,14.38555
"24","2016_Q3",2.23359375,"Up",4355275,4355275,-4646846,-291571,-8401665,-4282264,-4119401,-8693236,56484,175765,-119281,-8636752,7745025,-891726.999999999,-1963000,-2854727,-2854727,-339374,-3194101,-3194101,91522025,25812429,65709596,1326341,1326341,2935699,1097819,1015284,96881884,2728951,1604191,716679,4333142,101215026,10018611,4327008,5691603,3824694,1254694,13843305,274034,274034,274034,14117339,328515877,-42741551,-200655234,1766202,86885294,212393,87097687,101215026,-2854727,316209,-5314117,1140358,-6712277,-81539,-2331225,4807062,-5.82076609134674e-11,-1905215,-1905215,12313.9999999999,-1892901,-8377027,0,-5355208,-0.06695,-1.99602,-0.73339,-0.03667,-0.03156,1.67659,6.99846,0.16209,0,-0.0499,-0.0499,0.06804,1.35735,-0.08366,-0.03656,-0.06129,10.92536,10.52796
"25","2016_Q4",2.42746031746032,"Up",5794806,5794806,-4573582,1221224,-8103872,-3980604,-4123268,-6882648,-65912,191472,-257384,-6948560,-1124525,-8073085,-114000,-8187085,-8187085,70407,-8116678,-8116678,84032782,20998402,63034380,1666306,1666306,3197984,1175719,1080749,90072791,2936621,1488547,618563,4425168,94497959,9374974,3888707,5486267,3822543,1274826,13197517,259404,259404,259404,13456921,329101251,-42741551,-208852911,3307825,80814614,226424,81041038,94497959,-8187085,298167,1811733,-1677906,-7755091,-24355,2507778,2663268,-7653,-5099476,-5099476,371448,-4728028,-6584481,0,-8172742,0.21074,-1.18773,-1.40068,-0.10016,-0.08589,1.00691,6.82498,0.16605,0,-0.12673,-0.12673,0.09048,1.26178,-0.1276,-0.09984,-0.10053,12.76225,12.20937
"26","2017_Q1",3.53693548387097,"Up",6373347,6373347,-4744669,1628678,-7908230,-4938056,-2970174,-6279552,93376,126199,-32823,-6186176,1943631,-4242545,-912000,-5154545,-5154545,-35330.9999999999,-5189876,-5189876,77197896,15822495,61375401,1664488,1664488,3302112,1229608,1194901,83394104,2976006,1462162,618139,4438168,87832272,9812946,4355462,5457484,3552761,981761,13365707,246922,246922,246922,13612629,329291053,-42741551,-214042787,1570971,74077686,141957,74219643,87832272,-5154545,43767,-650401,-376825,-6138004,-65483,1074362,2131869,-501444,-4507579,-4507579,-668328,-5175907,-6235785,0,-5766093,0.25555,-0.98528,-0.81431,-0.06993,-0.05909,1.11103,6.23941,0.18341,0,-0.08091,-0.08091,0.09936,1.15483,-0.08989,-0.06969,-0.07743,12.37982,12.29354
"27","2017_Q2",3.76126984126984,"Up",4378127,4378127,-3117357,1260770,-9923554,-5641684,-4281870,-8662784,768188,233777,534411,-7894596,-1191283,-9085879,1146000,-7939879,-7939879,81438,-7858441,-7858441,67750569,18393066,49357503,2390660,2390660,4194821,1263995,1263995,75600045,2999590,5453058,823746,8452648,84052693,11302944,3878123,7424821,3820558,1134558,15123502,251186,251186,251186,15374688,330104358,-42741551,-221901228,3132503,68594082,83923,68678005,84052693,-7939879,443174,1196482,-318712,-6618935,-297983,12570654,9012928,17886646.8800261,2393993,2393993,176578,2570571,-8219610,0,-9982305,0.28797,-1.97865,-1.79493,-0.11442,-0.09349,1.27027,4.99885,0.22387,0,-0.12176,-0.12176,0.06784,1.06283,-0.15467,-0.11401,-0.14482,8.24255,7.82088
"28","2017_Q3",3.91698412698413,"Up",5927470,5927470,-4117226,1810244,-9878483,-5200263,-4678220,-8068239,-22839.0000000001,186142,-208981,-8091078,830540,-7260538,0,-7260538,-7260538,-71431,-7331969,-7331969,84908544,30541293,54367251,1943272,1943272,4412962,1532106,1532106,92796884,3708747,5128225,938791,8836972,101633856,11336336,4182746,7153590,3650906,1027227,14987242,260668,260668,260668,15247910,330928581,-17238669,-230071829,2642260,86260343,125603,86385946,101633856,-7260538,699332,592991,-90449,-6058664,-773759,-5060468.00000001,-6301827,24664250,12303759,12303759,-155532,12148227,-7368907,0,-8233115,0.3054,-1.36116,-1.23695,-0.08487,-0.07214,1.12291,6.19173,0.17651,0,-0.10381,-0.10381,0.08393,1.22135,-0.11657,-0.08462,-0.09502,11.52254,10.5238
"29","2017_Q4",3.4468253968254,"Down",6139167,6139167,-4144884,1994283,-10598859,-5344999,-5253860,-8604576,82066,191613,-109547,-8522510,224370,-8298140,-4500,-8302640,-8302640,55216,-8247424,-8247424,77337464,25882554,51454910,2023618,2023618,5949010,1380477,1256409,86690569,3660925,4701206,968083,8362131,95052700,12822945,3965760,8857185,3334593,728281,16157538,268068,268068,268068,16425606,331775810,-17238669,-238319253,2346909,78564797,62297,78627094,95052700,-8302640,735857,939136,-535556,-7163203,-270002,2910568,2597946,0,-4565257,-4565257,-93482,-4658739,-7868719,0,-8669777,0.32485,-1.40159,-1.34341,-0.10489,-0.08677,1.05121,5.36533,0.20891,0,-0.11425,-0.11425,0.08504,1.08834,-0.1201,-0.10454,-0.10989,9.82847,8.98795
"30","2018_Q1",3.36688524590164,"Down",11396726,11396726,-10103609,1293117,-6255491,-4354298,-1301107,-4962374,195502,164094,31408,-4766872,1068314,-3698558,1821500,-1877058,-1877058,74410,-1802648,-1802648,68755684,24848227,43907457,3955123,3955123,5080797,1947892,1243029,79739496,5077043,6505951,3842068,11582994,91322490,10687034,4918605,5768429,1416479,896479,12103513,1839130,1464959,1839130,13942643,331895060,-17238669,-240121901,3564779,78099269,-719422,77379847,91322490,-1877058,623528,-2508786,-2309580,-6071896,-1452723,7481347,5967680,-1563060,-1667276,-1667276,632949,-1034327,-4338846,0,-9922649,0.11346,-0.43542,-0.15817,-0.0233,-0.01974,5.50449,6.58813,0.18018,0,-0.02493,-0.02493,0.15762,1.08012,-0.13723,-0.01276,-0.12526,15.84654,13.8554
