"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",25.9279032258064,"Up",160878000,-64085000,96793000,-77212000,-35646000,-33354000,-8212000,19581000,-5243000,-5253000,10000,14338000,14338000,2252000,16590000,16590000,16590000,16590000,209971000,204954000,72804000,72804000,73825000,63882000,18342000,420482000,100390000,675789000,394508000,212043000,47917000,21321000,784191000,1204673000,97828000,51131000,46697000,153395000,80029000,52316000,27713000,369352000,522747000,361371000,-205020000,525184000,391000,681926000,681926000,1204673000,16590000,12755000,11288000,14275000,54908000,-7650000,-5516000,-13166000,-5625000,2426000,2426000,0,422000,-2777000,38965000,38965000,39096000,32336000,336168000,36709000,0.60165,0.12171,0.10312,0.02433,0.01377,2.21272,2.74117,0.76657,0.27905,0.25138,0.24591,2.43769,10.33284,0.55623,0.01511,0.03343,3.90268,6.44486999999999
"12","2013_Q1",31.0841666666667,"Up",150603000,-62646000,87957000,-74822000,-37386000,-29959000,-7477000,13135000,-4436000,-4155000,-281000,8699000,7999000,5119000,13118000,13118000,13118000,13118000,228165000,223192000,69160000,69160000,74878000,33790000,18523000,405993000,101837000,655276000,393584000,206058000,33563000,22071000,765020000,1171013000,101267000,51991000,49276000,157682000,36219000,2042000,34177000,318505000,476187000,356775000,-200604000,538302000,353000,694826000,694826000,1171013000,13118000,13892000,-21233000,26912000,32689000,-6152000,145000,-6007000,-5625000.00000001,7410000,14910000,-7500000,-10229000,-8444000.00000003,18238000,18238000,18238000,27027000,330735000,42668000,0.58403,0.08722,0.0871,0.01888,0.0112,3.25263,2.57476,0.68533,0.28243,0.19765,0.19284,2.26911,10.46882,0.64287,0.01235,0.04019,3.79509,7.80891
"13","2013_Q2",34.16234375,"Up",162407000,-65120000,97287000,-77209000,-34794000,-34559000,-7856000,20078000,-4867000,-4060000,-807000,15211000,15211000,-434000,14777000,14777000,14777000,14777000,230428000,230428000,80214000,80214000,76563000,33342000,17891000,420547000,109413000,649223000,393584000,197890000,34326000,23423000,764567000,1185114000,91831000,56617000,35214000,140293000,39387000,3017000,36370000,325142000,465435000,354004000,-187609000,553079000,205000,719679000,719679000,1185114000,14777000,13346000,11959000,-22932000,17150000,-13589000,6948000,-6641000,-5625000,6971000,6971000,0,-4619000,-3273000,7236000,7236000,7236000,33424000,325287000,-2663000,0.59903,0.12363,0.09099,0.02053,0.01247,-0.18021,2.99763,0.64673,0.27448,0.2207,0.21547,2.42558,10.74854,-0.03977,0.01363,-0.00246,2.83805,4.72452
"14","2013_Q3",31.5128125,"Down",165010000,-64302000,100708000,-73651000,-33315000,-33125000,-7211000,27057000,-10782000,-10584000,-198000,16275000,13675000,5437000,19112000,19112000,19112000,19112000,237060000,237060000,80595000,80595000,78214000,33621000,19214000,429490000,113314000,641923000,393584000,187916000,40828000,19595000,760160000,1189650000,87270000,50404000,36866000,114298000,42709000,3636000,39073000,324866000,439164000,358226000,-180321000,572191000,390000,750486000,750486000,1189650000,19112000,15591000,8579000,-1986999.99999999,41295000,-12502000,1e+06,-11502000,-27052000,6505000,6505000,1.86264514923096e-09,-2614000,-23161000,6632000,6632000,6632000,42648000,300542000,22722000,0.61031,0.16397,0.11582,0.02547,0.01607,1.18889,3.75763,0.58517,0.25263,0.28266,0.27662,2.44047,11.09957,0.33605,0.01747,0.02077,1.48851,2.34623
"15","2013_Q4",29.501875,"Down",141026000,-57615000,83411000,-70146000,-30849000,-31948000,-7349000,13265000,-2077000,-1818000,-259000,11188000,11188000,1265000,12453000,12453000,12453000,12453000,237393000,237393000,74146000,74146000,72356000,35658000,20987000,419553000,115942000,635771000,393584000,180162000,42301000,19724000,756138000,1175691000,70143000,38843000,31300000,101156000,43909000,3626000,40283000,321836000,422992000,357566000,-189758000,584644000,247000,752699000,752699000,1175691000,12453000,13449000,4107000,-1070000,28939000,-7185000,501000,-6684000,-3792000,-13726000,1274000,-1.5e+07,-4404000,-21922000,333000,333000,333000,26714000,296451000,17194000,0.59146,0.09406,0.0883,0.01654,0.01059,1.38071,4.14758,0.56197,0.25215,0.18369,0.18082,2.08027,11.10307,0.25363,0.01139,0.01573,2.21075,4.45217
"16","2014_Q1",24.3549180327869,"Down",126534000,-72729000,53805000,-70812000,-27075000,-37805000,-5932000,-17007000,-1838000,-1712000,-126000,-18845000,-168555000,-42253000,-210808000,-210808000,-210808000,-210808000,243194000,243194000,66333000,66333000,60267000,23802000,15863000,393596000,110121000,441549000,276898000,140944000,348000,23359000,555344000,948940000,84164000,40016000,44148000,110890000,28914000,3626000,25288000,302207000,413097000,362906000,-201152000,373836000,253000,535843000,535843000,948940000,-210808000,51687000,150346000,36872000,28097000,-7361000,750000,-6611000,-4688000,-13352000,1648000,-1.5e+07,2355000,-15685000,5801000,5801000,5801000,34680000,291822000,106444000,0.42522,-0.13441,-1.66602,-0.39341,-0.22215,-0.50493,3.54943,0.77093,0.30752,-3.12206,-3.32799,1.87397,7.93583,1.57643,-0.2461,0.12427,1.40219,-2.85929
"17","2014_Q2",25.1492063492063,"Up",132859000,-54775000,78084000,-65934000,-31696000,-27813000,-6425000,12150000,-1665000,-1387000,-278000,10485000,9484000,-1617000,7867000,7867000,7867000,7867000,241154000,241154000,61722000,61722000,55296000,21969000,16484000,380141000,111221000,440718000,276898000,134205000,365000,29250000,555115000,935256000,72352000,38716000,33636000,97510000,30578000,3626000,26952000,299236000,396746000,362126000,-205524000,381703000,205000,538510000,538510000,935256000,7867000,12004000,4057000,-4202000,19726000,-6379000,5e+05,-5879000,-4687000,-8215000,1785000,-1e+07,-2985000,-15887000,-2040000,-2040000,-2040000,24154000,287192000,15190000,0.58772,0.09145,0.05921,0.01461,0.00840999999999992,1.93085,3.89848,0.73675,0.30707,0.11689,0.11574,1.97413,8.00163,0.22571,0.00919,0.01774,1.90602,3.78914
"18","2014_Q3",25.15828125,"Up",145742000,-57521000,88221000,-66164000,-31547000,-28173000,-6444000,22057000,-1933000,-1588000,-345000,20124000,20124000,-2226000,17898000,17898000,17898000,17898000,238667000,238667000,68468000,68468000,54479000,26209000,20824000,387823000,111576000,434407000,276898000,128301000,84000.0000000009,29124000,546533000,934356000,78338000,37819000,40519000,104231000,34683000,6802000,27881000,273705000,377936000,367157000,-210521000,399601000,183000,556420000,556420000,934356000,17898000,12026000,9394000,-1171000,38147000,-7212000,2624000,-4588000,-29688000,-5810000,4190000,-1e+07,-548000.000000001,-36046000,-2487000,-2487000,-2487000,34083000,257561000,27926000,0.60532,0.15134,0.12281,0.03217,0.01916,1.56029,3.7208,0.67923,0.27566,0.26631,0.26379,2.16852,8.27907,0.41552,0.02109,0.03291,0.55435,0.8566
"19","2014_Q4",25.54515625,"Up",148890000,-59564000,89326000,-66516000,-31920000,-28401000,-6195000,22810000,-1246000,-1462000,216000,21564000,21564000,-3941000,17623000,17623000,17623000,17623000,232486000,232486000,78323000,78323000,60459000,23317000,17428000,394585000,119498000,427224000,276898000,121418000,89000,28819000,547272000,941857000,83158000,39856000,43302000,110486000,37491000,9949000,27542000,271875000,382361000,367215000,-225081000,417224000,138000,559496000,559496000,941857000,17623000,12217000,11037000,-7869000,33008000,-12797000,0,-12797000,-4687000,-18929000,1977000,-20906000,-2776000,-26392000,-6181000,-6181000,-6181000,35027000,252928000,18302000,0.59995,0.1532,0.11836,0.0315,0.01871,1.03853,3.57136,0.6834,0.26854,0.2624,0.26049,2.21688,8.33054,0.27251,0.02074,0.02153,0.58361,0.89619
"20","2015_Q1",27.2683606557377,"Up",130394000,-57233000,73161000,-7.5e+07,-31971000,-34984000,-8045000,-1839000,-918000,-1490000,572000,-2757000,-14677000,-764000,-15441000,-15441000,-15441000,-15441000,230328000,230328000,69301000,69301000,73668000,23391000,19369000,396688000,115471000,417272000,280319000,101600000,106000,35247000,532743000,929431000,82202000,32448000,49754000,108041000,35286000,2477000,32809000,270032000,378073000,372381000,-222969000,401783000,163000,551358000,551358000,929431000,-15441000,18301000,14674000,-9403000,8131000,-6378000,550000,-10680000,312999.999999996,928000,928000,-3.72529029846191e-09,-850000,391000,-2158000,-2158000,-2158000,16462000,253293000,1445000,0.56108,-0.0141,-0.11842,-0.02801,-0.01661,-0.0935800000000009,3.67164,0.68571,0.27252,-0.23128,-0.22955,1.95312,8.25856,0.02164,-0.01838,0.00172,1.39503,-12.48777
"21","2015_Q2",23.2925396825397,"Down",130088000,-51688000,78400000,-73516000,-37513000,-29678000,-6325000,4884000,-2327000,-1834000,-493000,2557000,2557000,-2699000,-142000,-142000,-142000,-142000,211504000,211504000,85845000,85845000,75033000,26716000,20859000,399098000,111575000,476007000,329703000,107355000,74000,38875000,587582000,986680000,96006000,52282000,43724000,132895000,52978000,2477000,50501000,318084000,450979000,371815000,-237971000,401640000,217000,535701000,535701000,986680000,-142000,12040000,3801000,-3232000,12467000,-4841000,-5198543.34008357,-39773000,30313000,-18229000,1785000,-20014000,-3602000,8482000,-18824000,-18824000,-18824000,16924000,283658000,11550000,0.60267,0.03754,-0.00109,-0.000269999999999999,-0.000140000000000005,-81.33803,3.00311,0.84185,0.28749,-0.00213,-0.00213,1.94996,8.02993,0.17313,-0.000159999999999993,0.01324,4.26341,14.77355
"22","2015_Q3",17.19546875,"Down",125712000,-50136000,75576000,-68944000,-34122000,-28239000,-6583000,6632000,-1783000,-1900000,117000,4849000,1285000,-1598000,-312999.999999996,-312999.999999996,-313000,-313000,212602000,212602000,61509000,61509000,80291000,22548000,17171000,376950000,109075000,463880000,329703000,101166000,22999.9999999999,32988000,572955000,949905000,88284000,46540000,41744000,125173000,53567000,2477000,51090000,314031000,439204000,375045000,-265974000,401329000,301000,510701000,510701000,949905000,-312999.999999996,11980000,2072000,19310000,33049000,-3403000,-14618358.0295078,1858000,-4688000,-28650000,1183000,-29833000,-471000,-33809000,1098000,1098000,1098000,18612000,279019000,36117000,0.60118,0.05276,-0.00248999999999998,-0.00061,-0.00033,-115.38978,3.01143,0.86,0.29373,-0.00475000000000001,-0.00475000000000001,1.90704,7.74728,0.54789,-0.00037,0.04283,3.5685,10.01463
"23","2015_Q4",18.2809375,"Up",115810000,-46226000,69584000,-49724000,-30748000,-26854000,7878000,19860000,-2740000,-1964000,-776000,17120000,16158000,-5453000,10705000,10705000,10705000,10705000,192359000,192359000,54909000,54909000,71550000,20970000,15033000,339788000,105200000,456054000,329703000,94845000,0,31506000,561254000,901042000,68520000,31114000,37406000,95905000,42471000,7324000,35147000,286293000,382198000,374947000,-268566000,412033000,430000,518844000,518844000,901042000,10705000,12514000,-5880000,-469000,16870000,-2461000,-20248993.7041782,-11961000,-16688000,-6467000,997000,-7464000,-1997000,-25152000,-20243000,-20243000,-20243000,32374000,262382000,34897000,0.60085,0.17149,0.09244,0.02063,0.01188,3.25988,3.54296,0.73663,0.2912,0.1644,0.16414,1.77849,7.96787,0.53591,0.013,0.04237,2.16294,3.52583
"24","2016_Q1",19.253606557377,"Up",118609000,-49059000,69550000,-70927000,-38294000,-28966000,-3667000,-1377000,-2770000,-2121000,-649000,-4147000,379000,867999.999999999,1247000,1247000,1247000,1247000,211810000,211810000,44132000,44132000,63875000,21404000,16168000,341221000,101006000,469290000,329703000,88430000,7354000,43803000,570296000,911517000,76690000,35486000,41204000,103887000,40402000,6802000,33600000,279579000,383466000,380293000,-266175000,413280000,653000,528051000,528051000,911517000,1247000,12398000,7028000,19017000,39690000,-2321000,-14630000,-16951000,-4687000,1842000,1842000,1.86264514923096e-09,-443000,-3288000,19451000,19451000,19451000,11021000,257746000,26849000,0.58638,-0.01161,0.01051,0.00236,0.00137,21.53087,3.28454,0.72619,0.28277,0.01922,0.0189,1.82819,8.13914,0.41384,0.00151,0.0325,4.16804,-33.35948
"25","2016_Q2",22.70625,"Up",131145000,-52621000,78524000,-65257000,-33715000,-25172000,-6370000,13267000,-1975000,-1930000,-45000,11292000,11292000,-4405000,6887000,6887000,6887000,6887000,216029000,216029000,49178000,49178000,62534000,22226000,16739000,349967000,97735000,477046000,329703000,82014000,7355000,57974000,574781000,924748000,74762000,38149000,36613000,101643000,49012000,11064000,37948000,283144000,384787000,379331000,-262166000,420167000,2629000,539961000,539961000,924748000,6887000,11926000,10373000,-15385000,13801000,-2713000,0,-2713000,-4687000,214000,214000,0,-2396000,-6869000,4219000,4219000,4219000,25193000,252252000,11500000,0.59876,0.10116,0.05251,0.01275,0.00745,1.66981,3.4431,0.71262,0.27278,0.10572,0.10506,2.01316,8.28873,0.17653,0.00819,0.01367,1.43782,2.73031000000001
"26","2016_Q3",25.76953125,"Up",135911000,-54136000,81775000,-65347000,-32823000,-26325000,-6199000,16428000,-2173000,-2037000,-136000,14255000,14255000,-5276000,8979000,8979000,8979000,8979000,238887000,238887000,56953000,56953000,62483000,22120000,13172000,380443000,97408000,470819000,329703000,74362000,7355000,59399000,568227000,948670000,83475000,42257000,41218000,111423000,55672000,16298000,39374000,285263000,396686000,382487000,-260672000,429146000,1023000,551984000,551984000,948670000,8979000,11961000,11609000,-882999.999999996,31666000,-2635000,-1248000,-3883000,-4687000,215000,754000,-539000,-453000,-4925000,22858000,22858000,22858000,28389000,247729000,30147000,0.60168,0.12087,0.06607,0.01627,0.00946,3.3575,3.4144,0.71865,0.26113,0.13751,0.13624,2.08136,8.45318,0.46168,0.0105,0.03524,0.31146,0.53823
"27","2016_Q4",27.9995238095238,"Up",137185000,-56120000,81065000,-67002000,-35116000,-25600000,-6286000,14063000,-2580000,-1890000,-690000,11483000,36519000,-5743000,30776000,30776000,30776000,30776000,297939000,297939000,59193000,59193000,62679000,18899000,11917000,438710000,95547000,466792000,329703000,68064000,8711000,60314000,562339000,1001049000,87662000,43931000,43731000,117782000,68577000,22462000,46115000,297372000,415154000,384935000,-256138000,459922000,-2824000,585895000,585895000,1001049000,30776000,11619000,-9415000,6247000,39227000,-8406000,-2e+06,22194000,0,710000,710000,0,-3079000,-2369000,59052000,59052000,59052000,25682000,247889000,29266000,0.59092,0.10251,0.22434,0.05253,0.03074,0.95094,3.72476,0.70858,0.24763,0.46951,0.46485,2.09286,8.93828,0.44648,0.03411,0.03243,-1.94884,-3.55898
"28","2017_Q1",33.5629032258065,"Up",140031000,-56533000,83498000,-68688000,-37054000,-25403000,-6231000,14810000,-4293000,-3443000,-850000,10517000,10994000,-2975000,8019000,8019000,8019000,8019000,297134000,297134000,51441000,51441000,65872000,23981000,18418000,438428000,108910000,464204000,329703000,61773000,5493000,67235000,573114000,1011542000,96484000,41960000,54524000,122975000,56780000,6881000,49899000,283304000,406279000,391723000,-253107000,467941000,-1294000,605263000,605263000,1011542000,8019000,11551000,-4836000,18184000,32918000,-19118000,-9950000,-29113000,-5501000,3635000,4101000,-466000,-2744000,-4610000,-805000.000000015,-805000.000000015,-805000.000000007,26361000,240956000,28402000,0.59628,0.10576,0.05727,0.01325,0.00793,3.54184,3.56518,0.67124,0.23821,0.12203,0.12009,2.13085,9.21028,0.43219,0.00888,0.03145,-2.1311,-3.79325
"29","2017_Q2",35.0428571428571,"Up",143802000,-58887000,84915000,-66284000,-34015000,-25983000,-6286000,18631000,-2678000,-2046000,-632000,15953000,15578000,-3757000,11821000,11821000,11821000,11821000,281550000,281550000,55912000,55912000,76750000,21451000,18301000,435663000,110317000,461272000,329703000,55487000,5496000,70586000,571589000,1007252000,78501000,39324000,39177000,105301000,61923000,10071000,51852000,284833000,390134000,399598000,-259827000,477740000,-393000,617118000,617118000,1007252000,11821000,11301000,17217000,-29980000,10359000,-5169000,-4750000,-9919000,-3750000,-8807000,1159000,-9966000,-3467000,-16024000,-15584000,-15584000,-15584000,29932000,237352000,-1460000,0.5905,0.12956,0.0822,0.01916,0.01174,-0.12351,4.13731,0.63219,0.23564,0.17954,0.17545,2.18415,9.37314,-0.02218,0.0129,-0.00159,-1.47661,-2.37228
