"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",3.81484375,"Up",15657000,-8411000,7246000,-6941000,-6106000,-835000,305000,-285000,-285000,20000,20000,3000,3000,3000,3000,4628000,4628000,15628000,15628000,1646000,841000,841000,22743000,8045000,2828000,84000,10873000,33616000,5476000,2925000,2551000,2283000,7759000,7027000,0,0,7027000,14786000,41398000,-22568000,18830000,18830000,33616000,3000,1046000,1196000,-3575000,-1330000,-239000,-239000,4329000,4329000,2760000,2760000,2760000,1351000,9310000,0.4628,0.01948,0.00019,0.00016,9e-05,2.93118,0.78524,0.27695,6e-05,6e-05,0.33581,0.40387,0.00011,3.46558,15.35082
"12","2013_Q3",2.81765625,"Down",15603000,-8446000,7157000,-6652000,-6036000,-616000,505000,-232000,-232000,273000,273000,273000,273000,273000,273000,4636000,4636000,16005000,16005000,1738000,784000,784000,23163000,8437000,2859000,170000,11296000,34459000,6309000,3387000,2922000,2554000,8863000,6156000,0,-7.105427357601e-15,6156000,15019000,41735000,-22295000,19440000,19440000,34459000,273000,1117000,861000,-388000,1863000,-369000,-369000,-1486000,-1486000,8000,8000,8000.00000000047,1622000,8710000,0.45869,0.03237,0.0175,0.01404,0.00792,2.61345,0.77258,0.25276,0.0056,0.00508,0.31978,0.39842,0.0097,2.51171,8.06733
"13","2013_Q4",3.47140625,"Up",16884000,-8713000,8171000,-7010000,-6670000,-340000,1161000,-232000,517000,929000,929000,9e+05,9e+05,9e+05,9e+05,4929000,4929000,15727000,15727000,2068000,1103000,1103000,23827000,8592000,2811000,178000,11403000,35230000,6910000,3780000,3130000,2600000,9510000,5393000,0,0,5393000,14903000,41722000,-21395000,20327000,20327000,35230000,9e+05,1120000,475000,-296000,2199000,-878000,-878000,-10433000,-1028000,293000,293000,293000,2281000,7993000,0.48395,0.06876,0.0533,0.04428,0.02555,2.50547,0.73316,0.22688,0.01839,0.01693,0.34504,0.4154,0.03178,1.34327,2.6391
"14","2014_Q1",3.74655737704918,"Up",18323000,-9160000,9163000,-7960000,-7311000,-649000,1203000,-240000,-989000,963000,963000,857000,857000,857000,857000,4834000,4834000,18653000,18653000,2301000,1703000,1115000,27491000,9694000,2731000,154000,12425000,39916000,7255000,4177000,3078000,2786000,10041000,7576000,588000,0,8164000,18205000,42249000,-20538000,21711000,21711000,39916000,857000,1129000,1243000,-3734000,-505000,-525000,-525000,807000.000000002,935000,-95000.0000000005,-95000.0000000005,-94999.9999999998,2332000,10362000,0.50008,0.06566,0.04677,0.03947,0.02147,2.73787,0.83852,0.2596,0.0176,0.01609,0.37623,0.44579,0.02624,2.3705,4.59518
"15","2014_Q2",3.32380952380952,"Down",18182000,-9473000,8709000,-8315000,-7687000,-628000,394000,-265000,-2156585.18825425,129000,129000,102000,102000,102000,102000,5385000,5385000,19262000,19262000,2003000,1497000,909000,28147000,11472000,2700000,179000,14172000,42319000,7372000,4701000,2671000,2991000,10363000,8873000,588000,0,9461000,19824000,42930000,-20435000,22495000,22495000,42319000,102000,1207000,980000,-1264000,1025000,-883000,-883000,-189000,409000,551000,551000,551000,1601000,11864000,0.47899,0.02167,0.00561,0.00453,0.00241,2.71611,0.88126,0.28035,0.00207,0.00191,0.36898,0.4565,0.00292,4.04685,16.44416
"16","2014_Q3",5.13671875,"Up",20670000,-10431000,10239000,-9661000,-9028000,-633000,578000,-253000,-2346219.72085735,325000,325000,274000,274000,274000,274000,5023000,5023000,18800000,18800000,2616000,1643000,1055000,28082000,12974000,2582000,116000,15556000,43638000,10143000,6081000,4062000,3094000,13237000,6680000,588000,9.09494701772928e-13,7268000,20505000,43294000,-20161000,23133000,23133000,43638000,274000,1304000,1140000,1555000,4273000,-1083000,-1083000,-3718000,-3552000,-362000,-362000,-362000,1882000,9774000,0.49536,0.02796,0.01326,0.01184,0.00628,2.12148,0.8864,0.22398,0.00549,0.0051,0.41431,0.46368,0.00818,2.52444,8.21972
"17","2014_Q4",4.59484375,"Down",23218000,-12922000,10296000,-10369000,-9355000,-1014000,-73000,-218000,-1856244.39303178,-291000,-291000,-291000,-291000,-291000,-291000,34366000,34366000,18297000,18297000,2970000,1610000,1022000,57243000,14637000,6940000,143000,21577000,78820000,10797000,6287000,4510000,3157000,13954000,5213000,588000,0,5801000,19755000,79517000,-20452000,59065000,59065000,78820000,-291000,1627000,729000,1101000,3166000,-753000,-6582000,-3007000,32759000,29343000,29343000,29343000,1554000,8370000,0.44345,-0.00314,-0.01253,-0.00493,-0.00369,4.10226,0.33446,0.10619,-0.00534,-0.00534,0.42646,1.08488,-0.00428,-16.72844,356.10959
"18","2015_Q1",4.34770491803279,"Down",24999000,-13529000,11470000,-10151000,-9737000,-414000,1319000,-193000,-985000,1126000,1126000,1047000,1047000,1047000,1047000,33689000,33689000,20475000,20475000,2616000,1962000,1141000,58742000,15082000,7282000,141000,22364000,81106000,11399000,6294000,5105000,3224000,14623000,5257000,821000,0,6078000,20701000,79811000,-19406000,60405000,60405000,81106000,1047000,1502000,346000,-1909000,986000,-1053000,-1054000,-949000,-608999.999999993,-677000,-677000,-677000,2821000,8481000,0.45882,0.05276,0.04188,0.01733,0.01291,4.0171,0.3427,0.10457,0.01736,0.01677,0.41443,1.00139,0.01502,-8.93584,-19.1114499999999
"19","2015_Q2",5.15650793650794,"Up",23026000,-13482000,9544000,-10105000,-9436000,-669000,-561000,-195000,-195000,-756000,-756000,-761000,-761000,-761000,-761000,31248000,31248000,21484000,21484000,2595000,2004000,1183000,57331000,16640000,7187000,139000,23827000,81158000,10096000,5465000,4631000,3759000,13855000,6327000,821000,0,7148000,21003000,80322000,-20167000,60155000,60155000,81158000,-761000,1679000,1003000,-2708000,-787000,-842000,-842000,-921000,-812000,-2441000,-2441000,-2441000,1118000,10086000,0.41449,-0.02436,-0.03305,-0.01265,-0.00938,4.13793,0.34915,0.12428,-0.01263,-0.01263,0.382,0.99798,-0.01071,-18.92844,37.72193
"20","2015_Q3",6.19125,"Up",24370000,-13558000,10812000,-10785000,-9983000,-802000,27000,-189000,-189000,-162000,-162000,-176000,-176000,-176000,-176000,32952000,32952000,21130000,21130000,3416000,2103000,1282000,59601000,16286000,7079000,128000,23365000,82966000,11230000,6059000,5171000,3895000,15125000,6153000,821000,-2.3283064365387e-10,6974000,22099000,81209000,-20342000,60867000,60867000,82966000,-176000,1760000,1320000,-220000,2684000,-338000,-338000,-912000.000000001,-642000,1704000,1704000,1704000,1787000,10048000,0.44366,0.00111000000000001,-0.00722,-0.00289,-0.00212,3.94056,0.36307,0.12111,-0.00290999999999999,-0.00291,0.40331,1.00731,-0.00245,-12.81701,-848.2963
"21","2015_Q4",7.32359375,"Up",25127000,-13955000,11172000,-11057000,-10186000,-871000,115000,-239000,-239000,-124000,-124000,-125000,-125000,-125000,-125000,33966000,33966000,21556000,21556000,2967000,2368000,1547000,60857000,15898000,6986000,129000,22884000,83741000,11125000,5026000,6099000,4203000,15328000,5743000,821000,0,6564000,21892000,82317000,-20468000,61849000,61849000,83741000,-125000,1815000,1433000,-748000,2375000,-502000,-502000,-1079000,-859000,1014000,1014000,1014000,1930000,9946000,0.44462,0.00458,-0.00497,-0.00202,-0.00149,3.97032,0.35396,0.11877,-0.00206,-0.00206,0.41507,1.02167,-0.00172,-12.4456,-208.86957
"22","2016_Q1",6.58049180327869,"Down",27279000,-15051000,12228000,-17444000,-15588000,-1856000,-5216000,1769000,-231000,-3447000,-3447000,-1473000,-1473000,-1473000,-1595000,23420000,23420000,48943000,48943000,5108000,4889000,4889000,82360000,34577000,234350000,129000,268927000,351287000,26055000,12464000,13591000,5134000,31189000,66245000,44343000,28602000,110588000,141777000,231573000,-22063000,209510000,209510000,351287000,-1473000,1888000,-25000.0000000002,1731000,2121000,-533000,-73473000,63821000,60806000,-10546000,-10546000,-10546000,-3328000,71379000,0.44826,-0.19121,-0.05847,-0.00761,-0.00454,2.64067,0.67671,0.20319,-0.02621,-0.02621,0.44819,3.44221,-0.0049,-14.41076,-9.19458999999995
"23","2016_Q2",8.01515625,"Up",59704000,-32531000,27173000,-25251000,-23805000,-1446000,1922000,-1593000,-1593000,329000,329000,155000,155000,155000,-5412000,19256000,19256000,50088000,50088000,5334000,6525000,6525000,81203000,33559000,232082000,129000,265641000,346844000,29453000,15288000,14165000,4863000,34316000,56440000,50085000,34169000,106525000,140841000,233478000,-27475000,206003000,206003000,346844000,155000,5611000,3548000,-2255000,7059000,-1001000,-1001000,-11423000,-10222000,-4164000,-4164000,-4164000,7533000,61303000,0.45513,0.03219,-0.09065,-0.02627,-0.0156,2.36633,0.68368,0.17675,-0.07115,-0.07115,0.78488,2.70814,-0.01705,5.58171,21.87669
"24","2016_Q3",8.39015625,"Up",63128000,-34524000,28604000,-26413000,-25107000,-1306000,2191000,-1447000,-1447000,744000,744000,413000,413000,413000,-5153000,21786000,21786000,53513000,53513000,5545000,6665000,6665000,87509000,33575000,230472000,129000,264047000,351556000,29616000,13435000,16181000,5337000,34953000,56986000,55984000,39735000,112970000,147923000,236261000,-32628000,203633000,203633000,351556000,413000,5354000,4581000,-5312000,5036000,-2424000,-2424000,-1232000,-81999.9999999925,2530000,2530000,2530000,7545000,62323000,0.45311,0.0347099999999999,-0.08163,-0.02531,-0.01466,2.50362,0.72642,0.17728,-0.06653,-0.06653,0.8151,2.62929,-0.01601,5.3727,18.5016
"25","2016_Q4",8.56603174603175,"Up",60761000,-33416000,27345000,-25949000,-24982000,-967000,1396000,-1469000,-1469000,-73000,-73000,-68000,-68000,-68000,-5635000,28935000,28935000,50184000,50184000,5952000,7488000,7488000,92559000,34169000,228699000,174000,262868000,355427000,29746000,13984000,15762000,5646000,35392000,57707000,61538000,45302000,119245000,154637000,239053000,-38263000,200790000,200790000,355427000,-68000,6039000,4610000,-958000,9623000,-1903000,-1903000,-1676000,-571000,7149000,7149000,7149000,7435000,63353000,0.45004,0.02298,-0.09274,-0.02806,-0.01585,2.61525,0.77014,0.17824,-0.07211,-0.07211,0.77754,2.56945,-0.0173,4.62919,24.65473
"26","2017_Q1",8.14612903225806,"Down",48215000,-33233000,14982000,-14872000,-13942000,-930000,110000,-5489000,-5489000,-5379000,-8843000,-6642000,-6642000,-6642000,-14616000,12525000,12525000,55512000,55512000,6253000,4535000,4535000,78825000,34036000,224257000,174000,258293000,337118000,29380000,16782000,12598000,8733000,38113000,97436000,37846000,22873000,135282000,173395000,216183000,-52460000,163723000,163723000,337118000,-6642000,6205000,759000,-563000,-241000,-2208000,-1173000,41894000,-14996000,-16410000,-16410000,-16410000,6315000,106169000,0.31073,0.00228,-0.30314,-0.08927,-0.04336,2.06819,1.05908,0.31493,-0.18617,-0.18617,0.61415,2.08546,-0.04749,14.82882,851.30909
"27","2017_Q2",7.93650793650794,"Down",57428000,-34480000,22948000,-23528000,-22666000,-862000,-580000,-1364000,-1364000,-1944000,-1944000,-1165000,-1165000,-1165000,-3731000,11036000,11036000,61718000,61718000,5970000,5857000,5857000,84581000,36531000,222525000,167000,259056000,343637000,31042000,20579000,10463000,8834000,39876000,102154000,33022000,25439000,135176000,175052000,217705000,-49120000,168585000,168585000,343637000,-1165000,5704000,1240000,-7465000,-1686000,-3007000,-3007000,2811000,3204000,-1489000,-1489000,-1489000,5124000,110988000,0.3996,-0.0101,-0.06497,-0.02213,-0.01086,2.1211,1.03836,0.32298,-0.04744,-0.04744,0.73017,2.14348,-0.01194,19.50664,-172.33103
"28","2017_Q3",9.73269841269841,"Up",62265000,-34912000,27353000,-25510000,-24563000,-947000,1843000,-1411000,-1411000,432000,431999.999999999,485000,485000,485000,-2154000,10932000,10932000,61750000,61750000,5457000,5218000,5218000,83357000,35588000,220935000,302000,256523000,339880000,26562000,15594000,10968000,8642000,35204000,100667000,35111000,27676000,135778000,170982000,220701000,-51803000,168898000,168898000,339880000,485000.000000001,5652000,2031000,-1640000,6528000,-4857000,-4857000,-2446000,-1775000,-104000.000000002,-104000.000000002,-104000.000000002,7495000,109309000,0.4393,0.0296,-0.03459,-0.01275,-0.00634,2.36783,1.01234,0.32161,-0.02712,-0.02712,0.78407,2.12683,-0.00687,13.12568,53.3787300000002
"29","2017_Q4",9.22222222222222,"Down",59137000,-34242000,24895000,-25901000,-24630000,-1271000,-1006000,-1398000,-1398000,-2404000,-3462000,-4264000,-4264000,-4264000,-6915000,12211000,12211000,62723000,62723000,6088000,4725000,4725000,85747000,34549000,223599000,250000,258148000,343895000,31628000,14823000,16805000,8486000,40114000,96575000,37673000,30125000,134248000,174362000,229086000,-59553000,169533000,169533000,343895000,-4264000,5584000,3929000,2187000,7436000,-2303000,-2303000,-4811000,-3854000,1279000,1279000,1279000,4578000,105061000,0.42097,-0.01701,-0.11693,-0.04079,-0.02011,2.13758,1.02848,0.3055,-0.08685,-0.08685,0.74277,2.12936,-0.02214,20.28178,-92.29622
"30","2018_Q1",8.10147540983607,"Down",61421000,-34661000,26760000,-23057000,-22501000,-556000,3703000,-1379000,-1367000,2324000,2324000,4548000,4548000,4548000,1857000,12821000,12821000,60427000,60427000,7474000,5153000,4152000,85875000,36504000,222075000,891000,258579000,344454000,26076000,10450000,15626000,8989000,36471000,96435000,39586000,32898000,136021000,172492000,230110000,-58422000,171962000,171962000,344454000,4548000,5651000,992000,-5432000,5759000,-3523000,-3523000,-2235000,-1670000,565999.999999998,565999.999999998,610000,9354000,105424000,0.43568,0.06029,0.03023,0.0108,0.00539,2.35461,1.00308,0.30606,0.02321,0.02321,0.76753,2.14888,0.00586,9.89983,25.00756
"31","2018_Q2",11.00484375,"Up",63423000,-36120000,27303000,-24798000,-23842000,-956000,2505000,-1423000,-1486000,1082000,1082000,644000,644000,644000,-2212000,15173000,15173000,58129000,58129000,7515000,6954000,6954000,87771000,40411000,221090000,1320000,261501000,349272000,33096000,13048000,20048000,10207000,43303000,90837000,42587000,35993000,133424000,176727000,232120000,-60074000,172545000,172545000,349272000,644000,5046000,1730000,6892000,14312000,-4666000,-4666000,-7732000,-7249000,2397000,2397000,2352000,7551000,101044000,0.43049,0.0395,-0.03488,-0.01282,-0.00633,2.0269,1.02424,0.2893,-0.02748,-0.02748,0.78779,2.14323,-0.007,11.37214,34.27984
"32","2018_Q3",13.8220634920635,"Up",67746000,-37216000,30530000,-29736000,-28663000,-1073000,794000,-1531000,-1406000,-737000,-737000,-380000,-380000,-380000,5924000,9435000,9434999.99999999,60765000,60765000,6898000,6161000,6161000,83259000,42873000,219651000,1302000,262524000,345783000,33410000,12337000,21073000,12409000,47974000,126125000,7475000,648000,133600000,181574000,217532000,-53580000,164209000,164209000,345783000,-380000,5232000,2575000,-787000,6640000,-4277000,-4277000,37443000,-8124000,-5760999.99999999,-5760999.99999999,-5737999.99999999,6026000,138534000,0.45065,0.01172,0.08744,0.03608,0.01713,1.7355,1.10575,0.40064,0.07312,0.0657,0.83619,2.02685,0.0191,21.42366,162.5932
"33","2018_Q4",14.9025396825397,"Up",69097000,-36775000,32322000,-28402000,-27956000,-446000,3920000,-1843000,-1874000,2077000,2077000,2023000,2023000,2023000,2023000,118440000,118440000,62694000,62694000,6829000,6307000,6307000,194270000,41004000,219865000,2937000,260869000,455139000,31904000,9200000,22704000,13892000,47055000,96427000,8098000,1199000,104525000,151580000,354580000,-51557000,303559000,303559000,455139000,2023000,5454000,1513000,-609000,8381000,-2148000,-2148000,-33072000,102785000,109018000,109018000,109005000,9374000,110319000,0.46778,0.05673,0.02928,0.00666,0.00444,4.12857,0.49934,0.24239,0.02319,0.02226,0.79192,3.47907,0.00479,-0.86633,-2.07168
"34","2019_Q1",17.3777049180328,"Up",76475000,-39365000,37110000,-34289000,-33763000,-526000,2821000,-1419000,-1464000,1402000,1402000,353000,353000,353000,353000,9811000,9811000,76919000,76919000,8650000,8288000,7727000,103668000,60888000,340459000,2538000,401347000,505015000,45827000,17779000,28048000,14171000,60925000,98130000,25517000,3060000,123647000,184572000,372280000,-51258000,320443000,320443000,505015000,353000,6e+06,2083000,7017000,15453000,-3219000,-128596000,1321999.99999999,4547000.00000001,-108596000,-108596000,-108629000,8821000,112301000,0.48526,0.03689,0.00461999999999999,0.0011,0.000699999999999997,1.70157,0.57599,0.22237,0.00377,0.00337,0.81621,3.42007,0.000770000000000001,11.61886,36.33109
"35","2019_Q2",21.9438095238095,"Up",95577000,-48462000,47115000,-44567000,-43358000,-1209000,2548000,-6995000,-1826000,-4447000,-4447000,-2424000,-2424000,-2424000,-2424000,13195000,13195000,82585000,82585000,9670000,10495000,7504000,115945000,60696000,356702000,22560000,417398000,533343000,53692000,16514000,37178000,14374000,72703000,96248000,40544000,20388000,136792000,209495000,378666000,-53682000,323848000,323848000,533343000,-2424000,7830000,3586000,-2895000,6097000,-3196000,-3196000,-3765000,483000,3384000,3384000,3384000,10378000,110622000,0.49295,0.02666,-0.02536,-0.00748,-0.00454,1.59478,0.64689,0.20741,-0.02559,-0.02559,1.00883,3.41828,-0.0051,9.38784,38.23666
"36","2019_Q3",23.45640625,"Up",101713000,-52747000,48966000,-44488000,-41901000,-2587000,4478000,-1294000,-1304000,3184000,2166000,1991000,1991000,1991000,1991000,167436000,167436000,89991000,89991000,8733000,10185000,9553000,276345000,59334000,360988000,29389000,420322000,696667000,43840000,16326000,27514000,14253000,59162000,99032000,48739000,28622000,147771000,206933000,543588000,-51691000,489734000,489734000,696667000,1991000,7624000,4756000,-19092000,-4721000,-3441000,-3041999.99999999,-1629000,162004000,154241000,154241000,154241000,12102000,113285000,0.48141,0.04403,0.01957,0.00407,0.00286,4.67099,0.42254,0.16261,0.02017,0.02017,1.03023,4.96044,0.00305,-4.47455,-12.09268
