"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q1",9.05467741935484,"Up",13332000,-4317000,-2253000,-452000,-1612000,9015000,-1886000,-2090000,7129000,-703000,6426000,6512000,6512000,-4777000,1735000,3832000,47166000,47166000,4181000,4181000,3059000,3059000,54689000,594063000,597287000,-3224000,600840000,655529000,10259000,4476000,5783000,308779000,320020000,320020000,157799000,4103000,161902000,335509000,655529000,6512000,452000,493000,-6030000,-2201000,-3829000,1427000,-10047000,-10047000,-1791000,6600000,-1260000,38597000,29977000,29977000,29977000,9467000,308779000,0.67619,0.28743,0.01142,0.00585,0.17089,0.95383,0.47104,0.2582,0.2582,0.89832,10.9091,0.12068,0.00873,0.467380000000001,27.6342,29.01974
"12","2017_Q2",8.42873015873016,"Down",7150000,-5927000,-2081000,-1487000,-2359000,1223000,-2712000,-2715000,-1489000,-512000,-2001000,-2001000,-2001000,375000,-1626000,-2547000,6363000,6363000,2960000,2960000,4936000,4936000,14457000,952997000,957552000,-4555000,956810000,971267000,13522000,6867000,6655000,436684000,464120000,464120000,320443000,1599000,322042000,507147000,971267000,-2001000,1487000,489000,-2586000,2117000,-4703000,-2611000,-83167000,-84621000,-2212000,52918000,-4277000,46429000,-40803000,-40803000,-40803000,2710000,436684000,0.17105,-0.35622,-0.00502,-0.00262,0.03115,0.91516,0.4496,-0.0954,-0.0953999999999999,0.2678,12.06195,0.08285,-0.000350000000000001,-0.86847,158.79004,351.85691
"13","2017_Q3",7.47015873015873,"Down",11459000,-5726000,-2052000,-2057000,-1617000,5733000,-3435000,-3454000,2298000,-278000,2020000,2020000,2020000,-334000,1686000,772000,29422000,29422000,3293000,3293000,6677000,6677000,39467000,970474000,976893000,-6419000,973552000,1013019000,13474000,8077000,5397000,485400000,508202000,508202000,320419000,2408000,322827000,504817000,1013019000,2020000,2057000,695000,-3871000,-538000,-3333000,901000,-19778000,-21425000,-4138000,48872000,1764000,43583000,23059000,23059000,23059000,7790000,485400000,0.50031,0.06737,0.00153,0.00076,0.07766,1.00671,0.47916,0.02376,0.02376,0.3527,9.9365,0.12737,0.00496,5.3601,58.53376,79.53567
"14","2017_Q4",7.67492063492064,"Up",12046000,-5751000,-1707000,-2107000,-1937000,6295000,-3548000,-3683000,2747000,-136000,2611000,2611000,2611000,-394000,2217000,222000,129298000,129298000,3205000,3205000,7601000,7601000,140196000,975613000,983922000,-8309000,979520000,1119716000,12816000,7768000,5048000,464494000,481186000,481186000,315687000,2665000,462575000,638530000,1119716000,2611000,2107000,435000,-6844000,1160000,-8004000,-1691000,-7385000,-8154000.00000001,-5267000,-20819000,-1270000,109721000,99876000,99876000,99876000,8402000,464494000,0.52258,0.01843,0.000349999999999999,0.000200000000000001,0.29136,0.75358,0.41483,0.00675,0.00675,0.36617,9.67724,0.16011,0.00498,23.72523,39.89479,53.24797
"15","2018_Q1",7.05475409836066,"Down",15564000,-4996000,-1418000,-2141000,-1437000,10207000,-3475000,-3709000,6732000,-204000,6528000,6528000,6528000,-891000,5637000,2460000,53536000,53536000,6650000,6650000,10400000,10400000,70712000,1092078000,1102363000,-10285000,1095374000,1166086000,12424000,8040000,4384000,514071000,530402000,530402000,319277000,5161000,468661000,635684000,1166086000,6528000,2141000,484000,-4823000,-3844000,-979000,4330000,-117412000,-119907000,-6417000,5e+07,-1214000,39815000,-75762000,-75762000,-75762000,12348000,514071000,0.65581,0.15806,0.00387,0.00211,0.13332,0.83438,0.44085,0.0751,0.0751,0.47516,9.90499,0.19591,0.00772,2.60854,37.29632,45.11953
"16","2018_Q2",7.3034375,"Up",11207000,-6255000,-1964000,-2130000,-2161000,4952000,-4310000,-4391000,642000.000000001,-139000,503000.000000001,503000,503000,-62000,441000,-2744000,19666000,19666000,5568000,5568000,12282000,12282000,37886000,1122083000,1134389000,-12306000,1124711000,1162597000,11802000,8131000,3671000,513974000,540882000,540882000,310779000,2459000,459725000,621715000,1162597000,503000.000000001,2130000,797000,11646000,725999.999999999,10920000,15076000,-32079000,-33839000,-4250000,-117999.999999985,-4222000,-15107000,-33870000,-33870000,-33870000,7082000,513974000,0.44187,-0.24485,-0.00441,-0.00236,0.07004,0.86998,0.44209,-0.08312,-0.08312,0.33946,9.48804,0.12873,0.00133,-1.54883,69.7978,99.81987
"17","2018_Q3",6.13952380952381,"Down",11420000,-6221000,-1701000,-2126000,-2394000,5199000,-4351000,-4441000,848000,133000,981000,981000,981000,-121000,860000,-2321000,26414000,26414000,3986000,3986000,13204000,13204000,44024000,1121797000,1136014000,-14217000,1124066000,1168090000,12594000,8925000,3669000,533799000,554793000,554793000,307343000,178000,451249000,613297000,1168090000,981000,2126000,569000,-4649000,1382000,-6031000,-973000,-1711000,-2597000,-4131000,19900000,-923000,10318000,6748000,6748000,6748000,7325000,533799000,0.45525,-0.20324,-0.00378,-0.00199,0.07935,0.90461,0.45698,-0.0703,-0.0703,0.34591,9.29987,0.12513,0.00158,-1.77984,69.26758,97.59281
"18","2018_Q4",5.63619047619048,"Down",12549000,-6360000,-1687000,-2154000,-2519000,6189000,-4948000,-5001000,1241000,2917000,4158000,4158000,4158000,-518000,3640000,484000,23808000,23808000,5454000,5454000,12888000,12888000,42445000,1100820000,1116993000,-16173000,1102730000,1145175000,12469000,7638000,4831000,523625000,536903000,536903000,298121000,678000,445009000,608272000,1145175000,4158000,2154000,-2517000,-4265000,-816000,-3449000,-470000.000000002,20724000,20771000,-4251000,-10248000,-633000,-22907000,-2606000,-2606000,-2606000,8343000,523625000,0.49319,0.03857,8e-04,0.00042,0.07906,0.88267,0.45724,0.01485,0.01485,0.38506,9.16312,0.13044,0.00418,8.78306,59.90855,80.75893
"19","2019_Q1",5.1716393442623,"Down",20893000,-7235000,-2e+06,-2134000,-3101000,13533000,-4926000,-4966000,8607000,-209000,8398000,8398000,8398000,-1085000,7313000,4161000,16891000,16891000,6136000,6136000,12356000,12356000,35724000,1100147000,1118349000,-18202000,1103785000,1139509000,11224000,5977000,5247000,523641000,535968000,535968000,290601000,4852000,438346000,603541000,1139509000,8398000,2134000,1142000,-5304000,-1714000,-3590000,6370000,-980000,-199000,-10854000,-42000,3253000,-13088000,-6917000,-6917000,-6917000,15667000,523641000,0.64773,0.19916,0.00689,0.00365,0.06665,0.88804,0.45953,0.13514,0.13514,0.67854,9.56734,0.35251,0.01332,2.60851,32.34506,37.4455
"20","2019_Q2",5.94952380952381,"Up",10889000,-6144000,-1374000,-2115000,-2655000,4523000,-4932000,-4956000,-408999.999999998,418000,9000,9000,9000,-1000,7999.99999999907,-3140000,19150000,19150000,7875000,7875000,12467000,12467000,39555000,1095830000,1116062000,-20232000,1098297000,1137852000,11014000,5681000,5333000,521573000,546195000,546195000,304099000,1733000,450448000,591657000,1137852000,9000,2115000,237000,11469000,-1735000,13204000,13830000,2542000,2603000,-1759000,-2133000,-3742000,-14174000,2259000,2259000,2259000,6638000,521573000,0.41537,-0.28836,-0.00531,-0.00276,0.07242,0.92316,0.45838,-0.10198,-0.10198,0.35364,9.89744,0.05713,-0.00124,-0.56019,75.68891,111.0818
"21","2019_Q3",5.939375,"Down",10947000,-6993000,-1419000,-2092000,-3482000,3953000,-4919000,-5031000,-966000,7490000,6524000,6524000,6524000,-473000,6051000,2906000,22359000,22359000,4579000,4579000,8323000,8323000,35969000,1073973000,1095720000,-21747000,1075854000,1111823000,11649000,6082000,5567000,512469000,531242000,531242000,289768000,4660000,437847000,580581000,1111823000,6524000,2092000,-6859000,-3460000,3396000,-6856000,-1703000,27390000,31506000,-1393000,-9167000,-859000,-26594000,3209000,3209000,3209000,6045000,512469000,0.3611,0.26546,0.00501,0.00261,0.06771,0.91502,0.46093,0.09485,0.09485,0.35731,9.55358,0.04547,0.00393,0.47935,81.07692,123.98432
"22","2019_Q4",6.139375,"Up",9848000,-6003000,-1444000,-2087000,-2472000,3226000,-4671000,-4818000,-1445000,-18000,-1463000,-1463000,-1463000,99000,-1364000,-4499000,8563000,8563000,5347000,5347000,8065000,8065000,23171000,1071871000,1095188000,-23317000,1073877000,1097048000,12115000,5229000,6886000,511393000,525675000,525675000,291815000,179000,433040000,571373000,1097048000,-1463000,2087000,480000.000000001,-6254000,-730999.999999999,-5523000,-5150000,-864999.999999993,-759000,-1504000,-42000,-141000,-7887000,-13796000,-13796000,-13796000,5313000,511393000,0.32758,-0.45684,-0.00787,-0.0041,0.04408,0.92002,0.46615,-0.15236,-0.15236,0.3335,9.82692,0.05093,-0.00277,-0.3343,94.64145,155.86795
"23","2020_Q1",6.02564516129032,"Down",21880000,-7154000,-1865000,-2026000,-3263000,14641000,-4806000,-4783000,9835000,-55000,9780000,9780000,9780000,-589000,9191000,6057000,12561000,12561000,5515000,5515000,5014000,5014000,24640000,1074472000,1099749000,-25277000,1077913000,1102553000,12445000,4704000,7741000,511403000,525636000,525636000,289895000,6251000,437363000,576917000,1102553000,9780000,2026000,591000,-1380000,330000,-1710000,11017000,-2913000,-2298000,-10496000,-43000,3416000,-4721000,3998000,3998000,3998000,16667000,511403000,0.66915,0.27683,0.0105,0.00549,0.04688,0.91111,0.46384,0.20501,0.20501,0.74057,9.96791,0.35525,0.01521,1.73287,29.92992,34.07158
"24","2020_Q2",6.20603174603175,"Up",11650000,-5795000,-1451000,-2e+06,-2344000,5289000,-4784000,-4663000,505000,-85999.9999999998,418999.999999996,419000,419000,-25000.0000000001,394000,-2737000,14994000,14994000,5814000,5814000,4628000,4628000,27055000,1073458000,1100664000,-27206000,1075901000,1102956000,11787000,5007000,6780000,511283000,536677000,536677000,287464000,3530000,429652000,566279000,1102956000,418999.999999996,2e+06,443000,10005000,-294000,10299000,12867000,-980999.999999999,-545000.000000001,-1498000,-42000,-4712000,-9889000,2433000,2433000,2433000,7289000,511283000,0.45399,-0.23494,-0.00483,-0.00248,0.05041,0.94773,0.46356,-0.0926400000000001,-0.09264,0.39431,9.73996,0.0507,-0.00115,-0.54731,68.08739,93.83418
"25","2020_Q3",6.48078125,"Up",10518000,-6072000,-1403000,-2003000,-2666000,3701000,-4434000,-4467000,-733000,906000,173000,173000,173000,-11000,162000,-2942000,11598000,11598000,3144000,3144000,2742000,2742000,19616000,1066069000,1094882000,-28813000,1067706000,1087322000,12042000,5137000,6905000,510701000,528458000,528458000,284575000,604000,421565000,558864000,1087322000,173000,2003000,-317000,-4744000,2666000,-7410000,-2885000,5934000,7252000,-1498000,-43000,-2213000,-7763000,-3396000,-3396000,-3396000,5704000,510701000,0.35187,-0.27971,-0.00526,-0.00271,0.03712,0.94559,0.46969,-0.09998,-0.09998,0.35745,9.57686,0.05091,-0.00135,-0.50918,87.50053,134.85626
"26","2020_Q4",7.27265625,"Up",10603000,18000,-1394000,-1979000,3391000,3649000,-4436000,-4411000,-787000,1348000,561000,561000,561000,-34000,527000,-2555000,7108000,7108000,6494000,6494000,2649000,2649000,17756000,1060596000,1091318000,-30722000,1062049000,1079805000,14898000,4771000,10127000,508432000,526690000,526690000,280095000,-1934000,415074000,553115000,1079805000,561000,1979000,-427000,-1934000,-3628000,1694000,178999.999999998,5564000,5564000,-8125000,-2909000,-277000,-10233000,-4490000,-4490000,-4490000,5628000,508432000,0.34415,-0.24097,-0.00462,-0.00237,0.03371,0.95223,0.47086,-0.08748,-0.08748,0.36304,9.42642,0.2782,0.00525,-3.18004,89.07676,137.38668
"27","2021_Q1",11.0040983606557,"Up",17918000,-5763000,-1648000,-1990000,-2125000,9701000,-4134000,-4136000,5567000,810000,6377000,6377000,6377000,-341000,6036000,2955000,27217000,27217000,4120000,4120000,2435000,2435000,34889000,1053120000,1085774000,-32654000,1056102000,1090991000,15147000,5058000,10089000,506625000,524801000,524801000,291416000,1037000,429839000,566190000,1090991000,6377000,1990000,259000,939000,2459000,-1520000,9565000,6387000,6397000,-3645000,-1672000,-285000,4147000,20109000,20109000,20109000,11691000,506625000,0.54141,0.16492,0.00522,0.00271,0.06648,0.9269,0.46437,0.10054,0.10054,0.60962,9.86911,0.12401,0.00615,1.2335,41.00659,49.41841
"28","2021_Q2",12.4715873015873,"Up",11575000,-6296000,-1617000,-1935000,-2744000,3098000,-4013000,-4056000,-914999.999999999,3392000,2477000,2477000,2477000,-117000,2360000,-718000.000000001,36070000,36070000,3071000,3071000,5498000,4957000,45743000,1026884000,1060250000,-33366000,1029466000,1075209000,16267000,4865000,11402000,486704000,512315000,512315000,291863000,332000,430868000,562894000,1075209000,2477000,1935000,-2772000,9766000,1045000,8721000,11406000,25014000,25019000,-3717000,-19976000,-3879000,-27572000,8853000,8853000,8853000,5033000,486704000,0.26765,-0.06203,-0.00128,-0.000669999999999999,0.08929,0.91014,0.45266,-0.02443,-0.02443,0.39381,9.9114,0.12646,0.00286,-5.17688,89.53586,145.45965
"29","2021_Q3",12.02,"Down",10014000,-6683000,-1897000,-1885000,-2901000,956000,-3896000,-3905000,-2940000,75000,-2865000,-2865000,-2865000,130000,-2735000,-5805000,40159000,40159000,3520000,3520000,5695000,5165000,50116000,1052510000,1087740000,-35230000,1054203000,1104319000,17972000,5088000,12884000,500705000,523013000,523013000,315684000,-5457000,448435000,581306000,1104319000,-2865000,1885000,1142000,-3351000,-719000,-2632000,-3189000,-27721000,-27720000,-3720000,1.4e+07,-583000,34998000,4089000,4089000,4089000,2841000,500705000,0.09547,-0.57969,-0.00999,-0.00526,0.09582,0.89972,0.45341,-0.18514,-0.18514,0.31937,9.86506,0.11864,-0.00193,-0.640830000000002,162.107,481.74268
"30","2021_Q4",11.6571875,"Down",10105000,-6256000,-1746000,-1911000,-2599000,1439000,-3991000,-4014000,-2552000,-117000,-2669000,-2669000,-2669000,115000,-2554000,-5623000,21373000,21373000,7221000,7221000,6744000,6226000,37043000,1052203000,1089285000,-37082000,1059843000,1096886000,20173000,4818000,15355000,499533000,521118000,521118000,315706000,-11066000,443472000,575768000,1096886000,-2667000,1911000,797000,-7020000,-320195.031160173,-5690199.63588602,-6979000,-1777000,-6439000,-3818000,-1250000,-364000,-5368000,-18786000,-18786000,-18786000,3350000,499533000,0.1424,-0.55646,-0.00977,-0.00513,0.07108,0.90508,0.45541,-0.17933,-0.17933,0.32228,9.70678,0.12177,-0.00168,-0.679,142.73433,332.28631
"31","2022_Q1",11.9096774193548,"Up",20045000,-6780000,-2948000,-1898000,-1934000,11375000,-3944000,-3954000,7431000,5885000,13316000,13316000,13316000,-396000,12920000,6312000,30171000,30171000,4900000,4900000,71094000,70564000,109224000,1000656000,1038959000,-38303000,1012301000,1121525000,16679000,5353000,11326000,511323000,528939000,528939000,462330000,-4739000,458314000,592586000,1121525000,13314000,1898000,-5392000,-3202000,885275.889261708,1105400.23170889,6618000,-8773000,-8638000,-1647000,12427000,-762000,11809000,9789000,9789000,8798000,13273000,511323000,0.56747,0.31489,0.01065,0.00563,0.2065,0.89259,0.45592,0.17466,0.17466,0.55466,12.66969,0.04557,0.00721,0.26093,36.25043,42.29908
"32","2022_Q2",14.3498387096774,"Up",13890000,-6113000,-3103000,-1751000,-1259000,4383000,-3841000,-3827000,542000.000000002,597000,1139000,1139000,1139000,-32999.9999999999,1106000,213000,16102000,16102000,3104000,3104000,7895000,7488000.00000001,30074000,1071659000,1111615000,-39956000,1084992000,1115066000,16284000,5616000,10668000,462836000,487489000,487489000,563191000,-4511000,495785000,627577000,1115066000,1139000,1751000,407999.999999999,7011000,1628000,5382999.99999999,10309000,-4385000,-7819000,-2274000,-48384000,-4194000,-16559000,-14069000,-14069000,-14069000,6134000,462836000,0.31555,0.0153300000000001,0.00034,0.00019,0.06169,0.77678,0.41507,0.00653999999999999,0.00653999999999999,0.42672,15.23102,0.06986,0.00228,10.67606,72.82915,101.92425
"33","2022_Q3",14.10640625,"Down",12357000,-5514000,-3005000,-1660000,-849000,3452000,-3700000,-3743000,-248000,3336000,3088000,2992000,2992000,-77000,2915000,2097000,19696000,19696000,2457000,2457000,5938000,5855000,31053000,1081987000,1123549000,-41562000,1094107000,1125160000,15907000,6230000,9677000,424474000,442085000,442085000,556817000,-2456000,556218000,683075000,1125160000,2992000,1660000,-2661000,-3862000,634000,-4496000,-1871000,-9550000,-8684000,-2428000,-38558000,45000,14150000,3595000,3595000,3595000,5112000,424474000,0.27936,0.1697,0.00307,0.00186,0.07024,0.6472,0.37726,0.04164,0.04164,0.24536,11.0444,0.04821,0.00409,1.15784,79.18192,117.25898
