"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"11","2013_Q4",4.731875,"Down",80171000,-79356000,815000,-6761000,-6760000,-5946000,-360000,-269000,-6306000,-6306000,-19000,-6325000,-6325000,-6325000,-6325000,31796000,31796000,36801000,7813000,1238000,76410000,70300000,2153000,2153000,78805000,155215000,27351000,20206000,7145000,1558000,28909000,28872000,15972000,6349000,4739000,44844000,73753000,4000,15045000,67047000,-634000,81462000,81462000,155215000,-6325000,3004000,298000,5066000,2043000,-1814000,-1814000,-229000,-229000,0,0,0,-2942000,30430000,329000,0.01017,-0.07417,-0.07889,-0.07764,-0.04075,-0.05202,2.64312,0.90537,0.19605,-0.36926,-0.36926,4.68045,4.75559,0.01921,-0.04947,0.00257
"12","2014_Q1",5.38491803278689,"Up",77294000,-69380000,7914000,-8974000,-8797000,-1060000,469000,-289000,-591000.000000001,-590999.999999999,758000,167000,-360999.999999999,-360999.999999999,-361000,27821000,27821000,34917000,6291000,848000,71886000,70244000,2076000,2076000,79443000,151329000,32593000,24311000,8282000,1557000,34150000,21611000,13965000,4977000,4565000,35576000,69726000,4000,14917000,66686000,-4000.00000000012,81603000,81603000,151329000,-361000,3054000,-901000,11504000,13296000,-2637000,-2637000,-7262000,-7802000,2857000,2857000,2857000,1994000,23168000,10103000,0.10239,-0.01371,-0.00466999999999999,-0.00441999999999998,-0.00239000000000002,-27.98615,2.10501,0.85445,0.1531,-0.0210600000000001,-0.02106,4.50883,4.75995,0.58934,-0.00303999999999999,0.08509
"13","2014_Q2",6.23492063492063,"Up",78996000,-72195000,6801000,-5072000,-5072000,1729000,3137000,-197000,4866000,4866000,-81000,4785000,4785000,4785000,4785000,31871000,31871000,30875000,6455000,2035000,69201000,68258000,1985000,1985000,80701000,149902000,28355000,21116000,7239000,1570000,29925000,21669000,12957000,4162000,4432000,34626000,64551000,4000,14962000,70564000,-179000,85351000,85351000,149902000,4785000,3042000,-3185000,-5284000,-642000,-2182000,-2182000,71000,-33000,-2857000,-2857000,-2857000,4771000,23239000,-2614000,0.08609,0.02189,0.06057,0.05606,0.03192,-0.54629,2.31248,0.7563,0.15503,0.27745,0.27745,4.58047,4.94873,-0.15157,0.03937,-0.02151
"14","2014_Q3",9.4559375,"Up",80567000,-72259000,8308000,-5166000,-5166000,3142000,2113000,-219000,5255000,5185000,-86000,5099000,5099000,5099000,5099000,34737000,34737000,31947000,5576000,2097000,73143000,66454000,2391000,2391000,81631000,154774000,28924000,21610000,7314000,1583000,30507000,21823000,11805000,3303000,4782000,33628000,64135000,4000,14651000,75663000,321000,90639000,90639000,154774000,5099000,3066000,-2047000,-2599000,3519000,-1412000,-1412000,167000,-1224000,883000,883000,883000,6208000,23406000,2283000,0.10312,0.039,0.06329,0.05626,0.03294,0.447730000000003,2.39758,0.70759,0.15123,0.29513,0.29513,4.66314,5.24587,0.13214,0.04772,0.01814
"15","2014_Q4",12.92171875,"Up",77515000,-70204000,7311000,-4967000,-4967000,2344000,1422000,-199000,3766000,5059000,1169000,6228000,6228000,6228000,6228000,31550000,31550000,31465000,4192000,1435000,67207000,65212000,2326000,2326000,81902000,149109000,25512000,17525000,7987000,2598000,28110000,14065000,9937000,1318000,4965000,24002000,52112000,4000,14904000,81891000,198000,96997000,96997000,149109000,6228000,3094000,-3905000,461000,5878000,-1322000,61000,-6743000,-6822000,-883000,-883000,-883000,5438000,16663000,3408000,0.09432,0.03024,0.08035,0.06421,0.04177,0.54721,2.39086,0.53725,0.11175,0.35927,0.35927,4.47156,5.59517,0.1966,0.05039,0.02757
"16","2015_Q1",14.2201639344262,"Up",76325000,-70314000,6011000,-4897000,-4896000,1114000,2649000,-201000,3763000,10830000,-3267000,7563000,7563000,7563000,6731000,32672000,32672000,34441000,9491000,1179000,82245000,63881000,1716000,1716000,77970000,160215000,27419000,19409000,8010000,2613000,30748000,7286000,17816000,9297000,4099000,25102000,55850000,4000,15639000,89454000,-732000,104365000,104365000,160215000,7563000,3123000,-1454000,-2175000,7057000,-2032000,5035000,-6380000,-6451000,5641000,5641000,5641000,4237000,9899000,3297000,0.07876,0.0146,0.08819,0.06449,0.04201,0.48982,2.67481,0.53514,0.06179,0.38763,0.38763,4.39541,6.00995,0.18987,0.05096,0.02496
"17","2015_Q2",15.02,"Up",80413000,-67025000,13388000,-6480000,-6480000,6908000,1221000,-131000,8129000,8129000,-3059000,5070000,5070000,5070000,5070000,32866000,32866000,37654000,8267000,1743000,85178000,65544000,2192000,2192000,81409000,166587000,28979000,20557000,7848000,2567000,32271000,7666000,18168000,9924000,3939000,25834000,58105000,4000,15844000,93437000,-803000,108482000,108482000,166587000,5070000,3091000,880000,-2920000,6121000,-5030000,-5030000,-50000,-341000,750000,750000,750000,9999000,10233000,5108000,0.16649,0.08591,0.06305,0.04674,0.03043,1.0075,2.63946,0.53562,0.06143,0.29145,0.29144,4.62259,6.23592,0.29364,0.03704,0.03732
"18","2015_Q3",14.746875,"Down",85354000,-67826000,17528000,-8025000,-8025000,9503000,2967000,-129000,12470000,12470000,-4599000,7871000,7871000,7871000,7871000,36753000,36753000,45017000,7935000,1842000,94066000,66043000,2001000,2001000,84909000,178975000,33852000,23494000,9889000,2484000,36336000,7097000,18541000,10523000,3759000,25638000,61974000,4000,16163000,101308000,-474000,117001000,117001000,178975000,7871000,3093000,-1580000,-6402000,2982000,-3050000,-3050000,-652000,-1962000,-2030000,-2030000,-2030000,12596000,9581000,7743000,0.20536,0.11134,0.09222,0.06727,0.04398,0.98374,2.58878,0.52969,0.05353,0.45235,0.45233,4.90529,6.72382,0.44499,0.06173,0.05335
"19","2015_Q4",18.54609375,"Up",80328000,-68466000,11862000,-5497000,-5497000,6365000,1448000,-114000,7813000,7813000,-1042000,6771000,6771000,6771000,6118000,31659000,31659000,52208000,8501000,2239000,92494000,76551000,1923000,1923000,96901000,189395000,35193000,24845000,10348000,2400000,37593000,26413000,16105000,8333000,3579000,42518000,80111000,4000,1690000,108079000,-489000,109284000,109284000,189395000,6771000,3076000,-2488000,-3664000,3695000,-11963000,-11963000,19233000,4033000,-4235000,-4235000,-4235000,9441000,28813000,-5144000,0.14767,0.07924,0.07616,0.05598,0.0323,-0.8408,2.4604,0.73305,0.15213,0.3567,0.35668,4.6834,6.37141,-0.29991,0.03968,-0.03336
"20","2016_Q1",21.6408196721311,"Up",81509000,-65754000,15755000,-5681000,-5681000,10074000,-68000.0000000005,-160000,10006000,10006000,-3527000,6479000,6479000,6479000,6259000,30670000,30670000,58701000,1062000,1062000,91180000,83554000,1013000,1013000,103130000,194310000,34316000,23231000,10400000,3345000,37661000,30115000,10374000,2757000,3481000,40489000,78150000,4000,3125000,113531000,-5e+05,116160000,116160000,194310000,6479000,3122000,302000,-4039000,5864000,-10483000,-10483000,5282000,5240000,621000,621000,621000,13196000,33460000,2201000,0.19329,0.12359,0.07679,0.05388,0.03221,0.35165,2.42107,0.67278,0.1722,0.37827,0.37832,4.92604,7.01995,0.13302,0.03912,0.01376
"21","2016_Q2",28.06046875,"Up",76835000,-59789000,17046000,-6321000,-6321000,10725000,206000,-311000,10931000,10931000,-3872000,7059000,7059000,7059000,6789000,31204000,31204000,68383000,1351000,1351000,100938000,83417000,972000,972000,100169000,201107000,31174000,19042000,7335000,5997000,37171000,31447000,9528000,2135000,3308000,40975000,78146000,4000,3232000,120242000,-517000,122961000,122961000,201107000,7059000,3304000,2813000,-14817000,-1641000,-3053000,-3053000,4015000,3947000,-747000,-747000,-747000,14029000,37444000,31000,0.22185,0.13958,0.08836,0.05521,0.03376,0.00457,2.7155,0.63553,0.18619,0.4088,0.4088,4.62664,7.40389,0.00187,0.03995,0.00018
"22","2016_Q3",36.53671875,"Up",80392000,-64861000,15531000,-6404000,-6404000,9127000,751000,-328000,9878000,9878000,-3570000,6308000,6308000,6308000,6072000,33998000,33998000,71595000,792000,792000,107939000,85970000,934000,934000,103760000,211699000,31312000,23469000,7101000,4352000,35664000,37017000,9188000,2008000,3135000,46205000,81869000,4000,3814000,126550000,-538000,129830000,129830000,211699000,6308000,2679000,-854000,-6274000,1859000,-3035000,-2805000,3924000,2500000,1554000,1554000,1554000,11806000,41369000,6067000,0.19319,0.11353,0.07553,0.04677,0.02868,0.99918,3.02655,0.63059,0.19541,0.36539,0.36539,4.83772,7.81249,0.36509,0.0413,0.03363
"23","2016_Q4",41.9865079365079,"Up",79891000,-64770000,15121000,-3596000,-6981000,11525000,323000,-341000,11848000,11848000,-2316000,9532000,9532000,9532000,9327000,37174000,37174000,75611000,1328000,779000,114113000,87629000,897000,897000,106044000,220157000,28462000,20197000,7673000,4356000,32818000,41110000,8443000,1541000,2981000,49553000,82371000,4000,2599000,135739000,-556000,137786000,137786000,220157000,9532000,2627000,-1698000,-8835000,1626000,-5370000,-5370000,4052000,2190000,-1554000,-1554000,-1554000,14152000,45466000,2263000,0.18927,0.14426,0.11675,0.06769,0.04237,0.24263,3.47715,0.59782,0.20652,0.56007,0.56007,4.79732,8.27359,0.13589,0.05045,0.01181
"24","2017_Q1",44.6008064516129,"Up",81145000,-63560000,17585000,-6987000,-6987000,10598000,1462000,-314000,12060000,12060000,-3775000,8285000,8285000,8285000,8042000,26085000,26085000,78858000,4389000,1684000,110901000,92791000,2710000,2710000,114435000,225336000,32636000,23691000,8945000,4359000,36995000,31642000,10407000,3432000,3371000,42049000,79044000,4000,4009000,142652000,-373000,146292000,146292000,225336000,8285000,2643000,984000,5965000,17877000,-5255000,-6455000,-9509000,-9853000,1569000,1569000,1569000,13241000,36001000,17726000,0.21671,0.13061,0.09911,0.05497,0.03569,2.20418,2.99773,0.54032,0.15977,0.48164,0.48164,4.85981,8.76124,1.06162,0.04352,0.09199
"25","2017_Q2",49.4834920634921,"Up",87169000,-68128000,19041000,-7649000,-7649000,11392000,140000,-331000,11532000,11532000,-2854000,8678000,8678000,8678000,8428000,36387000,36387000,79988000,2426000,2426000,118801000,93697000,2672000,2672000,115772000,234573000,27164000,19313000,7317000,4362000,31526000,39331000,9578000,2942000,3176000,48909000,80435000,4000,3905000,150643000,-414000,154138000,154138000,234573000,8678000,2738000,67000,-12425000,-942000,-6454000,-6454000,7646000,5827000,-1569000,-1569000,-1569000,14130000,43693000,-1895000,0.21844,0.13069,0.09669,0.05468,0.03593,-0.22485,3.76835,0.52184,0.18627,0.50429,0.50429,5.21577,9.22263,-0.11339,0.04395,-0.00914
"26","2017_Q3",54.7393650793651,"Up",85753000,-66928000,18825000,-8311000,-8311000,10514000,-1198000,-379000,9316000,9316000,-2947000,6369000,6369000,6369000,6186000,34930000,34930000,85551000,5963000,2832000,134355000,93774000,2665000,2665000,107591000,241946000,27330000,19321000,8009000,4366000,31696000,39366000,10394000,4009000,2970000,49760000,81456000,4000,4615000,156325000,-454000,160490000,160490000,241946000,6369000,2816000,9726000,-7126000,11785000,-3479000,-3180000,-6000.00000000373,-694000,7911000,7911000,7911000,13330000,43732000,5672000,0.21953,0.12261,0.07214,0.03854,0.02557,0.91691,4.23886,0.50755,0.18075,0.36949,0.36949,5.12202,9.58581,0.33879,0.03203,0.02643
"27","2017_Q4",67.8504761904762,"Up",86333000,-67708000,18625000,-8154000,-8154000,10471000,-224000,-224000,10247000,21628000,-7491000,14137000,14137000,14137000,13764000,37451000,37451000,89652000,2741000,2508000,136957000,94434000,2626000,2626000,97060000,234017000,30425000,20710000,9715000,368000,30793000,33792000,9995000,3788000,2826000,43787000,74580000,4000,4751000,155175000,-493000,159437000,159437000,234017000,14137000,2887000,-11209000,-211000,5604000,-3697000,18850000,-9313000,-25252000,-798000,-798000,-798000,13358000,34160000,16941000,0.21573,0.12129,0.15943,0.08633,0.05882,1.23082,4.44767,0.46777,0.14597,0.82166,0.82166,5.15374,9.51752,1.01131,0.14283,0.08321
"28","2018_Q1",78.3329508196721,"Up",88193000,-68668000,19525000,-8993000,-8993000,10532000,-250000,-250000,10282000,10282000,2357000,12639000,12639000,12639000,12449000,34347000,34347000,93149000,4162000,2182000,134742000,103051000,2535000,2535000,105586000,240328000,41208000,30037000,11171000,372000,41580000,24182000,5836000,12000,2691000,30018000,71598000,4000,1908000,167129000,-311000,168730000,168730000,240328000,12639000,2867000,-3271000,4789000,17024000,-7425000,-7439000,-9640000,-13614000,-4029000,-4029000,-4029000,13399000,24554000,8406000,0.22139,0.11942,0.14116,0.07378,0.0518,0.67523,3.24055,0.42433,0.10217,0.74186,0.74186,5.25559,10.05471,0.50093,0.06598,0.04222
"29","2018_Q2",86.4759375,"Up",87956000,-69005000,18951000,-8562000,-8562000,10389000,-207000,-207000,10182000,10182000,-1255000,8927000,8927000,8927000,8752000,34532000,34532000,98876000,4119000,3187000,138650000,104002000,2559000,2559000,106561000,245211000,31791000,24630000,7161000,375000,32166000,31860000,5797000,291000,2476000,37657000,69823000,4000,1026000,174682000,-324000,175388000,175388000,245211000,8927000,2929000,1470000,-12447000,879000,-6978000,-7040000,7648000,4200000,-1961000,-1961000,-1961000,13318000,32235000,-4852000,0.21546,0.11812,0.0995,0.0499,0.03569,-0.55439,4.31045,0.39811,0.13146,0.51961,0.51961,5.22203,10.41271,-0.28807,0.04745,-0.02273
"30","2018_Q3",78.4712698412698,"Down",88252000,-68811000,19441000,-8309000,-8309000,11132000,-289000,-289000,10843000,10843000,-3316000,7527000,7527000,7527000,7379000,35758000,35758000,106487000,4336000,2802000,148861000,108836000,2458000,2458000,111294000,260155000,31270000,23333000,7937000,379000,31649000,40082000,6064000,741000,2334000,46146000,77795000,4000,1804000,180835000,-283000,182360000,182360000,260155000,7527000,2897000,1227000,-11287000,364000,-6087000,-6025000,8193000,6818000,1157000,1157000,1157000,14029000,40461000,-29000.0000000009,0.22029,0.12614,0.08361,0.04046,0.02836,-0.00393000000000021,4.7035,0.4266,0.15553,0.43741,0.43741,5.23142,10.80975,-0.00172000000000005,0.03825,-0.000129999999999988
"31","2018_Q4",65.2315873015873,"Down",95031000,-75432000,19599000,-7584000,-7584000,12015000,-334000,-334000,11681000,11681000,-2673000,9008000,9008000,9008000,8840000,49991000,49991000,107346000,3896000,1885000,161233000,109927000,2420000,2420000,112347000,273580000,31450000,22905000,8545000,382000,31832000,44738000,6648000,936000,2799000,51386000,83218000,4000,2158000,188469000,-269000,190362000,190362000,273580000,9008000,2703000,691000,-11986000,416000,-5805000,-5805000,4626000,3109000,-2280000,-2280000,-2280000,14718000,45120000,-4e+05,0.20624,0.12643,0.09302,0.04644,0.03231,-0.04525,5.06512,0.43716,0.16492,0.52394,0.52394,5.63238,11.28231,-0.02371,0.04219,-0.00165
"32","2019_Q1",70.5919672131148,"Up",104850000,-79242000,25608000,-8996000,-8996000,16612000,-338000,-338000,16274000,16274000,-4452000,11822000,11822000,11822000,11605000,38797000,38797000,108769000,2032000,1320000,154623000,120788000,2481000,2481000,123269000,277892000,37077000,25363000,11714000,386000,37463000,31628000,7360000,1677000,3088000,38988000,76451000,4000,2687000,198914000,-164000,201441000,201441000,277892000,11822000,2833000,1376000,15791000,31822000,-12176000,-12176000,-13137000,-14621000,5025000,5025000,5025000,19445000,32014000,27512000,0.24423,0.15844,0.11068,0.05761,0.04176,2.3707,4.12735,0.37952,0.1152,0.68752,0.68752,6.21164,11.93375,1.6299,0.0539,0.11425
"33","2019_Q2",68.2065079365079,"Down",89096000,-72436000,16660000,-8147000,-8147000,8513000,-252000,-252000,8261000,8261000,1459000,9720000,9720000,9720000,9654000,43885000,43885000,111330000,4624000,2263000,159839000,119942000,10319000,10319000,130261000,290100000,30027000,19398000,10629000,390000,30417000,42587000,11977000,1822000,7629000,54564000,84981000,4000,-1655000,206851000,-81000,205119000,205119000,290100000,9720000,2810000,1132000,-17451000,-3789000,-3741000,-4907000,10930000,3671000,-5025000,-5025000,-5025000,11323000,42977000,-11328000,0.18699,0.09555,0.10836,0.04707,0.03328,-1.1734,5.25492,0.4143,0.14815,0.56897,0.56897,5.25094,12.08861,-0.66762,0.04371,-0.04356
"34","2019_Q3",54.43859375,"Down",90501000,-70979000,19522000,-8648000,-8648000,10874000,-321000,-321000,10553000,10553000,-2642000,7911000,7911000,7911000,7860000,41604000,41604000,118007000,7238000,1834000,169011000,119894000,9819000,9819000,129713000,298724000,31725000,20711000,11014000,393000,32118000,42096000,12068000,2224000,7362000,54164000,86282000,4000,-514000,213049000,-97000,212442000,212442000,298724000,7911000,2792000,1544000,-5387999.99999999,6859000,-2451000,-2462000,-521999.999999996,-2235000,2162000,2162000,2162000,13666000,42489000,8469000,0.21571,0.12015,0.08685,0.037,0.02631,1.07748,5.26219,0.40614,0.14223,0.46175,0.46175,5.31668,12.48013,0.49753,0.03585,0.03172
"35","2019_Q4",45.53625,"Down",90685000,-71895000,18790000,-7186000,-7186000,11604000,-364000,-364000,11240000,11240000,-3025000,8215000,8215000,8215000,8161000,40554000,40554000,126193000,4496000,1646000,175640000,122154000,9226000,9226000,131380000,307020000,34728000,24200000,10528000,397000,35125000,40929000,11546000,2629000,6490000,52475000,87600000,4000,-31000,219551000,-104000,219420000,219420000,307020000,8215000,2935000,815000,-2622000,9343000,-4183000,-4195000,-1196000,-2913000,2235000,2235000,2235000,14539000,41326000,10759000,0.2072,0.12796,0.08999,0.03719,0.02658,1.31834,5.00043,0.39923,0.1346,0.47924,0.47924,5.32534,12.88488,0.63181,0.03627,0.03951
