"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",8.09515625,"Up",18001000,-5347000,12654000,-11570000,-9244000,-5286000,-3958000,-1366000,1084000,-299000,-48000,-341000,90000,785000,785000,-314000,471000,471000,471000,471000,19243000,19243000,8607000,8607000,11010000,2744000,2744000,41604000,6184000,4870000,1858000,1786000,188000,1038000,11054000,52658000,3663000,3663000,6001000,5515000,5075000,15179000,346000,4484000,646000,4830000,20009000,163725000,-131981000,905000,32649000,32649000,52658000,471000,486000,1071000,-2460000,-432000,-1218000,-1218000,-1218000,-1218000,-242000,-219000,-1869000,-1869000,-563000,-2432000,1570000,6347000,-1794000,0.70296,0.06022,0.02617,0.01443,0.00894,-3.80892,2.74089,0.61285,0.12053,0.01293,0.01259,0.49417,0.89629,-0.04925,0.01083,-0.04126,-8.21401,-11.89668
"12","2013_Q3",11.75671875,"Up",18164000,-5544000,12620000,-11926000,-9582000,-5659000,-3923000,-1686000,694000,184000,-33000,76999.9999999999,140000,878000,878000,-6e+05,278000,278000,278000,278000,19725000,19725000,10342000,10342000,11123000,2624000,2624000,43814000,6147000,4705000,1689000,1786000,189000,1041000,10852000,54666000,3809000,3809000,5625000,5986000,5546000,15420000,276000,4309000,386000,4585000,20005000,165693000,-131703000,671000,34661000,34661000,54666000,278000,579000,1277000,-1346000,788000,-799000,-799000,-799000,-799000,-236000,693000,682000,682000,-2e+05,482000.000000001,1273000,5901000,-272000,0.69478,0.03821,0.0153,0.00802000000000001,0.00509,-0.978420000000001,2.84137,0.57716,0.10795,0.00762,0.00725,0.4977,0.94972,-0.00745,0.00619999999999999,-0.00606,-10.85939,-19.91931
"13","2013_Q4",13.3759375,"Up",17106000,-5048000,12058000,-11885000,-9666000,-5526000,-4140000,-1684000,173000,326000,-30000,226000,130000,499000,499000,26000,525000,525000,525000,525000,23351000,23351000,9467000,9467000,11880000,3186000,2703000,47884000,6512000,5141000,1567000,1786000,732000,1056000,11653000,59537000,4536000,4536000,5443000,6491000,6052000,16470000,211000,5035000,374000,5246000,21716000,168426000,-131179000,574000,37821000,37821000,59537000,525000,594000,782000,1171000,3072000,-967000,-967000,-967000,-967000,-197000,1574000,3679000,3679000,-53000,3626000,767000,5654000,945000,0.7049,0.01011,0.03069,0.01388,0.00882,1.8,2.90735,0.57418,0.09497,0.01429,0.01336,0.46547,1.02914,0.02571,0.01082,0.01948,-23.07301,-102.2948
"14","2014_Q1",16.1098360655738,"Up",18944000,-5967000,12977000,-14228000,-12167000,-7417000,-4750000,-1972000,-1251000,203000,3.63797880709171e-12,77000,126000,-1048000,-1048000,172000,-876000,-876000,-876000,-876000,22954000,22954000,10731000,10731000,12514000,3876000,3503000,50075000,7405000,4451000,1380000,1786000,626000,659000,11856000,61931000,6263000,6263000,5038000,7111000,6372000,18412000,141000,4526000,157000,4667000,23079000,170625000,-132055000,282000,38852000,38852000,61931000,-876000,492000,2061000,-1750000,-72999.9999999995,-464000,-464000,-464000,-464000,-166000,397000,-140000,-140000,-257000,-397000,-759000,5179000,-3145000,0.68502,-0.06604,-0.04624,-0.02255,-0.01414,3.59018,2.71969,0.59402,0.08363,-0.02358,-0.02224,0.50992,1.04579,-0.08465,-0.01804,-0.06477,23.41897,14.20863
"15","2014_Q2",16.4515873015873,"Up",20178000,-6294000,13884000,-15226000,-11534000,-6138000,-5396000,-3484000,-1342000,202000,-24000,66000,160000,-1140000,-1140000,-219000,-1359000,-1359000,-1359000,-1359000,21070000,21070000,11101000,11101000,13785000,5147000,4770000,51103000,8832000,4373000,1288000,1786000,631000,668000,13205000,64308000,6161000,6161000,5065000,7117000,6379000,18343000,119000,4588000,130000,4707000,23050000,174388000,-133414000,284000,41258000,41258000,64308000,-1359000,559000,1514000,-3308000,-2594000,-1414000,-1414000,-1414000,-1414000,-46000,2142000,-1866000,-1866000,-18000,-1884000,-783000,5184000,-5286000,0.68808,-0.06651,-0.06735,-0.03294,-0.02113,3.88962,2.78597,0.55868,0.08061,-0.03596,-0.03596,0.53389,1.09165,-0.13986,-0.02663,-0.10359,20.28863,11.83756
"16","2014_Q3",11.88734375,"Down",20048000,-6381000,13667000,-15057000,-12434000,-7026000,-5408000,-2497000,-1390000,-32000,-25000,-134000,127000,-1422000,-1422000,-367000,-1789000,-1789000,-1789000,-1789000,19186000,19186000,12700000,12700000,14932000,3923000,3539000,50741000,9320000,4311000,1206000,1786000,647000,672000,13631000,64372000,5269000,5269000,5345000,6571000,5833000,17185000,629000,4727000,134000,5356000,22541000,176588000,-135203000,446000,41831000,41831000,64372000,-1789000,635000,1810000,-2126000,-1470000,-787000,-855000,-855000,-787000,-205000,239000,-2018000,-2018000,134000,-1884000,-755000,5974000,-3301000,0.68171,-0.06933,-0.08924,-0.04277,-0.02779,1.84516,2.95263,0.53886,0.0928,-0.04687,-0.04687,0.52526,1.09597,-0.08649,-0.03406,-0.06284,17.49934,9.50503999999999
"17","2014_Q4",9.67625,"Down",18188000,-6320000,11868000,-13422000,-10285000,-7025000,-3260000,-3137000,-1554000,-604000,-27000,-628000,51000,-2158000,-2158000,-548000,-2706000,-2706000,-2706000,-2706000,18359000,18359000,11666000,11666000,15731000,3654000,3293000,49410000,9339000,4045000,1033000,1786000,586000,640000,13384000,62794000,6259000,6259000,5019000,5727000,4989000,17005000,538000,4608000,127000,5146000,22151000,178433000,-137909000,119000,40643000,40643000,62794000,-2706000,643000,1766000,-67000,-364000,-248000,-248000,-248000,-248000,-121000,40000,-572000,-572000,-255000,-827000,-911000,5557000,-678000,0.65252,-0.08544,-0.14878,-0.06658,-0.04309,0.25055,2.90562,0.54501,0.0885,-0.07053,-0.07053,0.47403,1.05927,-0.01767,-0.05326,-0.01334,14.05269,8.2381
"18","2015_Q1",7.31311475409836,"Down",16573000,-7169000,9404000,-13145000,-9913000,-5690000,-4223000,-3245000,-3741000,-184000,-27000,-2e+05,43000,-3925000,-3925000,1387000,-2538000,-2538000,-2538000,-2538000,13013000,13013000,11054000,11054000,15717000,5113000,4517000,44897000,10066000,3948000,870000,1786000,695000,597000,14014000,58911000,6620000,6620000,4549000,5202000,4901000,16371000,468000,4973000,190000,5441000,21812000,178616000,-140447000,-1070000,37099000,37099000,58911000,-2538000,623000,-892000,-716000,-3523000,-1605000,-1537000,-1537000,-1605000,-118000,111000,-5017000,-5017000,-329000,-5346000,-3118000,5017000,-6826000,0.56743,-0.22573,-0.15314,-0.06841,-0.04308,2.68952,2.74247,0.58794,0.08516,-0.06673,-0.06673,0.43575,0.97544,-0.17948,-0.0539,-0.14496,2.56446,2.1374
"19","2015_Q2",9.27349206349206,"Up",18858000,-5959000,12899000,-14409000,-10830000,-5668000,-5162000,-3579000,-1510000,-858000,-36000,-892000,70000,-2368000,-2368000,28000,-2340000,-2340000,-2340000,-2340000,10809000,10809000,11035000,11035000,15273000,5871000,5271000,42988000,9923000,3898000,824000,1786000,698000,590000,13821000,56809000,4943000,4943000,4520000,5585000,5284000,15048000,411000,5001000,117000,5412000,20460000,180153000,-142787000,-1017000,36349000,36349000,56809000,-2340000,549000,1025000,-1443000,-2209000,-326000,-328000,-328000,-326000,-115000,306000,-2229000,-2229000,25000,-2204000,-961000,4931000,-2758000,0.68401,-0.08007,-0.12409,-0.06438,-0.04119,1.17863,2.85673,0.56288,0.0868,-0.06081,-0.06081,0.49006,0.9446,-0.07167,-0.05056,-0.05959,6.11655,3.89272
"20","2015_Q3",8.2309375,"Down",18656000,-6295000,12361000,-14103000,-10566000,-5832000,-4734000,-3537000,-1742000,298000,17000,181000,1e+05,-1444000,-1444000,-154000,-1598000,-1598000,-1598000,-1598000,15335000,15335000,12478000,12478000,14153000,4599000,4017000,46565000,9931000,3801000,750000,1786000,685000,580000,13732000,60297000,4761000,4761000,4404000,5881000,5580000,15046000,305000,5154000,201000,5459000,20505000,185388000,-144385000,-1211000,39792000,39792000,60297000,-1598000,550000,1101000,751000,804000,-373000,-373000,-373000,-373000,-95000,4180000,4611000,4611000,-85000,4526000,-1192000,4709000,-660000,0.66258,-0.09337,-0.08566,-0.04016,-0.0265,0.41302,3.09484,0.5153,0.0781,-0.04091,-0.04091,0.47766,1.01882,-0.0169,-0.03218,-0.01329,8.91443,6.09989
"21","2015_Q4",8.1034375,"Down",18750000,-5952000,12798000,-14820000,-11136000,-6284000,-4852000,-3684000,-2022000,258000,-28000,19000,267000,-1764000,-1764000,12000,-1752000,-1752000,-1752000,-1752000,16081000,16081000,12776000,12776000,14622000,4606000,4008000,48085000,9944000,3881000,719000,1786000,759000,617000,13825000,61910000,5790000,5790000,4504000,6581000,6280000,16875000,224000,5272000,204000,5496000,22371000,186693000,-146137000,-1017000,39539000,39539000,61910000,-1752000,618000,940000,1282000,1088000,-582000,-582000,-582000,-582000,-96000,157000,663000,663000,83000,746000,-1404000,4728000,-716000,0.68256,-0.10784,-0.09344,-0.04431,-0.0283,0.40868,2.84948,0.5658,0.07637,-0.04306,-0.04306,0.46081,0.97174,-0.0176,-0.03537,-0.01445,8.08618,5.61474
"22","2016_Q1",6.77098360655738,"Down",20859000,-6194000,14665000,-14728000,-10767000,-5911000,-4856000,-3961000,-63000.0000000005,34000,-31000,-257000,322000,-29000,-29000,-814000,-843000,-843000,-843000,-843000,13402000,13402000,15675000,15675000,15921000,4075000,3636000,49073000,10095000,3786000,666000,1786000,717000,617000,13881000,62954000,6691000,6691000,4521000,6675000,6305000,17887000,204000,6017000,243000,6221000,24108000,187406000,-146980000,-1580000,38846000,38846000,62954000,-843000,684000,1246000,-2932000,-1845000,-762000,-762000,-762000,-762000,-85000,-64000.0000000005,-2671000,-2671000,-8000.00000000003,-2679000,621000,4725000,-2259000,0.70305,-0.00302000000000004,-0.04041,-0.0217,-0.01339,2.67972,2.7435,0.6206,0.07505,-0.02172,-0.02172,0.53742,1.00085,-0.0582,-0.017,-0.04556,-13.97262,137.73016
"23","2016_Q2",6.46015625,"Down",19269000,-6276000,12993000,-23046000,-16140000,-7675000,-8465000,-6906000,-10053000,408000,-28000,458000,-22000,-9645000,-9645000,1604000,-8041000,-8041000,-8041000,-8041000,8968000,8968000,16227000,16227000,16019000,5026000,4558000,46240000,10982000,4658000,658000,1786000,1568000,646000,15640000,61880000,6852000,6852000,4825000,6325000,5955000,18002000,118000,5429000,279000,5547000,23549000,194412000,-155021000,-1060000,38331000,38331000,61880000,-8041000,645000,5915000,-1498000,-2979000,-1006000,-1006000,-1006000,-1006000,-92000,-696000,-4681000,-4681000,247000,-4434000,-9408000,4943000,-13516000,0.6743,-0.52172,-0.4173,-0.20978,-0.12995,1.68089,2.5686,0.61436,0.07988,-0.20111,-0.20111,0.48193,0.95868,-0.33804,-0.1651,-0.27752,0.42783,0.40038
"24","2016_Q3",8.0328125,"Up",20974000,-6348000,14626000,-16768000,-12109000,-7181000,-4928000,-4659000,-2142000,-132000,-29000,-416000,313000,-2274000,-2274000,131000,-2143000,-2143000,-2143000,-2143000,12688000,12688000,16112000,16112000,15692000,4448000,3938000,48940000,11424000,4937000,659000,1786000,1664000,828000,16361000,65301000,8725000,8725000,5212000,6448000,6078000,20385000,1384000,5545000,299000,6929000,27314000,195477000,-157164000,-326000,37987000,37987000,65301000,-2143000,703000,367000.000000001,3584000,2511000,-985000,-985000,-985000,-985000,-92000,1792000,3318000,3318000,402000,3720000,-1439000,6596000,1029000,0.69734,-0.10213,-0.10217,-0.05641,-0.03282,-0.48017,2.40078,0.71904,0.10101,-0.0533,-0.0533,0.52161,0.94472,0.02559,-0.04275,0.02053,4.2335,2.84407000000002
"25","2016_Q4",10.1706349206349,"Up",20052000,-5180000,14872000,-16588000,-12135000,-7150000,-4985000,-4453000,-1716000,9000,-28000,-29000,66000,-1707000,-1707000,-71000,-1778000,-1778000,-1778000,-1778000,14284000,14284000,14372000,14372000,15895000,5167000,4649000,49718000,11718000,4898000,607000,1786000,1670000,835000,16616000,66334000,7973000,7973000,5339000,7938000,7568000,21250000,1676000,5678000,293000,7354000,28604000,196817000,-158942000,-145000,37730000,37730000,66334000,-1778000,756000,609000,1802000,1389000,-718000,-718000,-718000,-718000,-118000,797000,1468000,1468000,128000,1596000,-960000,7015000,195000,0.74167,-0.08558,-0.08867,-0.04712,-0.0268,-0.10967,2.33967,0.75812,0.10575,-0.04392,-0.04392,0.49528,0.93193,0.00482,-0.03526,0.00387,7.57188,4.23601
"26","2017_Q1",9.97709677419355,"Down",22137000,-6259000,15878000,-14622000,-9972000,-6679000,-3293000,-4650000,1256000,-74000,-27000,-160000,113000,1182000,1182000,-1349000,-167000,-167000,-167000,-167000,13999000,13999000,16344000,16344000,14825000,4349000,4349000,49517000,11790000,4170000,473000,1786000,1139000,772000,15960000,65477000,8311000,8311000,5481000,7275000,7275000,21067000,1339000,5166000,254000,6505000,27572000,198064000,-159109000,-1050000,37905000,37905000,65477000,-167000,788000,1221000,-1714000,128000,-496000,-496000,-496000,-496000,-122000,1060000,692000,692000,-977000,-285000,2044000,6820000,1183000,0.71726,0.05674,-0.00753999999999999,-0.00440999999999999,-0.00254999999999999,-7.08383,2.35045,0.7274,0.10416,-0.00411,-0.00411,0.54475,0.93277,0.02911,-0.00335,0.02371,-3.51223,-5.71576
"27","2017_Q2",9.78095238095238,"Down",20350000,-5773000,14577000,-16661000,-11878000,-6530000,-5348000,-4783000,-2084000,22000,-28000,-86000,136000,-2062000,-2062000,-141000,-2203000,-2203000,-2203000,-2203000,13500000,13500000,15621000,15621000,14646000,5280000,5280000,49047000,12114000,4278000,439000,1786000,1105000,948000,16392000,65439000,7602000,7602000,5768000,8425000,8425000,21795000,1425000,5257000,262000,6682000,28477000,199005000,-161312000,-731000,36962000,36962000,65439000,-2203000,810000,801000,-1e+05,-692000,-246000,-246000,-246000,-246000,-301000,79000,-859000,-859000,360000,-499000,-1274000,7193000,-1479000,0.71631,-0.10241,-0.10826,-0.0596,-0.03366,0.67136,2.25038,0.77044,0.10992,-0.05406,-0.05406,0.4994,0.90707,-0.0363,-0.04458,-0.02993,4.95055,3.02639
"28","2017_Q3",11.1507936507937,"Up",21936000,-6462000,15474000,-16805000,-11764000,-7448000,-4316000,-5041000,-1331000,506000,-33000,380000,159000,-824999.999999999,-824999.999999999,-146000,-971000,-971000,-971000,-971000,13438000,13438000,16426000,16426000,13458000,4474000,4474000,47796000,11619000,4221000,383000,1786000,1104000,948000,15840000,63636000,6917000,6917000,5712000,6353000,6353000,18982000,1128000,5233000,264000,6361000,25343000,201332000,-162283000,-756000,38293000,38293000,63636000,-971000,848000,682000,-1230000,-671000,-378000,-378000,-378000,-378000,-360000,989000,-60000,-60000,-1000.00000000047,-60999.9999999999,-483000,6840000,-1945000,0.70542,-0.06068,-0.04427,-0.02536,-0.01526,2.00309,2.51796,0.66182,0.10749,-0.02372,-0.02372,0.5359,0.9355,-0.04752,-0.01928,-0.03862,13.66046,4.95718
"29","2017_Q4",14.8587301587302,"Up",23473000,-6624000,16849000,-15805000,-11211000,-6495000,-4716000,-4594000,1044000,539000,-27000,444000,122000,1583000,1583000,-410000,1173000,1173000,1173000,1173000,16133000,16133000,16237000,16237000,13274000,11936000,4936000,57580000,10999000,4124000,326000,1786000,1043000,969000,15123000,72703000,5734000,5734000,5711000,14253000,14253000,25698000,834000,5509000,387000,6343000,32041000,202560000,-161110000,-788000,40662000,40662000,72703000,1173000,852000,1169000,-90000,3104000,-345000,-345000,-345000,-345000,-323000,-10000,2749000,2749000,-54000,2695000,1896000,6545000,1871000,0.7178,0.04448,0.04997,0.02885,0.01613,1.59506,2.24064,0.78798,0.09002,0.02853,0.02786,0.57098,0.9891,0.04551,0.02225,0.03549,-5.05696,-9.18391
