"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",30.2285714285714,"Down",1094600000,-6.9e+08,404600000,-286200000,-2.46e+08,-16400000,-23800000,118400000,-56900000,-35600000,-21300000,61500000,-9400000,-9500000,-18900000,-18900000,-1900000,-20800000,-20800000,482100000,482100000,961400000,580100000,71400000,68500000,2900000,2.095e+09,1370700000,3191400000,1436500000,1219300000,535600000,4562100000,6657100000,946100000,489900000,456200000,35500000,981600000,3823400000,460600000,262900000,164500000,33200000,4.284e+09,5265600000,1567800000,-14800000,-278500000,1266200000,125300000,1391500000,6657100000,-18900000,84900000,9.1e+07,-58200000,98800000,-25100000,-4400000,-505900000,453200000,-4200000,-7100000,441900000,34800000,34800000,8200000,4.3e+07,203300000,3858900000,129500000,0.36963,0.10817,-0.019,-0.01495,-0.00312,-6.22596,2.13427,3.78412,0.57967,-0.08634,-0.08634,4.54379,5.25612,0.53757,-0.00364,0.02268,16.60994,28.52027
"12","2017_Q4",31.6715873015873,"Up",1096300000,-702500000,393800000,-289900000,-246500000,-16600000,-26800000,103900000,-45500000,-37700000,-7800000,58400000,58400000,-2100000,56300000,56300000,-1400000,54900000,54900000,588900000,588900000,8.89e+08,624400000,71800000,68700000,3100000,2174100000,1386100000,3252400000,1445900000,1258300000,548200000,4638500000,6812600000,992600000,545100000,447500000,37800000,1030400000,3865200000,482700000,288100000,162100000,32500000,4347900000,5378300000,1.584e+09,40100000,-256300000,1309400000,124900000,1434300000,6812600000,56300000,88600000,12400000,5.5e+07,212300000,-29800000,4400000,-51400000,-8899999.99999994,-43100000,-4600000,-56600000,104300000,104300000,2700000,1.07e+08,192500000,3.903e+09,219800000,0.35921,0.09477,0.05008,0.03828,0.00806,4.00364,2.10996,3.74977,0.57291,0.22808,0.22335,4.55463,5.43997,0.91317,0.00943,0.03777,17.2161,31.89702
"13","2018_Q1",31.2549180327869,"Down",1172400000,-746600000,425800000,-394800000,-217600000,-16700000,-28900000,3.1e+07,-37100000,-37900000,8e+05,-6100000,64800000,-120400000,-55600000,-55600000,-5900000,-61500000,-61500000,769800000,769800000,870200000,608600000,6.7e+07,63900000,3100000,2315600000,1388600000,3.128e+09,1428200000,1271200000,428600000,4516600000,6832200000,1044500000,554900000,489600000,37700000,1082200000,3877900000,464300000,279100000,152900000,32300000,4342200000,5424400000,1596900000,-21400000,-2.41e+08,1276100000,131700000,1407800000,6832200000,-55600000,91600000,1.19e+08,78600000,233600000,-37800000,0,-42900000,-17500000,4900000,-8e+05,-13400000,177300000,177300000,3600000,180900000,122600000,3915600000,283800000,0.36319,0.02644,-0.05246,-0.04369,-0.009,-4.61463,2.13972,3.8531,0.57311,-0.25604,-0.24444,4.88093,5.31266,1.18152,-0.01063,0.04904,25.65905,101.47742
"14","2018_Q2",31.359375,"Up",1.172e+09,-7.76e+08,3.96e+08,-2.76e+08,-227800000,-19300000,-28900000,1.2e+08,-37200000,-39400000,2200000,82800000,82800000,-11800000,7.1e+07,7.1e+07,-1100000,69900000,69900000,600400000,600400000,940900000,641800000,119800000,116900000,2900000,2302900000,1407800000,3236700000,1484200000,1304400000,448100000,4644500000,6947400000,977700000,5.7e+08,407700000,41800000,1019500000,3919500000,4.84e+08,286200000,167100000,30700000,4403500000,5.423e+09,1614400000,61400000,-192700000,1421400000,1.03e+08,1524400000,6947400000,7.1e+07,91900000,-1200000,-182700000,-2.1e+07,-39500000,-26900000,-144600000,-16200000,2899999.99999999,-1e+06,-14300000,-179900000,-179900000,10300000,-169600000,211900000,3961300000,1500000,0.33788,0.10239,0.05964,0.04585,0.01006,0.0214600000000003,2.25885,3.55747,0.57018,0.29016,0.28438,4.86509,5.90037,0.00622999999999974,0.01171,0.00025,15.86078,28.0075
"15","2018_Q3",29.9960317460317,"Down",1212200000,-793800000,418400000,-271900000,-224600000,-1.8e+07,-29300000,146500000,-47400000,-39300000,-8100000,99100000,99100000,-2.2e+07,77100000,77100000,-2200000,74900000,74900000,551100000,551100000,974500000,599900000,132200000,129500000,2700000,2257700000,1340300000,3098200000,1409100000,1241600000,447500000,4438500000,6696200000,9.54e+08,537700000,416300000,39900000,993900000,3842200000,454200000,267700000,155900000,30600000,4296400000,5290300000,1.629e+09,136300000,-299600000,1303500000,102400000,1405900000,6696200000,77100000,90200000,45200000,-70500000,1.42e+08,-35100000,5300000,-29800000,-36400000,-96200000,-10400000,-1.43e+08,-30800000,-30800000,-18700000,-49500000,236700000,3882100000,153100000,0.34516,0.12085,0.06179,0.05328,0.01119,2.04406,2.27156,3.76293,0.57975,0.31169,0.30621,5.04453,5.42447,0.63712,0.01304,0.02666,14.07267,22.7372
"16","2018_Q4",24.841746031746,"Down",1.146e+09,-759100000,386900000,-339100000,-293400000,-1.7e+07,-28700000,47800000,-45300000,-39800000,-5500000,2500000.00000001,2500000,-14100000,-11600000,-11600000,-1500000,-13100000,-13100000,588100000,588100000,958200000,618600000,131300000,128500000,2800000,2296200000,1.325e+09,3139600000,1388100000,1.248e+09,503500000,4464600000,6760800000,988800000,533500000,455300000,42500000,1031300000,3.852e+09,531400000,2.71e+08,149300000,111100000,4383400000,5414700000,1644500000,123200000,-312400000,1243400000,102700000,1346100000,6760800000,-11600000,92800000,8199999.99999999,4.1e+07,130400000,-34900000,5800000,-30100000,-17400000,-37300000,-6400000,-61100000,39200000,39200000,-2100000,37100000,140600000,3894500000,160800000,0.33761,0.04171,-0.01143,-0.00973,-0.00194,-12.27481,2.22651,4.02251,0.57604,-0.05488,-0.05488,4.80101,5.20905,0.67365,-0.00227,0.02786,23.51636,69.17155
"17","2019_Q1",25.7454098360656,"Up",1165800000,-777400000,388400000,-260600000,-130600000,-18800000,-28500000,127800000,-44700000,-41100000,-3600000,83100000,83100000,-6300000,76800000,76800000,-1400000,75400000,75400000,693600000,693600000,860800000,6.13e+08,142200000,139400000,2800000,2309600000,1298200000,3067900000,1.348e+09,1230800000,489100000,4366100000,6675700000,998400000,522800000,475600000,42200000,1040600000,3821800000,502800000,261900000,140800000,100100000,4324600000,5365200000,1654800000,198600000,-336100000,1205100000,105400000,1310500000,6675700000,76800000,94200000,15700000,5.8e+07,244700000,-33900000,52800000,15300000,-17100000,-123200000,-9500000,-149800000,110200000,110200000,-4700000,105500000,2.22e+08,3.864e+09,252400000,0.33316,0.10962,0.06468,0.05754,0.01129,3.34748,2.21949,4.09401,0.57882,0.31936,0.31093,4.93774,5.10419,1.06904,0.01328,0.04446,14.28108,24.80751
"18","2019_Q2",26.5066666666667,"Up",1119300000,-751300000,3.68e+08,-269400000,-215600000,-18200000,-28500000,98600000,-40300000,-41300000,1e+06,58300000,58300000,-14200000,44100000,44100000,-7e+05,43400000,43400000,501100000,501100000,920500000,626800000,213200000,210400000,2800000,2261600000,1274400000,3137400000,1310800000,1216100000,610500000,4411800000,6673400000,9.78e+08,530900000,447100000,43500000,1021500000,3.809e+09,563300000,257600000,138500000,167200000,4372300000,5393800000,1678600000,241300000,-335700000,1206200000,73400000,1279600000,6673400000,44100000,91600000,11600000,-205200000,-57900000,-20500000,3399999.99999999,-18800000,-18600000,-54300000,-28900000,-101800000,-178500000,-178500000,8e+05,-177700000,190200000,3852500000,-21300000,0.32878,0.08809,0.03877,0.03392,0.0065,-0.49078,2.214,4.21522,0.57729,0.18539,0.18343,4.78129,5.1525,-0.0909899999999997,0.00762,-0.00374000000000001,17.6204,33.98986
"19","2019_Q3",29.505625,"Up",1157500000,-748400000,409100000,-251200000,-202400000,-17900000,-28400000,157900000,-40100000,-4.1e+07,9e+05,117800000,117800000,-17900000,99900000,99900000,-1500000,98400000,98400000,577300000,577300000,980600000,610900000,143300000,1.36e+08,7300000,2312100000,1259100000,3121700000,1287300000,1220500000,613900000,4380800000,6692900000,953100000,508400000,444700000,43700000,996800000,3812400000,576600000,2.59e+08,133600000,1.84e+08,4.389e+09,5385800000,1.69e+09,3.36e+08,-3.56e+08,1252500000,54600000,1307100000,6692900000,99900000,88700000,-4400000,-57500000,126700000,-26700000,3800000,-14900000,-15600000,-25100000,-5400000,-46100000,65700000,65700000,2e+05,65900000,246600000,3856100000,180300000,0.35343,0.13641,0.08501,0.07528,0.0147,1.83232,2.31952,4.12042,0.57615,0.42177,0.41801,4.96142,5.36862,0.77282,0.01714,0.03141,13.29603,20.76504
"20","2019_Q4",29.47984375,"Down",1.107e+09,-707400000,399600000,-276600000,-199200000,-17400000,-28200000,1.23e+08,-38300000,-40200000,1900000,84700000,84700000,-18300000,66400000,66400000,-9e+05,65500000,65500000,767200000,767200000,935700000,597300000,132900000,1.3e+08,2900000,2433100000,1216700000,3040200000,1.236e+09,1183700000,620500000,4256900000,6.69e+09,992500000,495300000,497200000,42400000,1034900000,3772300000,543100000,248600000,115800000,178700000,4315400000,5350300000,1713500000,401500000,-411800000,1285700000,5.4e+07,1339700000,6.69e+09,66400000,8.7e+07,-6e+06,73600000,2.21e+08,-26700000,1600000,-25300001,-15300000,-25900000,44100000,2900000,198599999,198599999,-13100000,185499999,2.1e+08,3814700000,275200000,0.36098,0.11111,0.05917,0.04889,0.00979,4.20153,2.35105,3.99366,0.57021,0.27991,0.27825,4.73077,5.49444,1.17607,0.0115,0.0483,14.5119,24.77642
"21","2020_Q1",25.583064516129,"Down",1098400000,-710800000,387600000,-278900000,-204900000,-16700000,-2.8e+07,108700000,-39500000,-40100000,6e+05,69200000,69200000,-2.7e+07,42200000,42200000,-5e+05,41700000,41700000,1017500000,1017500000,830100000,591600000,134199999,131199999,3e+06,2573399999,1.223e+09,3021600000,1223900000,1208900000,588800000,4244600000,6817999999,1.029e+09,483700000,545300000,43900000,1072900000,3790200000,545300000,285200000,115500000,144600000,4335500000,5408400000,1.724e+09,443200000,-395500000,1354200000,55400000,1409600000,6.818e+09,42200000,85700000,51400000,1.04e+08,283300000,-38600000,13100000,-34899999,-17600000,0,4200000,-13400000,235000001,235000001,15400000,250400001,194400000,3834100000,286800000,0.35288,0.09896,0.03796,0.02958,0.00612,6.8777,2.39855,3.83683,0.56235,0.17805,0.17684,4.69001,5.78224,1.22459,0.0072,0.04954,14.48868,25.91168
"22","2020_Q2",20.455873015873,"Down",983500000,-646800000,336700000,-271600000,-195400000,-16600000,-2.8e+07,65100000,-37300000,-36500000,-8e+05,27800000,27800000,24600000,52400000,52400000,-2e+05,52200000,52200000,657200000,657200000,777600000,596100000,158400000,155600000,2800000,2189300000,1163100000,3038300000,1179100000,1197300000,661900000,4201400000,6390700000,9.67e+08,489800000,477200000,40200000,1007200000,3479500000,563200000,275400000,108600000,179200000,4042700000,5049900000,1728500000,493900000,-513900000,1.291e+09,49800000,1340800000,6390700000,52400000,86600000,-37400000,-102400000,-8e+05,-22700000,4100000,-18600000,-317800000,4920853.9837432,-3500000,-321300000,-340700000,-340700000,-19800000,-360500000,151700000,3519700000,2e+06,0.34235,0.06619,0.05308,0.03893,0.00817,0.038310000000001,2.17365,3.76633,0.55075,0.22222,0.22128,4.18689,5.49596,0.00851000000000024,0.00962,0.000370000000000002,18.86948,43.97081
"23","2020_Q3",23.1746875,"Up",652700000,-499200000,153500000,-2.18e+08,-154200000,-11200000,-27900000,-64500000,-33900000,-36100000,2200000,-98400000,-98400000,15200000,-83200000,-83200000,4e+05,-82800000,-82800000,1123600000,1123600000,6.64e+08,539300000,153300000,150400000,2900000,2480200000,1158200000,3030200000,1158100000,1209300000,662800000,4188400000,6668600000,819600000,331900000,487700000,41300000,860900000,3.98e+09,569100000,278300000,108700000,182100000,4549100000,5.41e+09,1.73e+09,411100000,-509600000,1213100000,45500000,1258600000,6668600000,-83200000,76600000,899999,4e+06,-1700001,-19700000,4e+06,-15700000,486100000,-900000.000000007,-4800000,480400000,462999999,462999999,3500000,466499999,12100000,4021300000,-18800000,0.23518,-0.09882,-0.12686,-0.06579,-0.01242,0.22705,2.88094,4.29843,0.60302,-0.35189,-0.35339,2.77391,5.15555,-0.0799,-0.01416,-0.00321,239.47934,-44.92558
"24","2020_Q4",27.2396875,"Up",1026900000,-634100000,392800000,-251100000,-166500000,-13400000,-28600000,141700000,-42100000,-39800000,-2300000,99600000,99600000,-17100000,82499999.9999999,82499999.9999999,0,82500000,82500000,1341300000,1341300000,824200000,536700000,148100000,145200000,2900000,2850300000,1165200000,3.021e+09,1148600000,1245800000,626600000,4186200000,7036500000,1016500000,482900000,533600000,48700000,1065200000,4010900000,575700000,2.84e+08,108500000,183200000,4586600000,5651800000,1734700000,493600000,-470200000,1339700000,4.5e+07,1384700000,7036500000,82500000,80400000,12300001,58200000,233400001,-13800000,8800000,-5e+06,-16800000,0,-5500000,-22300000.0000001,206100001,206100001,11600000,217700001,222100000,4059600000,283600000,0.38251,0.13799,0.08034,0.05958,0.01172,3.43758,2.67584,4.08161,0.57693,0.35091,0.34737,4.36793,5.69843,1.2063,0.0137,0.04711,12.23908,19.18349
"25","2021_Q1",28.6445901639344,"Up",1074500000,-677800000,396700000,-233500000,-178900000,-1.4e+07,-28700000,163200000,-7e+07,-37500000,-32500000,93200000,93200000,-22900000,70300000,70300000,-6e+05,69700000,69700000,1360900000,1360900000,869800000,559900000,135299999,132199999,3100000,2925899999,1194500000,3036800000,1148800000,1294900000,593100000,4231300000,7157199999,1126700000,564400000,562300000,54200000,1180900000,3838500000,6.58e+08,309900000,1.14e+08,234100000,4496500000,5677400000,1.738e+09,563300000,-424800000,1.433e+09,46800000,1479800000,7157200000,70300000,76700000,32900000,98500000,278400000,-25700000,4500000,-22200000,-213600000,-25100000,-2.9e+07,-267700000,-11500000,-11500000,4700000,-6800000,239900000,3892700000,335600000,0.36919,0.15188,0.06487,0.0471,0.00974,4.81492,2.47769,3.8366,0.54389,0.29597,0.29496,4.56263,6.08493,1.42505,0.01156,0.05565,10.55356,15.51348
"26","2021_Q2",31.6587301587302,"Up",1063599999,-684500000,379099999,-326500000,-179100000,-15600000,-2.9e+07,52599999,-33100000,-33500000,4e+05,19499999,19499999,-3800000,15699999,15699999,-5e+05,15199999,15199999,1266900000,1266900000,902300000,582200000,139400000,136500000,2900000,2890800000,1163600000,2966400000,1098400000,1257200000,610800000,4.13e+09,7020800000,1140200000,5.65e+08,575200000,49900000,1190100000,3810100000,614800000,294200000,108200000,212400000,4424900000,5.615e+09,1741700000,578500000,-453600000,1359400000,46400000,1405800000,7020800000,15700000,76400000,-5999999.99999999,-46500000,39600000,-31800000,4e+06,-27800000,-26700000,-63700000,-2100000,-92500000,-80700000,-80700000,-13500000,-94200000,128999999,3.86e+09,54499999,0.35643,0.04945,0.01429,0.01081,0.00216,3.58553,2.42904,3.99417,0.54979,0.06499,0.06476,4.54724,5.81189,0.23301,0.00258,0.00927,20.10155,49.29848
