"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",0.51,"Down",8651000,-2228000,6423000,-6131000,-2445000,-3674000,292000,7000,299000,299000,-12000,287000,287000,287000,283000,5173000,5173000,888000,406000,406000,6646000,123000,2250000,486000,2373000,9019000,4748000,1811000,2915000,1992000,1136000,856000,6740000,92000,92000,1.4210854715202e-14,92000,6832000,80614000,-78421000,-130000,2187000,2187000,9019000,287000,12000,30000,689000,1018000,-14000,-14000,-12000,992000,992000,-26000,966000,304000,0,991000,0.74246,0.03375,0.03271,0.1294,0.03138,3.50177,0.98605,3.12391,0,0.02557,0.02516,0.78155,0.18638,0.08953,0.12418,0.43484,-17.01645,-17.71575
"12","2013_Q3",0.70296875,"Up",10598000,-2570000,8028000,-7080000,-2609000,-4443000,948000,-28000,920000,920000,-16000,904000,904000,904000,9e+05,6695000,6695000,1031000,515000,515000,8413000,136000,2236000,472000,2372000,10785000,5488000,1626000,3825000,2099000,1120000,979000,7587000,92000,92000,0,92000,7679000,80640000,-77517000,-128000,3106000,3106000,10785000,904000,28000,23000,605000,1560000,-43000,-43000,-9000,1508000,1508000,14000,1522000,976000,0,1554000,0.7575,0.08945,0.08492,0.28976,0.08345,1.72667,1.10887,2.47231,0,0.08086,0.07987,0.95212,0.26907,0.13961,0.28143,0.48593,-6.85963,-7.06224
"13","2013_Q4",1.378125,"Up",14177000,-3362000,10815000,-9488000,-3216000,-6259000,1327000,15000,1342000,1342000,-21000,1321000,1321000,1321000,1317000,9131000,9131000,1201000,557000,557000,11182000,125000,2385000,621000,2510000,13692000,6800000,2068000,4674000,2332000,1539000,793000,9132000,92000,92000,4.54747350886464e-13,92000,9224000,80658000,-76196000,-105000,4468000,4468000,13692000,1321000,13000,29000,1162000,2525000,0,-82000,-11000,2432000,2432000,4000,2436000,1340000,0,2523000,0.76286,0.0936,0.0929,0.29476,0.09619,1.91572,1.22449,2.06446,0,0.11779,0.11643,1.26795,0.38968,0.22565,0.28882,0.55329,-6.81418,-6.88093
"14","2014_Q1",2.08327868852459,"Up",19101000,-4391000,14710000,-13054000,-3364000,-9677000,1656000,-26000,1630000,1630000,-53000,1577000,1577000,1577000,1574000,14550000,14550000,1828000,658000,658000,17170000,265000,2392000,628000,2657000,19827000,10191000,3058000,7108000,3451000,2569000,882000,13642000,108000,108000,0,108000,13750000,80701000,-74619000,-81000,6077000,6077000,19827000,1577000,13000,44000,3949000,5583000,-153000,-153000,-20000,5410000,5410000,9000,5419000,1669000,0,5518000,0.77012,0.0867,0.0824,0.25901,0.07939,3.50572,1.25861,2.26263,0,0.1401,0.13693,1.70013,0.53102,0.49114,0.25449,0.89216,-8.7178,-8.78623
"15","2014_Q2",3.07301587301587,"Up",23162000,-5252000,17910000,-14791000,-4347000,-10423000,3119000,-9000,3110000,3110000,-39000,3071000,3071000,3071000,3067000,23334000,23334000,3323000,1742000,1742000,28567000,294000,2383000,619000,2677000,31244000,12769000,4438000,8278000,8804000,7881000,923000,21573000,108000,108000,3.63797880709171e-12,108000,21681000,81284000,-71706000,-108000,9563000,9563000,31244000,3071000,21000,25000,5166000,8283000,-63000,-63000,574000,8794000,8794000,-10000,8784000,3140000,0,8282000,0.77325,0.13466,0.13242,0.32072,0.09816,2.70036,1.3242,2.26718,0,0.26996,0.26274,2.03873,0.83355,0.72899,0.31713,0.85637,-7.43121,-7.48124
"16","2014_Q3",5.56515625,"Up",34189000,-7509000,26680000,-20512000,-5031000,-15458000,6168000,1000,6169000,6169000,-59000,6110000,6110000,6110000,6107000,29622000,29622000,4321000,754000,754000,34806000,305000,2427000,663000,2732000,37538000,15575000,4641000,10823000,4201000,3171000,1030000,19776000,108000,108000,0,108000,19884000,83296000,-65658000,-66000,17654000,17654000,37538000,6110000,23000,9000,-1600000,4542000,-34000,-34000,1798000,6306000,6306000,-18000,6288000,6191000,0,4616000,0.78037,0.18041,0.17862,0.34593,0.16269,0.75585,1.76001,1.12632,0,0.51662,0.4963,2.89223,1.48651,0.39049,0.3548,0.25988,-4.78469,-4.80253
"17","2014_Q4",5.66,"Up",31833000,-6756000,25077000,-19613000,-5076000,-14509000,5464000,-31000,5433000,5433000,-46000,5387000,5387000,5387000,5385000,39748000,39748000,4320000,831000,831000,4.5e+07,377000,2410000,646000,2787000,47787000,18287000,4411000,13710000,4210000,2901000,1309000,22497000,108000,108000,-5.82076609134674e-11,108000,22605000,85615000,-60399000,-89000,25182000,25182000,47787000,5387000,28000,8000,2675000,8098000,-102000,-102000,2131000,10127000,10127000,-1000,10126000,5492000,0,8111000,0.78777,0.17165,0.16916,0.21384,0.11269,1.50622,2.00027,0.89766,0,0.43236,0.42156,2.55584,2.01742,0.65122,0.21898,0.32072,-7.23744,-7.27452
"18","2015_Q1",6.91311475409836,"Up",35406000,-7464000,27942000,-21873000,-5233000,-16607000,6069000,-145000,5924000,5924000,-122000,5802000,5802000,5802000,5801000,44816000,44816000,3760000,930000,930000,49613000,476000,2451000,687000,2927000,52540000,18096000,2232000,15596000,6264000,2687000,3577000,24360000,1730000,65000,1665000,1730000,26090000,85763000,-54799000,62000,26450000,26450000,52540000,5802000,33000,-36000,3891000,9690000,-140000,-140000,-4692000,4858000,4858000,210000,5068000,6102000,0,9975000,0.78919,0.17141,0.16384,0.21932,0.11041,1.71953,2.03666,0.98639,0,0.45014,0.42504,2.74742,2.05246,0.77404,0.2104,0.35397,-7.34448,-7.38441
"19","2015_Q2",14.7592063492063,"Up",40709000,-8930000,31779000,-24861000,-6423000,-18397000,6918000,-109000,6809000,6809000,-71000,6738000,6738000,6738000,6738000,59866000,59866000,4859000,1179000,1179000,66082000,699000,2667000,903000,3366000,69448000,18055000,2543000,15304000,17050000,10371000,6679000,35105000,1668000,65000,1603000,1668000,36773000,85621000,-48359000,199000,32675000,32675000,69448000,6738000,41000,15000,9762000,16556000,-266000,-266000,-1332000,14958000,14958000,92000,15050000,6959000,0,16526000,0.78064,0.16994,0.16552,0.20621,0.09702,2.45266,1.88241,1.12542,0,0.54107,0.53698,3.26901,2.62387,1.32707,0.20348,0.4812,-8.60267,-8.65366
"20","2015_Q3",15.10390625,"Up",69716000,-14094000,55622000,-43359000,-8281000,-35010000,12263000,132000,12395000,12395000,-122000,12273000,12273000,12273000,12273000,74422000,74422000,5287000,1643000,1643000,81649000,702000,5953000,4189000,6655000,88304000,28494000,3082000,25089000,18380000,8151000,10229000,46874000,1589000,65000,1524000,1589000,48463000,85941000,-36549000,135000,39841000,39841000,88304000,12273000,68000,-62000,10646000,22925000,-67000,-3339000,-5062000,14524000,14524000,32000,14556000,12331000,0,23032000,0.79784,0.1759,0.17604,0.30805,0.13899,1.87664,1.74188,1.21641,0,0.98952,0.98491,5.6209,3.21221,1.85697,0.30519,0.55593,-6.03536,-6.06882
"21","2015_Q4",21.9859375,"Up",80779000,-16001000,64778000,-49975000,-9867000,-40036000,14803000,-135000,14668000,14668000,-137000,14531000,14531000,14531000,14531000,94565000,94565000,6613000,1706000,1706000,103189000,917000,5605000,3841000,6522000,109711000,39898000,4371000,35069000,19524000,4515000,15009000,59422000,1501000,65000,1436000,1501000,60923000,85953000,-22617000,17000,48788000,48788000,109711000,14531000,72000,21000,11092000,25716000,-312000,-68000,-5487000,20161000,20161000,-18000,20143000,14875000,0,25792000,0.80192,0.18325,0.17989,0.29784,0.13245,1.77496,1.73655,1.24873,0,1.18727,1.18292,6.60013,3.98627,2.10736,0.29869,0.51288,-6.35731,-6.38823
"22","2016_Q1",13.5683606557377,"Down",73656000,-15073000,58583000,-44690000,-11453000,-33155000,13893000,28000.0000000001,13921000,13921000,-222000,13699000,13699000,13699000,13699000,104914000,104914000,10455000,2343000,2343000,117712000,894000,5546000,3782000,6440000,124152000,39578000,2862000,36337000,21935000,4011000,17924000,61513000,5830000,60000,5770000,5830000,67343000,85976000,-9647000,-101000,56809000,56809000,124152000,13699000,82000,15000,2333000,16129000,-65000,-65000,-5590000,10474000,10474000,-125000,10349000,13975000,0,16465000,0.79536,0.18862,0.18599,0.24114,0.11034,1.20191,1.91361,1.18543,0,1.13093,1.12333,6.08074,4.68992,1.35928,0.22824,0.26286,-7.50726,-7.55157
"23","2016_Q2",16.35890625,"Up",74346000,-14280000,60066000,-46079000,-10904000,-35086000,13987000,-24000,13963000,13963000,-2683000,11280000,11280000,11280000,11280000,99631000,99631000,10269000,2324000,2324000,112312000,1050000,5574000,3810000,6624000,118936000,39379000,2019000,34358000,24519000,6469000,18050000,63898000,5710000,60000,5650000,5710000,69608000,86050000,1057000,-41000,49328000,49328000,118936000,11280000,89000,74000,2379000,13822000,-240000,-240000,-18895000,-5313000,-5313000,30000,-5283000,14076000,0,18898000,0.80793,0.18813,0.15172,0.22867,0.09484,1.67535,1.75768,1.41113,0,0.95812,0.95456,6.31496,4.18993,1.6052,0.21541,0.34336,-7.07808,-7.12311
"24","2016_Q3",15.54890625,"Down",80391000,-15059000,65332000,-50405000,-12431000,-37883000,14927000,16000,14943000,14943000,-2742000,12201000,12201000,12201000,12201000,109649000,109649000,12302000,2893000,2893000,124937000,1236000,5481000,3717000,6717000,131654000,40608000,3525000,36221000,28709000,8832000,19877000,69317000,5324000,60000,5264000,5324000,74641000,86567000,12572000,-237000,57013000,57013000,131654000,12201000,91000,142000,4178000,16612000,-284000,-284000,-6071000,10257000,10257000,-239000,10018000,15018000,0,21654000,0.81268,0.18568,0.15177,0.214,0.09267,1.77477,1.8024,1.30919,0,1.07659,1.07413,7.09353,5.03071,1.9107,0.20673,0.34737,-7.30117,-7.34568
"25","2016_Q4",12.7607936507937,"Down",70679000,-13627000,57052000,-41844000,-11170000,-30578000,15208000,48000,15256000,15256000,-2699000,12557000,12557000,12557000,12557000,114500000,114500000,14842000,3540000,3540000,132980000,1297000,5577000,3813000,6874000,139854000,40832000,3114000,37063000,25289000,4236000,21053000,66121000,5005000,60000,4945000,5005000,71126000,86577000,24342000,-302000,68728000,68728000,139854000,12557000,96000,10000,-6809000,5854000,-155000,-155000,-787000,4912000,4912000,-61000,4851000,15304000,0,11039000,0.8072,0.21517,0.17766,0.18271,0.08979,0.87911,2.01116,1.03489,0,1.12026,1.11797,6.30556,6.1315,0.98483,0.18098,0.14972,-7.4817,-7.52893
"26","2017_Q1",13.8462903225806,"Up",62312000,-11937000,50375000,-30361000,-8740000,-21503000,20014000,-99000,19915000,19915000,-867000,19048000,19048000,19048000,19048000,125921000,125921000,11257000,4066000,4066000,141244000,1388000,5419000,3655000,6807000,148051000,31408000,2145000,28600000,25746000,4948000,20798000,57154000,8458000,268000,8190000,8458000,65612000,86587000,38548000,-807000,82439000,82439000,148051000,19048000,118000,227000,-2507000,16886000,-226000,-226000,-4842000,11818000,11818000,-397000,11421000,20132000,0,18266000,0.80843,0.32119,0.30569,0.23106,0.12866,0.95895,2.47129,0.79589,0,1.69874,1.69768,5.55712,7.35209,1.629,0.26282,0.20095,-6.25477,-6.29165
"27","2017_Q2",14.9680952380952,"Up",59874000,-11245000,48629000,-35637000,-9672000,-25965000,12992000,156000,13148000,13148000,-2723000,10425000,10425000,10425000,10425000,134672000,134672000,9170000,2687000,2687000,146529000,1330000,5532000,3768000,6862000,153391000,29793000,2085000,25244000,26516000,4301000,22215000,56309000,7986000,266000,7720000,7986000,64295000,86670000,43992000,-996000,89096000,89096000,153391000,10425000,136000,-249000,3499000,13811000,-72000,-72000,-4981000,8758000,8758000,22000,8780000,13128000,0,19278000,0.81219,0.21699,0.17412,0.11701,0.06796,1.84921,2.60223,0.72164,0,0.9284,0.92658,5.33209,7.93446,1.7168,0.15869,0.19857,-10.25838,-10.36576
"28","2017_Q3",12.1220634920635,"Down",51465000,-9793000,41672000,-28805000,-6730000,-22075000,12867000,80000,12947000,12947000,-2644000,10303000,10303000,10303000,10303000,136261000,136261000,9804000,3638000,3638000,149703000,1292000,5571000,3807000,6863000,156566000,30374000,2371000,23032000,24329000,3994000,20335000,54703000,7464000,285000,7179000,7464000,62167000,86678000,49198000,-907000,94399000,94399000,156566000,10303000,140000,8000,-3633000,6818000,-98000,-98000,-5097000,1623000,1623000,-62999.9999999999,1560000,13007000,0,11920000,0.80972,0.25001,0.20019,0.10914,0.06581,1.15694,2.73665,0.65856,0,0.91639,0.91387,4.57751,8.39625,1.06022,0.15118,0.11702,-10.47597,-10.58996
"29","2017_Q4",10.1514285714286,"Down",40132000,-8183000,31949000,-23435000,-7633000,-15802000,8514000,-12000,8502000,8502000,-1164000,7338000,7338000,7338000,7338000,126953000,126953000,10632000,2961000,2961000,140546000,1225000,5628000,3864000,6853000,147399000,21075000,1023000,18988000,21451000,3568000,17883000,42526000,7015000,285000,6730000,7015000,49541000,86687000,52457000,-716000,97858000,97858000,147399000,7338000,138000,9000,-12776000,-5291000,-68000,-68000,-4079000,-9438000,-9438000,259000,-9179000,8652000,0,-3028000,0.7961,0.21215,0.18285,0.07499,0.04978,-0.41265,3.30494,0.50625,0,0.6518,0.65076,3.56475,8.69231,-0.26896,0.10887,-0.02887,-14.67325,-14.91109
"30","2018_Q1",9.18688524590164,"Down",46092000,-9424000,36668000,-27982000,-8186000,-19796000,8686000,143000,8829000,8829000,-13317000,-4488000,-4488000,-4488000,-4488000,135311000,135311000,8398000,7534000,7534000,151243000,1149000,7162000,3963000,8311000,159554000,20835000,1751000,18775000,21086000,4455000,16631000,41921000,27012000,19108000,7904000,27012000,68933000,86696000,44908000,-413000,90621000,90621000,159554000,-4488000,122000,-1635000,17268000,11267000,-40000,-40000,-3061000,8166000,8166000,267000,8433000,8808000,0,39353000,0.79554,0.18845,-0.09737,-0.04952,-0.02813,-8.76849,3.60781,0.76067,0,-0.39808,-0.39833,4.08834,8.03805,3.4906,-0.01213,0.33454,-15.36228,-15.57806
"31","2018_Q2",11.99203125,"Up",52367000,-10221000,42146000,-32102000,-9122000,-22980000,10044000,163000,10207000,10207000,-1383000,8824000,8824000,8824000,8824000,145095000,145095000,7944000,6021000,6021000,159060000,1040000,7287000,4088000,8327000,167387000,21287000,2669000,18576000,20491000,4112000,16379000,41778000,26703000,19107000,7596000,26703000,68481000,86428000,52253000,-27000,98906000,98906000,167387000,8824000,131000,0,2190000,11145000,-17000,-17000,-1479000,9649000,9649000,247000,9896000,10175000,0,13731000,0.80482,0.1918,0.1685,0.08922,0.05272,1.5561,3.80727,0.69238,0,0.78185,0.78172,4.64,8.7636,1.21664,0.08202,0.10932,-14.25995,-14.44594
"32","2018_Q3",14.6411111111111,"Up",50910000,-10399000,40511000,-30403000,-8093000,-22310000,10108000,53000,10161000,10161000,-1138000,9023000,9023000,9023000,9023000,128270000,128270000,10358000,5550000,5550000,144178000,1025000,7164000,3965000,8189000,152367000,21808000,2995000,18556000,20179000,3831000,16348000,41987000,24812000,17470000,7342000,24812000,66799000,86428000,39662000,-774000,85568000,85568000,152367000,9023000,104000,-2.3283064365387e-10,-3782000,5345000,-96000,-96000,-21614000,-16365000,-16365000,-628000,-16993000,10212000,0,7472000,0.79574,0.19855,0.17723,0.10545,0.05922,0.82811,3.43387,0.78065,0,0.79864,0.79814,4.50611,7.57373,0.66136,0.27756,0.06769,-12.56071,-12.68995
"33","2018_Q4",13.275873015873,"Down",47043000,-9926000,37117000,-29270000,-7269000,-22001000,7847000,249000,8096000,8096000,-467000,7629000,7629000,7629000,7629000,132206000,132206000,11119000,4918000,4918000,148243000,988000,7061000,3862000,8049000,156292000,23349000,2715000,20466000,20564000,4462000,16102000,43913000,24161000,17057000,7104000,24161000,68074000,86428000,42740000,-1202000,88218000,88218000,156292000,7629000,97000,0,1046000,8772000,-63000,-63000,-4551000,4158000,4158000,-330000,3828000,7944000,0,9394000,0.789,0.1668,0.16217,0.08648,0.04881,1.23135,3.37583,0.77166,0,0.6746,0.67382,4.15978,7.80069,0.83067,0.10838,0.08359,-16.64225,-16.84797
"34","2019_Q1",9.09737704918033,"Down",41590000,-8821000,32769000,-27036000,-6825000,-20211000,5733000,324000,6057000,6057000,-498000,5559000,5559000,5559000,5559000,132653000,132653000,12165000,5369000,5369000,150187000,934000,6800000,3829000,7734000,157921000,20254000,1631000,18623000,22830000,6795000,16035000,43084000,24976000,17168000,7808000,24976000,68060000,86428000,44431000,-1250000,89861000,89861000,157921000,5559000,92000,358000,-1561000,4448000,-38000,-38000,-3868000,542000,542000,-1e+05,442000,5825000,0,4724000,0.78791,0.13785,0.13366,0.06186,0.0352,0.84979,3.48591,0.75739,0,0.49095,0.48948,3.67305,7.93615,0.4172,0.08209,0.04114,-22.77305,-23.1385000000002
"35","2019_Q2",6.43031746031746,"Down",19328000,-5224000,14104000,-16813000,-7315000,-9498000,-2709000,432000,-2277000,-2277000,354000,-1923000,-1923000,-1923000,-1923000,118699000,118699000,12310000,6551000,6551000,137560000,888000,10900000,7929000,11788000,149348000,15188000,1456000,13732000,21142000,3754000,17388000,36330000,27163000,17168000,9995000,27163000,63493000,86262000,39772000,-974000,85855000,85855000,149348000,-1923000,93000,447000,-9967000,-11350000,-46000,-46000,-2736000,-14132000,-14132000,248000,-13884000,-2616000,0,-12983000,0.72972,-0.14016,-0.09949,-0.0224,-0.01288,6.75143,3.7864,0.73954,0,-0.16968,-0.16968,1.70546,7.57566,-1.14559,0.00719,-0.11488,45.37424,43.81654
