"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2016_Q3",9.26625,"Up",548381000,-295798000,252583000,-158200000,-139594000,-9845000,-8761000,94383000,-2404000,-2162000,91979000,91979000,-30495000,61484000,61484000,61539000,61539000,108444000,108444000,78206000,78206000,95009000,17995000,17995000,299654000,165815000,169873000,76956000,79936000,12981000,335688000,635342000,207198000,146519000,16031000,223229000,45201000,8922000,153857000,377086000,258256000,635342000,61484000,8761000,21336000,160294000,251875000,-6828000,-6828000,-132637000,-5953000,-6515000,-138590000,106457000,106457000,106457000,103144000,124687000,287105000,0.4606,0.17211,0.11222,0.23829,0.09686,4.66542000000001,1.34236,1.46012,0.19625,0.9516,0.91878,8.47981,4.43961,0.14373,0.67058,0.15748,0.1721
"23","2016_Q4",10.0746031746032,"Up",234207000,-137486000,96721000,-109957000,-92508000,-9903000,-7546000,-13236000,-1384000,-1239000,-14620000,-14620000,5494000,-9126000,-9126000,-9126000,-9126000,61696000,61696000,30307000,30307000,95406000,14666000,14666000,202075000,165553000,168942000,76956000,79393000,12593000,334495000,536570000,120729000,87638000,17813000,138542000,45529000,9515000,148842000,287384000,249186000,536570000,-9126000,7546000,2209000,-35255000,-34626000,-6970000,-6970000,-3561000,-1589000,-1726000,-5152000,-46748000,-46748000,-46748000,-5690000,121126000,-53409000,0.41297,-0.05651,-0.03897,-0.03662,-0.01701,5.8524,1.45858,1.15329,0.22574,-0.14108,-0.14108,3.62062,-0.82565,-0.02195,-0.12844,-10.44464,-4.49003
"24","2017_Q1",10.0274193548387,"Down",234395000,-133750000,100645000,-116239000,-97959000,-10175000,-8105000,-15594000,-1694000,-1382000,-17288000,-17288000,6234000,-11054000,-11054000,-11054000,-11054000,27826000,27826000,19123000,19123000,103328000,16382000,16382000,166659000,171362000,164920000,77667000,7.9e+07,8253000,336282000,502941000,101267000,66066000,19594000,120861000,45098000,9581000,139494000,260355000,242586000,502941000,-11054000,8105000,-570999.999999996,-15825000,-19345000,-13916000,-13916000,-3562999.99999999,552000,-2265000,-609000.00000003,-33870000,-33870000,-33870000,-7489000,113990000,-43464000,0.42938,-0.06653,-0.04716,-0.04557,-0.02198,3.93197,1.37893,1.07325,0.22665,-0.16901,-0.15387,3.58386,-0.664560000000001,-0.02752,-0.10821,-11.50541,-5.52546
"25","2017_Q2",10.1801587301587,"Up",165829000,-94442000,71387000,-94496000,-77011000,-9488000,-7997000,-23109000,-1301000,-1451000,-24410000,-24410000,8639000,-15771000,-15771000,-15771000,-15771000,6754999.99999999,6754999.99999999,42821000,42821000,191382000,27852000,27852000,268810000,168186000,165667000,77667000,78709000,9291000,333853000,602663000,95749000,63301000,146375000,242124000,45392000,10578000,134817000,376941000,225722000,602663000,-15771000,7997000,1897000,-128965000,-134842000,-4703000,-4703000,121437000,-2963000,-2964000,118474000,-21071000,-21071000,-21071000,-15112000,235800000,-157419000,0.43049,-0.13935,-0.0951,-0.06987,-0.02617,9.98155,1.11022,1.66993,0.39126,-0.24233,-0.24233,2.54804,-2.41882,-0.03111,-0.31054,-15.1565,-9.91151
"26","2017_Q3",9.37380952380952,"Down",554553000,-297559000,256994000,-160443000,-141427000,-9849000,-9167000,96551000,-2155000,-2154000,94396000,94396000,-31467000,62929000,62929000,62929000,62929000,113992000,113992000,57866000,57866000,93412000,19597000,19597000,284867000,168655000,165478000,77667000,78368000,9443000,334133000,6.19e+08,176571000,127033000,5750000,182321000,44641000,10504000,149911000,332232000,286768000,6.19e+08,62929000,9167000,1527000,171212000,244835000,-8550000,-8550000,-1.24e+08,-3592000,-3858000,-129048000,107237000,107237000,107237000,105718000,111020000,299847000,0.46343,0.17411,0.11348,0.21944,0.10166,4.76485,1.56245,1.15854,0.17935,0.96558,0.92879,8.50907,4.60086,0.14224,0.67773,-0.02811,-0.03078
"27","2017_Q4",9.98015873015873,"Up",233715000,-140134000,93581000,-109866000,-91120000,-10254000,-8492000,-16285000,-770000,-1191000,-17055000,-17055000,5925000,-11130000,-11130000,-11130000,-11130000,56765000,56765000,21549000,21549000,63713000,109210000,17388000,251237000,154668000,133893000,62767000,61441000,9685000,288561000,539798000,107378000,87921000,6468999.99999999,118275000,42853000,9225000,146153000,264428000,275370000,539798000,-11130000,8492000,1464000,-47611000,-48785000,-5500000,-5500000,-1437000,-1454000,-1455000,-2942000,-57227000,-57227000,-57227000,-7793000,109769000,-66829000,0.40041,-0.06968,-0.04762,-0.04042,-0.02062,6.0044,2.12418,0.96026,0.20335,-0.17071,-0.17071,3.58464,-1.025,-0.02601,-0.15615,-6.80149,-3.25477
"28","2018_Q1",11.6288524590164,"Up",239528000,-141209000,98319000,-109117000,-92085000,-9312000,-7720000,-10798000,13876000,-1025000,3078000,3078000.00000001,4935000,8013000.00000001,8013000.00000002,8013000.00000001,8013000.00000001,149732000,149732000,14073000,14073000,75862000,17735000,17735000,257402000,161381000,133687000,62590000,61090000,10007000,295068000,552470000,117987000,90206000,7188000,125175000,43679000,9811000,145056000,270231000,282239000,552470000,8013000.00000002,7720000,-12219000,-3712000,-198000,-14900000,97055000,-1451000,-2440000,-2458000,-3890000.00000001,92967000,92967000,92967000,-3077999.99999999,108565000,-26625000,0.41047,-0.04508,0.03345,0.02839,0.0145,-3.32273,2.05634,0.95745,0.19651,0.12269,0.10991,3.66744,-0.40766,0.01844,-0.06128,13.37459,3.81247
"29","2018_Q2",12.64765625,"Up",157349000,-90071000,67278000,-86881000,-69127000,-9670000,-8084000,-19603000,-771000,-1031000,-20374000,-20374000,7152000,-13222000,-13222000,-13222000,-13222000,9139000,9139000,35710000,35710000,148420000,26943000,26943000,220212000,157473000,134648000,62590000,60729000,11329000,292121000,512333000,94449000,67014000,7906000,102355000,44719000,11237000,144180000,246535000,265798000,512333000,-13222000,8084000,1394000,-118558000,-122302000,-4034000,-12534000,-1437000,-4320000,-4320000,-5757000,-140593000,-140593000,-140593000,-11519000,107367000,-141263000,0.42757,-0.12458,-0.08403,-0.04974,-0.02581,10.68394,2.15145,0.92753,0.20956,-0.20356,-0.20356,2.42247,-2.17482,-0.03164,-0.33804,-8.52748,-5.01087
"30","2018_Q3",12.9573015873016,"Up",526093000,-290834000,235259000,-150793000,-132941000,-9175000,-8677000,84466000,-1140000,-1226000,83326000,83326000,-12627000,70699000,70699000,70699000,70699000,232589000,232589000,44424000,44424000,60567000,22007000,22007000,359587000,154606000,134570000,62590000,60460000,11520000,289176000,648763000,178756000,123504000,8625000,187381000,33095000,11565000,130640000,318021000,330742000,648763000,70699000,8677000,-10868000,167960000,236468000,-4830000,-4830000,-1438000,-6750000,-6765000,-8188000,223450000,223450000,223450000,93143000,106170000,268900000,0.44718,0.16055,0.13438,0.21376,0.10898,3.80345,1.91902,0.96154,0.16365,1.09439,1.05865,8.14373,4.16247,0.15042,0.57212,-1.35726,-1.49669
"31","2018_Q4",11.9704761904762,"Down",238545000,-145090000,93455000,-105894000,-87768000,-10241000,-7885000,-12439000,-693000,-662000,-13132000,-13132000,4669000,-8463000,-8463000,-8463000,-8463000,173069000,173069000,22514000,22514000,68906000,17780000,17780000,282269000,153737000,134347000,62590000,60093000,11664000,288084000,570353000,110941000,91941000,9344000,120285000,32810000,11946000,127721000,248006000,322347000,570353000,-8463000,7885000,1348000,-50363000,-49593000,-6945000,-6945000,-2156000,-826000,-990000,-2982000,-59520000,-59520000,-59520000,-4554000,104255000,-66531000,0.39177,-0.05215,-0.03548,-0.02625,-0.01484,7.8614,2.34667,0.76938,0.18279,-0.13115,-0.13115,3.69682,-1.03106,-0.01842,-0.14482,15.11067,5.53212
"32","2019_Q1",16.0991803278689,"Up",229934000,-136901000,93033000,-104409000,-86414000,-10172000,-7823000,-11376000,-422000,-712000,-11798000,-11798000,3575000,-8223000,-8223000,-8223000,-8223000,147240000,147240000,12935000,12935000,88825000,24021000,24021000,273021000,163340000,134528000,62590000,59823000,12115000,297868000,570889000,114736000,73299000,10063000,124799000,38919000,12719000,131186000,255985000,314904000,570889000,-8223000,7823000,6770000,-12602000,-6232000.00000003,-17497000,-17497000,-2157000,57000.0000000005,-101000,-2100000,-25829000.0000001,-25829000.0000001,-25829000.0000001,-3552999.99999999,102330000,-37227000,0.40461,-0.04948,-0.03576,-0.02611,-0.0144,4.52718,2.18769,0.8129,0.17925,-0.12733,-0.11502,3.56034,-0.576430000000002,-0.01803,-0.08161,12.64002,3.94778
