"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","long_term_debt","long_term_borrowings","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",98.4096774193548,"Down",477182000,-141475000,335707000,-105195000,-15298000,-89897000,230512000,22179000,-4926000,9019000,12642000,5444000,252691000,252884000,252884000,264819000,-927000,263892000,-61427000,202465000,535752000,535752000,935546000,7330706000,10980706000,-3.65e+09,1021868000,210148000,716401000,95319000,8352574000,9288120000,242706000,242706000,610031000,347943000,347943000,347943000,957974000,3.2e+09,5428687000,-312690000,-15371000,8300626000,29520000,8330146000,9288120000,264819000,89991000,-22221000,-22221000,349978000,-61774000,-55760000,-21987000,-63093000,-20499000,485370000,485370000,-239130000,-189884000,97001000,97001000,276000,97277000,320503000,347943000,0.70352,0.48307,0.42429,0.02431,0.0218,1.5336,0.115,0.03746,1.18695,1.17918,2.79747,29.90237,7,0.07122,-0.58598,-0.81475
"12","2013_Q1",105.979833333333,"Up",469694000,-119835000,349859000,-105306000,-12720000,-92586000,244553000,27539000,-4486000,11357000,15233000,5435000,272092000,272092000,272092000,272563000,-1192000,271371000,-61828000,209543000,17238999.9999999,17239000,428234000,7331932000,11070062000,-3738130000,1033237000,209374000,735323000,88540000,8365169000,8793403000,334711000,334711000,334711000,335828000,335828000,335828000,670539000,2837500000,5536735000,-279474000,-1005000,8093756000,29108000,8122864000,8793403000,272563000,92586000,-15780000,-15780000,329904000,-92158000,-81688000,-14518000,-102726000,121274000,103440000,103440000,-240208000,-745319000,-518141000,-518141000,-372000,-518513000,337139000,335828000,0.74487,0.52066,0.44613,0.0258,0.02383,1.27941,0.08255,0.03819,1.22634,1.2184,2.74887,30.76209,7,0.11105,0.94498,1.30274
"13","2013_Q2",111.46953125,"Up",470900000,-150389000,320511000,-109254000,-18253000,-91001000,211257000,990000,-3497000,-12737000,11643000,5581000,212247000,212247000,212247000,212247000,-1024000,211223000,-49287000,161936000,398252000,398252000,796817000,7292339000,11117454000,-3825115000,1012395000,207004000,717264000,88127000,8304734000,9101551000,205129000,205129000,205129000,142419000,142419000,142419000,347548000,3562500000,5515936000,-331984000,-20889000,8725563000,28440000,8754003000,9101551000,212247000,91001000,12244000,12244000,309339000,-49137000,-13540000,-35597000,-41416000,-326186000,705550000,705550000,-265425000,113939000,381862000,381862000,-849000,381013000,302258000,142419000,0.68063,0.44862,0.34389,0.0185,0.01779,3.88447,0.0397,0.01565,0.94453,0.93868,2.74664,30.11481,8,0.0182,-0.84641,-1.211
"14","2013_Q3",112.9696875,"Up",485378000,-142571000,342807000,-105022000,-14085000,-90937000,237785000,23894000,-647000,5924000,13101000,5516000,261679000,261679000,261679000,261679000,-1216000,260463000,-52778000,207685000,410910000,410910000,815436000,7267122000,11180521000,-3913399000,1012040000,205228000,717937000,88875000,8279162000,9094598000,218703000,218703000,218703000,111688000,111688000,111688000,330391000,3562500000,5534913000,-338785000,-22522000,8736106000,28101000,8764207000,9094598000,261679000,90937000,-7838000.00000001,-7838000,363230000,-63242000,-7988000,-55254000,-63348000,-30404000,13073999.9999999,13073999.9999999,-269445000,-286775000,13107000,13107000,-449000,12658000,328722000,111688000,0.70627,0.4899,0.42788,0.0237,0.02284,3.72851,0.0377,0.01228,1.21012,1.20295,2.82815,30.145,8,0.0234,-0.91026,-1.25837
"15","2013_Q4",114.9178125,"Up",511957000,-147803000,364154000,-114187000,-17650000,-96537000,249967000,35493000,-478000,16094000,14269000,5608000,285460000,285628000,285628000,285628000,-1430000,284198000,-52837000,231361000,56965000,56965000,477406000,7574692000,11579373000,-4004681000,1097842000,217023000,766489000,114330000,8672534000,9149940000,243033000,243033000,243033000,100118000,100118000,100118000,343151000,3562500000,5542815000,-321890000,-4481000,8778944000,27845000,8806789000,9149940000,285628000,96537000,-19037000,-19037000,367094000,-414205000,-370852000,-43610000,-441898000,-11346000,3545000,3545000,-272756000,-280557000,-355361000,-355361000,1416000,-353945000,346504000,100118000,0.7113,0.48826,0.45191,0.02627,0.02529,1.96437,0.03896,0.01094,1.34731,1.33895,2.98133,30.37744,8,0.02598,0.12454,0.17263
"16","2014_Q1",117.452786885246,"Up",496707000,-118996000,377711000,-125618000,-16691000,-108927000,252093000,41819000,-1822000,7801000,18566000,17274000,293912000,297977000,297977000,297977000,-1408000,296569000,-52820000,243749000,19169000,19169000,447308000,8239778000,12338592000,-4098814000,1189180000,246854000,856182000,86144000,9428958000,9876266000,268458000,268458000,268458000,788953000,788953000,788953000,1057411000,3562500000,5548212000,-318482000,-5e+05,8791730000,27125000,8818855000,9876266000,297977000,108927000,-18393000,-18393000,390676000,-784010000,-758563000,-25447000,-865731000,733141000,628999.99999997,628999.99999997,-296537000,437233000,-37822000,-37822000,25999.9999999998,-37795999.9999999,361020000,788953000,0.76043,0.50753,0.49073,0.02764,0.02468,1.66621,0.1199,0.07988,1.41905,1.41059,2.89172,30.44339,7,0.02537,2.13225,3.05357
"17","2014_Q2",125.435873015873,"Up",519624000,-174519000,345105000,-128010000,-18989000,-109021000,217095000,11178000,-3480000,-2348000,14604000,2402000,228273000,228273000,228273000,228273000,-1077000,227196000,-53144000,174052000,101112000,101112000,310669000,8184928000,12377457000,-4192529000,1186985000,232273000,858222000,96490000,9371913000,9682582000,222608000,222608000,222608000,460150000,460150000,460150000,682758000,3797500000,5561428000,-385512000,-15000,8973401000,26423000,8999824000,9682582000,228273000,109021000,620000,620000,330709000,-38653000,-411499317.701436,-38653000,173069000,-378810000,252906000,252906000,-296005000,-421909000,81869000,81869000,74000,81943000,326116000,460150000,0.66414,0.41779,0.33496,0.01934,0.01798,1.39559,0.07586,0.04752,1.01246,1.00719,3.02265,30.1082,5,0.0184,1.10095,1.65383
"18","2014_Q3",126.77046875,"Up",538037000,-150554000,387483000,-121820000,-15377000,-106443000,265663000,11397000,-2063000,-1675000,14135000,1e+06,277060000,278279000,278279000,278279000,-1445000,276834000,-58482000,218352000,387983000,387983000,595911000,8167043000,12454746000,-4287703000,1183503000,225097000,854759000,103647000,9350546000,9946457000,237985000,237985000,237985000,396987000,396987000,396987000,634972000,4.135e+09,5563181000,-408375000,-4568000,9285238000,26247000,9311485000,9946457000,278279000,106443000,-769000.000000002,-769000.000000002,395337000,-73488000,-32029999.9999998,-42747000,-71348000,-68058000.0000001,332691000,332691000,-301318000,-36685000,287304000,287304000,-433000,286871000,372106000,396987000,0.72018,0.49376,0.40583,0.02345,0.02195,2.50399,0.06819,0.03991,1.26741,1.26083,3.123,29.89423,5,0.02249,0.0242,0.0338900000000002
"19","2014_Q4",134.62265625,"Up",557954000,-155874000,402080000,-128951000,-17874000,-111077000,273129000,20588000,-1238000,-3012000,14566000,10272000,293717000,294977000,294977000,294977000,-1518000,293459000,-61644000,231815000,98252000,98252000,98252000,8352595000,12737554000,-4384959000,1173621000,229984000,837624000,106013000,9526216000,9624468000,260461000,260461000,260461000,71632000,71632000,71632000,332093000,4.135e+09,5576988000,-417663000,-27895000,9266430000,25945000,9292375000,9624468000,294977000,111077000,-3147000,-3147000,427103000,-298241000,-239198000,-60335000,-91939000,-325226000,5419000,5419000,-304567000,-624374000,-289210000,-289210000,-521000,-289731000,384206000,71632000,0.72063,0.48952,0.41547,0.02495,0.02409,0.37722,0.03574,0.00744,1.34481,1.33762,3.23681,29.76847,6,0.02476,-0.06929,-0.09746
"20","2015_Q1",148.406885245902,"Up",561681000,-132377000,429304000,-129792000,-19219000,-110573000,299512000,48914000,0,-12000,44962000,3964000,348426000,348426000,348426000,348426000,-1711000,346715000,-62758000,283957000,187712000,187712000,187712000,8485288000,12967808000,-4482520000,1145676000,228632000,813740000,103304000,9630964000,9818676000,247141000,247141000,247141000,64363999.9999999,64363999.9999999,64363999.9999999,311505000,4.325e+09,5578775000,-374823000,-48156000,9480796000,26375000,9507171000,9818676000,348426000,110573000,32596000,3055000,450393000,-205113000,-138982000,-80796000,-208113000,-22412000,185810000,185810000,-317294000,-153896000,88384000.0000001,88384000.0000001,1076000,89459999.9999999,410085000,64364000,0.76432,0.53324,0.50555,0.02987,0.02892,0.75953,0.03277,0.00656,1.64676,1.63893,3.25737,29.90011,7,0.02967,-0.30079,-0.41183
"21","2015_Q2",144.810158730159,"Down",564879000,-172012000,392867000,-131306000,-24160000,-107146000,261561000,20221000,532231.253837726,6614460.75500167,16184000,4037000,281782000,283254000,283254000,283254000,-1473000,281781000,-69168000,212613000,152797000,152797000,152797000,8481398000,13055771000,-4574373000,1137822000,221330000,792280000,124212000,9619220000,9772017000,264439000,264439000,409439000,58657000,58657000,58657000,468096000,4.18e+09,5575372000,-398905000,-78572000,9277895000,26026000,9303921000,9772017000,283254000,107146000,-9491000,-9491000,382492000,-94147000,-32291000,-71093000,-94147000,-5537000,3709000,3709000,-320986000,-322814000,-34469000,-34469000,-446000,-34915000,368707000,58657000,0.69549,0.46304,0.37639,0.02285,0.02176,0.37319,0.05031,0.006,1.2324,1.22638,3.27428,29.54959,7,0.02271,-0.25532,-0.35992
"22","2015_Q3",155.20125,"Up",588615000,-161097000,427518000,-127461000,-20988000,-106473000,300057000,11295000,283430.033166022,12107051.2281281,7480000,3815000,311352000,328040000,328040000,328040000,-1635000,326405000,-62479000,263926000,20256000,20256000,20256000,8496972000,13165529000,-4668557000,1117530000,216312000,808455000,92763000,9614502000,9634758000,281414000,281414000,281414000,47683000,47683000,47683000,329097000,4.18e+09,5589162000,-428270000,-61523000,9279369000,26292000,9305661000,9634758000,328040000,106473000,-15972000,-15972000,457133000,-109857000,-55492000,-59057000,-93827000,255000.000000007,6778999.99999997,6778999.99999997,-357429000,-495395000,-132089000,-132089000,-452000,-132541000,406530000,47683000,0.72631,0.50977,0.44838,0.02836,0.02739,0.07198,0.03537,0.00495,1.52885,1.52217,3.40969,29.5393,7,0.04372,0.0674700000000001,0.0914099999999999
"23","2015_Q4",179.82640625,"Up",618872000,-164684000,454188000,-129655000,-23573000,-106082000,324533000,16260000,-259586.204088693,11619616.0871904,12603000,3657000,340793000,341136000,341136000,341136000,-1568000,339568000,-66060000,273508000,35668000,35668000,35668000,8500381000,13267485000,-4767104000,1118766000,212976000,806204000,99586000,9619147000,9654815000,295482000,295482000,420482000,55725000,55725000,55725000,476207000,4.055e+09,5608950000,-444395000,-67437000,9152118000,26490000,9178608000,9654815000,341136000,106082000,-3257000,-3257000,472189000,-98364000,-17132000,-82316000,-98112000,-11459000,15426000,15426000,-362602000,-358635000,15442000,15442000,-30000,15412000,430615000,55725000,0.7339,0.52439,0.44195,0.0298,0.02833,0.08483,0.05188,0.00577,1.58305,1.57614,3.58199,29.50182,7,0.02962,0.04658,0.0618
"24","2016_Q1",195.076393442623,"Up",609330000,-137709000,471621000,-125763000,-19456000,-106307000,345858000,19401000,-610000.000000001,305999.999999996,14670000,5035000,365259000,365259000,365259000,365259000,-1769000,363490000,-60487000,303003000,104285000,104285000,104285000,8557713000,13424451000,-4866738000,1116234000,211458000,809308000,95468000,9673947000,9778232000,261578000,261578000,261578000,319016000,319016000,319016000,580594000,4.055e+09,5618799000,-434610000,-68548000,9170641000,26997000,9197638000,9778232000,365259000,106307000,27239000,-5331000,436465000,-153767000,-72161000,-81606000,-154019000,263759000,3749000,3749000,-356947000,-214439000,68007000,68007000,610000,68617000,452165000,319016000,0.774,0.5676,0.49727,0.03294,0.03099,0.39868,0.06312,0.03263,1.75275,1.74384,3.52473,29.5919,6,0.04497,0.4749,0.62086
"25","2016_Q2",199.811875,"Up",611786000,-173286000,438500000,-128175000,-23047000,-105128000,310325000,6335000,-711000,-10954000,14164000,3836000,316660000,317349000,317349000,317349000,-1476000,315873000,-74538000,241335000,305705000,305705000,305705000,8642900000,13607748000,-4964848000,1115742000,212506000,812415000,90821000,9758642000,10064347000,275170000,275170000,650170000,336664000,336664000,336664000,986834000,3.98e+09,5613400000,-476861000,-67773000,9048766000,28747000,9077513000,10064347000,317349000,105128000,14917000,7852000,440980000,-163961000,-85158000,-79492000,-162678000,-5952000,299784000,299784000,-370098000,-76266000,202036000,202036000,-616000,201420000,415453000,336664000,0.71675,0.50724,0.39448,0.02659,0.02398,0.47019,0.10871,0.03345,1.39519,1.38818,3.53681,29.30312,7,0.02564,0.07452,0.09976
"26","2016_Q3",183.20203125,"Down",634188000,-172004000,462184000,-125334000,-18321000,-107013000,336850000,21509000,-1378000,8632000,10227000,4028000,358359000,358359000,358359000,358359000,-1700000,356659000,-75884000,280775000,260124000,260124000,260124000,8734340000,13798763000,-5064423000,1002673000,213396000,696069000,93208000,9737013000,9997137000,305769000,305769000,793269000,436835000,436835000,436835000,1230104000,3692500000,5616156000,-491912000,-78991000,8737753000,29280000,8767033000,9997137000,358359000,107013000,38381000,29977000,523734000,-192537000,-99499000,-93742000,-125117000,108980000,194619000,194619000,-373144000,-444545000,-45928000,-45928000,347000,-45581000,443863000,436835000,0.72878,0.53115,0.44273,0.03203,0.02809,0.32791,0.14031,0.0437,1.62216,1.61365,3.66398,29.14865,7,0.07125,0.39812,0.5246
"27","2016_Q4",168.346507936508,"Down",663148000,-178627000,484521000,-131572000,-22140000,-109432000,352949000,16101000,-1221000,-3665000,17237000,3750000,369050000,369050000,369050000,369050000,-1745000,367305000,-58348000,308957000,57213000,57213000,57213000,8780732000,13947613000,-5166881000,1027824000,212548000,697040000,118236000,9808556000,9865769000,345734000,345734000,345734000,430892000,430892000,430892000,776626000,4017500000,5620148000,-494325000,-83667000,9059656000,29487000,9089143000,9865769000,369050000,109432000,9678000,-1698000,515326000,-152598000,-72993000,-79210000,-167764000,-9403000,317916000,317916000,-371556000,-550543000,-202981000,-202981000,70000,-202911000,462381000,430892000,0.73064,0.53223,0.46589,0.03399,0.03132,0.16548,0.08545,0.04368,1.78477,1.77718,3.83086,29.1274,6,0.08366,0.80816,1.05873
"28","2017_Q1",176.872580645161,"Up",651427000,-145166000,506261000,-131889000,-20148000,-111741000,374372000,41309000,-9e+05,23557000,15128000,3524000,415681000,415681000,415681000,415681000,-1942000,413739000,-60927000,352812000,183688000,183688000,183688000,8922576000,14193539000,-5270963000,1024074000,212719000,689207000,122148000,9946650000,10130338000,297935000,297935000,297935000,390749000,390749000,390749000,688684000,4367500000,5627097000,-487581000,-95106000,9411910000,29744000,9441654000,10130338000,415681000,111741000,-16111000,-26749000,465296000,-257435000,-158528000,-98907000,-261167000,-16464000,349425000,349425000,-410433000,-77472000,126657000,126657000,-182000,126475000,486113000,390749000,0.77716,0.5747,0.5416,0.03737,0.03483,0.61654,0.07294,0.03857,2.0371,2.02981,3.76128,29.12595,7,0.03588,0.42595,0.55309
"29","2017_Q2",173.285238095238,"Down",645547000,-182902000,462645000,-135957000,-25028000,-110929000,326688000,17333000,-1048000,-5566000,19949000,3998000,344021000,344021000,344021000,344021000,-1579000,342442000,-61311000,281131000,120859000,120859000,120859000,8929697000,14305912000,-5376215000,1033355000,209593000,698696000,125066000,9963052000,10083911000,294542000,294542000,294542000,395862000,395862000,395862000,690404000,4367500000,5641712000,-553473000,-92225000,9363514000,29993000,9393507000,10083911000,344021000,110929000,7766000,-1131000,459083000,-118121000,-22784000,-95337000,-118121000,-420000,18034000,18034000,-421402000,-403788000,-62826000,-62826000,17000,-62809000,437617000,395862000,0.71667,0.50606,0.43549,0.02993,0.02788,0.41033,0.0735,0.03926,1.62162,1.61505,3.72365,28.81806,5,0.02872,0.62841,0.84179
"30","2017_Q3",168.192222222222,"Down",664312000,-182578000,481734000,-125169000,-14992000,-110177000,356565000,-2333000,-1116000,-25440000,20068000,4155000,354232000,355207000,355207000,355207000,-1505000,353702000,-77021000,276681000,358266000,358266000,358266000,8959642000,14441713000,-5482071000,1047819000,207203000,715268000,125348000,10007461000,10365727000,322923000,322923000,782923000,420778000,420778000,420778000,1203701000,4187500000,5643154000,-609424000,-82143000,9139087000,22939000,9162026000,10365727000,355207000,110177000,21935000,17670000,506244000,-127329000,-11623000,-121302000,-127329000,-421000,284925000,284925000,-425939000,-141435000,237480000,237480000,-121000,237359000,466742000,420778000,0.72516,0.53674,0.41649,0.0302,0.02669,0.4576,0.13138,0.04059,1.59377,1.58944,3.82664,28.52264,6,0.02887,0.13393,0.17532
