"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2012_Q4",9.84451612903226,"Down",11601000,-36551000,-24950000,-3096000,-3096000,-28046000,-5529000,-5937000,408000,-33575000,-38345000,706000,-37639000,-37639000,-37639000,-37639000,343573000,84563000,259010000,6737000,11276000,11276000,361586000,92598000,31497000,18180000,13317000,124095000,485681000,22992000,5256000,17736000,5182000,23427000,23427000,51601000,221279000,42524000,42524000,263803000,315404000,1073760000,-904329000,845999.999999999,170277000,170277000,485681000,-24871000,-1356000,-1356000,-169000,-1187000,-9212000,-10608000,6172000,6172000,34397000,-1082000,-1082000,-1082000,226461000,-2.15068,-2.41755,-3.24446,-0.22105,-0.0775,7.00734,1.8523,0.46628,-0.37385,-0.37385,0.11523,1.69127,-0.08569,4.17571
"12","2013_Q1",14.9101666666667,"Up",19873000,-42758000,-22885000,-3234000,-3234000,-26119000,-4725000,-4817000,359000,-30844000,-11042000,8405000,-2636999.99999999,-2636999.99999999,-2637000,-2637000,374446000,124482000,249964000,6121000,42871000,42871000,423438000,91084000,31164000,18646000,12518000,122248000,545686000,33518000,10239000,23279000,4879000,35925000,35925000,74322000,221942000,66656000,66656000,288598000,362920000,1077252000,-906966000,12480000,182766000,182766000,545686000,36035000,-1358000,-1358000,-446000,-912000,7966000,5035000,1681000,1681000,-1151000,39919000,39919000,39919000,226821000,-1.15156,-1.3143,-0.13269,-0.01443,-0.00483,5.69734,1.98571,0.41566,-0.0260400000000001,-0.02604,0.19627,1.80502,-0.00554,5.65202
"13","2013_Q2",21.2646875,"Up",43360000,-38312000,5048000,-3423000,-3423000,1625000,-4419000,-4795000,376000,-2794000,-1736000,64000,-1672000,-1672000,-1672000,-1672000,371911000,107650000,264261000,5809000,54109000,54109000,431829000,89694000,31438000,19604000,11834000,121132000,552961000,30543000,5385000,21576000,4508000,35244000,35244000,70295000,222759000,58816000,58816000,281575000,351870000,1091945000,-908638000,17784000,201091000,201091000,552961000,-10576000,-924000,-924000,-222000,-702000,-15476000,-15306000,11823000,11823000,9050000,-16832000,-16832000,-16832000,227267000,0.11642,0.03748,-0.03856,-0.00830999999999999,-0.00301999999999999,6.1431,1.7498,0.411,-0.01641,-0.01641,0.42562,1.9739,-0.00343000000000001,-89.01169
"14","2013_Q3",29.87109375,"Up",38091000,-42632000,-4541000,-3388000,-3388000,-7929000,-4217000,-4808000,591000,-12146000,-11306000,1180000,-10126000,-10126000,-10126000,-10126000,590752000,296540000,294212000,8309000,7e+07,7e+07,669061000,88312000,31278000,20149000,11129000,119590000,788651000,41733000,9461000,23545000,4853000,40409000,40409000,86995000,225391000,75184000,75184000,300575000,387570000,1292859000,-918764000,26986000,401081000,401081000,788651000,22740000,-838000,-838000,-369000,-469000,-31848000,-31842000,198279000,198279000,197992000,188890000,188890000,188890000,230244000,-0.11921,-0.20816,-0.26584,-0.02525,-0.01284,7.6908,0.96631,0.29195,-0.09326,-0.09326,0.35083,3.69405,-0.01433,45.46702
"15","2013_Q4",35.62828125,"Up",23585000,-45659000,-22074000,-3430000,-3430000,-25504000,-4434000,-4867000,433000,-29938000,-29763000,5193000,-24570000,-24570000,-24570000,-24570000,670898000,256408000,414490000,7385000,85021000,85021000,763304000,87273000,31339000,20810000,10529000,118612000,881916000,42652000,8781000,28936000,4649000,55977000,55977000,103278000,226186000,151006000,151006000,377192000,480470000,1315759000,-943334000,29021000,401446000,401446000,881916000,65821000,-2072000,-2072000,-522000,-1550000,-121408000,-123308000,20088000,20088000,17355000,-40132000,-40132000,-40132000,230835000,-0.93593,-1.08137,-1.04176,-0.0612,-0.02786,7.39077,1.19685,0.26174,-0.21316,-0.21316,0.20462,3.48287,-0.03137,17.25467
"16","2014_Q1",48.4737704918033,"Up",42249000,-57430000,-15181000,-4677000,-4677000,-19858000,-4200000,-4885000,685000,-24058000,-23753000,-523000,-24276000,-24276000,-24276000,-24276000,656761000,159973000,496788000,8033000,70716000,70716000,735510000,86198000,25448000,15517000,9931000,111646000,847156000,45269000,11009000,34260000,4408000,48135000,48135000,97812000,228164000,142790000,142790000,370954000,468766000,1324920000,-967610000,21080000,378390000,378390000,847156000,-14492000,-1528000,-1528000,-439000,-1089000,-84060000,-85270000,-167232000,-167232000,3326999.99999997,-96435000,-96435000,-96435000,232572000,-0.35932,-0.47002,-0.57459,-0.06416,-0.02866,7.51963,1.23884,0.27453,-0.20875,-0.20875,0.36329,3.25371,-0.03221,21.36111
"17","2014_Q2",31.4874603174603,"Down",28161000,-53448000,-25287000,-4380000,-4380000,-29667000,-4286000,-4943000,657000,-33953000,-33556000,2276000,-31280000,-31280000,-31280000,-31280000,631293000,161778000,469515000,7537000,83223000,83223000,722053000,86641000,25922000,16383000,9539000,112563000,834616000,42100000,9869000,32231000,4308000,54428000,54428000,100836000,228923000,130755000,130755000,359678000,460514000,1343992000,-998890000,2.9e+07,374102000,374102000,834616000,-32328000,-1736000,-1736000,-1403000,-333000,26103000,24821000,12003000,12003000,9312000,1805000,1805000,1805000,233231000,-0.89794,-1.05348,-1.11076,-0.08361,-0.03748,7.16067,1.23099,0.27945,-0.26706,-0.26706,0.24043,3.19396,-0.04238,13.41767
"18","2014_Q3",35.44,"Up",57076000,-59264000,-2188000,-4462000,-4462000,-6650000,-4290000,-4961000,671000,-10940000,-11200000,-881000,-12081000,-12081000,-12081000,-12081000,590835000,94081000,496754000,7776000,107186000,107186000,705797000,86321000,25659000,16729000,8930000,111980000,817777000,45049000,13453000,31596000,4207000,51560000,51560000,100816000,229714000,120387000,120387000,350101000,450917000,1353112000,-1010971000,24719000,366860000,366860000,817777000,-34015000,-3155000,-3155000,-1697000,-1458000,-29522000,-32394000,1413000.00000003,1413000,-1288000,-67697000,-67697000,-67697000,233921000,-0.03833,-0.11651,-0.21167,-0.03293,-0.01477,7.00084,1.22913,0.28604,-0.10274,-0.10274,0.48538,3.11982,-0.01675,53.67128
"19","2014_Q4",49.34546875,"Up",44063000,-61086000,-17023000,-4471000,-4471000,-21494000,-4323000,-4998000,675000,-25817000,-25279000,-1397000,-26676000,-26676000,-26676000,-26676000,591986000,73220000,518766000,7085000,82092000,82092000,681163000,88068000,24572000,16879000,7693000,112640000,793803000,51931000,15627000,36304000,3667000,51727000,51727000,107325000,231092000,110614000,110614000,341706000,449031000,1365525000,-1037647000,16894000,344772000,344772000,793803000,1944000,-1521000,-1521000,-869000,-652000,-24265000,-24487000,4293000,4293000,1682000,-20861000,-20861000,-20861000,234759000,-0.38633,-0.4878,-0.60541,-0.07737,-0.03361,6.34673,1.3024,0.29574,-0.22642,-0.22642,0.374,2.92638,-0.03865,16.61985
"20","2015_Q1",67.8460655737705,"Up",84861000,-67953000,16908000,-6827000,-6827000,10081000,-6628000,-7307000,679000,3453000,15644000,15409000,31053000,31053000,31053000,31053000,728832000,142998000,585834000,6290000,101475000,101475000,836597000,88958000,30254000,17186000,13068000,119212000,955809000,60737000,17984000,42753000,2882000,51713000,51713000,115332000,454900000,127797000,127797000,582697000,698029000,1224627000,-1006594000,39747000,257780000,257780000,955809000,70684000,-4692000,-4692000,-3549000,-1143000,-69472000,-50788000,5362000,5362000,49882000,69778000,69778000,69778000,457782000,0.19924,0.11879,0.36593,0.12046,0.03249,7.25382,2.70785,0.47895,0.26265,0.26265,0.71776,2.18031,0.03682,-26.88721
"21","2015_Q2",63.5822222222222,"Down",62583000,-64447000,-1864000,-7466000,-7466000,-9330000,-8176000,-9021000,845000,-17506000,-17506000,789000,-16717000,-16717000,-16717000,-16717000,695054000,148348000,546706000,6839000,133534000,133534000,835427000,89047000,30959000,17915000,13044000,120006000,955433000,45644000,16487000,29157000,2058000,52586000,52586000,100288000,460211000,119083000,119083000,579294000,679582000,1252048000,-1023311000,47114000,275851000,275851000,955433000,-42826000,-1597000,-1597000,-878000,-719000,38247000,36650000,14116000,14116000,11526000,5350000,5350000,5350000,462269000,-0.02978,-0.14908,-0.26712,-0.0606,-0.0175,8.33028,2.46358,0.48383,-0.14054,-0.14054,0.52614,2.31909,-0.0195,24.95016
"22","2015_Q3",51.7590625,"Down",120429000,-68007000,52422000,-7775000,-7775000,44647000,-8210000,-9127000,917000,36437000,36437000,-789000,35648000,35648000,35648000,35648000,754934000,119487000,635447000,6782000,93736000,93736000,855452000,89692000,31114000,19060000,12054000,120806000,976258000,42622000,10954000,31668000,1225000,58285000,58285000,102132000,465678000,108128000,108128000,573806000,675938000,1269572000,-987663000,18411000,300320000,300320000,976258000,65207000,-4092000,-4092000,-3062000,-1030000,-91295000,-95387000,3919000,3919000,1319000,-28861000,-28861000,-28861000,466903000,0.43529,0.37073,0.29601,0.1187,0.03651,8.37594,2.25073,0.47826,0.29771,0.27898,1.00574,2.50806,0.04072,-6.4513
"23","2015_Q4",53.9596875,"Up",49121000,-88508000,-39387000,-8751000,-8751000,-48138000,-7849000,-9233000,1384000,-55987000,-35776000,0,-35776000,-35776000,-35776000,-35776000,812192000,126593000,685599000,6583000,49486000,49486000,868261000,89243000,30501000,19489000,11012000,119744000,988005000,53289000,19294000,33995000,773000,68136000,68136000,122198000,471293000,149100000,149100000,620393000,742591000,1286810000,-1023439000,-17957000,245414000,245414000,988005000,36218000,-2926000,-2926000,-1341000,-1585000,-26353000,-29279000,2240000,2240000,167000,7106000,7106000,7106000,472066000,-0.80184,-0.97999,-0.72832,-0.14578,-0.03621,7.10536,3.02587,0.4778,-0.29819,-0.32139,0.40941,2.04547,-0.04128,7.06564
"24","2016_Q1",40.6177049180328,"Down",51570000,-101330000,-49760000,-13181000,-13181000,-62941000,-8120000,-9351000,1231000,-71061000,-71061000,-372000,-71433000,-71433000,-71433000,-71433000,779183000,128797000,650386000,6899000,50921000,50921000,837003000,90233000,20664000,19316000,1348000,110897000,947900000,72525000,28355000,44170000,9029000,67322000,67322000,148876000,463928000,134306000,134306000,598234000,747110000,1309227000,-1094872000,-13565000,200790000,200790000,947900000,-37474000,-3133000,-3133000,-2411000,-722000,5518000.00000001,27964000,4613000,4613000,11714000,2204000,2204000,2204000,472957000,-0.9649,-1.2205,-1.38517,-0.35576,-0.07536,5.62215,3.72085,0.49895,-0.59425,-0.59118,0.42901,1.67037,-0.0884,4.86529
"25","2016_Q2",32.2575,"Down",36874000,-80964000,-44090000,-10562000,-10562000,-54652000,-8033000,-9490000,1457000,-62685000,-62685000,-232000,-62917000,-62917000,-62917000,-62917000,703804000,93337000,610467000,6520000,53586000,53586000,763910000,90365000,21544000,20144000,1400000,111909000,875819000,51974000,19464000,32510000,8826000,63695000,63695000,124495000,470078000,123084000,123084000,593162000,717657000,1332066000,-1157789000,-16115000,158162000,158162000,875819000,-75768000,-1010000,-1010000,-628000,-382000,40439000,39429000,2736000,2736000,879000,-35460000,-35460000,-35460000,478904000,-1.19569,-1.48213,-1.70627,-0.3978,-0.07184,6.13607,4.53748,0.54681,-0.52171,-0.52171,0.30576,1.31148,-0.08277,4.11513
"26","2016_Q3",31.286875,"Down",38471000,-77572000,-39101000,-9824000,-9824000,-48925000,-8161000,-9625000,1464000,-57086000,-57086000,231000,-56855000,-56855000,-56855000,-56855000,664090000,112534000,551556000,7668000,26213000,26213000,697971000,90602000,22536000,21152000,1384000,113138000,811109000,4.4e+07,17583000,26417000,8608000,58473000,58473000,111081000,476379000,112436000,112436000,588815000,699896000,1352710000,-1214644000,-26853000,111213000,111213000,811109000,-33784000,-4448000,-4448000,-2635000,-1813000,57905000,53457000,1384000,1384000,-476000,19197000,19197000,19197000,484987000,-1.01638,-1.27174,-1.47787,-0.51123,-0.0701,6.28344,6.29329,0.59793,-0.47066,-0.47066,0.31847,0.92065,-0.08023,3.66077
"27","2016_Q4",39.5695238095238,"Up",110927000,-84633000,26294000,-10188000,-10188000,16106000,-8755000,-9746000,991000,7351000,7351000,-1.16415321826935e-10,7351000,7351000,7351000,7351000,687848000,84275000,603573000,9319000,33162000,33162000,730329000,90970000,22287000,20929000,1358000,113257000,843586000,50304000,15680000,34624000,49000,56539000,56539000,106892000,495224000,101831000,101831000,597055000,703947000,1373430000,-1207293000,-26498000,139639000,139639000,843586000,24286000,-2229000,-2229000,-1050000,-1179000,-54859000,-57088000,3134000,3134000,4543000,-28259000,-28259000,-28259000,495273000,0.23704,0.14519,0.06627,0.05264,0.00871,6.8324,5.04119,0.5871,0.06076,0.05958,0.91684,1.15415,0.00998,-11.95672
"28","2017_Q1",44.9117741935484,"Up",160348000,-101151000,59197000,-18042000,-18042000,41155000,-8374000,-9934000,1560000,32781000,28798000,-2933000,25865000,25865000,25865000,25865000,665223000,84685000,580538000,7489000,125220000,125220000,797932000,92845000,21690000,20365000,1325000,114535000,912467000,81319000,21120000,60199000,1185000,51280000,51280000,133784000,587920000,91198000,91198000,679118000,812902000,1311351000,-1181428000,-30358000,99565000,99565000,912467000,-26839000,-3841000,-3841000,-2794000,-1047000,20175000,20801000,6163000,6163000,6448000,410000,410000,410000,589105000,0.36918,0.25666,0.16131,0.25978,0.02835,5.96433,8.16454,0.64562,0.21315,0.21743,1.3214,0.8205,0.03317,-1.84954
"29","2017_Q2",46.5657142857143,"Up",115800000,-82638000,33162000,-13677000,-13677000,19485000,-10521000,-11363000,2280000,8964000,8964000,0,8964000,8964000,8964000,8964000,860281000,114221000,746060000,6801000,95290000,95290000,962372000,95439000,26185000,21175000,5010000,121624000,1083996000,62374000,23237000,39137000,56000,108150000,108150000,170580000,595851000,115759000,115759000,711610000,882190000,1410226000,-1177960000,-30460000,201806000,201806000,1083996000,122665000,-4220000,-4220000,-3237000,-983000,-166962000,-168675000,6324000,6324000,75546000,29536000,29536000,29536000,595907000,0.28637,0.16826,0.07741,0.04442,0.00827,5.64176,4.37148,0.54973,0.07296,0.07173,0.94253,1.64256,0.00981,-13.56808
"30","2017_Q3",52.3815873015873,"Up",112273000,-83506000,28767000,-22317000,-22317000,6450000,-9314000,-11778000,2464000,-2864000,-2864000,-222000,-3086000,-3086000,-3086000,-3086000,855709000,132991000,722718000,6504000,102146000,102146000,964359000,99677000,26795000,21362000,5433000,126472000,1090831000,59444000,13268000,46176000,21476000,110840000,110840000,191760000,582657000,100843000,100843000,683500000,875260000,1435110000,-1189167000,-30372000,215571000,215571000,1090831000,2363000,-6826000,-6826000,-6216000,-610000,21521000,14695000,3603000,3603000,1711999.99999999,18770000,18770000,18770000,604133000,0.25622,0.05745,-0.02749,-0.01432,-0.00283,5.02899,4.06019,0.55383,-0.02489,-0.02448,0.90551,1.73863,-0.00335,-39.00403
"31","2017_Q4",54.837619047619,"Up",118314000,-80214000,38100000,-26788000,-26788000,11312000,-10155000,-10825000,2760000,1157000,-6532000,-962000,-7494000,-7494000,-2612000,-2612000,1010808000,159184000,851624000,8451000,91854000,91854000,1111113000,116624000,24824000,21908000,2916000,141448000,1252561000,72674000,23525000,49149000,60000,104913000,104913000,177647000,597590000,79656000,79656000,677246000,854893000,1528311000,-1190144000,-30199000,307968000,397668000,1252561000,28720000,-19745000,-19745000,-17049000,-2696000,-130354000,-150099000,118183000,118183000,147572000,26193000,26193000,26193000,597650000,0.32202,0.09561,-0.02208,-0.00657,-0.00209,6.25461,2.14977,0.47714,-0.021,-0.02064,0.95131,2.47622,-0.00243,-36.52387
"32","2018_Q1",50.8029508196721,"Down",161279000,-128286000,32993000,-45706000,-45706000,-12713000,-10505000,-10786000,301000,-23218000,-22844000,7164000,-15680000,-15680000,-9236000,-9236000,1022715000,129630000,893085000,9982000,136037000,136037000,1168734000,121907000,32133000,22004000,10129000,154040000,1322774000,116655000,24886000,91769000,1621000,125336000,125336000,243612000,605856000,108026000,108026000,713882000,957494000,1553806000,-1241034000,-31759000,281013000,365280000,1322774000,20401000,-7066000,-7066000,-8262000,1196000,-44646000,-54212000,5259000.00000001,5259000,4257000.00000006,-29554000,-29554000,-29554000,607477000,0.20457,-0.07883,-0.05727,-0.02528,-0.00698,4.79752,2.62126,0.45924,-0.07398,-0.07283,1.29184,2.25091,-0.00855,32.66247
"33","2018_Q2",44.305,"Down",144419000,-104067000,40352000,-43653000,-43653000,-3301000,-7496000,-10938000,3610000,-10797000,-10797000,-14999.9999999981,-10812000,-10812000,-1420000,-1420000,1035301000,227505000,807796000,9060000,98922000,98922000,1143283000,123188000,33089000,22914000,10175000,156277000,1299560000,92469000,13833000,78636000,47000,120127000,120127000,212643000,614370000,85446000,85446000,699816000,912459000,1577079000,-1242454000,-33234000,301391000,387101000,1299560000,13165000,-3081000,-3081000,-2343000,-738000,82567000,79486000,5675000,5675000,5224000,97875000,97875000,97875000,614417000,0.27941,-0.02286,-0.00983,-0.00367,-0.00109,5.37654,2.35716,0.47279,-0.01133,-0.01133,1.15231,2.40478,-0.00131,127.50197
"34","2018_Q3",46.9831746031746,"Up",117746000,-101830000,15916000,-66198000,-66198000,-50282000,-5930000,-11113000,5138000,-56212000,-56212000,-357000,-56569000,-56569000,-40355000,-40355000,1980450000,805490000,1174960000,9067000,93755000,93755000,2083272000,127940000,36103000,23452000,12651000,164043000,2247315000,86866000,13291000,73575000,1164000,160589000,160589000,248619000,624674000,556586000,556586000,1181260000,1429879000,2011698000,-1282809000,-32634000,696255000,817436000,2247315000,500237000,-7750000,-7750000,-6634000,-1116000,-367421000,-375171000,4503000,4503000,452919000,577985000,577985000,577985000,625838000,0.13517,-0.42704,-0.34273,-0.04937,-0.01796,8.37938,1.74922,0.27848,-0.31349,-0.31353,0.91467,5.40865,-0.02018,26.9403
