"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_realized_investment_gains","other_income","total_claims_losses","claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","fixed_income_trading_afs_short_term_inv","other_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","reserve_for_outstanding_claims_losses","premium_reserve_unearned","other_short_term_liabilities","long_term_debt","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","net_change_in_investments","increase_in_investments","decrease_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",15.8795161290323,"Up",4423900000,4054800000,1.09e+08,260100000,171900000,172300000,9800000,-3068200000,-3068200000,-899800000,-12900000,4.43e+08,-30600000,-30600000,412400000,412400000,-135400000,2.77e+08,2.77e+08,2.77e+08,2.77e+08,17176900000,14689300000,848400000,192200000,3.356e+09,918200000,461800000,1382100000,23487200000,12963600000,7760200000,5203400000,1906300000,2062700000,16932600000,1653300000,604700000,1048600000,3996200000,905100000,6554600000,6554600000,23487200000,2.77e+08,23600000,-42400000,66800000,-109200000,2.72e+08,530200000,-28800000,1900000,-339900000,-1.465e+09,1125100000,-47900000,-416600000,-1400000,0,0,-87100000,-87100000,-87600000,2.6e+07,2.6e+07,26700000,466600000,2062700000,845200000,0.10014,0.06261,0.04226,0.01179,3.05126,2.58332,0.08782,0.46021,0.45672,7.34989,10.88985,1.40422,0.00233,0.0129,0.03916,0.00505,4.00879,4.22235
"12","2013_Q1",17.8493333333333,"Up",4350600000,4105600000,106800000,138200000,62100000,63400000,7800000,-3073700000,-3073700000,-880300000,-12500000,384100000,-30600000,-30600000,353500000,353500000,-104400000,249100000,249100000,249100000,249100000,16475500000,13764100000,812400000,179100000,3183700000,933700000,434500000,1488200000,22694700000,12769100000,7838400000,4930700000,1855500000,2063100000,16687700000,1681600000,604600000,1.077e+09,3454400000,8.71e+08,6.007e+09,6.007e+09,22694700000,249100000,25300000,-26700000,-25900000,-799999.99999997,-221600000,26100000.0000001,-43100000,4e+05,667500000,-1489200000,2156700000,-58500000,565900000,-601300000,0,0,-4100000,-4100000,-605200000,-13200000,-13200000,-13100000,409400000,2063100000,249100000,0.08829,0.05726,0.04147,0.01098,1,2.77804,0.09091,0.41496,0.41126,7.24738,10.00666,0.41496,1.00167,0.04081,0.01195,2.41389,4.60186,4.90497
"13","2013_Q2",19.08703125,"Up",4437200000,4179300000,100500000,157400000,80600000,80800000,8400000,-2985500000,-2985500000,-944500000,-13500000,493700000,-30600000,-30600000,463100000,463100000,-154500000,308600000,308600000,308600000,308600000,17299700000,1.4368e+10,820600000,110200000,3372300000,935900000,452300000,1373100000,23543500000,13155700000,7948400000,5207300000,1934500000,2063500000,17153700000,1700100000,603200000,1096900000,3.72e+09,969700000,6389800000,6389800000,23543500000,308600000,23700000,1.08e+08,129800000,-21800000,281800000,722100000,-26900000,8e+05,-642100000,-2024900000,1382800000,98400000,-570600000,-175600000,-3464957.3760306,-3464957.3760306,-51300000,-51300000,-220300000,-68800000,-68800000,-68900000,517400000,2063500000,926800000,0.11126,0.06955,0.0483,0.01311,3.00324,2.68454,0.08765,0.51382,0.51059,7.38795,10.63903,1.54312,0.29237,0.02241,0.04289,0.56902,3.77522,3.95645
"14","2013_Q3",19.57953125,"Up",4593600000,4.277e+09,102200000,214400000,132900000,134500000,10600000,-3.117e+09,-3.117e+09,-945100000,-14800000,516700000,-30400000,-30400000,486300000,486300000,-161700000,324600000,324600000,324600000,324600000,17486400000,14507500000,754400000,96900000,3401900000,950600000,468100000,1437900000,23841800000,13409700000,8086200000,5323500000,1844300000,2063900000,17317900000,1709700000,600400000,1109300000,4e+09,814200000,6523900000,6523900000,23841800000,324600000,25300000,-164600000,-86800000,-77800000,229800000,415100000,-4.1e+07,8e+05,-421700000,-2445900000,2024200000,109500000,-353200000,0,0,0,-75400000,-75400000,-74600000,-12700000,-12700000,-13300000,5.42e+08,2063900000,892500000,0.11248,0.07066,0.04976,0.01361,2.74954,2.65453,0.08657,0.54136,0.53777,7.66111,10.88042,1.48849,1.11022302462516e-16,0.01476,0.04057,-1.11022302462516e-16,3.62915,3.80685
"15","2013_Q4",20.3584375,"Up",4521300000,4.303e+09,107400000,110900000,27900000,29800000,7e+06,-3164200000,-3164200000,-965400000,-16300000,375400000,-30400000,-30400000,3.45e+08,3.45e+08,-112600000,232400000,232400000,232400000,232400000,17995900000,14943800000,7.26e+08,100900000,3500800000,955300000,474700000,1481300000,24508900000,13788200000,8310300000,5477900000,1917500000,2010600000,17716300000,1.723e+09,6e+08,1.123e+09,4198700000,870900000,6792600000,6792600000,24508900000,232400000,25900000,62100000,34300000,27800000,290400000,610800000,-35300000,8e+05,-424700000,-1860200000,1435500000,-53300000,-513300000,0,0,0,-38100000,-38100000,-93300000,4200000,4200000,4e+06,401300000,2010600000,7.69e+08,0.08303,0.0514,0.03421,0.00948,3.30895,2.60818,0.08204,0.38804,0.38509,7.54934,11.34179,1.28402,0,0.01029,0.03404,0,4.75878,5.08711
"16","2014_Q1",18.9170491803279,"Down",4618800000,4344100000,111900000,162800000,7.7e+07,79400000,9300000,-3205700000,-3205700000,-947700000,-1.3e+07,452400000,-26800000,-26800000,425600000,425600000,-125800000,299800000,299800000,299800000,299800000,18054700000,1.4813e+10,711200000,75100000,3310700000,960900000,447600000,1559200000,24408200000,13654200000,8479700000,5174500000,2703600000,1860900000,18218700000,1737800000,595800000,1.142e+09,3.5e+09,951700000,6189500000,6189500000,24408200000,299800000,26400000,-57300000,-19500000,-37800000,-1.17e+08,151900000,-33500000,1300000,116500000,-1091800000,1208300000,-2400000,80600000,0,-1.5e+08,-1.5e+08,-108600000,-108600000,-258600000,-26100000,-26100000,-25800000,478800000,1860900000,454100000,0.09795,0.06491,0.04844,0.01228,1.51468,2.94348,0.07624,0.50193,0.49726,7.7328,10.36246,0.76025,5.55111512312578e-17,0.01381,0.02092,2.22044604925031e-16,3.72974,3.94739
"17","2014_Q2",19.5146031746032,"Up",4707600000,4402300000,103300000,2.02e+08,119400000,119400000,9800000,-3205900000,-3205900000,-979400000,-13800000,508500000,-26700000,-26700000,481800000,481800000,-160500000,321300000,321300000,321300000,321300000,17395700000,14379100000,737900000,96700000,3515900000,9.5e+08,466900000,1890200000,24315400000,14052700000,8592600000,5460100000,1962800000,1861300000,17876800000,1752100000,593100000,1.159e+09,3735200000,951300000,6438600000,6438600000,24315400000,321300000,22800000,66500000,149600000,-83100000,2.5e+08,660600000,-1.4e+07,2200000,762300000,-1818200000,2580500000,-411300000,3.37e+08,-892600000,0,0,-94700000,-94700000,-976600000,2.1e+07,2.1e+07,21600000,531300000,1861300000,927800000,0.10802,0.06825,0.0499,0.01321,2.88764,2.7765,0.07655,0.541,0.53756,7.92659,10.84122,1.56222,1.50295,0.05431,0.04151,2.77809,3.32129,3.47021
"18","2014_Q3",19.40875,"Down",4741500000,4513500000,99200000,128800000,40400000,40400000,1.4e+07,-3269100000,-3269100000,-986500000,-18900000,4.67e+08,-29600000,-29600000,437400000,437400000,-1.44e+08,293400000,293400000,293400000,293400000,18759200000,15617300000,760200000,126100000,3566300000,952500000,4.79e+08,1569600000,25452700000,14222500000,8639900000,5582600000,2.233e+09,2.208e+09,18663500000,1760800000,591500000,1169300000,3989500000,1038900000,6789200000,6789200000,25452700000,293400000,23900000,-101500000,-9.6e+07,-5500000.00000001,164800000,380600000,-27600000,9e+05,-1209400000,-1690600000,481200000,585800000,-651200000,0,344700000,344700000,-45300000,-45300000,299400000,28800000,28800000,29400000,490900000,2.208e+09,772100000,0.09849,0.06188,0.04322,0.01153,2.63156,2.749,0.08675,0.49628,0.4927,8.02013,11.48376,1.30599,4.44089209850063e-16,0.01264,0.03325,8.88178419700125e-16,4.24099,4.45803
"19","2014_Q4",20.77453125,"Up",4766100000,4540100000,101700000,124300000,38200000,38300000,10200000,-3291800000,-3291800000,-984400000,-17400000,472500000,-30700000,-30700000,441800000,441800000,-145700000,296100000,296100000,296100000,296100000,19083200000,15940500000,763300000,90600000,3705600000,9.54e+08,488300000,1604300000,2.5926e+10,14505400000,8728400000,5.777e+09,2.321e+09,2164300000,18990700000,1759100000,589200000,1169900000,4203500000,972700000,6935300000,6935300000,2.5926e+10,296100000,25100000,2.6e+07,28500000,-2500000,269100000,616300000,-27500000,1400000,-405100000,-2516400000,2111300000,-77800000,-510400000,0,0,0,-94700000,-94700000,-141500000,-35600000,-35600000,-35500000,497600000,2164300000,884900000,0.09914,0.06213,0.04269,0.01142,2.98852,2.73827,0.08348,0.50203,0.49874,8.08087,11.75873,1.50034,0,0.01254,0.03749,0,4.1674,4.38878
"20","2015_Q1",21.4022950819672,"Up",5176200000,4942600000,104200000,129400000,26200000,3.4e+07,17200000,-3539400000,-3539400000,-1040800000,-19700000,576300000,-29900000,-29900000,546400000,546400000,-176200000,370200000,370200000,370200000,370200000,1.9018e+10,15698200000,827500000,108400000,3537500000,960600000,457200000,1705900000,25787600000,14297500000,8857400000,5440100000,2396800000,2164700000,1.8859e+10,1772100000,587800000,1184300000,4133400000,1023100000,6928600000,6928600000,25787600000,370200000,25300000,22100000,15400000,6700000,-349500000,68100000.0000002,-33100000,1400000,147500000,-2.312e+09,2459500000,-126700000,-12300000,-2.98023223876953e-08,0,0,-36700000,-36700000,-36700000,19100000,19100000,17800000,601600000,2164700000,395200000,0.11134,0.07152,0.05343,0.01436,1.06753,2.72191,0.08394,0.63013,0.62502,8.81055,11.79336,0.67268,-5.55111512312578e-17,0.01583,0.0169,0,3.41805,3.56811
"21","2015_Q2",22.0477777777778,"Up",4895300000,4666300000,105100000,123900000,3.3e+07,40900000,17200000,-3368600000,-3368600000,-1029800000,-21200000,475700000,-32500000,-32500000,443200000,443200000,-147600000,295600000,295600000,295600000,295600000,19830600000,16486800000,828100000,101500000,3.777e+09,957500000,4.84e+08,1730100000,26880700000,14855600000,9001600000,5.854e+09,2263100000,2560100000,19678800000,1.784e+09,587300000,1196700000,4368600000,1049300000,7201900000,7201900000,26880700000,295600000,23800000,78100000,80600000,-2500000,373600000,771100000,-20800000,1400000,-740100000,-3.101e+09,2360900000,64500000,-696400000,-403600000,3.82e+08,3.82e+08,-65900000,-65900000,-81200000,-6500000,-6500000,-6900000,499500000,2560100000,999900000,0.09717,0.06038,0.04104,0.011,3.38261,2.73245,0.09524,0.50306,0.50017,8.33101,12.25647,1.70167,0.68686,0.0284,0.04062,1.36536,4.92212,5.16838
"22","2015_Q3",24.4284375,"Up",5283300000,4995800000,113300000,174200000,7.6e+07,77700000,23300000,-3617200000,-3617200000,-1079700000,-26200000,560200000,-34900000,-34900000,525300000,525300000,-156800000,368500000,368500000,363300000,363300000,20577400000,17258300000,772300000,263800000,3867300000,1018900000,568200000,3008600000,29304200000,16343100000,9701200000,6641900000,2428900000,2.739e+09,2.1511e+10,1762900000,585900000,1.177e+09,4694900000,9.02e+08,7359800000,7793200000,29304200000,368500000,41600000,-199300000,-163500000,-35800000,448100000,658900000,-25700000,5700000,277100000,-2472900000,2.75e+09,-688800000,-437400000,-5.96046447753906e-08,-6800000.00000006,-6800000.00000006,-54800000,-54800000,-59200000,162300000,162300000,162300000,601800000,2.739e+09,1.181e+09,0.10603,0.06876,0.04662,0.0124,3.25076,2.76023,0.09347,0.62028,0.61628,9.02049,12.56582,2.01639,0,0.01352,0.04394,0,4.11299,4.41842
"23","2015_Q4",25.6946875,"Up",5273800000,5070600000,117500000,85700000,-15800000,-2200000,22200000,-3654300000,-3654300000,-1130700000,-25300000,463500000,-34500000,-34500000,4.29e+08,4.29e+08,-142500000,286500000,286500000,278300000,278300000,21013600000,17754100000,775600000,194500000,4139800000,1024100000,590800000,2972200000,2.9935e+10,16799100000,9827200000,6971900000,2516700000,2714300000,22030100000,1781900000,584600000,1197300000,4910900000,769200000,7.462e+09,7904900000,2.9935e+10,286500000,41900000,54400000,-9200000,63600000,347600000,730400000,-31400000,1600000,-671600000,-1994100000,1322500000,-9800000,-712800000,0,-6800000,-6800000,-66800000,-66800000,-86600000,-6.9e+07,-6.9e+07,-69300000,505400000,2714300000,964100000,0.08789,0.05277,0.03521,0.0093,3.46425,2.78689,0.09067,0.47556,0.47242,9.01196,12.7512,1.64747,0,0.01015,0.03516,0,4.98575,5.43646
"24","2016_Q1",26.3759016393443,"Up",5401400000,5166400000,118700000,116300000,19500000,20100000,22700000,-3701900000,-3701900000,-1123700000,-27600000,548200000,-34100000,-34100000,514100000,514100000,-164200000,349900000,349900000,330400000,330400000,20937300000,17504200000,782600000,224100000,3987700000,1037200000,564100000,3068900000,29819300000,16660800000,1.0039e+10,6621800000,2696300000,2707900000,2.2065e+10,1802400000,583600000,1218800000,4686600000,800400000,7289400000,7754300000,29819300000,349900000,43200000,14400000,-15100000,29500000,-2.75e+08,132500000,-42200000,1900000,104300000,-2390200000,2494500000,-126800000,-64700000.0000001,0,-6800000.00000001,-6800000.00000001,-33400000,-33600000,-38400000,29400000,29400000,29900000,591400000,2707900000,438400000,0.10149,0.06117,0.04261,0.01108,1.32688,2.84552,0.09081,0.56624,0.56267,9.2569,12.49254,0.75133,0,0.01218,0.01616,0,4.19986,4.53083
"25","2016_Q2",27.52875,"Up",5557500000,5317400000,118800000,121300000,17400000,17400000,2.5e+07,-3913400000,-3913400000,-1196100000,-26400000,421600000,-34200000,-34200000,387400000,387400000,-128700000,258700000,258700000,258200000,258200000,21330500000,17793300000,832200000,203900000,4378900000,1061900000,6e+08,3146400000,30721600000,17427400000,10286700000,7140700000,2565300000,2701600000,22694300000,1814300000,5.83e+08,1231300000,4877600000,8.68e+08,7559900000,8027300000,30721600000,258700000,4.3e+07,107800000,91800000,1.6e+07,409300000,818800000,-52300000,2e+06,-267700000,-2648300000,2380600000,70400000,-249600000,-5.19e+08,-6800000,-6800000,-70300000,-70300000,-589500000,-20300000,-20300000,-20200000,464600000,2701600000,950300000,0.07586,0.04646,0.03217,0.0084,3.68048,2.82714,0.08794,0.44273,0.44099,9.52932,12.96279,1.62946,0.88992,0.0276,0.03375,2.01007,5.37602,5.92434
"26","2016_Q3",27.09359375,"Down",5819300000,5561800000,114600000,142900000,32300000,32500000,28100000,-4.243e+09,-4.243e+09,-1225700000,-2.9e+07,321600000,-34300000,-34300000,287300000,287300000,-92400000,194900000,194900000,190900000,190900000,22379800000,18755900000,858500000,134700000,4522200000,1083700000,645200000,3192600000,31958200000,18144900000,10674800000,7470100000,2846900000,2664100000,23655900000,1846500000,581900000,1264600000,5031200000,957800000,7835500000,8302300000,31958200000,194900000,46200000,-138500000,-161100000,22600000,649900000,752500000,-53500000,1300000,-894100000,-2131800000,1237700000,191900000,-755700000,0,-6200000,-6200000,-41800000,-41800000,-66099999.9999999,-69300000,-69300000,-69200000,367800000,2664100000,1056600000,0.05526,0.0328,0.02299,0.00597,5.53483,2.84932,0.08336,0.32778,0.32627,9.99193,13.45381,1.81422,0,0.00656,0.0363,0,6.87711,7.86505
