"","YQ","p","d","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q2",3.11746031746032,"Down",-11520000,-1956000,-1956000,-9564000,-11520000,-337000,-337000,263000,-11857000,-11857000,-11857000,-11857000,-11857000,-11857000,55814000,55814000,1891000,1877000,57705000,68561000,6653000,6107000,546000,10035000,2159000,2159000,12722000,22757000,183120000,-137316000,45804000,45804000,68561000,-11857000,373000,1470000,-138000,-10152000,-526000,-526000,5166000,5166000,5079000,-5599000,-5599000,-5599000,-11147000,13688000,-0.25886,-0.17294,5.75037,0.49683,0.19965,-0.2825,-0.2825,1.09132,-0.19232,3.77913,3.65677
"12","2020_Q3",3.28625,"Up",-14121000,-2991000,-2991000,-11130000,-14121000,-477000,-477000,-1077000,-14598000,-14598000,-14598000,-14598000,-14598000,-14598000,85361000,85361000,911000,886000,86272000,96830000,9487000,8996000,491000,14752000,2090000,2090000,11049000,25801000,222943000,-151914000,71029000,71029000,96830000,-14598000,425000,3561000,3044000,-7568000,-814000,-814000,40256000,40256000,37929000,29547000,29547000,29547000,-13696000,13959000,-0.20552,-0.15076,5.84816,0.36325,0.14416,-0.32423,-0.32423,1.57761,-0.16764,5.21335,5.05644
"13","2020_Q4",3.186875,"Down",-10427000,-2153000,-2153000,-8274000,-10427000,-2525000,-2525000,-2525000,-12952000,-12952000,-12952000,-12952000,-12952000,-12952000,75251000,75251000,381000,344000,75632000,86068000,7359000,7054000,305000,7630000,2022000,2022000,2022000,9652000,241282000,-164866000,76416000,76416000,86068000,-12952000,425000,3160000,-757000,-10124000,-1608000,-1608000,17727000,17727000,1622000,-10110000,-10110000,-10110000,-10002000,0,-0.16949,-0.15049,9.91245,0.12631,0,-0.22583,-0.22583,1.33235,-0.16512,7.5236,7.21694
"14","2021_Q1",3.96377049180328,"Up",-20738000,-2405000,-2405000,-18333000,-20738000,130000,130000,130000,-20608000,-20608000,-20608000,-20608000,-20608000,-20608000,97804000,97804000,1730000,1715000,99534000,109900000,9237000,8747000,490000,9515000,1950000,1950000,1950000,11465000,283909000,-185474000,98435000,98435000,109900000,-20608000,454000,9735000,944000.000000001,-9475000,-1464000,-1464000,34235000,34235000,33492000,22553000,22553000,22553000,-20284000,0,-0.20936,-0.18752,10.46075,0.11647,0,-0.31221,-0.31221,1.49129,-0.20529,4.82173,4.71617
"15","2021_Q2",3.26825396825397,"Down",-15087000,-3469000,-3469000,-11618000,-15087000,130000,130000,130000,-14957000,-14957000,-14957000,-14957000,-14957000,-14957000,129371000,129371000,1598000,1581000,130969000,141822000,6302000,5959000,343000,6586000,1875000,1875000,1875000,8461000,333792000,-200431000,133361000,133361000,141822000,-14957000,462000,2222000,-3307000,-15580000,-458000,-458000,48537000,48537000,47605000,31567000,31567000,31567000,-14625000,0,-0.11215,-0.10546,19.88597,0.06344,0,-0.18588,-0.18588,1.65736,-0.1106,8.84588,8.575
"16","2021_Q3",2.86421875,"Down",-14440000,-2538000,-2538000,-11902000,-14440000,81000.0000000001,81000.0000000001,80999.9999999999,-14359000,-14359000,-14359000,-14359000,-14359000,-14359000,129923000,129923000,1418000,1386000,131341000,143207000,6015000,5766000,249000,6361000,1821000,1821000,1821000,8182000,349815000,-214790000,135025000,135025000,143207000,-14359000,472000,1975000,-183000,-12095000,-2441000,-2441000,15394000,15394000,15088000,552000,552000,552000,-13968000,1.16415321826935e-10,-0.10634,-0.10027,20.64785,0.0606,0,-0.16391,-0.16391,1.54136,-0.10493,9.30147,8.99744
"17","2021_Q4",2.1528125,"Down",-17077000,-2364000,-2248395.48425644,-14713000,-17077000,72000,72000,209113.972776128,-17005000,-17005000,-17005000,-17005000,-17005000,-17005000,120879000,120879000,1069000,1028000,121948000,134706000,10130000,9834000,296000,10459000,2033000,1763000,2033000,12492000,354009000,-231795000,122214000,122214000,134706000,-17005000,578000,1623000,3515000,-11289000,-990000,-990000,3290000,3290000,3235000,-9044000,-9044000,-9044000,-16499000,0,-0.13914,-0.12624,11.65962,0.10221,0,-0.20236,-0.20236,1.45435,-0.13686,7.32644,7.07847
"18","2022_Q1",1.09548387096774,"Down",-20119000,-2646000,-2805097.12634501,-17473000,-20119000,70000,70000,161999.800857536,-20049000,-20049000,-20049000,-20049000,-20049000,-20049000,109618000,109618000,2088000,2038000,111706000,125170000,10467000,9744000,723000,10815000,1955000,1685000,1955000,12770000,364244000,-251844000,112400000,112400000,125170000,-20049000,655000,5353000,-662000.000000001,-14703000,-1477000,-1477000,5007000,5007000,4919000,-11261000,-11261000,-11261000,-19464000,9.31322574615479e-10,-0.17837,-0.16017,10.3288,0.11361,0,-0.35018,-0.35018,1.96319,-0.17532,5.63183,5.44848
"19","2022_Q2",0.73758064516129,"Down",-19638000,-3349000,-3349000,-16289000,-19638000,-157000,-157000,-157000,-19795000,-19795000,-19795000,-19795000,-19795000,-19795000,122216000,122216000,1937000,1905000,124153000,136961000,10426000,9615000,811000,10784000,1860000,1590000,28846000,39630000,368970000,-271639000,97331000,97331000,136961000,-19795000,640000,1545000,1321000,-16289000,-1334000,-1334000,2904000,2904000,30221000,12598000,12598000,12598000,-18998000,26986000,-0.20338,-0.14453,11.5127,0.40717,0.19703,-0.2172,-0.2172,1.06796,-0.15688,5.01263,4.84927
"20","2022_Q3",0.6171875,"Down",-18241000,-3077000,-3077000,-15164000,-18241000,-858000,-858000,-858000,-19099000,-19099000,-19099000,-19099000,-19099000,-19099000,107369000,107369000,2007000,1974000,109376000,121905000,10613000,10165000,448000,10981000,1766000,1496000,28916000,39897000,372746000,-290738000,82008000,82008000,121905000,-19099000,658000,1171000,-305000,-17575000,-306000,-306000,3112000,3112000,3034000,-14847000,-14847000,-14847000,-17583000,27150000,-0.23289,-0.15667,9.96048,0.4865,0.22271,-0.18552,-0.18552,0.7966,-0.17218,4.5623,4.39773
