"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q2",29.548253968254,"Down",162287000,-86303000,-12600000,-66296000,-7407000,75984000,-57914000,-57914000,18070000,-4523000,13547000,13185000,22563000,22563000,22563000,108134000,108134000,268389000,6538760000,7317843000,1183172000,573925000,325583000,7721932000,7990321000,122973000,122973000,3579582000,862627000,204161000,204161000,1066788000,4646370000,4447652000,3343951000,3343951000,7990321000,22563000,66296000,9321000,-18575000,79605000,-265740000,109474000,-156266000,-67249000,-720000,-720000,76583000,8614000,-68047000,-68047000,-68047000,142280000,4319236000,0.46821,0.13903,0.00675,0.00282,0.07498,1.38949,0.54056,0.24617,0.24581,1.77059,36.48332,0.00287,29.59729,55.4209
"12","2015_Q3",26.65890625,"Down",167934000,-83057000,-11972000,-64671000,-6414000,84877000,-56167000,-56167000,28710000,-30847000,-2137000,-2298000,49345000,49345000,49345000,39674000,39674000,193433000,6608588000,7393948000,1106472000,557214000,277344000,7715060000,7908493000,120134000,120134000,3411813000,704066000,202021000,202021000,906087000,4317900000,4719755000,3590593000,3590593000,7908493000,49345000,64671000,35750000,-61732000,88034000,-281747000,230654000,-51093000,-390990000,46000,2.3283064365387e-10,285543000,-105401000,-68460000,-68460000,-68460000,149548000,3995745000,0.50542,0.29384,0.01374,0.00624,0.0567,1.20256,0.50525,0.5068,0.50645,1.72477,36.87725,0.00634,26.45352,46.60946
"13","2015_Q4",27.18609375,"Up",168425000,-83154000,-12165000,-64493000,-6496000,85271000,-54673000,-54673000,30598000,-21361000,9237000,9053000,15003000,15003000,15003000,28210000,28210000,179507000,6655870000,7482150000,1033946000,543620000,221114000,7689816000,7869323000,131426000,131426000,3374348000,762062000,200601000,200601000,962663000,4337011000,4723179000,3532312000,3532312000,7869323000,15003000,64493000,26256000,-2177000,103575000,-155619000,87815000,-67804000,-45415000,-980000,-980000,-840000,-47235000,-11464000,-11464000,-11464000,149764000,4004984000,0.50628,0.08908,0.00425,0.00191,0.0532,1.22781,0.50894,0.15283,0.15278,1.71572,35.98313,0.00194,26.5536,46.63689
"14","2016_Q1",29.1491803278689,"Up",168689000,-83564000,-10993000,-65173000,-7398000,82386000,-54147000,-54147000,28239000,44829000,73068000,73174000,6301000,6301000,6301000.00000001,21790000,21790000,170117000,6666415000,7527369000,1054507000,526718000,263439000,7720922000,7891039000,142475000,142475000,3222262000,1.013e+09,193903000,193903000,1206903000,4429165000,4725741000,3461874000,3461874000,7891039000,6301000,65173000,23841000,5457000,100772000,-172877000,62344000,-110533000,8725000,-2572000,-2572000,-2811999.99999997,3340999.99999999,-6420000,-6420000,-6420000,147559000,4092787000,0.48839,0.03735,0.00182,8e-04,0.05279,1.27941,0.51866,0.32686,0.32662,8.75073,179.58439,0.00081,27.58894,49.4137
"15","2016_Q2",33.14,"Up",168357000,-83640000,-11649000,-64664000,-7327000,84717000,-53017000,-53017000,31700000,-18665000,13035000,12954000,23100000,23100000,23100000,27888077.7636939,27888077.7636939,166546386.404313,6611822511.3418,7500607299.53387,1015810175.56733,506515942.263393,248843692.439916,7627636350.9155,7794182737.31981,140056114.288608,140056097.076265,3003321429.76065,995921631.546756,188617289.674338,188617289.674338,1184538921.22109,4187860350.98175,4922051920.66573,3606322386.33807,3606322386.33807,7794182737.31981,23100000,64664000,22446000,-20575000,89635000,-72458000,97237000,24779000,-141113000,-738000,-738000,14639000,-127212000,-12798000,-12798000,-12798000,149381000,0,0.5032,0.13721,0.00786327017877358,0.00380439727317599,0.0558728488192857,1.16694257015351,0.494784642293578,0.2347,0.2347,1.71052,143.202098960912,0.00748340930277517,-49.9378192851336,37.9173375251701
"16","2016_Q3",38.2534375,"Up",171726000,-84724000,-13850000,-64263000,-6611000,87002000,-49172000,-49172000,37830000,-2147000,35683000,34844000,45959000,45959000,45959000,29410000,29410000,151596000,6606414000,7538248000,977661000,491489000,227803000,7584075000,7735671000,138457000,138457000,2710301000,1064497000,185811000,185811000,1250308000,3960609000,5131482000,3775062000,3775062000,7735671000,45959000,64263000,5051000,-27928000,87345000,-162884000,138596000,-24288000,-429635000,-999.999999996275,-1000.00000000023,386997000,-42639000,20418000,20418000,20418000,151265000,3636341000,0.50663,0.26763,0.01217,0.00594,0.05593,1.04915,0.47007,0.43557,0.43557,1.6275,35.77751,0.00605,23.84511,41.45802
"17","2016_Q4",33.1103174603175,"Down",172508000,-87328000,-15112000,-65300000,-6916000,85180000,-47653000,-47653000,37527000,-28076000,9451000,9439000,27399000,27399000,27399000,13184000,13184000,118415000,6672141000,7.647e+09,1020444000,484600000,279374000,7692585000,7.811e+09,148267000,148267000,2390050000,1468080000,186935000,186935000,1655015000,4045065000,5179542000,3765935000,3765935000,7.811e+09,27399000,65300000,27764000,-38152000,82311000,-189126000,62353000,-126773000,-10268000,0,0,38504000,28236000,-16226000,-16226000,-16226000,150480000,3709863000,0.49377,0.15883,0.00728,0.00351,0.04954,1.07412,0.47495,0.25621,0.25565,1.61312,35.2152,0.00358,24.56592,43.39844
"18","2017_Q1",31.5701612903226,"Down",-77251000,7960000,-8040000,21191000,-5191000,-72195000,31152000,31152000,-41043000,12380000,-28663000,-28599000,988000,988000,988000,10059000,10059000,112642000,6539226000,7479231000,1026103000,470276000,301487000,7565329000,7677971000,148915000,148915000,2311318000,1502225000,182320000,182320000,1684545000,3995863000,5181922000,3682108000,3682108000,7677971000,988000,68049000,-21567000,80867000,128337000,293409000,-321927000,-28518000,196314000,446599000,-14000.0000000019,-473023000,-153750000,-53931000,-53931000,-53931000,-4146000,3664628000,0.93455,-0.01279,0.000269999999999999,0.00013,0.04873,1.08521,0.47729,0.00918000000000002,0.00919,-0.71753,34.2006,0.04312,-881.46864,-50.6208
"19","2017_Q2",25.2830158730159,"Down",165422000,-87463000,-13418000,-64994000,-9051000,77959000,-46623000,-46623000,31336000,-34559000,-3223000,-3388000,12829000,12829000,12829000,9309000,9309000,104575000,6479063000,7445424000,1005158000,459799000,291019000,7484221000,7588796000,146836000,146836000,2255953000,1548740000,175261000,175261000,1724001000,3979954000,5184167000,3608842000,3608842000,7588796000,12829000,64994000,40389000,-21410000,96802000,-135616000,119551000,-16065000,-63553000,-804000,-804000,-595000,-64952000,15785000,15785000,15785000,142953000,3657857000,0.47127,0.07755,0.00355,0.00169,0.04636,1.10283,0.48201,0.1192,0.1192,1.53707,33.53275,0.00172,25.52271,46.80086
"20","2017_Q3",25.4993650793651,"Up",108670000,-73089000,-21868000,-43441000,-7780000,35581000,-28051000,-28051000,7530000,-3597000,3933000,3773000,23206000,23206000,23206000,11246000,11246000,105034000,6399504000,7400561000,1014785000,457580000,302865000,7414289000,7519323000,147036000,147036000,2250461000,1743198000,169831000,169831000,1913029000,4163490000,5193093000,3355833000,3355833000,7519323000,23206000,64220000,28980000,-11821000,104585000,-82501000.0000001,95273000.0000001,12772000,96101000,-203023000,-203023000,403000,-106519000,10838000,10838000,10838000,99801000,3846623000,0.32742,0.21355,0.00692,0.00309,0.04667,1.24067,0.51157,0.2172,0.2172,1.01713,31.40995,0.00315,38.4302499999999,107.79284
"21","2017_Q4",26.7788888888889,"Up",108721000,-61210000,-12712000,-43318000,-5180000,47511000,-29948000,-29948000,17563000,-10597000,6966000,6822000,5322000,5322000,5322000,11947000,11947000,113651000,6285157000,7303701000,1035979000,429857000,351782000,7321136000,7434787000,149858000,149858000,2200160000,1812843000,162619000,162619000,1975462000,4175622000,5195408000,3259165000,3259165000,7434787000,5322000,63673000,42924000,-13903000,98016000,-60353000,95091000,34738000,-66063000,-21921000,-21921000,0,-87984000,44770000,44770000,44770000,111184000,3863145000,0.437,0.04895,0.00163,0.00072,0.05166,1.28119,0.5196,0.05226,0.05226,1.06759,32.0035,0.00073,34.63806,81.05908
"22","2018_Q1",25.6859016393443,"Down",48445000,-35409000,-7e+06,-21933000,-6476000,13036000,-8772000,-8772000,4264000,28999000,33263000,33221000,35791000,35791000,33261000,8792000,8792000,8792000.00000001,4084238000,4587806000,3170481000,306252000,2638629000,7254719000,7263511000,131642000,131642000,131642000,1712846000,2099414000,2099414000,3812260000,3943902000,5364313000,3319609000,3319609000,7263511000,35791000,63132000,-55922000,51578000,94579000,471032000,-348241000,122791000,36808000,105310000,-60883000,-11368000,-210954000,6416000,6416000,6416000,76168000,1712846000,0.26909,0.68657,0.01002,0.00458,0.06679,1.18806,0.23582,1.59373,1.5937,2.32129,159.06206,0.05258,22.37231,130.71909
"23","2018_Q2",27.988125,"Up",103539000,-61535000,-15290000,-40694000,-5551000,41957000,-23053000,-23053000,18904000,19337000,38241000,38078000,30718000,30718000,28130000,10989000,10989000,146898000,6143679000,7257483000,912243000,396596000,261307000,7055922000,7202820000,141898000,141898000,2713692000,1169226000,151179000,151179000,1320405000,4034097000,5202354000,3168723000,3168723000,7202820000,30718000,62117000,2074000,-1749000,93160000,-2722000,-15460000,-18182000,47924000,-104526000,-104526000,-2341000,-61531000,13447000,13447000,13447000,104074000,3741020000,0.40523,0.27169,0.00888,0.00391,0.05413,1.2731,0.51938,0.28355,0.2834,1.04366,31.94045,0.00435,35.84018,88.90128
"24","2018_Q3",31.1863492063492,"Up",102459000,-58268000,-13520000,-39942000,-4806000,44191000,-23548000,-23548000,20643000,3101000,23744000,23567000,15914000,15914000,14576000,9289000,9289000,89555000,3996740000,4557340000,672886000,287607000,159679000,4819626000,4909181000,121858000,121858000,121858000,1832132000,125905000,125905000,1958037000,2079895000,4991005000,2829286000,2829286000,4909181000,17164000,53980000,3363000.00000001,-7255999.99999999,67251000,-15422000,-53823000,-69245000,-33594000,-60295000,-65295000,-2025000,-98502000,-100496000,-100496000,-100496000,98171000,1832132000,0.4313,0.14226,0.00515,0.00297,0.73491,0.73513,0.37321,0.19338,0.19294,1.3593,37.53553,0.00359000000000001,18.56804,41.24919
"25","2018_Q4",29.4730158730159,"Down",109644000,-56584000,-11033000,-40379000,-5172000,53060000,-24784000,-24784000,28276000,-869000,27407000,27272000,26306000,26306000,27468000,7578000,7578000,84388000,4140659000,4730258000,717862000,302954000,189308000,5008521000,5092909000,99670000,99670000,99670000,2064268000,123613000,123613000,2187881000,2287551000,4994089000,2805358000,2805358000,5092909000,30056000,40379000,6258000,-3292000,73401000,-224347000,1302000,-223045000,150583000,-691000,-691000,-19000,147285000,-2359000,-2359000,-2359000,93439000,2064268000,0.48393,0.25052,0.00979,0.00539,0.84667,0.81542,0.40532,0.32196,0.32105,1.28518,32.88265,0.00602,22.01104,38.76159
"26","2019_Q1",29.6911475409836,"Up",129483000,-39058000,-13150000,-41437000,15529000,90472000,-31482000,-26163000,58990000,-7849000,51141000,50824000,50364000,50364000,51526000,14493000,14493000,14493000,4136261000,4757717000,795562000,294463000,275499000,5081823000,5096316000,119768000,119768000,119768000,2054637000,120162000,120162000,2174799000,2294567000,5166163000,2801749000,2801749000,5096316000,54114000,41437000,-13696000,20698000,102553000,79442000,10568000,90010000,223115000,-2100000,-56000,-68645000,-140441000,52122000,52122000,52122000,131909000,2054637000,0.69872,0.39794,0.01839,0.01011,0.12101,0.81898,0.40316,0.60344,0.60235,1.51642,32.8122,0.06919,15.4663,22.55
"27","2019_Q2",33.3942857142857,"Up",112593000,-59684000,-13181000,-41349000,-5154000,52838000,-26611000,-26611000,26227000,13821000,40048000,39828000,39828000,39828000,40990000,9376000,9376000,72711000,4167515000,4804295000,768631000,291095000,251936000,5086146000,5158857000,125183000,125183000,125183000,2100233000,114805000,114805000,2215038000,2340221000,5202347000,2818636000,2818636000,5158857000,43578000,41349000,-4707000,-8867000,71353000,-160262000,7623000,-152639000,3679000,11010214.2649501,-4636700.34247694,30666000,31757000,-49529000,-49529000,-49529000,94187000,2100233000,0.46928,0.36405,0.01454,0.00795,0.58084,0.83027,0.40711,0.47943,0.47939,1.31692,32.96762,0.00866,22.199,39.57109
"28","2019_Q3",36.76921875,"Up",115745000,-55175000,-13833000,-41342000,-9939762.29375516,56163000,-25176000,-25176000,30987000,11320000,42307000,41987000,41987000,41987000,43149000,9984000.00000001,9984000.00000001,64575000,4407297000,5076993000,686161000,297749000,162812000,5243458000,5308033000,134081000,134081000,134081000,2126015000,118477000,118477000,2244492000,2378573000,5336079000,2929460000,2929460000,5308033000,45737000,41342000,-12790000,-1367000,72922000,-124072000,-25223000,-149295000,75938000,160888000,-1382000,-56896000,69470000,-6903000,-6903000,-6903000,97505000,2126015000,0.48523,0.37279,0.01473,0.00813,0.48161,0.81195,0.40053,0.49591,0.49003,1.33024,33.66797,0.02969,21.70177,37.6766
"29","2019_Q4",40.45125,"Up",166947000,-61041000,-12727000,-43907000,-4407000,93445000,-24675000,-24675000,68770000,20412000,89182000,77992000,77992000,77992000,78707000,358440000,358440000,409488000,4592169000,5281515000,661927000,311597000,124730000,5254096000,5663584000,136781000,136781000,395894000,1818395000,116515000,116515000,1934910000,2330804000,5715334000,3332780000,3332780000,5663584000,81294000,43907000,-32227000,22104000,115078000,-204218000,177536000,-26682000,-48798000,374575000,-1158000,-6590000,260281000,348677000,348677000,348677000,137352000,2077508000,0.55973,0.47145,0.02362,0.0139,1.03434,0.69936,0.36682,0.87373,0.87652,1.85328,36.9972,0.0249,12.51578,18.39658
"30","2020_Q1",37.2812903225806,"Down",121142000,-70626000,-12683000,-48867000,-9076000,54994000,-24598000,-24598000,30396000,-25968000,4428000.00000001,4657000,4657000,4657000,2069999.99999999,14492000,14492000,14492000,5033410000,5750507000,784759000,385079000,174080000,5818169000,5832661000,139060000,139060000,139060000,2153017000,127335000,127335000,2280352000,2419412000,5857548000,3413249000,3413249000,5832661000,4657000,48867000,25611000,564999.999999996,79700000,-553367000,-13016000,-566383000,73096000,139424000,-999.999999999069,-4561999.99999999,143040000,-343643000,-343643000,-343643000,103861000,2153017000,0.45396,0.01709,0.000609999999999999,0.00035,0.10421,0.70883,0.36913,0.0207200000000001,0.02067,1.21266,34.16738,0.01177,20.59026,38.88651
"31","2020_Q2",25.5438095238095,"Down",122720000,-72681000,-13490000,-52236000,-6955000,50039000,-25359000,-25359000,24680000,-40386000,-15706000,-15847000,-15847000,-15847000,-18435000,216692000,216692000,254841000,5146530000,5882924000,733798000,381398000,126800000,5880328000,6135169000,124084000,124084000,839270000,1822394000,124097000,124097000,1946491000,2785761000,5878595000,3349408000,3349408000,6135169000,-15847000,52236000,45879000,-15090000,67178000,-213628000,17963000,-195665000,382483000,15328000,17677000,-5679488.94798359,330861000,202374000,202374000,202374000,102275000,2037580000,0.40775,-0.15022,-0.0055,-0.003,0.30365,0.83172,0.33211,-0.18033,-0.18033,1.20043,32.76341,0.0088,17.80384,36.38938
"32","2020_Q3",29.93953125,"Up",118524000,-72383000,-11975000,-53160000,-7248000,46141000,-26095000,-26095000,20046000,-20391000,-345000.000000002,-413000,-413000,-413000,-3001000,97190000,97190000,97190000,5102347000,5880285000,778301000,350466000,202235000,5880648000,5977838000,136588000,136588000,136588000,2436508000,120934000,120934000,2557442000,2694030000,5881715000,3283808000,3283808000,5977838000,-413000,53160000,22844000,-9758000,65833000,-13603000,2428000,-11175000,-101004000,-2155000,-124000,-2377000,-173670000,-119012000,-119012000,-119012000,99301000,2436508000,0.3893,-0.02532,-0.000910000000000001,-5e-04,0.71156,0.8204,0.40759,-0.02923,-0.02923,1.15432,31.98131,0.01115,23.55785,50.69933
"33","2020_Q4",31.523125,"Up",113741000,-68747000,-10931000,-52170000,-5646000,44994000,-26404000,-26404000,18590000,-4595000,13995000,13798000,13798000,13798000,11211000,116814000,116814000,116814000,5208509000,6018724000,766096000,349347000,191149000,5974605000,6091419000,132555000,132555000,132555000,2505617000,121066000,121066000,2626683000,2759238000,5984599000,3332181000,3332181000,6091419000,13798000,52170000,9443000,-1898000,73513000,-147389000,1463000,-145926000,67917000,99778000,99778000,-8189000,92517000,20104000,20104000,20104000,97164000,2505617000,0.39558,0.09857,0.00336,0.00184,0.88125,0.82806,0.41134,0.10911,0.10911,1.10694,32.42927,0.01312,24.58527,53.09159
"34","2021_Q1",36.3398360655738,"Up",128632000,-71681000,-11984000,-55054000,-4643000,56951000,-26307000,-26307000,30644000,-1607000,29037000,29170000,29170000,29170000,26583000,70303000,70303000,70303000,5549720000,6400040000,776763000,367989000,183174000,6326483000,6396786000,380005000,167423000,380005000,2293759000,121902000,121902000,2415661000,2795666000,6298421000,3601120000,3601120000,6396786000,29170000,55054000,-1326000,24890000,107788000,-392242000,-2742000,-394984000,-1061999.99999997,310940000,-121712000,-108000,241005000,-46191000,-46191000,-46191000,112005000,2293759000,0.44274,0.20666,0.00738,0.00416,0.18501,0.77633,0.35858,0.24217,0.24061,1.17184,32.80627,0.01585,19.8514,39.04156
"35","2021_Q2",42.2122222222222,"Up",135141000,-70375000,-13046000,-57087000,-242000,59314000,-26624000,-26624000,32690000,-34071000,-1381000,-1469000,-1469000,-1469000,-4057000,261889000,261889000,269333000,5665273000,6561615000,760582000,365737000,169245000,6425855000,6695188000,144188000,138232000,144188000,2905806000,120138000,120138000,3025944000,3170132000,6301793000,3525056000,3525056000,6695188000,-1469000,57087000,33706000,-24893000,64431000,-179616000,-1638000,-181254000,408327000,-3843000,27872646.4206812,-33551000,295414000,178591000,178591000,178591000,116401000,2905806000,0.4389,-0.03002,-0.00115,-0.00061,1.86793,0.89931,0.43401,-0.03538,-0.03538,1.17849,30.74001,0.01091,22.71387,44.57492
"36","2021_Q3",45.37890625,"Up",164626000,-73781000,-13450000,-60074000,-257000,84526000,-26170000,-26170000,58356000,29697000,88053000,87924000,87924000,87924000,85336000,9403000,9403000,16846000,5836631000,6774939000,859715000,383420000,250695000,6696346000,6713192000,174976000,169153000,174976000,2729752000,123640000,123640000,2853392000,3028368000,6450867000,3684824000,3684824000,6713192000,87924000,60074000,-46089000,25153000,127062000,-213125000,-989000,-214114000,-177551000,145110000,145659000,-201000.000000007,-107280000,-194332000,-194332000,-194332000,144600000,2729752000,0.51344,0.51836,0.02316,0.01271,0.0962800000000004,0.82185,0.40663,0.74417,0.74417,1.43561,32.13326,0.02447,18.81293,32.18358
