"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q2",16.87640625,"Up",80217000,-55099000,25118000,-17661000,-12474000,-6553000,-5921000,-4392000,-795000,7457000,-1287000,-383000,-904000,6170000,4407000,-1145000,3262000,3262000,3262000,3262000,9264000,9264000,33874000,33874000,74988000,14586000,14586000,132712000,29319000,120369000,57678000,212952.164816973,149688000,282400000,53250000,40449000,12801000,71809000,54080000,6686000,6686000,60766000,132575000,104313000,60385000,-1119000,149825000,149825000,282400000,3262000,2076000,197000,-339000,5196000,-4354000,-4354000,9291000,-5846074.5342069,1379000,2221000,2221000,99000,2320000,9533000,57222000,5985000,0.31313,0.09296,0.04066,0.02177,0.01155,1.83476,1.84812,0.88487,0.20263,0.08832,0.08616,2.17184,4.05645,0.16204,0.01526,0.028,5.03074,6.43127
"12","2016_Q3",19.68796875,"Up",102294000,-69967000,32327000,-18950000,-13586000,-6477000,-7109000,-4582000,-782000,13377000,-545000,-577000,31999.9999999998,12832000,10732000,-1816000,8916000,8916000,8916000,8916000,10124000,10124000,56687000,56687000,80935000,15596000,15596000,163342000,30495000,124940000,57663000,759000,155435000,318777000,70129000,49626000,20503000,88585000,69871000,644000,644000,70515000,159100000,105291000,69301000,-1161000,159677000,159677000,318777000,8916000,2159000,-2164000,-13297000,-4386000,-2521000,-2521000,15283000,-7586000,7661000,754000,754000,106000,860000,15536000,73492000,1534000,0.31602,0.13077,0.08716,0.05584,0.02797,0.17205,1.8439,0.99639,0.23054,0.24355,0.23716,2.79423,4.36169,0.0419,0.03813,0.00656,4.07878,4.73709
"13","2016_Q4",23.8701587301587,"Up",109011000,-74125000,34886000,-18982000,-13546000,-6417000,-7129000,-4724000,-712000,15904000,-48000,-555000,507000,15856000,15038000,-1354000,13684000,13684000,13684000,13684000,15693000,15693000,58615000,58615000,78115000,18414000,18414000,170837000,31022000,122716000,57749000,747000,153738000,324575000,63730000,41027000,22703000,80795000,68965000,597000,597000,69562000,150357000,106335000,82985000,-1348000,174218000,174218000,324575000,13684000,2377000,2505000,-8132000,10434000,-2330000,-2330000,-936000,-486000,-1422000,6682000,6682000,-1113000,5569000,18281000,72588000,9173000,0.32002,0.14589,0.12553,0.07855,0.04216,0.67034,2.11445,0.86304,0.22364,0.37207,0.36214,2.96403,4.73702,0.24942,0.05531,0.03708,3.11225,3.5774
"14","2017_Q1",27.1935483870968,"Up",111555000,-77498000,34057000,-19343000,-13883000,-6349000,-7534000,-4761000,-699000,14714000,-571000,-573000,1999.99999999994,14143000,12913000,-3100000,9813000,9813000,9813000,9813000,35280000,35280000,61617000,61617000,71243000,14772000,14772000,182912000,32262000,120426000,57781000,708000,152688000,335600000,70675000,36240000,34435000,87036000,63058000,569000,569000,63627000,150663000,108086000,92798000,-2193000,184937000,184937000,335600000,9813000,2413000,2652000,12723000,27601000,-2819000,-3017000,-5938000,149000,-5788000,18796000,18796000,791000,19587000,17127000,66683000,30131000,0.30529,0.1319,0.08797,0.05306,0.02924,3.07052,2.10157,0.81467,0.1987,0.26612,0.25849,3.0253,5.01538,0.81713,0.03891,0.11948,1.83354,2.13423
"15","2017_Q2",31.3198412698413,"Up",106330000,-72616000,33714000,-19850000,-14673000,-6592000,-8081000,-4482000,-695000,13864000,-1133000,-588000,-545000,12731000,11284000,-756000,10528000,10528000,10528000,10528000,42991000,42991000,50393000,50393000,79489000,16706000,16706000,189579000,33498000,122173000,57789000,669000,155671000,345250000,65495000,40696000,24799000,82053000,62151000,541000,541000,62692000,144745000,111874000,103326000,-941000,200505000,200505000,345250000,10528000,2405000,-640000,-3084000,9209000,-2780000,-2780000,-937000,1878000,941000,7370000,7370000,341000,7711000,16269000,65777000,11161000,0.31707,0.13039,0.09901,0.05251,0.03049,1.06013,2.31045,0.7219,0.19052,0.28351,0.27301,2.86334,5.39935,0.30055,0.03946,0.04183,1.40058,1.64354
"16","2017_Q3",38.85,"Up",120811000,-81754000,39057000,-20867000,-15189000,-7068000,-8121000,-4982000,-696000,18190000,-428000,-506000,78000,17762000,17762000,-4036000,13726000,13726000,13726000,13726000,43345000,43345000,63050000,63050000,89450000,12113000,12113000,207958000,34853000,125918000,57828000,629000,160771000,368729000,81010000,51084000,29926000,93176000,60774000,485000,485000,61259000,154435000,111973000,117052000,-977000,214294000,214294000,368729000,13726000,2300000,-2059000,-2163000,11804000,-2567000,-2567000,-938000.000000001,-7662000,-8600000,636999.999999999,636999.999999999,-283000,354000,20490000,64871000,19796000,0.32329,0.15057,0.11362,0.06405,0.03723,1.44223,2.23188,0.72067,0.17593,0.3677,0.35446,3.23638,5.74068,0.53031,0.04908,0.07079,1.05056,1.1834
"17","2017_Q4",40.4463492063492,"Up",127399000,-84802000,42597000,-22220000,-15975000,-6914000,-9061000,-5547000,-698000,20377000,-420000,-602000,182000,19957000,19957000,-3885000,16072000,16072000,16072000,16072000,36763000,36763000,69262000,69262000,91962000,15611000,15611000,213598000,37515000,125539000,57878000,590000,163054000,376652000,74632000,47326000,27306000,86071000,59397000,614000,614000,60011000,146082000,111832000,133124000,-632000,230570000,230570000,376652000,16072000,2620000,2014000,-19688000,1018000,-4878000,-4878000,-937000,-2452000,-3389000,-7249000,-7249000,667000,-6582000,22997000,63964000,2316000,0.33436,0.15995,0.12615,0.06971,0.04267,0.1441,2.48165,0.63357,0.16982,0.42891,0.41408,3.39985,6.15313,0.06181,0.05445,0.00785,1.18281,1.33489
"18","2018_Q1",37.9606557377049,"Down",121093000,-81971000,39122000,-23065000,-17001000,-7331000,-9670000,-5167000,-897000,16057000,-775000,-7e+05,-75000,15282000,15282000,-12425000,2857000,2857000,2802000,2802000,35947000,35947000,61060000,61060000,84841000,18055000,18055000,199903000,43636000,181702000,88438000,551000,225338000,425241000,70376000,40813000,29563000,83201000,93605000,645000,645000,94250000,177451000,112831000,135926000,-168000,234835000,247790000,425241000,2857000,2955000,8102000,12227000,26141000,-6639000,-60231000,34182000,-1127000,33055000,-1035000,-1035000,219000,-816000.000000002,19012000,98643000,37025000,0.32307,0.1326,0.02314,0.01131,0.00659,13.21378,2.40265,0.71613,0.23197,0.07461,0.07212,3.22433,6.25293,0.98586,0.00807,0.10668,3.29771,3.90459
"19","2018_Q2",38.6359375,"Up",129792000,-88148000,41644000,-25692000,-17927000,-8734000,-9193000,-6197000,-1568000,15952000,-1081000,-798000,-283000,14871000,14871000,6579000,21450000,21450000,21224000,21224000,22233000,22233000,56816000,56816000,91256000,24114000,24114000,194419000,45746000,183649000,88442000,484000,229395000,423814000,72508000,46962000,25546000,79444000,73662000,603000,603000,74265000,153709000,112491000,156869000,307000,255913000,270105000,423814000,21450000,3506000,-7866000,-6125000,10965000,-3975000,-3975000,-19503000,-1375000,-20878000,-13888000,-13888000,174000,-13714000,19458000,79171000,2779000,0.32085,0.1229,0.16352,0.07858,0.05008,0.13094,2.44725,0.56907,0.18681,0.56409,0.54652,3.44962,6.80167,0.07386,0.06066,0.00794,2.9262,3.56933
"20","2018_Q3",61.2436507936508,"Up",156825000,-104413000,52412000,-28138000,-20581000,-9801000,-10780000,-6057000,-1500000,24274000,-750000,-833000,83000,23524000,23524000,-4711000,18813000,18813000,18369000,18369000,22686000,22686000,77878000,77878000,95374000,16530000,16530000,212468000,48393000,184463000,88406000,445000,232856000,445324000,90678000,58315000,32363000,97681000,60373000,552000,552000,60925000,158606000,112066000,175239000,-1021000,272530000,286718000,445324000,18813000,3638000,-571999.999999998,11000,21890000,-5071000,-5071000.00000001,-13317000,-2658000,-15975000,844000,844000,-391000,453000,27912000,65885000,27563000,0.33421,0.15478,0.11713,0.06407,0.04125,1.50052,2.17512,0.55318,0.14795,0.48694,0.47273,4.15728,7.2245,0.73067,0.05201,0.07805,1.54769,1.77964
"21","2018_Q4",62.2677777777778,"Up",175798000,-115311000,60487000,-29035000,-20771000,-9607000,-11164000,-6765000,-1499000,31452000,-928000,-748000,-180000,30524000,30524000,-5787000,24737000,24737000,24313000,24313000,32832000,32832000,84867000,84867000,104831000,20661000,20661000,243191000,57471000,183212000,88659000,405000,240683000,483874000,108757000,75802000,32955000,115811000,53883000,514000,514000,54397000,170208000,113637000,199551000,-620000,298814000,313666000,483874000,24737000,3767000,1829000,-2436000,27897000,-11366000,-11366000,-6515000,-8000,-6523000,10008000,10008000,138000,10146000,35219000,59397000,27204000,0.34407,0.17891,0.1383,0.07751,0.05025,1.11891,2.0999,0.54264,0.12275,0.64183,0.62266,4.6408,7.88823,0.71814,0.06508,0.07282,0.75428,0.84462
"22","2019_Q1",63.437868852459,"Up",156810000,-105857000,50953000,-28099000,-19773000,-9154000,-10619000,-6828000,-1498000,22854000,-883000,-680000,-203000,21971000,21971000,-1604000,20367000,20367000,20134000,20134000,27958000,27958000,78882000,78882000,107140000,17967000,17967000,231947000,64788000,188519000,88850000,367000,253307000,485254000,88693000,55086000,33607000,96785000,52503000,479000,479000,52982000,149767000,116057000,219686000,-784000,321205000,335487000,485254000,20367000,3543000,-5080000,-14190000,4640000,-9791000,-9791000,0,-55000,-55000,-5206000,-5206000,332000,-4874000,26397000,59426000,4020000,0.32493,0.14574,0.1284,0.06001,0.04149,0.19966,2.39652,0.44642,0.12246,0.52997,0.51513,4.12756,8.45477,0.10581,0.05092,0.01017,1.19211,1.37691
"23","2019_Q2",74.1731746031746,"Up",161700000,-110643000,51057000,-29238000,-20442000,-9262000,-11180000,-7303000,-1493000,21819000,-816000,-829000,13000,21003000,21003000,-2601000,18402000,18402000,18103000,18103000,38288000,38288000,83576000,83576000,124069000,25250000,25250000,271183000,84984000,186145000,88838000,327000,271129000,542312000,107112000,75593000,31519000,113696000,64123000,10491000,10491000,74614000,188310000,116557000,237561000,-943000,339421000,354002000,542312000,18402000,4039000,2513000,-16209000,8745000,-7297000,-7297000,10187000,-1229000,8958000,10406000,10406000,-76000,10330000,25858000,69642000,4953000,0.31575,0.13494,0.11195,0.05114,0.03338,0.2736,2.38516,0.53195,0.12842,0.47588,0.46303,4.25068,8.9225,0.1302,0.0417,0.01141,1.21255,1.437
"24","2019_Q3",74.25515625,"Up",192122000,-129902000,62220000,-32749000,-23422000,-11264000,-12158000,-7763000,-1564000,29471000,-1587000,-1005000,-582000,27884000,27884000,-4522000,23362000,23362000,22921000,22921000,39021000,39021000,95738000,95738000,136005000,18742000,18742000,289506000,95097000,195170000,91661000,502000,290267000,579773000,104904000,70602000,34302000,106024000,77553000,11994000,11994000,89547000,195571000,123081000,260482000,-629000,369180000,384202000,579773000,23362000,4145000,657000.000000001,-16485000,11679000,-9080000,-15884000,7e+06,-2265000,4735000,530000,530000,203000,733000,33616000,77553000,12573000,0.32386,0.1534,0.1193,0.05966,0.03953,0.54854,2.73057,0.50903,0.13376,0.59866,0.58497,5.01794,9.64244,0.32839,0.04838,0.02654,1.14624,1.30745
"25","2019_Q4",64.5375,"Down",211317000,-141500000,69817000,-34457000,-24387000,-11660000,-12727000,-8376000,-1694000,35360000,-711000,-748000,37000,34649000,34649000,-4473000,30176000,30176000,29487000,29487000,31979000,31979000,106798000,106798000,131228000,29604000,29604000,299609000,102557000,198403000,93515000,476000,300960000,600569000,101412000,64853000,36559000,102599000,7.3e+07,12639000,12639000,85639000,188238000,121386000,289969000,-981000,396620000,412331000,600569000,30176000,4637000,-3056000,-21257000,10500000,-9526000,-9526000,-4553000,-3299000,-7852000,-6878000,-6878000,-164000,-7042000,39997000,7.3e+07,13687000,0.33039,0.16733,0.13954,0.07151,0.0491,0.46417,2.92019,0.45652,0.12155,0.76691,0.75274,5.49603,10.31548,0.35598,0.05921,0.02749,1.0256,1.1601
"26","2020_Q1",63.1272580645161,"Down",185881000,-126240000,59641000,-33482000,-23542000,-10608000,-12934000,-8347000,-1593000,26159000,-1126000,-591000,-535000,25033000,25033000,-2503000,22530000,22530000,22522000,22522000,43736000,43736000,91632000,91632000,128505000,17940000,17940000,281813000,108379000,219124000,93527000,17923000,327503000,609316000,90888000,55144000,35744000,91813000,6.8e+07,11584000,11584000,79584000,171397000,123313000,312491000,150000,422200000,437919000,609316000,22530000,4744000,-3178000,19810000,43906000,-27623000,-27623000,-5e+06,17999.9999999991,-4982000,11301000,11301000,456000,11757000,30903000,6.8e+07,25593000,0.32086,0.14073,0.12116,0.05143,0.03696,1.13636,3.06942,0.39139,0.1116,0.58415,0.57502,4.82119,10.95059,0.6638,0.04352,0.04945,0.785169999999999,0.927559999999999
"27","2020_Q2",62.2093650793651,"Down",184361000,-127746000,56615000,-45048000,-34476000,-12063000,-22413000,-8029000,-2543000,11567000,-1909000,-1847000,-62000,9658000,9658000,-920000,8738000,8738000,8250000,8250000,76182000,76182000,85652000,85652000,156553000,75799000,75799000,394186000,127633000,546880000,285723000,26090000,674513000,1068699000,128898000,88613000,40285000,138673000,470404000,13709000,13709000,484113000,622786000,123509000,320741000,-790000,429706000,445913000,1068699000,8738000,5829000,-6339000,-41713000,-33485000,-12841000,-342050000,410379000,-2047000,408332000,32797000,32797000,-351000,32446000,17396000,479222000,-36238000,0.30709,0.06274,0.04475,0.0185,0.00772,-4.39248,2.84256,1.39665,0.44842,0.21389,0.21072,4.77978,11.14065,-0.93951,0.00879,-0.0386,23.16854,34.84395
"28","2020_Q3",89.96734375,"Up",183102000,-123116000,59986000,-40627000,-27127000,-12561000,-14566000,-8236000,-5264000,19359000,-2963000,-2892000,-70999.9999999999,16396000,16396000,-3204000,13192000,13192000,12608000,12608000,217965000,217965000,87670000,87670000,148464000,46085000,46085000,500184000,146974000,538046000,285758000,23832000,685020000,1185204000,107237000,64939000,42298000,118229000,396393000,12543000,12543000,408936000,527165000,321520000,325165000,133000,633064000,658039000,1185204000,13192000,9190000,3811000,12981000,39174000,-19929000,-19941999.9999999,-73494000,-2301000,122441000,141673000,141673000,110000,141783000,28549000,406393000,24805000,0.32761,0.10573,0.06886,0.01916,0.01064,1.9674,4.23064,0.80112,0.34289,0.32336,0.3185,4.69601,16.23616,0.63617,0.01171,0.02303,6.60016,9.73335
"29","2020_Q4",90.86359375,"Up",260700000,-171226000,89474000,-43922000,-30131000,-13667000,-16464000,-8514000,-5277000,45552000,-2101000,-2291000,190000,43451000,43451000,-5431000,38020000,38020000,38020000,38020000,278246000,278246000,114097000,114097000,135687000,31605000,31605000,559635000,156819000,544072000,287113000,28844000,700891000,1260526000,162832000,101439000,61393000,173887000,379242000,23470000,23470000,402712000,576599000,334528000,363185000,-32000,683927000,683927000,1260526000,38020000,9743000,-1840000,48189000,94112000,-13213000,-13417000,-17500000,-3254000,-20754000,59941000,59941000,340000,60281000,55295000,389242000,95702000,0.34321,0.17473,0.14584,0.05559,0.03016,2.51715,3.21838,0.84307,0.30879,0.91359,0.90082,6.26442,16.43423,2.29964,0.03467,0.08727,2.00734,2.43669
"30","2021_Q1",129.034098360656,"Up",262391000,-178919000,83472000,-45801000,-31789000,-13923000,-17866000,-9513000,-4499000,37671000,-2646000,-2264000,-382000,35025000,35025000,-3229000,31796000,31796000,31796000,31796000,245764000,245764000,121194000,121194000,127091000,87920000,87920000,581969000,163288000,541304000,289349000,28102000,704592000,1286561000,151794000,92403000,59391000,165389000,377088000,24913000,24913000,402001000,567390000,336876000,394981000,1068000,719171000,719171000,1286561000,31796000,9165000,454000,-58501000,-17086000,-10761000,-13116000,0,-3297000,-3297000,-33499000,-33499000,1017000,-32482000,46836000,389588000,-19197000,0.31812,0.14357,0.12118,0.04421,0.02471,-0.603759999999999,3.51879,0.78895,0.30281,0.7618,0.75235,6.28662,17.23061,-0.45994,0.02805,-0.01693,3.0708,3.8179
"31","2021_Q2",148.713650793651,"Up",281136000,-183212000,97924000,-52068000,-37227000,-16858000,-20369000,-9876000,-4965000,45856000,-3863000,-2904000,-959000,41993000,41993000,-4007000,37986000,37986000,37986000,37986000,291471000,291471000,137022000,137022000,166546000,55814000,55814000,650853000,170793000,535452000,289175000,28587000,706245000,1357098000,185534000,121722000,63812000,198034000,374933000,21840000,21840000,396773000,594807000,340389000,432967000,2689000,762291000,762291000,1357098000,37986000,10069000,2467000,15506000,66028000,-16885000,-16885000,-2500000,-1252000,-3752000,45391000,45391000,316000,45707000,55925000,387433000,58553000,0.34832,0.16311,0.13512,0.04983,0.02799,1.54144,3.28657,0.78029,0.28549,0.90765,0.8971,6.71755,18.2144,1.39908,0.03242,0.04998,1.71591,2.09268
