"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",1.599375,"Down",6526505,-5072146,1454359,-1722371,-1100839,-268012,2576,4377,-265436,-161633,-68880,-230513,-230513,176942,-53571,-53571,10739486,10739486,3996161,3996161,196222,1483022,64487,215813,16414891,690979,5175114,3339619,273285,1433348,128862,5866093,22280984,5890157,3556867,2333290,30070,30070,6059361,6059361,6938332,-4279479,13366739,-38417,15987175,234448,16221623,22280984,-230513,446438,-33497,-1279744,-1097316,-177137,138852,-37080,0,-1134396,-1134396,16387,-1118009,178426,139134,-1209575,0.22284,-0.04107,-0.00821,-0.00330000000000001,-0.0024,22.57891,2.70901,0.37354,0.00624,-0.00516,-0.00537,0.62863,1.53987,-0.1165,-0.00327,-0.0739299999999999,-59.41035,39.55178
"12","2014_Q1",1.64868852459016,"Up",7731302,-6000255,1731047,-1622868,-1002422,108179,41061,4264,149240,149240,59192,208432,208432,-2052,206380,206380,10431474,10431474,5321803,5321803,262567,1580487,10725,324101,17596331,631225,4932011,3073745,273285,1459756,125225,5563236,23159567,6432601,4214348,2218253,75369,75369,6647104,6647104,7003598,-4279479,13573119,-21275,16275963,236500,16512463,23159567,208432,394045,286701,-1059965,-170787,-35915.9999999999,-32501,-154367,0,-325154,-325154,17142,-308012,502224,139134,-652849,0.2239,0.0139900000000001,0.02669,0.0125,0.00891,-3.16333,2.64722,0.40255,0.00601,0.01989,0.01839,0.74523,1.56886,-0.06293,0.01239,-0.03921,-20.49352,-95.14176
"13","2014_Q2",1.79920634920635,"Up",1407103,-1410295,-3192,-1600874,-922265,-1604066,-19801,3860,-1623867,-1623867,453000,-1170867,-1170867,77243,-1093624,-1093624,10494657,10494657,727886,727886,324321,1979287,48944,231682,13526151,583483,4780390,2914715,273285,1459756,132634,5363873,18890024,3233826,1209100,2024726,143191,143191,3516151,3516151,7068864,-4279479,12479495,-54264,15214616,159257,15373873,18890024,-1170867,360826,-387734,1363119,165344,-15054,-54118,-69172,0,96172,96172,-32989,63183,-1243240,139134,-348175,-0.00227,-1.13998,-0.77722,-0.07114,-0.05789,0.31837,3.84686,0.22871,0.00737,-0.10542,-0.10542,0.13563,1.46656,-0.03356,-0.0705,-0.02244,8.32946,6.45579999999997
"14","2014_Q3",1.655,"Down",7553845,-5345315,2208530,-2156367,-1455833,52163,161542,3380,213705,213705,7000.00000000006,220705,220705,-93761,126944,126944,10194158,10194158,3804925,3804925,559774,1698370,152860,211668,16257227,584182,5289511,2961624,273285,1919756,134846,5873693,22130920,6157842,4264107,1893735,231988,231988,6528964,6528964,7134130,-4279479,12606439,-112152,15348938,253018,15601956,22130920,220705,376716,-71788.0000000001,-304466,221167,-92256,-371522,-463778,0,-242611,-242611,-57888,-300499,428879,139134,25156.9999999999,0.29237,0.00690999999999997,0.0168100000000001,0.00814,0.00574,0.19817,2.49002,0.41847,0.00629,0.01224,0.01224,0.72813,1.47951,0.00241999999999999,0.00806,0.0016,-23.4449,-192.76161
"15","2014_Q4",1.5521875,"Down",10055313,-9065571,989742,-1761816,-1065315,-772074,-131233,3268,-903307,-214193,88000,-126193,-126193,-4987,-131180,-131180,9108051,9108051,6558774,6558774,2190203,1697354,161404,263609,19554382,554660,5035523,2621117,273285,2007756,133365,5590183,25144565,9157775,7790006,1367769,300318,300318,9598438,9598438,7215545,-4279479,12475259,-123203,15288122,258005,15546127,25144565,-126193,402919,-536412,-807604,-1067290,-32890,7763,-25127,17361,-1075056,-1075056,-11051,-1086107,-369155,140345,-1297649,0.09843,-0.07678,-0.01305,-0.00844000000000001,-0.00522,9.89213,2.03725,0.61742,0.00558,-0.01264,-0.01264,0.96857,1.47261,-0.12499,-0.00836,-0.08272,24.29252,11.61509
"16","2015_Q1",1.4355737704918,"Down",11936636,-10753112,1183524,-1773535,-1069179,-590011,1410736,3077,820725,131611,-18984,112627,112627,13197,125824,125824,8240595,8240595,5622644,5622644,1967390,1459729,191219,152643,17290358,498465,4487835,2125816,273285,1981325,107409,4986300,22276658,6226074,5534168,691906,319888,319888,6694257,6694257,7259089,-4279479,12601083,-243100,15337593,244808,15582401,22276658,112627,407999,-675083,-872415,-1026872,-16956,217556,200600,78713,-747559,-747559,-119897,-867456,-182012,148295,-1052399,0.09915,-0.04943,0.01054,0.00807,0.00565,-8.36406,2.58286,0.4296,0.00666,0.01208,0.01208,1.14586,1.47234,-0.10103,0.008,-0.0669,44.46026,13.71551
"17","2015_Q2",1.63777777777778,"Up",13616077,-11300477,2315600,-2182925,-1407530,132675,2635,2635,135310,312091,-58000,254091,254091,29057,283148,283148,8767173,8767173,9119038,9119038,2099321,1362181,171008,112994,21347713,438532,4196126,1837825,273285,1981325,103691,4634658,25982371,9189633,8647027,542606,765032,765032,10109043,10109043,7340694,-4279479,12884231,-287869,15657577,215751,15873328,25982371,254091,396284,-86156,42277,606496,-4800,-43559.9999999999,-41232,6083,571347,571347,-44769,526578,528959,154378,624436,0.17006,0.00974,0.0208,0.01784,0.0109,2.20533,2.11174,0.63686,0.00594,0.02688,0.02655,1.2926,1.4864,0.05928,0.01767,0.03896,-16.28254,-64.91649
"18","2015_Q3",1.64203125,"Up",12494687,-10006962,2487725,-1965762,-1225254,521963,3019.99999999977,3020,524983,726210,-152000,574210,574210,-149730,424480,424480,11917127,11917127,4968265,4968265,1794273,1267039,125261,232190,19946704,406790,3911802,1560699,273285,1977603,100215,4318592,24265296,5902959,5563315,339644,1886533,1886533,7937787,7937787,7302040,-4279479,13308711,-369244,15962028,365481,16327509,24265296,574210,378544,-180157,2534491,3307088,-31645,-38031,-69676,-6083,3231329,3231329,-81375,3149954,900507,148295,3555353,0.1991,0.04177,0.03397,0.026,0.01749,8.37578,2.51288,0.48616,0.00611,0.0403,0.03982,1.18614,1.51531,0.33752,0.02576,0.21579,-13.06912,-22.54725
"19","2015_Q4",1.81765625,"Up",10174842,-8293528,1881314,-1867975,-1145194,13339,2854,2854,16193,36396,249000,285396,285396,-267597,17799,17799,10831825,10831825,5518247,5518247,2107830,1430775,84845,187342,19888677,352494,3635117,1284449,273285,1977603,99780,3987611,23876288,7199782,6944670,255112,113943,113943,7462020,7462020,7311810,-4279479,13326510,-577651,15781190,633078,16414268,23876288,285396,375951,-281698,-1211139,-831490,-45405,0,-45405,0,-876895,-876895,-208407,-1085302,389290,148295,-1116254,0.1849,0.00131,0.00175,0.00108,0.000750000000000001,-62.71442,2.66532,0.45461,0.00621,0.00169,0.00167,0.96592,1.49814,-0.10597,0.00107,-0.0674,-27.44363,-800.92436
"20","2016_Q1",2.34540983606557,"Up",10058627,-8343188,1715439,-1871758,-1195299,-156319,445459,14755,289140,-109071,49271.9999999999,-59799,-59799,94380,34580.9999999999,34580.9999999999,11822620,11822620,5464182,5464182,2281667,1528734,60339,205705,21097203,314492,3305772,1042281,273285,1860347,129859,3620264,24717467,7600694,7362075,238619,693317,693317,8442306,8442306,7319573,-4279479,13361091,-664722,15736463,538698,16275161,24717467,-59799,309918,283851,569258,1103228,-17808,-7554,-25362,3.63797880709171e-12,1077866,1077866,-87071,990794.999999999,153599,148295,655777,0.17054,-0.01554,0.00344,0.00212,0.0014,18.96351,2.49899,0.51872,0.006,0.00328,0.00326,0.95488,1.49389,0.06225,0.00211,0.03993,-76.00521,74.6827
"21","2016_Q2",2.42578125,"Up",11948466,-9985459,1963007,-1877445,-1154876,85562,2277,2277,87839,42549,-5065,37484,37484,-19537,17947,17947,11496586,11496586,8013939,8013939,1959188,1662668,55387,344591,23132381,264789,3219091,937582,273285,1860347,147877,3483880,26616261,8953253,8746179,207074,1246430,1246430,10347978,10347978,7307073,-4279479,13379038,-696584,15710048,558235,16268283,26616261,37484,305979,-12500,-473558,-142595,-12665,-138912,-151577,0,-294172,-294172,-31862,-326034,391541,148295,-89617,0.16429,0.00716,0.0015,0.0011,0.000669999999999999,-4.99343,2.23545,0.63608,0.00557,0.0017,0.00168,1.13429,1.49138,-0.00851,0.00109,-0.00546000000000003,-28.98366,-132.63237
"22","2016_Q3",2.3784375,"Down",20163481,-17000575,3162906,-2050415,-1256806,1112491,3431.00000000006,3431,1115922,1140984,-144924,996060,996060,-378841,617219,617219,14657624,14657624,14945041,14945041,4572075,505574,13601,285071,34680314,256869,3514978,1339193,273285,1768588,133912,3771847,38452161,21197707,20648002,549705,87002,87002,21433004,21433004,7294573,-4513479,13996257,-695270,16082081,937076,17019157,38452161,996060,277415,79259.0000000001,2712096,4064830,-206441,-464665,-671106,-234000,3159724,3159724,1314,3161038,1389906,148295,4040485,0.15686,0.05517,0.03061,0.03627,0.01605,6.54627000000001,1.61808,1.25935,0.00386,0.05872,0.0577,1.9183,1.53,0.3844,0.03595,0.23536,-10.43907,-13.0422
"23","2016_Q4",2.54428571428571,"Up",14146310,-11674481,2471829,-2025825,-1332285,446004,2407,2407,448411,568629,-254806,313823,313823,77547,391370,391370,10182253,10182253,13537786,13537786,2662362,398948,11631,180415,26781349,258179,3420572,1225193,273285,1786450,135644,3678751,30460100,13034923,12446590,588333,107854,107854,13142777,13142777,7299973,-4513479,14387627,-716327,16457794,859529,17317323,30460100,313823,213824,-30362,-4720070,-4222785,-40911,-60223.0000000001,-101134,-130395,-4454314,-4454314,-21057,-4475371,659828,0,-3846347,0.17473,0.03153,0.02767,0.0226,0.01285,-9.8279,2.03772,0.75894,4.33680868994202e-19,0.03758,0.03648,1.35829,1.58023,-0.36932,0.0226,-0.22211,-15.43168,-22.82996
"24","2017_Q1",2.67483870967742,"Up",13546437,-11218999,2327438,-1852536,-1071758,474902,2186,2186,477088,458965,369862,828827,828827,-244392,584435,584435,13156754,13156754,12341419,12341419,2285254,92956,11838,50252,27876383,317764,3554982,1126887,273285,2018736,136074,3872746,31749129,13523427,13276125,247302,1901,1901,13525328,13525328,7309424,-4513479,14972062,-648127,17119880,1103921,18223801,31749129,828827,170507,34811,1973991,3008136,-101295,-22491,-123786,21951,2906301,2906301,68200,2974501,645409,1.45519152283669e-11,2148243,0.17181,0.03506,0.04314,0.03207,0.01841,3.67576,2.06105,0.74218,0,0.0573,0.05562,1.32819,1.67855,0.21063,0.03207,0.11788,-20.38514,-27.70415
"25","2017_Q2",2.1468253968254,"Down",12704474,-10443063,2261411,-1893939,-1091557,367472,2321,2321,369793,328214,-135122,193092,193092,69449,262541,262541,10936994,10936994,12306654,12306654,2118986,584130,12685,231961,25946764,277839,3267289,1127065,273285,1726114,140825,3545128,29491892,10901681,10576493,325188,77598,77598,10979279,10979279,7344024,-4513479,15234603,-587007,17478141,1034472,18512613,29491892,193092,167338,-28496,-2532323,-2200389,-45091,-82500,-127591,47100,-2280880,-2280880,61120,-2219760,534810,0,-1907482,0.178,0.02892,0.02067,0.01418,0.0089,-7.26546,2.36325,0.59307,0,0.02507,0.02447,1.21321,1.66906,-0.18215,0.01418,-0.10304,-20.45024,-29.7628
"26","2017_Q3",2.36698412698413,"Up",14352962,-11455427,2897535,-2270732,-1375655,626803,2229,2229,629032,803596,-260058,543538,543538,-18200,525338,525338,11685966,11685966,13707055,13707055,2179870,574751,18808,220403,28147642,254665,3196306,1066257,273285,1726114,130650,3450971,31598613,12560578,11831282,729296,30416,30416,12590994,12590994,7385224,-4513479,15759941,-676739,17954947,1052672,19007619,31598613,543538,150216,-8556,166040.000000001,851238,-24687,-41547,-66234,53700,838704,838704,-89732,748972,777019,1.81898940354586e-12,1178430,0.20188,0.04367,0.0366,0.02764,0.01663,2.24318,2.23554,0.66242,0,0.05005,0.04885,1.36748,1.71066,0.11228,0.02764,0.062,-15.03949,-18.64376
"27","2017_Q4",2.09634920634921,"Down",9748910,-7798910,1950000,-2034641,-1142211,-84641,2202,2202,-82439,-41708,54730,13022,13022,60456,73478,73478,12477332,12477332,9507880,9507880,1250712,622103,15497,267323,23858027,249126,3149285,1010757,273285,1726114,139129,3398411,27256438,7856376,7200217,656159,304330,304330,8160706,8160706,7389244,-4513479,15833419,-605668,18103516,992216,19095732,27256438,13022,149652,-3743,645957,804888,-32082,-56531,-88613,4020,720295,720295,71071,791366,65011,0,624156,0.20002,-0.00868,0.00754,0.00385,0.0027,8.49446,2.92352,0.42736,-6.7762635780344e-21,0.00699,0.0068,0.92679,1.72103,0.05934,0.00385,0.03269,-191.92647,147.41475
"28","2018_Q1",2.00393442622951,"Down",11759178,-9649665,2109513,-2144768,-1289533,-35254.9999999999,284468,284468,249213,55651.9999999999,-34137,21515.0000000001,21515.0000000001,-8912,12603.0000000001,12603.0000000001,14285001,14285001,10993191,10993191,3379065,253496,19135,206121,28910753,219942,3181318,1109475,273285,1661906,136652,3401260,32312013,13150906,12862564,288342,51997,51997,13202903,13202903,7389244,-4513479,15846022,-613805,18107982,1001128,19109110,32312013,21515,147286,425118,1438707,2032626,-29172,-187648,-216820,0,1815806,1815806,-8137,1807669,112031,0,1555703,0.17939,-0.003,0.00107,0.00066,0.00039,123.4391,2.18973,0.69092,0,0.0012,0.00121999999999999,1.11777,1.72126,0.14788,0.00066,0.08141,-127.50936,405.19078
"29","2018_Q2",1.89,"Down",7644929,-6194450,1450479,-2073617,-1126637,-623138,71464,71464,-551674,-564260,136001,-428259,-428259,-9033,-437292,-437292,11754627,11754627,7249837,7249837,1934554,239009,18832,191937,21178027,208436,3424989,1217483,273285,1797907,136314,3633425,24811452,6074083,5785595,288488,46934,46934,6121017,6121017,7389244,-4513479,15408730,-604221,17680274,1010161,18690435,24811452,-428259,155545,-136001,-1879196,-2287911,-57115,-194932,-252047,0,-2539958,-2539958,9584,-2530374,-467593,0,-2539905,0.18973,-0.08151,-0.0572,-0.0234,-0.01762,5.80826,3.45989,0.32749,0,-0.04157,-0.04157,0.72669,1.6806,-0.24143,-0.0234,-0.13589,25.13859,18.8636000000001
"30","2018_Q3",1.94555555555556,"Up",8351683,-6963097,1388586,-1901457,-951705,-512871,-66430,-66430,-579301,-527373,-235121,-762494,-762494,31484,-731010,-731010,13501101,13501101,6717793,6717793,1512788,217551,15892,173419,21949233,177348,3107523,1126116,273285,1563637,144485,3284871,25234104,7237411,6967397,270014,153,153,7237564,7237564,7389244,-4513479,14677720,-535622,17017863,978677,17996540,25234104,-762494,154710,231933,2085981,1710130,-2702,-29553,-32255,-3.63797880709171e-12,1677875,1677875,68599,1746474,-358161,0,1960239,0.16626,-0.06141,-0.08753,-0.04062,-0.02897,-2.68155000000001,3.03268,0.40216,0,-0.06949,-0.06949,0.79387,1.61764,0.18633,-0.04062,0.10892,37.69562,26.32456
"31","2018_Q4",2.05730158730159,"Up",6565442,-5121593,1443849,-1868907,-1124113,-425058,2479,2479,-422579,-371156,182175,-188981,-188981,48259,-140722,-140722,12070658,12070658,6216009,6216009,1356352,245672,20251,197181,19888691,147656,3238743,1076241,273285,1744174,145043,3386399,23275090,5404187,5142917,261270,910.999999999985,910.999999999985,5405098,5405098,7456244,-4513479,14536998,-540189,16939574,930418,17869992,23275090,-188981,146969,-178200,-1205262,-1425474,-501,-66901,-67402,67000,-1425876,-1425876,-4567,-1430443,-278089,0,-1666027,0.21992,-0.06474,-0.02143,-0.00787000000000001,-0.00605,11.83914,3.67962,0.30247,-5.29395592033938e-23,-0.01319,-0.01319,0.61531,1.58756,-0.15614,-0.00787000000000001,-0.09323,43.40574,28.39767
"32","2019_Q1",2.68311475409836,"Up",7503779,-6594979,908800,-2039603,-1309113,-1130803,333350,333350,-797453,-896759,103918,-792841,-792841,9408.00000000001,-783433,-783433,11975944,11975944,7907117,7907117,1615332,251114,19034,203840,21749507,124072,3263059,996708,273285,1853429,139637,3387131,25136638,7872683,7609585,263098,228598,228598,8101281,8101281,7456244,-4513479,13753565,-581983,16114347,921010,17035357,25136638,-792841,150598,38363,598441,-5439,-47481,0,-47481,-1.45519152283669e-11,-52920.0000000009,-52920.0000000009,-41794,-94714,-980205,0,-533163,0.12111,-0.1507,-0.10441,-0.04599,-0.03117,0.68055,2.6847,0.47556,0,-0.07501,-0.07501,0.71849,1.54295,-0.05105,-0.04599,-0.0313,12.2178,10.59065
