"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q1",34.7672131147541,"Up",67534000,-52709000,14825000,-5614000,-5157000,-457000,9211000,-1185000,-1334000,149000,8026000,-330000,7696000,-62000,7634000,7634000,7634000,7634000,33222000,33222000,25161000,25161000,82046000,4929000,4929000,145358000,346209000,346209000,33664000,33664000,379873000,525231000,22862000,9107000,12841000,11919000,11919000,34781000,23545000,23545000,73187000,107968000,649331000,-232068000,417263000,417263000,525231000,7634000,7126000,3344000,-6812000,11292000,-4205000,-4205000,-742000,-11077000,-3990000,-3990000,-3990000,16337000,49642000,5382000,0.21952,0.13639,0.11304,0.0183,0.01453,0.705,4.17924,0.25875,0.09451,0.59395,0.56791,5.2544,32.46465,0.41874,0.01557,1.00508,1.78265
"37","2019_Q2",34.868253968254,"Up",57554000,-44386000,13168000,-6327000,-5807000,-520000,6841000,-269000,-603000,334000,6572000,-417000,6155000,0,6155000,6155000,6155000,6155000,34032000,34032000,28217000,28217000,86270000,8439000,8439000,156958000,347670000,347670000,33489000,33489000,381159000,538117000,25670000,12017000,12739000,10753000,10753000,36423000,27678000,27678000,77348000,113771000,650259000,-225913000,424346000,424346000,538117000,6155000,8746000,1539000,-8319000,8121000,-3958000,-7208000,-112000,-103000,810000,810000,810000,15587000,49670000,3310000,0.22879,0.11886,0.10694,0.0145,0.01144,0.53777,4.30931,0.26811,0.0923,0.47813,0.47028,4.47091,32.96403,0.25713,0.01227,1.00327,2.28592
"38","2019_Q3",33.403125,"Down",62512000,-49341000,13171000,-6337000,-6355000,18000,6834000,-806000,-806000,0,6028000,-417000,5611000,0,5611000,5611000,5611000,5611000,15508000,15508000,24553000,24553000,82200000,5023000,5023000,127284000,388157000,388157000,52208000,36316000,440365000,567649000,23736000,6440000,16480000,35038000,35038000,78774000,28156000,28156000,57853000,136627000,651324000,-220302000,431022000,431022000,567649000,5611000,8073000,1737000,8196000,23617000,-51491000,-61822000,-166000,19834000,-18371000,-18371000,-18371000,14907000,49697000,-28388000,0.2107,0.10932,0.08976,0.01302,0.00988,-5.05935,1.61581,0.31698,0.08755,0.43531,0.42803,4.8498,33.43952,-2.2024,0.01103,2.29349,5.00278
"39","2019_Q4",27.1671875,"Down",51160000,-44211000,6949000,-5838000,-5548000,-290000,1111000,-840000,-849000,9000,271000,-496000,-225000,8000.00000000001,-217000,-217000,-217000,-217000,13023000,13023000,31136000,31136000,85363000,7249000,7249000,136771000,381768000,381768000,55580000,36396000,437348000,574119000,28790000,9969000,18821000,35858000,35858000,84648000,27966000,27966000,57691000,142339000,652299000,-220519000,431780000,431780000,574119000,-217000,8326000,3212000,-5442000,5879000,-4431000,-7723000,-457000,-640000,-2484000,-2484000,-2484000,9437000,49725000,-444000.000000007,0.13583,0.02172,-0.00424,-5e-04,-0.000379999999999998,2.04608,1.61576,0.32966,0.08661,-0.0168,-0.01654,3.96049,33.42571,-0.03437,-0.00043,3.88916,33.0351
"40","2020_Q1",18.5967741935484,"Down",48849000,-38659000,10190000,-6478000,-5846000,-632000,3712000,-761000,-773000,12000,2951000,-808000,2143000,-61000,2082000,2082000,2082000,2082000,20603000,20603000,23749000,23749000,94220000,6771000,6771000,145343000,378509000,378509000,27018000,27018000,433096000,578439000,28246000,9992000,18204000,39199000,39199000,87445000,26585000,26585000,56338000,143783000,653080000,-218437000,434656000,434656000,578439000,2082000,9190000,2085000,-1593000,11764000,-20761000,-3887999.99999999,-308000,-296000,7580000,7580000,7580000,12902000,49753000,-9391000,0.2086,0.07599,0.04262,0.00479,0.0036,-4.51057,1.66211,0.3308,0.08601,0.1609,0.15889,3.77519,33.59149,-0.72576,0.00407,2.25934,7.85291
"41","2020_Q2",10.384126984127,"Down",63984000,-58361000,5623000,-6588000,-6599000,11000,-965000,-660000,-676000,16000,-1625000,-5814000,-7439000,42000,-7397000,-7397000,-7397000,-7397000,44371000,44371000,31862000,31862000,87860000,6223000,6223000,170316000,372057000,372057000,55313000,55313000,427370000,597686000,43882000,12377000,31455000,19393000,19393000,83275000,26571000,26571000,86169000,169444000,654076000,-225834000,428242000,428242000,597686000,-7397000,9586000,7837000,4745000,14771000,-924000,-924000,-49000,9951000,23798000,23798000,23798000,8621000,79598000,12400000,0.08788,-0.01508,-0.11561,-0.01727,-0.01238,-1.67636,2.04522,0.39567,0.13318,-0.57088,-0.57088,4.9381,33.0505,0.957,-0.01384,4.08618,-36.50466
"42","2020_Q3",9.500625,"Down",46450000,-47049000,-599000,-6942000,-6673000,-269000,-7541000,-663000,-635000,-28000,-8204000,-667999.999999999,-8872000,0,-8872000,-8872000,-8872000,-8872000,34552000,34552000,19256000,19256000,81041000,6082000,6082000,140931000,368008000,368008000,58889000,58889000,426897000,567828000,26814000,8228000,18537000,24044000,24044000,75730000,27164000,27164000,71890000,147620000,654914000,-234706000,420208000,420208000,567828000,-8872000,8043000,-5671000,15277000,8777000,-4935000,-8435000,9839000,-10161000,-9819000,-9819000,-9819000,502000,69598000,10844000,-0.0129,-0.16235,-0.191,-0.02111,-0.01562,-1.22227,1.86097,0.3513,0.12257,-0.68359,-0.68359,3.57897,32.37699,0.83553,-0.01716,69.81275,-4.64739
"43","2020_Q4",12.44296875,"Up",38078000,-38386000,-308000,-6987000,-6750000,-237000,-7295000,-2425000,-2566000,141000,-9720000,-455000,-10175000,0,-10175000,-10175000,-10175000,-10175000,9258000,9258000,23271000,23271000,85204000,8419000,8419000,126152000,362117000,362117000,59122000,59122000,421239000,547391000,26660000,8037000,18623000,27779000,27779000,64439000,27121000,27121000,71856000,136295000,655964000,-244881000,411096000,411096000,547391000,-10175000,8989000,2700000,-6575000,-5061000,-3442000,-3442000,78000,-16791000,-25294000,-25294000,-25294000,1694000,54735000,-8323000,-0.00809,-0.19158,-0.26721,-0.02475,-0.01859,0.81799,1.9577,0.33154,0.09999,-0.78226,-0.78226,2.92746,31.60526,-0.63988,-0.02064,26.84593,-6.23399999999999
"44","2021_Q1",29.5522950819672,"Up",48442000,-42628000,5814000,-5694000,-5454000,-240000,120000,-157000,-412000,255000,-37000,-626000,-663000,-47000,-710000.000000002,-710000.000000002,-710000.000000002,-710000.000000002,19515000,19515000,22516000,22516000,88673000,5084000,5084000,135788000,355497000,355497000,58903000,58903000,414400000,550188000,24401000,7278000,17123000,32816000,32816000,67217000,26969000,26969000,71712000,138929000,656837000,-245591000,411259000,411259000,550188000,-710000,9492000,1334000,2542000,12658000,-2356000,-2356000,-150000.000000002,-42000,10260000,10260000,10260000,9612000,54743000,9845000,0.12002,0.00248000000000001,-0.0146600000000001,-0.00173,-0.00129,-13.8662,2.02014,0.33781,0.0995,-0.0544900000000001,-0.0544899999999999,3.71776,31.56271,0.75557,-0.00144,3.665,293.56667
"45","2021_Q2",29.5074603174603,"Down",71463000,-62355000,9108000,-5797000,-5791000,-6000,3311000,-417000,-426000,9000,2894000,-443000,2451000,88410286.4434464,2451000,2451000,2451000,2451000,35995000,35995000,36898000,36898000,78919000,5204000,2298000,157016000,348945000,348945000,59219000,59219000,408164000,565180000,32656000,13648000,19008000,36264000,36264000,78920000,27092000,27092000,71821000,150741000,657566000,-243140000,414439000,414439000,565180000,2451000,9561000,1401000,5696000,19109000,-2313000,-2313000,-206000,-292000,16504000,16504000,16504000,12872000,54729000,-157539863.731938,0.12745,0.04633,0.0343,0.00591,0.00434,-21.2820690952056,1.98956,0.36372,0.09683,0.18776,0.18433,5.47441,31.74805,-11.9929651999694,0.00494,1.45541,5.65811000000002
