"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",34.55078125,"Down",19656000,-10869000,8787000,-21245000,-16551000,-4694000,-12458000,490000,-595000,1085000,-11968000,-11968000,-33000,-12001000,-12001000,-12001000,-12001000,57282000,38078000,12089000,12089000,8179000,2231000,2231000,79781000,16890000,7401000,485000,24291000,104072000,13413000,4391000,9022000,0,13413000,29694000,668000,648000,30362000,43775000,508768000,-444303000,-4168000,60297000,60297000,104072000,-12001000,948000,896000,3151000,-7006000,-1300000,6351000,21324000,21324000,21324000,20669000,20669000,-939000,19730000,-11510000,29694000,-9626000,0.44704,-0.6338,-0.61055,-0.19903,-0.11531,0.8021,5.94804,0.72599,0.28532,-5.48073,-5.48073,8.97668,27.53699,-4.39609,-0.13238,-0.10618,2.39687,2.21448
"12","2018_Q3",27.1879365079365,"Down",19100000,-9989000,9111000,-20461000,-15611000,-4850000,-11350000,-2693000,-595000,-2098000,-14043000,-14043000,-14000,-14057000,-14057000,-14057000,-14057000,46581000,29122000,12215000,12215000,9060000,2039000,2039000,69895000,16955000,7375000,485000,24330000,94225000,14669000,5995000,8674000,2.91038304567337e-11,14669000,29721000,666000,638000,30387000,45056000,509791000,-458360000,-2262000,49169000,49169000,94225000,-14057000,1005000,953000,441000,-11658000,-1042000,706000,112000,112000,112000,-10840000,-10840000,1884000,-8955999.99999999,-10345000,29721000,-10932000,0.47702,-0.59424,-0.73597,-0.28589,-0.14919,0.77769,4.76481,0.91635,0.31543,-5.88029,-5.88029,7.98986,20.56824,-4.57304,-0.17669,-0.13741,1.62977,1.48546
"13","2018_Q4",16.8190476190476,"Down",28984000,-9265000,19719000,-26233000,-22366000,-3867000,-6514000,-896000,-624000,-272000,-7410000,-7410000,-27000,-7437000,-7437000,-7437000,-7437000,36933000,21685000,11664000,11664000,10059000,12464000,1830000,71120000,14582000,619000,485000,15201000,86321000,12454000,4457000,7997000,0,12454000,29749000,663000,627000,30412000,42866000,511250000,-465797000,-1998000,43455000,43455000,86321000,-7437000,1062000,9646000,-13112000,-9841000,-604000,1643000,5e+05,5e+05,5e+05,-7698000,-7698000,261000,-7437000,-5452000,29749000,-19141000,0.68034,-0.22474,-0.25659,-0.17114,-0.08616,2.57375,5.71062,0.98645,0.34463,-3.08715,-3.08715,12.03145,18.03845,-7.94555,-0.10068,-0.25913,1.31768,1.10286
"14","2019_Q1",28.5126229508197,"Up",22049000,-11181000,10868000,-19238000,-15780000,-3458000,-8370000,-1513000,-883000,-630000,-9883000,-9883000,13000,-9870000,-9870000,-9870000,-9870000,23625000,16380000,13244000,13244000,9534000,1553000,1408000,47956000,14439000,588000,479000,15027000,62983000,11375000,3445000,7930000,0,11375000,14792000,616000,616000,15408000,26783000,513337000,-475667000,-1470000,36200000,36200000,62983000,-9870000,1107000,1549000,8737000,1523000,-1113000,6926000,943999.999999999,943999.999999999,-14281000,-5832000,-5832000,527000,-5305000,-7263000,14792000,348000,0.4929,-0.37961,-0.44764,-0.27265,-0.15671,-0.0352600000000001,4.21591,0.73986,0.23486,-4.0574,-4.0574,9.064,14.88126,0.143059999999999,-0.19125,0.00674000000000002,1.21616,1.05532
"15","2019_Q2",82.3611111111111,"Up",20644000,-10813000,9831000,-16422000,-13510000,-2912000,-6591000,-999000,-346000,-653000,-7590000,-7590000,9000,-7581000,-7581000,-7581000,-7581000,18616000,18616000,12992000,12992000,9561000,1625000,1477000,42794000,14156000,7240000,7157000,21396000,64190000,11565000,4443000,7122000,1427000,14242000,13567000,5994000,5994000,19561000,33803000,514485000,-483248000,-850000,30387000,30387000,64190000,-7581000,1065000,2119000,159000,-4238000,-757000,6493000,0,0,0,2255000,2255000,-19000,2236000,-5526000,14817000,-6133000,0.47622,-0.31927,-0.36723,-0.24948,-0.1181,0.809,3.00477,1.11242,0.23083,-3.01555,-3.01555,8.2117,12.08724,-2.43956,-0.14807,-0.11979,0.68748,0.57639
"16","2019_Q3",60.12296875,"Down",19593000,-9971000,9622000,-15514000,-12186000,-3328000,-5892000,-848000,-1246000,398000,-6740000,-6740000,-23000,-6763000,-6763000,-6763000,-6763000,20659000,20659000,11249000,11249000,10638000,1699000,1531000,44245000,13649000,7144000,7095000,20793000,65038000,11282000,4182000,7100000,1440000,12722000,19323000,5692000,5692000,25015000,37737000,518564000,-490011000,-1252000,27301000,27301000,65038000,-6763000,1071000,2079000,-161000,-3774000,-541000,-541000,3121000,3121000,6351000,2036000,2036000,7000.00000000006,2043000,-4821000,19323000,-5500000,0.49109,-0.30072,-0.34517,-0.24772,-0.10399,0.81325,3.47783,1.38226,0.2971,-2.66948,-2.66948,7.7337,10.77619,-2.17095,-0.12927,-0.10513,0.27712,0.22675
"17","2019_Q4",47.41015625,"Down",17303000,-9675000,7628000,-14480000,-11318000,-3162000,-6852000,-1828000,-515000,-1313000,-8680000,-8680000,-21000,-8701000,-8701000,-8701000,-8701000,29433000,29433000,10477000,10477000,11558000,1605000,1435000,53073000,13362000,6854000,6830000,20216000,73289000,13116000,4601000,8515000,3954000,17070000,19435000,16884000,16884000,36319000,53389000,518637000,-498712000,-25000,19900000,19900000,73289000,-8701000,1056000,1774000,15384000,9513000,-804000,-804000,0,0,114000,8823000,8823000,-49000,8774000,-5796000,19435000,8805000,0.44085,-0.396,-0.50286,-0.43724,-0.11872,-1.01195,3.10914,2.68286,0.26518,-3.3585,-3.3585,6.67879,7.6812,3.39864,-0.15477,0.15662,1.72498,1.45914
"18","2020_Q1",24.4409677419355,"Down",19889000,-10233000,9656000,-15450000,-12395000,-3055000,-5794000,371000,-505000,876000,-5423000,-5423000,-10000,-5433000,-5433000,-5433000,-5433000,26394000,26394000,11066000,11066000,12074000,2980000,2815000,52514000,13356000,6526000,6526000,19882000,72396000,14055000,6920000,7135000,3800000,17855000,19623000,18571000,18571000,38194000,56049000,521357000,-504145000,-865000,16347000,16347000,72396000,-5433000,1045000,95999.9999999998,-46999.9999999963,-4339000,-824000,-824000,2062000,2062000,2062000,-3101000,-3101000,62000,-3039000,-4749000,19623000,-5610000,0.48549,-0.29132,-0.27317,-0.33235,-0.07505,1.03258,2.94114,3.4287,0.27105,-2.07254,-2.07254,7.5871,6.23593,-2.14006,-0.09961,-0.10286,1.42577,1.16862
"19","2020_Q2",20.9065079365079,"Down",16475000,-9261000,7214000,-15289000,-12299000,-2990000,-8075000,-1253000,-539000,-714000,-9328000,-9328000,-25000,-9353000,-9353000,-9353000,-9353000,21518000,21518000,8163000,8163000,11857000,2013000,1863000,43551000,13756000,6227000,6227000,19983000,63534000,12476000,6191000,6285000,3499000,15975000,19787000,18257000,18257000,38044000,54019000,523266000,-513498000,-253000,9515000,9515000,63534000,-9353000,1077000,1927000,1871000,-4478000,-1477000,-1477000,1141000,1141000,1141000,-4814000,-4814000,-62000,-4876000,-6998000,19787000,-6579000,0.43788,-0.49014,-0.56771,-0.98297,-0.14721,0.70341,2.7262,5.67725,0.31144,-3.47569,-3.47569,6.12231,3.53589,-2.44484,-0.19666,-0.13833,0.24736,0.21437
"20","2020_Q3",19.09625,"Down",19468000,-8450000,11018000,-13314000,-10576000,-2738000,-2296000,133000,-561000,694000,-2163000,-2163000,28000,-2135000,-2135000,-2135000,-2135000,18168000,18168000,8186000,8186000,13181000,8420000,2223000,47955000,13755000,5925000,5925000,19680000,67635000,13457000,6443000,7014000,16638000,30095000,24664000,4433000,4433000,29097000,59192000,524992000,-515633000,-916000,8443000,8443000,67635000,-2135000,1112000,702000,-7538000,-7859000,-1111000,-1111000,882999.999999999,882999.999999999,5593000,-3377000,-3377000,27000,-3350000,-1184000,24664000,-9861000,0.56595,-0.11794,-0.10967,-0.25287,-0.03157,4.61874,1.59345,7.01078,0.36466,-0.77923,-0.77923,7.10544,3.08153,-3.59907,-0.05687,-0.26268,-5.48649,-2.82927
"21","2020_Q4",17.25703125,"Down",16121000,-8437000,7684000,-14755000,-11889000,-2866000,-7071000,908000,-603000,1511000,-6163000,-6163000,-20000,-6183000,-6183000,-6183000,-6183000,32888000,32888000,8980000,8980000,12909000,6551000,2800000,61328000,13065000,5618000,5618000,18683000,80011000,13136000,5414000,7722000,19134000,32270000,24833000,4103000,4103000,28936000,61206000,542987000,-521816000,-2366000,18805000,18805000,80011000,-6183000,1103000,-81000,3223000,-1938000,-413000,-413000,17023000,17023000,17023000,14672000,14672000,48000,14720000,-5968000,24833000,-3138000,0.47665,-0.43862,-0.38354,-0.3288,-0.07728,0.50752,1.90046,3.25477,0.31037,-2.09943,-2.09943,5.47386,6.3852,-1.0655,-0.12951,-0.06573,1.3497,1.13916
"22","2021_Q1",26.9745901639344,"Up",16697000,-8898000,7799000,-15471000,-12126000,-3345000,-7672000,1075000,-594000,1669000,-6597000,-6597000,-25000,-6622000,-6622000,-6622000,-6622000,28673000,28673000,8515000,8515000,12585000,3571000,2315000,53344000,12240000,5916000,5916000,18156000,71500000,12131000,4918000,7213000,18788000,30919000,25003000,4206000,4206000,29209000,60128000,543810000,-528438000,-4e+06,11372000,11372000,71500000,-6622000,1074000,-414000,1927000,-4035000,-248000,-248000,-1000,-1000,7.45058059692383e-09,-4283000.00000001,-4283000.00000001,68000,-4215000,-6598000,25003000,-4894000,0.46709,-0.45948,-0.3966,-0.58231,-0.09262,0.73905,1.72528,5.28737,0.34969,-2.13889,-2.13889,5.39309,3.67313,-1.58075,-0.16318,-0.1206,0.55623,0.478359999999999
"23","2021_Q2",23.6188888888889,"Down",13835000,-7662000,6173000,-15319000,-11779000,-3540000,-9146000,-2337000,-576000,-1761000,-11483000,-11483000,-23000,-11506000,-11506000,-11506000,-11506000,104597000,104597000,8223000,8223000,13341000,2718000,2587000,128879000,11547000,5594000,5594000,17141000,146020000,11362000,5005000,6357000,18309000,29671000,25172000,3852000,3852000,29024000,58695000,629622000,-539944000,-2355000,87325000,87325000,146020000,-11506000,1058000,3168000,-1237000,-8517000,-365000,-365000,84895000,84895000,84895000,76013000,76013000,-89000,75924000,-8088000,25172000,-9667000,0.44619,-0.66108,-0.83166,-0.13176,-0.0788,0.84017,4.3436,0.67214,0.17239,-2.19078,-2.19078,2.63423,16.6266,-1.84063,-0.09889,-0.08309,9.8201,8.68412
"24","2021_Q3",35.24609375,"Up",56348000,-8810000,47538000,-16643000,-12993000,-3650000,30895000,7139000,-568000,455000,38034000,38034000,8000,38042000,38042000,38042000,38042000,108320000,108320000,8903000,8903000,13421000,17957000,2314000,148601000,11108000,9048000,9048000,20156000,168757000,13507000,4957000,8550000,1782000,15289000,20627000,7112000,7112000,27739000,43028000,630437000,-501902000,-2806000,125729000,125729000,168757000,38042000,1035000,-3800000,-30851000,4426000,-596000,-596000,-18999.9999999851,-18999.9999999851,-18999.9999999851,3811000,3811000,12000,3822999.99999999,31930000,20627000,475000.000000002,0.84365,0.54829,0.67513,0.30257,0.22542,0.01249,9.71947,0.34223,0.12223,7.24333,7.24333,10.72885,23.93923,0.0904400000000001,0.24788,0.00310000000000001,-2.74641,-2.83842
"25","2021_Q4",25.6221875,"Down",14253000,-8231000,6022000,-17389000,-13841000,-3548000,-11367000,-1577000,-581000,-996000,-12944000,-12944000,-29000,-12973000,-12973000,-12973000,-12973000,97111000,97111000,8943000,8943000,14478000,17421000,1787000,137953000,10914000,8679000,8679000,19593000,157546000,13419000,5110000,8309000,1809000,15228000,20799000,6817000,6817000,27616000,42844000,631475000,-514875000,-1900000,114702000,114702000,157546000,-12973000,1065000,2550000,-933000,-10291000,-871000,-871000,14000,14000,14000,-11148000,-11148000,-61000,-11209000,-10302000,20799000,-12077000,0.42251,-0.79752,-0.91019,-0.1131,-0.08234,0.93093,9.05917,0.37352,0.13202,-1.81743,-1.81743,1.99675,16.06872,-1.69191,-0.09116,-0.08486,7.40749,6.71347
"26","2022_Q1",16.433064516129,"Down",15424000,-9476000,5948000,-19338000,-15285000,-4053000,-13390000,-2539000,-1674000,-865000,-15929000,-15929000,-47000,-15976000,-15976000,-15976000,-15976000,100556000,100556000,9079000,9079000,15204000,2044000,1764000,126883000,10268000,8190000,8190000,18458000,145341000,16133000,6557000,9576000,1830000,17963000,20355000,6471000,6471000,26826000,44789000,632515000,-530851000,-1112000,100552000,100552000,145341000,-15976000,1115000,3431000,17413000,5983000,-468000,-468000,0,0,-2087000,3428000,3428000,17000,3445000,-12275000,20355000,4717000,0.38563,-0.86813,-1.03579,-0.15888,-0.10992,-0.29526,7.06358,0.44543,0.14005,-2.23813,-2.23813,2.1608,14.08668,0.66082,-0.12542,0.03703,6.53369,5.98962
"27","2022_Q2",11.4256451612903,"Down",15551000,-9810000,5741000,-20477000,-15998000,-4479000,-14736000,-1261000,-434000,-827000,-15997000,-15997000,-34000,-16031000,-16031000,-16031000,-16031000,82717000,82717000,10139000,10139000,15651000,2537000,1885000,111044000,9853000,7884000,7884000,17737000,128781000,14363000,5157000,9206000,1883000,16246000,20397000,6144000,6144000,26541000,42787000,633249000,-546882000,-375000,85994000,85994000,128781000,-16031000,1107000,2004000,-4182000,-17102000,-692000,-692000,-114155894.84611,-114155894.84611,-122572338.599012,-17794000,-17794000,-45000,-17839000,-13629000,20397000,-18469000,0.36917,-0.94759,-1.03087,-0.18642,-0.12448,1.15208,6.83516,0.49756,0.15839,-2.24171,-2.24171,2.17459,12.02475,-2.58263,-0.14245,-0.16412,4.5726,4.2291
"28","2022_Q3",6.9459375,"Down",15295000,-9835000,5460000,-18213000,-14255000,-3958000,-12753000,-2871000,-439000,-2432000,-15624000,-15624000,1e+05,-15524000,-15524000,-15524000,-15524000,72641000,72641000,9538000,9538000,16727000,1862000,1707000,100768000,9123000,7396000,7396000,16519000,117287000,15744000,7179000,8565000,1891000,17635000,20438000,5784000,5784000,26222000,43857000,634096000,-562406000,1738000,73430000,73430000,117287000,-15524000,1027000,3720000,1117000,-9660000,-298000,-298000,-427447684.53833,-427447684.53833,-448523015.797035,-9958000,-9958000,-218000,-10176000,-11726000,20438000,-11007000,0.35698,-0.8338,-1.01497,-0.21141,-0.13236,0.70903,5.71409,0.59726,0.17426,-2.15257,-2.15257,2.12081,10.18157,-1.52624,-0.15578,-0.11045,4.4519,4.09339
