"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",8.34903225806452,"Down",22115000,-8227000,13888000,-16817000,-13822000,-2995000,-2929000,-33000,-11000,-2962000,-2962000,-2435000,-2435000,-2435000,-2435000,89415510,89415510,19310071,19310071,12844652,2037567,1497417,540150,123607800,18810755,54138256,28351190,105087,72949011,196556811,16999440,5132329,11867111,16999440,4772540,67355,4772540,21771980,331692515,-156675485,-232199,174784831,174784831,196556811,-2435000,1841000,813000,-1929000,-1710000,-672000,-672000,75566000,75619000,-53000,68524000,66142000,66142000,0,66142000,-1088000,0,0.62799,-0.13244,-0.11011,-0.01393,-0.01239,7.27129,0.12456,0,-0.04469,-0.04469,0.40586,3.20771,4,-0.01356,82.18337,30.52766
"12","2013_Q1",6.284,"Down",22145000,-8893000,13252000,-19402000,-16508000,-2894000,-6150000,25000,26000,-6125000,-6125000,-5866000,-5866000,-5866000,-5866000,87888000,87888000,17469000,17469000,12758000,2002000,1719000,283000,120117000,18546000,52776000,27207000,124000,71322000,191439000,11130000,3380000,7750000,16634000,4490000,89000,4490000,21124000,333522000,-162541000,-666000,170315000,170315000,191439000,-5866000,1795000,1038000,1666000,-1367000,-617000,-617000,515999.999999985,537000,-20999.9999999999,516000,-1468000,-1468000,-59000,-1527000,-4355000,-9.31322574615479e-10,0.59842,-0.27772,-0.26489,-0.03444,-0.03064,7.22117,0.12403,0,-0.10608,-0.10608,0.40047,3.08,2,-0.03356,20.18094,14.29073
"13","2013_Q2",4.46,"Down",21164000,-9135000,12029000,-22618000,-19261000,-3357000,-10589000,-47000,-47000,-10636000,-10636000,-10226000,-10226000,-10226000,-10226000,79276000,79276000,16955000,16955000,13056000,3599000,3212000,387000,112886000,18297000,50853000,25749000,281000,69150000,182036000,12378000,5622000,6756000,17989000,4130000,249000,4130000,22119000,334475000,-172767000,-1791000,159917000,159917000,182036000,-10226000,1602000,984000,-34000,-7674000,-480000,-480000,-442000,301000,-743000,-442000,-8596000,-8596000,-16000,-8612000,-8987000,0,0.56837,-0.50033,-0.48318,-0.06395,-0.05618,6.27528,0.13832,0,-0.18442,-0.18442,0.38168,2.88404,2,-0.06234,8.82119,7.48664
"14","2013_Q3",5.00796875,"Up",24337000,-9838000,14499000,-20075000,-17382000,-2693000,-5576000,42000,42000,-5534000,-5534000,-5285000,-5285000,-5285000,-5285000,76964000,76964000,15355000,15355000,12497000,2885000,2520000,365000,107701000,18138000,48586000,24159000,410000,66724000,174425000,11577000,3381000,8196000,15977000,3894000,383000,3894000,19871000,335857000,-178052000,-3251000,154554000,154554000,174425000,-5285000,1619000,1192000,870000,-1604000,-612000,-612000,-57999.9999999981,0,-57999.9999999998,-58000,-2274000,-2274000,-38000,-2312000,-3957000,-5.82076609134674e-11,0.59576,-0.22912,-0.21716,-0.0342,-0.0303,6.741,0.12857,4.33680868994202e-19,-0.09512,-0.09512,0.43804,2.7818,2,-0.03335,19.45009,13.80273
"15","2013_Q4",6.27703125,"Up",24671000,-9738000,14933000,-16993000,-14323000,-2670000,-2060000,41000,41000,-2019000,-2019000,-1892000,-1892000,-1892000,-1892000,82590000,82590000,14292000,14292000,1.2e+07,2516000,2005000,511000,111398000,17989000,48825000,23701000,614000,66814000,178212000,14854000,3859000,10995000,19326000,3995000,539000,3995000,23321000,337210000,-179944000,-2375000,154891000,154891000,178212000,-1892000,1625000,1225000,5178000,6136000,-604000,-604000,0,16000,-16000,0,5532000,5532000,94000,5626000,-435000,0,0.60529,-0.0835,-0.07669,-0.01222,-0.01062,5.76415,0.15056,0,-0.03403,-0.03403,0.44377,2.78611,3,-0.01191,189.86207,40.09223
"16","2014_Q1",6.99114754098361,"Up",28768000,-11640000,17128000,-19365000,-17153000,-2212000,-2237000,164000,164000,-2073000,6227000,6213000,6213000,6213000,6213000,93191000,93191000,12957000,12957000,11444000,1983000,1712000,2e+05,119575000,17933000,46737000,22226000,729000,64670000,184245000,17866000,4834000,13032000,18985000,4114000,677000,4114000,23099000,338674000,-173731000,-3797000,161146000,161146000,184245000,6213000,1706000,1448000,2160000,11527000,-766000,-766000,80000,92000,-12000,79999.9999999998,10841000,10841000,-240000,10601000,-531000,0,0.59538,-0.07776,0.21597,0.03856,0.03372,6.29839,0.14334,0,0.11171,0.11171,0.51724,2.89737,5,0.0376,175.50094,41.65892
"17","2014_Q2",7.01285714285714,"Up",23537000,-9610000,13927000,-19545000,-17064000,-2481000,-5618000,118000,118000,-5500000,-5500000,-5631000,-5631000,-5631000,-5631000,84193000,84193000,13287000,13287000,11994000,2281000,2016000,197000,111755000,17826000,44499000,20659000,980000,62325000,174080000,14016000,4114000,9902000,14970000,4396000,961000,4396000,19366000,339651000,-179362000,-5575000,154714000,154714000,174080000,-5631000,1539000,1537000,-5113000,-7668000,-647000,-647000,-428000,93000,-521000,-428000,-8743000,-8743000,-255000,-8998000,-4079000,0,0.59171,-0.23869,-0.23924,-0.0364,-0.03235,7.46526,0.12517,0,-0.10098,-0.10098,0.4221,2.77454,3,-0.03539,20.6406,14.98629
"18","2014_Q3",8.00078125,"Up",26401000,-10385000,16016000,-19019000,-16248000,-2771000,-3003000,-142000,-142000,-3145000,2355000,2529000,2529000,2529000,2529000,80269000,75832000,14152000,14152000,13229000,8155000,1458000,6627000,115805000,18471000,45289000,20443000,1172000,63760000,179565000,14013000,4647000,9366000,14707000,4538000,1157000,4538000,19245000,341106000,-176833000,-3953000,160320000,160320000,179565000,2529000,1569000,1428000,-8255000,-2729000,-1341000,-5771000,-8999.99999999994,109000,-118000,-8999.99999999994,-8509000,-8509000,148000,-8361000,-1434000,2.27373675443232e-13,0.60664,-0.11375,0.09579,0.01577,0.01408,7.87414,0.12004,0,0.04522,0.04522,0.47204,2.86644,4,0.01534,55.97559,26.7296
"19","2014_Q4",8.96140625,"Up",27845000,-9140000,18705000,-17823000,-14833000,-2990000,882000,268000,268000,1150000,1150000,1140000,1140000,1140000,1140000,98855000,93855000,14920000,14920000,14843000,1429000,1089000,272999.999999999,130047000,17958000,42495000,18831000,1102000,60453000,190500000,13713000,4510000,9203000,25253000,4323000,1090000,4323000,29576000,342865000,-175693000,-6248000,160924000,160924000,190500000,1140000,1624000,1213000,14804000,18781000,-365000,-910000,344000,344000,0,344000,18215000,18215000,-192000,18023000,2506000,0,0.67175,0.03168,0.04094,0.00708,0.00598,5.14976,0.18379,0,0.02036,0.02036,0.49724,2.87369,6,0.0069,-39.44733,-112.0805
"20","2015_Q1",8.30622950819672,"Down",28681000,-10705000,17976000,-20539000,-16723000,-3816000,-2563000,287000,287000,-2276000,-2276000,-2652000,-2652000,-2652000,-2652000,97867000,92867000,16138000,16138000,15763000,1446000,1140000,306000,131214000,17934000,40485000,17505000,1246000,58419000,189633000,18280000,7148000,11132000,26462000,4470000,1234000,4470000,30932000,344894000,-178345000,-7848000,158701000,158701000,189633000,-2652000,1575000,1555000,-1336000,-858000,-652000,-652000,569000,569000,2.91038304567337e-11,569000,-941000,-941000,-47000,-988000,-988000,0,0.62676,-0.08936,-0.09247,-0.01671,-0.01398,4.95858,0.19491,0,-0.04727,-0.04727,0.5112,2.82864,3,-0.01625,99.05567,38.18455
