"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"11","2019_Q4",28.24359375,"Up",443326000,-175491000,267835000,-165592000,-16405000,-133315000,102243000,-84332000,-89067000,4735000,17911000,-4740000,13171000,13171000,33983000,33707000,33616000,81531000,81531000,244882000,244882000,326413000,16218701000,18101932000,-1883231000,1114904000,856697000,17333605000,17660018000,278272000,278272000,8322823000,400319000,400319000,9001414000,149023000,482093000,9483507000,8943871000,-505887000,-340724000,8097260000,8176511000,17660018000,33983000,133315000,904000,47304000,215506000,-66665000,903000,-65762000,-89032000,-1026000,-142786000,6958000,6958000,6958000,235558000,8655893000,0.60415,0.23063,0.07583,0.03626,1.15985,0.49014,0.06247,0.06236,0.82388
"12","2020_Q1",26.8048387096774,"Down",444277000,-229190000,215087000,-102086000,-15375000,-133764000,113001000,-91767000,-88417000,-3350000,21234000,95876000,117110000,117110000,52554000,51992000,51903000,92258000,92258000,193987000,193987000,286245000,16243192000,18247164000,-2003972000,863473000,550488000,17106665000,17392910000,186110000,186110000,8133186000,325450000,325450000,8644746000,147787000,482086000,9126832000,9015610000,-524588000,-276600000,8214422000,8266078000,17392910000,52554000,133764000,-17994000,-97042000,71282000,170622000,-41825000,128797000,-199006000,-8850000,-240247000,-40168000,-40168000,-40168000,246765000,8467485000,0.48413,0.25435,0.11683,0.03311,1.10413,0.48684,0.09606,0.09567,0.82225
"13","2020_Q2",23.8595238095238,"Down",449789000,-166916000,282873000,-163627000,-14228000,-135027000,119246000,-81077000,-84757000,3680000,38169000,-3093000,35076000,35076000,50276000,49956000,49854000,297060000,297060000,218735000,218735000,515795000,16216490000,18342890000,-2126400000,861060000,602853000,17077550000,17593345000,180222000,180222000,8033246000,666031000,666031000,8879499000,150160000,755719000,9635218000,9071950000,-556305000,-607402000,7908243000,7958127000,17593345000,50276000,135027000,4434000,-12016000,177721000,-85415000,4673000,-80742000,162613000,-4189000,132571000,229550000,229550000,229550000,254273000,8638805000,0.6289,0.26512,0.11084,0.05809,1.21074,0.49103,0.09189,0.09166,0.82903
"14","2020_Q3",27.2946875,"Up",449755000,-195903000,253852000,-137320000,-14426000,-137266000,116532000,-84701000,-86071000,1370000,31831000,180000,32011000,32011000,43178000,42903000,42784000,571719000,571719000,223894000,223894000,795613000,16117737000,18370551000,-2252814000,832966000,574759000,16950703000,17746316000,190344000,190344000,8014752000,706327000,706327000,8911423000,154200000,491020000,9402443000,9521230000,-595318000,-632148000,8293764000,8343873000,17746316000,43178000,137266000,4555000,33215000,218214000,-11406000,2644000,-8762000,-294391000,-1438000,70365999.9999999,279818000,279818000,279818000,253798000,8351572000,0.56442,0.2591,0.09513,0.08928,1.12687,0.47061,0.07796,0.07782,0.81951
"15","2020_Q4",27.70578125,"Up",459184000,-192821000,266363000,-156119000,-17972000,-138147000,110244000,-90762000,-87713000,-3049000,19482000,39750000,59232000,59232000,32865000,32654000,32540000,559567000,559567000,249341000,249341000,808908000,16132101000,18513160000,-2381059000,809778000,551571000,16941879000,17750787000,261355000,261355000,7991933000,672139000,672139000,8925427000,155871000,493983000,9419410000,9526784000,-646950000,-598966000,8280868000,8331377000,17750787000,32865000,138147000,3317000,55408000,229737000,-29810000,-75061000,-104871000,-26114000,-1262000,-111571000,13295000,13295000,13295000,248391000,8330045000,0.58008,0.24009,0.07086,0.09063,1.13059,0.46928,0.05802,0.05788,0.81879
"16","2021_Q1",29.0224590163934,"Up",464100000,-183516000,280584000,-158769000,-16679000,-142090000,121815000,-97469000,-95382000,-2087000,24346000,46784000,71130000,71130000,71130000,70699000,70586000,213422000,213422000,198346000,198346000,411768000,16288693000,18801750000,-2513057000,805761000,478287000,17094454000,17506222000,149299000,149299000,4820098000,611410000,611410000,5580807000,157936000,3369342000,8950149000,9712929000,-661162000,-546942000,8504825000,8556073000,17506222000,71130000,142090000,-19519000,-122661000,71040000,-252423000,37987000,-230781000,-276835000,-58989000,-237399000,-397140000,-397140000,-397140000,263905000,8031504000,0.60458,0.26248,0.15209,0.07378,1.04606,0.45878,0.1252,0.12471,0.82316
"17","2021_Q2",34.3912698412698,"Up",475225000,-184215000,291010000,-161451000,-16950000,-144501000,129559000,-83176000,-83406000,230000,46383000,10988000,57371000,57722000,57722000,57367000,57272000,187310000,187310000,223511000,223511000,410821000,16285049000,18933101000,-2648052000,794549000,462493000,17079598000,17490419000,180423000,180423000,7681952000,494749000,494749000,8357124000,160205000,500935000,8858059000,9710799000,-700728000,-429958000,8580113000,8632360000,17490419000,57722000,144501000,7032000,31333000,240588000,-115482000,-2074000,-122556000,-13022000,-8727000,-118979000,-947000,-947000,-947000,274060000,8022682000,0.61236,0.27263,0.12052,0.04916,1.02615,0.45869,0.10094,0.10068,0.83758
"18","2021_Q3",39.15515625,"Up",491633000,-193118000,298515000,-165108000,-19828000,-145280000,133407000,-82667000,-80764000,-1903000,50740000,-54869000,-4129000,-4118000.00000001,-4118000,-4468000,-4564000,126168000,126168000,241976000,241976000,368144000,16333324000,19119032000,-2785708000,783143000,447413000,17116467000,17484611000,217394000,217394000,7373988000,470879000,470879000,8062261000,162225000,802674000,8864935000,9731167000,-737444000,-413684000,8580039000,8619676000,17484611000,60688000,145280000,10380000,1980000,218328000,-163060000,15319000,-149134000,-10333000,-4941000,-111871000,-42676999.9999999,-42676999.9999999,-42676999.9999999,283024337.722426,8014437000,0.616611195195577,0.278533308058985,0.096135752989487,0.04566,1.02845,0.45837,0.0807538370851539,0.0806118142049242,0.84150644474566
"19","2021_Q4",40.54953125,"Up",509532000,-202370000,307162000,-170063000,-19369000,-150694000,137099000,-80314000,-79370000,-1508000,56785000,77878000,134663000,134301000,134301000,133983000,133914000,569663000,569663000,251487000,251487000,821150000,16653447000,19584309000,-2930862000,775969000,424666000,17429416000,18250566000,297073000,297073000,3857863000,453448000,453448000,4608384000,163663000,4118937000,8727321000,10628640000,-767232000,-378428000,9482980000,9523245000,18250566000,69495000,150694000,1271000,101938000,323398000,-395349000,-64931000,-456620000,-1389000,-7545000,586228000,453006000,453006000,453006000,293035062.633456,7813137000,0.618956717117346,0.285176584835391,0.111219251793692,0.17819,0.91642,0.4281,0.0935765022510923,0.0933290885229545,0.846144066847396
"20","2022_Q1",40.3546774193548,"Down",520225000,-198056000,322169000,-171328000,-19668000,-151660000,150841000,-82339000,-79121000,-2654000,68502000,7915000,76417000,74871000,74871000,74543000,74476000,610166000,610166000,208692000,208692000,818858000,16935322000,20008381000,-3073059000,783666000,395064000,20774841000,21593699000,193633000,193633000,2726497746.12765,341583000,341583000,535216000,165167000,5107973000,5643189000,10879549000,-794869000,-286938000,9797742000,9838804000,15481993000,74871000,151660000,9305000,-110490000,125346000,-384091000,-16394000,-431248000,195915000,-30948000,303610000,-2291999.99999994,-2291999.99999994,-2291999.99999994,302501000,9.5367431640625e-07,0.61929,0.28995,0.14316,0.228452959315328,0.83997721694576,0.418410975608696,0.12504,0.12465,0.87342
"21","2022_Q2",37.8062903225806,"Down",532310000,-203236000,329074000,-173435000,-17639000,-155796000,155639000,-73795000,-74389000,594000,81844000,13479000,95323000,93003000,93003000,92615000,92395000,467457000,467457000,215692000,215692000,683149000,17025640000,20246680000,-3221040000,835433000,414793000,17861073000,18544222000,175553000,175553000,3051590000,119921000,119921000,3347064000,168008000,4972026000,8319090000,11099884000,-836494000,-80534000,10182856000,10225132000,18544222000,93003000,155796000,3241000,-17006000,235034000,-231339000,-28949000,-289226000,-4835000,-25816000,-81517000,-135709000,-135709000,-135709000,311435000,7855608000,0.6182,0.29238,0.17357,0.2041,0.81359,0.42361,0.16013,0.1597,0.92253
"22","2022_Q3",37.2625,"Down",557300000,-212494000,344806000,-177914000,-19342000,-158572000,166892000,-83688000,-74840000,-3827000,83204000,25981000,109185000,111505000,111505000,110963000,110815000,272708000,272708000,206888000,206888000,479596000,17125185000,20494747000,-3369562000,902203000,399266000,18027388000,18506984000,237915000,237915000,2211739000,61736000,61736000,2511390000,171413000,5713605000,8224995000,11119250000,-860275000,-20285000,10238690000,10281989000,18506984000,111505000,158572000,-7688000,27673000,290062000,-234161000,56552000,-264497000,-91956000,-16587000,-229118000,-203553000,-203553000,-203553000,325464000,7753931000,0.61871,0.29947,0.19884,0.19097,0.79994,0.41897,0.18157,0.18118,0.91311
