"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","earnings_per_share_basic","earnings_per_share_diluted"
"22","2017_Q3",44.3365079365079,"Down",-10680000,-5736000,-4944000,-9579000,118000,118000,-9461000,-9461000,-9461000,-9461000,-9461000,-9461000,-9461000,321000,2298000,693000,-6149000,-45000,-45000,1996000,1996000,1952000,-4242000,-4242000,-4242000,-9258000,0,-1.78009,-1.78009
"23","2017_Q4",30.9761904761905,"Down",-8870000,-4865000,-4005000,-7909000,118000,118000,-7791000,-7791000,-7791000,-7791000,-7791000,-7791000,-27354000,962000,5600000,-2454000,-23246000,-160000,-160000,8069000,8069000,7995000,-15411000,-15411000,-15415000,-6947000,0,-1.45157,-1.45157
"24","2018_Q1",24.3049180327869,"Down",-8405000,-4431000,-3974000,-7583000,132000,144000,-7451000,-7447000,-7449000,-7449000,-7449000,-7449000,12114000,-342000,-3026000,2445000,11191000,-6000,-6000,-2916000,-2916000,-2791000,8394000,8394000,8409000,-7925000,0,-1.34649,-1.34649
"25","2018_Q2",27.434375,"Up",-8146000,-4767000,-3379000,-7577000,162000,162000,-7415000,-7413000,-7416000,-7416000,-7416000,-7416000,-7416000,288000,1277000,-1171000,-7022000,2000,2000,3010000,3010000,2907000,-4113000,-4113000,-4113000,-7289000,0,-1.33072,-1.33072
"26","2018_Q3",25.0603174603175,"Down",-6827000,-3640000,-3187000,-6009000,172000,172000,-5837000,-5837000,-5837000,-5837000,-5837000,-5837000,-5837000,282000,1274000,-42999.9999999995,-4324000,-11000,-11000,2119000,2119000,2077000,-2258000,-2258000,-2258000,-5727000,0,-1.0241,-1.0241
"27","2018_Q4",20.9863492063492,"Down",-7169000,-3387000,-3782000,-6526000,192000,192000,-6334000,-6399000,-6399000,-6399000,-6399000,-6399000,-6399000,254000,1423000,770000,-3952000,-25000,-25000,1837000,1837000,1846000,-2131000,-2131000,-2131000,-6272000,0,-1.09832,-1.09832
"28","2019_Q1",20.9785245901639,"Down",-7741000,-3337000,-4404000,-7162000,179000,179000,-6983000,-6983000,-6983000,-6983000,-6983000,-6983000,-6983000,156000,1282000,468000,-5077000,-42000,-42000,6411000,6411000,6324000,1205000,1205000,1205000,-7006000,-4.33680868994202e-19,-1.16827,-1.16827
"29","2019_Q2",15.7480952380952,"Down",-7138000,-3315000,-3823000,-6521000,197000,197000,-6324000,-6323000,-6323000,-6323000,-6323000,-6323000,-6323000,205000,1219000,-1036000,-5935000,1000,1000,4996000,4996000,4944000,-990000,-990000,-990000,-6316000,0,-0.99689,-0.99689
"30","2019_Q3",7.01640625,"Down",-7793000,-6348000,-1445000,-6827000,450000,183000,-6377000,-6292000,-6294000,-6294000,-6294000,-6294000,-6294000,174000,1366000,-401000,-5155000,26000,26000,0,0,-8000,-5137000,-5137000,-5137000,-6653000,0,-0.96551,-0.96551
"31","2019_Q4",7.801875,"Up",-5519000,-5374000,-145000,-5234000,1314000,127000,-3920000,-3370000,-3370000,-3370000,-3370000,-3370000,-3370000,757000,701000,1329000,-583000,701000,701000,0,0,-1000,117000,117000,117000,-4477000,0,-0.51658,-0.51658
"32","2020_Q1",6.72387096774194,"Down",-2893000,-3022000,129000,-2893000,168000,87000,-2725000,-2723000,-2723000,-2723000,-2723000,-2723000,-2723000,6000.00000000012,398000,-890000,-3209000,19000,19000,1.16415321826935e-10,0,0,-3190000,-3190000,-3190000,-2887000,0,-0.41725,-0.41725
"33","2020_Q2",10.1619047619048,"Up",-2786000,-2786000,143132.707649366,-2786000,13000,8000,-2773000,-2767000,-2769000,-2769000,-2769000,-2769000,-2769000,4000,919000,-724000,-2570000,2000,2000,0,0,-1000,-2569000,-2569000,-2569000,-2782000,0,-0.42408,-0.42408
"34","2020_Q3",10.7234375,"Up",-8950000,-8922000,-28000,-8950000,4999.99999999997,4000,-8945000,-8950000,-8950000,-8950000,-8950000,-8950000,-8950000,4000,4145000,-2347000,-7148000,5000,5000,12999.9999999999,14000,12000.0000000001,-7131000,-7131000,-7131000,-8946000,0,-1.3632,-1.3632
"35","2020_Q4",9.4915625,"Down",-2492000,-2090000,-402000,-2492000,1000,1000,-2491000,-2511000,-2511000,-2511000,-2511000,-2511000,-2511000,10000,224000,786000,-1491000,-289000,-289000,3072000,3072000,3071000,1291000,1291000,1291000,-2482000,0,-0.36601,-0.36601
"36","2021_Q1",13.0201639344262,"Up",-2598000,-1925000,-673000,-2598000,2000,2000,-2596000,-2596000,-2592000,-2592000,-2592000,-2592000,-2596000,23000,287000,172000,-2114000,-111000,-111000,20754000,20754000,20753000,18528000,18528000,18528000,-2575000,0,-0.3387,-0.3387
"37","2021_Q2",8.37507936507937,"Down",-2559000,-1979000,-580000,-2559000,27000,2000,-2532000,-2532000,-2532000,-2532000,-2532000,-2532000,-2532000,25000,415000,679000,-1413000,-194000,-194000,251000,251000,251000,-1356000,-1356000,-1356000,-2534000,0,-0.36685,-0.36685
"38","2021_Q3",7.6040625,"Down",-3507000,-2828000,-679000,-3507000,1999.99999999999,2000,-3505000,-3505000,-3505000,-3505000,-3505000,-3505000,-3505000,34000,426000,902000,-2143000,-29000,-28999.9999999999,1.86264514923096e-09,1.86264514923096e-09,-45000.0000000019,-2217000,-2217000,-2217000,-3473000,-8.27180612553028e-25,-0.40283,-0.40283
"39","2021_Q4",5.3584375,"Down",-3500000,-2574000,-926000,-3500000,2000,2000,-3498000,-3498000,-3496000,-3496000,-3496000,-3496000,-3500000,37000,588000,-481000,-3356000,-133000,-133000,0,0,-1000,-3490000,-3490000,-3490000,-3463000,0,-0.40159,-0.40159
"40","2022_Q1",3.46677419354839,"Down",-3413000,-2278000,-1135000,-1913000,2000,2000,-1911000,-1911000,-1911000,-1911000,-1911000,-1911000,-1911000,46000,827000,-503000,-1541000,-53000,-52999.9999999995,0,-2.3283064365387e-10,0,-1594000,-1594000,-1594000,-1867000,5.16987882845642e-26,-0.21948,-0.21948
"41","2022_Q2",2.59274193548387,"Down",-3239000,-2219000,-1020000,-3239000,31000,31000,-3208000,-3213000,-3211000,-3211000,-3211000,-3211000,-3215000,50000,655000,96000,-2414000,-74000,-10693000,2582032.19743989,2582042.70532617,2389956.65656266,-13107000,-13107000,-13107000,-3189000,0,-0.36862,-0.36862
"42","2022_Q3",2.6615625,"Up",-3431000,-2200000,-1231000,-3354000,103000,103000,-3251000,-3321000,-3321000,-3321000,-3321000,-3321000,-3321000,54000,691000,359000,-2217000,-119000,-86000,7495096.59231966,7495128.11597851,6785869.96968798,-2303000,-2303000,-2303000,-3300000,0,-0.38119,-0.38119
