"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",14.4246875,"Up",15247011,-4841170,10405841,-5530024,-3947114,-1582910,4875817,-39558,4836259,4971866,-1903864,3068002,3068002,3068002,3068002,50965566,50965566,14784266,14784266,9947961,2997091,1007669,78694884,34478850,28184632,19229922,8792165,162545,62663482,141358366,6949124,2696550,4252574,10740791,10189270,6784019,1294140,17789270,28530061,67154702,49077683,-3404080,112828305,112828305,141358366,3068002,1202208,606049,1321879,6198138,-35802,99805,1097016,1097016,632374,6930317,6930317,-32228,6898089,6078025,9200000,9267966,0.68248,0.31979,0.20122,0.02719,0.0217,3.02085,7.32673,0.25286,0.06508,0.22884,0.21369,1.13725,8.41566,0.69128,0.0232,0.0701,-6.87157,-8.56586
"12","2013_Q3",22.44625,"Up",20828377,-6311332,14517045,-5229731,-3400679,-1829052,9287314,-36381,9250933,9362111,-3467219,5894892,5894892,5894892,5894892,54140459,54140459,19065386,19065386,10357798,2910295,920873,86473938,33846579,28074133,18996886,8923197,154050,61920712,148394650,8573401,2699678,4503551,11701318,10059493,6725622,1264427,17259493,28960811,67525249,54972575,-3063985,119433839,119433839,148394650,5894892,1068687,135417,-3664208,3434788,-74069,37109.0000000001,30859,30859,-296903,3174994,3174994,-101,3174893,10356001,8800000,10084943,0.69698,0.4459,0.28302,0.04936,0.03972,1.71079,7.3901,0.24248,0.0593,0.43632,0.40434,1.54164,8.84003,0.74645,0.04263,0.07292,-4.37818,-4.88198
"13","2013_Q4",30.8515625,"Up",17754438,-5377568,12376870,-4806681,-3188669,-1618012,7570189,-32816,7537373,7733457,-2776199,4957258,4957258,4957258,4957258,64055438,64055438,16496917,16496917,11582492,2867894,878472,95002741,33261864,28617919,19197226,9275130,145563,61879783,156882524,7907380,2136679,5228399,10357447,11518915,8319038,1172099,18318915,28676362,70423840,59929833,-2147511,128206162,128206162,156882524,4957258,1308579,-601158,1861594,7526273,-125932,158148,1804774,1804774,2161359,9845780,9845780,69199,9914979,8878768,8400000,13390629,0.69711,0.42638,0.27921,0.03867,0.0316,2.70122,9.17241,0.22367,0.05354,0.36231,0.33139,1.29761,9.37012,0.97867,0.03347,0.0904,-6.26837,-7.35192
"14","2014_Q1",37.1693442622951,"Up",21251174,-6234930,15016244,-4429564,-2399538,-2030026,10586680,-18245,10568435,10412566,-3757718,6654848,6654848,6654848,6654848,63333160,63333160,18736845,18736845,10996785,1524997,865957,94591787,32938711,28511383,18998409,9443894,69080,61450094,156041881,9102068,2793911,5537881,9282501,11125349,7936864,1133544,11125349,20407850,70748924,66584202,-1699095,135634031,135634031,156041881,6654848,1192526,2598692,-2440265,8005801,-205197,-548062,121351,121351,-8185830,-728091,-728091,6129.99999999999,-721961,11779206,0,12891462,0.70661,0.49817,0.31315,0.04906,0.04265,1.93715,10.19033,0.15046,-6.93889390390723e-18,0.42258,0.43188,1.34945,8.61276,0.81861,0.04535,0.08784,-5.37669,-5.98234
"15","2014_Q2",44.4720634920635,"Up",34010287,-4361019,29649268,-5778700,-3490985,-2287715,23870568,467,23871035,23871035,-8840782,15030253,15030253,15030253,15030253,82160251,82160251,16466436,16466436,12981495,1876443,1217403,113484625,32633966,27942655,18439286,9434289,69080,60576621,174061246,7665507,2742808,4497706,7711919,9779320,8617245,1089708,9779320,17491239,76680763,81614455,-1725211,156570007,156570007,174061246,15030253,1198799,-4300317,1667922,13596657,-276513,-276513,1067767,1067767,5504016,18824160,18824160,2931,18827091,25069367,0,35301558,0.87177,0.70186,0.44193,0.096,0.08635,2.3487,14.71548,0.11172,0,1.03934,0.96976,2.3518,10.82678,2.44109,0.09035,0.21221,-3.27732,-3.44191
"16","2014_Q3",43.21171875,"Down",26274660,-5332913,20941747,-5739034,-3865876,-1873158,15202713,5935,15208648,15208648,-5906298,9302350,9302350,9302350,9302350,84879562,84879562,19235039,19235039,13864165,1537969,878929,119516735,32387726,27192233,17762272,9360884,69077,59579959,179096694,7305941,2198070,4875167,7321404,9380995,8278135,1031414,9380995,16702399,73393440,90916805,-1915950,162394295,162394295,179096694,9302350,1167612,-4411402,-1818403,4240157,-400845,-400845.000000001,294038,294038,-1182998,2656314,2656314,62997,2719311,16370325,0,20057375,0.79703,0.57861,0.35404,0.05728,0.05194,2.15616,16.32429,0.10285,-1.73472347597681e-18,0.63334,0.60042,1.78888,11.05645,1.36559,0.05415,0.11677,-5.18496,-5.58319
"17","2014_Q4",39.08765625,"Down",22055423,-5724800,16330623,-6044405,-4044538,-1999867,10286218,9937,10296155,10296155,-4125355,6170800,6170800,6170800,6170800,91771794,71772194,20170095,20170095,13582456,3131309,1128693,128655654,32036643,24805293,16033944,8702295,69054,56841936,185497590,6421238,1167545,5253693,6434123,9358962,8353531,948858,9358962,15793085,76212387,97087605,-3595487,169704505,169704505,185497590,6170800,1210030,891579,-886851,7385558,-242774,-20241943,17489,17489,-53916,-12910301,-12910301,-197067,-13107368,11496248,0,14491978,0.74044,0.46638,0.27979,0.03636,0.03327,2.34848,19.99583,0.09306,0,0.41811,0.39979,1.49439,11.49854,0.98192,0.03446,0.08093,-7.98276,-8.92182
"18","2015_Q1",40.426393442623,"Up",23254630,-5511268,17743362,-5655861,-3672601,-1983260,12087501,41661,12129162,12129162,-4313565,7815597,7815597,7815597,7815597,106906000,100156000,17152000,17152000,12407000,1371000,1371000,137836000,31669000,23303000,14895000,8339000,69000,54972000,192808000,5973000,1201000,4772000,5973000,8737000,7741000,894000,8737000,14710000,77689000,104904000,-4495000,178098000,178098000,192808000,7815597,1129559,994140,4816332,14755628,-632868,12616301,675706,675706,1064898,28436827,28436827,-52861.0000000001,28383966,13217060,1.45519152283669e-11,21714089,0.763,0.51979,0.33609,0.04388,0.04054,2.7783,23.07651,0.08259,0,0.52793,0.53352,1.57082,12.03031,1.46676,0.04183,0.11622,-8.08849,-8.84434
"19","2015_Q2",35.6657142857143,"Down",15520000,-4313000,11207000,-5703000,-3605000,-2098000,5504000,24000,5528000,5528000,-2012000,3516000,3516000,3516000,3516000,112302205,99802205,16025212,16025212,12515787,5077879,1034597,145921083,31190005,20573818,13061379,7443429,69010,51763823,197684906,6017791,1774812,4242979,6157326,9712012,8797200,829302,9712012,15869338,80140258,108419238,-6743928,181815568,181815568,197684906,3516000,914000,-526000,80000,3984000,-256000,-6006000,964000,964000,1898000,-124000,-124000,-230000,-354000,6418000,0,8254000,0.7221,0.35464,0.22655,0.01934,0.01779,2.34755,23.69877,0.08728,0,0.23589,0.22935,1.04126,12.19829,0.55377,0.01836,0.0431,-17.49801,-20.40374
"20","2015_Q3",34.86953125,"Down",22904000,-5275000,17629000,-5200000,-3388000,-1812000,12429000,24000,12453000,12453000,-4634000,7819000,7819000,7819000,7819000,122433372,103920222,19166116,19166116,11718243,2407806,947939,155725537,31522869,20763744,13083907,7610821,69016,52286613,208012150,7921366,1657683,4441785,7957304,9487435,8633398,779666,9487435,17444739,80655058,116238795,-6326442,190567411,190567411,208012150,7819000,913000,296000,1872000,10900000,-878000,-6896000,5000.00000000012,5000,5000,4009000,4009000,109000,4118000,13342000,-9.09494701772928e-13,18970000,0.76969,0.54266,0.34138,0.04103,0.03759,2.42614,19.57014,0.09154,0,0.52263,0.50985,1.53091,12.73761,1.26796,0.03908,0.09482,-9.17654,-9.85062
"21","2015_Q4",38.25375,"Up",23681000,-5176000,18505000,-5370000,-3309000,-2061000,13135000,34000,13169000,13169000,-4789000,8380000,8380000,8380000,8380000,130476391,108469021,23375657,23375657,12075157,2356447,947119,168283652,33797313,20769742,12987683,7713039,69020,54567055,222850707,13210851,2220734,6547775,13244799,9851657,8974122,803571,9851657,23096456,81202218,124618660,-6066627,199754251,199754251,222850707,8380000,973000,1048000,-1495000,8906000,-894000,-4385000,106000,106000,49000,4570000,4570000,-21000,4549000,14108000,0,16508000,0.78143,0.55466,0.35387,0.04195,0.0376,1.96993,12.70564,0.11562,0,0.5599,0.54714,1.58221,13.34631,1.10296,0.03998,0.07876,-9.2484,-9.93349
"22","2016_Q1",40.5631147540984,"Up",30894000,-6289000,24605000,-7539000,-4523000,-3016000,17066000,38000,17104000,17104000,-6061000,11043000,11043000,11043000,11043000,138458000,110707000,21652000,21652000,14938000,1385000,1385000,176433000,40108000,19207000,11656000,7482000,69000,59315000,235748000,17278000,8302000,4778000,17278000,7622000,6775000,781000,7622000,24900000,81835000,135662000,-6649000,210848000,210848000,235748000,11043000,975000,1605000,2498000,16121000,-7197000,-12939000,-1000.00000000093,-1000.00000000006,-877999.999999999,2304000,2304000,-66000,2238000,18041000,0,19403000,0.79643,0.5524,0.35745,0.05237,0.04684,1.75704,10.21142,0.11809,0,0.74099,0.72167,2.07301,14.14802,1.30195,0.05055,0.08881,-7.67463,-8.11309
"23","2016_Q2",47.11625,"Up",22283000,-5425000,16858000,-6149000,-3990000,-2159000,10709000,72000,10781000,10781000,-3886000,6895000,6895000,6895000,6895000,115837000,92837000,14798000,14798000,15765000,1500000,1500000,147900000,46839000,19718000,11859000,7790000,69000,66557000,214457000,10865000,3263000,5999000,10865000,8224000,7422000,739000,8224000,19089000,58684000,142557000,-5873000,195368000,195368000,214457000,6895000,942000,1454000,-1247000,8044000,-6418000,-1667000,-24332000,668000,-24332000,-17955000,-17955000,85000,-17870000,11651000,0,7872000,0.75654,0.48059,0.30943,0.03529,0.03215,1.1417,13.61252,0.09771,0,0.46353,0.45045,1.49802,13.13398,0.52921,0.03387,0.03867,-9.94224,-10.81679
"24","2016_Q3",49.39578125,"Up",26581000,-6065000,20516000,-7047000,-4255000,-2792000,13469000,49000,13518000,13518000,-4903000,8615000,8615000,8615000,8615000,111625000,89125000,24597000,24597000,17264000,1158000,1158000,154644000,49198000,18896000,11259000,7568000,69000,68094000,222738000,10523000,3294000,6638000,10523000,7799000,6570000,1173000,7799000,18322000,59654000,151172000,-6410000,204416000,204416000,222738000,8615000,959000,5000.00000000023,-10561000,-982000,-3451000,-2951000,254000,254000,254000,-3679000,-3679000,-33000,-3712000,14428000,0,5319000,0.77183,0.50672,0.3241,0.04214,0.03868,0.61741,14.69581,0.08963,0,0.58689,0.57011,1.81082,13.92574,0.36235,0.0406,0.02506,-7.73669,-8.28755
"25","2016_Q4",46.2344444444444,"Down",25789000,-4998000,20791000,-7102000,-4280000,-2822000,13689000,93000,13782000,13782000,-4830000,8952000,8952000,8952000,8952000,120297000,98047000,21833000,21833000,18020000,924000,924000,161074000,51058000,18930000,11171000,7690000,69000,69988000,231062000,7589000,1949000,5423000,7589000,8930000,6315000,2556000,8930000,16519000,60520000,160124000,-6101000,214543000,214543000,231062000,8952000,876000,557000,931000,11316000,-2739000,-2490000,66000,66000,66000,8892000,8892000,30000,8922000,14565000,0,17587000,0.8062,0.53081,0.34712,0.04173,0.03874,1.96459,21.22467,0.077,0,0.6121,0.59375,1.76335,14.66961,1.20253,0.04006,0.0787,-8.25932,-8.78786
"26","2017_Q1",47.7385483870968,"Up",28726000,-7539000,21187000,-8447000,-5488000,-2959000,12740000,49000,12789000,12789000,-4704000,8085000,8085000,8085000,8085000,124761000,104261000,27598000,27598000,15983000,2098000,2098000,170440000,52296000,17510000,10227000,7214000,69000,69806000,240246000,8799000,2303000,6496000,8799000,8674000,6548000,2126000,8674000,17473000,61881000,168209000,-7317000,222773000,222773000,240246000,8085000,957000,2017000,-4989000,6070000,-1406000,345000,19000,19000,19000.0000000009,6434000,6434000,-220000,6214000,13697000,4.44089209850063e-16,12006000,0.73755,0.4435,0.28145,0.03629,0.03365,1.48497,19.37038,0.07843,3.30872245021211e-24,0.55571,0.54012,1.97443,15.31191,0.82521,0.03493,0.05187,-9.10864,-9.79286
"27","2017_Q2",46.05,"Down",23386000,-6083000,17303000,-9297000,-5067000,-4230000,8006000,58000,8064000,8064000,-2571000,5493000,5493000,5493000,5493000,138618000,119368000,21079000,21079000,16180000,1173000,1173000,177050000,51593000,18724000,10162000,7328000,1234000,70317000,247367000,10217000,6050000,4167000,10217000,7122000,6722000,4e+05,7122000,17339000,63865000,173188000,-7025000,230028000,230028000,247367000,5493000,1014000,1831000,7122000,15460000,-1675000,-425000,41000,41000,41000,15076000,15076000,31000,15107000,9020000,0,17038000,0.73989,0.34234,0.23488,0.02388,0.02221,3.10177,17.32896,0.07538,0,0.37685,0.36515,1.60442,15.78128,1.16891,0.02316,0.07184,-15.36785,-17.31426
"28","2017_Q3",52.2746031746032,"Up",33462000,-6315000,27147000,-9421000,-4972000,-4449000,17726000,16000,17742000,17742000,-6373000,11369000,11369000,11369000,11369000,142874000,117874000,30450000,30450000,17584000,1973000,1973000,192881000,52272000,19851000,10626000,7836000,1389000,72123000,265004000,13441000,5465000,5673000,13441000,7425000,7003000,422000,7425000,20866000,65317000,184557000,-5736000,244138000,244138000,265004000,11369000,1008000,1509000,-7615000,6271000,-2242000,-7992000,168000,168000,168000,-1553000,-1553000,59000,-1494000,18734000,-8.88178419700125e-16,15250000,0.81128,0.52974,0.33976,0.04657,0.0429,1.34137,14.3502,0.08547,0,0.77934,0.75572,2.2938,16.73554,1.04538,0.04519,0.06062,-7.62645,-8.06014
"29","2017_Q4",55.3480952380952,"Up",27184000,-6250000,20934000,-10665000,-4823000,-5842000,10269000,261000,10530000,10530000,-3643000,6887000,6887000,6887000,6887000,152710000,126960000,23804000,23804000,20252000,2268000,2268000,199034000,53973000,20125000,10738000,8104000,1283000,74098000,273132000,11705000,5189000,6516000,11705000,8138000,7593000,545000,8138000,19843000,66892000,191444000,-5047000,253289000,253289000,273132000,6887000,1202000,2151000,1860000,12100000,-2589000,-3339000,101000,101000,101000,8862000,8862000,224000,9086000,11471000,0,14385000,0.77009,0.37776,0.25335,0.02719,0.02521,2.08872,17.00419,0.07834,0,0.47239,0.45564,1.8646,17.37355,0.98669,0.02634,0.05502,-13.3127,-14.87097
"30","2018_Q1",56.4995081967213,"Up",29388000,-8716000,20672000,-10944000,-6678000,-4266000,9728000,138000,9866000,9866000,-1799000,8067000,8067000,8067000,8067000,157256000,133256000,23825000,23825000,22035000,3211000,3211000,206327000,56183000,20107000,10635000,8218000,1254000,76290000,282617000,13073000,6747000,6326000,13073000,6053000,5393000,660000,6053000,19126000,68764000,199511000,-4784000,263491000,263491000,282617000,8067000,1066000,1572000,-3724000,6981000,-2474000,-724000,4000,4000,3999.99999999977,6261000,6261000,35000,6296000,10794000,-1.4210854715202e-14,6395000,0.70342,0.33102,0.2745,0.03062,0.02854,0.79274,15.78268,0.07259,2.64697796016969e-23,0.55417,0.5353,2.01882,18.10064,0.43931,0.02993,0.02373,-14.56883,-16.1653
"31","2018_Q2",41.1846875,"Down",21264000,-7845000,13419000,-21251000,-16090000,-5161000,-7832000,95000,-7737000,-7737000,1051000,-6686000,-6686000,-6686000,-6686000,163047000,141797000,18289000,18289000,22770000,4081000,4081000,208187000,55772000,20377000,10678000,8452000,1247000,76149000,284336000,14122000,6159000,7963000,14122000,6448000,5298000,1150000,6448000,20570000,75105000,192825000,-4164000,263766000,263766000,284336000,-6686000,1473000,10878000,3927000,9592000,-2543000,207000,512000,512000,-1223000,8576000,8576000,-35000,8541000,-6359000,0,-6026000,0.63107,-0.36832,-0.31443,-0.02535,-0.02351,0.90129,14.74203,0.07799,0,-0.45548,-0.45548,1.4486,17.96894,-0.41052,-0.02474,-0.0223,25.64035,20.81805
"32","2018_Q3",39.5146031746032,"Down",30548000,-8151000,22397000,-11151000,-6417000,-4734000,11246000,290000,11536000,11536000,-1445000,10091000,10091000,10091000,10091000,139297000,126047000,23389000,23389000,24060000,4244000,4244000,190990000,55377000,19046000,9876000,8013000,1157000,74423000,265413000,12532000,5073000,7459000,12532000,6278000,5396000,882000,6278000,18810000,48802000,202916000,-5115000,246603000,246603000,265413000,10091000,1447000,2231000,-9298000,4471000,-740000,7260000,-27626000,2374000,-27626000,-15895000,-15895000,145000,-15750000,12693000,0,4100000,0.73317,0.36814,0.33033,0.04092,0.03802,0.4063,15.24019,0.07628,-4.2351647362715e-22,0.68871,0.67657,2.0849,16.83067,0.27983,0.0399,0.01621,-10.97432,-12.38636
"33","2018_Q4",36.0942857142857,"Down",26787000,-8283000,18504000,-9931000,-5700000,-4231000,8573000,522000,9095000,9095000,-1496000,7599000,7599000,7599000,7599000,149011000,81825000,20771000,20771000,23828000,1981000,1981000,195591000,55041000,18632000,9564000,7959000,1109000,73673000,269264000,9305000,2462000,6843000,9305000,4694000,4120000,574000,4694000,13999000,49978000,210515000,-5228000,255265000,255265000,269264000,7599000,1513000,-92000,1822000,10842000,-1210000,-55143000,0,0,0,-44301000,-44301000,79000,-44222000,10086000,0,12194000,0.69078,0.32004,0.28368,0.02977,0.02822,1.60468,21.01999,0.05484,0,0.53375,0.52855,1.88151,17.92969,0.8565,0.02923,0.04691,-14.77404,-17.38143
