"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",75.1773015873016,"Down",276898000,-65324000,211574000,-133883000,-6661000,-76959000,-50263000,77691000,-32103000,-32168000,65000,45588000,43773000,89361000,-455000,0,88906000,88906000,-4627000,84279000,84279000,27817000,27817000,27817000,6759821000,8440252000,-1680431000,93675000,92068000,6853496000,6881313000,269045000,259965000,1238168000,1507213000,2195989000,2217160000,3724373000,3642125000,-649435000,2992690000,164250000,3156940000,6881313000,88906000,76959000,-54489000,39630000,151006000,-30752000,149424000,-180176000,-180176000,30000,-30722000,-65341000,-52492000,0,-118746000,1538000,1538000,1538000,154650000,3434157000,163983000,0.76409,0.28058,0.30437,0.0267,0.01225,1.94572,0.01846,1.17974,0.49906,0.74316,0.74132,2.44163,26.38894,1.44597,0.57616,0.02263,0.0248,0.77529,22.02612,43.84472
"12","2017_Q1",81.5516129032258,"Up",307198000,-237824000,69374000,14333000,-8783000,-95129000,118245000,83707000,-35527000,-33529000,-1998000,48180000,-5837000.00000001,42343000,-499000,214000,42058000,42058000,-2672000,39386000,39079000,33536000,33536000,33536000,11341862000,13016663000,-1674801000,229093000,229093000,11570955000,11604491000,452605000,452605000,1319088000,1771693000,3180624000,3180624000,4952317000,7120218000,-706335000,6413892000,238282000,6652174000,11604491000,42058000,95210000,-21270000,-20216000,95782000,-8825000,108985000,-117810000,-117810000,-44999.9999999995,-433026000,-65564000,473727000,-3317000,405145000,67901000,67901000,67901000,178917000,4499712000,150375000,0.22583,0.27249,0.12721,0.00587,0.00337,3.84797,0.01893,0.74447,0.38776,0.34459,0.34374,2.70881,56.55632,1.32598,0.57813,0.00938,0.01348,1.67773,24.96228,53.35487
"13","2017_Q2",85.6631746031746,"Up",378908000,-141273000,237635000,-153818000,-12840000,-129997000,-10981000,83817000,-33873000,-36584000,2711000,49944000,-6234000,43710000,-651000,357000,43416000,43416000,-1511000,41905000,40983000,33959000,33959000,33959000,11371148000,13139675000,-1768527000,154592000,153353000,11525740000,11559699000,382131000,368785000,1296498000,1678629000,3260686000,3285106000,4963735000,7121711000,-761526000,6360194000,235770000,6595964000,11559699000,43416000,130082000,-56000,-40669000,132773000,-149155000,15991919.4337434,-149155000,-149155000,424544.703307964,-149155000,-102458000,61129000,-923000,-46919000,-63301000,-63301000,-63301000,213899000,4557184000,24726000,0.62716,0.22121,0.10816,0.00621,0.00355,0.60332,0.02023,0.75254,0.39423,0.36138,0.36049,3.34113,56.08283,0.21803,0.90345,0.01283,0.00221,2.50001,21.14655,53.96548
"14","2017_Q3",88.0577777777778,"Up",382791000,-145969000,236822000,-146639000,-9534000,-126360000,-10745000,90183000,-35854000,-38481000,2627000,54329000,-3885000,50444000,-618000,329000,50155000,50155000,-1840000,48315000,47393000,39659000,39659000,39659000,11344375000,13196288000,-1851913000,150095000,148856000,11494470000,11534129000,395164000,381232000,1129996000,1525160000,3443056000,3466319000,4991479000,7125621000,-816881000,6308749000,233901000,6542650000,11534129000,50155000,126790000,-597999.999999998,12103000,188450000,-98483000,1551000,-100034000,-100034000,-166047.335092673,-98483000,-102476000,28187000,-7759000,-80948000,9019000.00000003,9019000.00000003,9019000.00000003,216973000,4573052000,131211000,0.61867,0.23559,0.12381,0.00724,0.00411,2.76857,0.026,0.76291,0.39648,0.4179,0.41687,3.37537,55.62919,1.15699,0.90361,0.01345,0.01178,2.16226,20.89381,50.26882
"15","2017_Q4",87.7846031746032,"Down",384550000,-149179000,235371000,-136570000,-8361000,-117928000,-10281000,98801000,-34245000,-39940000,5695000,64556000,54708000,119264000,-641000,335000,118958000,118958000,-4249000,114709000,113787000,47851000,47851000,47851000,11279059000,13246540000,-1967481000,205891000,204652000,11484950000,11532801000,456937000,439662000,1109973000,1566910000,3382861000,3404461000,4971371000,7129767000,-802045000,6327731000,233699000,6561430000,11532801000,118958000,118075000,-58037000,57237000,236233000,5298000,88306000,-83008000,-83008000,-750000,4548000,-102506000,-76889000,-1024000,-180195000,60586000,60586000,60586000,216876000,4492834000,280052000,0.61207,0.25693,0.2959,0.01734,0.00987,2.4612,0.03054,0.75767,0.38957,1.00335,1.00088,3.39088,55.79657,2.46944,0.90388,0.01953,0.02528,0.90086,20.4955,44.98925
"16","2018_Q1",77.244262295082,"Down",382738000,-140310000,242428000,-140463000,-9459000,-119423000,-11581000,101965000,-36426000,-39746000,3320000,65539000,62828000,128367000,-709000,349000,128007000,128007000,-4557000,123450000,122528000,10750000,10750000,10750000,11261924000,13336995000,-2075071000,219245000,219245000,11481169000,11491919000,405560000,405560000,976292000,1381852000,3525765000,3525765000,4907617000,7132654000,-782343000,6350320000,233982000,6584302000,11491919000,128007000,119593000,-67956000,-76300000,103344000,-50370000,97388000,-147758000,-147758000,-750000,-51120000,-102508000,11496000,-3792000,-91461000,-39237000,-39237000,-39237000,221558000,4502057000,95597000,0.6334,0.26641,0.32014,0.01861,0.01066,0.78021,0.00778,0.74535,0.39176,1.08043,1.07777,3.37491,55.99576,0.84296,0.90389,0.0203,0.00862,0.83661,20.27147,44.04754
"17","2018_Q2",80.49078125,"Up",386017000,-144404000,241613000,-143756000,-10132000,-120744000,-12880000,97857000,-43246000,-40905000,-2341000,54611000,-3649000,50962000,-640000,498000,50820000,50820000,-1801000,49019000,48097000,59706000,59706000,59706000,11193527000,13388442000,-2194915000,164143000,164143000,11357670000,11417376000,390380000,390380000,932187000,1322567000,3566664000,3566664000,4889231000,7136657000,-837642000,6299024000,229121000,6528145000,11417376000,50820000,121361000,2305000,-21782000,152704000,-45915000,5860000,-51775000,-51775000,-750000,-46665000,-108741000,-1042000,-3013000,-112796000,-6757000,-6757000,-6757000,219218000,4498851000,152161000,0.62591,0.2535,0.1246,0.00737,0.00421,3.16363,0.04514,0.74895,0.39404,0.42411,0.42307,3.40382,55.54344,1.34172,0.95886,0.01422,0.0138,2.26087,20.24991,45.36359
"18","2018_Q3",88.1152380952381,"Up",390073000,-148730000,241343000,-143532000,-9211000,-122925000,-11396000,97811000,-35553000,-43585000,8032000,62258000,-63000.0000000075,62195000,-570000,356000,61981000,61981000,-2174000,59807000,58885000,32610000,32610000,32610000,11263013000,13579208000,-2316195000,151506000,151506000,11414519000,11447129000,409604000,409604000,926811000,1336415000,3621824000,3621824000,4958239000,7141448000,-879686000,6261771000,227119000,6488890000,11447129000,61981000,123160000,-1200000,27360000,211301000,-174697000,10291000,-184988000,-184988000,0,-174697000,-108787000,55032000,-4156000,-57911000,-21307000,-21307000,-21307000,220971000,4548635000,74204000,0.61871,0.25075,0.15096,0.00907,0.00514,1.26015,0.0244,0.76411,0.39736,0.51838,0.51758,3.43389,55.12357,0.65323,0.95767,0.01519,0.00672,1.84745,20.43718,46.17093
"19","2018_Q4",87.181746031746,"Down",397108000,-154740000,242368000,-142232000,-6380000,-124549000,-11303000,100136000,-44276000,-44650000,374000,55860000,-942000,54918000,-616000,402000,54704000,54704000,-1913000,52791000,51869000,46139000,46139000,46139000,11196041000,13635459000,-2439418000,176807000,176807000,11372848000,11418987000,473803000,473803000,921399000,1395202000,3582624000,3582624000,4977826000,7146222000,-929217000,6217014000,224147000,6441161000,11418987000,54704000,124702000,605000,57040000,237051000,-65646000,2767000,-68413000,-68413000,-750000,-66396000,-108592000,-42617000,-849000,-152058000,18597000,18597000,18597000,224838000,4504023000,216848000,0.61033,0.25216,0.13062,0.00805,0.00454,4.18069,0.03307,0.77282,0.39443,0.45631,0.45529,3.49352,54.69345,1.9077,0.95533,0.01466,0.01981,2.09358,19.82709,44.5183
"20","2019_Q1",91.3001639344262,"Up",398148000,-146714000,251434000,-146727000,-13132000,-121541000,-12054000,104707000,-41016000,-44454000,3438000,63691000,35000.0000000009,63726000,-785000,576000,63517000,63517000,-2235000,61282000,60360000,34259000,34259000,34259000,11151701000,13700988000,-2549287000,137821000,137821000,11289522000,11323781000,413850000,413850000,475026000,888876000,4053302000,4053302000,4942178000,7148720000,-989475000,6159254000,222349000,6381603000,11323781000,63517000,121772000,3827000,-55880000,133236000,-77962000,1064000,-79026000,-79026000,-630000,-78592000,-108808000,29647000,-3210000,-82371000,-27727000,-27727000,-27727000,226479000,4528328000,93422000,0.63151,0.26299,0.1516,0.00946,0.00533,1.54775,0.03854,0.77444,0.3999,0.53091,0.53003,3.50199,54.17483,0.82171,0.95704,0.01551,0.00856,1.80265,19.8432,42.92043
"21","2019_Q2",100.838095238095,"Up",401178000,-149377000,251801000,-148968000,-12337000,-122789000,-13842000,102833000,-45581000,-45700000,119000,57252000,8950000,66202000,-641000,397000,65958000,65958000,-2298000,63660000,62738000,44623000,44623000,44623000,11099997000,13768705000,-2668708000,159142000,159142000,11259139000,11303762000,419320000,419320000,661862000,1081182000,3886236000,3886236000,4967418000,7153726000,-1040568000,6113167000,223177000,6336344000,11303762000,65958000,123082000,-1894000,-32468000,154678000,-52927000,13882000,-66809000,-66809000,42999.9999999998,-52884000,-113271000,23588000,-4397000,-94080000,7714000,7714000,7714000,225915000,4548098000,141161000,0.62765,0.25633,0.15638,0.0099,0.00555,2.25001,0.04127,0.78396,0.40235,0.55166,0.55066,3.52758,53.75339,1.24124,0.996,0.01617,0.01297,1.80546,19.93438,43.79406
"22","2019_Q3",112.22734375,"Up",407390000,-154142000,253248000,-147796000,-10398000,-123944000,-13454000,105452000,-41361000,-45936000,4575000,64091000,297000,64388000,-682000,435000,64141000,64141000,-2224000,61917000,60995000,40972000,40972000,40972000,11067850000,13859456000,-2791606000,166008000,166008000,11233858000,11274830000,450212000,450212000,660463000,1110675000,3879526000,3879526000,4990201000,7159317000,-1095757000,6063569000,221060000,6284629000,11274830000,64141000,124184000,282000,25182000,213789000,-85383000,758000.000000002,-86141000,-86141000,-2559000,-87942000,-113373000,-9825000,-4352000,-127550000,-1703000.00000001,-1703000.00000001,-1703000.00000001,229636000,4539989000,170117000,0.62164,0.25885,0.14972,0.00971,0.00541,2.78903,0.03689,0.79403,0.40267,0.5358,0.53479,3.57862,53.26388,1.49435,0.9959,0.01611,0.01572,1.85873,19.59195,42.66412
"23","2019_Q4",121.7346875,"Up",415632000,-159539000,256093000,-148808000,-10225000,-124684000,-13899000,107285000,-25713000,-44513000,18800000,81572000,1e+06,82572000,-1491000,378000,81459000,81459000,-2814000,78645000,77723000,25826000,25826000,25826000,11004200000,13910877000,-2906677000,217728000,217728000,11221928000,11247754000,521374000,521374000,645406000,1166780000,3830708000,3830708000,4997488000,7164683000,-1134584000,6030108000,220158000,6250266000,11247754000,81459000,124944000,-11971000,58639000,253071000,-88236000,1344000,-89580000,-89580000,-1619000,-89855000,-113408000,-62395000,-2415000,-178218000,-15002000,-15002000,-15002000,232229000,4476114000,204123000,0.61615,0.25812,0.187,0.01244,0.00691,2.62629,0.02213,0.79956,0.39796,0.68252,0.68078,3.64986,52.9532,1.7925,0.99589,0.01782,0.01903,1.45913,19.16336,41.48099
"24","2020_Q1",119.126774193548,"Down",416817000,85605000,502422000,-385519000,-10885000,-125426000,-249208000,116903000,-44193000,-43698000,-495000,72710000,82788000,155498000,-882000,444000,155060000,155060000,-5471000,149589000,148667000,20476000,20476000,20476000,10987128000,13942381000,-2955253000,222846000,222846000,11209974000,11230450000,472262000,472262000,626397000,1098659000,3828201000,3828201000,4926860000,7181344000,-1098657000,6082696000,220894000,6303590000,11230450000,155060000,125580000,-81788000,-38970000,159882000,-6843000,45937000,-52780000,-52780000,-749000,-7592000.00000001,-113630000,-19698000,8897000,-124431000,27859000,27859000,27859000,242483000,4454598000,197552000,1.20538,0.28047,0.35667,0.02358,0.01324,1.32882,0.01864,0.7816,0.39665,1.30439,1.30072,3.65712,53.36908,1.73331,0.99698,0.02438,0.01836,0.76433,18.28632,37.92992
"25","2020_Q2",104.120793650794,"Down",418098000,-91368000,326730000,-216099000,-13264000,-126388000,-76447000,110631000,-72014000,-43482000,-28532000,38617000,-405000,38212000,-667000,407000,37952000,37952000,-1304000,36648000,35726000,34508000,34508000,34508000,10965184000,14045633000,-3080449000,156285000,156285000,11121469000,11155977000,445452000,445452000,624653000,1070105000,3859040000,3859040000,4929145000,7182555000,-1173878000,6008686000,218146000,6226832000,11155977000,37952000,126657000,34488000,-38495000,160602000,-89089000,525000,-89614000,-89614000,-9e+05,-89989000,-118337000,28260000,-2030000,-92107000,-21494000,-21494000,-21494000,237288000,4483693000,110371000,0.78147,0.26461,0.08545,0.00574,0.0032,3.08937,0.03225,0.7916,0.40191,0.31308,0.31203,3.66396,52.65642,0.96722,1.03703,0.01438,0.0103,3.31235,18.75015,40.21644
"26","2020_Q3",107.47140625,"Up",413026000,-95555000,317471000,-211393000,-10557000,-127190000,-73646000,106078000,-27475000,-42118000,14643000,78603000,7000.0000000149,78610000,-1200000,318000,77728000,77728000,-2666000,75062000,74140000,19667000,19667000,19667000,10938702000,14145645000,-3206943000,172944000,172944000,11111646000,11131313000,473795000,473795000,622824000,1096619000,3849784000,3849784000,4946403000,7183359000,-1215201000,5968167000,216743000,6184910000,11131313000,77728000,127448000,-7705000.00000001,31542000,229013000,-107105000,135000,-107240000,-107240000,-741000,-107846000,-118407000,-11743000,-4470000,-134620000,-13453000,-13453000,-13453000,233526000,4472608000,159163000,0.76865,0.25683,0.1795,0.01199,0.00666,2.14679,0.01793,0.79975,0.4018,0.64918,0.64768,3.61653,52.25829,1.39366,1.03679,0.01807,0.01493,1.59707,19.06829,41.97799
"27","2020_Q4",116.0134375,"Up",423199000,-105108000,318091000,-216436000,-11360000,-127679000,-77397000,101655000,-40768000,-41010000,242000,60887000,1386000,62273000,-665000,428000,62036000,62036000,-2126000,59910000,58988000,18407000,18407000,18407000,10928375000,14245085000,-3316710000,181922000,181922000,11110297000,11128704000,570014000,570014000,486169000,1056183000,3939425000,3939425000,4995608000,7188372000,-1270468000,5917913000,215183000,6133096000,11128704000,62036000,127833000,2959000,61442000,254270000,-93715000,2618000,-96333000,-96333000,-1602000,-95317000,-118232000,-44146000,-4580000,-166958000,-8005000,-8005000,-8005000,229488000,4425594000,197880000,0.75163,0.24021,0.13939,0.00962,0.0053,3.35458,0.01743,0.81453,0.39767,0.51646,0.51519,3.70528,51.81372,1.73252,1.03517,0.01678,0.01874,2.00434,19.20443,43.35436
"28","2021_Q1",128.963114754098,"Up",423661000,-95935000,327726000,-218577000,-11677000,-129585000,-77315000,109149000,-22448000,-40952000,18504000,86701000,45000,86746000,-795000,348000,86299000,86299000,-2957000,83342000,82420000,25198000,25198000,25198000,10967115000,14382220000,-3415105000,202478000,202478000,11169593000,11194791000,528274000,528274000,485339000,1013613000,4077373000,4077373000,5090986000,7193331000,-1306310000,5887030000,216775000,6103805000,11194791000,86299000,129740000,-19656000,-16319000,180064000,7438000,-56359530.2275602,-49016700.323328,-52078275.8534398,-199017000,-191579000,-106067000,136114000,-10506000,19541000,8026000,8026000,8026000,238889000,4562712000,230803000,0.77356,0.25763,0.19454,0.0135,0.00736,2.80033,0.02486,0.83407,0.40757,0.72158,0.71958,3.70913,51.54062,2.02067,0.92861,0.01767,0.02164,1.28691,18.99424,41.57174
