"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",35.0487096774194,"Up",944554000,-576556000,367998000,-288702000,-288702000,79296000,173000,173000,79469000,79469000,-30569000,48900000,48900000,48900000,48900000,262484000,262484000,59562000,59562000,688437000,196330000,34370000,70242000,1206813000,763576000,53033000,13691000,39342000,816609000,2023422000,334563000,236562000,1467000,96534000,236973000,28734000,573289000,228521000,228521000,232276000,805565000,496919000,707323000,13615000,1217857000,1217857000,2023422000,48900000,33335000,-523000,-58065000,23647000,-46790000,-183000,-46973000,-21736000,-1565000,-28188000,-31217000,-256000,-51745000,-75071000,-75071000,1005000,-74066000,112631000,5508000,38345000,0.3896,0.08395,0.05177,0.04015,0.02417,0.78415,2.10507,0.66146,0.00272,0.49417,0.48525,9.54538,12.3073,0.3875,0.21966,7,0.04865,0.02641,0.4445,-2.28157,-3.24072
"12","2013_Q1",36.0375,"Up",1406419000,-825687000,580732000,-370291000,-370291000,210441000,261000,261000,210702000,210702000,-76968000,133734000,133734000,133734000,133734000,424555000,424555000,62985000,62985000,640024000,189208000,26339000,63105000,1316772000,812037000,58870000,12398000,46472000,870907000,2187679000,421643000,259162000,41849000,120632000,233760000,26345000,657127000,217661000,217661000,221414000,878541000,504593000,790912000,13633000,1309138000,1309138000,2187679000,133734000,35800000,858000,131352000,301744000,-89006000,137000,-88869000,-21662000,-31000,-28159000,-30787000,-1026000,-50878000,161997000,161997000,73999.9999999998,162071000,246241000,5477000,365555000,0.41292,0.14963,0.09509,0.10215,0.06113,2.73345,2.00383,0.67108,0.0025,1.35798,1.33269,14.28127,13.29344,3.71197,0.21996,8,0.10142,0.23857,0.16198,-1.7019,-1.99143
"13","2013_Q2",42.33015625,"Up",887808000,-553623000,334185000,-270402000,-270402000,63783000,189000,189000,63972000,63972000,-24506000,39466000,39466000,39466000,39466000,252536000,252536000,60667000,60667000,661541000,214336000,52695000,61902000,1189080000,817249000,56890000,10738000,46152000,874139000,2063219000,309349000,211086000,13377000,84886000,249225000,27207000,560270000,216978000,216978000,220731000,781001000,508766000,761336000,12116000,1282218000,1282218000,2063219000,39466000,36609000,4706000,-140603000,-59822000,-47444000,786000,-46658000,-21985000,-28000,-37407000,-41174000,-5337000,-64757000,-171237000,-171237000,-782000,-172019000,100392000,5449000,-63149000,0.37642,0.07184,0.04445,0.03078,0.01913,-1.60009,2.12233,0.6091,0.00264,0.40393,0.39658,9.08671,13.1235,-0.64633,0.22502,5,0.04084,-0.04197,0.55706,-2.46122,-3.87387
"14","2013_Q3",45.75453125,"Up",982209000,-613285000,368924000,-290838000,-290838000,78086000,125000,125000,78211000,78211000,-29292000,48919000,48919000,48919000,48919000,205364000,205364000,62808000,62808000,736871000,226686000,61725000,65262000,1231729000,829951000,62498000,7509000,54989000,892449000,2124178000,417249000,318532000,2955000,95762000,261353000,35531000,680419000,222416000,222416000,224384000,904803000,514205000,699012000,9260000,1219375000,1219375000,2124178000,48919000,37223000,2001000,35742000,123885000,-50333000,-424000,-50757000,-30211000,-1664000,-87058000,-89832000,-625000,-119558000,-46429999.9999999,-46429999.9999999,-742000,-47172000,115309000,3785000,130010000,0.37561,0.0795,0.04981,0.04012,0.02303,2.65766,1.81025,0.74202,0.00178,0.5031,0.49306,10.10129,12.54037,1.33706,0.3107,7,0.05474,0.0899399999999999,0.61757,-1.74816,-2.5815
"15","2013_Q4",44.41671875,"Down",1051548000,-646160000,405388000,-312894000,-312894000,92494000,103000,103000,92597000,92597000,-35878000,56719000,56719000,56719000,56719000,128759000,128759000,74886000,74886000,898625000,214914000,49317000,66594000,1317184000,843563000,65695000,10931000,54764000,909258000,2226442000,546939000,433926000,2897000,110116000,280746000,36137000,829478000,224951000,224951000,226919000,1056397000,516407000,646450000,10289000,1170045000,1170045000,2226442000,56719000,37580000,1469000,-11156000,84612000,-47459000,2873000,-44586000,-29834000,-24000,-85363000,-85363000,-1625000,-116846000,-76820000,-76820000,215000,-76605000,130074000,3761000,107337000,0.38552,0.08796,0.05394,0.04848,0.02548,1.89243,1.58797,0.90287,0.00169,0.58898,0.57586,10.9195,12.15,1.11461,0.3098,7,0.06188,0.07674,0.526,-0.96098,-1.35142
"16","2014_Q1",46.5450819672131,"Up",1466324000,-870605000,595719000,-377984000,-377984000,217735000,167000,167000,217902000,217902000,-84104000,133798000,133798000,133798000,133798000,330121000,330121000,60330000,60330000,813160000,215492000,35309000,58697000,1419103000,849293000,68338000,13824000,54514000,917631000,2336734000,592337000,404791000,49365000,138181000,266974000,38781000,861096000,217668000,217668000,219636000,1080732000,523536000,729043000,6524000,1256002000,1256002000,2336734000,133798000,38383000,-20276000,153189000,305094000,-48717000,93999.9999999995,-48623000,-29551000,-8000,-22832000,-22905000,-1824000,-54215000,202256000,202256000,-894000,201362000,256118000,3753000,444694000,0.40627,0.14849,0.09125,0.10653,0.05726,3.32362,1.64802,0.86045,0.00161,1.40197,1.36759,15.36447,13.16067,4.6596,0.30964,5,0.11056,0.30099,0.22086,-1.27429,-1.49892
"17","2014_Q2",52.8307936507937,"Up",974330000,-605922000,368408000,-294082000,-294082000,74326000,69000,69000,74395000,74395000,-28233000,46162000,46162000,46162000,46162000,112870000,112870000,54725000,54725000,850416000,259476000,79491000,58542000,1277487000,837012000,53601000,0,53601000,890613000,2168100000,460646000,369279000,2571000,88796000,273795000,40232000,736226000,221614000,218764000,223582000,959808000,510120000,693670000,7391000,1208292000,1208292000,2168100000,46162000,38630000,24606000,-179727000,-70329000,-38119000,133000,-37986000,-32891000,0,-50312000,-53309000,-25365000,-108568000,-216883000,-216883000,-368000,-217251000,112956000,3753000,-76657000,0.37811,0.07628,0.04738,0.0382,0.02129,-1.66061,1.73518,0.79435,0.00173,0.49112,0.48278,10.36598,12.85513,-0.81556,0.34993,6,0.05514,-0.05347,0.71251,-0.96601,-1.46809
"18","2014_Q3",55.92828125,"Up",1039102000,-657004000,382098000,-296762000,-296762000,85336000,-40000,-40000,85296000,85296000,-34549000,50747000,50747000,50747000,50747000,70574000,70574000,69653000,69653000,894860000,226263000,55892000,48844000,1261350000,849255000,52943000,856000.000000002,52087000,902198000,2163548000,452892000,336470000,14604000,101818000,295859000,44713000,750719000,234420000,234420000,234420000,985139000,515398000,657721000,7741000,1178409000,1178409000,2163548000,50747000,40702000,1295999.99999999,-12199000,80546000,-45400000,14438000,-30962000,-31105000,-1785000,-58271000,-58745000,-1164000,-92325000,-42740999.9999999,-42740999.9999999,445000,-42296000,126038000,1968000,102988000,0.36772,0.08212,0.04884,0.04306,0.02346,2.02944,1.68019,0.83599,0.00091,0.53971,0.52966,11.0511,12.53267,1.0953,0.33081,7,0.05785,0.07279,0.61294,-0.54433,-0.80395
"19","2014_Q4",56.26046875,"Up",1143162000,-711755000,431407000,-326687000,-326687000,104720000,-117000,-117000,104603000,104603000,-39695000,64908000,64908000,64908000,64908000,107703000,107703000,63664000,63664000,979719000,231829000,56517000,53932000,1382915000,866670000,54362000,4142000,50220000,921032000,2303947000,533392000,411232000,4750000,117410000,401192000,136134000,936552000,231020000,231020000,231020000,1167572000,520706000,612611000,5203000,1136375000,1136375000,2303947000,64908000,41803000,4195000,678000,111584000,-48151000,923000,-47228000,-31271000,9e+07,-83141000,-83181000,-2507000,-26919000,37437000,37437000,-308000,37129000,146523000,1968000,138745000,0.37738,0.09161,0.05678,0.05712,0.02817,2.13756,1.4766,1.02745,0.00085,0.69371,0.68051,12.21771,12.14517,1.48286,0.33421,7,0.07024,0.10132,0.48177,-0.72163,-1.00969
"20","2015_Q1",64.6340983606557,"Up",1542125000,-923534000,618591000,-380708000,-380708000,237883000,26000,26000,237909000,237909000,-90872000,147037000,147037000,147037000,147037000,222927000,222927000,67465000,67465000,887701000,213830000,36265000,46947000,1391923000,883012000,55342000,4265000,51077000,938354000,2330277000,565537000,397037000,32488000,136012000,308443000,46764000,875948000,229623000,229623000,229623000,1105571000,528180000,701214000,-2548000,1224706000,1224706000,2330277000,147037000,41138000,-6735000,158456000,339896000,-73130000,706000.000000002,-72424000,-30491000,-9e+07,-28576000,-29142000,-2141000,-151208000,116264000,116264000,-1040000,115224000,279021000,1968000,455219000,0.40113,0.15426,0.09535,0.12006,0.0631,3.09595,1.58905,0.90272,0.00084,1.58189,1.56437,16.59091,13.17597,4.89746,0.32804,7,0.1219,0.31259,0.20737,-0.79191,-0.92886
"21","2015_Q2",64.0420634920635,"Down",1030676000,-651835000,378841000,-306913000,-306913000,71928000,-8000,-8000,71920000,71920000,-27130000,44790000,44790000,44790000,44790000,78851000,78851000,64720000,64720000,942800000,237848000,59684000,47275000,1324219000,876785000,50085000,-34097138.7654781,50085000,926870000,2251089000,462914000,367525000,8322000,87067000,363946000,105092000,828828000,235629000,233671000,235629000,1064457000,528174000,662671000,-2257000,1186632000,1186632000,2251089000,44790000,41478000,16106000,-169445000,-67071000,-40384000,5000,-40379000,-31934000,6e+07,-50726000,-52562000,-13010000,-35670000,-143120000,-143120000,-956000,-144076000,113406000,1968000,-69293000,0.36757,0.06979,0.04346,0.03775,0.0199,-1.54706,1.5977,0.89704,0.00087,0.4884,0.48006,11.23879,12.93938,-0.75559,0.34822,4,0.05387,-0.04865,0.71297,-0.67794,-1.06889
"22","2015_Q3",66.91921875,"Up",1127028000,-720403000,406625000,-323282000,-323282000,83343000,-275000,-275000,83068000,83068000,-29400000,53668000,53668000,53668000,53668000,119776000,119776000,81753000,81753000,1031472000,237702000,56119000,50896000,1470703000,875002000,50266000,-60143071.6397621,50266000,925268000,2395971000,534649000,416276000,14678000,103695000,488891000,200237000,1023540000,231055000,229842000,231055000,1254595000,533744000,615193000,-5625000,1141376000,1141376000,2395971000,53668000,41755000,4452000,4001000.00000006,103876000,-46465000,273000,-46192000,-32110000,88032000,-71627000,-72438000,-2358000,-18063000,39621000,39621000,1304000,40925000,125098000,-2.3283064365387e-10,112034000,0.36079,0.07395,0.04762,0.04702,0.0224,2.08754,1.43688,1.0992,1.0842021724855e-19,0.58819,0.57933,12.35194,12.50919,1.22786,0.35192,5,0.0625,0.08163,0.59831,-0.95746,-1.43715
"23","2015_Q4",56.5425,"Down",1232082000,-780894000,451188000,-340505000,-340505000,110683000,-342000,-342000,110341000,110341000,-39859000,70482000,70482000,70482000,70482000,72264000,72264000,88535000,88535000,1102349000,238688000,59276000,48728000,1501836000,883459000,50381000,2560000.00000004,47821000,933840000,2435676000,546070000,395033000,35317000,115720000,548469000,255152000,1094539000,224604000,224604000,224604000,1319143000,539638000,585928000,-7127000,1116533000,1116533000,2435676000,70482000,41860000,2741000,-58843000,56240000,-49220000,257000,-48963000,-31976000,5e+07,-71497000,-71497000,-1368000,-54841000,-47564000,-47564000,52000,-47512000,152543000,0,84339000,0.3662,0.08983,0.05721,0.06313,0.02894,1.1966,1.37212,1.18146,0,0.77935,0.76786,13.62365,12.34598,0.93257,0.35357,5,0.0764,0.06289,0.45368,-0.47373,-0.65289
"24","2016_Q1",45.0932786885246,"Down",1586304000,-978744000,607560000,-384880000,-384880000,222680000,-2000,-2000,222678000,222678000,-81550000,141128000,141128000,141128000,141128000,193647000,193647000,79304000,79304000,978138000,85011000,44654000,40357000,1336100000,886813000,194514000,141784000,52730000,1081327000,2417427000,641586000,447412000,67052000,127122000,354841000,58014000,996427000,222774000,222774000,222774000,1219201000,542203000,668545000,-10616000,1198226000,1198226000,2417427000,141128000,42667000,-9513000,276699000,450981000,-66866000,234000,-66632000,-31616000,-2e+08,-28498000,-28498000,-694999.999999999,-260809000,123540000,123540000,-2157000,121383000,265347000,-5.82076609134674e-11,556730000,0.383,0.14038,0.08897,0.11778,0.05838,3.94486,1.34089,1.01751,2.71050543121376e-20,1.57226,1.55633,17.67253,13.34907,6.20236,0.35222,5,0.12157,0.39179,0.22402,-0.72979,-0.86962
"25","2016_Q2",45.8428125,"Up",1097817000,-705300000,392517000,-328992000,-328992000,63525000,68000,68000,63593000,63593000,-23996000,39597000,39597000,39597000,39597000,99217000,99217000,75364000,75364000,944632000,93449000,53689000,39760000,1212662000,893640000,184066000,131597000,52469000,1077706000,2290368000,443733000,339392000,7764000,96577000,428023000,152907000,871756000,255756000,255756000,255756000,1127512000,535308000,636986000,-7875000,1162856000,1162856000,2290368000,39597000,41240000,20674000,-174171000,-72660000,-28149000,294000,-27855000,-34423000,1e+08,-39644000,-40639000,-19128000,6805000,-93710000,-93710000,-720000,-94430000,104765000,0,-73559000,0.35754,0.05786,0.03607,0.03405,0.01729,-1.85769,1.39106,0.96961,0,0.44343,0.43747,12.29386,13.0222,-0.82375,0.38548,3,0.05218,-0.05185,0.86933,-0.94704,-1.56186
"26","2016_Q3",44.04375,"Down",1159029000,-748490000,410539000,-327263000,-327263000,83276000,-167000,-167000,83109000,83109000,-31324000,51785000,51785000,51785000,51785000,111122000,111122000,98053000,98053000,962943000,106986000,68300000,38686000,1279104000,908562000,185898000,134721000,51177000,1094460000,2373564000,496307000,391597000,1670000,103040000,462110000,178331000,958417000,260335000,260335000,260335000,1218752000,543599000,622608000,-9860000,1154812000,1154812000,2373564000,51785000,42129000,1571000,10622999.9999999,106108000,-49728000,69000,-49659000,-33148000,2.5e+07,-34990000,-35527000,-826999.999999996,-43965000,12484000,12484000,-579000,11905000,125405000,1.45519152283669e-11,117624000,0.35421,0.07185,0.04468,0.04484,0.02182,2.27139,1.3346,1.05537,6.7762635780344e-21,0.58159,0.57743,13.01695,12.96959,1.32102,0.37228,4,0.06002,0.0831199999999999,0.64011,-0.88611,-1.33438
"27","2016_Q4",43.2311111111111,"Down",1245385000,-787162000,458223000,-348244000,-348244000,109979000,-488000,-488000,109491000,109491000,-40113000,69378000,69378000,69378000,69378000,75381000,75381000,96386000,96386000,1063747000,111700000,74195000,37505000,1347214000,918020000,188098000,136558000,51540000,1106118000,2453332000,562711000,450144000,1122000,111445000,468160000,178423000,1030871000,262979000,262979000,262979000,1293850000,548394000,623243000,-10772000,1159482000,1159482000,2453332000,69378000,44376000,2439000,-27177000,89016000,-49292000,7000,-49285000,-33283000,0,-39001000,-39001000,-1794000,-74078000,-34347000,-34347000,-1394000,-35741000,154355000,0,117999000,0.36794,0.08831,0.05571,0.05984,0.02828,1.70081,1.30687,1.11589,0,0.785,0.77869,14.09125,13.11928,1.33513,0.37659,5,0.07217,0.08295,0.47973,-0.48836,-0.68541
"28","2017_Q1",41.6551612903226,"Down",1581581000,-959550000,622031000,-406212000,-406212000,215819000,-101000,-101000,215718000,215718000,-71091000,144627000,144627000,144627000,144627000,213713000,213713000,88803000,88803000,977505000,87159000,52882000,34277000,1367180000,923283000,186416000,135238000,51178000,1109699000,2476879000,607142000,453710000,23245000,130187000,354114000,59838000,961256000,267403000,267403000,267403000,1228659000,557801000,701702000,-9903000,1248220000,1248220000,2476879000,144627000,45450000,10053000,202115000,402245000,-70245000,69000,-70176000,-32685000,-1.25e+08,-36105000,-36105000,-778000,-194568000,137501000,137501000,831000,138332000,261269000,2.3283064365387e-10,464230000,0.3933,0.13646,0.09144,0.11587,0.05839,3.20984,1.42229,0.98433,0,1.6499,1.63317,18.04263,14.23966,5.29592,0.37287,7,0.11699,0.3063,0.226,-0.81798,-0.99024
"29","2017_Q2",43.9361904761905,"Up",1111507000,-715747000,395760000,-333286000,-333286000,62474000,103000,103000,62577000,62577000,-23022000,39555000,39555000,39555000,39555000,93975000,93975000,63982000,63982000,1037107000,95981000,64739000,31242000,1291045000,920531000,179601000,124977000,54624000,1100132000,2391177000,522418000,397442000,37792000,87184000,390247000,92134000,912665000,268361000,268361000,268361000,1181026000,550150000,671758000,-10830000,1210151000,1210151000,2391177000,39555000,44950000,13677000,-144558000,-46376000,-32153000,5000,-32148000,-34189000,4.5e+07,-38350000,-38350000,-13780000,-41319000,-119843000,-119843000,105000,-119738000,107424000,0,-46265000,0.35606,0.05621,0.03559,0.03269,0.01654,-1.16964,1.41459,0.97593,0,0.45485,0.45097,12.78153,13.91586,-0.53201,0.39315,3,0.04988,-0.03129,0.86434,-0.8748,-1.50423
