"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",74.895,"Up",69637000,-26745000,-4431000,-19721000,-2593000,42892000,-1076000,-1076000,41816000,41816000,-14864000,26952000,26952000,-954000,25998000,25998000,183338000,183338000,68175000,6089000,62086000,251513000,1824565000,1824565000,12404000,12404000,1857443000,2108956000,11647000,2180000,8947000,3938000,3938000,31185000,116453000,155642000,151806000,3836000,272095000,303280000,1604605000,1780618000,25058000,1805676000,2108956000,26952000,19721000,955000,-162000,47466000,-45480000,643000,-44837000,-8345000,-1371000,84907000,87536000,87536000,87536000,62613000,132053000,0.61594,0.37334,0.0144,0.01233,8.06519,0.16796,0.06262,0.44108,0.43953,1.18146,30.21,0.14158,0.01641,0.32099,-0.81908,-1.19568
"12","2013_Q1",63.6723333333333,"Down",60110000,-23256000,-4861000,-16641000,-1754000,36854000,-2474000,-2474000,34380000,34380000,-13413000,20967000,20967000,-395000,20572000,20572000,375456000,375456000,69752000,4760000,53946000,445208000,1890988000,1890988000,25155000,25155000,1931158000,2376366000,11562000,2615000,8947000,3647000,3647000,15209000,312717000,185011000,182037000,2974000,497728000,512937000,1656943000,1838459000,24970000,1863429000,2376366000,20967000,16641000,2318000,-664000.000000002,39262000,-83021000,-29999.9999999998,-83051000,-8950000,2138000,235907000,192118000,192118000,192118000,53495000,312717000,0.61311,0.34224,0.01104,0.00866,29.27267,0.27527,0.13159,0.34621,0.34494,1.0116,30.93966,0.15062,0.0125,0.43506,-1.1728,-1.70237
"13","2013_Q2",47.6590625,"Down",77862000,-30216000,-6238000,-21500000,-2478000,47646000,-5891000,-5891000,41755000,41755000,-16461000,25294000,25294000,-523000,24771000,24771000,302037000,302037000,69810000,5075000,64735000,371847000,1989692000,1989692000,21776000,21776000,2031512000,2403359000,13755000,3087000,8966000,5572000,5572000,19327000,315535000,182443000,179769000,2674000,497978000,517305000,1660589000,1861414000,24640000,1886054000,2403359000,25294000,21500000,5172000,1576000,53542000,-120035000,101000,-119934000,-8949000,211000,-7027000,-73419000,-73419000,-73419000,69146000,315535000,0.61193,0.31814,0.01313,0.01031,19.23977,0.27428,0.13129,0.41677,0.41507,1.31002,31.31803,0.15057,0.01414,0.36127,0.19521,0.2833
"14","2013_Q3",45.8828125,"Down",79870000,-29207000,-5889000,-21120000,-2198000,50663000,-6790000,-6790000,43873000,43873000,-16315000,27558000,27558000,-342000,27216000,27216000,680731000,680731000,100319000,22361000,70754000,781050000,2063604000,2063604000,23904000,23904000,2105997000,2887047000,15265000,2255000,13010000,3288000,3288000,18553000,317518000,178228000,175875000,2353000,495746000,514299000,2138795000,2348359000,24389000,2372748000,2887047000,27558000,21120000,-291999.999999998,-37503000,10883000,-94997000,-21000.0000000001,-95018000,-8966000,-270000,462829000,378694000,378694000,378694000,71783000,317518000,0.63432,0.34075,0.01147,0.00943,42.09831,0.21675,0.10998,0.42564,0.42438,1.24911,36.72657,0.14022,0.01261,0.32944,-5.05987,-7.1692
"15","2013_Q4",41.9115625,"Down",74166000,-31234000,-7163000,-21649000,-2422000,42932000,-5628000,-5628000,37304000,25183000,-18286000,6897000,6897000,-434000,6463000,6463000,673103000,673103000,75882000,6484000,59019000,748985000,2104043000,2104043000,26678000,26678000,2144875000,2893860000,15455000,2446000,13009000,6188000,6188000,21643000,320133000,174225000,172209000,2016000,494358000,516001000,2141052000,2353892000,23967000,2377859000,2893860000,6897000,21649000,12554000,26988000,68088000,-62049000,102000,-61947000,-13010000,-754000,-13769000,-7628000,-7628000,-7628000,64581000,320133000,0.57886,0.08714,0.00272,0.00223,34.60634,0.217,0.11062,0.09975,0.09952,1.14468,36.33019,0.2008,0.00678,2.013,-5.46554,-8.22161
"16","2014_Q1",54.8831147540984,"Up",57326000,-27400000,-4737000,-20751000,-1912000,29926000,-3569000,-3569000,26357000,26357000,-12697000,13660000,13660000,-2957000,10703000,10703000,664035000,664035000,80462000,14919000,50385000,744497000,2120268000,2120268000,30881000,30881000,2160844000,2905341000,15847000,2838000,13009000,19238000,19238000,35085000,323429000,176191000,174267000,1924000,499620000,534705000,2142815000,2348887000,21749000,2370636000,2905341000,13660000,20751000,-7719000,13425000,40117000,-37181000,4638000,-32543000,-13009000,-3633000,-16642000.0000001,-9068000,-9068000,-9068000,50677000,323429000,0.52203,0.1867,0.00451,0.00368,21.21981,0.22555,0.11132,0.16509,0.16475,0.88423,36.23047,0.20066,0.00826,1.21545,-6.72112,-11.38161
"17","2014_Q2",59.1869841269841,"Up",56487000,-30749000,-6566000,-22400000,-1783000,25738000,-5615000,-5615000,20123000,20123000,-4842000,15281000,15281000,-86000,15195000,15195000,637899000,637899000,77501000,5173000,48191000,715400000,2145929000,2145929000,30338000,30338000,2187093000,2902493000,15276000,2254000,13022000,12771000,12771000,28047000,326510000,1.73e+08,171422000,1578000,499510000,527557000,2144403000,2353776000,21160000,2374936000,2902493000,15281000,22400000,1124000,-3318000,35487000,-48028000,-24000,-48052000,-13010000,-561000,-13571000,-26136000,-26136000,-26136000,48138000,326510000,0.45564,0.269,0.0064,0.00524,25.50718,0.22214,0.11249,0.23428,0.23384,0.87093,36.29102,0.20059,0.00981,0.8562,-6.46867,-12.09841
"18","2014_Q3",67.02703125,"Up",52785000,-28935000,-4661000,-22671000,-1603000,22915000,-5827000,-5827000,17088000,17088000,-6310000,10778000,10778000,-111000,10667000,10667000,659289000,659289000,69723000,3679000,43055000,729012000,2123347000,2123347000,29431000,29431000,2160186000,2889198000,15943000,2269000,13674000,8267000,8267000,24210000,329433000,166802000,166241000,561000,496235000,520445000,2144893000,2347827000,20926000,2368753000,2889198000,10778000,22671000,-2891000,4161000,34719000,-61000,-29999.9999999995,-91000,-13022000,-310000,-13238000,21390000,21390000,21390000,45586000,329433000,0.43412,0.20208,0.0045,0.00369,30.11202,0.21971,0.11402,0.16437,0.16415,0.81336,36.17732,0.20065,0.00827,1.22077,-7.23591,-14.39476
"19","2014_Q4",59.09453125,"Down",57748000,-27195000,-3866000,-21605000,-1724000,28613000,-4152000,-4152000,24461000,24461000,-3981000,20480000,20480000,-338000,20142000,20142000,646112000,646112000,66325000,4090000,42209000,712437000,2133375000,2133375000,29739000,29739000,2170394000,2882831000,16622000,2949000,13673000,8922000,8922000,25544000,332991000,163474000,161277000,2197000,496465000,522009000,2139543000,2342815000,18007000,2360822000,2882831000,20480000,21605000,-3387000,6182000,44880000,-31603000,281000,-31322000,-13674000,-13528000,-26735000,-13177000,-13177000,-13177000,50218000,332991000,0.49548,0.34879,0.00853,0.00699,27.89058,0.22111,0.11551,0.31021,0.30953,0.88938,36.08201,0.2106,0.01184,0.67888,-6.23523,-10.94331
"20","2015_Q1",62.1159016393443,"Up",70142000,-32405000,-6093000,-24666000,-1646000,31454000,-5700000,-5700000,25754000,21255000,-4322000,16933000,16933000,-296000,16637000,16637000,659536000,659536000,76441000,7840000,46654000,735977000,2109067000,2109067000,36892000,36892000,2155567000,2891544000,17575000,3897000,13678000,4929000,4929000,22504000,325585000,170898000,169865000,1033000,496483000,518987000,2148296000,2354725000,17832000,2372557000,2891544000,16933000,24666000,14543000,-24026000,32116000,-326999.999999993,-5009000,-5335999.99999999,-13674000,-240999.999999998,-13356000,13424000,13424000,13424000,56120000,325585000,0.44843,0.23719,0.00701,0.00575,32.70427,0.21875,0.1126,0.25615,0.25569,1.07994,36.25431,0.21053,0.01056,0.8219,-5.95066,-10.61712
"21","2015_Q2",58.1714285714286,"Down",69026000,-31044000,-7142000,-22212000,-1690000,31308000,-6661000,-6661000,24647000,22878000,-3959000,18919000,18919000,-239000,18680000,18680000,691411000,691411000,65967000,6469000,43227000,757378000,2091323000,2091323000,35894000,35894000,2135485000,2892863000,16002000,2311000,13691000,4783000,4783000,20785000,328541000,165197000,164490000,707000,493738000,514523000,2150642000,2360719000,17621000,2378340000,2892863000,18919000,22212000,1620000,9707000,52458000,-6209000,-127000,-6336000,-13678000,-768000,-14247000,31875000,31875000,31875000,53520000,328541000,0.45357,0.27062,0.00785,0.00646,36.43868,0.21634,0.11357,0.28755,0.28691,1.06255,36.3395,0.21055,0.01127,0.73223,-6.78008,-11.59033
"22","2015_Q3",46.83703125,"Down",61304000,-30519000,-8510000,-20278000,-1731000,24549000,-6130000,-6130000,18419000,-8151000,1828000,-6323000,-6323000,-223000,-6546000,-6546000,675128000,675128000,76740000,15626000,37314000,751868000,2067152000,2067152000,35780000,35780000,2110720000,2862588000,17084000,2742000,14342000,2382000,2382000,19466000,331626000,153462000,152762000,7e+05,485088000,504554000,2151982000,2340679000,17355000,2358034000,2862588000,-6323000,20278000,17379000,-1518000.00000001,29816000,-32525000,-389999.999999998,-32915000,-13691000,-69000.0000000009,-13184000,-16283000,-16283000,-16283000,44827000,331626000,0.40045,-0.10678,-0.00278,-0.00229,38.62468,0.21397,0.11585,-0.1007,-0.1005,0.9431,36.00917,0.21062,0.00251,-2.09151,-7.66284,-13.9925
"23","2015_Q4",38.20359375,"Down",74109000,-28422000,-2549000,-24783000,-935000,35145000,-5997000,-5997000,29148000,26152000,-1041000,25111000,25111000,-97000,25014000,25014000,715228000,715228000,44397000,4911000,39486000,759625000,2109702000,2109702000,35081000,35081000,2150402000,2910027000,19717000,2205000,14342000,5989000,5989000,25706000,334945000,136360000,135666000,694000,471305000,497011000,2169325000,2350017000,62999000,2413016000,2910027000,25111000,24783000,-10653000,26679000,65920000,-21607000,446000,-11161000,-14343000,-316000,-14659000,40100000,40100000,40100000,59928000,334945000,0.47423,0.33753,0.01037,0.0086,29.55049,0.20597,0.1151,0.38464,0.38411,1.13956,36.13587,0.22055,0.01365,0.5734,-6.34566,-10.8204
"24","2016_Q1",37.5272131147541,"Down",73580000,-36014000,-6672000,-26213000,-1090000,27568000,-6020000,-6020000,21548000,21365000,-6394000,14971000,14971000,-154000,14817000,14817000,749122000,742849000,45614000,1511000,37681000,797023000,2083608000,2083608000,36560000,36560000,2120168000,2917191000,19252000,4911000,14341000,5721000,5721000,24973000,328999000,147292000,146603000,689000,476291000,501264000,2171293000,2353122000,62805000,2415927000,2917191000,14971000,26213000,12352000,-9631000.00000001,43905000,-88000.0000000596,-701999.999999985,-790000,-14342000,-1152000,-15494000,27621000,27621000,27621000,53781000,328999000,0.37467,0.20137,0.00613,0.00508,31.91539,0.20748,0.11278,0.22784,0.22749,1.13142,36.18326,0.22053,0.01008,0.96794,-7.81174,-15.23952
"25","2016_Q2",54.99515625,"Up",74056000,-41405000,-9510000,-27147000,-1592000,21185000,-6949000,-6949000,14236000,14236000,-59177000,-44941000,-44941000,-105000,-45046000,-45046000,104310000,104310000,48001000,9912000,24539000,152311000,3012952000,3012952000,57608000,57608000,3076384000,3228695000,22740000,8383000,14357000,4380000,4380000,27120000,689987000,151766000,145256000,6510000,841753000,868873000,2175371000,2297347000,62475000,2359822000,3228695000,-44941000,27147000,18951000,1334000,2491000,-1300881000,324772000,-976109000,-14341000,-580000,335079000,-638539000,-638539000,-638539000,48332000,689987000,0.28607,-0.60827,-0.01909,-0.01395,5.61619,0.36819,0.2137,-0.6925,-0.6925,1.13847,35.31748,0.22047,-0.00959,-0.31836,12.11779,27.64583
"26","2016_Q3",74.4925,"Up",98117000,-48375000,-5842000,-40408000,-996000,27170000,-8512000,-8512000,18658000,18658000,-4740000,13918000,13918000,1195000,15113000,15113000,117600000,117600000,36971000,1230000,22913000,162860000,2996421000,2996421000,55576000,55576000,3060408000,3223268000,17791000,2781000,15010000,2727000,2727000,20518000,693429000,147103000,140614000,6489000,840532000,861050000,2176496000,2301163000,61055000,2362218000,3223268000,13918000,40408000,-18972000,16751000,52105000,-24103000,-43000.0000000596,-24146000.0000002,-14358000,-311000,-14668999.9999999,13290000,13290000,13290000,67578000,693429000,0.27691,0.15403,0.0064,0.00469,7.93742,0.36451,0.21513,0.23224,0.23224,1.50778,35.36242,0.22064,0.0092,0.95004,8.52095,21.19356
"27","2016_Q4",63.3260317460317,"Down",93487000,-49034000,-8064000,-38162000,-958000,26531000,-5703000,-5703000,20828000,-77760000,8262000,-69498000,-69498000,1842000,-67656000,-67656000,126724000,122863000,43054000,1243000,20233000,175180000,2863440000,2863440000,60622000,60622000,2924062000,3099242000,18424000,3413000,15011000,5778000,5778000,24202000,647332000,146350000,139861000,6489000,793682000,817884000,2178662000,2222368000,58990000,2281358000,3099242000,-69498000,38162000,98021000,-634000,66051000,-1272000,-31000,5630000,-15010000,-1234000,-66418000,5263000,5263000,5263000,64693000,647332000,0.28379,-0.72369,-0.02966,-0.02183,7.23824,0.35851,0.20887,-1.0395,-1.0395,1.43638,34.1456,0.23062,-0.01712,-0.22186,8.04736,19.62263
"28","2017_Q1",63.3106451612903,"Down",94130000,-46593000,-8304000,-35391000,-432000,28518000,-7750000,-7750000,20768000,23108000,-5025000,18083000,18083000,2357000,20440000,20440000,116633000,116633000,41823000,614000,17990000,167945000,2848087000,2848087000,53697000,53697000,2901784000,3069729000,22303000,4114000,15012000,3554000,3554000,25857000,617681000,140306000,133867000,6439000,757987000,783844000,2180432000,2229016000,56869000,2285885000,3069729000,18083000,35391000,15899000,-20709000,48664000,-19853000,-7000,-14888000,-15011000,184000,-40006000,-6230000,-6230000,-6230000,63909000,617681000,0.30296,0.21715,0.00893999999999999,0.00666,6.49515,0.34291,0.20122,0.31402,0.31402,1.44614,34.24479,0.23062,0.01165,0.73439,7.84002,17.56954
"29","2017_Q2",70.5333333333333,"Up",117947000,-54394000,-10507000,-40102000,-497000,40891000,-6748000,-6748000,34143000,34143000,-7188000,26955000,26955000,2832000,29787000,29787000,133042000,133042000,46329000,1350000,23951000,191986000,2898094000,2898094000,58511000,58511000,2956605000,3148591000,21152000,6129000,15023000,4433000,4433000,25585000,697399000,127063000,120672000,6391000,824462000,850047000,2181467000,2244816000,53728000,2298544000,3148591000,26955000,40102000,6312000,-18261000,55108000,-90083000,-226000,-90309000,-15012000,-1340000,51610000,16409000,16409000,16409000,80993000,697399000,0.34669,0.25255,0.01296,0.00946,7.50385,0.36982,0.2215,0.45744,0.45629,1.81132,34.47374,0.23054,0.01434,0.50398,6.96797,13.8015
"30","2017_Q3",81.3536507936508,"Up",106962000,-49978000,-7538000,-39519000,-445000,34483000,-2335000,-2335000,32148000,32148000,-5044000,27104000,27104000,959000,28063000,28063000,83988000,83988000,42030000,1720000,23489000,136197000,2961328000,2961328000,62719000,62719000,3024047000,3160244000,17962000,2282000,15680000,4376000,4376000,22338000,700477000,127164000,120773000,6391000,827641000,849979000,2183173000,2259727000,50538000,2310265000,3160244000,27104000,39519000,-967000,4108000,69764000,-102735000,2e+06,-100735000,-15023000,-2778000,-18083000,-49054000,-49054000,-49054000,74002000,700477000,0.32239,0.26236,0.01215,0.00888,6.0971,0.36791,0.22165,0.43075,0.4301,1.64179,34.68525,0.23059,0.01373,0.53533,8.33071,17.87806
"31","2017_Q4",80.7139682539683,"Down",106971000,-48602000,-5402000,-40164000,-389000,35950000,-7929000,-7929000,28021000,28021000,-6492000,21529000,21529000,2130000,23659000,23659000,88090000,88090000,39460000,663000,22791000,134174000,2932087000,2932087000,62521000,62521000,2994608000,3128782000,18155000,2474000,15681000,6622000,6622000,24777000,660218000,127286000,120895000,6391000,787504000,812281000,2183148000,2268041000,48460000,2316501000,3128782000,21529000,40164000,711000,13656000,76060000,-10903000,-271000,-11174000,-15680000,194000,-60784000,4102000,4102000,4102000,76114000,660218000,0.33607,0.22117,0.01021,0.00756,5.41526,0.35065,0.21101,0.36304,0.36246,1.64143,34.80227,0.2406,0.01267,0.66275,7.51672,15.91455
"32","2018_Q1",79.6604918032787,"Down",108934000,-54633000,-9903000,-39851000,-429000,34618000,-10064000,-10064000,24554000,24554000,-7717000,16837000,16837000,3184000,20021000,20021000,85847000,85847000,49877000,822000,26886000,143607000,2892256000,2892256000,58202000,58202000,2950458000,3094065000,25241000,3908000,15682000,9042000,9042000,34283000,611797000,127721000,121330000,6391000,739518000,773801000,2186448000,2275377000,44887000,2320264000,3094065000,16837000,39851000,14434000,-5201000,65921000,0,2102000,2102000,-15681000,-4777000,-70266000,-2243000,-2243000,-2243000,74469000,611797000,0.31779,0.18379,0.00863,0.00647,4.18887,0.3335,0.19773,0.30719,0.30655,1.67139,34.9115,0.2406,0.01167,0.78323,7.06267,15.19296
"33","2018_Q2",84.8134375,"Up",112476000,-50337000,-6899000,-39692000,-543000,41720000,-7628000,-7628000,34092000,34092000,-7544000,26548000,26548000,2083000,28631000,28631000,88395000,88395000,59590000,4488000,29079000,155779000,2852598000,2852598000,57518000,57518000,2910116000,3065895000,30318000,2924000,15708000,9377000,9377000,39695000,567892000,128122000,121731000,6391000,696014000,735709000,2185292000,2287340000,42846000,2330186000,3065895000,26548000,39692000,5102000,267000,71609000,-5000,1e+05,95000,-15682000,55000,-69156000,2548000,2548000,2548000,81412000,567892000,0.37092,0.25455,0.01229,0.00934,3.9244,0.31573,0.18523,0.43889,0.43775,1.72415,35.06281,0.24039,0.01464,0.54773,5.88976,11.49322
