"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q3",8.01171875,"Down",32797.5437259821,-30535000,-5956000,-24579000,-30476000,318000,329000,-30158000,-30158000,-30158000,-30158000,-30158000,-30158000,122736000,37717000,1464000,1464000,124200000,3170000,594000,594000,46697000,170897000,15175000,4063000,11112000,348000,348000,15523000,1808000,1808000,1808000,17331000,467172000,-313744000,153566000,153566000,170897000,-30158000,179000,6686000,2399000,-20894000,16217000,240000,240000,240000,-4437000,-4437000,-4471000,-30297000,0,-0.19638,-0.17647,8.00103,0.11286,0,-0.83874,-0.83874,0.000944141188583117,4.27089,-0.1941,4.05109,4.0273
"12","2016_Q4",9.01349206349206,"Up",48000,-25790000,-5897000,-19893000,-25742000,317000,311000,-25425000,-25425000,-25425000,-25425000,-25425000,-25425000,126811000,43908000,3440000,3440000,130251000,2991000,783000,783000,53372000,183623000,14502000,2193000,12309000,450000,450000,14952000,1739000,1739000,1739000,16691000,506129000,-339169000,166932000,166932000,183623000,-25425000,179000,5838000,-926000,-20334000,-4975000,16000,16000,31479000,6170000,6170000,6191000,-25563000,1.13686837721616e-13,-0.15231,-0.13846,8.71128,0.09999,-4.2351647362715e-22,-0.69053,-0.69053,0.0013,4.53381,-0.15074,4.96072,4.92623
"13","2017_Q1",10.7011290322581,"Up",47000,-27212000,-6541000,-20671000,-27165000,369000,358000,-26796000,-26796000,-26935000,-26935000,-26935000,-26935000,129552000,49663000,2084000,2084000,131636000,2836000,479000,479000,48749000,180385000,16113000,4751000,11362000,363000,363000,16476000,1666000,1666000,1666000,18142000,528621000,-366104000,162243000,162243000,180385000,-26935000,180000,5486000,1271000,-19998000,6602000,178000,178000,19249000,5853000,5853000,5755000,-26985000,0,-0.16602,-0.14932,7.98956,0.11182,0,-0.65001,-0.65001,0.00113,3.91533,-0.16433,4.80089,4.76908
"14","2017_Q2",9.86714285714286,"Down",68000,-30347000,-6264000,-24083000,-30279000,385000,4e+05,-29894000,-29894000,-29917000,-29917000,-29917000,-29917000,109884000,25577000,2346000,2146000,112230000,2654000,294000,294000,43205000,155435000,14985000,4245000,10740000,496000,496000,15481000,1591000,1591000,1591000,17072000,534842000,-396275000,138363000,138363000,155435000,-29917000,183000,6176000,-1150000,-24708000,549000,57000,57000,57000.0000000037,-24102000,-24102000,-24086000,-30096000,9.09494701772928e-13,-0.21622,-0.19247,7.24953,0.12339,-3.3881317890172e-21,-0.7141,-0.7141,0.00162,3.30263,-0.21376,3.65112,3.62905
"15","2017_Q3",9.54873015873016,"Down",3000,-29755000,-6635000,-23120000,-29752000,383000,412000,-29369000,-29369000,-29387000,-29387000,-29387000,-29387000,143454000,55381000,2270000,2070000,145724000,2473000,284000,284000,40026000,185750000,16123000,3247000,12876000,1397000,372000,17520000,1516000,1516000,1516000,19036000,592539000,-425660000,166714000,166714000,185750000,-29387000,180000,5454000,2032000,-21721000,-1134000,246000,246000,52569000,29714000,29714000,29809000,-29572000,0,-0.17627,-0.15821,8.31758,0.11418,0,-0.6409,-0.6409,7e-05,3.63584,-0.17468,4.85101,4.82166
"16","2017_Q4",10.7066666666667,"Up",0,-31055000,-5818000,-25237000,-31055000,428000,454000,-30627000,-30627000,-30640000,-30640000,-30640000,-30640000,119406000,54450000,2276000,2076000,121682000,2304000,289000,289000,42091000,163773000,19605000,1890000,17715000,1550000,5e+05,21155000,1441000,1441000,1441000,22596000,597567000,-456300000,141177000,141177000,163773000,-30640000,176000,5179000,3535000,-21750000,20594000,160000,160000,160000.000000007,-996000,-996000,-926000,-30879000,-1.45519152283669e-11,-0.21703,-0.18709,5.75193,0.16005,5.42101086242752e-20,-0.64947,-0.64947,-1.89735380184963e-19,2.99249,-0.21484,3.8669,3.84498
"17","2018_Q1",13.293606557377,"Up",1534000,-40986000,-6153000,-34833000,-39452000,421000,432000,-39031000,-39031000,-39040000,-39040000,-39040000,-39040000,146469000,68997000,1954000,1754000,148423000,2185000,290000,290000,31871000,180294000,27110000,5665000,21445000,22357000,436000,49467000,1363000,1363000,1363000,50830000,625022000,-495341000,129464000,129464000,180294000,-39040000,174000,4783000,28545000,-5538000,-2901000,395000,395000,22957000,14518000,14518000,14537000,-39278000,0,-0.30155,-0.21654,3.00044,0.39262,0,-0.80207,-0.80207,0.03152,2.6598,-0.29841,3.72903,3.71259
"18","2018_Q2",16.489375,"Up",1e+07,-48942000,-7621000,-41321000,-38942000,495000,509000,-38447000,-38447000,-38459000,-38459000,-38459000,-38459000,130917000,37499000,2396000,2396000,133313000,2454000,292000,292000,13060000,146373000,26494000,4949000,21545000,20240000,511000,46734000,4110000,1918000,4110000,50844000,629615000,-533800000,95529000,95529000,146373000,-38459000,169000,4324000,-685999.999999993,-34652000,2484000,429000,429000,428999.999999985,-31739000,-31739000,-31696000,-38773000,2.3283064365387e-10,-0.40259,-0.26275,2.85259,0.53224,-8.67361737988404e-19,-0.77534,-0.77534,0.2016,1.92588,-0.38598,3.3765,3.36185
"19","2018_Q3",18.4287301587302,"Up",19891000,-54223000,-9489000,-44734000,-34332000,660000,653000,-33672000,-33672000,-33655000,-33655000,-33655000,-33655000,241121000,118966000,3438000,3438000,244559000,2611000,638000,638000,12030000,256589000,26763000,3794000,22969000,9781000,418000,36544000,6573000,2041000,6573000,43117000,781186000,-567454000,213472000,213472000,256589000,-33655000,184000,4550000,-8707000,-37628000,-27604000,1412000,1412000,147132000,81900000,81900000,81813000,-34148000,0,-0.15766,-0.13116,6.69218,0.20198,0,-0.59968,-0.59968,0.35443,3.80374,-0.15295,7.06106,7.02321
"20","2018_Q4",11.2452380952381,"Down",239000,-49393000,-12966000,-36427000,-49154000,1085000,1098000,-48069000,-48069000,-48083000,-48083000,-48083000,-48083000,206770000,101600000,4792000,4792000,211562000,2914000,712000,712000,8430000,219992000,31393000,2238000,29155000,10174000,812000,41567000,7347000,2815000,7347000,48914000,786769000,-615538000,171078000,171078000,219992000,-48083000,188000,4784000,4446000,-38665000,20566000,785999.999999993,785999.999999993,771999.99999997,-17327000,-17327000,-17292000,-48966000,3.72529029846191e-09,-0.28106,-0.21857,5.08966,0.28592,-1.38777878078145e-17,-0.79252,-0.79252,0.00394,2.81975,-0.26949,4.22273,4.20658
"21","2019_Q1",7.38934426229508,"Down",206000,-57661000,-18771000,-38890000,-57455000,-738000,-725000,-58193000,-58193000,-58210000,-58210000,-58210000,-58210000,328199000,118021000,6413000,6413000,334612000,3863000,716000,716000,6580000,341192000,36825000,4332000,32493000,10079000,717000,46904000,4532000,13756122.979873,111118000,158022000,857162000,-673748000,183170000,183170000,341192000,-58210000,194000,5066000,4778000,-48172000,-103110000,146597000,146597000,167776000,16494000,16494000,16425000,-57261000,106586000,-0.31779,-0.17061,7.13398,0.86271,0.31239,-0.95735,-0.95735,0.00339,3.01252,-0.1978,3.87023,3.85716
"22","2019_Q2",5.35285714285714,"Down",155000,-65077000,-27103000,-37974000,-64922000,-1229000,-1227000,-66151000,-66151000,-66161000,-66161000,-66161000,-66161000,264424000,83506000,7011000,7011000,271435000,15065000,714000,714000,15779000,287214000,31134000,2266000,28868000,12726000,2076000,43860000,17702000,14457000,122070000,165930000,861221000,-739909000,121284000,121284000,287214000,-66161000,245000,5089000,-5796000,-66623000,31991000,151999.99999997,151999.99999997,152000,-34480000,-34480000,-34517000,-64677000,104368000,-0.5455,-0.23035,6.18867,1.36811,0.36338,-1.08717,-1.08717,0.00255000000000001,1.99296,-0.27187,2.4747,2.46536
"23","2019_Q3",9.03875,"Up",9493000,-51179000,-24662000,-26517000,-41686000,-1721000,-1677000,-43407000,-43407000,-43415000,-43415000,-43415000,-43415000,217159000,75545000,5671000,5671000,222830000,14555000,715000,715000,15270000,238100000,28912000,1113000,27799000,3262000,1975000,32174000,17300000,14055000,123457000,155631000,865732000,-783324000,82469000,82469000,238100000,-43415000,242000,5990000,-11021000,-48204000,39803000,395000,395000,395000,-8006000,-8006000,-7960000,-41444000,106157000,-0.52644,-0.18234,6.92578,1.88715,0.44585,-0.71255,-0.71255,0.1558,1.35352,-0.21083,2.67836,2.66281
"24","2019_Q4",14.4625,"Up",13149000,-51537000,-25267000,-26270000,-39401000,-1946000,-1956000,-41347000,-41347000,-41367000,-41367000,-41367000,-41367000,267529000,168004000,5310000,5310000,280867000,14144000,712000,712000,16878000,297745000,35489000,3068000,32421000,3713000,2660000,39202000,90711000,87232000,198673000,237875000,884591000,-824691000,59870000,59870000,297745000,-41367000,243000,5526000,-908000,-36506000,40175000,576999.999999996,576999.999999996,88822000,92491000,92491000,92456000,-39158000,107962000,-0.69095,-0.13893,7.16461,3.97319,0.3626,-0.66607,-0.66607,0.21172,0.964,-0.16,4.07495,4.04982
"25","2020_Q1",18.3888709677419,"Up",18096000,-59968000,-28389000,-31579000,-43266000,-5379000,-5365000,-48645000,-48645000,-48647000,-48647000,-48647000,-48647000,261956000,128858000,8406000,7289000,278570000,3046000,11331000,11331000,16393000,294963000,41863000,985000,40878000,4487000,2146000,46350000,88982000,86790000,198839000,245189000,923149000,-873338000,49774000,49774000,294963000,-48647000,244000,4497000,4417000,-39489000,-33519000,49572000,49572000,34936000,-38072000,-38072000,-38027000,-43022000,109857000,-0.97736,-0.16493,6.01014,4.92605,0.37244,-0.76094,-0.76094,0.28306,0.77857,-0.19567,3.53538,3.51544
"26","2020_Q2",19.7174603174603,"Up",18138000,-64675000,-30678000,-33997000,-47356000,-5509000,-5534000,-52865000,-52865000,-52931000,-52931000,-52931000,-52931000,352131000,202247000,8538000,7551000,370920000,13134000,713999.999999998,713999.999999998,45221000,416141000,45477000,1694000,43783000,4222000,2935000,49699000,88526000,86334000,200295000,249994000,1092836000,-926269000,166147000,166147000,416141000,-52931000,242000,7076000,602000,-45011000,-46479000,164829000,164829000,164829000,73339000,73339000,73259000,-47114000,111769000,-0.31858,-0.12719,7.46333,1.50466,0.26858,-0.78269,-0.78269,0.26821,2.45681,-0.14445,5.10171,5.07564
"27","2020_Q3",16.30671875,"Down",33514000,-73437000,-30843000,-42594000,-40319000,-5970000,-5909000,-46289000,-46289000,-46426000,-46426000,-46426000,-46426000,296717000,103102000,9886000,7971000,317836000,12605000,714000,714000,62175000,380011000,47867000,1888000,45979000,2703000,2406000,50570000,85866000,85866000,199642000,250212000,1101603000,-972695000,129799000,129799000,380011000,-46426000,238000,8512000,-2601000,-40277000,-60034000,2046000,2046000,2046000,-98265000,-98265000,-98217000,-40081000,113776000,-0.35768,-0.12217,6.28507,1.92769,0.2994,-0.63317,-0.63317,0.45707,1.77024,-0.14092,4.56428,4.53734
"28","2020_Q4",15.44796875,"Down",21333000,-68004000,-30967000,-37037000,-47109000,-6342000,-6201000,-53451000,-53451000,-53495000,-53495000,-53495000,-53495000,263044000,82301000,9330000,8242000,285447000,12051000,718000,718000,52140000,337587000,49013000,2422000,46591000,3617000,3320000,52630000,85385000,85385000,201187000,253817000,1109357000,-1026190000,83770000,83770000,337587000,-53495000,235000,9160000,-212000,-44312000,21431000,1240000,1240000,1240000,-21641000,-21641000,-21624000,-46874000,115802000,-0.63859,-0.15846,5.42366,3.02993,0.34303,-0.72795,-0.72795,0.2903,1.13993,-0.18773,3.14123,3.12556
"29","2021_Q1",14.0467213114754,"Down",35100000,-71114000,-33929000,-37185000,-37066000,-6293000,-6676000,-43359000,-43359000,-43421000,-43421000,-43421000,-43421000,249240000,85918000,11766000,9285000,276531000,2219000,10085000,10085000,36519000,313050000,57380000,4450000,52930000,2823000,2526000,60203000,84373000,84373000,202301000,262504000,1119639000,-1069611000,50546000,50546000,313050000,-43421000,257000,8963000,3567000,-30634000,31397000,3968000,3968000,3968000,4731000,4731000,5014000,-36809000,117928000,-0.85904,-0.1387,4.59331,5.19337,0.37671,-0.58885,-0.58885,0.476,0.68547,-0.17173,3.56739,3.54265
"30","2021_Q2",9.67539682539683,"Down",23260000,-74700000,-37650000,-37050000,-52373000,-4892000,-4831000,-57265000,-57265000,-57414000,-57414000,-57414000,-57414000,224365000,88471000,10189000,9374000,255511000,1984000,9738000,9738000,19398000,274909000,58651000,3040000,55611000,3357000,3357000,62008000,83837000,83837000,252541000,314549000,1072033000,-1111974000,-39640000,-39640000,274909000,-57414000,235000,8200000,-3909000,-52888000,43186000,10676000,10676000,10676000,974000,974000,882999.999999998,-52138000,168704000,1.44839,-0.20885,4.12061,-7.93514,0.61367,-0.77048,-0.77048,0.31214,-0.53196,-0.26967,1.06757,1.06278
"31","2021_Q3",6.92046875,"Down",22601000,-70511000,-36530000,-33981000,-49048000,-4400000,-4836000,-53448000,-53448000,-53582000,-53582000,-53582000,-53582000,235890000,141309000,15820000,15058000,273502000,1755000,9304000,9304000,13065000,286567000,55520000,2309000,53211000,2603000,2603000,58123000,142677000,142677000,311576000,369699000,1082228000,-1165556000,-83132000,-83132000,286567000,-53582000,229000,8449000,-10844000,-55748000,46458000,2060000,2060000,62060000,52770000,52770000,52706000,-48819000,168899000,0.64454,-0.18698,4.70557,-4.44713,0.58939,-0.71906,-0.71906,0.3033,-1.11561,-0.23455,1.37223,1.36583
"32","2021_Q4",6.64453125,"Down",37689000,-80912000,-35104000,-45808000,-43812000,-7894000,-7912000,-51706000,-51706000,-51812000,-51812000,-51812000,-51812000,204212000,137400000,14672000,12272000,241579000,1574000,8936000,8936000,12515000,254094000,65579000,881000,64698000,3287000,3287000,68866000,142111000,142111000,311205000,380071000,1091019000,-1217368000,-125977000,-125977000,254094000,-51812000,186000,15084000,12587000,-23955000,21426000,16000.0000000009,16000.0000000009,16000,-2512999.99999999,-2512999.99999999,-2271000.00000001,-43626000,169094000,0.41128,-0.20391,3.50796,-3.01699,0.66548,-0.69023,-0.69023,0.50208,-1.67824,-0.27972,0.80498,0.80156
"33","2022_Q1",8.3091935483871,"Up",126269000,-78565000,-34562000,-44003000,46962000,-8363000,-7885000,38599000,38599000,38720000,38720000,38720000,38720000,228615000,190459000,20388000,14039000,275606000,1642000,28057000,28057000,29699000,305305000,70724000,1603000,69121000,2994000,2994000,73718000,141967000,141967000,311260000,384978000,1098784000,-1178648000,-79673000,-79673000,305305000,38720000,139000,7639000,-21023000,25475000,30770000,896000,896000,896000,57141000,57141000,57006000,47101000,169293000,-0.48599,0.12682,3.73865,-4.83198,0.5545,0.51165,0.51165,1.66853,-1.0528,0.16719,-1.25946,-1.26319
"34","2022_Q2",6.11483870967742,"Down",47670000,-80830000,-38768000,-42062000,-34586000,-6683000,-6610000,-41269000,-41269000,-41399000,-41399000,-41399000,-41399000,205311000,153256000,42356000,12207000,276533000,1544000,15956000,15956000,17500000,294033000,61811000,3440000,58371000,4526000,4526000,66337000,141284000,141284000,310775000,377112000,1136881000,-1220047000,-83079000,-83079000,294033000,-41399000,177000,7577000,-25552000,-59197000,-14035000,30783000,30783000,30783000,-42449000,-42449000,-42539000,-34409000,169491000,0.49831,-0.1408,4.16861,-4.5392,0.57644,-0.54709,-0.47654,0.62996,-1.0979,-0.18182,1.04101,1.03568
"35","2022_Q3",4.97953125,"Down",39679000,-81648000,-37339000,-44309000,-42908000,-6033000,-6020000,-48941000,-48941000,-49062000,-49062000,-49062000,-49062000,170846000,82248000,44652000,11428000,242447000,1395000,12636000,12636000,14031000,256478000,58061000,1694000,56367000,4480000,4480000,62541000,140582000,140582000,310275000,372816000,1153309000,-1269109000,-116338000,-116338000,256478000,-49062000,149000,15177000,-1408000,-35144000,-36596000,1313000,1313000,1313000,-70427000,-70427000,-70881000,-42759000,169693000,0.42172,-0.19129,3.87661,-3.20459,0.66163,-0.61596,-0.61596,0.49816,-1.4606,-0.25298,0.02697,0.02687
