"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2013_Q3",1.76328125,"Down",-12652000,-8161000,-4491000,-10784000,-1113000,-1113000,-11897000,-11897000,-11897000,-11897000,-11897000,-11897000,72220000,72220000,801000,801000,74570000,139000,4978000,4978000,5117000,79687000,5392000,3033000,2359000,9079000,1.32348898008484e-23,1.32348898008484e-23,30237000,39316000,310958000,-270587000,40371000,40371000,79687000,-11897000,19000,2365000,277000,-9236000,-25835071.5159859,-9240000,-9240000,-9240000,-10765000,33887000,-0.29469,-0.1493,8.21346,0.97387,0.42525,-0.11919,-0.11919,0.40446,-0.16021,3.56089,3.55462
"13","2013_Q4",2.0215625,"Up",-12334000,-7179000,-5155000,-9739000,-1167000,-1167000,-10906000,-10906000,-10906000,-10906000,-10906000,-10906000,63175000,63175000,1004000,1004000,66223000,184000,4650000,4650000,4834000,71057000,5587000,2337000,3250000,10142000,0,0,30142000,40284000,312266000,-281493000,30773000,30773000,71057000,-10906000,20000,2449000,-165000,-8602000,-378000,-9045000,-9045000,-9045000,-9719000,34642000,-0.3544,-0.15348,6.52958,1.30907,0.48752,-0.10926,-0.10926,0.3083,-0.16672,2.9358,2.92977
"14","2014_Q1",3.49459016393443,"Up",-14084000,-7517000,-6567000,-10030000,-1094000,-1094000,-11124000,-11124000,-11124000,-11124000,-11124000,-11124000,54877000,54877000,910000,910000,58311000,203000,4563000,4563000,4766000,63077000,6970000,2381000,4589000,12738000,2.11758236813575e-22,2.11758236813575e-22,29322000,42060000,313634000,-292617000,21017000,21017000,63077000,-11124000,21000,2391000,1046000,-7666000,-592000,-8298000,-8298000,-8298000,-10009000,35065000,-0.52929,-0.17636,4.57772,2.00124,0.55591,-0.11142,-0.11142,0.21052,-0.19835,1.97942,1.97527
"15","2014_Q2",2.95126984126984,"Down",-17090000,-9805000,-7285000,-12859000,-1071000,-1071000,-13930000,-13930000,-13930000,-13930000,-13930000,-13930000,43618000,43618000,1453000,1453000,48120000,285000,4426000,4426000,4711000,52831000,8317000,3666000,4651000,15242000,0,0,28218000,43460000,315918000,-306547000,9371000,9371000,52831000,-13930000,28000,2430000,412000,-11060000,-89000,-11259000,-11259000,-11259000,-12831000,35114000,-1.4865,-0.26367,3.15707,4.63771,0.66465,-0.13858,-0.13858,0.09322,-0.31314,0.66277,0.66133
"16","2014_Q3",2.64703125,"Down",-12216000,-7964000,-4252000,-6581000,-970000,-970000,-7551000,-7551000,-7551000,-7551000,-7551000,-7551000,33974000,33974000,2166000,2166000,39437000,296000,4657000,4657000,4953000,44390000,5862000,2595000,3267000,13302000,-1.6940658945086e-21,-1.6940658945086e-21,27636000,40938000,317550000,-314098000,3452000,3452000,44390000,-7551000,37000,2166000,-3636000,-8984000,-612000,-9644000,-9644000,-9644000,-6544000,35032000,-2.18743,-0.17011,2.96474,11.85921,0.78919,-0.07478,-0.07478,0.03418,-0.19621,-0.16167,-0.16077
"17","2014_Q4",3.04859375,"Up",-12149000,-9103000,-3046000,-5102000,-905000,-905000,-6007000,-6007000,-6007000,-6007000,-6007000,-6007000,26780000,26780000,1769000,1769000,32375000,273000,4511000,4511000,4784000,37159000,3775000,1960000,1815000,12486000,0,0,25990000,38476000,318788000,-320105000,-1317000,-1317000,37159000,-6007000,39000,2115000,-2076000,-5929000,-1249000,-7194000,-7194000,-7194000,-5063000,34651000,4.56112,-0.16166,2.5929,-29.21488,0.93251,-0.05939,-0.05939,-0.01302,-0.18021,-1.55461,-1.54273
"18","2015_Q1",3.62016393442623,"Up",-11833000,-8044000,-3789000,-3077000,-818000,-818000,-3895000,-3895000,-3895000,-3895000,-3895000,-3895000,24248000,24248000,1441000,1441000,30230000,236000,4164000,4164000,4400000,34630000,4098000,1886000,2212000,13555000,0,0,24463000,38018000,320612000,-3.24e+08,-3388000,-3388000,34630000,-3895000,37000,2197000,258000,-1403000,-1129000,-2532000,-2532000,-2532000,-3040000,33887000,1.14965,-0.11247,2.23017,-11.22137,0.97854,-0.03846,-0.03846,-0.03345,-0.12771,-3.17072,-3.1326
"19","2015_Q2",6.13015873015873,"Up",-13830000,-9453000,-4377000,-4030000,-8e+05,-8e+05,-4830000,-4830000,-4830000,-4830000,-4830000,-4830000,37953000,37953000,622000,622000,44186000,230000,3808000,3808000,4038000,48224000,4813000,1036000,3777000,15526000,0,0,22126000,37652000,339402000,-328830000,10572000,10572000,48224000,-4830000,40000,2177000,836000,-1777000,15516000,13705000,13705000,13705000,-3990000,32784000,-0.45687,-0.10016,2.84594,3.56148,0.67983,-0.0474,-0.0474,0.10374,-0.1114,1.29549,1.28263
"20","2015_Q3",5.07484375,"Down",-12683000,-9342000,-3341000,-1166000,-770000,-770000,-1936000,-1936000,-1936000,-1936000,-1936000,-1936000,37048000,37048000,1241000,1241000,44691000,173000,3491000,3491000,3664000,48355000,5359000,2360000,2999000,17430000,4.33680868994202e-19,4.33680868994202e-19,19399000,36829000,342292000,-330766000,11526000,11526000,48355000,-1936000,57000,2310000,-570000,-139000,-766000,-904999.999999998,-904999.999999998,-904999.999999998,-1109000,31433000,-0.16797,-0.04004,2.56403,3.1953,0.65005,-0.01795,-0.01795,0.10685,-0.04507,5.06312,4.81561
"21","2015_Q4",4.51046875,"Down",-12903000,-9291000,-3612000,102000,-703000,-703000,-601000,-601000,-601000,-601000,-601000,-601000,36450000,36450000,1180000,1180000,45179000,143000,3055000,3055000,3198000,48377000,5181000,1740000,3441000,18767000,0,0,16133000,34900000,344844000,-331367000,13477000,13477000,48377000,-601000,30000,2249000,-795000,883000,-1481000,-598000,-598000,-598000,132000,29640000,-0.04459,-0.01242,2.40736,2.5896,0.61269,-0.00554,-0.00554,0.12426,-0.01394,-51.59091,-66.76471
"22","2016_Q1",3.8955737704918,"Down",-12952000,-8863000,-4089000,1651000,-692000,-692000,959000,959000,959000,959000,959000,959000,40435000,40435000,642000,642000,48980000,98000,2824000,2824000,2922000,51902000,5753000,1325000,4428000,20876000,0,0,12528000,33404000,348906000,-330408000,18498000,18498000,51902000,959000,28000,2147000,1029000,4163000,-195000,3985000,3985000,3985000,1679000,27493000,0.05184,0.01848,2.34623,1.80582,0.52971,0.00877,0.00877,0.16925,0.02085,-7.70815999999999,-7.83889000000001
"23","2016_Q2",5.201875,"Up",-15066000,-10432000,-4634000,592000,-611000,-611000,-19000,-19000,-19000,-19000,-19000,-19000,40744000,40744000,1106000,1106000,50514000,93000,2305000,2305000,2398000,52912000,7703000,2082000,5621000,24025000,0,0,8719000,32744000,350595000,-330427000,20168000,20168000,52912000,-19000,27000,2202000,1087000,3297000,-2966000,309000,309000,309000,619000,25041000,-0.00094,-0.00036,2.10256,1.62356,0.47326,-0.00017,-0.00017,0.18391,-0.00042,-25.36834,-26.52534
"24","2016_Q3",5.81546875,"Up",-17790000,-12117000,-5673000,1508000,-531000,-531000,977000,977000,977000,977000,977000,977000,41789000,41789000,1554000,1554000,54778000,76000,1984000,1984000,2060000,56838000,8877000,2081000,6796000,27434000,-5.55111512312578e-17,-5.55111512312578e-17,3744000,31178000,355110000,-329450000,25660000,25660000,56838000,977000,24000,2186000,-1597000,1590000,-538000,1045000,1045000,1045000,1532000,22301000,0.03807,0.01719,1.99672,1.21504,0.39236,0.00888,0.00847,0.2332,0.02037,-12.72063,-12.92308
"25","2016_Q4",7.83555555555556,"Up",-17984000,-10931000,-7053000,3072000,-487000,-487000,2585000,2585000,2585000,2585000,2585000,2585000,47865000,47865000,1353000,1353000,59781000,145000,3004000,3004000,3149000,62930000,12958000,4309000,8649000,31683000,0,0,0,31683000,358112000,-326865000,31247000,31247000,62930000,2585000,21000,2291000,4038000,8935000,-2769000,6076000,6076000,6076000,3093000,18725000,0.08273,0.04108,1.88685,1.01395,0.29755,0.02336,0.0222,0.28239,0.05173,-9.42127,-9.48568
"26","2017_Q1",8.78274193548387,"Up",-18244000,-11760000,-6484000,5007000,-410000,-410000,4597000,4597000,4597000,4597000,4597000,4597000,51536000,51536000,1964000,1964000,65689000,205000,2859000,2859000,3064000,68753000,12710000,2290000,10420000,27374000,-8.88178419700125e-16,-8.88178419700125e-16,-2.3283064365387e-10,27374000,363647000,-322268000,41379000,41379000,68753000,4597000,15000,2329000,-2372000,4569000,-823000,3671000,3671000,3671000,5022000,14664000,0.11109,0.06686,2.39969,0.66154,0.21329,0.04108,0.03733,0.36973,0.08203,-7.34209,-7.36409
"27","2017_Q2",10.8695238095238,"Up",-22213000,-15037000,-7176000,4740000,-225000,-225000,4515000,4515000,4388000,4388000,4388000,4388000,52774000,37976000,1799000,1799000,66675000,302000,3869000,3869000,8664000,75339000,15652000,4253000,11399000,25759000,0,0,0,25759000,367472000,-317880000,49580000,49580000,75339000,4388000,13000,2976000,2184000,9561000,-3708000,-13560000,-13560000,-13560000,4753000,10107000,0.0885,0.05824,2.58842,0.51954,0.13415,0.03888,0.03621,0.43928,0.07352,-8.97686,-9.00148
"28","2017_Q3",14.91,"Up",-21989000,-14113000,-7876000,12795000,-98000,-98000,12697000,12697000,12647000,12647000,12647000,12647000,66165000,33623000,2527000,2527000,81285000,499000,3259000,3259000,5252000,86537000,15819000,2082000,13737000,20392000,0,0,0,20392000,371395000,-305233000,66145000,66145000,86537000,12647000,9000,3360000,-450000,15566000,-4971000,-4353000,-4353000,-4353000,12804000,4573000,0.1912,0.14615,3.98612,0.30829,0.05284,0.11167,0.10281,0.58407,0.17884,-4.81037,-4.81376
"29","2017_Q4",18.1114285714286,"Up",-28164000,-16471000,-11693000,13623000,86000,86000,13709000,13709000,13757000,13757000,13757000,13757000,75156000,31060000,3086000,3086000,93942000,553000,14669000,14669000,16730000,110672000,24370000,6226000,18144000,24370000,0,0,0,24370000,377792000,-291476000,86302000,86302000,110672000,13757000,36000,3663000,-6531000,10925000,-1841000,-2563000,-2563000,-2563000,13659000,0,0.15941,0.1243,3.85482,0.28238,0,0.1211,0.10949,0.75968,0.15941,-5.50231,-5.51685
"30","2018_Q1",18.5295081967213,"Up",-30426000,-16795000,-13631000,21697000,188000,188000,21885000,21885000,98330000,98330000,98330000,98330000,88744000,31062000,15565000,2669000,124185000,518000,80553000,3850000,96352000,220537000,29569000,8579000,20990000,29569000,0,0,0,29569000,384189000,-193146000,190968000,190968000,220537000,98330000,48000,-72578000,-916999.999999999,24883000,2567000,2000,2000,2000,21745000,-4.65661287307739e-10,0.5149,0.44587,4.19984,0.15484,3.46944695195361e-18,0.85961,0.76695,1.66946,0.5149,-4.08112,-4.09015
"31","2018_Q2",17.3965625,"Down",-35490000,-18440000,-17050000,20995000,294000,294000,21289000,21289000,17459000,17459000,17459000,17459000,125362000,33121000,3324000,3324000,150823000,577000,76566000,2983000,92153000,242976000,27749000,7850000,19899000,27749000,0,0,0,27749000,391066000,-175687000,215227000,215227000,242976000,17459000,48000,7979000,8944000,34430000,1922000,2059000,2059000,2059000,21043000,0,0.08112,0.07185,5.43526,0.12893,0,0.15197,0.13668,1.87346,0.08112,-5.95742,-5.97104
"32","2018_Q3",13.9747619047619,"Down",-40524000,-19981000,-20543000,20634000,562000,562000,21196000,21196000,18196000,18196000,18196000,18196000,159945000,31165000,3579000,3579000,197175000,552000,76655000,5553000,77207000,274382000,30873000,6365000,24508000,30873000,-1.81898940354586e-12,-1.81898940354586e-12,-3.63797880709171e-12,30873000,401127000,-157491000,243509000,243509000,274382000,18196000,57000,8088000,-11130000,15211000,4044000,-1956000,-1956000,-1956000,20691000,2.91038304567337e-11,0.07472,0.06632,6.38665,0.12678,0,0.15755,0.1427,2.10845,0.07472,-7.73017,-7.75153
"33","2018_Q4",13.2171428571429,"Down",-40168000,-21308000,-18860000,22969000,759000,759000,23728000,23728000,17747000,17747000,17747000,17747000,195194000,33894000,4275000,4275000,224191000,540000,73539000,7413000,75560000,299751000,40206000,13922000,26284000,40206000,0,0,0,40206000,408270000,-139744000,259545000,259545000,299751000,17747000,58000,10996000,15704000,44505000,-8270000,2729000,2729000,2729000,23027000,0,0.06838,0.05921,5.57606,0.15491,0,0.15326,0.14067,2.24136,0.06838,-8.47674,-8.49815
"34","2019_Q1",12.426393442623,"Down",-40354000,-21560000,-18794000,24898000,1042000,1042000,25940000,25940000,22008000,22008000,22008000,22008000,206760000,41625000,7740000,7740000,236820000,655000,74219000,11560000,74874000,311694000,35573000,8266000,27307000,35573000,239000,239000,239000,35812000,417345000,-117736000,275882000,275882000,311694000,22008000,73000,9030000,-9592000,21519000,-12031000,7731000,7731000,7731000,24971000,1.81898940354586e-12,0.07977,0.07061,6.6573,0.12981,1.35525271560688e-20,0.19104,0.17558,2.39481,0.0797,-8.28,-8.30428
"35","2019_Q2",11.142380952381,"Down",-44633000,-24389000,-20244000,18956000,1097000,1097000,20053000,20053000,18274000,18274000,18274000,18274000,186905000,49650000,5741000,5741000,216864000,925000,73581000,11900000,103348000,320212000,32697000,9330000,23367000,34218000,239000,239000,239000,34457000,427435000,-99462000,285755000,285755000,320212000,18274000,96000,7401000,-2090000,23681000,-15289000,8025000,8025000,8025000,19052000,0,0.06395,0.05707,6.33772,0.12058,0,0.15912,0.1475,2.4882,0.0639,-9.81026,-9.85994
"36","2019_Q3",12.2875,"Up",-46247000,-24591000,-21656000,24633000,1178000,1178000,25811000,25811000,20186000,20186000,20186000,20186000,201537000,58141000,6202000,6202000,232655000,1177000,70682000,13982000,96024000,328679000,29233000,7026000,22207000,30381000,245000,245000,245000,30626000,436740000,-79276000,298053000,298053000,328679000,20186000,167000,12584000,-7382000,25555000,-15908000,8491000,8491000,8491000,24800000,-1.13686837721616e-13,0.06773,0.06142,7.65791,0.10275,0,0.17655,0.16578,2.60682,0.06767,-8.12649,-8.18159
"37","2019_Q4",13.91984375,"Up",-47053000,-24248000,-22805000,33001000,1351000,1351000,34352000,34352000,26340000,26340000,26340000,26340000,231645000,44948000,7798000,7798000,267310000,1227000,63235000,12431000,99712000,367022000,31626000,5937000,25689000,32396000,250000,250000,250000,32646000,446730000,-52936000,334376000,334376000,367022000,26340000,211000,13172000,-1296000,38427000,2696000,-13193000,-13193000,-13193000,33212000,0,0.07877,0.07177,8.25133,0.09763,0,0.23132,0.21631,2.93655,0.07871,-6.97474,-7.01933
"38","2020_Q1",12.3746774193548,"Down",-51443000,-27131000,-24312000,35016000,1444000,1444000,36460000,36460000,29381000,29381000,29381000,29381000,275962000,31269000,6044000,6044000,307358000,1050000,64552000,18875000,104954000,412312000,37283000,7537000,29746000,38841000,2289000,2289000,2289000,41130000,457180000,-23555000,371182000,371182000,412312000,29381000,229000,12763000,6081000,48454000,-144000,-13679000,-13679000,-13679000,35245000,0,0.07916,0.07126,7.91324,0.11081,-2.11758236813575e-22,0.25694,0.2392,3.24605,0.07867,-7.82982,-7.88103
"39","2020_Q2",14.0487301587302,"Up",-53658000,-27535000,-26123000,37711000,1471000,1471000,39182000,39182000,30065000,30065000,30065000,30065000,307315000,84477000,5693000,5693000,344776000,880000,58148000,17586000,100718000,445494000,32504000,4976000,27528000,34075000,1930000,1930000,1930000,36005000,465648000,6510000,409489000,409489000,445494000,30065000,238000,13200000,-10234000,33269000,205000,53208000,53208000,53208000,37949000,0,0.07342,0.06749,10.11815,0.08793,0,0.2624,0.24598,3.57398,0.07308,-8.09811,-8.14921
"40","2020_Q3",15.9359375,"Up",-52069000,-25572000,-26497000,35262000,1010000,1010000,36272000,36272000,28327000,28327000,28327000,28327000,405358000,58523000,5323000,5323000,438333000,619000,54671000,19201000,59490000,497823000,40224000,6304000,33920000,42243000,1882000,1882000,1882000,44125000,481835000,34837000,453698000,453698000,497823000,28327000,124000,14049000,10686000,53186000,6804000,-25954000,-25954000,-25954000,35386000,2.8421709430404e-14,0.06244,0.0569,10.37646,0.09726,0,0.24631,0.22977,3.94503,0.06218,-11.45532,-11.4956
"41","2020_Q4",21.0684375,"Up",-60392000,-26523000,-33869000,24719000,622000,622000,25341000,25341000,21625000,21625000,21625000,21625000,428793000,30560000,7926000,7926000,463493000,1311000,53896000,20078000,70632000,534125000,41014000,6510000,34504000,43048000,1397000,1397000,1397000,44445000,496610000,56462000,489680000,489680000,534125000,21625000,85000,11418000,-2684000,30444000,5866000,-27963000,-27963000,-27963000,24804000,0,0.04416,0.04049,10.76689,0.09076,0,0.18684,0.1737,4.23083,0.04404,-17.28725,-17.3467
"42","2021_Q1",26.6967213114754,"Up",-53971000,-25696000,-28275000,30510000,297000,297000,30807000,30807000,25994000,25994000,25994000,25994000,440696000,76190000,6697000,6697000,478501000,1675000,55359000,23756000,93230000,571731000,45444000,10554000,34890000,47494000,899000,899000,899000,48393000,516262000,82456000,523338000,523338000,571731000,25994000,78000,12124000,-3125000,35071000,-661000,45630000,45630000,45630000,30588000,4.54747350886464e-13,0.04967,0.04547,10.07498,0.09247,-8.470329472543e-22,0.22346,0.20506,4.49885,0.04958,-14.40748,-14.44431
"43","2021_Q2",22.2531746031746,"Down",-58531000,-29509000,-29022000,19638000,275000,275000,19913000,19913000,23465000,23465000,23465000,23465000,372959000,52381000,9517000,9517000,409624000,1481000,59459000,22434000,142774000,552398000,38534000,6969000,31565000,40601000,995000,995000,995000,41596000,536487000,105921000,510802000,510802000,552398000,23465000,254000,6424000,-4721000,25422000,-45947000,-23809000,-23809000,-23809000,19892000,0,0.04594,0.04248,10.08901,0.08143,0,0.20087,0.18096,4.37263,0.04585,-18.7492,-18.9917
"44","2021_Q3",20.9278125,"Down",-58261000,-30029000,-28232000,31943000,110000,110000,32053000,32053000,26523000,26523000,26523000,26523000,369982000,95430000,8999000,8999000,411270000,1414000,54139000,20398000,157210000,568480000,43843000,9216000,34627000,45402000,403000,403000,403000,45805000,554279000,132444000,522675000,522675000,568480000,26523000,260000,16140000,1416000,44339000,-26032000,43049000,43049000,43049000,32203000,0,0.05074,0.04666,9.05841,0.08764,1.35525271560688e-20,0.22705,0.20455,4.47427,0.05071,-11.48905,-11.58257
"45","2021_Q4",20.285,"Down",-58624000,-30533000,-28091000,36232000,72000,72000,36304000,36304000,30471000,30471000,30471000,30471000,361331000,94688000,9067000,9067000,401900000,1226000,48428000,18787000,183499000,585399000,43711000,6558000,37153000,44757000,413000,413000,413000,45170000,571503000,162915000,540229000,540229000,585399000,30471000,269000,16896000,1068000,48704000,-23643000,-742000,-742000,-742000,36501000,0,0.0564,0.05205,8.9796,0.08361,0,0.26201,0.2396,4.64525,0.05636,-9.89921,-9.9727
"46","2022_Q1",21.2720967741935,"Up",-60804000,-32285000,-28519000,36664000,72000,72000,36736000,36736000,32053000,32053000,32053000,32053000,223535000,77617000,10315000,10315000,266463000,1002000,44014000,16559000,157293000,423756000,47015000,6908000,40107000,47541000,409000,409000,409000,47950000,591476000,194968000,375806000,375806000,423756000,32053000,289000,14905000,2180000,49427000,-206969000,-17071000,-17071000,-17071000,36953000,526000,0.08529,0.07564,5.60491,0.12759,0.00124,0.28049,0.2693,3.28867,0.08508,-6.03494,-6.08251
