"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2017_Q4",49.9504761904762,"Down",249979000,-44607000,205372000,-185446000,-71399000,-25672000,-88375000,19926000,-2156000,-2156000,17770000,17052000,-4895000,12157000,12157000,12157000,12157000,15258000,15258000,26107000,41674000,18221000,1611000,17916000,83039000,686858000,367300000,7.9e+07,272600000,15700000,1054158000,1137197000,192127000,62444000,396000,129287000,207127000,299940000,204580000,12978000,191602000,504520000,711647000,318805000,212671000,-520000,425550000,425550000,1137197000,12157000,25672000,4914000,213999.999999996,42957000,-50506000,-48106000,1.4e+07,-11279000,-2910000.00000001,-189000,-5338000,-5338000,-5338000,45598000,314940000,201000,0.82156,0.07971,0.04863,0.02857,0.01069,0.0165300000000002,0.40091,1.6723,0.27694,0.29595,0.2874,6.08559,10.35976,0.00489000000000006,0.01286,0.000209999999999995,6.57226,15.03975
"13","2018_Q1",45.173606557377,"Down",304913000,-54629000,250284000,-207829000,-83507000,-28319000,-96003000,42455000,-2592000,-2592000,39863000,39863000,-4223000,35640000,35640000,35640000,35640000,18795000,18795000,27560000,56341000,19052000,4867000,24633000,102696000,726455000,367879000,7.9e+07,272566000,16313000,1094334000,1197030000,192825000,54627000,3037000,135161000,207825000,351249000,216310000,10213000,206097000,567559000,775384000,320915000,248311000,-249000,421646000,421646000,1197030000,35640000,28319000,-4213000,3863000,63609000,-69597000,-69597000,51250000,-41725000,0,9525000,3537000,3537000,3537000,70774000,366249000,9263000,0.82084,0.13924,0.11689,0.08453,0.02977,0.2599,0.49415,1.83895,0.30596,0.87913,0.85537,7.52132,10.40078,0.22849,0.03549,0.00922,4.90935,8.18405
"14","2018_Q2",43.36703125,"Down",332190000,-57139000,275051000,-216447000,-88548000,-27506000,-100393000,58604000,-2857000,-2857000,55747000,55747000,-13597000,42150000,42150000,42150000,42150000,16914000,16914000,28332000,57317000,20562000,995000,28591000,102563000,757082000,367661000,7.9e+07,272603000,16058000,1124743000,1227306000,203234000,55732000,9307000,138195000,218234000,339554000,231308000,11873000,219435000,570862000,789096000,323639000,290461000,-518000,438210000,438210000,1227306000,42150000,27506000,5392000,23898000,98946000,-61372000,-61372000,-11750000,-27032000,-673000,-39455000,-1881000,-1881000,-1881000,86110000,354554000,62233000,0.82799,0.17642,0.12689,0.09619,0.03434,1.47647,0.46997,1.80073,0.28889,1.06184,1.03786,8.36847,11.03931,1.56776,0.04116,0.06077,3.92103,5.76138
"15","2018_Q3",53.0601587301587,"Up",319188000,-55556000,263632000,-217702000,-88500000,-29049000,-100153000,45930000,-3228000,-3228000,42702000,42702000,-8923000,33779000,33779000,33779000,33779000,22398000,22398000,24993000,62187000,20509000,1369000,33175000,109578000,776242000,369037000,7.9e+07,272616000,17421000,1145279000,1254857000,201645000,48563000,7193000,145889000,216645000,346859000,250428000,15066000,235362000,597287000,813932000,326380000,324240000,-611000,440925000,440925000,1254857000,33779000,29049000,5540000,17597000,85965000,-55134000,-55134000,7250000,-32597000,0,-25347000,5484000,5484000,5484000,74979000,361859000,46365000,0.82595,0.1439,0.10583,0.07661,0.02692,1.3726,0.5058,1.84596,0.28837,0.85831,0.83869,8.11046,11.20376,1.17812,0.03207,0.04402,4.52741,7.39083
"16","2018_Q4",55.2088888888889,"Up",282139000,-48734000,233405000,-217933000,-86352000,-30574000,-101007000,15472000,-3321000,-3321000,12151000,12151000,-295000,11856000,11856000,11856000,11856000,19717000,19717000,27730000,61661000,20488000,2927000,31329000,109108000,800724000,368432000,7.9e+07,272625000,16807000,1169156000,1278264000,213386000,59665000,4118000,149603000,228386000,368164000,256403000,17408000,238995000,624567000,852953000,329825000,330254000,-687000,425311000,425311000,1278264000,11856000,30574000,4566000,5093000,52089000,-46976000,-46976000,21357000,-23309000,0,-7794000,-2681000,-2681000,-2681000,46046000,383164000,4458000,0.82727,0.05484,0.04202,0.02788,0.00928,0.37601,0.47774,2.00548,0.29975,0.30484,0.29727,7.25437,10.93561,0.11462,0.01662,0.00419,7.89313,23.49063
"17","2019_Q1",48.3424590163934,"Down",331784000,-58834000,272950000,-231956000,201879000,-31146000,-402689000,40994000,-3707000,-3707000,37287000,37287000,-7851000,29436000,29436000,29436000,29436000,21585000,21585000,27315000,42193000,20713000,1880000,19600000,91093000,805337000,376757000,7.9e+07,272625000,18396000,1182094000,1273187000,229390000,60427000,11799000,157164000,244390000,378469000,262491000,14634000,247857000,640960000,885350000,331687000,353962000,-683000,387837000,387837000,1273187000,29436000,31146000,-432000,40466000,100616000,-52438000,-40326000,10143000,-62837000,0,-58422000,1868000,1868000,1868000,72140000,393469000,68019000,0.82267,0.12356,0.08872,0.0759,0.02312,2.31074,0.37274,2.28279,0.30904,0.76966,0.75228,8.67509,10.14069,1.77848,0.03369,0.06516,5.15503,9.07167
"18","2019_Q2",50.2690476190476,"Up",363582000,-61725000,301857000,-244107000,-99719000.0000001,-31141000,-113247000,57750000,-4056000,-4056000,53694000,53694000,-11251000,42443000,42443000,42443000,42443000,20353000,20353000,29609000,23011000,14143000,1094000,7774000,72973000,834522000,1257396000,7.9e+07,272651000,898054000,2091918000,2164891000,244070000,48862000,19683000,175525000,259070000,427774000,1117922000,16104000,1101818000,1545696000,1804766000,333948000,390771000,-3408000,360125000,360125000,2164891000,42443000,31141000,3941000,8215000.00000001,85740000,-67112000,-67112000,49250000,-63035000,-586000,-19860000,-1232000,-1232000,-1232000,88891000,442774000,41245000,0.83023,0.15884,0.11674,0.11786,0.01961,0.97177,0.28167,5.0115,0.20452,1.15248,1.12905,9.87252,9.77865,1.11995,0.02495,0.02147,4.75212,7.31465
"19","2019_Q3",39.9759375,"Down",344599000,-59623000,284976000,-238762000,-96918000,-32745000,-109099000,46214000,-4605000,-4605000,41609000,41609000,-9253000,32356000,32356000,32356000,32356000,23318000,23318000,27409000,27488000,16918000,1569000,9001000,78215000,851715000,1304147000,7.9e+07,272633000,943985000,2155862000,2234077000,241641000,53898000,4437000,183306000,256641000,552079000,1176055000,18822000,1157233000,1728134000,1984775000,336032000,417779000,-6647000,249302000,249302000,2234077000,32356000,32745000,5652000,197000,70950000,-50388000,-50388000,124250000,-136499000,0,-17597000,2965000,2965000,2965000,78959000,567079000,38021000,0.82698,0.13411,0.09389,0.12979,0.01448,1.17508,0.30476,7.96133,0.25383,0.91381,0.89843,9.73225,7.04085,1.0738,0.01892,0.01908,6.88662,11.76615
"20","2019_Q4",39.86671875,"Down",299352000,-52180000,247172000,-240673000,-92375000,-33340000,-114958000,6499000.00000001,-6110000,-6110000,389000.000000007,389000,93000,481999.999999993,481999.999999993,481999.999999993,481999.999999993,20880000,20880000,32620000,18109000,12722000,2876000,2511000,71609000,878203000,1348375000,7.9e+07,272628000,987813000,2226578000,2298187000,266383000,65538000,1720000,199125000,281383000,640384000,1228299000,19287000,1209012000,1868683000,2150066000,337944000,413374000,-8156000,148121000,148121000,2298187000,481999.999999993,33340000,3407000,23870000,61099000,-54773000,-54773000,88250000,-97005000,-9000,-8764000,-2438000,-2438000,-2438000,39839000,655384000,8843000,0.82569,0.02171,0.00161,0.00325,0.000210000000000002,18.34647,0.25449,14.51561,0.28517,0.0155599999999999,0.0152899999999998,9.66248,4.78105,0.28543,0.000240000000000001,0.00435,15.9267,97.63102
"21","2020_Q1",34.24,"Down",347158000,-59783000,287375000,-249759000,219543000,-35234000,-434068000,37616000,-6166000,-6166000,31450000,31450000,-6468000,24982000,24982000,24982000,24982000,24655000,24655000,34477000,19845000,14269000,2331000,3245000,78977000,900637000,1390525000,7.9e+07,272636000,1031250000,2291162000,2370139000,275865000,65359000,3054000,207452000,290865000,632689000,1276935000,19102000,1257833000,1909624000,2200489000,339595000,433465000,-8369000,169650000,169650000,2370139000,24982000,35234000,3213000,7728000,71157000,-55018000,-55018000,-7749999.99999999,273000,0,-12364000,3775000,3775000,3775000,72850000,647689000,32028000,0.82779,0.10835,0.07196,0.14726,0.01054,1.28204,0.27152,12.97076,0.27327,0.81682,0.7989,11.35083,5.54695,1.0472,0.01426,0.01529,8.55229,16.56301
"22","2020_Q2",13.3253968253968,"Down",159806000,-28072000,131734000,-193147000,-14563000.0000001,-35352000,-143232000,-61413000,-6115000,-6115000,-67528000,-67528000,23984000,-43544000,-43544000,-43544000,-43544000,156833000,156833000,34726000,38233000,13018000,23241000,1974000,229792000,905577000,1427982000,7.9e+07,272702000,1065144000,2333559000,2563351000,301695000,79083000,1207000,221405000,316695000,735261000,1318760000,19847000,1298913000,2054021000,2370716000,411544000,389921000,-13753000,192635000,192635000,2563351000,-43544000,35352000,10579000,14430000,16817000,-55150000,-55150000,103250000,72188000,-36000.0000000001,170511000,132178000,132178000,132178000,-26061000,750261000,-90765000,0.82434,-0.3843,-0.27248,-0.22604,-0.01699,2.08444,0.72559,12.30678,0.29269,-1.36802,-1.36802,5.02061,6.052,-2.85156,-0.01709,-0.04013,-22.77073,-9.66291
"23","2020_Q3",14.75171875,"Up",50833000,-8684000,42149000,-123264000,-9278000,-35160000,-78826000,-81115000,-8163000,-8163000,-89278000,-89278000,30676000,-58602000,-58602000,-58602000,-58602000,224305000,224305000,31189000,37490000,12751000,23805000,934000,292984000,872010000,1454973000,7.9e+07,272650000,1081832000,2326983000,2619967000,298814000,59539000,624000,238651000,313814000,731646000,1324136000,16537904.279822,1324136000,2055782000,2369596000,526857000,331319000,-12077000,250371000,250371000,2619967000,-58602000,35160000,-23325000,16446000,-30321000,-8184000,-8184000,-3750000,110378000,-651000,105977000,67472000,67472000,67472000,-45955000,746646000,-68369000,0.82917,-1.59572,-1.15283,-0.23406,-0.02237,1.16667,0.93362,9.46434,0.28498,-1.24389,-1.24389,1.07899,5.31441,-1.45121,-0.02525,-0.02945,-11.36636,-6.43951
"24","2020_Q4",22.22078125,"Up",109052000,-17908000,91144000,-147187000,-11746000,-34384000,-101057000,-56043000,-8213000,-8213000,-64256000,-65160000,17117000,-48043000,-48043000,-48043000,-48043000,8341000,8341000,26732000,57319000,12080000,44574000,665000,92392000,846056000,1446613000,7.9e+07,272643000,1074519000,2292669000,2385061000,287427000,42849000,415000,244163000,287427000,561815000,1329045000,13355000,1315690000,1890860000,2178287000,530128000,283276000,-10673000,206774000,206774000,2385061000,-48043000,34384000,20912000,-25503000,-18250000,-9036000,-9036000,-171750000,106000,-17034000,-188678000,-215964000,-215964000,-215964000,-21659000,561815000,-73315000,0.83578,-0.51391,-0.44055,-0.23235,-0.02014,1.52603,0.32145,10.53463,0.23556,-1.00902,-1.00902,2.29035,4.34274,-1.53979,-0.0229,-0.03495,-25.554,-9.87588
"25","2021_Q1",39.0637704918033,"Up",116821000,-20241000,96580000,-150621000,-11628000,-33893000,-105100000,-54041000,-14399000,-14399000,-68440000,-68440000,11655000,-56785000,-56785000,-56785000,-56785000,11891000,11891000,23807000,83173000,11878000,70064000,1231000,118871000,815027000,1418926000,7.9e+07,272597000,1061455000,2233953000,2352824000,271636000,36400000,446000,234790000,271636000,596388000,1331568000,13658000,1317910000,1927956000,2199592000,531796000,226491000,-9085000,153232000,153232000,2352824000,-56785000,33893000,17190000,-11768000,-17470000,-10185000,-9590000,3.4e+07,27000,-3417000,30610000,3550000,3550000,3550000,-20148000,596388000,-53756000,0.82673,-0.4626,-0.48609,-0.37058,-0.02413,0.94666,0.43761,14.35465,0.25348,-1.19186,-1.19186,2.45195,3.21618,-1.12828,-0.02728,-0.02583,-29.01017,-10.81581
"26","2021_Q2",43.2857142857143,"Up",265340000,-39771000,225569000,-188573000,-17091000,-35099000,-136383000,36996000,-14820000,-14820000,22176000,22176000,-2541000,19635000,19635000,19635000,19635000,20154000,20154000,22812000,68477000,11681000,55224000,1572000,111443000,792296000,1414236000,7.9e+07,272552000,1055233000,2206532000,2317975000,279220000,39418000,1291000,238511000,279220000,537102000,1323011000,10910000,1312101000,1860113000,2139333000,536375000,246126000,-7653000,178642000,178642000,2317975000,19635000,35099000,1113000,21349000,77196000,-10305000,-10305000,-6e+07,1608000,-236000,-58628000,8262999.99999997,8262999.99999997,8262999.99999997,72095000,537102000,85680000,0.85011,0.13943,0.074,0.10991,0.00847,4.36364,0.39912,11.97553,0.23171,0.45086,0.45086,6.09278,4.10201,1.9674,0.00963,0.04203,7.17037,13.97308
"27","2021_Q3",36.17125,"Down",377638000,-57711000,319927000,-240760000,-18470000,-34875000,-187415000,79167000,-13728000,-13728000,65439000,65439000,-12669000,52770000,52770000,52770000,52770000,107801000,107801000,23811000,64343000,10673000,51639000,2031000,195955000,785227000,1403323000,7.9e+07,272570000,1044440000,2188550000,2384505000,308933000,34227000,2644000,272062000,308933000,537816000,1307881000,11405000,1296476000,1845697000,2154630000,540961000,298896000,-6296000,229875000,229875000,2384505000,52770000,34875000,6480000,26767000,120892000,-27164000,-27164000,-1.49011611938477e-08,1399000,-7480000,-6081000,87647000,87647000,87647000,114042000,537816000,126314000,0.84718,0.20964,0.13974,0.22956,0.02213,2.39367,0.6343,9.37305,0.22555,1.10082,1.07098,7.87777,4.79534,2.63499,0.02542,0.06086,3.77067,5.43175
"28","2021_Q4",37.0784375,"Up",317976000,-52613000,265363000,-240894000,-22104000,-34381000,-184409000,24469000,-13423000,-13423000,11046000,8216999.99999999,2368000,10585000,10585000,10585000,10585000,27005000,27005000,37256000,82123000,12376000,67646000,2101000,146384000,779518000,1424814000,7.9e+07,272561000,1063786000,2204332000,2350716000,290678000,39295000,435000,250948000,290678000,484677000,1328802000,12606000,1316196000,1813479000,2104157000,545782000,309481000,-4959000,246559000,246559000,2350716000,10585000,34381000,8525000,-53081000,410000,-25540000,-25540000,-5.5e+07,1043000,-1709000,-55666000,-80796000,-80796000,-80796000,58850000,484677000,-22139000,0.83454,0.07695,0.03329,0.04293,0.0045,-2.09154,0.5036,8.53409,0.20618,0.22081,0.21482,6.63318,5.14338,-0.46183,0.00514,-0.01075,7.77692,18.70416
"29","2022_Q1",39.9938709677419,"Up",343102000,-54876000,288226000,-241677000,-17836000,-33974000,-189867000,46549000,-11939000,-11939000,34610000,31822000,-6172000,25650000,25650000,25650000,25650000,25910000,25910000,40319000,79342000,11316000,64921000,3105000,145571000,778597000,1421622000,7.9e+07,272597000,1060064000,2200219000,2345790000,311515000,62493000,529000,248493000,311515000,431395000,1327420000,12012000,1315408000,1758815000,2070330000,549392000,335131000,-3628000,275460000,275460000,2345790000,25650000,33974000,8228000,16778000,84630000,-28459000,-28459000,-5.5e+07,1074000,-3340000,-57266000,-1095000,-1095000,-1095000,80523000,431395000,75014000,0.84006,0.13567,0.07476,0.09312,0.01093,2.92452,0.4673,7.5159,0.1839,0.58898,0.58898,7.87837,6.32516,1.72248,0.01261,0.03688,5.03564,8.71093
"30","2022_Q2",40.098064516129,"Up",451101000,-70021000,381080000,-282368000,-28297000,-33288000,-220783000,98712000,-11391000,-11391000,87321000,87321000,-20337000,66984000,66984000,66984000,66984000,139081000,139081000,41601000,36458000,16403000,16697000,3358000,217140000,787750000,1438210000,7.9e+07,272604000,1077403000,2225960000,2443100000,313078000,54528000,3630000,254920000,313078000,431966000,1346314000,15446000,1330868000,1778280000,2091358000,558595000,402115000,-2299000,351742000,351742000,2443100000,66984000,33288000,10328000,37994000,148594000,-39837000,-39837000,0,5648000,-1234000,4414000,113171000,113171000,113171000,1.32e+08,431966000,150494000,0.84478,0.21882,0.14849,0.19044,0.02742,2.24672,0.69357,5.94572,0.17681,1.5381,1.5381,10.35826,8.07676,3.45567,0.03145,0.07065,2.21883,2.96707
