"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",23.38109375,"Up",132100000,-78016000,54084000,-41446000,-37376000,-4070000,12638000,425000,-453000,878000,13063000,13063000,-4126000,8937000,8937000,8937000,8937000,40392000,40392000,109176000,109176000,85192000,13264000,6491000,248024000,38480000,62001000,20907000,14325000,15495000,11274000,100481000,348505000,62780000,41857000,4168000,16755000,17211000,17211000,132533000,27550000,11785000,11785000,4831000,10934000,35607000,168140000,65315000,-733000,102001000,13782000,180365000,180365000,348505000,8937000,2606000,1267000,-36579000,-23769000,-3060000,-3060000,0,0,21135000,-5694000,-5694000,-1998000,-7692000,15244000,60599000,-20269000,0.40942,0.09567,0.06765,0.04955,0.02564,-2.26799,1.87141,0.93222,0.17388,0.9365,0.9365,13.84261,18.90024,-2.12397,0.03328,-0.07549,1.32557,1.59891
"12","2013_Q4",24.70046875,"Up",129772000,-75435000,54337000,-38204000,-34214000,-3990000,16133000,-623000,-172000,-451000,15510000,15510000,-1856000,13654000,13654000,13654000,13654000,41678000,41678000,75894000,75894000,75210000,10737000,5732000,203519000,41021000,62149000,20938000,14216000,15586000,11409000,103170000,306689000,50323000,28831000,2521000,18971000,16863000,16863000,76733000,27395000,11339000,11339000,4891000,11165000,35312000,112045000,65927000,-733000,115655000,13795000,194644000,194644000,306689000,13654000,2356000,2155000,30796000,48961000,-4851000,-4851000,44000,0,-43090000,1020000,1020000,266000,1286000,18489000,17464000,46290000,0.41871,0.12432,0.10522,0.07015,0.04452,3.39021999999998,2.6523,0.57564,0.05694,1.42959,1.42959,13.58727,20.37944,4.84661,0.05701,0.19328,-1.30964,-1.5009
"13","2014_Q1",22.4170491803279,"Down",77315000,-48501000,28814000,-33520000,-29859000,-3661000,-4706000,183000,-151000,334000,-4523000,-4523000,1012000,-3511000,-3511000,-3511000,-3511000,55694000,55694000,44104000,44104000,76363000,12411000,4542000,188572000,43394000,56384000,21053000,15068000,8039000,12224000,99778000,288350000,50682000,26466000,1300000,22916000,12151000,12151000,63372000,19516000,6346000,6346000,1114000,12056000,27310000,90682000,66873000,-715000,112144000,19366000,197668000,197668000,288350000,-3511000,2451000,1659000,26946000,27545000,-5395000,-5395000,582000,0,-8889000,13261000,13261000,755000,14016000,-2255000,8333000,18284000,0.37268,-0.06087,-0.04541,-0.01776,-0.01218,-5.20763,2.97564,0.45876,0.0289,-0.3673,-0.3673,8.08819,20.67873,1.91275,-0.01557,0.08108,21.00266,10.06396
"14","2014_Q2",21.6690476190476,"Down",79100000,-49171000,29929000,-32837000,-28990000,-3847000,-2908000,-11999.9999999999,-171000,159000,-2920000,-2920000,727000,-2193000,-2193000,-2193000,-2193000,45944000,45944000,62982000,62982000,87653000,14616000,6018000,211195000,44443000,57248000,21036000,14987000,7955000,13270000,101691000,312886000,47404000,30163000,994000,16247000,12511000,12511000,60385000,20518000,6245000,6245000,1112000,13161000,58478000,118863000,66309000,-356000,108476000,19594000,194023000,194023000,312886000,-2193000,2389000,-352000,-35252000,-35408000,-3355000,-3355000,-6e+05,-638000,28742000,-10021000,-10021000,271000,-9750000,-518999.999999998,38430000,-39853000,0.37837,-0.03676,-0.02772,-0.0113,-0.00701,18.17282,3.49747,0.61262,0.12282,-0.22051,-0.22051,7.95375,19.5096,-4.00734,-0.00576000000000001,-0.15754,14.47784,2.58391
"15","2014_Q3",23.095625,"Up",124273000,-75427000,48846000,-37300000,-33451000,-3849000,11546000,-332000,-308000,-24000,11214000,11214000,-3810000,7404000,7404000,7404000,7404000,48653000,48653000,98484000,98484000,85089000,15182000,6384000,247408000,45198000,55923000,21137000,14748000,7679000,12359000,101121000,348529000,59931000,40689000,4215000,15027000,16236000,16236000,76735000,20793000,6110000,6110000,1125000,13558000,70420000,147155000,66722000,-308000,115141000,19819000,201374000,201374000,348529000,7404000,2721000,621000,-17283000,-6537000,-1973000,-1973000,30000,0,11040000,2530000,2530000,179000,2709000,14267000,50195000,-1179000,0.39305,0.09291,0.05958,0.03677,0.02124,-0.15924,3.22419,0.73075,0.14402,0.7981,0.7981,13.39582,21.7068,-0.12709,0.02989,-0.00433,0.10808,0.13355
"16","2014_Q4",26.76671875,"Up",137133000,-81314000,55819000,-38012000,-33752000,-4260000,17807000,773000,-179000,952000,18580000,10105000,-5407000,4698000,4698000,4698000,4698000,52139000,52139000,80036000,80036000,71496000,12319000,5245000,215990000,45838000,46903000,14697000,12579000,6599000,13028000,92741000,308731000,55231000,34561000,4527000,16143000,16761000,16761000,72357000,21051000,5601000,5601000,1192000,14258000,28602000,100959000,67445000,-308000,119099000,21536000,207772000,207772000,308731000,4698000,2687000,11900000,29473000,48758000,-3122000,-3122000,121000,0,-42895000,2741000,2741000,745000,3486000,20494000,7916000,52252000,0.40704,0.12985,0.03426,0.02261,0.01522,11.12218,2.98506,0.48591,0.02564,0.48669,0.48669,14.20626,21.52409,5.41303,0.02297,0.22072,-2.15785,-2.48346
"17","2015_Q1",28.5050819672131,"Up",84904000,-50885000,34019000,-35298000,-30787000,-4511000,-1279000,302000,-45000,347000,-977000,-977000,191000,-786000,-786000,-786000,-786000,70793000,70793000,44452000,44452000,66341000,15964000,7604000,197550000,46100000,44976000,14416000,12518000,5353000,12689000,91076000,288626000,47587000,27896000,833000,18858000,12285000,12285000,60232000,22505000,7804000,7804000,1133000,13568000,29936000,90168000,68382000,-275000,117573000,12778000,198458000,198458000,288626000,-786000,2946000,2303000,21942000,26405000,-3437000,-3437000,482000,33000,-385000,22583000,22583000,-3929000,18654000,1667000,7791000,19981000,0.40068,-0.01506,-0.00926,-0.00396,-0.00272,-25.42112,3.27982,0.45434,0.02699,-0.08135,-0.08132,8.78741,20.54005,2.068,-2e-04,0.08735,-37.79364,49.2588
"18","2015_Q2",25.6474603174603,"Down",70822000,-43488000,27334000,-34665000,-30410000,-4255000,-7331000,407000,-165000,572000,-6924000,-6924000,2730000,-4194000,-4194000,-4194000,-4194000,57553000,57553000,57254000,57254000,82429000,10692000,10692000,207928000,45130000,52863000,14295000,12297000,1.3e+07,13271000,97993000,305921000,48008000,33239000,343000,14426000,12862000,12862000,61224000,23117000,8626000,8626000,1327000,13164000,55199000,116423000,68328000,-776000,112637000,9309000,189498000,189498000,305921000,-4194000,2813000,1174000,-31943000,-32150000,-1753000,-1753000,-1065000,-501000,22839000,-11064000,-11064000,-2176000,-13240000,-4518000,32436000,-40944000,0.38595,-0.10351,-0.05922,-0.02213,-0.01371,9.76252000000001,3.39618,0.61438,0.10603,-0.43322,-0.41978,7.31557,19.57422,-4.22932,-0.01409,-0.16708,5.55932,3.42614
"19","2015_Q3",21.19515625,"Down",133111000,-81175000,51936000,-44313000,-40049000,-4264000,7623000,-803000,-308000,-495000,6820000,6820000,-3174000,3646000,3646000,3646000,3646000,48906000,48906000,110817000,110817000,79752000,5764000,5764000,245239000,44741000,52871000,14309000,12088000,12808000,13666000,97612000,342851000,58217000,40923000,1203000,16091000,17764000,17764000,76340000,23135000,8388000,8388000,1221000,13526000,78468000,154808000,69174000,-776000,115541000,4104000,188043000,188043000,342851000,3646000,2858000,286000,-32482000,-25692000,-2410000,-2410000,389000,0,22903000,-5199000,-5199000,-3448000,-8647000,10481000,55692000,-21237000,0.39017,0.05727,0.02739,0.01939,0.01063,-5.82474,3.21246,0.82326,0.16244,0.37491,0.38725,13.68751,19.33604,-2.18375,0.01644,-0.07958,0.64746,0.8902
"20","2015_Q4",21.1265625,"Down",140883000,-82131000,58752000,-42331000,-38417000,-3914000,16421000,-320000,-205000,-115000,16101000,16101000,-6104000,9997000,9997000,9997000,9997000,53916000,53916000,79663000,79663000,78318000,3967000,3967000,215864000,44430000,57552000,14362000,11876000,17553000,13761000,101982000,317846000,65197000,38844000,7086000,19267000,19065000,19065000,84626000,27341000,8252000,8252000,5477000,13612000,34497000,119123000,69696000,-1053000,124795000,5285000,198723000,198723000,317846000,9997000,2997000,-262000,43061000,55793000,-2429000,-2429000,-75000.0000000002,-277000,-48989000,4375000,4375000,635000,5010000,19418000,7520000,66154000,0.41703,0.11656,0.07096,0.05031,0.03145,6.61739,2.5508,0.59944,0.02366,1.02744,1.02649,14.47924,20.42374,6.79897,0.04597,0.28321,-2.38933,-2.82541
"21","2016_Q1",20.2332786885246,"Down",85673000,-51962000,33711000,-32571000,-28521000,-4050000,1140000,-1384000,-123000,-1261000,-244000,-244000,1411000,1167000,1167000,1167000,1167000,69159000,69159000,44798000,44798000,79919000,4845000,4845000,198721000,45287000,55196000,14292000,11688000,15867000,13349000,100483000,299204000,57399000,28455000,3837000,25107000,11787000,11787000,69554000,24620000,10118000,10118000,1182000,13320000,31682000,101236000,70047000,-889000,125173000,3637000,197968000,197968000,299204000,1167000,3034000,1637000,14267000,20105000,-3802000,-3802000,88000,-87000,-742000,15561000,15561000,-318000,15243000,4174000,7430000,13228000,0.39348,0.01331,0.01362,0.00589,0.0039,11.33505,2.85708,0.51138,0.02483,0.11942,0.11953,8.76719,20.2587,1.35366,0.0083,0.05751,-14.78893,-54.14825
"22","2016_Q2",22.4240625,"Up",85298000,-51999000,33299000,-34199000,-30153000,-4046000,-9e+05,381000,-182000,563000,-519000,-519000,-14999.9999999991,-534000,-534000,-534000,-534000,49356000,49356000,66057000,66057000,93898000,5324000,5324000,214635000,45296000,61543000,19624000,11470000,16457000,13992000,106839000,321474000,58521000,35055000,2953000,20513000,11181000,11181000,70068000,25094000,9979000,9979000,1161000,13954000,56324000,126392000,70253000,-973000,123846000,1956000,195082000,195082000,321474000,-534000,2835000,-119000,-35739000,-33557000,-2547000,-7797000,-379000,-476000,22682000,-18672000,-18672000,-1131000,-19803000,1935000,31596000,-36336000,0.39038,-0.01055,-0.00626000000000001,-0.00274,-0.00166,68.04494,3.06324,0.64789,0.09828,-0.05452,-0.0535,8.70921,19.91852,-3.71003,0.00102,-0.14432,-9.17829,19.73333
"23","2016_Q3",28.99515625,"Up",134192000,-79197000,54995000,-39857000,-35667000,-4190000,15138000,-469000,-287000,-182000,14669000,14669000,-5348000,9321000,9321000,9321000,9321000,50938000,50938000,102786000,102786000,89769000,4573000,4573000,248066000,45862000,60861000,16672000,14435000,16389000,13365000,106723000,354789000,71908000,40966000,7618000,23324000,13847000,13847000,86128000,24300000,9901000,9901000,1266000,13133000,61472000,147600000,70586000,-872000,132374000,5101000,207189000,207189000,354789000,9321000,2815000,825000,-14899000,-1938000,-3061000,-3061000,-75000,0,5101000,102000,102000,1480000,1582000,17953000,37545000,5341000,0.40982,0.11281,0.06946,0.04499,0.02627,0.57301,2.8802,0.71239,0.10582,0.94649,0.96481,13.62632,21.03869,0.54234,0.03759,0.01985,-0.746,-0.88473
"24","2016_Q4",36.1638095238095,"Up",139300000,-80017000,59283000,-39503000,-34380000,-5123000,19780000,282000,-89000,371000,20062000,13865000,-7024000,6841000,6841000,6841000,6841000,75602000,75602000,70658000,70658000,71127000,3683000,3683000,221070000,48981000,56110000,11508000,14220000,16392000,13990000,105091000,326161000,65908000,33715000,7057000,25136000,14881000,14881000,81167000,24826000,9744000,9744000,1488000,13594000,31895000,113062000,71252000,-872000,138421000,4298000,213099000,213099000,326161000,6841000,3110000,7078000,45399000,62428000,-2994000,-6646000,224000,0,-30661000,25121000,25121000,-457000,24664000,22890000,7447000,72319000,0.42558,0.142,0.04911,0.0321,0.02097,10.57141,2.72364,0.53056,0.02283,0.69431,0.69374,14.13783,21.62783,7.33979,0.03111,0.29473,-2.9775,-3.44565000000001
"25","2017_Q1",32.851935483871,"Down",74937000,-46052000,28885000,-33812000,-28741000,-5071000,-4927000,567000,-88000,655000,-4360000,-4360000,2233000,-2127000,-2127000,-2127000,-2127000,87294000,87294000,41522000,41522000,68397000,4755000,4755000,201968000,48998000,59313000,11196000,14462000,19063000,14592000,108311000,310279000,55008000,24521000,1691000,28796000,12265000,12265000,67654000,28121000,12699000,12699000,1216000,14206000,35129000,102783000,71629000,-1892000,135405000,2354000,207496000,207496000,310279000,-2127000,3073000,1382000,14173000,16501000,-2987000,-3237000,-1005000,-1030000,-1858000,11406000,11406000,286000,11692000,-1854000,7389000,7099000,0.38546,-0.06575,-0.02838,-0.01025,-0.00686,-3.33756,2.98531,0.49535,0.02381,-0.2157,-0.21448,7.59933,21.04208,0.71991,-0.00549,0.02921,43.09871,16.21778
"26","2017_Q2",39.2742857142857,"Up",93729000,-57164000,36565000,-36093000,-31383000,-4710000,472000,-517000,-463000,-53999.9999999999,-45000,-45000,4101000,4056000,4056000,4056000,4056000,51860000,51860000,72349000,72349000,76037000,4819000,4819000,205065000,48544000,62858000,11170000,14060000,22745000,14883000,111402000,316467000,56156000,32033000,1055000,23068000,12159000,12159000,68315000,28315000,12527000,12527000,1147000,14641000,41316000,109631000,72058000,-2488000,138571000,-1305000,206836000,206836000,316467000,4056000,3123000,-3477000,-38028000,-34326000,-2666000,-2666000,-664000,-664000,4077000,-32915000,-32915000,-2519000,-35434000,3595000,13001000,-41200000,0.39011,0.00503999999999998,0.04327,0.01961,0.01282,-10.15779,3.00176,0.53004,0.04108,0.41199,0.41078,9.52047,21.00924,-4.18487,0.01993,-0.16603,-10.80918,-82.32839
"27","2017_Q3",55.0907936507936,"Up",149807000,-84894000,64913000,-44455000,-39797000,-4658000,20458000,1379000,-115000,1494000,21837000,21837000,-7878000,13959000,13959000,13959000,13959000,29360000,29360000,122386000,122386000,74858000,4007000,4007000,230611000,48130000,63561000,11182000,13950000,22583000,15846000,111691000,342302000,71892000,39069000,4952000,27871000,14883000,14883000,86775000,29203000,12409000,12409000,1178000,15616000,34203000,120978000,72224000,-2197000,151641000,-344000,221324000,221324000,342302000,13959000,3233000,521000,-29597000,-11884000,-2528000,-2528000,1000,1000,-8893000,-23305000,-23305000,805000,-22500000,23691000,5e+06,-556000,0.43331,0.13656,0.09318,0.06307,0.04078,-0.03983,2.65757,0.54661,0.01461,1.41043,1.40858,15.13661,22.36274,-0.05618,0.05811,-0.00218,-1.02824,-1.19073
"28","2017_Q4",66.2003174603175,"Up",155274000,-84644000,70630000,-45893000,-41022000,-4871000,24737000,823000,-25000,848000,25560000,25560000,-9007000,16553000,16553000,16553000,16553000,93741000,53741000,79292000,79292000,68239000,2495000,2495000,243767000,48239000,62951000,11201000,13727000,22291000,15732000,111190000,354957000,71749000,33889000,8647000,29213000,15140000,15140000,86889000,28144000,11355000,11355000,1232000,15557000,28144000,115033000,72646000,-2197000,167304000,2171000,239924000,239924000,354957000,16553000,3321000,17000.0000000005,52205000,72096000,-2748000,-42748000,8.73114913702011e-11,5.82076609134674e-11,-5890000,23458000,23458000,923000,24381000,28058000,0,86522000,0.45487,0.15931,0.10661,0.06899,0.04663,5.22697,2.8055,0.47946,-1.73472347597681e-18,1.67202,1.6673,15.68424,24.23475,8.7396,0.06507,0.32276,-3.34097,-3.78951000000006
"29","2018_Q1",60.5701639344262,"Down",91755000,-52923000,38832000,-38908000,-33981000,-4927000,-76000,934000,162000,772000,858000,858000,-269000,589000,589000,589000,589000,110417000,63810000,46814000,46814000,79148000,4470000,4470000,240849000,48938000,63872000,11238000,13476000,22632000,16526000,112810000,353659000,70475000,31686000,5434000,33355000,13602000,13602000,84077000,26578000,8844000,8844000,1845000,15889000,26578000,110655000,73304000,-2198000,166905000,4993000,243004000,243004000,353659000,589000,3403000,3352000,13120000,20464000,-3459000,-10066000,47000,0,-845000,9553000,9553000,516000,10069000,3327000,0,13257000,0.42321,-0.00083,0.00642,0.00242,0.00167,22.50764,2.86462,0.45536,0,0.05946,0.05909,9.26257,24.53099,1.33828,0.00549,0.04918,-33.18816,1452.85526
