"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",97.9368253968254,"Up",3.486e+09,-1.902e+09,1.584e+09,-1.094e+09,-8.75e+08,-1.09e+08,-1.1e+08,4.9e+08,-2.2e+07,-2.1e+07,-1e+06,4.68e+08,-2.2e+07,4.46e+08,-1.1e+08,3.36e+08,3.42e+08,-5e+06,3.37e+08,3.37e+08,1.389e+09,1.349e+09,4e+07,3.057e+09,1.727e+09,4.73e+08,4.39e+08,6.646e+09,2.806e+09,2.806e+09,1.75e+08,6.527e+09,2.08e+09,3.72e+09,5.88e+08,9.508e+09,1.6154e+10,3.573e+09,6.04e+08,9.6e+07,9.6e+07,4.273e+09,3.817e+09,2.778e+09,1.439e+09,7.12e+08,7.27e+08,4e+08,9.39e+08,6.595e+09,1.0868e+10,1.68e+09,-1.0626e+10,1.6214e+10,-2.076e+09,5.192e+09,9.4e+07,5.286e+09,1.6154e+10,3.36e+08,3.42e+08,1.1e+08,3.4e+07,-4.81e+08,9e+06,-6.3e+07,-6.1e+07,-1.3e+07,-1.38e+08,-1.03e+08,-4.6e+07,-1.54e+08,-6.9e+07,-3.72e+08,-5.01e+08,-5.01e+08,3e+07,-4.71e+08,6e+08,4.421e+09,1.66e+08,0.45439,0.14056,0.09667,0.06375,0.02086,0.49258,1.55535,2.056,0.27368,1.30823,1.29865,13.53261,20.15528,0.64441,0.39984,7,0.03524,0.0133,0.30564,5.05333,6.18776
"30","2017_Q3",96.777619047619,"Down",3.804e+09,-2.083e+09,1.721e+09,-1.101e+09,-8.76e+08,-1.12e+08,-1.13e+08,6.2e+08,3.9e+07,-2.2e+07,6.1e+07,6.59e+08,0,6.59e+08,-1.57e+08,5.02e+08,5.01e+08,-5e+06,4.96e+08,4.96e+08,1.617e+09,1.569e+09,4.8e+07,3.191e+09,1.766e+09,5.71e+08,3.94e+08,7.145e+09,2.71e+09,2.71e+09,2.56e+08,6.866e+09,2.118e+09,3.845e+09,5.82e+08,9.832e+09,1.6977e+10,3.653e+09,6.19e+08,1.69e+08,1.69e+08,4.441e+09,3.998e+09,2.803e+09,1.503e+09,7.48e+08,7.55e+08,3.9e+08,9.1e+08,6.801e+09,1.1242e+10,1.692e+09,-1.0616e+10,1.6613e+10,-2.059e+09,5.63e+09,1.05e+08,5.735e+09,1.6977e+10,5.02e+08,5.01e+08,1.13e+08,-2.8e+07,-1.54e+08,4.37e+08,-7.2e+07,-4.9e+07,0,-1.23e+08,-1.02e+08,-2.6e+07,1.1e+07,-1e+06,-1.18e+08,1.96e+08,1.96e+08,2.4e+07,2.2e+08,7.33e+08,4.617e+09,6.64e+08,0.45242,0.16299,0.13039,0.08649,0.02922,1.33871,1.60887,1.96024,0.27196,1.92921,1.91506,14.7958,21.89809,2.58265,0.39673,6,0.04546,0.05048,0.20565,4.09277,4.83871
"31","2017_Q4",105.242222222222,"Up",3.776e+09,-2.104e+09,1.672e+09,-1.125e+09,-8.94e+08,-1.14e+08,-1.17e+08,5.47e+08,-2.4e+07,-2.2e+07,-2e+06,5.23e+08,0,5.23e+08,-1.24e+08,3.99e+08,6.16e+08,-6e+06,6.1e+08,6.1e+08,2.328e+09,2.287e+09,4.1e+07,3.155e+09,1.805e+09,3.5e+08,3.5e+08,7.638e+09,2.73e+09,2.73e+09,2.61e+08,6.986e+09,2.099e+09,3.881e+09,5.85e+08,9.977e+09,1.7615e+10,3.895e+09,6.16e+08,1.07e+08,1.07e+08,4.618e+09,4.089e+09,2.898e+09,1.525e+09,7.58e+08,7.67e+08,4.45e+08,9.28e+08,6.987e+09,1.1605e+10,1.714e+09,-1.0855e+10,1.7106e+10,-2.063e+09,5.902e+09,1.08e+08,6.01e+09,1.7615e+10,3.99e+08,6.16e+08,1.17e+08,1.3e+07,5.7e+07,5.86e+08,-7.2e+07,5.34e+08,1.6e+07,4.77e+08,-1.16e+08,-2.4e+07,-2.25e+08,4e+06,-3.61e+08,7.02e+08,7.02e+08,1.6e+07,7.18e+08,6.64e+08,4.705e+09,7.73e+08,0.4428,0.14486,0.16155,0.1015,0.03463,1.26721,1.65396,1.93095,0.2671,2.3791,2.36251,14.72699,23.01872,3.01482,0.45242,6,0.05333,0.05678,0.19016,3.57982,4.34552
"32","2018_Q1",105.756229508197,"Up",3.682e+09,-2.12e+09,1.562e+09,-1.145e+09,-9.09e+08,-1.16e+08,-1.2e+08,4.17e+08,-2e+06,-2e+07,1.8e+07,4.15e+08,-3.8e+07,3.77e+08,-2.24e+08,1.53e+08,1.56e+08,-5e+06,1.51e+08,1.51e+08,1.491e+09,1.436e+09,5.5e+07,2.903e+09,1.73e+09,3.53e+08,3.53e+08,6.477e+09,2.824e+09,2.824e+09,2.68e+08,6.969e+09,2.045e+09,3.942e+09,6.77e+08,1.0061e+10,1.6538e+10,3.781e+09,1.2e+07,1.02e+08,1.02e+08,3.895e+09,4.134e+09,2.837e+09,1.428e+09,7.29e+08,6.99e+08,4.42e+08,9.67e+08,6.971e+09,1.0866e+10,1.725e+09,-1.1251e+10,1.714e+10,-2.057e+09,5.557e+09,1.15e+08,5.672e+09,1.6538e+10,1.53e+08,1.56e+08,1.2e+08,2.8e+07,2.32e+08,5.36e+08,-1.53e+08,-1.56e+08,2.6e+07,-2.83e+08,-1.13e+08,-5.92e+08,-3.93e+08,-5e+06,-1.103e+09,-8.5e+08,-8.5e+08,-1e+06,-8.51e+08,5.37e+08,4.146e+09,8.4e+08,0.42423,0.11325,0.04101,0.02662,0.00913,5.56291,1.6629,1.91573,0.2507,0.59613,0.59332,14.53612,21.93841,3.31623,0.44611,6,0.02086,0.06638,0.74834,4.94413,6.36691
"33","2018_Q2",97.386875,"Down",3.781e+09,-2.181e+09,1.6e+09,-1.141e+09,-9.06e+08,-1.12e+08,-1.23e+08,4.59e+08,-3.8e+07,-2.1e+07,-1.7e+07,4.21e+08,0,4.21e+08,-8.7e+07,3.34e+08,3.4e+08,-6e+06,3.34e+08,3.34e+08,1.404e+09,1.346e+09,5.8e+07,3.343e+09,1.963e+09,4e+08,4e+08,7.11e+09,2.862e+09,2.862e+09,2.7e+08,7.302e+09,2.132e+09,4.1e+09,7.19e+08,1.0434e+10,1.7544e+10,3.924e+09,1.9e+07,8.7e+07,8.7e+07,4.03e+09,5.199e+09,2.848e+09,1.392e+09,6.94e+08,6.98e+08,4.71e+08,9.85e+08,8.047e+09,1.2077e+10,1.73e+09,-1.1843e+10,1.7464e+10,-2.005e+09,5.346e+09,1.21e+08,5.467e+09,1.7544e+10,3.34e+08,3.4e+08,1.23e+08,-1.8e+07,-6.67e+08,-2.28e+08,-7.5e+07,-9.6e+07,-7e+06,-1.78e+08,-1.12e+08,6e+06,-5.91e+08,9.92e+08,2.95e+08,-1.11e+08,-1.11e+08,2.1e+07,-9e+07,5.82e+08,5.218e+09,-7.3e+07,0.42317,0.1214,0.08834,0.06109,0.01904,-0.21856,1.76427,2.20907,0.29742,1.33707,1.32856,15.13611,21.40112,-0.29223,0.44836,4,0.03296,-0.00539,0.33533,6.55326,8.30937
"34","2018_Q3",100.681111111111,"Up",4.131e+09,-2.379e+09,1.752e+09,-1.184e+09,-9.45e+08,-1.14e+08,-1.25e+08,5.68e+08,-6000000.00000001,-2.4e+07,1.8e+07,5.62e+08,-8.3e+07,4.79e+08,-1.04e+08,3.75e+08,3.75e+08,-4e+06,3.71e+08,3.71e+08,1.083e+09,1.02e+09,6.3e+07,3.438e+09,1.956e+09,4.02e+08,4.02e+08,6.879e+09,2.738e+09,2.738e+09,2.58e+08,6.919e+09,1.986e+09,3.92e+09,7.23e+08,9.915e+09,1.6794e+10,3.893e+09,2.2e+07,1.32e+08,1.32e+08,4.047e+09,5.048e+09,2.716e+09,1.362e+09,6.74e+08,6.88e+08,4.25e+08,9.29e+08,7.764e+09,1.1811e+10,1.738e+09,-1.2304e+10,1.7725e+10,-2.275e+09,4.884e+09,9.9e+07,4.983e+09,1.6794e+10,3.75e+08,3.75e+08,1.25e+08,5.5e+07,-1.96e+08,3.59e+08,-4.3e+07,-2000000.00000001,6e+06,-3.9e+07,-1.1e+08,1000000.00000006,-4.62e+08,-2.9e+07,-6e+08,-2.8e+08,-2.8e+08,-4.6e+07,-3.26e+08,6.93e+08,5.07e+09,5.58e+08,0.42411,0.1375,0.08981,0.07445,0.02209,1.50404,1.69978,2.37026,0.30189,1.5149,1.50568,16.86811,19.94283,2.27848,0.44916,5,0.03767,0.0437,0.2965,5.75325,7.01937
"35","2018_Q4",96.0906349206349,"Down",3.817e+09,-2.253e+09,1.564e+09,-1.099e+09,-8.67e+08,-1.1e+08,-1.22e+08,4.65e+08,-2.6e+07,-2.5e+07,-1e+06,4.39e+08,1.2e+07,4.51e+08,-7.9e+07,3.72e+08,3.82e+08,-4e+06,3.78e+08,3.78e+08,1.16e+09,1.103e+09,5.7e+07,3.217e+09,1.962e+09,4.02e+08,4.02e+08,6.741e+09,2.738e+09,2.738e+09,2.66e+08,6.973e+09,2.004e+09,3.939e+09,7.24e+08,9.977e+09,1.6718e+10,3.806e+09,1.5e+07,1.12e+08,1.12e+08,3.933e+09,5.023e+09,2.684e+09,1.311e+09,6.26e+08,6.85e+08,4.6e+08,9.13e+08,7.707e+09,1.164e+10,1.741e+09,-1.2551e+10,1.7987e+10,-2.197e+09,4.98e+09,9.8e+07,5.078e+09,1.6718e+10,3.72e+08,3.82e+08,1.22e+08,-1.01e+08,1.63e+08,5.36e+08,-1.08e+08,0,1.4e+07,-9.4e+07,-1.16e+08,-8e+06,-2.46e+08,4999999.99999988,-3.65e+08,7.7e+07,7.7e+07,6e+06,8.3e+07,5.87e+08,5.038e+09,7.21e+08,0.40975,0.12182,0.09903,0.07444,0.02261,1.90741,1.71396,2.29224,0.30135,1.56069,1.55172,15.7597,20.56152,2.97688,0.47894,6,0.03859,0.05633,0.30688,6.60647,8.33978
"36","2019_Q1",99.7885245901639,"Up",3.645e+09,-2.188e+09,1.457e+09,-1.087e+09,-8.55e+08,-1.05e+08,-1.27e+08,3.7e+08,-3.3e+07,-2.5e+07,-8e+06,3.37e+08,5e+06,3.42e+08,-8.3e+07,2.59e+08,2.61e+08,-3e+06,2.58e+08,2.58e+08,9.63e+08,9.02e+08,6.1e+07,2.845e+09,1.783e+09,3.7e+08,3.7e+08,5.961e+09,2.805e+09,2.805e+09,2.51e+08,6.998e+09,1.972e+09,4.07e+09,7.27e+08,1.0054e+10,1.6015e+10,3.623e+09,6.51e+08,9.9e+07,9.9e+07,4.373e+09,4.365e+09,2.545e+09,1.274e+09,6.45e+08,6.29e+08,4.29e+08,8.42e+08,6.91e+09,1.1283e+10,1.757e+09,-1.2958e+10,1.8131e+10,-2.3e+09,4.63e+09,1.02e+08,4.732e+09,1.6015e+10,2.59e+08,2.61e+08,1.27e+08,1.2e+08,2.94e+08,8e+08,-1.58e+08,-2.8e+08,-1.5e+07,-4.53e+08,-1.15e+08,9.84e+08,-4.07e+08,-9.97e+08,-5.35e+08,-1.88e+08,-1.88e+08,-1.3e+07,-2.01e+08,4.97e+08,5.016e+09,7.16e+08,0.39973,0.10151,0.07078,0.05452,0.01611,2.77519,1.36314,2.3844,0.31321,1.08085,1.0741,15.27021,19.39673,2.99958,0.48178,5,0.03034,0.05824,0.44574,8.15493,10.95405
"37","2019_Q2",106.681111111111,"Up",3.624e+09,-2.073e+09,1.551e+09,-1.112e+09,-8.89e+08,-1.05e+08,-1.18e+08,4.39e+08,-2.3e+07,-2.5e+07,2e+06,4.16e+08,3e+06,4.19e+08,-1.02e+08,3.17e+08,3.17e+08,-5e+06,3.12e+08,3.12e+08,8.39e+08,7.84e+08,5.5e+07,3.197e+09,1.965e+09,4.08e+08,4.08e+08,6.409e+09,2.866e+09,2.866e+09,2.61e+08,7.835e+09,2.02e+09,4.103e+09,1.47e+09,1.0962e+10,1.7371e+10,3.684e+09,6.53e+08,2.51e+08,2.51e+08,4.588e+09,5.192e+09,2.581e+09,1.269e+09,6.46e+08,6.23e+08,4.47e+08,8.65e+08,7.773e+09,1.2361e+10,1.868e+09,-1.307e+10,1.833e+10,-2.224e+09,4.904e+09,1.06e+08,5.01e+09,1.7371e+10,3.17e+08,3.17e+08,1.18e+08,1.8e+07,-5.11e+08,-6.6e+07,-4.7e+07,-5.7e+07,1.8e+07,-8.6e+07,-1.13e+08,3.08e+08,-1.68e+08,5e+06,3.2e+07,-1.2e+08,-1.2e+08,2e+06,-1.18e+08,5.57e+08,5.845e+09,1.01e+08,0.42798,0.12114,0.08609,0.06228,0.01796,0.32372,1.3969,2.46727,0.33648,1.31812,1.31092,15.31052,20.71821,0.4267,0.4774,3,0.03163,0.00752,0.36218,8.98743,11.40319
"38","2019_Q3",108.21671875,"Up",4.024e+09,-2.288e+09,1.736e+09,-1.171e+09,-9.34e+08,-1.11e+08,-1.26e+08,5.65e+08,-2.6e+07,-2.8e+07,2e+06,5.39e+08,-1.76e+08,3.63e+08,-8.6e+07,2.77e+08,2.79e+08,-7e+06,2.72e+08,2.72e+08,1.016e+09,9.63e+08,5.3e+07,3.332e+09,1.945e+09,4.14e+08,4.14e+08,6.707e+09,2.929e+09,2.929e+09,2.51e+08,8.068e+09,2.081e+09,4.312e+09,1.476e+09,1.1248e+10,1.7955e+10,3.746e+09,6.54e+08,3.06e+08,3.06e+08,4.706e+09,5.417e+09,2.645e+09,1.258e+09,6.37e+08,6.21e+08,3.82e+08,1.005e+09,8.062e+09,1.2768e+10,1.882e+09,-1.3061e+10,1.8488e+10,-2.23e+09,5.079e+09,1.08e+08,5.187e+09,1.7955e+10,2.77e+08,2.79e+08,1.26e+08,1.87e+08,-5.8e+07,5.48e+08,-8.6e+07,-3.04e+08,1.9e+07,-3.71e+08,-1.14e+08,1.43e+08,1.5e+07,-4.4e+07,0,1.77e+08,1.77e+08,2e+06,1.79e+08,6.91e+08,6.071e+09,6.33e+08,0.43141,0.14041,0.06759,0.05244,0.01515,2.32721,1.4252,2.46154,0.33812,1.14816,1.1419,16.98607,21.43943,2.67201,0.48122,5,0.02776,0.04553,0.41912,7.31548,8.9469
"39","2019_Q4",119.5815625,"Up",3.826e+09,-2.181e+09,1.645e+09,-1.127e+09,-8.87e+08,-1.07e+08,-1.33e+08,5.18e+08,-3.5e+07,-2.3e+07,-1.2e+07,4.83e+08,-2e+06,4.81e+08,-1.09e+08,3.72e+08,3.73e+08,-6e+06,3.67e+08,3.67e+08,1.49e+09,1.432e+09,5.8e+07,3.028e+09,1.86e+09,4.39e+08,4.39e+08,6.817e+09,2.862e+09,2.862e+09,2.54e+08,8.131e+09,2.083e+09,4.335e+09,1.519e+09,1.1247e+10,1.8064e+10,3.636e+09,6.39e+08,3.03e+08,3.03e+08,4.578e+09,5.473e+09,2.658e+09,1.243e+09,6.27e+08,6.16e+08,4.55e+08,9.6e+08,8.131e+09,1.2709e+10,1.894e+09,-1.3054e+10,1.8735e+10,-2.328e+09,5.247e+09,1.08e+08,5.355e+09,1.8064e+10,3.72e+08,3.73e+08,1.33e+08,-8e+06,3.04e+08,7.89e+08,-9.1e+07,-2.03e+08,3e+06,-2.91e+08,-1.2e+08,1.24e+08,1e+07,-5e+06,9e+06,5.07e+08,5.07e+08,-3.8e+07,4.69e+08,6.51e+08,6.112e+09,9.73e+08,0.42995,0.13539,0.09592,0.06853,0.02032,2.65123,1.48908,2.3733,0.33835,1.54787,1.53943,16.13665,22.1299,4.10375,0.50612,5,0.03448,0.06888,0.32698,7.09985,8.92278
"40","2020_Q1",105.216451612903,"Down",3.672e+09,-2.111e+09,1.561e+09,-1.137e+09,-8.94e+08,-1.09e+08,-1.34e+08,4.24e+08,-1.3e+07,-2.4e+07,1.1e+07,4.11e+08,-1.3e+07,3.98e+08,-9.5e+07,3.03e+08,3e+08,-8e+06,2.92e+08,2.92e+08,1.273e+09,1.216e+09,5.7e+07,2.756e+09,1.71e+09,4.31e+08,4.31e+08,6.17e+09,2.983e+09,2.983e+09,2.58e+08,8.297e+09,2.131e+09,4.47e+09,1.476e+09,1.1538e+10,1.7708e+10,3.496e+09,5.13e+08,3.66e+08,3.66e+08,4.375e+09,4.539e+09,3.391e+09,1.406e+09,7.45e+08,6.61e+08,4.52e+08,1.533e+09,7.93e+09,1.2305e+10,1.919e+09,-1.3191e+10,1.8906e+10,-2.35e+09,5.284e+09,1.19e+08,5.403e+09,1.7708e+10,3.03e+08,3e+08,1.34e+08,6.9e+07,3.03e+08,8.09e+08,-1.89e+08,-7.9e+07,7e+06,-2.61e+08,-1.21e+08,-5.4e+08,-1.21e+08,-1.7e+07,-7.99e+08,-2.51e+08,-2.51e+08,3.5e+07,-2.16e+08,5.58e+08,5.052e+09,7.67e+08,0.42511,0.11547,0.07952,0.05404,0.01649,2.62671,1.41029,2.27744,0.28529,1.23259,1.22586,15.50021,22.30477,3.23765,0.51076,8,0.02983,0.0554,0.41438,6.7724,8.91274
"41","2020_Q2",91.7771428571429,"Down",3.377e+09,-1.908e+09,1.469e+09,-1.135e+09,-9.05e+08,-1.01e+08,-1.29e+08,3.34e+08,-1.5e+07,-2.3e+07,8e+06,3.19e+08,-158762289.516352,3.19e+08,-7.1e+07,2.48e+08,2.48e+08,-5e+06,2.43e+08,2.43e+08,1.936e+09,1.886e+09,5e+07,2.804e+09,1.859e+09,4.67e+08,4.67e+08,7.066e+09,2.863e+09,2.863e+09,2.45e+08,7.89e+09,1.918e+09,4.243e+09,1.546e+09,1.0998e+10,1.8064e+10,3.367e+09,1.456e+09,3.72e+08,3.72e+08,5.195e+09,5.378e+09,2.654e+09,1.393e+09,7.37e+08,6.56e+08,3.99e+08,8.62e+08,8.032e+09,1.3227e+10,1.923e+09,-1.3187e+10,1.9029e+10,-3.042e+09,4.723e+09,1.14e+08,4.837e+09,1.8064e+10,2.48e+08,2.48e+08,1.29e+08,-1.02e+08,-4.34e+08,-1.59e+08,-3.7e+07,-4.4e+07,2.2e+07,-5.9e+07,-1.2e+08,1.158e+09,5e+06,-3.1e+07,1.012e+09,7.94e+08,7.94e+08,-1.24e+08,6.7e+08,4.63e+08,6.834e+09,6.3e+07,0.435,0.0989,0.07196,0.05024,0.01345,0.25926,1.36015,2.73455,0.37832,1.02748,1.0223,14.27907,19.9704,0.26638,0.5074,4,0.02534,0.0044,0.49383,10.57883,14.66467
"42","2020_Q3",111.89828125,"Up",3.015e+09,-1.703e+09,1.312e+09,-9.75e+08,-7.66e+08,-8.6e+07,-1.23e+08,3.37e+08,-3.9e+07,-3.6e+07,-3e+06,2.98e+08,-1.72e+08,1.26e+08,-2.9e+07,9.7e+07,1e+08,2e+06,1.02e+08,1.02e+08,2.297e+09,2.252e+09,4.5e+07,2.673e+09,1.706e+09,4.01e+08,4.01e+08,7.077e+09,2.865e+09,2.865e+09,2.51e+08,7.977e+09,1.916e+09,4.307e+09,1.566e+09,1.1093e+10,1.817e+10,3.055e+09,1.688e+09,4.91e+08,4.91e+08,5.234e+09,4.613e+09,3.385e+09,1.383e+09,7.27e+08,6.56e+08,3.97e+08,1.605e+09,7.998e+09,1.3232e+10,1.931e+09,-1.3184e+10,1.901e+10,-2.925e+09,4.832e+09,1.06e+08,4.938e+09,1.817e+10,9.7e+07,1e+08,1.23e+08,2.78e+08,-1.8e+07,4.81e+08,-5.5e+07,-1000000.00000001,4e+06,-5.2e+07,-1.21e+08,5e+07,1e+06,-1.5e+07,-8.5e+07,3.44e+08,3.44e+08,2.2e+07,3.66e+08,4.6e+08,6.301e+09,4.16e+08,0.43516,0.11177,0.03383,0.02066,0.00561,4.07843,1.35212,2.67963,0.34678,0.43093,0.42947,12.73764,20.41403,1.7575,0.5112,6,0.01525,0.02845,1.18627,8.70435,11.88131
"43","2020_Q4",133.8490625,"Up",3.685e+09,-2.026e+09,1.659e+09,-1.06e+09,-8.36e+08,-9.2e+07,-1.32e+08,5.99e+08,-2.7e+07,-3e+07,3e+06,5.72e+08,0,5.72e+08,-1.24e+08,4.48e+08,4.48e+08,-6e+06,4.42e+08,4.42e+08,2.095e+09,2.008e+09,8.7e+07,2.843e+09,1.672e+09,3.92e+08,3.92e+08,7.002e+09,2.897e+09,2.897e+09,2.67e+08,8.134e+09,1.93e+09,4.419e+09,1.528e+09,1.1298e+10,1.83e+10,3.482e+09,6.75e+08,4.56e+08,4.56e+08,4.613e+09,4.828e+09,3.435e+09,1.364e+09,7.11e+08,6.53e+08,4.36e+08,1.635e+09,8.263e+09,1.2876e+10,1.949e+09,-1.3176e+10,1.9325e+10,-2.788e+09,5.31e+09,1.14e+08,5.424e+09,1.83e+10,4.48e+08,4.48e+08,1.32e+08,-2.6e+07,2.88e+08,8.42e+08,-7.8e+07,0,-2e+06,-8e+07,-1.27e+08,-9.18e+08,1.7e+07,-4e+06,-1.032e+09,-2.7e+08,-2.7e+08,2.6e+07,-2.44e+08,7.31e+08,5.503e+09,1.065e+09,0.4502,0.16255,0.11995,0.08149,0.02415,2.4095,1.51788,2.37389,0.30071,1.86813,1.85792,15.57481,22.44294,4.50127,0.53677,8,0.03962,0.07415,0.28733,4.66211,5.68948
"44","2021_Q1",138.223606557377,"Up",3.757e+09,-2.14e+09,1.617e+09,-1.107e+09,-8.82e+08,-1e+08,-1.25e+08,5.1e+08,-7e+07,-2.6e+07,-4.4e+07,4.4e+08,-9.5e+07,3.45e+08,-6.7e+07,2.78e+08,2.78e+08,-6e+06,2.72e+08,2.72e+08,1.922e+09,1.826e+09,9.6e+07,2.726e+09,1.735e+09,4.15e+08,4.15e+08,6.798e+09,3.127e+09,3.127e+09,2.67e+08,9.364e+09,2.351e+09,5.102e+09,1.532e+09,1.2758e+10,1.9556e+10,3.792e+09,5.78e+08,4.61e+08,4.61e+08,4.831e+09,5.171e+09,3.739e+09,1.678e+09,9.45e+08,7.33e+08,4.35e+08,1.626e+09,8.91e+09,1.3741e+10,1.977e+09,-1.3158e+10,1.9469e+10,-2.599e+09,5.689e+09,1.26e+08,5.815e+09,1.9556e+10,2.78e+08,497361176.925208,1.25e+08,-2.9e+07,5.93e+08,9.66e+08,4.74e+08,-1.124e+09,2e+06,-6.48e+08,-1.28e+08,1.59e+08,-2.3e+07,3.8e+07,4.6e+07,3.64e+08,3.44e+08,8.2e+07,4.26e+08,751166811.463733,5.749e+09,597828247.563851,0.4304,0.13575,0.0724,0.04678,0.01391,0.564148094461745,1.40716,2.36303,0.29398,1.14575,1.14046,15.82561,23.96377,2.52790505860016,0.547028215951771,6.42134810919161,0.01777,0.0433539403710008,0.00321244398745335,4.28359967877977,7.50392
"45","2021_Q2",166.098571428571,"Up",3.881e+09,-2.232e+09,1.649e+09,-1.122e+09,-8.91e+08,-1.02e+08,-1.29e+08,5.27e+08,-2.8e+07,-2.4e+07,-4e+06,4.99e+08,-51859564.6527986,4.99e+08,-1.14e+08,3.85e+08,3.85e+08,-7e+06,3.78e+08,3.78e+08,1.928e+09,1.808e+09,1.2e+08,3.034e+09,1.914e+09,4.63e+08,4.63e+08,7.339e+09,3.052e+09,3.052e+09,4.29e+08,9.319e+09,2.301e+09,5.153e+09,1.531e+09,1.28e+10,2.0139e+10,3.815e+09,8.81e+08,4.24e+08,4.24e+08,5.12e+09,5.336e+09,3.714e+09,1.655e+09,9.27e+08,7.28e+08,4.22e+08,1.637e+09,9.05e+09,1.417e+10,1.998e+09,-1.3148e+10,1.9719e+10,-2.73e+09,5.839e+09,1.3e+08,5.969e+09,2.0139e+10,3.85e+08,3.85e+08,1.29e+08,-9e+06,-5.28e+08,-2.3e+07,-8e+07,-3.56e+08,1.2e+07,-4.24e+08,-1.28e+08,5.92e+08,2e+07,-1.5e+07,4.69e+08,2.2e+07,2.2e+07,-4e+07,-1.8e+07,6.56e+08,6.217e+09,1.62e+08,0.42489,0.13579,0.0974,0.06333,0.01877,0.42857,1.4334,2.37393,0.3087,1.59225,1.58159,16.34794,24.59562,0.68239,0.53917,5,0.03182,0.01019,0.33862,6.53811,8.13852
