"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",96.7788709677419,"Down",688782000,-479455000,209327000,-114356000,-204620000,-23036000,94971000,-9441000,-13662000,4221000,85530000,-4081000,81449000,-7025000,74424000,74424000,74424000,74424000,554280000,554280000,560740000,560740000,589947000,85921000,33886000,1790888000,564414000,1684752000,89073000,2249166000,4040054000,515301000,307017000,20530000,187754000,4e+07,74450000,74450000,629751000,1454620000,1454620000,183009000,19543000,163466000,1637629000,2267380000,496320000,496320000,1198740000,75800000,1770860000,1772674000,4040054000,285712500,101642100,16878100,12020000,-9056500,-92842300,-28739200,-27478000,-43848900,7223800,311390400,-75925700,-75175700,-75175700,-657927800,-21500000,601846800,7078900,589516300,242978900,242978900,1340100,244319000,196613100,1494620000,34870100,0.30391,0.13788,0.10805,0.04198,0.01842,0.46853,2.8438,1.27907,0.36995,0.79768,0.7909,7.38244,18.98028,0.37374,0.23044,0.0278,0.01011,0.28889,4.78269,9.90134
"12","2013_Q1",98.2633333333333,"Up",831718000,-537945000,293773000,-131244000,120220000,-27064000,162529000,-16559000,-15838000,-720999.999999999,145970000,-1719000,144251000,-37275000,106976000,115576000,115576000,115576000,602500000,602500000,572600000,572600000,547500000,73300000,26600000,1795900000,578300000,1649800000,8.7e+07,2228100000,4.024e+09,522700000,317300000,12900000,192500000,40100000,89900000,89900000,652700000,1329200000,1329200000,189400000,24100000,165300000,1518600000,2171300000,504700000,504700000,1306900000,39400000,1.851e+09,1852600000,4023900000,115676000,33588000,11523000,15479000,-9032000,40993000,-20577000,32923000,20267000,8380000,201780000,-33735000,-34485000,-34485000,-25905999.9999998,-7484000.00000001,-125350000,706000.000000002,-130814000,45060000,45060000,3064000,48124000,196117000,1369300000,240650000,0.35321,0.19541,0.13896,0.06239,0.02872,2.08218,2.75149,1.17203,0.34028,1.23743,1.22562,8.9049,19.81799,2.57655,0.08013,0.03607,0.07054,0.0647500000000001,3.90991,4.71793
"13","2013_Q2",105.239375,"Up",919800000,-588400000,331400000,-152800000,-61700000,-28500000,178600000,-16900000,-16100000,-8e+05,161700000,-1600000,160100000,-48200000,111900000,111900000,111900000,111900000,6.32e+08,6.32e+08,5.84e+08,5.84e+08,598800000,85900000,35800000,1900700000,580300000,1636400000,88300000,2216700000,4117400000,530400000,3.07e+08,21200000,202200000,41600000,57900000,57900000,629900000,1329800000,1329800000,192400000,26300000,166100000,1522200000,2152100000,512700000,512700000,1.405e+09,46200000,1963900000,1965300000,4117400000,105600000,33400000,-1e+07,-3500000,-11300000,-84100000,-6700000,-48100000,-12600000,-16700000,44900000,-14800000,-14800000,-14800000,-14800000,-7500000,2100000,13300000,-2e+05,29900000,29900000,-4e+05,29500000,2.12e+08,1371400000,161300000,0.3603,0.19417,0.12166,0.05694,0.02718,1.44147,3.01746,1.09505,0.33307,1.19551,1.18664,9.82692,20.98184,1.72329,0.08013,0.03383,0.04571,0.06702,3.48774,4.13998
"14","2013_Q3",110.86359375,"Up",-917887600,587204600,-330683000,152372200,61575200,28430200,-178310800,16843800,16048900,794900,-161467000,1411200,-160055800,48181100,-111874700,-111874700,-111874700,-111874700,459514000,459514000,583903000,583903000,638797000,91907000,42771000,1774121000,618425000,1901790000,78382000,2520215000,4294336000,521136000,321205000,11299000,188632000,42648000,71081000,71081000,634865000,1329886000,1329886000,221125000,47481000,173644000,1551011000,2185876000,524124000,524124000,1502455000,80556000,2107135000,2108460000,4294336000,-105574700,-33289600,10187700,3494600,11479500,83996900,6634900,48110500,12529200,16722300,-44679700,14722200,14722200,14722200,13200500,7482000,-771400,-13480900,1322400,-30156800,-30156800,398000,-29758800,-211600400,1372534000,-161062400,0.36027,0.19426,0.12188,-0.05306,-0.02605,1.43967,2.79449,1.03672,0.31961,-1.1913,-1.18366,-9.77412,22.43781,-1.71507,-0.07967,-0.03224,-0.04351,0.06688,-4.31483,-5.12039
"15","2013_Q4",128.1409375,"Up",933400000,-577100000,356300000,-174500000,-63400000,-32300000,181800000,-22400000,-21400000,-1e+06,159400000,-2100000,157300000,-45900000,111400000,111400000,111400000,111400000,300827000,300827000,618666000,618666000,684741000,93394000,44847000,1697628000,643258000,2155002000,71281000,2798260000,4495888000,554990000,325415000,17639000,211936000,45798000,72832000,72832000,673620000,1331684000,1331684000,265256000,80474000,184782000,1596940000,2270560000,530780000,530780000,1605894000,87273000,2223947000,2225328000,4495888000,111400000,47700000,-12200000,-14600000,-3500000,-48200000,-45700000,-1.2e+07,-67600000,77100000,98700000,-35800000,-35800000,-35800000,-35800000,-8500000,1100000,-17600000,-28800000,34100000,34100000,2600000,36700000,229500000,1377482000,191400000,0.38172,0.19477,0.11935,0.05006,0.02478,1.71813,2.52016,1.02033,0.30639,1.18511,1.17884,9.92979,23.65901,2.03617,0.09043,0.031,0.04948,0.0763,4.69131,5.92219
"16","2014_Q1",140.393278688525,"Up",2604487600,-1681504600,922983000,-414072200,-170075200,-82830200,508910800,-48943800,-44348900,-4594900,459967000,-9611200,450355800,-119881100,330474700,330474700,330474700,330474700,779900000,779900000,651900000,651900000,703900000,101200000,54100000,2236900000,681400000,2432600000,80600000,3.114e+09,5350900000,6.21e+08,3.82e+08,11600000,227400000,46200000,82300000,82100000,749500000,1927800000,1927800000,3.41e+08,127800000,213200000,2268800000,3018300000,538500000,538500000,1715900000,7.7e+07,2331400000,2332600000,5350900000,330474700,112389600,35612300,20305400,2820500,-23496900,8765099.99999999,-82610500,74170800,-23822300,454979700,-68222200,-68222200,-68222200,-910400500,-24482000,599871400,25780900,604977600,149556800,149556800,-8398000,141158800,621300400,1.974e+09,649462400,0.35438,0.1954,0.12689,0.14168,0.06176,1.96524,2.98452,1.29396,0.36891,3.51233,3.49029,27.68081,24.7784,6.90257,0.2602,0.07637,0.13974,0.07408,1.92194,2.34638
"17","2014_Q2",126.122698412698,"Down",1.004e+09,-6.89e+08,3.15e+08,-1.94e+08,-6.5e+07,-4.4e+07,1.21e+08,-4e+07,-2.6e+07,-1.4e+07,8.1e+07,-1.9e+07,6.2e+07,-1.4e+07,4.8e+07,4.8e+07,4.8e+07,4.8e+07,913100000,891500000,869400000,869400000,656800000,194700000,130100000,2.634e+09,761700000,10385300000,1.82e+08,1.1147e+10,1.3781e+10,795100000,3.09e+08,31700000,454400000,141500000,81300000,7.7e+07,1017900000,3050800000,3050800000,995600000,708700000,286900000,4046400000,5064300000,6685200000,6685200000,1957200000,74300000,8716700000,8716700000,1.3781e+10,111400000,47700000,-12200000,-14600000,-3500000,-48200000,-45700000,-1.2e+07,-67600000,77100000,98700000,-35800000,-35800000,-35800000,-35800000,-8500000,1100000,-17600000,-28800000,34100000,34100000,2600000,36700000,168700000,3192300000,98700000,0.31375,0.12052,0.04781,0.00551,0.00348,2.05625,2.58768,0.58099,0.23165,0.50955,0.50686,10.65817,92.53397,1.04777,0.09023,0.00438,0.00765,0.17708,13.51037,18.83636
"18","2014_Q3",132.82640625,"Up",-1001976900,687682400,-314294500,193620200,64875500,43910200,-120674300,39881400,25943300,13938100,-80792900,18986200,-61806700,13973200,-47833500,-47833500,-47833500,-47833500,933539138.376649,912573355.60882,1054522286.91906,1054522286.91906,726076846.065613,279122843.488859,165077881.048581,2993261114.85019,843229550.140062,15221805392.0168,3214189825.50009,16065034942.1569,19058296057.0071,1052503719.17545,423136610.32332,40132380.4116419,589236092.720321,209640660.345173,115743715.860633,95468751.2189406,1377888093.49063,4090803584.29607,4090803584.29607,1485483868.87696,1140920270.25867,344563598.618294,5576287453.17303,6954175546.66366,9965019139.68604,9965019139.68604,2051776651.45375,87740529.1541926,12104536320.294,12104120801.6039,19058296348.2675,-111233500,-47446300,12223000,14561800,3545000,48224500,45695500,11982300,67553200,-77006500,-98232300,35752000,35752000,35752000,35643400.0000001,8471000,469999.99999994,18575700,31309000,-31279900,-31279900,-2623500,-33903400,-168120600,0,-98117300,0.31367,0.12044,0.04774,-0.0584453339539382,-0.0231247015650805,2.05123,2.15077094164599,0.300187733419716,0.176156303712505,-0.50941,-0.50617,-10.67068,119.446557573179,-1.04491,-0.09021,-0.0276473700325133,-0.0395470034012575,0.17709,15.721874661495,20.6549411293626
"19","2014_Q4",139.4178125,"Up",951500000,-629700000,321800000,-182900000,-64800000,-36600000,138900000,-28600000,-25900000,-2700000,110300000,-1700000,108600000,-12300000,96300000,96300000,96300000,96300000,918962732.320223,913801931.626118,1158068203.16174,1158068203.16174,861685745.708931,316585562.072896,158182800.512675,3255302243.26379,904187410.08821,15893522465.7203,6492067486.95377,16797709875.8085,20053012119.0723,1287398889.16279,635962618.658008,40873369.1100904,610565184.894363,212748396.48652,171788533.600562,125016044.264777,1671935818.11177,4845873372.88585,4845873372.88585,1722548141.15158,1348559762.52424,373988378.627336,6568421514.03742,8240357332.14919,9693698760.75681,9693698760.75681,2015403625.92069,103653284.657622,11812755671.3351,11812654962.2531,20053012294.4023,96300000,126600000,-9300000,-20100000,2e+06,-18500000,57300000,-29700000,-32500000,-13600000,195100000,-31700000,-31700000,-31700000,-30700000,-14100000,-41600000,-5600000,-61300000,103100000,103100000,-11100000,9.2e+07,265500000,0,227600000,0.3382,0.14598,0.10121,-0.0297076214973383,-0.011041492538665,2.36345,1.93837910069275,0.545316002349302,0.222960921025493,0.71919,0.71652,7.10605,102.204866774753,1.69978,0.1053,-0.0116478203568971,0.00889161553323976,0.14642,9.3739134566778,10.649325756312
"20","2015_Q1",142.293278688525,"Up",3273576900,-1951882400,1321694500,-776520200,-321775500,-151110200,545174300,-451481400,-120043300,-331438100,93692900,57813800,151506700,-111873200,39633500,39633500,39633500,39633500,785600000,785600000,1209400000,1209400000,935700000,298300000,150100000,3.229e+09,932400000,15430500000,5653300000,16362900000,19591900000,1381600000,709300000,56300000,6.16e+08,153300000,213600000,133900000,1748500000,5246900000,5246900000,1.897e+09,1514300000,382700000,7143900000,8892400000,8621900000,8621900000,1973900000,103500000,10699300000,10699500000,19591900000,39633500,131846300,305277000,3838200.00000001,278655000,182875500,-108395500,18317700,153046800,119906500,659632300,-105252000,-105252000,-105252000,-2271443400,-50671000,666830000,965024300,1581191000,-30620100.0000001,-30620100.0000001,-78076500,-108696600,677020600,5400200000,866517300,0.40375,0.16654,0.01211,0.00370000000000005,0.00202000000000003,21.86325,1.84673,0.8311,0.27563,0.29336,0.29228,24.23077,79.19541,6.4139,0.37506,0.00502000000000003,0.04815,1.27849,6.81604,8.46444999999999
"21","2015_Q2",170.17746031746,"Up",1049100000,-670300000,378800000,-178500000,-63500000,-35400000,200300000,-301900000,-43300000,-258600000,-101600000,-1100000,-102700000,7800000,-94900000,-94900000,-94900000,-94900000,5.23e+08,506500000,1232200000,1232200000,8.88e+08,237600000,168600000,2880800000,924100000,15898200000,2.25e+08,16822300000,19703100000,1299400000,541200000,82300000,675900000,145100000,216700000,112200000,1661200000,5229900000,5229900000,2.08e+09,1705100000,374900000,7309900000,8971100000,8632800000,8632800000,2.034e+09,65200000,1.0732e+10,1.0732e+10,19703100000,-94900000,127700000,260200000,-46300000,2.99e+08,-2.5e+07,39400000,2100000,1.8e+07,-84500000,2.68e+08,-31900000,-31900000,-31900000,-3.34e+08,-17600000,-10200000,-3700000,-31600000,-97600000,-97600000,-68100000,-165700000,3.28e+08,5.375e+09,263300000,0.36107,0.19093,-0.09046,-0.00884,-0.00482,-2.7745,1.73417,0.83592,0.2728,-0.67401,-0.67401,7.45099,76.22159,1.87003,0.125,-0.00425,0.01448,-0.18546,14.79268,24.22366
"22","2015_Q3",163.868125,"Down",1531700000,-903500000,628200000,-401300000,-198600000,-62600000,226900000,-68600000,-45900000,-22700000,158300000,-799999.999999985,157500000,-1.01e+08,56500000,56500000,56500000,56500000,352378561.525795,333116842.233412,1230122826.40183,1230122826.40183,874204483.976299,213284445.658594,196944278.056201,2669990317.56252,904473770.814328,16043491568.4397,949420432.940572,16947965339.254,19617955656.8165,1264636226.79014,463257758.880949,47530239.3267774,753872999.9697,547117352.726704,197468033.033458,115086929.702502,2009221612.44539,4851954797.1526,4851954797.15261,1998565043.02621,1649733997.4236,348831045.602615,6850519840.17881,8859741452.6242,8595878139.65984,8595878139.65984,2186415836.03561,-23795061.3044056,10758498914.391,10758214220.3548,19617955672.979,56500000,167300000,91200000,68200000,1.5e+07,147700000,-116600000,26300000,169500000,68500000,462700000,-57100000,-57100000,-57100000,-2156300000,-18300000,-929200000,-6199999.99999988,-953600000,-2647200000,-2647200000,2400000,-2644800000,394200000,0,585800000,0.41013,0.14814,0.0368899999999999,0.00139854691255028,0.000546034430952828,10.36814,1.41515825357558,0.810009475840703,0.273054039781887,0.38646,0.38646,10.47674,75.3294748818256,4.00684,0.12517,-6.71875507028373e-05,-0.0154993106777549,0.32389,21.3491900852299,36.5446067870629
"23","2015_Q4",137.49640625,"Down",51400000,20500000,71900000,-1.89e+08,-111700000,9800000,-117100000,255400000,-7e+05,256100000,138300000,-184200000,-45900000,126800000,80900000,80900000,80900000,80900000,321820990.048046,312622812.837108,1211911235.72846,1211911235.72846,895779229.154034,234182406.755863,234078956.70251,2663693861.6864,888428496.040116,15807673804.5203,5087691191.47674,16696102300.5604,19359796162.2468,1302146701.13153,497804935.333137,9063766.17962663,795319150.161302,1029062659.84704,165368984.088064,130778779.301069,2496578345.00395,4577516873.3834,4577516873.38341,1788836849.1167,1460074685.84984,328762163.266866,6366353722.5001,8862932067.50406,8338082656.2068,8338082656.2068,2244044407.81092,-84768082.9324716,10497358981.0852,10496864104.3991,19359796171.9031,80900000,-112600000,-254600000,-141900000,-1.2e+08,-243500000,129700000,-5.8e+07,-381600000,66400000,-529800000,11200000,11200000,11200000,1782200000,-4e+05,1629100000,6100000,1134800000,2387200000,2387200000,55500000,2442700000,-229700000,0,-588800000,1.39883,-2.27821,1.57393,0.019432502463557,0.009727076919628,-7.27812,1.0967925198233,0.836188494212196,0.288707206127664,0.55335,0.54662,0.35157,72.2824388395391,-4.02736,0.00274,0.00965759570152282,-0.0197155651591712,0.00494,23.8115691529932,40.8460106503291
