"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",40.9557142857143,"Up",7.53e+08,-3.4e+08,-3.4e+08,4.13e+08,-3.71e+08,-2.56e+08,-1.19e+08,4e+06,4.2e+07,-2e+07,-2.2e+07,-2.4e+07,2e+06,2e+06,2.2e+07,2.2e+07,2.7e+07,4.9e+07,4.9e+07,4.9e+07,4.9e+07,1.023e+09,9.83e+08,5.18e+08,5.18e+08,5.85e+08,1.88e+08,1.88e+08,2.314e+09,5.45e+08,6e+07,3.095e+09,1.702e+09,9.18e+08,3.45e+08,1.3e+08,3.7e+09,6.014e+09,2.02e+08,1.8e+08,2.2e+07,5.04e+08,2.35e+08,2.69e+08,8.76e+08,2.156e+09,8.1e+08,3.74e+08,9.1e+07,3.45e+08,2.966e+09,3.842e+09,1.732e+09,1.097e+09,-5.95e+08,2.172e+09,2.172e+09,6.014e+09,4.9e+07,4.1e+07,-8.6e+07,5.8e+07,6.2e+07,-1.7e+07,-1.634e+09,4.46e+08,4.46e+08,-2.9e+07,1.656e+09,8.4e+07,8.4e+07,3e+06,8.7e+07,8.3e+07,2.326e+09,9.7e+07,0.54847,0.05578,0.06507,0.02256,0.00815,1.97959,2.64155,1.76888,0.38676,0.27684,0.27374,4.25424,12.27119,0.54802,0.00923,0.01827,15.6988,31.02381
"12","2017_Q4",43.2036507936508,"Up",8.32e+08,-4.21e+08,-4.21e+08,4.11e+08,-4.15e+08,-2.86e+08,-1.32e+08,3000000.00000001,-4e+06,-2.1e+07,-2e+07,-2.2e+07,2e+06,-1e+06,-2.5e+07,-2.5e+07,7000000.00000001,-1.8e+07,-1.8e+07,-1.8e+07,-1.8e+07,8.76e+08,8.73e+08,5.21e+08,5.21e+08,5.61e+08,2e+08,2e+08,2.158e+09,5.46e+08,6e+07,3.076e+09,1.861e+09,8.65e+08,2.16e+08,1.34e+08,3.682e+09,5.84e+09,2.2e+08,1.81e+08,3.9e+07,5.24e+08,2.65e+08,2.59e+08,7.84e+08,2.047e+09,7.9e+08,3.71e+08,9.2e+07,3.27e+08,2.837e+09,3.621e+09,1.774e+09,1.079e+09,-5.72e+08,2.219e+09,2.219e+09,5.84e+09,-1.8e+07,8e+07,-1.1e+07,5e+07,1.01e+08,-2.1e+07,-4e+06,30000000.0000001,3e+07,-1e+06,-2.11e+08,-1.14e+08,-1.14e+08,4e+06,-1.1e+08,7.6e+07,2.087e+09,9.8e+07,0.49399,-0.00481000000000002,-0.02163,-0.00811,-0.00308,-5.44444,2.75255,1.63182,0.35736,-0.09677,-0.09677,4.47312,11.93011,0.52688,-0.00353,0.01923,15.93421,-302.75
"13","2018_Q1",47.7680327868852,"Up",8.78e+08,-4.04e+08,-4.04e+08,4.74e+08,-4.35e+08,-2.94e+08,-1.39e+08,-2e+06,3.9e+07,-9e+06,-2e+07,-2.2e+07,2e+06,1.1e+07,3e+07,3e+07,-6.8e+07,-3.8e+07,-3.8e+07,-3.8e+07,-3.8e+07,8.18e+08,8.18e+08,5.47e+08,5.47e+08,5.88e+08,2.24e+08,2.24e+08,2.177e+09,5.3e+08,6.3e+07,3.163e+09,1.882e+09,8.55e+08,1.86e+08,2.4e+08,3.756e+09,5.933e+09,2.39e+08,2.11e+08,2.8e+07,5.7e+08,2.91e+08,2.79e+08,8.19e+08,2.038e+09,7.66e+08,3.09e+08,1.01e+08,3.56e+08,2.804e+09,3.623e+09,1.788e+09,1.041e+09,-4.57e+08,2.31e+09,2.31e+09,5.933e+09,-3.8e+07,7.2e+07,2e+07,9e+06,6.3e+07,-1.8e+07,-7.6e+07,0,0,0,-4.1e+07,-5.4e+07,-5.4e+07,-1e+06,-5.5e+07,1.11e+08,2.048e+09,1.7e+08,0.53986,0.04442,-0.04328,-0.01645,-0.0064,-4.47368,2.65812,1.5684,0.34519,-0.2043,-0.2,4.72043,12.41935,0.91398,-0.00742,0.03318,11.08108,31.53846
"14","2018_Q2",55.566875,"Up",8.37e+08,-4.1e+08,-4.1e+08,4.27e+08,-4.32e+08,-2.89e+08,-1.46e+08,3e+06,-5000000.00000001,-1.8e+07,-1.9e+07,-2.2e+07,3e+06,1e+06,-2.3e+07,-2.3e+07,1.17e+08,9.4e+07,9.4e+07,9.4e+07,9.4e+07,9.8e+08,9.8e+08,4.54e+08,4.54e+08,6.09e+08,2.32e+08,2.32e+08,2.275e+09,5.39e+08,6.1e+07,3.175e+09,1.894e+09,8.07e+08,2.04e+08,2.7e+08,3.775e+09,6.05e+09,2.64e+08,2.29e+08,3.5e+07,6.02e+08,3.54e+08,2.48e+08,8.86e+08,2.028e+09,6.52e+08,3.15e+08,1.05e+08,2.32e+08,2.68e+09,3.566e+09,1.817e+09,1.141e+09,-4.12e+08,2.484e+09,2.484e+09,6.05e+09,9.4e+07,7.8e+07,-2.08e+08,2.07e+08,1.71e+08,-2.4e+07,-2.7e+07,2.4e+07,2.4e+07,-1.4e+07,1e+07,1.54e+08,1.54e+08,9e+06,1.63e+08,7.3e+07,2.048e+09,1.39e+08,0.51016,-0.00597000000000001,0.11231,0.03784,0.01554,1.47872,2.56772,1.43559,0.33851,0.50267,0.49735,4.47594,13.28342,0.74332,0.01813,0.02681,14.63014,-213.6
"15","2018_Q3",62.052380952381,"Up",9.9e+08,-4.47e+08,-4.47e+08,5.43e+08,-4.43e+08,-2.99e+08,-1.56e+08,1.2e+07,1e+08,-1.7e+07,-1.9e+07,-2.1e+07,2e+06,2e+06,8.3e+07,8.3e+07,-1.9e+07,6.4e+07,6.4e+07,6.4e+07,6.4e+07,7.84e+08,7.84e+08,5.79e+08,5.79e+08,5.97e+08,2.29e+08,2.29e+08,2.189e+09,5.46e+08,5.9e+07,3.129e+09,1.891e+09,7.54e+08,2.03e+08,2.81e+08,3.734e+09,5.923e+09,2.87e+08,2.4e+08,4.7e+07,6.66e+08,3.47e+08,3.19e+08,9.53e+08,1.789e+09,6.58e+08,3.09e+08,1.19e+08,2.3e+08,2.447e+09,3.4e+09,1.839e+09,1.205e+09,-4.19e+08,2.523e+09,2.523e+09,5.923e+09,6.4e+07,7.9e+07,1.3e+07,-4.5e+07,1.11e+08,-3.4e+07,-2.2e+07,-1.9e+07,9e+06,-2e+06,-2.81e+08,-1.92e+08,-1.92e+08,-5e+06,-1.97e+08,1.79e+08,1.789e+09,1.19e+08,0.54848,0.10101,0.06465,0.02537,0.01081,1.85938,2.29696,1.3476,0.30204,0.34043,0.33684,5.26596,13.42021,0.63298,0.01288,0.02394,5.61453,10.05
"16","2018_Q4",60.1746031746032,"Down",1.004e+09,-4.39e+08,-4.39e+08,5.65e+08,-4.37e+08,-2.89e+08,-1.51e+08,2999999.99999997,1.28e+08,-1.5e+07,-1.7e+07,-2e+07,3e+06,2e+06,1.13e+08,1.13e+08,8e+06,1.21e+08,1.21e+08,1.21e+08,1.21e+08,7.42e+08,7.42e+08,5.97e+08,5.97e+08,6.09e+08,2.34e+08,2.34e+08,2.182e+09,5.49e+08,5.4e+07,3.061e+09,1.888e+09,7.02e+08,1.86e+08,2.85e+08,3.664e+09,5.846e+09,2.76e+08,2.31e+08,4.5e+07,6.24e+08,3.33e+08,2.91e+08,9e+08,1.79e+09,5.43e+08,2.2e+08,1.22e+08,2.01e+08,2.333e+09,3.233e+09,1.878e+09,1.326e+09,-4.49e+08,2.613e+09,2.613e+09,5.846e+09,1.21e+08,7.6e+07,3.7e+07,-1.96e+08,3.8e+07,-4e+07,-4.8e+07,-2.3e+07,2.9e+07,-2e+06,-24999999.9999999,-3.5e+07,-3.5e+07,-7e+06,-42000000.0000001,2.04e+08,1.79e+09,-4e+07,0.56275,0.12749,0.12052,0.04631,0.0207,-0.33058,2.42444,1.23728,0.30619,0.64362,0.63351,5.34043,13.89894,-0.21277,0.02446,-0.00809000000000001,5.13725,8.18749999999999
"17","2019_Q1",77.6211475409836,"Up",1.047e+09,-4.71e+08,-4.71e+08,5.76e+08,-1.193e+09,-3.28e+08,-1.71e+08,-6.94e+08,-6.17e+08,3.3e+07,-1.6e+07,-2e+07,4e+06,4.9e+07,-5.84e+08,-5.84e+08,4.7e+08,-1.14e+08,-1.14e+08,-1.14e+08,-1.14e+08,9.13e+08,9.13e+08,6.24e+08,6.24e+08,6.19e+08,2.22e+08,2.22e+08,2.378e+09,5.55e+08,4.6e+07,2.845e+09,1.171e+09,6.45e+08,7.5e+08,2.79e+08,3.446e+09,5.824e+09,2.84e+08,2.42e+08,4.2e+07,6.79e+08,3.34e+08,3.45e+08,1.462e+09,1.291e+09,6.38e+08,2.24e+08,1.27e+08,2.87e+08,1.929e+09,3.391e+09,1.891e+09,1.212e+09,-4.88e+08,2.433e+09,2.433e+09,5.824e+09,-1.14e+08,7.7e+07,1.58e+08,1.14e+08,2.35e+08,-5e+06,-1.1e+07,-3.8e+07,2e+06,-7e+06,-4.5e+07,1.79e+08,1.79e+08,-6e+06,1.73e+08,-5.4e+08,1.79e+09,-9.01e+08,0.55014,-0.5893,-0.10888,-0.04686,-0.01957,7.90351,1.62654,1.39375,0.30735,-0.61622,-0.58763,5.65946,13.15135,-4.87027,-0.02345,-0.18535,-1.62407,-1.42139
"18","2019_Q2",84.8912698412698,"Up",1.006e+09,-4.28e+08,-4.28e+08,5.78e+08,-4.57e+08,-2.88e+08,-1.73e+08,4e+06,1.21e+08,-1e+06,-1.6e+07,-2e+07,4e+06,1.5e+07,1.2e+08,1.2e+08,-5999999.99999988,1.14e+08,1.14e+08,1.14e+08,1.14e+08,1.098e+09,1.098e+09,5.8e+08,5.8e+08,6.41e+08,2.25e+08,2.25e+08,2.544e+09,5.58e+08,5.2e+07,2.824e+09,1.181e+09,5.94e+08,7.41e+08,3.08e+08,3.434e+09,5.978e+09,2.78e+08,2.22e+08,5.6e+07,6.23e+08,3.17e+08,3.06e+08,1.4e+09,1.291e+09,6.29e+08,2.19e+08,1.26e+08,2.84e+08,1.92e+09,3.32e+09,1.927e+09,1.402e+09,-4.49e+08,2.658e+09,2.658e+09,5.978e+09,1.14e+08,7.6e+07,18000000.0000001,3.2e+07,2.4e+08,-3.1e+07,-2.9e+07,-1e+07,3e+07,-2.3e+07,-3.3e+07,1.78e+08,1.78e+08,7e+06,1.85e+08,1.97e+08,1.79e+09,2.04e+08,0.57455,0.12028,0.11332,0.04289,0.01907,1.78947,1.81714,1.24906,0.29943,0.60963,0.6,5.37968,14.2139,1.09091,0.02245,0.04018,3.51269,5.71901
"19","2019_Q3",92.64109375,"Up",1.09e+09,-4.42e+08,-4.42e+08,6.48e+08,-4.63e+08,-3e+08,-1.71e+08,8e+06,1.85e+08,8e+06,-1.4e+07,-2e+07,6e+06,2.2e+07,1.93e+08,1.93e+08,-4e+07,1.53e+08,1.53e+08,1.53e+08,1.53e+08,1.277e+09,1.277e+09,6.6e+08,6.6e+08,6.6e+08,2.27e+08,2.27e+08,2.824e+09,5.63e+08,4.2e+07,2.761e+09,1.174e+09,5.43e+08,7.27e+08,3.17e+08,3.366e+09,6.19e+09,2.97e+08,2.36e+08,6.1e+07,6.88e+08,3.33e+08,3.55e+08,1.485e+09,1.292e+09,6.15e+08,2.14e+08,1.5e+08,2.51e+08,1.907e+09,3.392e+09,1.956e+09,1.555e+09,-4.61e+08,2.798e+09,2.798e+09,6.19e+09,1.53e+08,7.5e+07,4e+07,-4.7e+07,2.21e+08,-2.9e+07,-2e+07,-2e+07,9e+06,-1e+06,-2.1e+07,1.8e+08,1.8e+08,-2e+06,1.78e+08,2.6e+08,1.792e+09,2.24e+08,0.5945,0.16972,0.14037,0.05468,0.02472,1.46405,1.90168,1.21229,0.2895,0.80952,0.79688,5.7672,14.80423,1.18519,0.02939,0.04304,1.98077,2.78378
"20","2019_Q4",102.353125,"Up",1.087e+09,-4.44e+08,-4.44e+08,6.43e+08,-4.46e+08,-2.81e+08,-1.68e+08,3e+06,1.97e+08,2e+06,-1.3e+07,-2e+07,7e+06,1.5e+07,1.99e+08,1.99e+08,-4e+07,1.59e+08,1.59e+08,1.59e+08,1.59e+08,1.394e+09,1.394e+09,6.18e+08,6.18e+08,6.96e+08,2.27e+08,2.27e+08,2.935e+09,5.68e+08,4.6e+07,2.799e+09,1.209e+09,5.46e+08,7.03e+08,3.41e+08,3.413e+09,6.348e+09,2.95e+08,2.47e+08,4.8e+07,6.37e+08,3.24e+08,3.13e+08,1.432e+09,1.292e+09,6.86e+08,2.12e+08,1.77e+08,2.97e+08,1.978e+09,3.41e+09,1.996e+09,1.714e+09,-4.6e+08,2.938e+09,2.938e+09,6.348e+09,1.59e+08,7.8e+07,3.7e+07,0,2.74e+08,-2.3e+07,-1.2e+08,-3.5e+07,2.6e+07,-2e+06,-3.7e+07,1.17e+08,1.17e+08,-999999.999999998,1.16e+08,2.75e+08,1.792e+09,2.92e+08,0.59154,0.18123,0.14627,0.05412,0.02505,1.83648,2.04958,1.16065,0.28229,0.84574,0.83246,5.78191,15.62766,1.55319,0.02936,0.05391,1.44727,2.0203
"21","2020_Q1",94.9690322580645,"Down",1.12e+09,-4.55e+08,-4.55e+08,6.65e+08,-4.57e+08,-2.86e+08,-1.76e+08,5e+06,2.08e+08,-5e+06,-1.4e+07,-2e+07,6e+06,9e+06,2.03e+08,2.03e+08,-8e+06,1.95e+08,1.95e+08,1.95e+08,1.95e+08,1.598e+09,1.598e+09,6.68e+08,6.68e+08,7.05e+08,2.44e+08,2.44e+08,3.215e+09,5.76e+08,4.6e+07,2.786e+09,1.209e+09,4.9e+08,7.55e+08,3.32e+08,3.408e+09,6.623e+09,3.91e+08,2.53e+08,1.38e+08,6.12e+08,3.34e+08,2.78e+08,1.003e+09,1.788e+09,8.28e+08,3.57e+08,1.76e+08,2.95e+08,2.616e+09,3.619e+09,2.015e+09,1.909e+09,-5.78e+08,3.004e+09,3.004e+09,6.623e+09,1.95e+08,7.9e+07,9e+06,-2e+07,2.63e+08,-3.7e+07,-2.7e+07,-2.7e+07,2e+06,-4e+06,-3.1e+07,2.05e+08,2.05e+08,-1e+06,2.04e+08,2.87e+08,1.788e+09,2.38e+08,0.59375,0.18571,0.17411,0.06491,0.02944,1.22051,3.20538,1.20473,0.26997,1.03723,1.02094,5.95745,15.97872,1.26596,0.0347,0.04235,0.66202,0.91346
"22","2020_Q2",98.1634920634921,"Up",1.095e+09,-4.4e+08,-4.4e+08,6.55e+08,-4.52e+08,-3e+08,-1.87e+08,3.5e+07,2.03e+08,-1e+06,-1.3e+07,-1.9e+07,6e+06,1.2e+07,2.02e+08,2.02e+08,-3.9e+07,1.63e+08,1.63e+08,1.63e+08,1.63e+08,1.691e+09,1.691e+09,6.7e+08,6.7e+08,7.37e+08,2.28e+08,2.28e+08,3.326e+09,5.78e+08,4.8e+07,2.889e+09,1.215e+09,4.35e+08,7.37e+08,5.02e+08,3.515e+09,6.841e+09,2.75e+08,2.24e+08,5.1e+07,7.07e+08,3.63e+08,3.44e+08,9.82e+08,1.788e+09,9.44e+08,3.5e+08,1.76e+08,4.18e+08,2.732e+09,3.714e+09,2.033e+09,2.072e+09,-5.61e+08,3.127e+09,3.127e+09,6.841e+09,1.63e+08,8e+07,3.3e+07,-7.9e+07,1.97e+08,-3.2e+07,-5e+06,-5e+07,2.6e+07,-4.9e+07,-9.9e+07,9.3e+07,9.3e+07,-5495127.0358437,9.3e+07,2.83e+08,1.788e+09,2.11e+08,0.59817,0.18539,0.14886,0.05213,0.02383,1.29448,3.38697,1.18772,0.26137,0.86702,0.8534,5.82447,16.63298,1.12234,0.02782,0.03601,0.34276,0.47783
"23","2020_Q3",98.22296875,"Up",8.95e+08,-3.79e+08,-3.79e+08,5.16e+08,-4.14e+08,-2.51e+08,-1.66e+08,3e+06,1.02e+08,6e+06,-1.6e+07,-2e+07,4e+06,2.2e+07,1.08e+08,1.08e+08,-3.7e+07,7.1e+07,7.1e+07,7.1e+07,7.1e+07,1.841e+09,1.841e+09,4.85e+08,4.85e+08,7.56e+08,2.11e+08,2.11e+08,3.293e+09,5.75e+08,5.7e+07,2.832e+09,1.217e+09,3.82e+08,7.26e+08,5.07e+08,3.464e+09,6.757e+09,2.07e+08,1.82e+08,2.5e+07,7.42e+08,3.91e+08,3.51e+08,9.49e+08,1.788e+09,9.35e+08,3.44e+08,1.67e+08,4.24e+08,2.723e+09,3.672e+09,2.046e+09,2.143e+09,-5.67e+08,3.085e+09,3.085e+09,6.757e+09,7.1e+07,7.9e+07,1.8e+07,1.3e+08,2.98e+08,-2.3e+07,-2.3e+07,-1.2e+08,0,-1e+06,-1.21e+08,1.54e+08,1.54e+08,-4e+06,1.5e+08,1.81e+08,1.788e+09,3.25e+08,0.57654,0.11397,0.07933,0.02301,0.01051,4.57746,3.46997,1.19028,0.26461,0.37766,0.37566,4.76064,16.40957,1.72872,0.01222,0.05596,-0.29282,-0.51961
"24","2020_Q4",115.14484375,"Up",1.011e+09,-4.05e+08,-4.05e+08,6.06e+08,-4.24e+08,-2.59e+08,-1.69e+08,4e+06,1.82e+08,3e+06,-1.9e+07,-2e+07,1e+06,2.2e+07,1.85e+08,1.85e+08,-9e+06,1.76e+08,1.76e+08,1.76e+08,1.76e+08,1.697e+09,1.697e+09,5.69e+08,5.69e+08,7.78e+08,2.34e+08,2.34e+08,3.278e+09,5.84e+08,6.2e+07,3.237e+09,1.51e+09,4.19e+08,7.46e+08,5.62e+08,3.883e+09,7.161e+09,2.33e+08,1.93e+08,4e+07,7.47e+08,3.86e+08,3.61e+08,9.8e+08,1.789e+09,1.038e+09,3.52e+08,1.73e+08,5.13e+08,2.827e+09,3.807e+09,2.092e+09,2.319e+09,-5.2e+08,3.354e+09,3.354e+09,7.161e+09,1.76e+08,8e+07,7e+06,-80000000.0000001,1.83e+08,-3.2e+07,-3.51e+08,3.1e+07,3.1e+07,-2e+06,2.2e+07,-1.46e+08,-1.46e+08,6e+06,-1.4e+08,2.62e+08,1.789e+09,1.59e+08,0.59941,0.18002,0.17409,0.05247,0.02458,0.90341,3.3449,1.13506,0.24983,0.95135,0.92632,5.46486,18.12973,0.85946,0.02847,0.02572,0.35115,0.50549
"25","2021_Q1",141.809016393443,"Up",1.22e+09,-4.64e+08,-445747688.52726,7.56e+08,-4.78e+08,-2.87e+08,-1.93e+08,2e+06,2.78e+08,-1.2e+07,-1.9e+07,-20218406.6162022,703408.610413222,7e+06,2.66e+08,2.66e+08,-4.9e+07,2.17e+08,2.17e+08,2.17e+08,2.17e+08,1.756e+09,1.756e+09,6.06e+08,6.06e+08,7.57e+08,2.55e+08,2.55e+08,3.374e+09,5.95e+08,6.1e+07,3.188e+09,1.537e+09,3.61e+08,7.4e+08,5.5e+08,3.844e+09,7.218e+09,3.58e+08,2.24e+08,1.34e+08,7.23e+08,3.91e+08,3.32e+08,1.081e+09,1.789e+09,1.051e+09,3.62e+08,1.75e+08,5.14e+08,2.84e+09,3.921e+09,2.112e+09,2.536e+09,-5.99e+08,3.297e+09,3.297e+09,7.218e+09,2.17e+08,8.7e+07,6.2e+07,-2.8e+07,3.38e+08,-3e+07,-6.3e+07,-2.14e+08,1e+06,-8e+06,-2.15e+08,6e+07,6e+07,4e+06,6.4e+07,3.65e+08,1.789e+09,3.56e+08,0.61967,0.22787,0.17787,0.06582,0.03006,1.64055,3.12118,1.18926,0.24785,1.16043,1.16667,6.52406,17.63102,1.90374,0.03536,0.05801,0.09041,0.11871
"26","2021_Q2",145.09873015873,"Up",1.18e+09,-4.73e+08,-4.73e+08,7.07e+08,-4.95e+08,-3.01e+08,-1.99e+08,5e+06,2.12e+08,-1.7e+07,-1.9e+07,-2e+07,1e+06,2e+06,1.95e+08,1.95e+08,-2.3e+07,1.72e+08,1.72e+08,1.72e+08,1.72e+08,1.887e+09,1.887e+09,6.54e+08,6.54e+08,7.6e+08,2.65e+08,2.65e+08,3.566e+09,5.97e+08,6.2e+07,3.269e+09,1.588e+09,3.56e+08,7e+08,6.25e+08,3.928e+09,7.494e+09,3.73e+08,2.28e+08,1.45e+08,7.51e+08,4.56e+08,2.95e+08,1.124e+09,1.79e+09,1.044e+09,3.62e+08,1.66e+08,5.16e+08,2.834e+09,3.958e+09,2.136e+09,2.708e+09,-5.36e+08,3.536e+09,3.536e+09,7.494e+09,1.72e+08,8.7e+07,5.8e+07,-2.2e+07,2.95e+08,-2.8e+07,-1.24e+08,7999999.99999994,2.8e+07,-5.1e+07,-43000000.0000001,1.28e+08,1.28e+08,8e+06,1.36e+08,2.99e+08,1.79e+09,2.72e+08,0.59915,0.17966,0.14576,0.04864,0.02295,1.5814,3.1726,1.11934,0.23886,0.92473,0.91489,6.34409,19.01075,1.46237,0.027,0.0427,-0.32441,-0.45755
"27","2021_Q3",167.861875,"Up",1.221e+09,-4.84e+08,-4.84e+08,7.37e+08,-5.02e+08,-2.97e+08,-2.09e+08,4e+06,2.35e+08,-2.7e+07,-1.9e+07,-1.9e+07,0,-8e+06,2.08e+08,2.08e+08,-2.2e+07,1.86e+08,1.86e+08,1.86e+08,1.86e+08,1.993e+09,1.993e+09,6.76e+08,6.76e+08,7.74e+08,2.75e+08,2.75e+08,3.718e+09,5.98e+08,6.5e+07,3.305e+09,1.608e+09,3.16e+08,7.12e+08,6.69e+08,3.968e+09,7.686e+09,3.99e+08,2.48e+08,1.51e+08,8.89e+08,4.88e+08,4.01e+08,1.288e+09,1.79e+09,1.063e+09,3.58e+08,1.72e+08,5.33e+08,2.853e+09,4.141e+09,2.154e+09,2.894e+09,-5.11e+08,3.545e+09,3.545e+09,7.686e+09,1.86e+08,8.5e+07,2.5e+07,1.06e+08,4.02e+08,-3.3e+07,-7.3e+07,-2.19e+08,1e+06,-2e+06,-2.21e+08,1.08e+08,1.08e+08,-2e+06,1.06e+08,3.2e+08,1.79e+09,4.15e+08,0.6036,0.19247,0.15233,0.05247,0.0242,2.23118,2.88665,1.16812,0.23289,1,0.98936,6.56452,19.05914,2.23118,0.02907,0.06486,-0.63438,-0.86383
"28","2021_Q4",187.0603125,"Up",1.246e+09,-4.58e+08,-469058157.188476,7.88e+08,-5.04e+08,-3.02e+08,-2.07e+08,5e+06,2.84e+08,-1.4e+07,-1.9e+07,-2e+07,1e+06,5e+06,2.7e+08,2.7e+08,-1.6e+07,2.54e+08,2.54e+08,2.54e+08,2.54e+08,2.153e+09,2.153e+09,6.77e+08,6.77e+08,7.7e+08,2.29e+08,2.29e+08,3.829e+09,6.16e+08,6.8e+07,3.291e+09,1.61e+09,2.83e+08,7.39e+08,6.59e+08,3.975e+09,7.804e+09,3.88e+08,2.49e+08,1.39e+08,8.11e+08,4.76e+08,3.35e+08,1.199e+09,1.791e+09,1.064e+09,3.48e+08,1.79e+08,5.37e+08,2.855e+09,4.054e+09,2.202e+09,3.148e+09,-5.28e+08,3.75e+09,3.75e+09,7.804e+09,2.54e+08,6.4e+07,-6e+06,-5.5e+07,2.57e+08,-4e+07,-4.1e+07,-5e+07,3e+07,-2999999.99999999,-5.3e+07,1.63e+08,1.63e+08,-2e+06,1.61e+08,3.48e+08,1.791e+09,2.69e+08,0.63242,0.22793,0.20385,0.06773,0.03255,1.05906,3.19349,1.08107,0.2295,1.37297,1.35829,6.73514,20.27027,1.45405,0.03846,0.04073,-1.04023,-1.27465
"29","2022_Q1",166.570322580645,"Down",1.294e+09,-4.57e+08,-447300645.483576,8.37e+08,-4.88e+08,-2.95e+08,-1.96e+08,3e+06,3.49e+08,-1.2e+07,-1.9e+07,-20483055.2284834,1350490.61604404,7e+06,3.37e+08,3.37e+08,-5.5e+07,2.82e+08,2.82e+08,2.82e+08,2.82e+08,2.052e+09,2.052e+09,7.35e+08,7.35e+08,7.77e+08,2.7e+08,2.7e+08,3.834e+09,6.5e+08,7e+07,3.227e+09,1.628e+09,2.72e+08,7.11e+08,6.16e+08,3.947e+09,7.781e+09,4.35e+08,2.87e+08,7.4e+07,8.74e+08,4.78e+08,3.96e+08,1.309e+09,1.791e+09,8.97e+08,1.67e+08,1.87e+08,5.43e+08,2.688e+09,3.997e+09,2.219e+09,3.43e+09,-4.42e+08,3.784e+09,3.784e+09,7.781e+09,2.82e+08,5.7e+07,2.2e+07,7e+06,3.68e+08,-7.3e+07,-1.15e+08,-3.53e+08,0,-1e+06,-3.54e+08,-1.01e+08,-1.01e+08,-1e+06,-1.02e+08,4.06e+08,1.791e+09,3.95e+08,0.64683,0.26971,0.21793,0.07452,0.03624,1.40071,2.92895,1.05629,0.23018,1.52432,1.50802,6.99459,20.45405,2.13514,0.04357,0.06103,-0.64286,-0.74785
"30","2022_Q2",142.254677419355,"Down",1.25e+09,-4.46e+08,-4.46e+08,8.04e+08,-5.33e+08,-3.26e+08,-2.1e+08,3e+06,2.71e+08,-7e+06,-1.9e+07,-2e+07,1e+06,1.2e+07,2.64e+08,2.64e+08,-3.5e+07,2.29e+08,2.29e+08,2.29e+08,2.29e+08,1.977e+09,1.977e+09,7.08e+08,7.08e+08,8.04e+08,3.19e+08,3.19e+08,3.808e+09,6.72e+08,6.5e+07,3.183e+09,1.623e+09,2.5e+08,6.95e+08,6.15e+08,3.92e+09,7.728e+09,4.75e+08,2.94e+08,1.81e+08,7.82e+08,4.95e+08,2.87e+08,1.257e+09,1.791e+09,8.7e+08,1.54e+08,1.9e+08,5.26e+08,2.661e+09,3.918e+09,2.233e+09,3.659e+09,-4.51e+08,3.81e+09,3.81e+09,7.728e+09,2.29e+08,5.7e+07,7e+07,-1.32e+08,2.24e+08,-4.2e+07,-4.9e+07,-1.75e+08,3.1e+07,-7.2e+07,-2.47e+08,-7.2e+07,-7.2e+07,-4e+06,-7.6e+07,3.28e+08,1.791e+09,1.89e+08,0.6432,0.2168,0.1832,0.0601,0.02963,0.82533,3.02944,1.02835,0.23175,1.25137,1.23118,6.8306,20.81967,1.03279,0.03539,0.02921,-0.56707,-0.68635
