"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"27","2016_Q4",27.5844444444444,"Down",506200000,-305200000,2.01e+08,-153100000,47900000,-4900000,-4e+06,-4e+06,-9e+05,4.3e+07,4.4e+07,-14500000,28800000,28800000,28100000,28100000,28200000,12300000,3900000,8100000,52500000,-2e+07,-2e+07,-2e+07,-1600000,-23100000,-8800000,-3900000,1100000,-5e+06,1e+05,-29300000,1e+05,1e+05,5e+05,6e+05,60200000,240200000,62800000,0.39708,0.09463,0.05551,2.23488,0.46923,0.4643,8.45278,1.04867,0.14695,0.31317
"28","2017_Q1",27.5346774193548,"Down",582600000,-357400000,225200000,-168600000,56600000,-2600000,-3e+06,-3800000,4e+05,5.4e+07,5.4e+07,-13400000,40600000,40600000,40600000,40600000,40600000,7100000,15900000,20900000,84500000,-29900000,-29900000,-29900000,-299999.999999998,-22800000,-8900000,-2900000,2500000,-5400000,2e+05,-29900000,31800000,31800000,-2200000,29600000,63700000,221900000,68100000,0.38654,0.09715,0.06969,1.67734,0.67817,0.6667,9.73161,1.13753,0.14866,0.21921
"29","2017_Q2",28.5071428571429,"Up",598600000,-368600000,2.3e+08,-173600000,56400000,-3200000,-3800000,-3800000,6e+05,53200000,53200000,-1.7e+07,36500000,36500000,36300000,36300000,36500000,13900000,6900000,-27100000,30200000,-22100000,-22100000,-22100000,-29300000,-51400000,-8800000,-1200000,6e+06,-7200000,-1200000,8e+05,-20400000,-20400000,6e+05,-19800000,70300000,0,38100000,0.38423,0.09422,0.06064,1.04959,0.6057,0.59963,9.98819,0.63573,0.14684,0.24242
"30","2017_Q3",30.2657142857143,"Up",577500000,-359500000,2.18e+08,-167400000,50600000,-4300000,-3900000,-3900000,-4e+05,46300000,45300000,-14500000,31600000,31600000,31700000,31700000,31600000,14400000,1400000,16800000,64200000,-24600000,-24600000,-24600000,-1300000,-25900000,-10200000,-4400000,5e+05,-4900000,-2200000,-31100000,7199999.99999999,7199999.99999999,-4e+05,6800000,6.5e+07,199900000,71700000,0.37749,0.08762,0.05489,2.26183,0.52874,0.52633,9.63249,1.19593,0.17013,0.32177
"31","2017_Q4",31.7209523809524,"Up",524900000,-329500000,195400000,-157700000,37700000,-2900000,-3700000,-3700000,8e+05,34800000,32100000,-9600000,22500000,22500000,22500000,22500000,22500000,14700000,7600000,-17100000,27700000,-23800000,-23800000,-23800000,2500000,-21700000,-10200000,-4e+06,1100000,-5100000,0,7e+05,6700000,6700000,-2e+05,6500000,52400000,0,21100000,0.37226,0.07182,0.04287,0.93778,0.37595,0.3719,8.77049,0.35256,0.17043,0.45333
"32","2018_Q1",34.3962295081967,"Up",577200000,-356400000,220800000,-161900000,58900000,-3100000,-1600000,-3800000,-1500000,55800000,4.7e+07,-1.4e+07,33500000,33500000,33400000,33400000,33500000,9900000,2.4e+07,12600000,8e+07,-16800000,-16800000,-16800000,2e+05,-17300000,-10200000,-2400000,4100000,-6500000,2200000,-4.5e+07,17700000,17700000,1e+05,17800000,68800000,199900000,78600000,0.38254,0.10204,0.05787,2.35329,0.55895,0.54797,9.65949,1.31538,0.1707,0.30539
"33","2018_Q2",30.19453125,"Down",580300000,-363400000,216900000,-1.66e+08,50900000,-3e+06,-3700000,-3700000,7e+05,47900000,46500000,-14200000,33100000,33100000,33100000,33100000,33100000,15500000,-9800000,-19900000,18900000,-24900000,-24900000,-24900000,-1300000,-24200000,-10200000,-6700000,4400000,-11100000,-1e+05,-1.3e+07,-18300000,-18300000,2100000,-16200000,66400000,203900000,35800000,0.37377,0.08771,0.05704,1.08157,0.5539,0.54866,9.71073,0.59908,0.17069,0.30816
"34","2018_Q3",34.8253968253968,"Up",604500000,-382400000,222100000,-171200000,50900000,-3400000,-3700000,-3700000,3e+05,47500000,4.7e+07,-14300000,33400000,33400000,33400000,33400000,33400000,16300000,1300000,11600000,62600000,-14900000,-14900000,-14900000,8500000,-6400000,-10700000,-4700000,1500000,-6200000,-8e+05,-20200000,3.6e+07,3.6e+07,-1400000,34600000,67200000,2.75e+08,78200000,0.36741,0.0842,0.05525,2.34132,0.55902,0.55423,10.1175,1.30883,0.17909,0.32036
"35","2018_Q4",30.6896825396825,"Down",578400000,-372700000,205700000,-1.67e+08,38700000,-2500000,-3200000,-3200000,7e+05,36200000,36200000,-6900000,3e+07,3e+07,29800000,29800000,3e+07,17600000,-7800000,-10600000,29200000,-11200000,-11200000,-11200000,-8e+05,-11900000,-10800000,-2900000,9900000,-12800000,2e+05,61500000,78800000,78800000,-4e+05,78400000,56300000,2.75e+08,41400000,0.35564,0.06691,0.05152,1.38926,0.49872,0.49232,9.6798,0.69285,0.18074,0.36242
"36","2019_Q1",32.3790163934426,"Up",6.18e+08,-389700000,228300000,-184200000,44100000,-1900000,1500000,-2900000,-3400000,42200000,38400000,-7e+06,32200000,32200000,31800000,31800000,32200000,11500000,24200000,-12100000,55800000,-19600000,-19600000,-19600000,-599999.999999996,-20200000,-10700000,-15200000,1200000,-16400000,1e+05,-25800000,9800000,9800000,1100000,10900000,55600000,2.75e+08,30900000,0.36942,0.07136,0.05146,0.9717,0.53477,0.52892,10.39262,0.51963,0.17994,0.33648
"37","2019_Q2",35.3049206349206,"Up",624600000,-399500000,225100000,-1.78e+08,47100000,-1900000,-2900000,-2900000,1e+06,45200000,44100000,-8900000,35900000,35900000,35800000,35800000,35900000,1.9e+07,2900000,-24900000,32900000,-2.2e+07,-2.2e+07,-2.2e+07,-77700000,-99700000,-10700000,-12300000,8500000,-20800000,-1e+07,-3.3e+07,-99800000,-99800000,-2400000,-102200000,66100000,281900000,28100000,0.36039,0.07541,0.05732,0.78492,0.603,0.59797,10.52044,0.4733,0.18023,0.29888
"38","2019_Q3",41.25359375,"Up",652700000,-417100000,235600000,-182200000,53400000,-3800000,-3100000,-3100000,-699999.999999999,49600000,49300000,-11100000,39300000,39300000,39300000,39300000,39300000,18600000,2800000,-2100000,58600000,-19100000,-19100000,-19100000,1e+05,-1.9e+07,-11700000,-14700000,1900000,-16600000,-4e+05,-26800000,12800000,12800000,-9e+05,11900000,7.2e+07,0,61900000,0.36096,0.08181,0.06021,1.57506,0.66549,0.66212,11.05249,1.04818,0.19812,0.29771
"39","2019_Q4",43.65203125,"Up",618900000,-397900000,2.21e+08,-172900000,48100000,-2100000,-1700000,-3100000,-4e+05,4.6e+07,45700000,-7300000,39400000,39400000,39400000,39400000,39400000,17700000,2400000,-20400000,39100000,-21900000,-21900000,-21900000,-1800000,-23700000,-11600000,-5300000,7e+05,-6e+06,1e+05,-16800000,-1400000,-1400000,1300000,-1e+05,65800000,0,30800000,0.35709,0.07772,0.06366,0.78173,0.66962,0.66643,10.51854,0.52346,0.19715,0.29442
"40","2020_Q1",32.7482258064516,"Down",6.71e+08,-422800000,248200000,-183100000,65100000,-6e+05,-2300000,-3e+06,1700000,64500000,5.6e+07,-12300000,45900000,45900000,4.6e+07,4.6e+07,45900000,16800000,6300000,16800000,85800000,-22300000,-22800000,-22800000,73500000,-22600000,-11600000,-3300000,1200000,-4500000,-400000.000000001,-15300000,47900000,47900000,-2200000,45700000,81900000,2.85e+08,88700000,0.3699,0.09702,0.06855,1.92826,0.78252,0.77726,11.41465,1.50891,0.19733,0.25217
"41","2020_Q2",21.4909523809524,"Down",670900000,-424800000,246100000,-184200000,61900000,-2100000,-2300000,-3e+06,2e+05,59800000,5.8e+07,-12200000,4.8e+07,4.8e+07,48200000,48200000,4.8e+07,19300000,4400000,-1.7e+07,54700000,-20600000,-20600000,-20600000,-3400000,-2.4e+07,-11600000,5100000,12700000,-7600000,-21400000,-27900000,2800000,2800000,-2500000,3e+05,81200000,2.75e+08,55800000,0.36682,0.09226,0.07184,1.15768,0.81821,0.81375,11.38875,0.94722,0.19691,0.24066
"42","2020_Q3",23.54640625,"Up",674300000,-418800000,255500000,-188700000,66800000,-2600000,-2300000,-3e+06,-3e+05,64200000,90400000,-1.3e+07,78600000,78600000,78600000,78600000,78600000,18600000,-23400000,13900000,87700000,-17800000,-1.8e+07,-1.8e+07,-3e+05,-58100000,-12400000,1e+05,6e+05,-5e+05,-4e+05,-12700000,16900000,16900000,6e+05,17500000,85400000,2.75e+08,94500000,0.37891,0.09907,0.11657,1.20229,1.33081,1.32309,11.41687,1.60002,0.20995,0.15776
"43","2020_Q4",33.181875,"Up",665600000,-422300000,243300000,-189400000,53900000,-2800000,-2300000,-2900000,-5e+05,51100000,47600000,-10600000,37300000,37300000,37700000,37700000,37300000,21800000,7300000,-1.7e+07,49400000,-17800000,-17900000,-17900000,-2e+05,-89200000,-12400000,-1.6e+07,1800000,-17800000,-8e+05,-29200000,-6.9e+07,-6.9e+07,2600000,-66400000,75700000,2.75e+08,51500000,0.36553,0.08098,0.05664,1.36605,0.63963,0.63722,11.29283,0.87377,0.21038,0.32891
"44","2021_Q1",36.6616393442623,"Up",475800000,-309500000,166300000,-1.55e+08,11300000,-3700000,-3300000,-3600000,-4e+05,7599999.99999999,-208900000,29700000,-177900000,-177900000,-173200000,-173200000,-177900000,19800000,180800000,7300000,3e+07,-12800000,-12500000,-12500000,13900000,3200000,-1.86264514923096e-09,-2e+05,5e+05,-699999.999999996,-999999.999999999,313800000,3.47e+08,3.47e+08,-3600000,343400000,31100000,591300000,-4100000,0.34952,0.02375,-0.36402,0.0236700000000003,-2.94699,-2.9923,8.09572,-0.06976,-2.77555756156289e-17,-5.55111512312578e-17
"45","2021_Q2",43.5630158730159,"Up",626800000,-376800000,2.5e+08,-155800000,94200000,-1600000,-3300000,-3700000,1700000,92600000,93800000,-20600000,73400000,73400000,7.3e+07,7.3e+07,73400000,21200000,7e+05,20600000,115900000,-11300000,-11300000,-11300000,-2e+05,-5100000,-12300000,-1e+05,8e+05,-9e+05,9e+05,-276500000,-165700000,-165700000,8300000,-157400000,115400000,327300000,145300000,0.39885,0.15029,0.11646,1.99041,1.24084,1.23804,10.65419,2.46977,0.20907,0.16849
"46","2021_Q3",41.459375,"Down",626200000,-3.82e+08,244200000,-170800000,73400000,-2100000,-3100000,-3500000,1e+06,71300000,68900000,-16300000,52799999.9999999,52799999.9999999,51200000,51200000,52800000,22100000,9100000,14700000,98700000,-13100000,-13100000,-13100000,-11200000,-19300000,3.72529029846191e-09,2300000,2300000,0,-2700000,-399999.999999881,7.9e+07,7.9e+07,2300000,81300000,95500000,327200000,113400000,0.38997,0.11721,0.0817599999999999,2.21484,0.869149999999999,0.86598,10.63012,1.92503,-2.77555756156289e-17,0
"47","2021_Q4",37.7546875,"Down",590600000,-359600000,2.31e+08,-175600000,55400000,1500000,-3100000,-3600000,4600000,56900000,56600000,-1.3e+07,43300000,43300000,41500000,41500000,43300000,21500000,2899999,-22200000,45499999,-18400000,-18400000,-18400000,-2e+05,-18500000,-11100000,8e+05,8e+05,0,-1e+05,-10400000,16599999,16599999,2900000,19499999,76900000,3.27e+08,49300000,0.39113,0.0938,0.07027,1.18795,0.70363,0.6969,10.01361,0.83588,0.1882,0.26747
"48","2022_Q1",35.933064516129,"Down",621500000,-395600000,225900000,-213700000,12200000,-2e+06,-2300000,-3100000,300000.000000001,10200000,8999999.99999999,1600000,10800000,10800000,8900000,8900000,10800000,22400000,3300001,35700000,72200001,-1.7e+07,-1.7e+07,-1.7e+07,-1900000,-1.7e+07,-11100000,1100000,1100000,0,-400000.000000001,-60400000.0000001,-5199999.00000001,-5199999.00000001,4200000,-999999,34600000,277100000,51700000,0.36348,0.01963,0.01432,5.80899,0.15083,0.14853,10.53284,0.87618,0.18812,1.24719
"49","2022_Q2",29.6891935483871,"Down",789700000,-5.12e+08,277700000,-330300000,-52600000,-1.8e+07,-5300000,-1020214.41440099,-12700000,-70600000,-70600000,10700000,-59800000,-59800000,-61400000,-61400000,-59800000,59700000,19200000,-70800000,-51700000,-18600000,1997141.88948522,1997141.88948522,2400000,-1104700000,-11100000,-8800000,2200000,-1.1e+07,-25500000,1001600000,-154800000,-154800000,-6500000,-161300000,7100000,1.321e+09,-9.3e+07,0.35165,-0.06661,-0.07775,1.51466,-0.92606,-0.92606,11.91061,-1.40267,0.16742,-0.18078
