"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2018_Q4",7.6368253968254,"Down",2.09547579288483e-09,-38553000,-11527000,-27026000,-38553000,1061000,-37492000,-37492000,-37492000,-37492000,-37492000,-37492000,180783000,66279000,7009000,7009000,200136000,1965000,1045000,1045000,3010000,203146000,26708000,6300000,20408000,26742000,4520000,714000,4573000,31315000,735633000,-563779000,171831000,171831000,203146000,-37492000,222000,2724000,-1272000,-35818000,-43000,33652000,219000,219000,320000,538999.999999996,-1627000,-1627000,-1627000,-38331000,69000,-0.21819,-0.18456,7.48396,0.18224,0.00034,-0.53915,-0.53915,-3.12250225675825e-17,2.471,-0.21252,4.71457,4.68742
"23","2019_Q1",11.1798360655738,"Up",9700000,-34010000,-12171000,-21839000,-24310000,1422000,-22888000,-22888000,-22945000,-22945000,-22945000,-22945000,240304000,86671000,12164000,12164000,272535000,2057000,909000,909000,2966000,275501000,24480000,4780000,19700000,37833000,4606000,8e+05,4659000,42492000,819787000,-586724000,233009000,233009000,275501000,-22945000,248000,2162000,-2018000,-22553000,-147000,-38795000,8.2e+07,8.2e+07,-260000,81740000,20392000,20392000,20392000,-24062000,69000,-0.09847,-0.08328,7.20363,0.18236,0.00025,-0.29029,-0.29029,0.12272,2.94795,-0.09654,9.984,9.88215
"24","2019_Q2",12.8671428571429,"Up",7891000,-38882000,-11986000,-26896000,-30991000,1652000,-29339000,-29339000,-32279000,-32279000,-32279000,-32279000,371146000,144305000,15214000,15214000,399338000,1846000,11538000,11538000,13384000,412722000,23617000,8017000,15600000,31828000,3859000,53000,12541000,44369000,946952000,-616063000,368353000,368353000,412722000,-29339000,207000,2501000,-4931000,-31562000,-21000,-72452000,123878000,123878000,338000,161648000,57634000,57634000,57634000,-30784000,11465000,-0.08763,-0.07821,12.54675,0.12045,0.02778,-0.39162,-0.39162,0.09574,4.01486,-0.08413,11.68402,11.60598
"25","2019_Q3",12.61390625,"Down",5900000,-56605000,-15698000,-40907000,-50705000,2240000,-48465000,-48465000,-48465000,-48465000,-48465000,-48465000,330980000,45932000,14106000,14106000,358359000,1992000,11061000,11061000,13053000,371412000,24782000,7069000,17713000,33933000,3844000,38000,11794000,45727000,952533000,-664528000,325685000,325685000,371412000,-48465000,209000,3644000,2721000,-41891000,-169000,-57094000,853000,853000,-242000,612000,-98373000,-98373000,-98373000,-50496000,10826000,-0.14881,-0.13049,10.56078,0.1404,0.02915,-0.6712,-0.6712,0.08171,3.99209,-0.1424,6.34019,6.31405
"26","2019_Q4",14.84421875,"Up",5715000,-43668000,-17089000,-26579000,-37953000,1864000,-36089000,-36089000,-33149000,-33149000,-33149000,-36089000,292861000,93463000,16078000,16078000,320939000,1827000,11431000,11431000,13258000,334197000,24658000,5354000,19304000,29432000,3844000,38000,11027000,40459000,956774000,-700617000,293738000,293738000,334197000,-36089000,210000,2711000,-5063000,-38231000,-233000,86266000,183000,183000,360000,543000,48578000,48578000,48578000,-37743000,10147000,-0.12286,-0.10799,10.90442,0.13774,0.03036,-0.32866,-0.32866,0.05205,2.33419,-0.11728,7.4905,7.44906
"27","2020_Q1",21.4759677419355,"Up",4294000,-61787000,-23530000,-38257000,-57493000,1341000,-56152000,-56344000,-56402000,-56402000,-56402000,-56402000,381087000,139482000,15523000,15523000,399177000,2219000,23193000,23193000,25412000,424589000,31347000,8782000,22565000,34386000,16637000,12831000,59066000,93452000,1050705000,-757019000,331137000,331137000,424589000,-56402000,214000,6306000,14398000,-35484000,-171000,-42324000,138382000,138382000,-2106000,123827000,46019000,46019000,46019000,-57279000,45468000,-0.17033,-0.13284,11.60871,0.28222,0.10709,-0.5929,-0.5929,0.04514,3.08744,-0.14343,5.85937,5.83756
"28","2020_Q2",17.4557142857143,"Down",1354000,-52090000,-26927000,-25163000,-51350000,708000,-50642000,-50937000,-50937000,-50937000,-50937000,-50937000,376461000,179262000,22627000,22627000,402440000,2071000,47126000,22424000,49197000,451637000,23988000,5928000,18060000,27183000,16931000,13125000,84137000,111320000,1112221000,-807956000,340317000,340317000,451637000,-50937000,512000,6637000,-14480000,-58268000,-25063000,19516000,53701000,53701000,-169000,78532000,39780000,39780000,39780000,-50838000,70385000,-0.14968,-0.11278,14.80484,0.32711,0.15584,-0.51133,-0.51133,0.01359,3.05363,-0.11911,6.02061,5.96058
"29","2020_Q3",13.394375,"Down",2468000,-59010000,-32657000,-26353000,-57565000,-585000,-58150000,-58451000,-58451000,-58451000,-58451000,-58451000,322062000,117152000,20991000,20991000,354664000,2268000,70451000,21372000,72719000,427383000,26633000,4583000,22050000,30655000,17215000,13409000,103365000,134020000,1123183000,-866407000,293363000,293363000,427383000,-58451000,850000,8587000,-3414000,-52428000,-25266000,-32349000,2024000,2024000,643000,22667000,-62110000,-62110000,-62110000,-56715000,90028000,-0.19924,-0.13676,11.56953,0.45684,0.21065,-0.57813,-0.57813,0.02441,2.54427,-0.14591,4.09123,4.03082
"30","2020_Q4",12.3365625,"Down",3565000,-56314000,-30577000,-25737000,-54356000,-1405000,-55761000,-56073000,-56073000,-56073000,-56073000,-56073000,279907000,93422000,18510000,18510000,311185000,2120000,68451000,20410000,70571000,381756000,30182000,7370000,22812000,34780000,17528000,13722000,102567000,137347000,1130642000,-922480000,244409000,244409000,381756000,-56073000,1312000,6889000,5347000,-42525000,-265000,17722000,1719000,1719000,-646000,1073000.00000001,-23730000,-23730000,-23730000,-53044000,89614000,-0.22942,-0.14688,8.94724,0.56196,0.23474,-0.55233,-0.55233,0.03512,2.05161,-0.1595,3.58746,3.50086
"31","2021_Q1",10.3472131147541,"Down",8375000,-68697000,-35017000,-33680000,-62145000,-3499000,-65644000,-66119000,-66233000,-66233000,-66233000,-66233000,373606000,168215000,17921000,17921000,405093000,2152000,66328000,19326000,68480000,473573000,38735000,10163000,28572000,43400000,14197000,14197000,245276000,288676000,1137480000,-988713000,184897000,184897000,473573000,-66233000,1310000,7303000,4505000,-53115000,-286000,-19558000,417000,417000,-2951000,147466000,74793000,74793000,74793000,-60835000,235744000,-0.35822,-0.13986,9.33394,1.56128,0.4978,-0.65191,-0.65191,0.08243,1.46429,-0.15232,2.26616,2.21839
"32","2021_Q2",8.43079365079365,"Down",7631000,-69115000,-36411000,-32704000,-64337000,-5467000,-69804000,-70274000,-70274000,-70274000,-70274000,-70274000,298943000,73711000,16893000,16893000,340417000,2035000,64259000,18295000,66294000,406711000,29210000,5357000,23853000,39006000,14666000,14666000,244674000,283680000,1145885000,-1058987000,123031000,123031000,406711000,-70274000,1282000,8036000,-14619000,-75575000,-119000,-20319000,1390000,1390000,-1979085.56517271,1390000,-94504000,-94504000,-94504000,-63055000,234804000,-0.57119,-0.17279,8.7273,2.30576,0.57732,-0.69038,-0.69038,0.07497,0.85376,-0.18865,1.01719,0.99692
"33","2021_Q3",6.07328125,"Down",13010000,-68749000,-33892000,-34857000,-58232000,-5634000,-63866000,-64363000,-64363000,-64363000,-64363000,-64363000,244006000,80164000,20289000,20289000,272488000,1872000,78189000,33263000,80061000,352549000,35964000,7295000,28669000,40893000,15143000,15143000,244027000,284920000,1154854000,-1123350000,67629000,67629000,352549000,-64363000,1313000,7711000,-1332000,-56671000,-102000,60978000,2251000,2251000,-105000,2146000,6453000,6453000,6453000,-56919000,233813000,-0.95171,-0.18256,6.66344,4.21299,0.66321,-0.63231,-0.63231,0.12781,0.30948,-0.2033,0.17908,0.17504
"34","2021_Q4",3.92859375,"Down",5203000,-67341000,-32792000,-34549000,-64137000,-5672000,-69809000,-65834000,-65834000,-65834000,-65834000,-65834000,221293000,124517000,21455000,21455000,247601000,1739000,82931000,39044000,84670000,332271000,40784000,9862000,30922000,44735000,27531000,15581000,263526000,308261000,1168440000,-1189184000,24010000,24010000,332271000,-65834000,1320000,2655000,19218000,-42641000,-166000,66640000,7416000,7416000,-112000,20354000,44353000,44353000,44353000,-62817000,239946000,-2.74194,-0.19813,5.53484,12.83886,0.72214,-0.64465,-0.64465,0.05095,-0.20316,-0.22586,-0.29694,-0.29083
"35","2022_Q1",1.63016129032258,"Down",11583000,-59716000,-30860000,-28856000,-51286000,-5673000,-56959000,-50629000,-50651000,-50651000,-50651000,-50651000,176790000,98336000,19465000,19465000,206043000,1545000,81412000,38563000,82957000,2.89e+08,41042000,10265000,30777000,45196000,27604000,15654000,262562000,307758000,1183017000,-1239835000,-18758000,-18758000,2.89e+08,-50651000,1331000,808000,-3454000,-51966000,-99000,17875000,7693000,7693000,217000,7910000,-26181000,-26181000,-26181000,-49955000,239112000,2.70023,-0.17526,4.55888,-16.40676,0.82738,-0.48852,-0.48852,0.11172,-0.54797,-0.20427,-1.24756,-1.21519
"36","2022_Q2",0.734677419354839,"Down",8696000,-56985000,-27204000,-29781000,-50926000,-5528000,-56454000,-55474000,-55505000,-55505000,-55505000,-55505000,199730000,77421000,18480000,18480000,228706000,1295000,82185000,40374000,83480000,312186000,34097000,7907000,26190000,38967000,27774000,15824000,261518000,300485000,1270525000,-1295340000,11701000,11701000,312186000,-55505000,1298000,4608000,-9591000,-59190000,-10000,-44188000,82648000,82648000,-185000,82463000,-20915000,-20915000,-20915000,-49628000,238614000,-4.74361,-0.17779,5.86922,25.68028,0.76433,-0.5327,-0.5327,0.08346,-0.23999,-0.19959,-0.78351,-0.76354
"37","2022_Q3",1.48147058823529,"Up",27528000,-52164000,-24111000,-28053000,-29807000,-5557000,-35364000,-35744000,-35744000,-35744000,-35744000,-35744000,144412000,71066000,25676000,25676000,186840000,1052000,76267000,35495000,77319000,264159000,29672000,5001000,24671000,34954000,16475000,16020000,248906000,283860000,1311055000,-1331084000,-19701000,-19701000,264159000,-35744000,1282000,5215000,-25561000,-54808000,0,48710000,0,0,-257000,-257000,-6355000,-6355000,-6355000,-28525000,237713000,1.81432,-0.13531,5.34531,-14.40841,0.89989,-0.24788,-0.24788,0.1909,-0.14064,-0.15243,-3.27085,-3.13017
