"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2013_Q4",25.9053125,"Up",122982000,-102949000,20033000,-15776000,-15776000,4257000,-134000,-20000,-114000,4123000,4123000,-855000,3268000,3268000,3325000,3325000,73375000,73375000,94420000,94420000,53782000,11882000,7872000,233459000,93380000,84245000,17257000,17046000,49942000,177625000,411084000,46472000,46472000,78919000,4e+07,8932000,3375000,48932000,127851000,99312000,-11377000,176804000,18173000,282912000,283233000,411084000,3268000,4360000,2588000,10216000,-6456000,-6456000,-2594000,-1e+07,4e+06,-8594000,-4834000,-4834000,1210000,-3624000,4e+07,0.16289,0.03461,0.02704,0.01174,0.00809,2.95821,0.4514,0.0973,0.08887,0.08756,3.2871,7.56176,0.06933,0.01782,0.78015,-7.84003
"12","2014_Q1",29.6026229508197,"Up",148322000,-120514000,27808000,-19850000,-18050000,7958000,-664000,27000,-691000.000000002,7294000,2994000,7019000,10013000,10013000,10124000,10124000,65800000,65800000,119800000,119800000,59900000,13100000,9500000,258600000,98400000,77900000,12900000,16500000,33700000,176300000,434900000,8.6e+07,61500000,8.6e+07,43500000,15800000,7100000,59300000,145300000,100700000,-11400000,184400000,15700000,289400000,289600000,434900000,10013000,-894000,-8820000,299000,-8587000,-8553000,-2519000,-5e+06,8500000,1581000,-6673000,-6673000,-905000,-7578000,43500000,0.18748,0.05365,0.06826,0.03496,0.02328,3.00698,0.50173,0.10002,0.27065,0.26831,3.96511,7.73657,0.06734,0.03624,0.24881,-2.80221
"13","2014_Q2",27.4861904761905,"Down",167300000,-133300000,3.4e+07,-18900000,-18900000,15100000,-2e+05,-1e+05,-1e+05,14900000,14900000,-1300000,13600000,13600000,13600000,13600000,73412000,73412000,135585000,135585000,69012000,14208000,10572000,292217000,100318000,81358000,12922000,16032000,52404000,181676000,473893000,76166000,76166000,103306000,52500000,12778000,3705000,65278000,168584000,102940000,-11377000,195374000,18123000,305060000,305309000,473893000,13600000,6400000,-11300000,8700000,-9300000,-9300000,-2600000,-5500000,14500000,7400000,6800000,6800000,8e+05,7600000,52500000,0.20323,0.09026,0.08129,0.04455,0.0287,2.82865,0.55218,0.11078,0.36216,0.35554,4.45507,8.12351,0.06924,0.04371,0.19118,-1.3849
"14","2014_Q3",31.9534375,"Up",190900000,-149500000,41400000,-19600000,-19600000,21800000,-5e+05,-1e+05,-4e+05,21300000,21300000,-1400000,19900000,19900000,19900000,19900000,87819000,87819000,147453000,147453000,68625000,13700000,9956000,317597000,102858000,82042000,12955000,15625000,53462000,184900000,502497000,78410000,78410000,106554000,51500000,14244000,3281000,65744000,172298000,104944000,-11377000,212559000,23805000,329931000,330199000,502497000,19900000,6e+06,-3800000,22100000,-7200000,-7200000,-2600000,-8e+06,7e+06,-2300000,12600000,12600000,1800000,14400000,51500000,0.21687,0.1142,0.10424,0.06027,0.0396,2.98062,0.5218,0.10249,0.5276,0.51763,5.06128,8.74737,0.06893,0.05683,0.13065,-1.66601
"15","2014_Q4",33.90265625,"Up",189700000,-151200000,38500000,-22100000,-22100000,16400000,-4e+05,-1e+05,-3e+05,1.6e+07,1.6e+07,-1500000,14500000,14500000,14500000,14500000,96779000,96779000,134881000,134881000,79206000,14133000,10466000,324999000,102655000,79560000,12935000,15182000,51443000,182215000,507214000,70887000,70887000,98864000,5e+07,16268000,3416000,66268000,165132000,108310000,-11377000,224502000,20389000,341824000,342082000,507214000,14500000,6200000,-2100000,18600000,-7e+06,-7e+06,-2700000,-8500000,7e+06,-1500000,10100000,10100000,-1100000,9e+06,5e+07,0.20295,0.08645,0.07644,0.04239,0.02859,3.28733,0.48273,0.09858,0.38087,0.38489,4.98279,8.97858,0.07092,0.04212,0.18621,-2.85238
"16","2015_Q1",36.1760655737705,"Up",224900000,-182100000,42800000,-20800000,-1.9e+07,2.2e+07,3400000,0,3400000,25400000,23700000,24500000,48200000,48200000,48100000,48100000,116400000,116400000,1.73e+08,1.73e+08,71600000,20700000,11600000,381700000,101200000,92600000,1.3e+07,1.3e+07,26600000,193800000,575500000,117800000,8.2e+07,117800000,4.8e+07,17500000,3400000,65500000,183300000,109400000,-11400000,269200000,24700000,391900000,392200000,575500000,48200000,-22200000,-3e+06,2.3e+07,-5500000,6e+05,-3400000,-11500000,9900000,-5e+06,18600000,18600000,1e+06,19600000,4.8e+07,0.19031,0.09782,0.21387,0.12264,0.08358,3.24024,0.46736,0.08341,1.24762,1.2495,5.83349,10.16516,0.08819,0.11252,0.07069,-3.10909
"17","2015_Q2",40.6633333333333,"Up",218100000,-167600000,50500000,-22200000,-22200000,28300000,1e+05,0,1e+05,28400000,28400000,-7e+06,21400000,21400000,21400000,21400000,135700000,135700000,156700000,156700000,74100000,1.9e+07,12900000,385500000,99500000,90700000,12900000,12600000,2.8e+07,190200000,575700000,79500000,79500000,1.19e+08,3.8e+07,10800000,4400000,48800000,167800000,112500000,-11400000,287100000,19400000,407600000,407900000,575700000,21400000,6600000,5200000,33200000,-3300000,-3300000,-3400000,-1e+07,0,-8900000,2.1e+07,2.1e+07,-1700000,19300000,3.8e+07,0.23155,0.12976,0.09812,0.05246,0.03717,3.2395,0.41138,0.06601,0.55636,0.55371,5.67015,10.59677,0.08839,0.0543,0.15888,-3.4523
"18","2015_Q3",25.661875,"Down",229700000,-169600000,60100000,-25400000,-25400000,34700000,0,2e+05,-2e+05,34700000,34700000,-8700000,2.6e+07,2.6e+07,2.6e+07,2.6e+07,144200000,144200000,172400000,172400000,75400000,20800000,14800000,412800000,96600000,84100000,12900000,12200000,28200000,180700000,593500000,82400000,82400000,1.3e+08,3e+07,10900000,4200000,40900000,170900000,115500000,-11500000,309700000,8600000,422300000,422600000,593500000,2.6e+07,6800000,-2800000,3e+07,-7500000,-7500000,-3500000,-8e+06,0,-9700000,12800000,12800000,-4300000,8500000,3e+07,0.26165,0.15107,0.11319,0.06152,0.04381,3.17538,0.4044,0.05055,0.67223,0.65941,5.93886,10.9185,0.09049,0.06365,0.13462,-3.29107
"19","2015_Q4",30.805625,"Up",2.06e+08,-149800000,56200000,-21500000,-21500000,34700000,5e+05,2e+05,3e+05,35200000,35200000,-8100000,27100000,27100000,27100000,27100000,167800000,167800000,145200000,145200000,83900000,18200000,12400000,415100000,92700000,79800000,12800000,11700000,29900000,172500000,587600000,74300000,74300000,125200000,2e+07,11500000,4600000,31500000,156700000,116700000,-11500000,333300000,-7900000,430600000,430900000,587600000,27100000,6500000,11800000,45400000,-2e+06,-2e+06,-3400000,-1e+07,0,-13400000,3e+07,3e+07,-6400000,23600000,2e+07,0.27282,0.16845,0.13155,0.06289,0.04612,3.3155,0.36366,0.03404,0.69861,0.68105,5.31048,11.10045,0.08765,0.06596,0.12546,-4.25937
"20","2016_Q1",24.922131147541,"Down",227300000,-175300000,5.2e+07,-26400000,-24900000,25600000,3e+05,3e+05,-5.82076609134674e-11,25900000,22500000,4e+06,26500000,26500000,26600000,26600000,168100000,168100000,170400000,170400000,70900000,28900000,12100000,438300000,93300000,74200000,1700000,11300000,29100000,167500000,605800000,128900000,70100000,128900000,5e+06,12900000,4e+06,17900000,146800000,122100000,-11500000,356500000,-8300000,458800000,4.59e+08,605800000,26500000,-1700000,-10500000,14300000,-9700000,1500000,-3500000,-1.5e+07,4300000,-16500000,-7e+05,-7e+05,1e+06,3e+05,5e+06,0.22877,0.11263,0.11703,0.05795,0.04391,3.40031,0.31983,0.00825,0.68533,0.67859,5.85619,11.82059,0.09017,0.06312,0.13158,-6.37109
"21","2016_Q2",26.98453125,"Up",203300000,-149700000,53600000,-23200000,-23200000,30400000,5e+05,2e+05,3e+05,30900000,30900000,-7400000,23500000,23500000,23500000,23500000,167900000,167900000,159700000,159700000,69700000,29800000,1.5e+07,427100000,89900000,70800000,1600000,10700000,30500000,160700000,587800000,6.8e+07,6.8e+07,1.04e+08,2e+06,11800000,3900000,13800000,117800000,126200000,-18400000,376500000,-14400000,469900000,4.7e+08,587800000,23500000,6e+06,-10500000,1.9e+07,-5900000,-5900000,-3500000,-9900000,3800000,-9600000,3500000,3500000,-3700000,-2e+05,2e+06,0.26365,0.14953,0.11559,0.05,0.03998,4.10673,0.25064,0.0034,0.60404,0.60209,5.22558,12.07822,0.08996,0.05581,0.14894,-5.45724
"22","2016_Q3",32.39703125,"Up",208400000,-157500000,50900000,-24400000,-24400000,26500000,5e+05,3e+05,2e+05,2.7e+07,2.7e+07,-5700000,21300000,21300000,21300000,21300000,186600000,186600000,165200000,165200000,66200000,32400000,18500000,450400000,90500000,6.9e+07,1600000,10100000,28400000,159500000,609900000,71200000,71200000,111500000,2.2e+07,11700000,3900000,33700000,145200000,128400000,-11500000,364100000,-16400000,464600000,464700000,609900000,21300000,7e+06,1800000,30100000,-3600000,-3600000,-3400000,-5700000,25200000,-6300000,20200000,20200000,-1500000,18700000,2.2e+07,0.24424,0.12716,0.10221,0.04584,0.03492,4.03946,0.31246,0.03607,0.54724,0.54571,5.35417,11.93641,0.08735,0.04956,0.15962,-6.21132
"23","2016_Q4",33.8896825396825,"Up",184600000,-1.37e+08,47600000,-26100000,-26100000,21500000,1200000,2e+05,1e+06,22700000,22700000,-5500000,17200000,17200000,17200000,17200000,202300000,202300000,146600000,146600000,72400000,32400000,16900000,453700000,91900000,6.7e+07,1600000,9500000,28800000,158900000,612600000,64300000,64300000,109300000,5.5e+07,11200000,3400000,66200000,175500000,130600000,-11500000,341600000,-23600000,437100000,437100000,612600000,17200000,7800000,9700000,34700000,-7700000,-7700000,-3300000,-5e+06,3.8e+07,-7200000,19800000,19800000,-4100000,15700000,5.5e+07,0.25785,0.11647,0.09317,0.03935,0.02808,4.15096,0.40151,0.08978,0.45074,0.44898,4.83755,11.45447,0.08648,0.04073,0.19186,-6.85116
"24","2017_Q1",39.488064516129,"Up",212800000,-1.52e+08,60800000,-29500000,-27100000,31300000,-1e+06,0,-1e+06,30300000,30300000,-7700000,22600000,22600000,22600000,22600000,227800000,227800000,175500000,175500000,66200000,26700000,13600000,496200000,9.3e+07,66700000,1700000,8900000,28400000,159700000,655900000,115800000,68200000,115800000,5.7e+07,1.3e+07,2900000,7e+07,185800000,131400000,-11500000,358600000,-8400000,470100000,470100000,655900000,22600000,15600000,-11300000,26900000,-6e+06,-4400000,-3300000,-6100000,6200000,-5600000,16900000,16900000,8600000,25500000,5.7e+07,0.28571,0.14709,0.1062,0.04807,0.03446,4.28497,0.39524,0.0869,0.60514,0.60243,5.69799,12.58753,0.08836,0.04795,0.14602,-5.45687
"25","2017_Q2",38.735873015873,"Down",191900000,-137800000,54100000,-27400000,-26800000,26700000,0,0,0,26700000,26700000,-5500000,21200000,21200000,21200000,21200000,249300000,249300000,155800000,155800000,66200000,16600000,16600000,487900000,90300000,77900000,1700000,8400000,31100000,168200000,656100000,69300000,69300000,105200000,5.4e+07,1.1e+07,2600000,6.5e+07,170200000,136300000,-11500000,376200000,-15100000,485900000,485900000,656100000,21200000,8800000,4400000,34400000,-4200000,-4200000,-3300000,-3300000,300000.000000004,-5400000,24800000,24800000,-3300000,21500000,5.4e+07,0.28192,0.13913,0.11047,0.04363,0.03231,4.63783,0.35028,0.0823,0.56802,0.5658,5.14166,13.01894,0.08842,0.04447,0.15566,-7.31461
"26","2017_Q3",36.9046031746032,"Down",209200000,-153700000,55500000,-26600000,-2.6e+07,28900000,2e+06,1e+05,1900000,30900000,30900000,-6200000,24700000,24700000,24700000,24700000,249600000,249600000,1.72e+08,1.72e+08,60600000,14900000,14900000,497100000,88800000,80600000,1600000,7800000,34900000,169400000,666500000,75900000,75900000,113900000,4.9e+07,10800000,2400000,59800000,173700000,140200000,-11500000,387200000,-23100000,492800000,492800000,666500000,24700000,8800000,-4200000,29300000,-5300000,-5300000,-3300000,-5800000,2e+05,-18100000,5900000,5900000,-5600000,3e+05,4.9e+07,0.2653,0.13815,0.11807,0.05012,0.03706,4.36435,0.35248,0.07352,0.66125,0.65833,5.60056,13.1929,0.08835,0.05067,0.1336,-6.94118
"27","2017_Q4",41.5106349206349,"Up",195600000,-142200000,53400000,-24200000,-23600000,29200000,1200000,2e+05,1e+06,30400000,30400000,-6600000,23800000,23800000,23800000,23800000,268800000,268800000,153800000,153800000,6.2e+07,14500000,14500000,499100000,87700000,80200000,1600000,7200000,35600000,167900000,6.67e+08,67700000,67700000,111200000,3.7e+07,10900000,2100000,47900000,159100000,144300000,-11500000,407200000,-32100000,507900000,507900000,6.67e+08,23800000,8e+06,11200000,4.3e+07,-3700000,-3700000,-3700000,-1.2e+07,-2.3283064365387e-10,-14500000,24800000,24800000,-5600000,19200000,3.7e+07,0.27301,0.14928,0.12168,0.04686,0.03568,4.48831,0.31325,0.05547,0.63949,0.63559,5.25562,13.64688,0.09942,0.04948,0.15546,-7.93836
"28","2018_Q1",37.876393442623,"Down",219800000,-164500000,55300000,-29300000,-28800000,2.6e+07,1900000,1e+05,1800000,27900000,27900000,-4700000,23200000,23200000,23200000,23200000,2.94e+08,2.94e+08,165300000,165300000,57900000,13100000,12500000,530300000,90600000,83100000,1600000,6600000,34500000,173700000,7.04e+08,124400000,75300000,124400000,2.7e+07,11500000,2600000,38500000,162900000,151300000,-11500000,4.27e+08,-25700000,541100000,541100000,7.04e+08,23200000,4200000,11100000,38500000,-9200000,-8500000,-3400000,-1e+07,4400000,-9e+06,2.1e+07,2.1e+07,4200000,25200000,2.7e+07,0.25159,0.11829,0.10555,0.04288,0.03295,4.26286,0.30105,0.03835,0.623,0.61852,5.9024,14.53042,0.0913,0.04589,0.14655,-10.26923
"29","2018_Q2",38.28390625,"Up",201200000,-145600000,55600000,-30200000,-29600000,25400000,-6e+05,2e+05,-8e+05,24800000,24800000,-4300000,20500000,20500000,20500000,20500000,297900000,297900000,164500000,164500000,64800000,19700000,19100000,546900000,117400000,119100000,1.8e+07,18100000,38300000,236500000,783400000,122700000,81200000,126500000,47600000,19900000,6400000,67500000,1.94e+08,155400000,-11500000,446600000,-1100000,589400000,589400000,783400000,20500000,9100000,-6e+06,23600000,-8e+06,-29900000,-3400000,-2300000,46665223.3732395,-5700000,-1.2e+07,-1.2e+07,15900000,3900000,51400000,0.27634,0.12624,0.10189,0.03478,0.02617,4.32332,0.32915,0.06561,0.55035,0.54578,5.40153,15.82338,0.09128,0.03617,0.16585,-9.70472
"30","2018_Q3",36.7539682539683,"Down",230100000,-168100000,6.2e+07,-32300000,-31200000,29700000,-6e+05,-2e+05,-4e+05,29100000,29100000,-4900000,24200000,24200000,24200000,24200000,258600000,258600000,215400000,215400000,78400000,16500000,15900000,568900000,126900000,202500000,66800000,56600000,34600000,329400000,898300000,1.5e+08,99300000,152300000,105500000,33700000,8300000,139200000,291500000,158500000,-11500000,467400000,-7600000,606800000,606800000,898300000,24200000,9400000,-1.2e+07,21600000,-8400000,-116100000,-3400000,-799999.999999999,61100000,56900000,-37600000,-37600000,-1700000,-39300000,107800000,0.26945,0.12907,0.10517,0.03988,0.02694,3.73539,0.48039,0.12,0.64908,0.64194,6.17163,16.2753,0.09119,0.03688,0.1405,-5.07744
"31","2018_Q4",26.5922222222222,"Down",2.28e+08,-167900000,60100000,-24500000,-22500000,35600000,3500000,-3e+05,3800000,39100000,39100000,-63400000,-24300000,-24300000,-24300000,-24300000,3.04e+08,3.04e+08,201400000,201400000,83600000,16300000,15700000,605300000,153700000,200800000,59600000,65600000,39700000,354500000,959800000,147400000,87900000,150300000,1.16e+08,86300000,56500000,202300000,352600000,154900000,-11500000,439200000,24600000,607200000,607200000,959800000,-24300000,-12600000,78800000,41900000,-18300000,-1.9e+07,-3800000,-2e+05,10200000,6400000,29300000,29300000,16100000,45400000,118900000,0.2636,0.15614,-0.10658,-0.04002,-0.02532,4.02728,0.5807,0.12388,-0.6516,-0.64416,6.11376,16.28191,0.1019,-0.02523,-0.15638,-5.19944
"32","2019_Q1",25.8480327868852,"Down",2.49e+08,-187100000,61900000,-34300000,-32400000,27600000,3200000,-6e+05,3800000,30800000,30800000,6e+06,36800000,36800000,36800000,36800000,246100000,246100000,202600000,202600000,84100000,17200000,14800000,5.5e+08,162200000,203700000,59200000,6.1e+07,41200000,365900000,915900000,152600000,89500000,1.57e+08,53400000,75500000,57200000,128900000,285900000,155600000,-11500000,4.72e+08,13900000,6.3e+08,6.3e+08,915900000,36800000,5500000,-11600000,30700000,-1.3e+07,-1.4e+07,-4100000,-76400000,10100000,-70300000,-53600000,-53600000,-4300000,-57900000,57800000,0.24859,0.11084,0.14779,0.05841,0.04018,3.50318,0.45381,0.06311,0.98656,0.98966,6.67535,16.88945,0.10992,0.05358,0.11141,-6.82246
