"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2019_Q1",22.5460655737705,"Up",431471000,-206380000,225091000,-139816000,-92952000,-46864000,85275000,-46288000,-46800000,579000,38987000,-28255000,10732000,13181000,13181000,-4235000,8946000,8946000,114607000,114607000,51356000,51356000,14910000,81092000,57839000,261965000,3206091000,532567000,117220000,195676000,107838000,3747561000,4009526000,299788000,25896000,7418000,266474000,33894000,333682000,2821465000,37384000,37384000,2858849000,3192531000,362668000,519620000,297375000,816995000,4009526000,13181000,46864000,30258000,-5279000,85024000,-171665000,-171675000,-171675000,5478000,-202293000,-11617000,132821000,-202000,121329000,4060000,4060000,4060000,132139000,2855359000,0.52168,0.19764,0.02073,0.01095,0.00223,0.78507,3.90765,0.71214,0.12912,0.07684,6.22766,7.49996,0.16767,0.00554,1.29857,20.74143,32.14016
"12","2019_Q2",21.285873015873,"Down",447022000,-207231000,239791000,-149918000,-99065000,-50853000,89873000,-37002000,-37438000,505000,52871000,-30668000,22203000,20284000,20284000,-8961000,11323000,11323000,109249000,109249000,56912000,56912000,15348000,97353000,74001000,278862000,3287530000,560297000,115041000,195676000,139666000,3856780000,4135642000,288639000,36063000,15084000,237492000,33906000,322545000,2931901000,48728000,48728000,2980629000,3303174000,367743000,528567000,303901000,832468000,4135642000,20284000,50853000,15410000,-31942000,54605000,-159960000,-160030000,-160030000,2792000,-157168000,-11656000,107933000,-2943000,97304000,-5259000,-5259000,-5259000,140726000,2965807000,0.53642,0.20105,0.02533,0.0136,0.00274,0.86457,3.96793,0.71713,0.16316,0.09703,6.44152,7.61657,0.16796,0.00597,1.02941,20.29872,31.78438
"13","2019_Q3",18.36515625,"Down",482868000,-262104000,220764000,-166437000,-110602000,-55835000,54327000,-40543000,-40981000,521000,13784000,-21804000,-8020000,-7067000,-7067000,3221000,-3846000,-3846000,100233000,100233000,53375000,53375000,18178000,91687000,68160000,263473000,3308578000,548869000,112863000,195676000,129463000,3866247000,4129720000,263347000,36431000,8536000,218380000,33911000,297258000,2961228000,53587000,53587000,3014815000,3312073000,370634000,520156000,297491000,817647000,4129720000,-7067000,55835000,21619000,18155000,88542000,-111391000,-111569000,-111569000,-69000,-111460000,-11688000,26493000,-1023000,14077000,-8841000,-8841000,-8841000,110162000,2995139000,0.45719,0.11251,-0.00796,-0.0047,-0.00093,0.88634,4.05074,0.72526,-0.05529,-0.03295,6.94205,7.47813,0.16803,0.00203,-3.039,26.27863,53.28669
"14","2019_Q4",19.65390625,"Up",465858000,-251937000,213921000,-165681000,-107756000,-57925000,48240000,-40144000,-40517000,455000,8096000,-35736000,-27640000,-26798000,-26798000,11141000,-15657000,-15657000,106444000,106444000,53782000,53782000,17323000,82447000,46184000,259996000,3326765000,531951000,110685000,195676000,113677000,3867466000,4127462000,236117000,30074000,14313000,191730000,33938000,270055000,3016749000,57827000,57827000,3074576000,3344631000,373645000,500075000,282756000,782831000,4127462000,-26798000,57925000,12230000,30145000,73502000,-52415000,-52836000,-52836000,1639000,-108130000,-11646000,53327000,-706000,40975000,6347000.00000001,6347000.00000001,6347000.00000001,106165000,3050687000,0.4592,0.10355,-0.03361,-0.02,-0.00379,0.96275,4.27248,0.73912,-0.22489,-0.2252,6.69134,7.18282,0.16728,-0.00103,-0.74382,27.73271,61.03323
"15","2020_Q1",17.6037096774194,"Down",460786000,-228669000,232117000,-156530000,-98932000,-57598000,75587000,-37377000,-37743000,447000,38210000,-33224000,4986000,6844000,6844000,-2015000,4829000,4829000,128835000,128835000,56683000,56683000,17765000,78347000,42065000,281630000,3300202000,523488000,108506000,195676000,106121000,3832557000,4114187000,242007000,33970000,7477000,200560000,33989000,275996000,2999302000,56292000,56292000,3055594000,3331590000,376935000,500717000,281880000,782597000,4114187000,6844000,57598000,27309000,8232000,99983000,-28565000,-28834000,-28834000,186000,-28379000,-11652000,-20726000,-12175000,-49194000,22410000,22410000,22410000,133185000,3033291000,0.50374,0.16404,0.01048,0.00617,0.00117,1.02041,4.2571,0.73728,0.0693,0.0693,6.61241,7.18543,0.16721,0.00426,2.41292,21.80768,38.42534
"16","2020_Q2",10.1447619047619,"Down",377388000,-206068000,171320000,-159807000,-101273000,-58534000,11513000,-35900000,-36058000,202000,-24387000,-40228000,-64615000,-177800000,-177800000,25601000,-152199000,-152199000,1091149000,1091149000,39900000,39900000,16181000,79373000,43080000,1226603000,3258749000,404763000,106328000,195676000,102759000,3671790000,4898393000,225893000,22164000,20881000,182848000,26647000,252540000,3975212000,75762000,75762000,4050974000,4303514000,381678000,345749000,249130000,594879000,4898393000,-177800000,58534000,157221000,9929000,47884000,-30790000,-30790000,-30790000,-498000,-31288000,-11730000,976676000,-19149000,945729000,962325000,962325000,962325000,70047000,4001859000,0.45396,0.03051,-0.4033,-0.25585,-0.03107,4.85706,7.23427,0.81697,-2.17545,-2.17545,5.39419,4.94195,0.16766,-0.03006,-0.07707,41.55367,252.81942
"17","2020_Q3",13.05765625,"Up",108470000,-63509000,44961000,-123156000,-65232000,-57924000,-78195000,-34670000,-33980000,-572000,-112865000,-5552000,-118417000,-118417000,-118417000,46875000,-71542000,-71542000,270124000,270124000,51567000,51567000,14423000,73893000,37331000,410007000,3207325000,402254000,104150000,195676000,102428000,3617345000,4027352000,181228000,18986000,20793000,141449000,20174000,201402000,3265913000,80884000,80884000,3346797000,3548199000,383959000,276157000,202996000,479153000,4027352000,-118417000,57924000,-4238000,-39568000,-104299000,-10488000,-10488000,-10488000,1943000,-8545000,-30000,-705053000,-2829000,-707912000,-820756000,-820756000,-820756000,-20271000,3286087000,0.4145,-0.72089,-0.65956,-0.14931,-0.01776,2.03576,7.40515,0.81594,-1.01452,-1.01452,1.53819,3.91612,0.00043,-0.01859,-0.00042,-148.78215,-38.56977
"18","2020_Q4",19.11390625,"Up",353178000,-114080000,239098000,-136788000,-79491000,-57297000,102310000,-29240000,-29798000,658000,73070000,-1026000,72044000,72044000,72044000,-28410000,43634000,43634000,108862000,108862000,48591000,48591000,14152000,78786000,42209000,250391000,3154470000,396360000,101971000,195676000,98713000,3558490000,3808881000,195304000,16722000,19047000,159535000,24016000,219320000,2978375000,59347000,59347000,3037722000,3257042000,384810000,320651000,231188000,551839000,3808881000,72044000,57297000,3298000.00000001,9329000,141968000,-12084000,-12084000,-12084000,-5081000,-17165000,-165000,-284674000,-1210999.99999999,-286050000,-161247000,-161247000,-161247000,159607000,3002391000,0.67699,0.28968,0.12355,0.07907,0.01146,1.14167,5.90216,0.78826,0.61606,0.61606,4.98642,4.52718,0.00232999999999998,0.01212,0.00377999999999998,18.12909,28.28198
"19","2021_Q1",25.9926229508197,"Up",343409000,-117642000,225767000,-136284000,-78648000,-57636000,89483000,-27891000,-28629000,809000,61592000,-11066000,50526000,49630000,49630000,-19920000,29710000,29710000,121176000,121176000,35130000,35130000,13079000,55272000,38143000,224657000,3116015000,399282000,100817000,195676000,94627000,3515297000,3739954000,177413000,11208000,20128000,146077000,22844000,200257000,2879163000,55893000,55893000,2935056000,3135313000,386292000,352598000,252043000,604641000,3739954000,49630000,57636000,17036000,2935000,127237000,-4554000,-5134000,-5134000,-8005000,-12559000,-2000,-102899000,704000,-102210000,12468000,12468000,12468000,147119000,2902007000,0.65743,0.26057,0.08651,0.04914,0.00794,1.12184,5.18541,0.77595,0.41928,0.41928,4.8463,4.97598,3e-05,0.00834,7e-05,18.90192,31.07664
"20","2021_Q2",35.4838095238095,"Up",352619000,-120614000,232005000,-133165000,-78910000,-54255000,98840000,-27053000,-27267000,390000,71787000,-178133000,-106346000,-106563000,-106563000,41785000,-64778000,-64778000,117908000,117908000,35398000,35398000,12442000,724316000,45243000,890064000,2266979000,372975000,88390000,195676000,88909000,2647587000,3537651000,169110000,10422000,12838000,145850000,30975000,200085000,2801220000,58580000,58580000,2859800000,3059885000,373989000,275516000,202250000,477766000,3537651000,-106563000,54255000,182959000,-10891000,119760000,-8010000,-8010000,-8010000,-8241999.99999999,-16252000,-7561000,172307000,-259663000,-106629000,-3121000.00000001,-3121000.00000001,-3121000.00000001,153095000,2832195000,0.65795,0.2803,-0.18371,-0.13559,-0.01831,4.44843,6.40457,0.80059,-0.91587,-0.91587,4.98556,3.89543,0.1069,-0.01699,-0.11672,17.72943,27.46142
"21","2021_Q3",39.18875,"Up",428157000,-139912000,288245000,-120250000,-84090000,-36160000,167995000,-24585000,-25614000,1233000,143410000,521000,143931000,143350000,143350000,-56636000,86714000,86714000,90988000,90988000,33269000,33269000,12263000,708745000,52590000,845265000,2269095000,376900000,87984000,195676000,93240000,2652688000,3497953000,179756000,13883000,16996000,148877000,25900000,209661000,2652830000,60634000,60634000,2713464000,2923125000,349074000,337363000,237465000,574828000,3497953000,143350000,36160000,4192000,9121000,192823000,-12139000,-12139000,-12139000,-257210000,-269349000,-23893000,-150196000,248752000,49728000,-26798000,-26798000,-26798000,204155000,2678730000,0.67322,0.39237,0.20253,0.15085,0.02479,4.03158,5.08522,0.7658,1.22602,1.22602,6.05357,4.76986,0.33782,0.03337,0.27554,12.67538,15.40368
"22","2021_Q4",47.88859375,"Up",414769000,-138083000,276686000,-133396000,-92602000,-34025000,143290000,-24537000,-25311000,774000,118753000,-463000,118290000,117936000,117936000,-46688000,71248000,71248000,89925000,89925000,32467000,32467000,11475000,715826000,59198000,849693000,2258670000,393646000,87578000,195676000,104245000,2652316000,3502009000,197956000,20474000,11235000,166247000,25910000,226957000,2617009000,67188000,67188000,2684197000,2911154000,287048000,346599000,244256000,590855000,3502009000,117936000,34025000,5742000.00000003,6537000,164240000,-14525000,-16616868.057364,-16616868.057364,246672000,227497000,31379000,-37193000,-301434000,-392732000,-995000,-995000,-995000,177315000,2642919000,0.66708,0.34547,0.17178,0.12058,0.02034,3.74385,4.92702,0.75469,1.03195,1.03195,6.00749,5.02012,-0.45449,0.01208,-0.44042,14.39807,17.81697
"23","2022_Q1",45.5514516129032,"Down",422354000,-153880000,268474000,-118070000,-91488000,-33351000,150404000,-26117000,-25014000,896000,124287000,5381000,129668000,200107000,200107000,-51441000,148666000,148666000,275281000,275281000,36739000,36739000,11734000,54761000,47161000,378515000,2246943000,514875000,87172000,195676000,133402000,2761818000,3140333000,178895000,17466000,14320000,146374000,25921000,204816000,2827603000,57881000,57881000,2885484000,3090300000,55643000,59494000,-9461000,50033000,3140333000,200107000,33351000,-77529000,-22789000,133140000,651792000,-24616970.5819589,-24616970.5819589,-7429000,644363000,-440919000,-37644000,292287000,-565039000,212464000,212464000,212464000,183755000,2853524000,0.63566,0.35611,0.35199,2.97136,0.04734,1.84807,61.76523,0.90867,2.15327,2.15327,6.11735,0.86171,6.38624,0.19909,2.96584,14.03087,17.14212
"24","2022_Q2",38.3883870967742,"Down",401636000,-140941000,260695000,-119721000,-86296000,-33425000,140974000,-25830000,-26674000,844000,115144000,-10180000,104964000,92245000,92245000,-43899000,48346000,48346000,336566000,336566000,34872000,34872000,11902000,86647000.0000001,47073000,469987000,2260883000,478616000,86765000,195676000,97722000,2739499000,3209486000,204189000,18209000,12269000,168876000,32595000,236784000,2822774000,53145000,53145000,2875919000,3112703000,50868000,87810000,8973000.00000003,96783000.0000001,3209486000,92245000,33425000,12212000,19583000,157465000,-38945000,-38945000,-38945000,-1186000,-40131000,-37587000,-6194999.99999999,-1492999.99999988,-56049000,61284999.9999999,61284999.9999999,61284999.9999999,174399000,2855369000,0.64908,0.351,0.12037,0.49953,0.01506,1.98488,32.16167,0.88967,0.72866,0.42348,6.05338,1.32346,0.5665,0.0285900000000001,0.77746,14.44276,17.86715
"25","2022_Q3",36.7146875,"Down",422241000,-149670000,272571000,-123290000,-90193000,-33097000,149281000,-27736000,-28748000,1012000,121545000,-81037000,40508000,32438000,32438000,-16690000,15748000,15748000,256268000,256268000,31663000,31663000,12524000,70055000,62455000,370510000,2223340000,476480000,85174000,195676000,107280000,2699820000,3070330000,194624000,18667000,13988000,161969000,32606000,227230000,2817926000,52923000,52923000,2870849000,3098079000,585000,13729000,-41478000,-27749000,3070330000,32438000,33097000,90238000,-35578000,120195000,-62426000,-62426000,-62426000,-2057000,-64483000,-47630000,-6195000,-2426000,-167984000,-112272000,-112272000,-112272000,182378000,2850532000,0.64553,0.35354,0.0373,-0.56752,0.00513,1.63055,-111.64651,0.92841,0.23735,0.13794,6.36394,0.20692,0.71787,0.02204,3.02451,14.22465,17.37839
