"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q4",3.72303571428571,"Down",7823286,-8212271,-8212271,-388985,-329618,-329618,-718603,5242087,4523484,-83356,4440128,4440128,4440128,4440128,5808689,5808689,1473685,1283176,317462,210155,107307,7599836,322722,192500,14464616,12635966,260318,14979838,22579674,4325208,3317455,4187800,1350027,1350027,9863035,864565,10727600,23997897,-11241709,-904114,11852074,11852074,22579674,4440128,273955,-5056008,217554,-124371,-44948,-1041032,556506,581742,-583661,-583661,-392916,-976577,-115030,5052365,140932,-0.04972,0.56755,0.37463,0.19664,0.03174,0.77054,0.90512,0.22376,0.46373,0.46373,0.81708,1.23785,0.01472,0.26266,0.00834,6.57502,1.94435
"12","2019_Q1",2.98272727272727,"Down",9335285,-9916224,-9916224,-580939,-1097710,-1022710,-1678649,173367,-1505282,-261903,-1767185,-1767185,-1767185,-1767185,6289903,6289903,1081048,1031134,180412,124712,55700,7551363,354799,275000,14406548,12583457,262552,15036347,22587710,5660038,4603608,4852680,1807522,1807522,12320240,393838,12714078,23963864,-13008894,-1081338,9873632,9873632,22587710,-1767185,-11926.9999999999,696222.999999998,1744966,662077,32356.9999999995,40150,103136.999999999,243732,945959,945959,-464746,481213,-592866,5246518,1446360,-0.06223,-0.1893,-0.178979999999999,-0.0782400000000001,-0.81845,0.61292,1.28768,0.23227,-0.18121,-0.18121,0.95725,1.01245,0.14831,-0.11688,0.09566,1.7599,1.79603
"13","2019_Q2",2.96819672131148,"Down",9266294,-10605160,-10605160,-1338866,-147636,-147636,-1486502,-1381476,-2867978,-245974,-3113952,-3113952,-3113952,-3113952,5179403,5179403,1291557,1263691,276267,124177,152090,6747227,383528,250000,18285088,16468511,267146,18918616,25665843,6230341,5170864,7718997,3077474,3077474,17026812,810188,17837000,25080471,-16114110,-1137518,7828843,7828843,25665843,-3113952,206524,1619003,303937,-984488,-42382,-258532,49869,61356,-1181664,-1181664,60056,-1121608,-1132342,8529185,-624813,-0.14449,-0.33605,-0.39775,-0.12133,0.20065,0.39627,2.27837,0.33232,-0.32609,-0.32609,0.97036,0.81983,-0.06543,-0.19036,-0.0382,-2.95828,-2.50195
"14","2019_Q3",2.86586206896552,"Down",9105354,-9629057,-9629057,-523703,-269914,-277639,-793617,-775547,-1569164,-209056,-1778220,-1778220,-1778220,-1778220,5228797,5228797,771265,770414,285455,140107,145348,6285517,347824,250000,18060633,16353775,267076,18658457,24943974,4977323,3982319,8676364,3622893,3622893,17276580,1185981,18462561,25463918,-17812354,-1170151,6481413,6481413,24943974,-1778220,239466,947134,570507,-21113.0000000005,-11901,-11900.9999999999,142280,-163047,-196061,-196061,135808,-60253.0000000005,-284237,9862345,483425,-0.05752,-0.19529,-0.27436,-0.07129,-0.27186,0.36382,2.84854,0.39538,-0.17819,-0.17819,0.9124,0.64947,0.04844,-0.1088,0.02958,-16.30171,-8.84766
"15","2019_Q4",3.60838709677419,"Up",6755846,-6329285,-6329285,426561,-182036,-214900,244525,-753359,-508834,-260545,-769379,-769379,-769379,-769379,4910994,4910994,1551638,1550789,380817,197953,182864,6843449,324227,375000,17815180,16132375,266920,18514407,25357856,4726166,4080575,9883706,2749287,2749287,17359159,568023,17927182,27221811,-18408977,-1382160,7430674,7430674,25357856,-769379,241417,1040984,-147442,365580,-75581,-76414,-9900,-77835,211331,211331,-563940,-352609,667978,10247629,705500,0.06314,-0.11388,-0.10354,-0.03034,-0.91697,0.39423,2.41259,0.40412,-0.07508,-0.07508,0.65928,0.72514,0.06885,-0.04302,0.03945,7.98924,12.51084
"16","2020_Q1",3.16370967741935,"Down",10455637,-12015544,-12015544,-1559907,-223292,-332268,-1783199,-1947454,-3730653,117399,-3613254,-3613254,-3613254,-3613254,5182598,5182598,1394884,1394884,687068,221547,465521,7264550,520725,177500,19862407,15857027,1663385,20560632,27825182,8834891,8536415,3485416,4097534,4097534,16417841,2606056,19023897,32219837,-23241835,-176717,8801285,8801285,27825182,-3613254,258778,2197582,1651395,494501,-122334,-121501,-46967,-299919,73081,73081,343462,416543,-1301129,3582202,110533,-0.14919,-0.34558,-0.41054,-0.12986,-0.0305899999999991,0.44248,2.16149,0.12874,-0.32465,-0.32465,0.93945,0.7908,0.00993,-0.24262,0.00742000000000001,1.23001,1.02596
"17","2020_Q2",3.0347619047619,"Down",10170174,-9036122,-9036122,1134052,-128176,-139974,1005876,-320229,685647,-528038,157609,157609,157609,157609,6828398,6828398,588737,587870,1236487,746101,490386,8653622,511855,307500,19607151,15681047,1663272,20426506,29080128,7819968,7407860,4462722,4050429,4050429,16333119,2543642,18876761,33576340,-23084226,-288747,10203367,10203367,29080128,157609,226968,518962,1056524,1960063,-51293,-51293,268038,-87299,1821471,1821471,-185635,1635836,1361020,4582794,2894289,0.11151,0.0155,0.01545,0.00542,18.36373,0.52982,1.85005,0.15759,0.01291,0.01291,0.83295,0.83567,0.23705,0.00916,0.16818,-1.64994,-1.98016
"18","2020_Q3",2.11828125,"Down",4810269,-6840793,-6840793,-2030524,-19237,-33099,-2049761,-413735,-2463496,-62058.9999999998,-2525555,-2525555,-2525555,-2525555,5783449,5783449,648528,647133,728581,214754,513827,7160558,501281,9e+05,19403524,15505524,1663207,20804805,27965363,7718650,7161828,4449976,4106159,4106159,16274785,2588057,18862842,34982533,-25609781,-270231,9102521,9102521,27965363,-2525555,232466,565979,634624,-1092486,-36701,-36701,25661,79549,-1049638,-1049638,15027,-1034611,-1798058,4601700,-1138076,-0.42212,-0.52503,-0.27746,-0.09031,0.450619999999997,0.43998,2.07227,0.16455,-0.20316,-0.20316,0.38694,0.73222,-0.09155,-0.15647,-0.07051,0.657239999999999,0.58199
"19","2020_Q4",2.6134375,"Up",9701796,-10311128,-10311128,-609332,-128443,-56093,-737775,-293604,-1031379,-181902,-1213281,-1213281,-1213281,-1213281,10572496,10572496,906298,904842,672440,333336,339104,12151234,539138,650000,18233038,15333456,1663166,19422176,31573410,7651602,6889663,505412,3565438,3565438,11722452,2630171,14352623,44095887,-26823062,-52038,17220787,17220787,31573410,-1213281,241560,601073,-909796,-1280444,-84680,-84680,4951900,4705078,3339954,3339954,473052,3813006,-367772,663134,-1180346,-0.06281,-0.12506,-0.07045,-0.03843,0.97285,1.03658,0.83345,0.021,-0.08349,-0.08349,0.66764,1.18506,-0.08123,-0.0596,-0.05798,26.94431,16.26266
"20","2021_Q1",5.76032786885246,"Up",12584128,-13710569,-13710569,-1126441,25635,-99497,-1100806,-5120004,-6220810,-134645,-6355455,-6355455,-6355455,-6355455,18945817,18945817,1617851,1617851,629998,327190,302808,21193666,489591,467500,13707222,10257582,1663120,14664313,35857979,11992772,11045914,673324,647939,647939,13314035,2387591,15701626,53066922,-33178517,267948,20156353,20156353,35857979,-6355455,357119,5209383,1036327,247374,-118827,-118827,9042827,8014088,8142635,8142635,755388,8898023,-769322,740209,282823,-0.08951,-0.50504,-0.31531,-0.17724,-0.0445,1.59183,0.77899,0.02064,-0.37345,-0.37345,0.73946,1.18441,0.01662,-0.27374,0.01218,23.66448,16.16206
"21","2021_Q2",4.56539682539683,"Down",14157328,-14807025,-14807025,-649697,246565,-7849,-403132,182167,-220965,-388614,-609579,-609579,-609579,-609579,21524648,21524648,1490423,1490423,587435,313164,274271,23602506,503908,662500,13742163,10081185,1662976,14908571,38511077,9708609,8402162,142083,184825,184825,10035517,2257024,12292541,60082772,-33788096,-76140,26218536,26218536,38511077,-609579,226703,251497,867255,735876,-80404,-80404,3322882,2912499,3567971,3567971,-689343,2878628,-422994,158651,752471,-0.04589,-0.04306,-0.02325,-0.01583,-1.23441,2.3519,0.46885,0.00412,-0.02834,-0.02834,0.65828,1.21909,0.03499,-0.0213,0.02629,50.51135,32.88609
"22","2021_Q3",4.53578125,"Down",11689949,-14371528,-14371528,-2681579,85616,-2194.00000000001,-2595963,-287500,-2883463,112113,-2771350,-2771350,-2771350,-2771350,19150990,19150990,1375921,1375921,649661,421530,228131,21176572,491921,375000,13514664,9905502,1662891,14381585,35558157,9553476,8401663,102169,125955.000000001,125954.999999999,9781600,1940966,11722566,60386434,-36559446,8602.99999999994,23835591,23835591,35558157,-2771350,233617,570645,-519110,-2486198,-42028,-42028,-24289.9999999995,-24290,-2552516,-2552516,182840,-2369676,-2447962,102169,-3121213,-0.22939,-0.23707,-0.11627,-0.07794,1.12624,2.16494,0.49181,0.00287,-0.12588,-0.12588,0.53098,1.08265,-0.14177,-0.10709,-0.12061,7.7815,7.10358
"23","2021_Q4",4.10140625,"Down",8030082,-11130057,-11130057,-3099975,69238,-4705,-3030737,-769076,-3799813,284636,-3515177,-3515177,-3515177,-3515177,9408035,9408035,1418612,1418612,1299240,802153,497087,12125887,444608,175000,50986818,20324314,28687156,51606426,63732313,8486410,7697003,75680,25364419,25364419,33926509,4383980,38310489,65642416,-40074623,-145969,25421824,25421824,63732313,-3515177,425117,1442871,-1861098,-3508287,-13403,-5987242,2977,2977,-9492552,-9492552,-259730,-9752282,-2674858,222005,-4833995,-0.38605,-0.43775,-0.13827,-0.05516,1.37518,0.35742,1.50699,0.00348,-0.16153,-0.16153,0.36901,1.16821,-0.22214,-0.11764,-0.16177,3.43421,2.96326
"24","2022_Q1",2.68483870967742,"Down",11669432,-14784101,-14784101,-3114669,-244583,-6237,-3359252,-5091494,-8450746,282341,-8168405,-8168405,-8168405,-8168405,7319765,7319765,271161,271161,3792559,968682,2823877,11383485,490079,7499,32697778,15557561,16164337,33195356,44578841,9478371,9478371,36094,312714.000000004,312714,9827179,17010145,26837324,66235628,-48243028,-251083,17741517,17741517,44578841,-8168405,465737,5589030,-181264,-2294902,-581245,-581244.999999999,-34102,-34102,-2910249,-2910249,-184833,-3095082,-2648932,187415,-3693782,-0.26691,-0.69998,-0.46041,-0.18324,0.4522,1.15837,1.51268,0.0042,-0.58148,-0.58148,0.8307,1.26295,-0.26295,-0.23481,-0.10618,2.69254,2.28992
"25","2022_Q2",1.34806451612903,"Down",12235986,-14295616,-14295616,-2059630,34820,-3859,-2024810,-372513,-2397323,-156893,-2554216,-2554216,-2554216,-2554216,6605262,6605262,1544112,1544112,1867031,1513166,353865,10016405,534366,85000,32962742,15169670,16164228,33582108,43598513,9031948,8759457,6223,13667979,13667979,22706150,4706249,27412399,67386216,-50797244,-402858,16186114,16186114,43598513,-2554216,438959,1396477,282747,-436033,-105129,-105129,-42798,84818,-456344,-456344,-267703,-724047,-1620671,156767,-1286160,-0.16833,-0.20875,-0.1578,-0.05858,0.50354,0.44113,1.69358,0.0036,-0.11067,-0.11067,0.53015,0.7013,-0.05573,-0.12222,-0.06154,3.9789,3.1309
"26","2022_Q3",0.63546875,"Down",10347735,-12639977,-12639977,-2292242,9484,-9678,-2282758,-1656450,-3939208,123949,-3815259,-3815259,-3815259,-3815259,6018635,6018635,1360406,1360406,2435603,1977571,458032,9814644,567135,1e+05,32418805,14781491,16164108,33085940,42900584,7699459,7506962,3266,14397244,14397244,22099969,4490277,26590246,71684155,-54612503,-761314,16310338,16310338,42900584,-3815259,453273,1755038,-1546839,-3153787,-123946,-123946,258343,3260164,-17569,-17569,-590463,-608032,-1838969,153025,-3633703,-0.22152,-0.3687,-0.23392,-0.08893,0.95241,0.4441,1.63027,0.00357,-0.1653,-0.1653,0.44834,0.70668,-0.15744,-0.18339,-0.17466,3.18962,2.5589
