"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q2",385.2603125,"Up",-12637000,-3023000,-9614000,-12637000,55000,-12582000,-12582000,-12582000,-12582000,-12582000,-12582000,42221000,36136000,1375000,1375000,43596000,713000,1102000,44698000,8149000,1100000,7049000,8149000,8637000,461892000,-425831000,36061000,36061000,44698000,-12582000,856000,-2347000,-13923000,-11908000,-11908000,-11908000,0,-0.34891,-0.28149,5.34986,0.23951,0,-14.00601,-14.00601,40.14233,-0.34425,3.34106
"12","2013_Q3",248.78984375,"Down",-12823000,-2684000,-10139000,-12823000,21000,-12802000,-12802000,-12802000,-12802000,-12802000,-12802000,31642000,28252000,1002000,1002000,32644000,562000,847000,33491000,8299000,1796000,6503000,8299000,8735000,463389000,-438633000,24756000,24756000,33491000,-12802000,714000,619000,-11357000,-7884000,-7884000,-7884000,2.58493941422821e-26,-0.51713,-0.38225,3.93349,0.35284,-7.70371977754894e-34,-14.22136,-14.22136,27.5007,-0.50818,2.4676
"13","2013_Q4",114.3625,"Down",-8960000,-2483000,-6477000,-8960000,23000,-8937000,-8937000,-8937000,-8937000,-8937000,-8937000,20958000,19283000,830000,830000,21788000,487000,704000,22492000,5165000,1253000,3912000,5165000,5554000,464508000,-447570000,16938000,16938000,22492000,-8937000,762000,-2936000,-11040000,-8969000,-8969000,-8969000,0,-0.52763,-0.39734,4.21839,0.3279,0,-9.89883,-9.89883,18.76093,-0.51578,2.33906
"14","2014_Q1",124.554098360656,"Up",-9179000,-3091000,-6088000,-9179000,1389000,-7790000,-7790000,-7790000,-7790000,-7790000,-7790000,14729000,14529000,442000,442000,15171000,322000,434000,15605000,4567000,808000,3759000,4567000,4921000,466044000,-455360000,10684000,10684000,15605000,-7790000,170000,-82000.0000000009,-7651000,-4754000,-4754000,-4754000,-4.13590306276514e-25,-0.72913,-0.4992,3.32187,0.4606,2.46519032881566e-32,-8.62691,-8.62691,11.83182,-0.70574,1.60464
"15","2014_Q2",98.9277777777778,"Down",-8989000,-2629000,-6360000,-8989000,2000,-8987000,-8987000,-8987000,-8987000,-8987000,-8987000,27777000,22432000,1278000,1278000,29055000,652000,738000,29793000,4513000,619000,3894000,4513000,4708000,489432000,-464347000,25085000,25085000,29793000,-8987000,2247000,-1380000,-8087000,7903000,7903000,7903000,0,-0.35826,-0.30165,6.43807,0.18768,0,-9.45545,-9.45545,26.39255,-0.3555,3.09011
"16","2014_Q3",73.71578125,"Down",-10946000,-3052000,-7894000,-10946000,1999.99999999977,-10944000,-10944000,-10944000,-10944000,-10944000,-10944000,17258000,11178000,1194000,1194000,18452000,625000,683000,19135000,3703000,992000,2711000,3703000,3850000,490576000,-475291000,15285000,15285000,19135000,-10944000,1767000,-751000,-9896000,-11254000,-11254000,-11254000,0,-0.716,-0.57194,4.98299,0.25188,-1.97215226305253e-31,-10.15268,-10.15268,14.1798,-0.70918,1.57665
"17","2014_Q4",44.62859375,"Down",-4956000,-1594000,-3362000,-4956000,21000,-4935000,-4935000,-4935000,-4935000,-4935000,-4935000,11542000,9627000,919000,919000,12461000,513000,555000,13016000,2318000,179000,2139000,2318000,2400000,490842000,-480226000,10616000,10616000,13016000,-4935000,266000,-1067000,-5715000,-1551000,-1551000,-1551000,0,-0.46486,-0.37915,5.37575,0.22607,0,-4.54316,-4.54316,9.77309,-0.4613,2.32889
"18","2015_Q1",49.6949180327869,"Up",-5457000,-2203000,-3254000,-5457000,-284000,-5741000,-14545000,-14545000,-14545000,-14545000,-14545000,49295000,17880000,856000,856000,50151000,471000,5e+05,50651000,32792000,512000,32280000,32792000,32822000,512600000,-494771000,17829000,17829000,50651000,-14545000,9374000,94000,-5061000,8253000,8253000,8253000,-5.29395592033938e-23,-0.81581,-0.28716,1.52937,1.84093,0,-9.31487,-9.31487,11.41801,-0.81444,9.03335
"19","2015_Q2",71.0595238095238,"Up",-5059000,-2111000,-2948000,-5059000,27000,-5032000,-2384000,-2384000,-2384000,-2384000,-2384000,44600000,14163000,743000,743000,45343000,423000,439000,45782000,29867000,438000,29429000,29867000,29887000,513050000,-497155000,15895000,15895000,45782000,-2384000,-2198000,-130000,-4695000,-3717000,-3717000,-3717000,0,-0.14998,-0.05207,1.51816,1.88028,0,-1.18879,-1.18879,7.9261,-0.1498,8.81597
"20","2015_Q3",73.08609375,"Up",-4961000,-2005000,-2956000,-4961000,25000,-4936000,-47952000,-47952000,-47952000,-47952000,-47952000,39434000,14323000,1856000,1856000,41290000,558000,570000,41860000,73168000,797000,72371000,73168000,73168000,513799000,-545107000,-31308000,-31308000,41860000,-47952000,43765000,-987000,-5162000,160000,160000,160000,8.470329472543e-22,1.53162,-1.14553,0.56432,-2.33704,-5.04870979341448e-29,-23.90493,-23.90493,-15.6076,1.53162,7.9488
"21","2015_Q4",66.06921875,"Down",-5863000,-2039000,-3824000,-5863000,9000,-5854000,34866000,34866000,34866000,34866000,34866000,34460000,11797000,2458000,2458000,36918000,852000,860000,37778000,33466000,184000,33282000,33466000,33466000,514553000,-510241000,4312000,4312000,37778000,34866000,-39966000,119000,-4974000,-2526000,-2526000,-2526000,0,8.08581,0.92292,1.10315,7.76113,0,17.38133,15.75625,2.14961,8.08581,5.87754
"22","2016_Q1",43.3285245901639,"Down",-5958000,-2079000,-3879000,-5958000,-4000,-5962000,-3232999.99999999,-3233000.00000003,-3233000,-3233000,-3233000,29256000,14056000,2633000,2633000,31889000,137000,142000,32031000,30172000,382000,29790000,30172000,30172000,515333000,-513474000,1859000.00000001,1859000.00000001,32031000,-3233000,-1949000,-28999.9999999999,-5204000,2259000,2259000,2259000,-1.35525271560688e-20,-1.73911,-0.10093,1.05691,16.23023,8.07793566946316e-28,-1.6117,-1.45461,0.926739999999998,-1.73911,4.91037
"23","2016_Q2",46.7378125,"Up",-6085000,-2114000,-3971000,-6085000,28000,-6057000,2106000,2106000,2106000,2106000,2106000,24263000,12063000,2295000,2295000,26558000,134000,146000,26704000,3019000,903000,2116000,3019000,3019000,535053000,-511368000,23685000,23685000,26704000,2106000,-7419000,534000,-4775000,-1993000,-1993000,-1993000,0,0.08892,0.07886,8.79695,0.12746,0,1.04136,1.02738,11.71162,0.08892,3.98735
"24","2016_Q3",43.61640625,"Down",-6057000,-1999000,-4058000,-6057000,5000.00000000001,-6052000,-6052000,-6052000,-6052000,-6052000,-6052000,19772000,9572000,2064000,2064000,21836000,130000,141000,21977000,3530000,1387000,2143000,3530000,3530000,535867000,-517420000,18447000,18447000,21977000,-6052000,814000,742000,-4491000,-2491000,-2491000,-2491000,-2.16840434497101e-19,-0.32808,-0.27538,6.18584,0.19136,-6.46234853557053e-27,-2.98776,-2.98776,9.10695,-0.32808,3.26432
"25","2016_Q4",53.4530158730159,"Up",-6927000,-2313000,-4614000,-6927000,13000,-6914000,-6914000,-6914000,-6914000,-6914000,-6914000,13438000,8238000,2096000,2096000,15534000,126000,215000,15749000,3364000,1223000,2141000,3364000,3364000,536719000,-524334000,12385000,12385000,15749000,-6914000,852000,-198000,-6252000,-1334000,-1334000,-1334000,0,-0.55826,-0.43901,4.61772,0.27162,0,-3.40987,-3.40987,6.10809,-0.55826,1.93995
"26","2017_Q1",36.6283870967742,"Down",-6864000,-2279000,-4585000,-6864000,0,-6864000,-6864000,-6864000,-6864000,-6864000,-6864000,21869000,8910000,2429000,2429000,24298000,123000,204000,24502000,4611000,1220000,3391000,4611000,4611000,551089000,-531198000,19891000,19891000,24502000,-6864000,679000,914000,-5260000,672000,672000,672000,-3.46944695195361e-18,-0.34508,-0.28014,5.26957,0.23181,2.06795153138257e-25,-3.05522,-3.09311,8.85363,-0.34508,3.18604
"27","2017_Q2",30.6679365079365,"Down",-6280000,-2087000,-4193000,-6280000,27000,-6253000,-6253000,-6253000,-6253000,-6253000,-6253000,16511000,7771000,2240000,2240000,18751000,119000,192000,18943000,4757000,514000,4243000,4757000,4757000,551637000,-537451000,14186000,14186000,18943000,-6253000,704000,335000,-5202000,-1139000,-1139000,-1139000,0,-0.44079,-0.3301,3.94177,0.33533,0,-2.73174,-2.73174,6.19741,-0.44079,2.62914
"28","2017_Q3",44.9955555555556,"Up",-6445000,-1997000,-4448000,-6445000,40000,-6405000,-6405000,-6405000,-6405000,-6405000,-6405000,11356000,5156000,2130000,2130000,13486000,116000,181000,13667000,5185000,603000,4582000,5185000,5185000,552338000,-543856000,8482000,8482000,13667000,-6405000,701000,538000,-5155000,-2615000,-2615000,-2615000,0,-0.75513,-0.46865,2.60096,0.61129,1.65436122510606e-24,-2.79403,-2.79403,3.70007,-0.75513,1.76199
"29","2017_Q4",72.3915873015873,"Up",-8531000,-2617000,-5914000,-8531000,27000,-8504000,-8504000,-8504000,-8504000,-8504000,-8504000,53631000,53431000,2049000,2049000,55680000,112000,169000,55849000,9279000,2451000,6828000,9279000,9279000,598930000,-552360000,46570000,46570000,55849000,-8504000,944000,4175000,-3373000,48275000,48275000,48275000,0,-0.18261,-0.15227,6.00065,0.19925,0,-3.69265,-3.69265,20.22186,-0.18261,6.2866
"30","2018_Q1",111.392950819672,"Up",-9399000,-2487000,-6912000,-9399000,122000,-9277000,-9277000,-9277000,-9277000,-9277000,-9277000,43899000,15816000,2178000,2178000,46077000,108000,159000,46236000,7975000,2604000,5371000,7975000,7975000,599898000,-561637000,38261000,38261000,46236000,-9277000,968000,-1433000,-9730000,-37615000,-37615000,-37615000,4.44089209850063e-16,-0.24247,-0.20064,5.77768,0.20844,0,-3.00706,-3.00706,12.40198,-0.24247,4.6706
"31","2018_Q2",126.81265625,"Up",-13688000,-2688000,-1.1e+07,-13688000,131000,-13557000,-13557000,-13557000,-13557000,-13557000,-13557000,32144000,14958000,2067000,2067000,34211000,105000,148000,34359000,9610000,1739000,7871000,9610000,9610000,599943000,-575194000,24749000,24749000,34359000,-13557000,688000,1746000,-11112000,-858000,-858000,-858000,0,-0.54778,-0.39457,3.55994,0.3883,0,-4.31862,-4.31862,7.88386,-0.54778,2.34833
"32","2018_Q3",119.992222222222,"Down",-10158000,-2196000,-7962000,-10158000,143000,-10015000,-10015000,-10015000,-10015000,-10015000,-10015000,45716000,16511000,1864000,1864000,47580000,101000,136000,47716000,7877000,1473000,6404000,7877000,7877000,625048000,-585209000,39839000,39839000,47716000,-10015000,631000,-1530000,-10902000,1552999.99999999,1552999.99999999,1552999.99999999,7.105427357601e-15,-0.25139,-0.20989,6.04037,0.19772,0,-3.01056,-3.01056,11.9758,-0.25139,4.50049
"33","2018_Q4",10.0012698412698,"Down",-9627000,-2160000,-7467000,-9627000,196000,-9431000,-9431000,-9431000,-9431000,-9431000,-9431000,38073000,23089000,2071000,2071000,40144000,97000,125000,40269000,9305000,3121000,6184000,9305000,9305000,625604000,-594640000,30964000,30964000,40269000,-9431000,482000,1221000,-7717000,6578000,6578000,6578000,0,-0.30458,-0.2342,4.31424,0.30051,0,-2.74096,-2.74096,8.99916,-0.30458,3.95481
"34","2019_Q1",7.45672131147541,"Down",-5586000,-2346000,-3240000,-5586000,171000,-5415000,-5415000,-5415000,-5415000,-5415000,-5415000,20645000,20645000,565000,565000,21210000,752000,752000,21962000,4331000,3440000,891000,4331000,4331000,1752999.99999988,-31384000,17631000,17631000,21962000,-5415000,562000,-4774000,-9615000,5169000,5169000,5169000,0,-0.30713,-0.24656,4.89725,0.24565,0,-1.57499,-1.57499,-8.61838,-0.30713,3.69585
"35","2019_Q2",7.72206349206349,"Up",-5941000,-3507000,-2434000,-5941000,139000,-5802000,-5802000,-5802000,-5802000,-5802000,-5802000,21187000,21012000,1347000,1347000,22534000,90000,102000,22636000,1819000,609000,1210000,1819000,1819000,626674000,-605857000,20817000,20817000,22636000,-5802000,508000,-1988000,-7271000,-7246000,-7246000,-7246000,0,-0.27871,-0.25632,12.38813,0.08738,0,-1.6881,-1.6881,6.05672,-0.27871,3.56623
"36","2019_Q3",5.11859375,"Down",-1093000,956000,-2049000,-18037000,-33000,-18070000,-19338000,-19338000,-19338000,-19338000,-19338000,28516000,28516000,1355000,1355000,29871000,1032000,1032000,30903000,5315000,2765000,2550000,7841000,7967000,79460000.0000001,-56524000,22936000,22936000,30903000,-19338000,18987000,-2239000,-2601000,15117000,15117000,15117000,0,-0.84313,-0.62576,3.80959,0.34736,5.42101086242752e-20,-2.75431,-2.75431,3.26678,-0.83852,1.58097
"37","2019_Q4",5.17328125,"Up",-5494000,-2386000,-3108000,-4949000,57000,-4892000,-4892000,-4892000,-4892000,-4892000,-4892000,23096000,23096000,959000,959000,24055000,994000,994000,25049000,3666000,1231000,2435000,6770000,6899000,79566000,-61416000,18150000,18150000,25049000,-4892000,-1159000,2222000,-3829000,-5420000,-5420000,-5420000,0,-0.26953,-0.1953,3.55318,0.38011,0,-0.31663,-0.31663,1.17476,-0.26763,4.6668
"38","2020_Q1",3.73112903225806,"Down",-4917000,-2349000,-2568000,13907000,25000,13932000,-4156000,-4156000,-4156000,-4156000,-4156000,20051000,20051000,736000,736000,20787000,957000,957000,21744000,3602000,871000,2731000,7341000,7432000,79884000,-65572000,14312000,14312000,21744000,-4156000,1619000,-508000,-3045000,-3045000,-3045000,-3045000,91000,-0.29039,-0.19113,2.83163,0.51928,0.00419,-0.26973,-0.26973,0.92887,-0.28855,-1.43525
"39","2020_Q2",2.81952380952381,"Down",-5329000,-2633000,-2696000,-4751000,13000,-4738000,-4738000,-4738000,-4738000,-4738000,-4738000,16019000,16019000,545000,545000,16564000,1201000,1201000,17765000,4154000,1376000,2778000,7317000,7370000,80705000,-70310000,10395000,10395000,17765000,-4738000,435000,267000,-4036000,-4032000,-4032000,-4032000,0,-0.4558,-0.2667,2.26377,0.70899,0,-0.30856,-0.30856,0.67698,-0.45348,3.37171
"40","2020_Q3",2.45078125,"Down",-6158000,-2344000,-3814000,-5535000,-3.63797880709171e-12,-5535000,-5535000,-5535000,-5535000,-5535000,-5535000,16617000,16617000,1399000,1399000,18016000,883000,883000,18899000,5076000,1469000,3607000,9e+06,9301000,85443000,-75845000,9598000,9598000,18899000,-5535000,380000,934000,-4221000,598000.000000004,598000.000000004,598000.000000004,301000,-0.57668,-0.29287,2.00178,0.96906,0.01593,-0.3408,-0.3408,0.590970000000002,-0.55915,2.94779
"41","2020_Q4",3.16359375,"Up",-4981000,-1933000,-3048000,-4395000,0,-4395000,-4395000,-4395000,-4395000,-4395000,-4395000,21259000,21259000,1448000,1448000,22707000,845000,845000,23552000,4250000,977000,3273000,7551000,7852000,95940000,-80240000,15700000,15700000,23552000,-4395000,445000,-1377000,-5327000,4642000,4642000,4642000,301000,-0.27994,-0.18661,3.00715,0.50013,0.01278,-0.21804,-0.21804,0.77889,-0.27467,4.7686
"42","2021_Q1",6.6127868852459,"Up",-4449000,-1463000,-2986000,-2861000,304000,-2557000,-2557000,-2557000,-2557000,-2557000,-2557000,116737000,116737000,1266000,1266000,118003000,806000,806000,118809000,4185000,1143000,3042000,5858000,5858000,195748000,-82797000,112951000,112951000,118809000,-2557000,145000,-1499000,-3911000,95478000,95478000,95478000,40000,-0.02264,-0.02152,20.14391,0.05186,0.00034,-0.0867799999999954,-0.086779999999999,3.83314000000002,-0.02263,40.78889
"43","2021_Q2",5.9331746031746,"Down",-6707000,-2794000,-3913000,-5959000,11000,-5948000,-5948000,-5948000,-5948000,-5948000,-5948000,111211000,111211000,1873000,1873000,113084000,973000,973000,114057000,4665000,1892000,2773000,5723000,5754000,197048000,-88745000,108303000,108303000,114057000,-5948000,878000,-915000,-5985000,-5526000,-5526000,-5526000,0,-0.05492,-0.05215,19.75957,0.05313,0,-121.15533,-121.15533,2206.03332,-0.0549,18.6627
"44","2021_Q3",4.1359375,"Down",-8572000,-3380000,-5192000,-7689000,6999.99999999997,-7682000,-7682000,-7682000,-7682000,-7682000,-7682000,103663000,103663000,3936000,3936000,107599000,820000,820000,108419000,3502000,1009000,2493000,5900000,5900000,198946000,-96427000,102519000,102519000,108419000,-7682000,1878000,-1804000,-7608000,-7548000,-7548000,-7548000,3.63797880709171e-12,-0.07493,-0.07085,18.23712,0.05755,0,-156.47533,-156.47533,2088.21852,-0.07493,13.48199
"45","2021_Q4",3.3640625,"Down",-11765000,-2802000,-8963000,-9637000,7000,-9630000,-9630000,-9630000,-9630000,-9630000,-9630000,97380000,97380000,2140000,2140000,99520000,776000,776000,100296000,5543000,2746000,2797000,5820000,5820000,200533000,-106057000,94476000,94476000,100296000,-9630000,1531000,1719000,-6380000,-6283000,-6283000,-6283000,0,-0.10193,-0.09602,17.09966,0.0616,0,-0.19539,-0.19539,1.91693,-0.10193,10.1048
"46","2022_Q1",1.81967741935484,"Down",-8637000,-2619000,-6018000,-8081000,8000,-8073000,-8073000,-8073000,-8073000,-8073000,-8073000,90765000,90765000,2088000,2088000,92853000,732000,732000,93585000,5390000,1959000,3431000,5465000,5465000,202250000,-114130000,88120000,88120000,93585000,-8073000,1757000,-3e+05,-6616000,-6615000,-6615000,-6615000,0,-0.09161,-0.08626,16.99048,0.06202,-1.35525271560688e-20,-0.162379999999996,-0.162379999999996,1.77242999999989,-0.09161,11.2319
"47","2022_Q2",1.11467741935484,"Down",-10658000,-3679000,-6979000,-9912000,8000,-9904000,-9904000,-9904000,-9904000,-9904000,-9904000,82159000,82159000,2907000,2907000,85066000,422000,422000,85488000,5263000,2395000,2868000,5263000,5294000,204228000,-124034000,80194000,80194000,85488000,-9904000,2022000,-724000,-8606000,-8606000,-8606000,-8606000,0,-0.1235,-0.11585,16.16302,0.06601,0,-0.20037,-0.20037,1.62241,-0.12345,8.28884
"48","2022_Q3",1.0721875,"Down",-11986000,-3225000,-8761000,-11795000,54000,-11741000,-11741000,-11741000,-11741000,-11741000,-11741000,78900000,78900000,2080000,2080000,80980000,546000,546000,81526000,7157000,2519000,4638000,7368000,7525000,209776000,-135775000,74001000,74001000,81526000,-11741000,1742000,2869000,-7130000,-3259000,-3259000,-3259000,0,-0.15866,-0.14402,10.99077,0.10169,1.6940658945086e-21,-0.23753,-0.23753,1.49711999999999,-0.15832,6.68928
