"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"24","2016_Q1",33.8818032786885,"Down",6100587,-1470049,4630538,-1349455,-336891,-1012564,3281083,468121,468121,3749204,3749204,-1148361,2600843,2600843,2600843,2600843,27231977,7534593,19697384,2244086,2244086,3205233,734524,734524,33415820,1691713,10379998,-8688285,65695335,67438236,100854056,874664,317990,556674,1589469,1589469,19254032,79559196,451359,99264587,99264587,100854056,2600843,222784,-9564,-403543,2410520,-109826,6944963,6835137,-5305228,3940429,3940429,3940429,3503867,0,4138859,0.75903,0.53783,0.42633,0.0262,0.02579,1.59135,21.02326,0.01601,0,0.53673,0.53687,1.25896,20.48487,0.85412,3,0.07501,0.0417,-7.77198,-8.29969
"25","2016_Q2",38.07640625,"Up",6707772,-1385178,5322594,-1148283,-389915,-758368,4174311,437734,437734,4612045,4612045,-1479500,3132545,3132545,3132545,3132545,21465492,1905697,19559795,2651926,2651926,3186450,701867,701867,28005735,1497322,10379586,-8882264,71170799,72668121,100673856,2170806,297831,591821,2885611,2886131,19254032,77856731,676962,97787725,97787725,100673856,3132545,193979,-77021,939742,4189245,412,-4983543,-4983131,-4835010,-5628896,-5628896,-5628896,4368290,0,6787944,0.7935,0.62231,0.467,0.03203,0.03112,2.16691,9.70531,0.02951,0,0.64789,0.64761,1.38733,20.22493,1.40392,5,0.08148,0.06941,-4.91393,-5.14228
"26","2016_Q3",39.62078125,"Up",7302539,-1740814,5561725,-1111876,-343688,-768188,4449849,430983,430983,4880832,4880832,-1575635,3305197,3305197,3305197,3305197,28009576,5690673,22318903,3368170,3368170,2908881,697788,697788,34984415,1452263,10533094,-9080831,60777962,62353635,97338050,873990,310030,563960,1257867,1257867,19317112,76326918,436153,96080183,96080183,97338050,3305197,198567,35475,-2062340,1476899,-153508,7255515,7102007,-4793930,3784976,3784976,3784976,4648416,0,4008203,0.76162,0.60936,0.45261,0.0344,0.03396,1.2127,27.81249,0.01309,-1.03397576569128e-25,0.68352,0.6832,1.51017,19.86949,0.8289,5,0.08472,0.04172,-6.02562,-6.2945
"27","2016_Q4",43.7942857142857,"Up",7462679,-1502848,5959831,-1211138,-384322,-826816,4748693,395207,395207,5143900,5143900,-1660156,3483744,3483744,3483744,3483744,28454394,3799188,24655206,1461659,1461659,3162478,751433,751433,33829964,1298914,10580445,-9281531,59668735,61414598,95244562,1037570,358530,679040,1037570,1037570,19368049,74974652,-135709,94206992,94206992,95244562,3483744,475672,2763,1378972,5341151,-47351,-2400212,-2447563,-4785073,-1891485,-1891485,-1891485,5224365,0,8216142,0.79862,0.63633,0.46682,0.03698,0.03658,2.35842,32.60499,0.01101,0,0.72033,0.71981,1.54304,19.479,1.69884,8,0.08831,0.08721,-5.44648,-5.99205
"28","2017_Q1",54.6224193548387,"Up",6853206,-1449454,5403752,-1331402,-340673,-990729,4072350,386884,386884,4459234,4459234,-1431851,3027383,3027383,3027383,3027383,27791197,8199364,19591833,3436802,3436802,3358298,607283,607283,35193580,1413248,10651874,-9238626,56810923,58581226,93774806,952588,376275,576313,1095321,1095321,19555758,73162025,-38298,92679485,92679485,93774806,3027383,279233,34311,-1969062,1371865,-319388,8e+06,7680612,-4652301,4400176,4400176,4400176,4351583,0,3494984,0.7885,0.59423,0.44175,0.03267,0.03228,1.15446,32.13084,0.01182,-1.65436122510606e-24,0.62556,0.62564,1.4161,19.15064,0.72218,7,0.08489,0.03771,-6.38646,-6.82436
"29","2017_Q2",56.8033333333333,"Up",7607666,-1798366,5809300,-1305086,-399361,-905725,4504214,361778,361778,4865992,4865992,-1568377,3297615,3297615,3297615,3297615,31240963,4377913,26863050,3130966,3130966,3248745,597949,597949,38218623,1652458,11045272,-9392814,53347770,55410094,93628717,2401967,344391,581484,2437600,2437600,19555758,71618630,16729,91191117,91191117,93628717,3297615,242160,-84210,1767002,5222567,-393398,-3809610,-4203008,-4841010,-3821451,-3821451,-3821451,4746374,0,7688355,0.76361,0.59206,0.43346,0.03616,0.03522,2.33149,15.67879,0.02673,0,0.68118,0.68045,1.5715,18.83721,1.58817,6,0.08925,0.08431,-6.58207,-6.93594
"30","2017_Q3",55.0739682539683,"Down",6996234,-1353169,5643065,-1378867,-348363,-1030504,4264198,387860,387860,4652058,4652058,-1491023,3161035,3161035,3161035,3161035,22030051,5108313,16921738,2659618,2659618,3504478,523190,523190,28717337,1623132,11178251,-9555119,59622760,61677998,90395335,830535,249697,580838,830535,830535,19596678,69938655,29467,89564800,89564800,90395335,3161035,237983,11412,-1316691,2093739,-132979,3610650,3477671,-4841010,730400.000000002,730400.000000002,730400.000000002,4502181,0,4543534,0.80659,0.6095,0.45182,0.03529,0.03497,1.43736,34.57691,0.00927,2.64697796016969e-23,0.65297,0.65235,1.4452,18.50126,0.93855,6,0.08934,0.05073,-4.8932,-5.16628
"31","2017_Q4",61.3988888888889,"Up",7360789,-1657700,5703089,-1165772,-313033,-852739,4537317,404665,404665,4941982,4941982,-1370380,3571602,3571602,3571602,3571602,23536555,4728352,18808203,2165866,2165866,3596326,967958,967958,30266705,1514579,11256629,-9742050,56729730,58577332,88844037,793063,258869,534194,793063,793063,19647718,68669247,-265991,88050974,88050974,88844037,3571602,246699,267672,-80336,4005637,-78378,482750,404372,-4789970,-379961,-379961,-379961,4784016,0,5995682,0.77479,0.61642,0.48522,0.04056,0.0402,1.67871,38.16431,0.00901,0,0.73773,0.73682,1.52039,18.18721,1.23843,6,0.09554,0.06809,-4.91983,-5.18733
"32","2018_Q1",59.943606557377,"Down",7899192,-1465509,6433683,-1288785,-374835,-913950,5144898,403894,403894,5548792,5548792,-1666372,3882420,3882420,3882420,3882420,25520891,4755082,20765809,2888779,2888779,3650439,635160,635160,32695269,1325383,11145271,-9819888,52838158,54736196,87431465,989725,414970,574755,989725,989725,19647718,67709657,-915635,86441740,86441740,87431465,3882420,252810,-57679,-247566,3829985,-45,1038800,1038755,-4842010,26730,26730,26730,5397708,-2.8421709430404e-14,6816469,0.81447,0.65132,0.4915,0.04491,0.04441,1.75573,33.0347,0.01145,2.11758236813575e-22,0.80182,0.80121,1.63139,17.85249,1.40778,6,0.10093,0.07886,-4.7281,-4.96043
"33","2018_Q2",74.5540625,"Up",7107906,-1396005,5711901,-1317787,-328761,-989026,4394114,424770,424770,4818884,4818884,-873835,3945049,3945049,3945049,3945049,31376037,8451861,22924176,3120773,3120773,3621681,532107,532107,38650598,1241307,11183256,-9941949,46558228,48402609,87053207,1615455,388413,507030,1615455,1615455,19647718,66873061,-1083027,85437752,85437752,87053207,3945049,179746,-443,525547,4649899,-37985,3926875,3888890,-4842010,3696779,3696779,3696779,4573860,0,5935257,0.8036,0.6182,0.55502,0.04617,0.04532,1.50448,23.92552,0.01891,0,0.81475,0.81333,1.46797,17.6451,1.22578,7,0.10285,0.06947,-6.85986,-7.14047
