"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2012_Q4",4.43354838709677,"Down",1.113e+09,-9.81e+08,1.32e+08,-6.9e+07,-6.8e+07,-1e+06,6.3e+07,-1.2e+07,-2.5e+07,1.2e+07,1e+06,5.1e+07,6.4e+07,-1.2e+07,5.2e+07,-1e+06,-1e+06,5.1e+07,-2e+06,4.9e+07,4.9e+07,2.26e+08,2.26e+08,6.42e+08,6.42e+08,4.63e+08,5.6e+07,5.6e+07,1.387e+09,3.99e+08,7.69e+08,4.26e+08,3.43e+08,1.168e+09,2.555e+09,7.75e+08,7.75e+08,9e+06,3.24e+08,3.24e+08,1.108e+09,1.048e+09,1.332e+09,1.017e+09,3.15e+08,2.38e+09,3.488e+09,9.96e+08,-1.11e+09,-8.61e+08,-9.75e+08,4.2e+07,-9.33e+08,2.555e+09,6.8e+07,-2.2e+07,-1.7e+07,8e+07,6.8e+07,1.19e+08,1.19e+08,-2e+06,1.17e+08,1.057e+09,0.1186,0.0566,0.04403,-0.05252,0.01918,1.25181,-3.73848,0.4137,0.5083,0.50412,11.54564,-10.11411,0.03365,13.19048
"12","2013_Q1",4.8115,"Up",9.52e+08,-8.42e+08,1.1e+08,-7.8e+07,-7.7e+07,-1e+06,3.2e+07,-1.1e+07,-2.3e+07,1.1e+07,1e+06,2.1e+07,1.2e+07,-8e+06,4e+06,2e+06,2e+06,6e+06,-1e+06,5e+06,5e+06,2.57e+08,2.57e+08,5.42e+08,5.42e+08,4.38e+08,6.1e+07,6.1e+07,1.298e+09,4.17e+08,7.86e+08,4.33e+08,3.53e+08,1.203e+09,2.501e+09,6.97e+08,6.97e+08,1.8e+07,3.13e+08,3.13e+08,1.028e+09,1.042e+09,1.413e+09,1.075e+09,3.38e+08,2.455e+09,3.483e+09,9.97e+08,-1.105e+09,-9.15e+08,-1.023e+09,4.1e+07,-9.82e+08,2.501e+09,5.5e+07,-2.4e+07,-2.4e+07,-1000000.00000001,-1e+06,3e+07,3e+07,1e+06,3.1e+07,1.06e+09,0.11555,0.03361,0.00525,-0.00509,0.002,1.26265,-3.54684,0.42383,0.05187,0.05144,9.87552,-10.61203,0.00335,25.09375
"13","2013_Q2",5.9928125,"Up",8.91e+08,-8.08e+08,8.3e+07,-6.3e+07,-6.2e+07,-1e+06,2e+07,-2e+07,-2.9e+07,9e+06,2024004.5892951,0,-6e+06,-1e+07,-1.6e+07,-5e+06,-5e+06,-2.1e+07,0,-2.1e+07,-2.1e+07,1.39e+08,1.39e+08,4.83e+08,4.83e+08,4.63e+08,5.6e+07,5.6e+07,1.141e+09,4.07e+08,7.93e+08,4.33e+08,3.6e+08,1.2e+09,2.341e+09,5.97e+08,5.97e+08,2.3e+07,2.97e+08,2.97e+08,9.17e+08,1.032e+09,1.403e+09,1.07e+09,3.33e+08,2.435e+09,3.352e+09,1.006e+09,-1.126e+09,-9.21e+08,-1.041e+09,3e+07,-1.011e+09,2.341e+09,-9.1e+07,-1.5e+07,-1.5e+07,-8e+06,-1.2e+07,-1.18e+08,-1.18e+08,0,-1.18e+08,1.055e+09,0.09315,0.02245,-0.02357,0.02077,-0.00897,1.24427,-3.31553,0.45066,-0.21717,-0.21717,9.21406,-10.76525,-0.01451,45.8
"14","2013_Q3",7.73171875,"Up",9.08e+08,-8.13e+08,9.5e+07,-6.6e+07,-6.5e+07,-1e+06,2.9e+07,-1.5e+07,-2.5e+07,1e+07,3569677.44643094,1.4e+07,3e+06,-7e+06,-4e+06,0,0,-4000000.00000001,-1.16415321826935e-10,-4e+06,-4e+06,1.17e+08,1.17e+08,5.55e+08,5.55e+08,4.2e+08,5.4e+07,5.4e+07,1.146e+09,3.95e+08,7.96e+08,4.27e+08,3.69e+08,1.191e+09,2.337e+09,6.16e+08,6.16e+08,2.5e+07,2.97e+08,2.97e+08,9.38e+08,1.03e+09,1.383e+09,1.056e+09,3.27e+08,2.413e+09,3.351e+09,1.007e+09,-1.13e+09,-9.19e+08,-1.042e+09,2.8e+07,-1.014e+09,2.337e+09,-1.8e+07,-8e+06,-2e+06,-3e+06,-3e+06,-2.3e+07,-2.3e+07,1e+06,-2.2e+07,1.055e+09,0.10463,0.03194,-0.00441,0.00394,-0.00171,1.22175,-3.30473,0.45143,-0.04115,-0.04119,9.34156,-10.72016,-0.00281,32.34483
"15","2013_Q4",7.81234375,"Up",9.93e+08,-8.84e+08,1.09e+08,-6.7e+07,-6.7e+07,-1.16415321826935e-10,4.2e+07,-3e+07,-4.5e+07,1.5e+07,4330511.58035131,1.2e+07,-3.6e+07,-1e+06,-3.7e+07,-1e+06,-1e+06,-3.8e+07,0,-3.8e+07,-3.8e+07,2.28e+08,2.28e+08,5.96e+08,5.96e+08,4.11e+08,5.1e+07,5.1e+07,1.286e+09,3.84e+08,8.07e+08,4.27e+08,3.8e+08,1.191e+09,2.477e+09,6.57e+08,6.57e+08,2.3e+07,3.28e+08,3.28e+08,1.008e+09,1.144e+09,1.384e+09,1.043e+09,3.41e+08,2.528e+09,3.536e+09,1.009e+09,-1.168e+09,-9.27e+08,-1.086e+09,2.7e+07,-1.059e+09,2.477e+09,3.6e+07,-8e+06,-7e+06,8.4e+07,8.6e+07,1.15e+08,1.15e+08,-4e+06,1.11e+08,1.167e+09,0.10977,0.0423,-0.03827,0.03588,-0.01534,1.27579,-3.339,0.47113,-0.39095,-0.39095,10.21605,-11.17284,-0.02547,22.35714
"16","2014_Q1",11.236393442623,"Up",8.8e+08,-7.72e+08,1.08e+08,-6e+07,-5.9e+07,-1e+06,4.8e+07,-1.6e+07,-2.7e+07,8e+06,3e+06,3.2e+07,9e+07,-4.6e+07,4.4e+07,-1e+06,-1e+06,4.3e+07,-2e+06,4.1e+07,4.1e+07,3.18e+08,3.18e+08,5.96e+08,5.96e+08,4.14e+08,5.6e+07,5.6e+07,1.384e+09,4.17e+08,7.69e+08,4.34e+08,3.35e+08,1.186e+09,2.57e+09,6.94e+08,6.94e+08,1.3e+07,3.39e+08,3.39e+08,1.046e+09,1.125e+09,1.221e+09,8.86e+08,3.35e+08,2.346e+09,3.392e+09,1.011e+09,-1.127e+09,-7.34e+08,-8.5e+08,2.8e+07,-8.22e+08,2.57e+09,-2.3e+07,-2.3e+07,1.61e+08,-3.7e+07,-4.7e+07,9.1e+07,9.1e+07,-999999.999999998,9e+07,1.138e+09,0.12273,0.05455,0.04659,-0.04988,0.01595,1.32314,-4.12652,0.4428,0.42138,0.42094,9.04419,-8.73587,0.02668,17.08333
"17","2014_Q2",13.1455555555556,"Up",9e+08,-7.95e+08,1.05e+08,-6e+07,-5.9e+07,-1e+06,4.5e+07,-1.9e+07,-2.7e+07,8e+06,0,2.6e+07,2.5e+07,-1.1e+07,1.4e+07,-1e+06,-1e+06,1.3e+07,-2e+06,1.1e+07,1.1e+07,3e+08,3e+08,5.34e+08,5.34e+08,4.32e+08,5.7e+07,5.7e+07,1.323e+09,4.1e+08,7.64e+08,4.36e+08,3.28e+08,1.174e+09,2.497e+09,6.51e+08,6.51e+08,1.2e+07,3.23e+08,3.23e+08,9.86e+08,1.126e+09,1.193e+09,8.75e+08,3.18e+08,2.319e+09,3.305e+09,1.012e+09,-1.116e+09,-7.34e+08,-8.38e+08,3e+07,-8.08e+08,2.497e+09,-4e+06,-1.2e+07,-1.2e+07,-4e+06,-1e+06,-1.7e+07,-1.7e+07,-1e+06,-1.8e+07,1.138e+09,0.11667,0.05,0.01222,-0.01361,0.00441,1.34178,-4.09035,0.45575,0.11305,0.11145,9.24974,-8.61254,0.00722,18.62222
"18","2014_Q3",13.0175,"Down",9.54e+08,-8.36e+08,1.18e+08,-6.6e+07,-6.6e+07,0,5.2e+07,-3.9e+07,-4.8e+07,9000000.00000001,0,1.3e+07,1.1e+07,-8e+06,3000000.00000001,0,0,3000000.00000001,-2e+06,1e+06,1e+06,2.33e+08,2.33e+08,6.18e+08,6.18e+08,4.36e+08,5.8e+07,5.8e+07,1.345e+09,4.1e+08,7.76e+08,4.37e+08,3.39e+08,1.186e+09,2.531e+09,6.96e+08,6.96e+08,6e+06,3.45e+08,3.45e+08,1.047e+09,1.082e+09,1.184e+09,8.68e+08,3.16e+08,2.266e+09,3.313e+09,1.014e+09,-1.115e+09,-7.12e+08,-8.13e+08,3.1e+07,-7.82e+08,2.531e+09,2.2e+07,-1.3e+07,-1e+07,-7.9e+07,-7.8e+07,-6.6e+07,-6.6e+07,-1e+06,-6.7e+07,1.088e+09,0.12369,0.05451,0.00104999999999999,-0.00128,4e-04,1.28462,-4.23657,0.42987,0.0102499999999999,0.01004,9.77459,-8.32992,0.00067,16.44231
"19","2014_Q4",12.694375,"Down",9.79e+08,-8.55e+08,1.24e+08,-5.4e+07,-5.3e+07,-1e+06,7e+07,1.79e+08,-2.2e+07,2.01e+08,0,2.49e+08,2.49e+08,-1.2e+07,2.37e+08,-3e+06,-3e+06,2.34e+08,0,2.34e+08,2.34e+08,3.03e+08,3.03e+08,6.44e+08,6.44e+08,4.41e+08,5.6e+07,5.6e+07,1.444e+09,4.11e+08,9.55e+08,4.39e+08,5.16e+08,1.366e+09,2.81e+09,7.15e+08,7.15e+08,5e+06,3.51e+08,3.51e+08,1.071e+09,1.086e+09,1.18e+09,8.61e+08,3.19e+08,2.266e+09,3.337e+09,1.016e+09,-8.81e+08,-6.93e+08,-5.58e+08,3.1e+07,-5.27e+08,2.81e+09,8.5e+07,-1.4e+07,-1.4e+07,0,-3e+06,6.8e+07,6.8e+07,2e+06,7e+07,1.091e+09,0.12666,0.0715,0.23902,-0.44402,0.08327,1.34827,-6.33207,0.38826,2.39754,2.31454,10.03074,-5.71721,0.13417,11.25714
"20","2015_Q1",13.9106557377049,"Up",9.33e+08,-7.93e+08,1.4e+08,-8e+07,-8e+07,0,6e+07,-2.3e+07,-3.3e+07,9999999.99999994,0,3.7e+07,3e+07,0,3e+07,-2.6e+07,-2.6e+07,4000000.00000003,-1e+06,3000000.00000006,3000000.00000006,2.47e+08,2.47e+08,6.1e+08,6.1e+08,3.79e+08,5.6e+07,5.6e+07,1.292e+09,4.24e+08,7.69e+08,4.31e+08,3.38e+08,1.193e+09,2.485e+09,6.8e+08,6.8e+08,7e+06,3.51e+08,3.51e+08,1.038e+09,9.48e+08,1.084e+09,7.75e+08,3.09e+08,2.032e+09,3.07e+09,1.015e+09,-8.78e+08,-7.49e+08,-6.12e+08,2.7e+07,-5.85e+08,2.485e+09,1.12e+08,-3.8e+07,-3.4e+07,-1.19e+08,-1.3e+08,-5.2e+07,-5.2e+07,-4e+06,-5.6e+07,9.55e+08,0.15005,0.06431,0.00321999999999997,-0.00513,0.00121,1.2447,-5.24786,0.38431,0.0307700000000004,0.0308000000000002,9.56923,-6.27692,0.00206,11.8
"21","2015_Q2",13.4120634920635,"Down",8.79e+08,-7.64e+08,1.15e+08,-6.4e+07,-6.5e+07,1e+06,5.1e+07,-8e+06,-1.9e+07,9e+06,2e+06,4.3e+07,4e+07,-7e+06,3.3e+07,-3e+06,-3e+06,3e+07,-1e+06,2.9e+07,2.9e+07,2.14e+08,2.14e+08,5.11e+08,5.11e+08,3.79e+08,5.8e+07,5.8e+07,1.162e+09,4.07e+08,7.77e+08,4.23e+08,3.54e+08,1.184e+09,2.346e+09,5.97e+08,5.97e+08,5e+06,2.92e+08,2.92e+08,8.94e+08,9.62e+08,1.066e+09,7.59e+08,3.07e+08,2.028e+09,2.922e+09,1.017e+09,-8.49e+08,-7.71e+08,-6.03e+08,2.7e+07,-5.76e+08,2.346e+09,-9e+06,-1.2e+07,-1.2e+07,-135265561.404738,-4e+06,-2.5e+07,-2.5e+07,-8e+06,-3.3e+07,9.67e+08,0.13083,0.05802,0.03299,-0.05035,0.01236,1.29978,-5.07292,0.41219,0.29622,0.28656,8.97855,-6.15935,0.0199,14.76471
"22","2015_Q3",12.9203125,"Down",8.64e+08,-7.49e+08,1.15e+08,-5.7e+07,-5.7e+07,0,5.8e+07,-1e+07,-2.1e+07,8999999.99999999,2e+06,4.8e+07,4.5e+07,-6e+06,3.9e+07,4e+06,4e+06,4.3e+07,0,4.3e+07,4.3e+07,2.07e+08,2.07e+08,5.45e+08,5.45e+08,3.65e+08,5.5e+07,5.5e+07,1.172e+09,3.87e+08,7.58e+08,4.14e+08,3.44e+08,1.145e+09,2.317e+09,6.18e+08,6.18e+08,5e+06,2.81e+08,2.81e+08,9.04e+08,9.45e+08,1.038e+09,7.37e+08,3.01e+08,1.983e+09,2.887e+09,1.019e+09,-8.06e+08,-7.93e+08,-5.96e+08,2.6e+07,-5.7e+08,2.317e+09,3.8e+07,-1.1e+07,-7e+06,-1.6e+07,-3.4e+07,-2999999.99999999,-2999999.99999999,-4e+06,-7e+06,9.5e+08,0.1331,0.06713,0.04977,-0.07544,0.01856,1.29646,-5.06491,0.41001,0.43922,0.41788,8.82533,-6.08784,0.03032,12.81034
"23","2015_Q4",9.985,"Down",9.09e+08,-7.85e+08,1.24e+08,-6.4e+07,-6.5e+07,1e+06,6e+07,-2.9e+07,-3.8e+07,1e+07,-1e+06,3.1e+07,2.2e+07,-6e+06,1.6e+07,-2e+06,-2e+06,1.4e+07,-1e+06,1.3e+07,1.3e+07,3.45e+08,3.45e+08,5.3e+08,5.3e+08,3.65e+08,5.2e+07,5.2e+07,1.292e+09,3.93e+08,7.68e+08,4.2e+08,3.48e+08,1.161e+09,2.453e+09,6.11e+08,6.11e+08,1.8e+07,3.03e+08,3.03e+08,9.32e+08,1.079e+09,1.033e+09,7.29e+08,3.04e+08,2.112e+09,3.044e+09,9.75e+08,-7.93e+08,-7.7e+08,-6.18e+08,2.7e+07,-5.91e+08,2.453e+09,9.3e+07,-2.2e+07,-1.8e+07,8.2e+07,6.3e+07,1.38e+08,1.38e+08,0,1.38e+08,1.097e+09,0.13641,0.06601,0.0143,-0.022,0.0053,1.38627,-5.15059,0.44721,0.13416,0.12961,9.3808,-6.37771,0.00845,12.53333
