"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",6.25546875,"Down",1.098e+09,-8.59e+08,2.39e+08,-2.2e+08,-1.12e+08,-1e+06,-1.15e+08,1.9e+07,-2e+07,-2e+07,-1e+06,-1.3e+07,-1.4e+07,-2e+06,-1.6e+07,-1.6e+07,-1.6e+07,-1.6e+07,2.28e+08,2.28e+08,8.4e+08,8.4e+08,4.78e+08,4.78e+08,1.546e+09,3.31e+08,3.237e+09,4.87e+08,2.09e+09,6.6e+08,3.568e+09,5.114e+09,2.85e+08,1.45e+08,1.4e+08,5e+07,7.88e+08,9.5e+07,6.93e+08,1.123e+09,1.468e+09,5.13e+08,1.81e+08,3.32e+08,1.981e+09,3.104e+09,1.42e+08,3.888e+09,-1.601e+09,-4.19e+08,2.01e+09,2.01e+09,5.114e+09,-1.6e+07,1.15e+08,-3e+06,-7.8e+07,1.8e+07,-3.3e+07,-9e+07,7.9e+07,-4.4e+07,-1.4e+07,-5e+06,-2.1e+07,-4.7e+07,-4.7e+07,-2e+06,-4.9e+07,1.34e+08,1.518e+09,2.5e+07,0.21767,0.0173,-0.01457,-0.00796,-0.00313,-1.5625,1.37667,1.54428,0.29683,-0.07626,-0.07626,5.23333,8.90334,0.11916,-0.00396,0.00619,9.62687,67.89474
"12","2020_Q1",3.96258064516129,"Down",1.099e+09,-8.5e+08,2.49e+08,-2.46e+08,-1.19e+08,-2e+06,-1.17e+08,3e+06,-8e+06,-1.8e+07,-5e+06,-6.3e+08,-6.35e+08,5.4e+07,-5.81e+08,-5.81e+08,-5.81e+08,-5.81e+08,4.96e+08,4.96e+08,6.52e+08,6.52e+08,4.38e+08,4.38e+08,1.586e+09,3.42e+08,2.586e+09,4.26e+08,1.502e+09,6.58e+08,2.928e+09,4.514e+09,3.72e+08,1.98e+08,1.74e+08,5e+07,7.55e+08,1.08e+08,6.47e+08,1.177e+09,1.464e+09,4.31e+08,1.11e+08,3.2e+08,1.895e+09,3.072e+09,1.42e+08,3.892e+09,-2.185e+09,-4.07e+08,1.442e+09,1.442e+09,4.514e+09,-5.81e+08,1.17e+08,5.24e+08,2.88e+08,3.48e+08,-3.9e+07,-7e+06,-1.1e+07,-5.7e+07,-1.2e+07,-1e+07,-2.5e+07,2.66e+08,2.66e+08,3e+06,2.69e+08,1.2e+08,1.514e+09,3.15e+08,0.22657,0.00273,-0.52866,-0.40291,-0.12871,-0.54217,1.34749,2.13037,0.3354,-2.75292,-2.75292,5.20732,6.15971,1.49254,-0.16859,0.093,8.48333,339.33333
"13","2020_Q2",2.32460317460317,"Down",1.051e+09,-8.32e+08,2.19e+08,-2.34e+08,-1.16e+08,-1e+06,-1.17e+08,-1.5e+07,-1.9e+07,-1.7e+07,-3.4e+07,-1.7e+07,-5.1e+07,2e+06,-4.9e+07,-4.9e+07,-4.9e+07,-4.9e+07,3.95e+08,3.95e+08,6.9e+08,6.9e+08,4.87e+08,4.87e+08,1.572e+09,3.21e+08,2.501e+09,3.66e+08,1.486e+09,6.49e+08,2.822e+09,4.394e+09,3.19e+08,1.68e+08,1.51e+08,6e+07,6.44e+08,1.09e+08,5.35e+08,1.023e+09,1.596e+09,4.13e+08,1.08e+08,3.05e+08,2.009e+09,3.032e+09,1.42e+08,3.893e+09,-2.236e+09,-4.37e+08,1.362e+09,1.362e+09,4.394e+09,-4.9e+07,1.17e+08,-3e+06,-2.57e+08,-1.92e+08,-1.1e+07,1e+06,-1.3e+07,-2.3e+07,1.35e+08,-3e+06,1.3e+08,-8.5e+07,-8.5e+07,-7e+06,-9.2e+07,1.02e+08,1.656e+09,-1.68e+08,0.20837,-0.01427,-0.04662,-0.03598,-0.01115,3.42857,1.53666,2.22614,0.37688,-0.23213,-0.23213,4.97885,5.77944,-0.79586,-0.0137,-0.04897,12.36275,-84.06667
"14","2020_Q3",2.9625,"Up",1.016e+09,-7.95e+08,2.21e+08,-2.26e+08,-1.11e+08,2.3283064365387e-10,-1.15e+08,-5e+06,-1.4e+07,-1.5e+07,-1.9e+07,-4.5e+07,-63999999.9999999,1.3e+07,-5.1e+07,-5.1e+07,-5.1e+07,-5.1e+07,4.28e+08,4.28e+08,6.93e+08,6.93e+08,4.47e+08,4.47e+08,1.568e+09,3.09e+08,2.449e+09,3.06e+08,1.491e+09,6.52e+08,2.758e+09,4.326e+09,3.52e+08,1.7e+08,1.82e+08,6.8e+07,6.02e+08,1.06e+08,4.96e+08,1.022e+09,1.581e+09,4.06e+08,9.3e+07,3.13e+08,1.987e+09,3.009e+09,1.42e+08,3.898e+09,-2.29e+09,-4.33e+08,1.317e+09,1.317e+09,4.326e+09,-5.1e+07,1.15e+08,-14999999.9999999,2.5e+07,73999999.9999999,-1.9e+07,1e+06,-1.7e+07,-3.5e+07,-1.3e+07,0,-1.6e+07,23000000.0000001,23000000.0000001,1e+06,23999999.9999999,1.1e+08,1.649e+09,1.03e+08,0.21752,-0.00492,-0.0502,-0.0387200000000001,-0.01179,-2.01961,1.53425,2.28474,0.38118,-0.24352,-0.24352,4.85129,5.61049,0.49181,-0.01423,0.03055,11.1,-244.2
"15","2020_Q4",4.175,"Up",1.041e+09,-7.79e+08,2.62e+08,-2.34e+08,-1.22e+08,0,-1.12e+08,2.8e+07,-1.3e+07,-1.4e+07,1.5e+07,-2.8e+07,-1.3e+07,6e+06,-7e+06,-7e+06,-7e+06,-7e+06,4.88e+08,4.88e+08,6.87e+08,6.87e+08,4.78e+08,4.78e+08,1.653e+09,3.06e+08,2.401e+09,2.47e+08,1.506e+09,6.48e+08,2.707e+09,4.36e+09,3.73e+08,1.73e+08,2e+08,7.8e+07,5.9e+08,1.12e+08,4.78e+08,1.041e+09,1.574e+09,4.2e+08,1.06e+08,3.14e+08,1.994e+09,3.035e+09,1.42e+08,3.903e+09,-2.299e+09,-4.21e+08,1.325e+09,1.325e+09,4.36e+09,-7e+06,1.12e+08,4e+06,-2e+06,1.07e+08,-1.8e+07,1e+06,-1.7e+07,-3.4e+07,-1.1e+07,-4e+06,-1.5e+07,5.8e+07,5.8e+07,1e+06,5.9e+07,1.4e+08,1.652e+09,1.14e+08,0.25168,0.0269,-0.00672,-0.00528,-0.00161,-16.28571,1.5879,2.29057,0.3789,-0.03344,-0.03344,4.97249,5.65077,0.54454,-0.00206,0.03356,8.31429,41.57143
"16","2021_Q1",5.69950819672131,"Up",1.055e+09,-8.03e+08,2.52e+08,-2.34e+08,-1.19e+08,0,-1.15e+08,1.8e+07,-1.5e+07,-1.4e+07,3e+06,-1.4e+07,-1.1e+07,-9.31322574615479e-10,-1.1e+07,-1.1e+07,-1.1e+07,-1.1e+07,4.5e+08,4.5e+08,6.7e+08,6.7e+08,4.57e+08,4.57e+08,1.577e+09,3.05e+08,2.374e+09,1.87e+08,1.528e+09,6.59e+08,2.679e+09,4.256e+09,4.19e+08,1.82e+08,2.37e+08,9e+07,5.83e+08,1.33e+08,4.5e+08,1.092e+09,1.42e+09,4.12e+08,9.7e+07,3.15e+08,1.832e+09,2.924e+09,1.42e+08,3.901e+09,-2.313e+09,-3.98e+08,1.332e+09,1.332e+09,4.256e+09,-1.1e+07,1.15e+08,2.7e+07,4.1e+07,1.72e+08,-2.8e+07,2e+06,-1.6e+07,-4.2e+07,-1.61e+08,-7e+06,-1.73e+08,-4.3e+07,-4.3e+07,5e+06,-3.8e+07,1.33e+08,1.51e+09,1.46e+08,0.23886,0.01706,-0.01043,-0.00826,-0.00258,-13.27273,1.44414,2.1952,0.35479,-0.0523300000000001,-0.0523300000000001,5.01908,5.66133,0.69458,-0.00184,0.04487,7.96992,58.88889
"17","2021_Q2",7.29460317460317,"Up",1.028e+09,-7.87e+08,2.41e+08,-2.21e+08,-1.26e+08,-179843.664826779,-9.5e+07,2e+07,-1.3e+07,-1.3e+07,7e+06,-1.6e+07,-9e+06,-2e+06,-1.1e+07,-1.1e+07,-1.1e+07,-1.1e+07,3.89e+08,3.89e+08,6.64e+08,6.64e+08,4.98e+08,4.98e+08,1.551e+09,2.81e+08,2.318e+09,1.47e+08,1.513e+09,6.58e+08,2.599e+09,4.15e+09,3.72e+08,1.67e+08,2.05e+08,8.9e+07,5.84e+08,1.28e+08,4.56e+08,1.045e+09,1.388e+09,4.07e+08,9.6e+07,3.11e+08,1.795e+09,2.84e+09,1.42e+08,3.904e+09,-2.326e+09,-4.1e+08,1.31e+09,1.31e+09,4.15e+09,-1.1e+07,9.5e+07,5e+06,-9.1e+07,-2e+06,-1.4e+07,1e+06,-1.6e+07,-2.9e+07,-2.3e+07,-5304745.34528824,-2.5e+07,-5.6e+07,-5.6e+07,-3e+06,-5.9e+07,1.15e+08,1.477e+09,1.2e+07,0.23444,0.01946,-0.0107,-0.0084,-0.00265,-1.09091,1.48421,2.16794,0.3559,-0.05183,-0.05183,4.84335,5.50294,0.05654,-0.00282,0.00376,9.46087,54.4
"18","2021_Q3",6.86890625,"Down",1.026e+09,-7.72e+08,2.54e+08,-2.12e+08,-1.25e+08,-1e+06,-8.6e+07,4.2e+07,-1.3e+07,-1.3e+07,2.9e+07,-1e+07,1.9e+07,-7e+06,1.2e+07,1.2e+07,1.2e+07,1.2e+07,3.97e+08,3.97e+08,6.64e+08,6.64e+08,4.26e+08,4.26e+08,1.487e+09,2.81e+08,2.355e+09,1.16e+08,1.519e+09,7.2e+08,2.636e+09,4.123e+09,3.95e+08,1.61e+08,2.34e+08,8.9e+07,5.7e+08,1.24e+08,4.46e+08,1.054e+09,1.34e+09,4.02e+08,9e+07,3.12e+08,1.742e+09,2.796e+09,1.42e+08,3.909e+09,-2.317e+09,-4.07e+08,1.327e+09,1.327e+09,4.123e+09,1.2e+07,8.6e+07,5e+06,2000000.00000001,1.05e+08,-2.5e+07,1e+06,-1.6e+07,-4e+07,-5.8e+07,-1e+06,-6.2e+07,3e+06,3e+06,1e+06,4e+06,1.28e+08,1.429e+09,1.12e+08,0.24756,0.04094,0.0117,0.00904,0.00291,9.33333,1.41082,2.10701,0.34659,0.05649,0.05654,4.82964,5.5781,0.52721,0.00475,0.03547,8.0625,24.57143
"19","2021_Q4",5.97296875,"Down",1.038e+09,-7.76e+08,2.62e+08,-2.17e+08,-1.31e+08,-2e+06,-8.4e+07,4.5e+07,-1.6e+07,-1.2e+07,2.9e+07,-1e+07,1.9e+07,-8e+06,1.1e+07,1.1e+07,1.1e+07,1.1e+07,3.94e+08,3.94e+08,7.01e+08,7.01e+08,4.16e+08,4.16e+08,1.511e+09,2.73e+08,2.308e+09,8.4e+07,1.506e+09,7.18e+08,2.581e+09,4.092e+09,4.21e+08,1.69e+08,2.52e+08,2.1e+07,5.45e+08,1.11e+08,4.34e+08,9.87e+08,1.384e+09,3.96e+08,8.7e+07,3.09e+08,1.78e+09,2.767e+09,1.42e+08,3.914e+09,-2.308e+09,-4.23e+08,1.325e+09,1.325e+09,4.092e+09,1.1e+07,8.4e+07,1e+07,-5e+07,5.5e+07,-1.3e+07,2e+06,-1.7e+07,-2.8e+07,-2.3e+07,0,-2.5e+07,2e+06,2e+06,-5e+06,-3e+06,1.29e+08,1.405e+09,7.4e+07,0.25241,0.04335,0.0106,0.0083,0.00269,6.72727,1.5309,2.0883,0.34335,0.05178,0.05007,4.88613,5.56868,0.34834,0.00416,0.02367,7.83721,22.46667
"20","2022_Q1",4.91822580645161,"Down",1.048e+09,-8.03e+08,2.45e+08,-2.5e+08,-1.62e+08,-1e+06,-8.7e+07,-5e+06,-1.9e+07,-1.7e+07,-2.4e+07,-3e+07,-5.4e+07,1.4e+07,-4e+07,-4e+07,-4e+07,-4e+07,4.15e+08,4.15e+08,6.99e+08,6.99e+08,5.66e+08,3.82e+08,1.68e+09,2.81e+08,2.075e+09,5.2e+07,1.339e+09,6.84e+08,2.356e+09,4.036e+09,4.41e+08,1.98e+08,2.43e+08,3e+07,5.54e+08,8.2e+07,4.72e+08,1.025e+09,1.383e+09,3.54e+08,7.5e+07,2.79e+08,1.737e+09,2.762e+09,1.42e+08,3.912e+09,-2.351e+09,-4.29e+08,1.274e+09,1.274e+09,4.036e+09,-4e+07,8.7e+07,3.7e+07,999999.999999993,8.5e+07,-2.8e+07,1e+06,-1.8e+07,-4.5e+07,1e+06,-1.8e+07,-2e+07,2e+07,2e+07,0,2e+07,8.2e+07,1.413e+09,4.1e+07,0.23378,-0.00476999999999999,-0.03817,-0.0314,-0.00991,-1.025,1.63902,2.16797,0.3501,-0.1876,-0.18162,4.91516,5.30912,0.19229,-0.01217,0.01348,12.17073,-199.6
"21","2022_Q2",5.02064516129032,"Up",9.67e+08,-7.55e+08,2.12e+08,-1.64e+08,-1.02e+08,-1e+06,-6.1e+07,4.8e+07,-2e+07,-1.9e+07,2.8e+07,1.82e+08,2.1e+08,-7.4e+07,1.36e+08,1.36e+08,1.36e+08,1.36e+08,5.88e+08,5.88e+08,6.61e+08,6.61e+08,3.94e+08,3.94e+08,1.643e+09,2.72e+08,2.064e+09,4.6e+07,1.335e+09,6.83e+08,2.336e+09,3.979e+09,3.95e+08,1.89e+08,2.06e+08,3e+07,5.01e+08,7.5e+07,4.26e+08,9.26e+08,1.277e+09,3.72e+08,1.02e+08,2.7e+08,1.649e+09,2.575e+09,1.42e+08,3.914e+09,-2.217e+09,-4.35e+08,1.404e+09,1.404e+09,3.979e+09,1.36e+08,6.1e+07,-1.3e+08,-5.6e+07,1.1e+07,-3.4e+07,3.23e+08,-1.6e+07,2.73e+08,-1.08e+08,-69279580.907247,-1.1e+08,1.74e+08,1.74e+08,-1e+06,1.73e+08,1.09e+08,1.307e+09,9.3e+07,0.21923,0.04964,0.14064,0.09687,0.03418,0.68382,1.7743,1.83405,0.32847,0.68,0.68,4.835,6.31,0.465,0.04476,0.03017,6.59633,14.97917
"22","2022_Q3",4.1715625,"Down",9.28e+08,-7.27e+08,2.01e+08,-1.68e+08,-1.13e+08,-2e+06,-5.3e+07,3.3e+07,-1.7e+07,-1.8e+07,1.6e+07,-1.1e+07,5000000.00000006,-5e+06,0,0,0,0,5.19e+08,5.19e+08,6.84e+08,6.84e+08,3.94e+08,3.94e+08,1.597e+09,2.63e+08,2.04e+09,4.3e+07,1.31e+09,6.87e+08,2.303e+09,3.9e+09,3.85e+08,1.66e+08,2.19e+08,3e+07,4.8e+08,7.3e+07,4.07e+08,8.95e+08,1.272e+09,3.66e+08,1.05e+08,2.61e+08,1.638e+09,2.533e+09,1.42e+08,3.92e+09,-2.22e+09,-4.75e+08,1.367e+09,1.367e+09,3.9e+09,0,5.3e+07,8000000.00000003,-7.7e+07,-1.6e+07,-1.7e+07,2e+06,-1.6e+07,-31000000.0000001,-8e+06,-167088742.721741,-1.1e+07,-5.8e+07,-5.8e+07,-5e+06,-6.3e+07,8.6e+07,1.302e+09,-3e+06,0.21659,0.03556,0,0,0,26.5410864732863,1.78436,1.85296,0.33385,0,0,4.3062,5.68438,-0.01392,0.000989999999999998,-0.000990000000000001,9.10465,23.72727
