"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",14.121746031746,"Down",-30188760,-6270528,-23918232,-30184398,751689,751689,-29432709,-29432709,-30265327,-30265327,-30265327,-30265327,537793800,200388020,4023405,4023405,541818514,677703,75765,75765,753468,542571982,12937524,5417451,7520073,2752381,2752381,140689905,143253714,681479717,-281990327,399318268,399318268,542571982,-30265327,50070,3850948,-3292732,-29657041,-9114,52979128,52970014,102274,102274,125102274,148415247,148415247,148415247,-30134328,1.25e+08,-0.07579,-0.05578,3.85115,0.35875,0.23038,-0.69972,-0.69972,9.232,-0.05744,13.69846,13.67573
"12","2017_Q1",14.4716129032258,"Up",-28130508,-6951498,-21179010,-28032613,780629,780629,-27251984,-27251984,-27485039,-27485039,-27485039,-27485039,384100684,48642225,4005093,4005093,388200116,627614,75765,75765,703379,388903495,9083940,3754647,5329293,1448394,1448394,10532334,13400956,685295144,-309475366,375502539,375502539,388903495,-27485039,50088,3912080,-4927476,-28450347,1,1677125,1677126.00000001,27426,27426,-124972574,-151745795,-151745795,-151745795,-27982525,1.49011611938477e-08,-0.0732,-0.07067,36.85794,0.0356900000000001,0,-0.63515,-0.63515,8.67743,-0.07264,13.72645,13.70192
"13","2017_Q2",11.5944444444444,"Down",-27849444,-6310486,-21538958,-27754157,822175,822175,-26931982,-26931982,-26933582,-26933582,-26933582,-26933582,367781376,23598325,3761282,3761282,371610858,605683,75765,75765,681448,372292306,14196861,7157746,7039115,2121795,2121795,16318656,19265229,689727733,-336408948,353027077,353027077,372292306,-26933582,50429,4350369,6134223,-16398561,-28498,-8841026,-8869524,224185,224185,224185,-25043900,-25043900,-25043900,-27703728,0,-0.07629,-0.07235,22.77215,0.05457,0,-0.6208,-0.6208,8.13696,-0.07566,13.27552,13.2514
"14","2017_Q3",14.6739682539683,"Up",-18733254,-6254616,-12478638,-18618513,857809,857809,-17760704,-17760704,-17760704,-17760704,-17760704,-17760704,342628115,29590446,6144819,6144819,348834869,628901,75765,75765,704666,349539535,4556450,1775252,2781198,2406269,2406269,6962719,9873811,694151203,-354169652,339665724,339665724,349539535,-17760704,51372,4589732,-11768690,-24888290,-74590,30948402,30873812,6598.99999999997,6598.99999999997,6599,5992121,5992121,5992121,-18567141,-3.72529029846191e-09,-0.05229,-0.05081,50.10038,0.02907,-6.93889390390723e-18,-0.40904,-0.40904,7.8228,-0.05184,18.45347,18.40255
"15","2017_Q4",15.4401587301587,"Up",-23789949,-5317577,-18472372,-23759195,884763,884763,-22874432,-22874432,-22870416,-22870416,-22870416,-22870416,328121804,52340519,5307357,5307357,333435470,679606,75765,75765,755371,334190841,8558775,4407655,4151120,3316378,3316378,11875153,14750765,696699659,-377040068,319440076,319440076,334190841,-22870416,53461,2634686,5770042,-14412227,-104166,37266466,37162300,0,0,0,22750073,22750073,22750073,-23705734,0,-0.0716,-0.06844,28.07841,0.04618,0,-0.52667,-0.52667,7.3562,-0.07096,13.84145,13.81031
"16","2018_Q1",19.4795081967213,"Up",-32713319,-5784278,-26929041,-32708264,1441117,1441117,-31267147,-31267147,-30208712,-30208712,-30208712,-30208712,464331035,37790114,4884293,4884293,469215328,1137171,1134200,75765,2271371,471486699,12597760,6173539,6424221,1611846,1611846,14209606,17049738,862484965,-407248780,454436961,454436961,471486699,-30208712,58610,3687457,1669911,-24792734,-516175,-151368128,-151884303,54376,54376,162126632,-14550405,-14550405,-14550405,-32649654,0,-0.06648,-0.06407,33.02099,0.03752,4.33680868994202e-19,-0.55431,-0.55431,8.33868,-0.06606,14.22162,14.19614
"17","2018_Q2",20.3046875,"Up",-37084226,-6381228,-30702998,-37084226,1604148,1604148,-35480078,-35480078,-35480078,-35480078,-35480078,-35480078,437005512,74421386,6148067,6148067,443153579,1349765,1135728,77293,2485493,445639072,17394805,10038850,7355955,2257963,2257963,19652768,22450117,867157563,-442728858,423188955,423188955,445639072,-35480078,82498,4278504,4135077,-26983999,-295092,63572567,63277475,337796,337796,337796,36631272,36631272,36631272,-37001728,0,-0.08384,-0.07962,22.54917,0.05305,0,-0.64891,-0.64891,7.73992,-0.08329,11.81041,11.78413
"18","2018_Q3",20.9092063492064,"Up",-39168257,-6728987,-32439270,-39168257,1793474,1793474,-37374783,-37374783,-37376383,-37376383,-37376383,-37376383,403764485,69767045,5896583,5896583,409661068,1275387,1137268,78833,2412655,412073723,15841087,5378870,10462217,3094280,3094280,18935367,21686281,871522107,-480105241,390387442,390387442,412073723,-37376383,95778,4180456,-513891.999999998,-33614041,-21400,28974970,28953570,6130,6130,6130.0000000149,-4654341,-4654341,-4654341,-39072479,0,-0.09574,-0.0907,21.6347,0.05555,0,-0.68334,-0.68334,7.13728,-0.09507,10.33373,10.30846
"19","2018_Q4",16.1436507936508,"Down",-43391345,-7972329,-35419016,-43391345,1868431,1868431,-41522914,-41522914,-41522914,-41522914,-41522914,-41522914,375988022,69776956,7265428,7265428,383253450,1196480,1137268,78833,2333748,385587198,24621316,10453186,14168130,4507580,4507580,29128896,31961802,876099736,-521628155,353625396,353625396,385587198,-41522914,94930,4111771,8906676,-28409537,-16023,28280073,28264050,144416,144416,155398,9911,9911,9911,-43296415,0,-0.11742,-0.10769,13.15716,0.09038,0,-0.75899,-0.75899,6.46382,-0.11649,8.68405,8.66505
"20","2019_Q1",12.777868852459,"Down",-42622940,-9017311,-33605629,-42622940,1874904,1874904,-40748036,-40748036,-40748036,-40748036,-40748036,-40748036,347530548,54947502,7908133,7908133,355438681,1159766,608051,78832.9999999991,1767817,357206498,34005926,13961060,20044866,2293259,2293259,36299185,39491617,880758829,-562376191,317714881,317714881,357206498,-40748036,95467,4074706,7416327,-29161536,-58753,14204971,14146218,185864,185864,185864,-14829454,-14829454,-14829454,-42527473,1.81898940354586e-12,-0.12825,-0.11407,9.79192,0.1243,-3.3881317890172e-21,-0.74426,-0.74426,5.80301,-0.12698,8.17191,8.1536
"21","2019_Q2",12.8253968253968,"Up",-36695840,-11704984,-24990856,-36695840,1860077,1860077,-34835763,-34835763,-34835763,-34835763,-34835763,-34835763,312822371,64091080,8305259,8305259,321127630,1125606,20719581,20190363,21845187,342972817,27275071,8574433,18700638,6224230,6224230,33499301,54358390,885893831,-597211954,288614427,288614427,342972817,-34835763,101353,4746968,-5641883,-35629325,-67193,44808860,44741667,31236,31236,31236,9143578,9143578,9143578,-36594487,0,-0.1207,-0.10157,9.5861,0.18834,0,-0.63208,-0.63208,5.23675,-0.11256,8.54835,8.52474
"22","2019_Q3",9.58796875,"Down",-39171115,-15442650,-23728465,-39171115,1731550,1731550,-37439565,-37439565,-37441165,-37441165,-37441165,-37441165,285300168,91763368,3041730,3041730,288341898,2082933,19437783,18908565,21520716,309862614,24434268,5632783,18801485,8092219,8092219,32526487,53094252,891189037,-634653119,256768362,256768362,309862614,-37441165,105056,4746210,5281189,-27308710,-1062383,55784170,54721787,259211,259211,259210.999999999,27672288,27672288,27672288,-39066059,0,-0.14582,-0.12083,8.86483,0.20678,-4.2351647362715e-22,-0.67895,-0.67895,4.65615,-0.135,7.30302,7.28343
"23","2019_Q4",12.0009375,"Up",-36376236,-15036444,-21339792,-36376236,1513837,1513837,-34862399,-34862399,-34862399,-34862399,-34862399,-34862399,255433578,102162982,4023348,4023348,259456926,2174993,18891111,18626502,21066104,280523030,23554555,6230923,17323632,9818544,9818544,33373099,53642745,896196755,-669515518,226880285,226880285,280523030,-34862399,129052,4630510,113547,-29989290,-221112,40457637,40236525,152379,152379,152379,10399614,10399614,10399614,-36247184,0,-0.15366,-0.12428,7.77443,0.23644,0,-0.63147,-0.63147,4.10954,-0.14106,7.04699,7.02199
"24","2020_Q1",21.7179032258065,"Up",-41829272,-22763547,-19065725,-41768659,1185808,1185808,-40582851,-40582851,-40582851,-40582851,-40582851,-40582851,224010184,107636849,6313785,6313785,230323969,2259740,18602767,18338158,20862507,251186476,33036584,7425024,25611560,3187435,3187435,36224019,56179205,904977323,-710098369,195007271,195007271,251186476,-40582851,141660,5727608,-342333.000000001,-35055916,650293,37086715,37737008,2792775,2792775,2792775.00000001,5473867,5473867,5473867,-41626999,0,-0.20811,-0.16156,6.35832,0.28809,0,-0.73417,-0.73417,3.5278,-0.18879,5.38137,5.36312
"25","2020_Q2",20.2425396825397,"Down",-50099692,-34096366,-16003326,-49085524,1678203,1678203,-47407321,-47407321,-47410602,-47410602,-47410602,-47410602,448953958,179593032,9276405,7876405,460972500,2132987,18137230,18137230,20270217,481242717,21661847,10994082,10667765,9414517,9414517,31076364,50794387,1188102500,-757508971,430448330,430448330,481242717,-47410602,148802,5259620,-9224038,-51226218,-22049,-152962897,-152984946,589161,589161,277567347,73356183,73356183,73356183,-48936722,0,-0.11014,-0.09852,14.83354,0.118,0,-0.72821,-0.72821,6.61149,-0.10532,9.17417,9.14636
"26","2020_Q3",22.81515625,"Up",-66650414,-41445557,-25204857,-64872317,1160059,1160059,-63712258,-63712258,-63712258,-63712258,-63712258,-63712258,407758947,129290445,6126134,4726134,418573378,2000687,20356759,20356759,22357446,440930824,24856098,5472987,19383111,15386617,15386617,40242715,61400956,1199582998,-821221229,379529868,379529868,440930824,-63712258,132300,6964009,9591152,-47024797,0,-7757631,-7757631,4589818,4589818,4479841.00000006,-50302587,-50302587,-50302587,-64740017,0,-0.16787,-0.14449,10.40122,0.16178,0,-0.9591,-0.9591,5.71328,-0.15901,6.29841,6.28556
"27","2020_Q4",26.280625,"Up",-62748941,-52473573,-10275368,-55936454,752829,752829,-55183625,-55183625,-55183625,-55183625,-55183625,-55183625,721947490,300988981,12490774,11090774,744866006,2049552,24378251,24378251,26427803,771293809,20755528,8569148,12186380,17273189,17273189,38028717,61898274,1585031651,-876404854,709395535,709395535,771293809,-55183625,121044,7111730,-15628260,-63579111,-169909,-143046851,-143216760,2650605,2650605,378494407,171698536,171698536,171698536,-55815410,0,-0.07779,-0.07155,19.58693,0.08725,0,-0.79335,-0.79335,10.19869,-0.07526,12.93455,12.90657
"28","2021_Q1",34.6911475409836,"Up",-72646534,-58347948,-14298586,-61333336,644390,644390,-60688946,-60688946,-60699178,-60699178,-60699178,-60699178,657448059,60045933,15635455,14235455,690904482,1998346,24410846,24410846,26409192,717313674,31311421,5501825,25809596,5541802,5541802,36853223,60453570,1593483552,-937104032,656860104,656860104,717313674,-60699178,125972,4345693,-12015206,-68242719,-74766,-176260897,-176335663,3635334,3635334,3635334,-240943048,-240943048,-240943048,-61207364,-5.55111512312578e-17,-0.09241,-0.08462,18.74746,0.09203,0,-0.75528,-0.75528,8.17334,-0.0892,10.74132,10.71926
"29","2021_Q2",36.9634920634921,"Up",-67642000,-52584000,-15058000,-53219000,484000,484000,-52735000,-52735000,-52740000,-52740000,-52740000,-52740000,611964674,129979888,15894384,14494384,649100443,1871338,23516787,23516787,25388125,674488568,34128470,8720957,25407513,5573240,5573240,39701710,62338810,1601747188,-989843975,612149758,612149758,674488568,-52740000,127000,5746000,-9e+05,-47767000,96064.7904975915,116269000,116269000,1432000,1432000,1432000,69934000,69934000,69934000,-53092000,0,-0.08616,-0.07819,16.34943,0.10184,0,-0.65154,-0.65154,7.5624,-0.08308,11.5265,11.49899
"30","2021_Q3",34.76375,"Down",-87148000,-69851000,-17297000,-69141000,421000,421000,-68720000,-68720000,-68744000,-68744000,-68744000,-68744000,554757382,121030152,23589200,22189200,601303244,1761001,22632417,22632417,24393418,625696662,44826880,15940756,28886124,5595057,5595057,50421937,72110788,1611997513,-1058587757,553585874,553585874,625696662,-68744000,126000,8047000,1245000,-59326000,-15000,48809000,48794000,1582000,1582000,1582000.00000001,-8950000.00000006,-8950000.00000006,-8950000.00000006,-69015000,3.46944695195361e-18,-0.12418,-0.10987,11.92543,0.13026,-6.46234853557053e-27,-0.84925,-0.84925,6.83891,-0.1195,8.03821,8.02357
"31","2021_Q4",42.00703125,"Up",-97530000,-70498000,-27032000,-77324000,393000,393000,-76931000,-76931000,-76908000,-76908000,-76908000,-76908000,477283933,106125959,30857445,29457445,533242665,1936308,21796761,21796761,23733069,556975734,43813509,12030614,31782895,6082054,6082054,49895563,70219481,1622157812,-1135495761,486756253,486756253,556975734,-76908000,134000,7976000,-10469000,-79267000,-309000,64081000,63772000,591000,591000,591000,-14904000,-14904000,-14904000,-77190000,0,-0.158,-0.13808,10.68718,0.14426,0,-0.94739,-0.94739,5.99612,-0.15167,6.18324,6.17252
"32","2022_Q1",51.9329032258064,"Up",-109136553,-79678040,-29458513,-86004125,270090,270090,-85734035,-85734035,-85733666,-85733666,-85733666,-85733666,412333000,92365000,26844000,25444000,467281000,1791000,20850000,20850000,22641000,489922000,46625000,8691000,37934000,6732000,6732000,53357000,72032000,1639484000,-1221230000,417890000,417890000,489922000,-85733666,146360,8632735,3771086,-73183485,-1738.00000000006,51510369,51508631,7913911,7913911,7913911,-13760943,-13760943,-13760943,-85857765,2.16840434497101e-19,-0.20516,-0.17499,8.75763,0.17237,4.03896783473158e-28,-1.04702,-1.04702,5.10347,-0.19638,4.80251,4.79434
"33","2022_Q2",56.6996774193548,"Up",-104503000,-75460000,-29043000,-72662000,548000,548000,-72114000,-72114000,-72119000,-72119000,-72119000,-72119000,771848000,129295000,35769000,34369000,848342000,2185000,18053000,18053000,20238000,868580000,51438000,11649000,39789000,7636000,7636000,59074000,75830000,2089427000,-1293349000,792750000,792750000,868580000,-72119000,171000,4050000,-14951000,-82849000,-566000,-321469000,-322035000,8089000,8089000,441814000,36930000,36930000,36930000,-72491000,0,-0.09097,-0.08303,14.36067,0.09565,0,-0.88516,-0.88516,9.7299,-0.08909,10.6475,10.62244
"34","2022_Q3",52.23890625,"Down",-138852000,-100316000,-38536000,-87923000,1320000,1320000,-86603000,-86603000,-86603000,-86603000,-86603000,-86603000,677829000,77235000,39379000,37979000,789206000,2137000,20563000,20563000,22700000,811906000,62891000,10749000,52142000,7743000,7743000,70634000,89709000,2106951000,-1379952000,722197000,722197000,811906000,-86603000,172000,15152000,-23514000,-94793000,-123000,37352000,37229000,5504000,5504000,5504000,-52060000,-52060000,-52060000,-87751000,0,-0.11992,-0.10667,11.17317,0.12422,0,-0.91852,-0.91852,7.65971,-0.11683,7.72446,7.70935
