"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",0.2603125,"Down",2111037,-1591471,519566,-278785,-268604,-10181,240781,-14383,-14383,226398,226398,0,226398,226398,226405,226405,1771502,1771502,53766,53766,4367813,4312313,6193081,118212,373629,370078,491841,6684922,2480615,2480615,4312313,4312313,6962328,6962328,5609343,-150000,-5785838,-326495,-277406,6684922,226405,10181,782260,-1056347,-37501,-62908,-62908,-18690,-44218,-62908,-100409,-100409,-100409,250962,169400,-868293,0.24612,0.11406,0.10725,-0.81615,0.03387,-3.83513,0.88951,-25.09797,0.02534,0.00582,0.00534,0.05423,-0.00839,-0.02231,-2.09623,8.0393,-6.38384,-6.65377
"12","2013_Q3",0.2275,"Down",1204386,-799559,404827,-310105,-300206,-9899,94722,-14944,-14944,79778,79778,8.470329472543e-22,79778,79778,79838,79838,865635,865635,118189,118189,5088123,5006285,6071947,110068,421030,416134,531098,6603045,1624989,1624989,5006285,5006285,6800674,6800674,5609342,-150000,-5706000,-246658,-197629,6603045,79838,9899,-654493,-294300,-859056,-47811,-47811,-982.000000000004,-46829,-47811,-906867,-906867,-906867,104621,169400,-237490,0.33613,0.07865,0.06629,-0.40398,0.01209,-2.97465,0.89284,-34.41132,0.02565,0.00241,0.00188,0.03633,-0.00744,-0.00716,-2.82823,8.41298,-6.65483,-7.35029999999998
"13","2013_Q4",0.17453125,"Down",1061131,-737980,323151,-400820,-390032,-10788,-77669,-14989,-14989,-92658,-92658,0,-92658,-92658,-92547,-92547,498167,498167,58216,58216,5571674,5430013,6128057,112360,451277,446381,563637,6691694,1382567,1382567,5430013,5430013,6981980,6981980,5609342,-150000,-5798547,-339205,-290287,6691693,-92547,10788,-384131,144749,-321141,-43327,-43327,-12298,-31029,-43327,-367468,-367468,-367468,-66881,169400,34541,0.30453,-0.07319,-0.08722,0.31881,-0.01383,-0.37323,0.8777,-24.05199,0.02531,-0.00207,-0.00218,0.02373,-0.00758,0.000769999999999996,0.76557,-0.28573,4.9157,4.23292
"14","2014_Q1",0.163934426229508,"Down",1931337,-974670,956667,-544683,-517539,-27144,411984,-14768,-14768,397216,397216,0,397216,397216,397988,397988,1027239,1027239,391611,391611,7124630,6905680,8543480,121078,500148,495252,621226,9164706,1964317,1964317,6905680,6905680,9057777,9057777,5609342,-150000,-5400559,58783,106929,9164706,397988,27144,-1419150,1591443,597425,-84733,-84733,-20361,-64372,-84733,529072,529072,529072,439128,187780,1945838,0.49534,0.21332,0.20607,3.72198,0.04343,4.88919,0.94322,84.70833,0.02049,0.01022,0.00939,0.0496,0.00151,0.04998,1.35044,6.60257,-1.91165,-2.0376
"15","2014_Q2",0.186507936507937,"Up",2407675,-1929267,478408,-542825,-508878,-33947,-64417,-15815,-15815,-80232,-80232,0,-80232,-80232,-80075,-80075,1880172,1880172,203895,203895,5184256,5022865,7268323,163941,557056,551260,720997,7989320,2740434,2740434,5022865,5022865,7962623,7962623,5609342,-150000,-5480634,-21292,26697,7989320,-80075,33947,1922364,-937019,939217,-132818,-132818,-54329,-78489,-132818,852933,852933,852933,-30470,199324,-1100307,0.1987,-0.02675,-0.03326,-2.9994,-0.01002,13.74096,0.91281,298.25909,0.02495,-0.00206,-0.00206,0.06184,-0.00055,-0.02826,-0.35428,-4.86816,55.16403,26.09324
"16","2014_Q3",0.19703125,"Up",1233108,-703217,529891,-616155,-580530,-35625,-86264.0000000001,-16243,-16243,-102507,-102507,-2.16840434497101e-19,-102507,-102507,-102422,-102422,686880,686880,40661,40661,6205911,5963549,6933452,170430,595896,591445,766326,7699778,1582702,1582702,5963549,5963549,7760588,7760588,5624342,-150000,-5583057,-108715,-60810,7699778,-102422,35625,-902436,-156773,-1126006,-82299,-82299,-19538,-62761,-82299,-1193292,-1193292,-1193292,-50639,214337,-289711,0.42972,-0.06996,-0.08306,1.6843,-0.0133,2.8286,0.89342,-127.62026,0.02784,-0.00263,-0.00263,0.03165,-0.00279,-0.00744,-0.66713,-1.88704,9.3316,5.47787
"17","2014_Q4",0.28578125,"Up",1707447,-1080124,627323,-580069,-543412,-36657,47254,-16332,-16332,30922,30922,0,30922,30922,31077,31077,705775,705775,74161,74161,6591355,6385418,7371291,217520,684031,679580,901551,8272842,1706121,1706121,6385418,6385418,8302730,8302730,5624342,-150000,-5551979,-77637,-29888,8272842,31077,36657,-366736,492925,193923,-171882,-171882,-60962,-110920,-171882,18895,18895,18895,83911,211191,404954,0.3674,0.02768,0.0182,-1.03978,0.00376,13.03067,0.88782,-277.79477,0.02553,8e-04,0.00073,0.04374,-0.00199,0.01037,0.17141,2.23358,-5.89415,-10.4665
"18","2015_Q1",0.313934426229508,"Up",4944950,-942107,4002843,-1147861,-1082496,-65365,2854982,-93125,-93125,2761857,2761857,0,2761857,2761857,2761904,2761904,3886968,3886968,86658,86658,8006757,7792255,11980383,206929,770170,765719,977099,12957482,1380599,1380599,8472255,8472255,10178300,10178300,5671555,-150000,-2790075,2731480,2779182,12957482,2761904,65365,-939570,1187702,3075401,-140913,-140913,-6024,-134889,-140913,3181193,3181193,3181193,2920347,325446,3967136,0.80948,0.57735,0.55853,0.99378,0.21315,1.43638,1.17705,3.66234000000003,0.02512,0.07212,0.07212,0.12913,0.07133,0.10359,0.88961,1.27781,-1.21955,-1.24748
"19","2015_Q2",0.56952380952381,"Up",1598409,-1045257,553152,-979630,-907870,-71760,-426478,-16785,-16785,-443263,-431926,0,-431926,-431926,-441795,-441795,2180665,2180665,71101,71101,5521821,5345515,7773587,199329,765099,760648,1295207,9068794,435740,435740,6025515,6025515,6646385,6646385,5746708,-150000,-3231870,2364838,2422409,9068794,-441795,71760,2490436,-2615480,-495079,-103199,-103199,-8989,-94210,-389868,-1706303,-1706303,-1706303,-354718,185130,-3073397,0.34606,-0.26681,-0.2764,-0.18238,-0.04872,6.95661,1.1696,2.74371,0.02041,-0.01199,-0.01199,0.04339,0.0642,-0.08344,-0.16943,-1.17866,5.62569,4.6791
"20","2015_Q3",0.39375,"Down",2311208,-980607,1330601,-861094,-786796,-74298,469507,-4400.00000000001,-4399.99999999999,465107,465107,-2.77555756156289e-17,465107,465107,507554,507554,2817562,2817562,25329,25329,4867448,4692409,7710339,223075,1023702,1019251,1246777,8957116,512899,512899,4692409,4692409,5386905,5386905,6429403,-150000,-2724316,3555087,3570211,8957116,507554,74298,666931,-563085,685698,-312537,-312537,-42262,-270275,-25868,636897,636897,636897,543805,181597,-331817,0.57572,0.20314,0.21961,0.14216,0.05666,-0.65376,1.43131,1.50885000000001,0.02027,0.01181,0.01181,0.05377,0.08271,-0.00772,0.13528,-0.0884400000000001,-4.84726,-5.61433
"21","2015_Q4",0.26953125,"Down",2033548,-929007,1104541,-1235793,-1162071,-73722,-131252,-9605,-9605,-140857,-2640856,0,-2640856,-2640856,-2544635,-2544635,2595129,2595129,25329,25329,7666231,7496902,10286689,274085,1105373,1100922,1379458,11666147,255217,255217,9613789,9613789,10046928,10546928,6619267,-150000,-5268951,1200316,1119219,11666147,-2544635,73722,-2802345,5260903,-12355,-206403,-206403,-68335,-138068,-206403,-222433,-222433,-222433,-57530,177922,4996970,0.54316,-0.06454,-1.25133,-2.27358,-0.21812,-1.96373,1.02386,9.42347,0.01525,-0.07027,-0.07027,0.05616,0.03315,0.138,-1.41594,2.78051,42.01646,18.41653
"22","2016_Q1",0.242950819672131,"Down",2164376,-1064643,1099733,-1020382,-877450,-142932,79351,-21252,-14893,58099,58098,-4.44089209850063e-16,58098,58098,68539,68539,1389494,1389494,16742,16742,7318170,7063945,8724406,271967,1267702,1264151,1539669,10264075,465318,465318,8105407,8105407,8744823,9084006,6622019,-150000,-5200412,1271607,1180069,10264075,68539.0000000005,142932,425261,-1534500,-897768,-304043,-304043,-18746,-285297,-304043,-1205635,-1205635,-1205635,222283,174098,-1616260,0.50811,0.0366600000000001,0.0316699999999999,0.0580799999999999,0.00667999999999994,-23.58161,0.99767,7.69786,0.01696,0.00161,0.00160999999999997,0.05088,0.02989,-0.03799,0.0404799999999998,-0.954470000000001,-5.46778999999999,-15.31671
"23","2016_Q2",0.1909375,"Down",2181359,-1292679,888680,-837527,-713894,-123633,51153,-11725,-11725,39428,39428,0,39428,39428,81940,81940,918081,918081,219880,219880,8025407,7674034,9163368,257245,1346437,1341886,1603682,10767050,556402,556402,8709678,8709678,9434240,9519354,6650218,-150000,-5118472,1381746,1247696,10767050,81940,123633,-27014,152701,331260,-186646,-186646,-5126,-181520,-186646,138676,138676,138676,174786,168160,140841,0.4074,0.02345,0.03756,0.06567,0.00761,1.71883,0.97129,7.62955,0.01562,0.00192,0.00192,0.05111,0.03238,0.00330000000000002,0.05459,0.09383,-4.29051,-14.66035
"24","2016_Q3",0.18171875,"Down",2375645,-1246926,1128719,-813254,-679900,-133354,315465,-20626,-20626,294839,294839,-7.105427357601e-15,294839,294839,335678,335678,1111413,1111413,65371,65371,10675826,10356170,11852610,273928,1412134,1408583,1686062,13538672,527500,527500,11168589,11168589,11901238,11925526,6720829,-150000,-4782794,1788035,1613146,13538672,335678,133354,-29522,2706642,3146152,-216734,-216734,-36871,-179863,-216734,2875468,2875468,2875468,448819,229437,2938727,0.47512,0.13279,0.1413,0.20809,0.02479,8.7546,0.99591,7.39271,0.01695,0.00782,0.00775000000000001,0.05537,0.04167,0.06849,0.18218,1.5949,-1.9651,-2.7958
"25","2016_Q4",0.268253968253968,"Up",2812536,-1522457,1290079,-809898,-660557,-149341,480181,-15497,-15497,464684,464684,0,464684,464684,480430,480430,1333104,1333104,110273,110273,9040269,8790072,10483646,263536,1475364,1469813,1738900,12222546,587602,587602,9365044,9365044,10126566,10144716,6720829,-150000,-4302364,2268465,2077830,12222546,480430,149341,-2470,-1734162,-1106861,-200179,-200179,-10114,-190065,-200179,-1344407,-1344407,-1344407,629522,192070,-1304819,0.45869,0.17073,0.17082,0.23122,0.03931,-2.71594,1.03526,4.88236,0.01571,0.01119,0.01117,0.06548,0.05282,-0.03038,0.21165,-0.57484,-1.81254,-2.37626
"26","2017_Q1",0.385161290322581,"Up",3047132,-1817176,1229956,-718146,-552154,-165992,511810,-13110,-13110,498700,498700,0,498700,498700,502751,502751,1631943,1631943,110269,110269,10273139,10002505,12015351,300761,1555595,1550044,1856356,13871707,765596,765596,10257405,10257405,11147169,11175061,6840945,-150000,-3799613,2891332,2696646,13871707,502751,165992,48797,1117192,1834732,-283450,-283450,-57754,-225696,-283450,1511272,1511272,1511272,677802,152060,1511544,0.40364,0.16796,0.16499,0.18644,0.03624,3.00655,1.07788,4.14406,0.01096,0.0117,0.01081,0.07092,0.06729,0.03518,0.17648,0.53061,-2.18336,-2.89147
"27","2017_Q2",0.438253968253968,"Up",3200895,-1833549,1367346,-1029544,-814277,-215267,337802,20096,20096,357898,357898,-3000,354898,354898,369394,369394,1433505,1433505,106614,106614,11605071,11274795,13145190,326609,1557579,1553028,1884188,15029378,651038,651038,11346381,11346381,11997419,11997419,6821360,-150000,-3430219,3241141,3031959,15029378,369394,215267,37505,847845,1470011,-244099,-244099,-50408,-193691,-244099,1073852,1073852,1073852,553069,0,1159815,0.42718,0.10553,0.1154,0.12183,0.02458,3.13978,1.09567,3.95699,0,0.00855,0.00836,0.07412,0.07505,0.02686,0.12183,0.38253,-2.59191,-4.24362
"28","2017_Q3",0.512222222222222,"Up",3418169,-1855539,1562630,-1162998,-928991,-234007,399632,-25722,-25722,373910,373910,-3000,370910,370910,384443,384443,1403811,1403811,118530,118530,12172648,11643818,13694989,649142,1555761,1551210,2204903,15899892,680712,680712,11643818,11643818,12324530,12324530,6993853,-150000,-3045776,3798077,3575362,15899892,384443,234007,37374,188227,844051,-554722,-554722,-348483,-206239,-554722,339329,339329,339329,633639,0,270144,0.45715,0.11691,0.11247,0.10753,0.02418,0.70269,1.1112,3.44707,0,0.00889,0.00871,0.07901,0.08779,0.00624,0.10753,0.07556,-2.21547,-3.51276
"29","2017_Q4",0.613174603174603,"Up",4001991,-2145621,1856370,-1380814,-1104687,-276127,475556,14398,14398,489954,489954,-3000,486954,486954,500167,500167,1916736,1916736,183521,183521,13020424,12498529,15120681,852136,1529614,1524063,2381750,17502431,806454,806454,12498529,12498529,13304983,13304983,7128985,-150000,-2545609,4433376,4197448,17502431,500167,276127,121919,921397,1819610,-451974,-451974,-250369,-201605,-451974,1367636,1367636,1367636,751683,0,1224106,0.46386,0.11883,0.12498,0.11916,0.02858,2.44739,1.13647,3.16978,0,0.0115,0.01116,0.09205,0.10197,0.02815,0.11916,0.29163,-2.54993,-4.03052
"30","2018_Q1",0.86,"Up",4613036,-2699563,1913473,-1358671,-1207881,-150790,554802,15146,-1169,569948,569948,3000,572948,572948,537137,537137,2748313,2748313,165523,165523,14994784,14416444,17908620,854402,1639557,1639557,2493959,20402579,1145083,1145083,14416444,14416444,15561527,15561527,7199641,-150000,-2008472,5041169,4841052,20402579,537137,150790,106467,2223648,3018042,-268550,-268550,-57964,-210586,-268550,2749492,2749492,2749492,705592,0,2657690,0.4148,0.12027,0.11644,0.11095,0.02633,4.94788,1.15083,3.21449,-5.42101086242752e-20,0.0123,0.0091,0.10565,0.11545,0.06087,0.11095,0.54899,-3.89505,-4.95368
"31","2018_Q2",1.8025,"Up",4676320,-2433210,2243110,-1825057,-1579019,-246038,418053,-7400,20600,410653,410653,0,410653,410653,412548,412548,2170391,2170391,164700,164700,17311526,16324556,19646617,854925,1750080,1745529,2605005,22251622,537960,537960,16324556,16324556,16862516,16862516,7337042,-150000,-1595924,5591118,5389106,22251622,412548,246038,135506,888631,1682723,-352533,-352533,-53210,-299323,-352533,1330190,1330190,1330190,664091,0,1200189,0.47967,0.0894,0.08822,0.07655,0.01854,2.90921,1.16511,3.129,0,0.00917,0.00811,0.10394,0.12427,0.02668,0.07655,0.22271,-3.26821,-5.19166
"32","2018_Q3",3.30428571428571,"Up",5460722,-2840876,2619846,-1918343,-1668302,-250041,701503,29890,1890.00000000001,731393,731393,4.54747350886464e-13,731393,731393,732015,732015,3074147,3074147,189582,189582,19512170,18464027,22775899,809234,1900111,1895560,2709345,25485244,688537,688537,18464027,18464027,19152564,19152564,7549223,-150000,-863909,6535314,6332680,25485244,732015,250041,211559,2203993,3397608,-354381,-354381,-8263.00000000001,-346118,-354381,3043227,3043227,3043227,951544,-5.6843418860808e-14,2801156,0.47976,0.12846,0.13405,0.11559,0.02872,3.82664,1.18918,3.0244,6.7762635780344e-21,0.01601,0.0179,0.11942,0.14292,0.06126,0.11559,0.44233,-3.23069,-4.38223
"33","2018_Q4",3.71571428571429,"Up",6421396,-3376753,3044643,-2281081,-1997363,-283718,763562,39808,39808,803370,803370,-3125,800245,800245,800862,800862,4299570,4299570,390959,390959,21539776,20436369,26230305,907034,1990314,1985763,2897348,29127653,1052438,1052438,20436369,20436369,21488807,21488807,8055144,-150000,-63047,7842097,7638846,29127653,800862,284124,405304,2079602,3569892,-472127,-472127,-156663,-315464,-472127,3197765,3197765,3197765,1047686,0,2658286,0.47414,0.11891,0.12472,0.10484,0.02749,3.31928,1.22065,2.8131,0,0.01655,0.01671,0.1327,0.16206,0.05493,0.10484,0.348,-4.10387,-5.63094
"34","2019_Q1",6.13081967213115,"Up",6865237,-3375613,3489624,-2900114,-2590390,-309724,589510,46315,77440,635825,635825,3125,638950,638950,642629,642629,5615073,5615073,337303,337303,27225909,26050668,33178285,883490,2115933,2115933,2999423,36177708,1327497,1327497,25960974,25960974,27288471,27288471,8666585,-150000,579582,9096167,8889237,36177708,642629,309318,607762,5786037,7345746,-415944,-415944,-38926,-377018,-415944,6929802,6929802,6929802,898828,-1.4210854715202e-14,6265796,0.5083,0.08587,0.09361,0.07229,0.01776,9.75025,1.21584,3.06983,4.2351647362715e-22,0.01501,0.00922,0.16031,0.21241,0.14631,0.07229,0.70487,-6.24711,-9.52498
"35","2019_Q2",9.51888888888889,"Up",7257290,-3482136,3775154,-3038710,-2704949,-333761,736444,119173,119173,855617,855617,15490,871107,871107,871671,871671,5211161,5211161,667853,667853,46994493,45928136,52873507,1009359,2215718,2215718,3225077,56098584,579052,579052,45112478,45112478,45691530,45691530,9313295,-150000,1451253,10614548,10407054,56098584,871671,333761,646146,18181393,20032971,-559415,-559415,-195460,-363955,-559415,19473556,19473556,19473556,1070205,0,18676693,0.52019,0.10148,0.12011,0.08376,0.01554,21.42631,1.15718,4.39044,0,0.01856,0.01599,0.15454,0.22603,0.39771,0.08376,1.79462,-4.86931,-7.07611
"36","2019_Q3",13.31796875,"Up",8636271,-3598038,5038233,-3408482,-3012972,-395510,1629751,131812,131812,1761563,1761563,-23276,1738287,1738287,1738791,1738791,6289008,6289008,948892,948892,43567063,42600430,50804963,969161,2268611,2268611,3237772,54042735,1005867,1005867,40323617,40323617,41329484,41329484,9881205,-150000,3190044,12921249,12713251,54042735,1737723,395510,568474,-4543361,-1841654,240275,240275,-38795,279070,-408205,-2249859,-2249859,-2249859,2025261,-2.27373675443232e-13,-2254549,0.58338,0.18871,0.20134,0.13677,0.03217,-1.29662,1.22927,3.2509,-3.3881317890172e-21,0.03675,0.03163,0.18254,0.27311,-0.04765,0.13677,-0.17734,-3.10528,-3.85888
"37","2019_Q4",10.5075,"Down",9008117,-3641595,5366522,-3084469,-2765961,-318508,2282053,113667,113667,2395720,2395720,563854,2959574,2959574,2960078,2960078,7988803,7988803,969447,969447,35198748,33230890,44156998,1004425,2444195,2444195,3448620,47605618,1463686,1463686,29565027,29565027,31028713,31028713,10785285,-150000,6150122,16785407,16576905,47605618,2959574,318508,651267,-11322551,-7393202,-32205,-32205,-117090,84885,-529356,-7669745,-7669745,-7669745,2600561,0,-9318049,0.59574,0.25333,0.3286,0.17857,0.06218,-3.14791,1.4231,1.8718,0,0.06248,0.05453,0.19015,0.35432,-0.19669,0.17857,-0.56211,-3.07195,-3.50071
