"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","assets_held_for_sale","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",13.1446774193548,"Down",1229056000,-889968000,339088000,-253874000,-67774000,-186100000,85214000,-29924000,-30489000,-31201000,712000,565000,55290000,60861000,-15345000,45516000,45516000,45516000,45516000,43321000,43321000,360324000,360324000,222822000,48231000,14982000,15086000,82955000,644823000,1311062000,2115848000,-804786000,659835000,337765000,253256000,68814000,1970897000,2615720000,223089000,112504000,110585000,41102000,73015000,73015000,337206000,1389768000,705939000,384870000,321069000,2095707000,2432913000,897371000,-707018000,182605000,202000,182807000,2615720000,45516000,67774000,13381000,-7939000,118732000,-40839000,49093000,49093000,-89932000,-89932000,-2744000,-43583000,-56100000,268000,268000,-11511000,-67343000,7806000,7806000,7806000,152988000,1430870000,119555000,0.27589,0.06933,0.03703,0.24898,0.0174,2.62666,1.91225,13.30864,0.54703,0.32612,0.32607,8.80614,1.30836,0.85661,0.01962,0.05154,9.06966,16.28311
"12","2013_Q1",14.5695,"Up",1047560000,-734956000,312604000,-198742000,-58689000,-140053000,113862000,-27300000,-27911000,-28519000,608000,611000,86562000,82725000,-28041000,54684000,54684000,54684000,54684000,53596000,53596000,392770000,392770000,278201000,58903000,31544000,10046000,79473000,742091000,1397536000,2286232000,-888696000,652354000,333561000,253256000,65537000,2049890000,2791981000,221146000,113374000,107772000,73497000,88806000,88806000,383449000,1359632000,758696000,441381000,317315000,2118328000,2501777000,922223000,-601777000,290102000,102000,290204000,2791981000,54684000,58689000,25742000,23421000,162536000,-56757000,36351000,36351000,-93108000,-93108000,-3686000,-60443000,-79595000,133000,133000,-12356000,-91818000,10275000,10275000,10275000,172551000,1433129000,167256000,0.29841,0.10869,0.0522,0.18843,0.01959,3.05859,1.93531,8.62075,0.5133,0.39186,0.39177,7.5067,2.07884,1.19854,0.02203,0.06739,7.99493,12.11583
"13","2013_Q2",15.05046875,"Up",981608000,-718295000,263313000,-196443000,-59074000,-137369000,66870000,-25211000,-25771000,-26362000,591000,560000,41659000,44979000,-14687000,30292000,30292000,30292000,30292000,38746000,38746000,358306000,358306000,253754000,49034000,16011000,12258000,82350000,666901000,1338205000,2189231000,-851026000,634801000,329357000,253256000,52188000,1973006000,2639907000,228760000,123738000,105022000,59182000,82728000,82728000,370670000,1242832000,769695000,451411000,318284000,2012527000,2383197000,900901000,-636827000,256508000,202000,256710000,2639907000,30292000,59074000,12664000,8772000,110802000,-47469000,14326000,14326000,-61795000,-61795000,21763000,-25706000,-71945000,2875000,2875000,-30876000,-99946000,-14850000,-14850000,-14850000,125944000,1302014000,101934000,0.26825,0.06812,0.03086,0.118,0.01147,3.36505,1.79918,9.28362,0.4932,0.21686,0.21444,7.02725,1.83632,0.72974,0.01301,0.04378,10.03039,18.8914
"14","2013_Q3",15.51546875,"Up",1029071000,-726452000,302619000,-207496000,-61083000,-146413000,95123000,-22892000,-24216000,-24762000,546000,1324000,72231000,76842000,-26963000,49879000,49879000,49879000,49879000,43510000,43510000,360730000,360730000,193163000,47143000,16752000,8424000,75156000,613147000,1400468000,2265371000,-864903000,629110000,325154000,253256000,50700000,2029578000,2642725000,222554000,122582000,99972000,62810000,84926000,84926000,370290000,1263682000,704752000,425716000,279036000,1968434000,2338724000,905027000,-593886000,303799000,202000,304001000,2642725000,49879000,61083000,21108000,2774000,134844000,-69590000,32935000,32935000,-102525000,-102525000,6418000,-63172000,-68599000,3307000,3307000,-1616000,-66908000,4764000,4764000,4764000,156206000,1326492000,116353000,0.29407,0.09244,0.04847,0.16408,0.01887,2.33271,1.65586,7.69315,0.50194,0.3563,0.35115,7.35093,2.17012,0.83114,0.02136,0.04982,8.2134,13.48761
"15","2013_Q4",16.19046875,"Up",1032127000,-734148000,297979000,-219178000,-62458000,-156720000,78801000,-22817000,-23991000,-24595000,604000,1174000,55984000,56109000,-26156000,29953000,29953000,29953000,29953000,51429000,51429000,413077000,413077000,245446000,65106000,9897000,25754000,80940000,728101000,1505087000,2447733000,-942646000,631237000,320950000,253256000,57031000,2136324000,2864425000,276460000,152475000,123985000,62273000,94130000,94130000,432863000,1348307000,848421000,472264000,376157000,2196728000,2629591000,758025000,-516467000,234732000,102000,234834000,2864425000,29953000,62458000,26958000,-9152000,110217000,-44119000,28551000,28551000,-72670000,-72670000,5185000,-186756000,80608000,4240000,4240000,-390000,84458000,7919000,7919000,7919000,141259000,1410580000,114144000,0.2887,0.07635,0.02902,0.12755,0.01046,3.81077,1.68206,11.19766,0.49245,0.21344,0.21016,7.35479,1.67267,0.81337,0.01201,0.04577,9.62169,17.24789
"16","2014_Q1",19.7959016393443,"Up",1075389000,-620741000,454648000,-361147000,-60207000,-300940000,93501000,-22206000,-23082000,-23815000,733000,876000,71295000,78474000,-33176000,45298000,45298000,45298000,45298000,59178000,59178000,418436000,418436000,237988000,63958000,19268000,23704000,84225000,734032000,1447807000,2370472000,-922665000,627169000,316747000,253256000,57166000,2074976000,2809008000,228759000,118014000,110745000,75056000,80553000,80553000,384368000,1263764000,877289000,484200000,393089000,2141053000,2525421000,760816000,-471169000,283485000,102000,283587000,2809008000,45298000,60207000,33014000,-20878000,117641000,-37935000,43346000,43346000,-81281000,-81281000,7868000,-36086000,-77899000,3523000,3523000,569999.999999999,-73806000,7749000,7749000,7749000,153708000,1338820000,128071000,0.42278,0.08695,0.04212,0.15973,0.01613,2.8273,1.90971,8.90528,0.47662,0.32194,0.31664,7.64292,2.01476,0.91022,0.01812,0.05123,8.32515,13.68586
"17","2014_Q2",22.0930158730159,"Up",1008446000,-704557000,303889000,-260878000,-60379000,-200499000,43011000,-21595000,-22459000,-23225000,766000,864000,21416000,20009000,-7704000,12305000,12305000,12305000,12305000,46098000,46098000,454709000,454709000,215937000,57397000,18389000,11854000,88539000,734520000,1468771000,2420292000,-951521000,616725000,312543000,253256000,50926000,2085496000,2820016000,293450000,174397000,119053000,80619000,85870000,85870000,459939000,1195305000,862519000,469690000,392829000,2057824000,2517763000,766369000,-458864000,302151000,102000,302253000,2820016000,12305000,60379000,-4729000,8202000,76157000,-31630000,28428000,28428000,-60058000,-60058000,6591000,-25203000,-68526000,3414000,3414000,1078000,-64034000,-13080000,-13080000,-13080000,103390000,1275924000,87666000,0.30134,0.04265,0.0122,0.04071,0.00436,7.12442,1.59699,8.32999,0.45245,0.08728,0.08604,7.15306,2.1432,0.62183,0.00504,0.03592,11.89502,28.59329
"18","2014_Q3",23.43140625,"Up",1075898000,-732019000,343879000,-258169000,-58994000,-199175000,85710000,-20051000,-20761000,-21453000,692000,710000,65659000,65363000,-25165000,40198000,40198000,40198000,40198000,73528000,73528000,460358000,460358000,197773000,55256000,8694000,4314000,87918000,752423000,1450352000,2400832000,-950480000,612331000,308340000,253256000,50735000,2062683000,2815106000,269066000,141889000,127177000,85962000,81270000,81270000,436298000,1115625000,915375000,454499000,460876000,2.031e+09,2467298000,770815000,-418666000,347706000,102000,347808000,2815106000,40198000,58994000,-14272000,22406000,107326000,-26350000,48660000,48660000,-75010000,-75010000,5650000,-20649000,-62401000,2397000,2397000,757000,-59247000,27430000,27430000,27430000,144704000,1201587000,165925000,0.31962,0.07966,0.03736,0.11558,0.01428,4.12769,1.72456,7.09385,0.42684,0.28448,0.2801,7.61401,2.46068,1.17423,0.01631,0.06732,7.79563,13.16135
"19","2014_Q4",28.545,"Up",1074880000,-717216000,357664000,-269573000,-58573000,-2.11e+08,88091000,-18753000,-19595000,-20372000,777000,842000,69338000,74048000,-23890000,50158000,50158000,50158000,50158000,70296000,70296000,454188000,454188000,198644000,58647000,5752000,5340000,86624000,743864000,1483943000,2430583000,-946640000,604430000,304136000,253256000,47038000,2088373000,2832237000,285752000,165734000,120018000,76138000,90624000,90624000,452514000,1070724000,906515000,448240000,458275000,1977239000,2429753000,774324000,-368508000,402382000,102000,402484000,2832237000,50158000,58573000,-9214000,9813000,109330000,-36461000,39584000,39584000,-76045000,-76045000,8397000,-27587000,-86945000,1776000,1776000,194000,-84975000,-3232000,-3232000,-3232000,146664000,1146862000,143906000,0.33275,0.08195,0.04666,0.12462,0.01771,2.86905,1.64385,6.03689,0.40493,0.35432,0.34957,7.59311,2.84248,1.01657,0.02042,0.0586,7.34036,12.22107
"20","2015_Q1",30.2924590163934,"Up",1139500000,-730014000,409486000,-281602000,-59990000,-221612000,127884000,-12641000,-14340000,-15014000,674000,1699000,115243000,91206000,-32715000,58491000,58491000,58491000,58491000,105132000,105132000,478999000,478999000,152424000,51441000,2907000,18455000,79621000,755547000,1542130000,2520435000,-978305000,595044000,299933000,253256000,41855000,2137174000,2892721000,258905000,160186000,98719000,74347000,87360000,87360000,420612000,1086719000,915096000,437389000,477707000,2001815000,2422427000,782545000,-310017000,470192000,102000,470294000,2892721000,58491000,59990000,27045000,-42558000,102968000,-78505000,16348000,16348000,-94853000,-94853000,11696000,-66311000,-8538999.99999999,5017000,5017000,1701000,-1821000,34836000,34836000,34836000,187874000,1161066000,99526000,0.35936,0.11223,0.05133,0.12437,0.02022,1.70156,1.7963,5.15088,0.40138,0.41226,0.40651,8.03155,3.31406,0.70149,0.02297,0.03908,5.62044,8.25697
"21","2015_Q2",27.9465079365079,"Down",1015144000,-657372000,357772000,-286704000,-61131000,-225573000,71068000,-9196000,-9801000,-10388000,587000,605000,61872000,61531000,-23691000,37840000,37840000,37840000,37840000,68736000,68736000,452757000,452757000,181218000,48874000,3438000,4233000,89397000,720785000,1569196000,2586256000,-1017060000,586942000,295729000,253256000,37957000,2156138000,2876923000,273173000,162226000,110947000,78472000,77662000,77662000,429307000,1020828000,912183000,465419000,446764000,1933011000,2362318000,787879000,-272177000,514503000,102000,514605000,2876923000,37840000,61131000,-3853000,33039000,128157000,-48636000,13370000,13370000,-62006000,-62006000,-14152000,-56614000,-111790000,2679000,2679000,1172000,-107939000,-36396000,-36396000,-36396000,132199000,1099300000,140293000,0.35243,0.07001,0.03728,0.07353,0.01315,3.70753,1.67895,4.59055,0.38211,0.26611,0.26286,7.1389,3.61819,0.9866,0.01498,0.05554,7.79555,14.5011
"22","2015_Q3",25.031875,"Down",1059404000,-687671000,371733000,-283487000,-64618000,-218869000,88246000,-8534000,-9518000,-10109000,591000,984000,79712000,82831000,-31877000,50954000,50954000,50954000,50954000,53651000,53651000,451799000,451799000,190619000,47137000,8049000,4399000,91686000,714702000,1614600000,2664574000,-1049974000,579710000,291526000,253256000,34928000,2194310000,2909012000,237609000,123438000,114171000,83359000,76678000,76678000,397646000,1062326000,876946000,464206000,412740000,1939272000,2336918000,793203000,-221223000,571992000,102000,572094000,2909012000,50954000,64618000,-11872000,16346000,120046000,-71398000,33293000,33293000,-104691000,-104691000,-8150000,-79572000,-59483000,2636000,2636000,1288000,-55559000,-15085000,-15085000,-15085000,152864000,1145685000,129689000,0.35089,0.0833,0.0481,0.08907,0.01752,2.54522,1.79733,4.08485,0.39384,0.35746,0.35285,7.43217,4.01277,0.90982,0.01964,0.04998,7.14383,12.37488
"23","2015_Q4",23.9034375,"Down",1064973000,-686656000,378317000,-313221000,-71056000,-242165000,65096000,-7731000,-8483000,-9130000,647000,752000,57365000,57555000,-21274000,36281000,36281000,36281000,36281000,53706000,53706000,448323000,448323000,204292000,53724000,11096000,17369000,91110000,725415000,1678584000,2771571000,-1092987000,570175000,287322000,253256000,29597000,2248759000,2974174000,241921000,136551000,105370000,92970000,329103000,329103000,663994000,1084896000,613014000,460504000,152510000,1697910000,2361904000,797029000,-184942000,612168000,102000,612270000,2974174000,36281000,71056000,10119000,-8437000,109019000,-64279000,29882000,29882000,-94161000,-94161000,1142000,-68032000,-43024000,2352000,2352000,-260000,-40932000,55000,55000,55000,136152000,1177866000,84710000,0.35524,0.06112,0.03407,0.05926,0.0122,2.33483,1.0925,3.85762,0.39603,0.25396,0.25134,7.45451,4.285,0.59295,0.0151,0.03525,8.25665,17.26926
"24","2016_Q1",23.3627868852459,"Down",-1956557000,1511246000,-445311000,398901000,85782000,393974000,-46410000,33965000,27264000,28629000,-1365000,6701000,-12445000,-15413000,8795000,-6618000,-6618000,-8357000,-8357000,107590000,107590000,422421000,422421000,157170000,48149000,9084000,11664000,88273000,705607000,1651100000,2779599000,-1128499000,562960000,283119000,253256000,26585000,2214060000,2919667000,219140000,121827000,97313000,95308000,84429000,84429000,398877000,1065664000,837999000,463832000,374167000,1903663000,2302540000,755977000,-139033000,617025000,102000,617127000,2919667000,-6618000,-85782000,8298000,-67355000,-151457000,34899000,-4299000,-4299000,39198000,39198000,19729000,65883000,191897000,-43082000,2263000,-305000,128625000,43051000,43051000,43051000,-132192000,1160972000,-173443000,0.2276,0.02372,0.00427,-0.01354,-0.00286,20.75422,1.76898,3.73106,0.39764,-0.0594899999999999,-0.05887,-13.92894,4.39267,-1.23476,0.00441,-0.0663,-7.96858,-22.69731
