"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",13.175625,"Down",118300000,-84200000,34100000,-35100000,-24700000,-9900000,-1e+06,0,0,-1e+06,-1e+06,-6e+05,-1600000,-1700000,-1700000,-1700000,92900000,92900000,8e+07,8e+07,57300000,46600000,45600000,276800000,25300000,2e+06,4e+05,6e+05,27300000,304100000,84100000,40800000,43300000,36800000,34500000,1e+06,130700000,19400000,9e+05,18500000,19400000,150100000,802400000,-645100000,-3300000,1.54e+08,1.54e+08,304100000,-1700000,1600000,3e+06,-9e+05,2e+06,-2300000,-2200000,-1100000,-1e+06,-1200000,-1200000,-5e+05,-1700000,6e+05,9800000,-2e+06,0.28825,-0.00845,-0.01437,-0.01104,-0.00559,1.17647,2.11783,0.97468,0.03223,-0.16922,-0.16922,11.77585,15.32951,-0.19908,-0.00928,-0.01092,-138.5,83.1
"12","2014_Q1",11.655737704918,"Down",1.09e+08,-77100000,31900000,-36500000,-23800000,-10400000,-4600000,0,-3.63797880709171e-12,-4600000,-3900000,-1300000,-5200000,-7500000,-7500000,-7500000,9e+07,9e+07,86300000,86300000,51200000,46800000,45900000,274300000,28800000,2700000,1400000,5e+05,31500000,305800000,96700000,50600000,46100000,25600000,18600000,5900000,131100000,24800000,1700000,23100000,24800000,155900000,804100000,-650900000,-3300000,149900000,149900000,305800000,-7500000,1600000,6300000,2500000,2900000,-4500000,-4700000,-1e+06,-9e+05,-2700000,-2700000,-4e+05,-3100000,-3e+06,8800000,-3700000,0.29266,-0.0422,-0.06881,-0.05003,-0.02453,0.49333,2.0923,1.04003,0.02878,-0.74533,-0.74533,10.83215,14.89669,-0.367700000000001,-0.04087,-0.02016,27.06667,17.65217
"13","2014_Q2",7.70126984126984,"Down",93400000,-70300000,23100000,-36500000,-22200000,-9700000,-13400000,-1e+05,-1e+05,-13500000,-13500000,-2e+05,-13700000,-13700000,-13700000,-13700000,79300000,79300000,86900000,86900000,48800000,48800000,47900000,263800000,31300000,2700000,1400000,6e+05,3.4e+07,297800000,97800000,5e+07,47800000,27600000,20800000,5700000,131400000,28500000,1700000,26800000,28500000,159900000,805600000,-664500000,-3200000,137900000,137900000,297800000,-13600000,1500000,3300000,4200000,-4600000,-3800000,-3800000,-2900000,-2900000,-11300000,-11300000,6e+05,-10700000,-11900000,6e+06,-11300000,0.24732,-0.14347,-0.14668,-0.09935,-0.046,0.82482,2.00761,1.15954,0.02015,-1.35029,-1.35029,9.20565,13.59164,-1.11375,-0.07947,-0.06555,6.15966,5.47015
"14","2014_Q3",8.570625,"Up",85800000,-64500000,21300000,-3.2e+07,-22200000,-9400000,-10700000,0,0,-10700000,-10700000,5e+05,-10200000,-9800000,-9800000,-9800000,64700000,64700000,75800000,75800000,51600000,54200000,53300000,246300000,30300000,2800000,1500000,7e+05,33100000,279400000,97400000,45700000,51700000,32300000,28900000,2300000,135700000,14800000,1800000,1.3e+07,14800000,150500000,806400000,-674400000,-3100000,128900000,128900000,279400000,-9900000,2200000,1900000,-7200000,-1.3e+07,-1600000,-1600000,4.65661287307739e-10,1e+05,-14500000,-14500000,-1e+05,-14600000,-8500000,6e+06,-17800000,0.24825,-0.12471,-0.11422,-0.07603,-0.03508,1.81633,1.81503,1.16757,0.02147,-0.95184,-0.95184,8.33343,12.51957,-1.72885,-0.06546,-0.1189,6.90588,5.48598
"15","2014_Q4",9.435,"Up",81400000,-60500000,20900000,-35700000,-2.3e+07,-8400000,-14800000,2e+05,2e+05,-14600000,-14600000,-5e+05,-15100000,-14800000,-14800000,-14800000,47500000,47500000,80100000,80100000,48300000,46500000,45800000,222400000,29800000,3e+06,1500000,1e+06,32800000,255200000,84100000,39600000,44500000,35900000,3e+07,4500000,1.26e+08,13900000,1500000,12400000,13900000,139900000,8.07e+08,-689200000,-2500000,115300000,115300000,255200000,-14800000,1900000,2600000,-4200000,-14500000,-2400000,-2400000,0,0,-16900000,-16900000,-3e+05,-17200000,-12900000,6e+06,-1.9e+07,0.25676,-0.18182,-0.18182,-0.12836,-0.05799,1.28378,1.76508,1.21336,0.02351,-1.43515,-1.43515,7.8933,11.18056,-1.84242,-0.10947,-0.14053,3.21705,2.80405
"16","2015_Q1",7.82491803278689,"Down",85432000,-65544000,19888000,-31632000,-21376000,-7978000,-11744000,-8999.99999999997,-9000.00000000003,-11753000,-11753000,-1265000,-13018000,-12800000,-12800000,-12800000,48800000,48800000,77200000,77200000,49500000,42700000,41200000,218200000,29300000,5700000,3400000,1900000,3.5e+07,253200000,79300000,46100000,33200000,36300000,33300000,2800000,121600000,19700000,5200000,14500000,19700000,141300000,807600000,-692800000,-2900000,111900000,111900000,253200000,-12800000,1919000,3235000,10494000,2848000,-1614000,-1614000,3999.99999999994,2000.00000000012,1236000,1236000,53999.9999999999,1290000,-9825000,6e+06,320000,0.23279,-0.13747,-0.14983,-0.11439,-0.05055,-0.0250000000000001,1.79441,1.26273,0.0237,-1.23867,-1.23867,8.26737,10.82871,0.0309699999999999,-0.09302,0.00233,4.35623,3.64441
"17","2015_Q2",7.12380952380952,"Down",82400000,-60400000,2.2e+07,-27400000,-19200000,-6600000,-5400000,0,0,-5400000,-5400000,-3e+05,-5700000,-5500000,-5500000,-5500000,42400000,42400000,84500000,84500000,53200000,43500000,41800000,223600000,28700000,5500000,3400000,1800000,34200000,257800000,91100000,47700000,43400000,44600000,41900000,2500000,141700000,19800000,5300000,14500000,19800000,161500000,808200000,-707800000,-4100000,96300000,96300000,257800000,-5500000,1700000,2700000,-3600000,-4700000,-1200000,-1200000,-1e+05,-1e+05,-6e+06,-6e+06,-4e+05,-6400000,-3700000,6e+06,-8200000,0.26699,-0.06553,-0.06675,-0.05711,-0.02133,1.49091,1.57798,1.67705,0.02327,-0.53247,-0.53247,7.97738,9.32308,-0.79387,-0.04505,-0.06716,9.83784,6.74074
"18","2015_Q3",7.05234375,"Down",90900000,-66900000,2.4e+07,-27700000,-21200000,-6400000,-3700000,-1e+05,-1e+05,-3800000,-3800000,-6e+05,-4400000,-4500000,-4500000,-4500000,38700000,38700000,8.1e+07,8.1e+07,44400000,45200000,43400000,209300000,27500000,5600000,3300000,2100000,33100000,242400000,89200000,45600000,43600000,3.5e+07,32500000,2300000,133200000,17700000,5300000,12400000,17700000,150900000,808600000,-711100000,-6e+06,91500000,91500000,242400000,-4500000,2e+06,1300000,-3200000,-4400000,-1200000,-1200000,3e+06,3e+06,-2600000,-2600000,-1100000,-3700000,-1700000,9e+06,-5500000,0.26403,-0.0407,-0.0495,-0.04918,-0.01856,1.22222,1.57132,1.64918,0.03713,-0.43496,-0.43496,8.78612,8.84412,-0.53161,-0.03807,-0.04653,17.47059,8.02703
"19","2015_Q4",5.7853125,"Down",74800000,-58800000,1.6e+07,-27700000,-1.8e+07,-6400000,-11700000,1e+05,1e+05,-11600000,-11600000,-1500000,-13100000,-13100000,-13100000,-13100000,3.5e+07,3.5e+07,69100000,69100000,46300000,3.9e+07,37300000,189400000,25400000,5300000,3400000,1800000,30700000,220100000,75100000,37400000,37700000,43100000,38200000,4700000,127200000,16100000,5300000,10800000,16100000,143300000,809300000,-723300000,-9200000,76800000,76800000,220100000,-13100000,1900000,3500000,7300000,-4e+05,-6e+05,-6e+05,0,0,-1e+06,-1e+06,-2700000,-3700000,-9800000,9e+06,-1600000,0.2139,-0.15642,-0.17513,-0.17057,-0.05952,0.12214,1.48899,1.86589,0.04089,-1.26214,-1.26214,7.20674,7.39943,-0.15415,-0.12856,-0.0157,2.65306,2.22222
"20","2016_Q1",4.08737704918033,"Down",87778000,-69088000,18690000,-23820000,-17605000,-5968000,-5130000,-28000,-28000,-5158000,-5158000,3710000,-1448000,-1454000,-1525000,-1525000,34735000,34735000,83532000,83532000,39113000,33748000,32286000,191128000,24255000,9332000,7627000,1705000,33587000,224715000,73794000,46580000,27214000,39914000,35894000,3851000,122708000,18198000,4683000,13515000,18198000,140906000,809840000,-717474000,-8628000,83738000,83809000,224715000,-1454000,2022000,-802000.000000001,136000,-98000,-693000,-693000,-40000.0000000005,-27000,-818000,-818000,-46000,-864000,-3108000,9e+06,-7375000,0.21292,-0.05844,-0.0173700000000001,-0.0182,-0.00679,4.83607,1.55758,1.68128,0.04005,-0.14638,-0.14638,8.4258,8.038,-0.70793,-0.01374,-0.06644,8.28024,5.01657
"21","2016_Q2",3.78453125,"Down",79555000,-58544000,21011000,-22609000,-17112000,-5476000,-1598000,73000,73000,-1525000,-1525000,12000,-1513000,-1154000,-1203000,-1203000,35800000,35800000,88300000,88300000,39700000,32700000,31300000,196500000,22500000,9e+06,7300000,1700000,31500000,2.28e+08,75200000,48700000,26500000,43200000,4e+07,3e+06,127400000,18200000,4700000,13500000,18200000,145600000,810300000,-718700000,-9300000,82300000,82400000,2.28e+08,-1154000,1704000,2612000,-1384000,1778000,-396000,-396000,0,6000,1388000,1388000,-331000,1057000,106000,9e+06,-1686000,0.26411,-0.02009,-0.01512,-0.0146,-0.00528,1.4015,1.54239,1.76699,0.03947,-0.11553,-0.11553,7.64034,7.90396,-0.16192,-0.01098,-0.01538,-252.83019,16.77096
"22","2016_Q3",4.255,"Up",70416000,-53992000,16424000,-21422000,-16178000,-5210000,-4998000,-29000,-29000,-5027000,-5027000,-507000,-5534000,-5534000,-5679000,-5679000,39500000,39500000,76400000,76400000,36800000,26700000,25300000,179400000,21200000,8700000,7200000,1500000,29900000,209300000,65300000,40400000,24900000,3.9e+07,36300000,2500000,113300000,1.9e+07,4700000,14300000,1.9e+07,132300000,810700000,-724400000,-9600000,76700000,7.7e+07,209300000,-5534000,1672000,1473000,6991000,4602000,-363000,-363000,-2.91038304567337e-11,3000.00000000003,4242000,4242000,-512000,3730000,-3326000,9e+06,3809000,0.23324,-0.07098,-0.08065,-0.07375,-0.02713,-0.67072,1.58341,1.71818,0.043,-0.5428,-0.5428,6.73034,7.33096,0.36406,-0.05409,0.03628,9.17017,6.10244
"23","2016_Q4",5.50539682539682,"Up",60467000,-46054000,14413000,-22007000,-16140000,-5063000,-7594000,53000,53000,-7541000,-7541000,-361000,-7902000,-7808000,-7874000,-7874000,39700000,39700000,65700000,65700000,36700000,21200000,19700000,163300000,19400000,8800000,7100000,1700000,28200000,191500000,5.9e+07,34400000,24600000,35500000,32600000,2700000,103500000,17900000,4700000,13200000,17900000,121400000,811200000,-732300000,-9200000,69700000,70100000,191500000,-7808000,1668000,3114000,3719000,693000,-538000,-538000,0,2000,157000,157000,43000,2e+05,-5926000,9e+06,-2384000,0.23836,-0.12559,-0.13022,-0.11233,-0.04112,0.30277,1.57778,1.73181,0.047,-0.74902,-0.74902,5.75194,6.63023,-0.22678,-0.08118,-0.02458,5.18055999999997,4.04267
"24","2017_Q1",7.11387096774194,"Up",58252000,-48383000,9869000,-23125000,-16472000,-5057000,-13256000,51000,51000,-13205000,-14450000,-779000,-15229000,-15141000,-15151000,-15151000,30701000,30479000,63449000,63449000,30357000,15907000,15907000,140414000,18162000,7535000,6068000,1467000,25697000,166111000,56422000,33217000,23205000,34525000,30615000,3910000,99947000,12707000,1497000,11210000,12707000,112654000,811654000,-747381000,-11157000,53116000,53457000,166111000,-15141000,1604000,6530000,290000,-6717000,-277000,-499000,0,2000.00000000006,-7214000,-7214000,-1547000,-8761000,-11652000,9e+06,-10860000,0.16942,-0.22756,-0.26009,-0.28342,-0.09121,0.71678,1.40488,2.10738,0.05418,-1.44068,-1.44068,5.53907,5.0507,-1.03266,-0.20157,-0.14448,1.86243,1.63707
"25","2017_Q2",8.75650793650794,"Up",58207000,-40842000,17365000,-20290000,-15187000,-4943000,-2925000,36000,36000,-2889000,-3071000,2470000,-601000,-601000,-629000,-629000,31980000,31750000,49697000,49697000,26857000,19047000,19047000,127581000,18130000,7115000,5759000,1356000,25245000,152826000,51964000,29296000,22668000,28105000,25357000,2748000,88069000,11810000,1484000,10326000,11810000,99879000,812115000,-748010000,-11527000,52578000,52947000,152826000,-601000,1670000,1348000,866000,3283000,-1323000,-1323000,-1e+06,-998000,962000,962000,-245000,717000,-1255000,8e+06,-4182000,0.29833,-0.05025,-0.01081,-0.0118800000000001,-0.00411999999999998,6.64865,1.44865,1.8864,0.05235,-0.0598,-0.0598,5.53404,4.99886,-0.3976,-0.00865000000000002,-0.05748,19.10757,8.19829
"26","2017_Q3",8.54936507936508,"Down",68536000,-47420000,21116000,-18603000,-14056000,-4475000,2513000,69000,69000,2582000,2587000,-864999.999999999,1722000,1722000,1678000,1678000,35207000,34978000,56201000,56201000,23056000,18655000,18655000,133119000,16836000,6963000,5727000,1236000,23799000,156918000,55006000,31962000,23044000,27856000,25451000,2405000,90862000,11675000,1492000,10183000,11675000,102537000,812605000,-746332000,-12305000,53968000,54381000,156918000,1722000,1466000,525000,1326000,5039000,-1530000,-1530000,1.16415321826935e-10,3000.00000000012,3512000,3512000,-248000,3264000,3979000,8e+06,4640000,0.3081,0.03667,0.02448,0.03086,0.01069,2.7652,1.46507,1.88553,0.05098,0.15878,0.15537,6.48524,5.10674,0.43906,0.02266,0.06266,-6.83765,-10.8265
"27","2017_Q4",7.85507936507936,"Down",58700000,-40968000,17732000,-17659000,-13284000,-4264000,73000,35000,35000,108000,449000,-779000,-330000,-330000,-399000,-399000,40150000,39910000,45177000,45177000,22516000,20924000,20924000,128767000,15713000,7044000,5748000,1296000,22757000,151524000,52251000,29816000,22435000,24909000,23218000,1691000,85160000,11516000,1497000,10019000,11516000,96676000,813173000,-746731000,-12076000,54366000,54848000,151524000,-330000,1404000,-123000,4146000,5097000,-342000,-342000,0,4000,4759000,4759000,160000,4919000,1477000,8e+06,6060000,0.30208,0.00124,-0.0068,-0.00727,-0.00263,-15.18797,1.51206,1.76262,0.0528,-0.03757,-0.03757,5.52731,5.11921,0.57062,-0.00537,0.08149,-21.7671,-440.41096
"28","2018_Q1",8.3655737704918,"Up",56431000,-37172000,19259000,-19905000,-14657000,-5002000,-646000,71000,71000,-575000,-570000,-842000,-1412000,-1412000,-1473000,-1473000,35922000,35658000,45945000,45945000,23665000,19053000,19053000,124585000,16406000,11585000,6178000,5407000,27991000,152576000,55539000,33606000,21933000,21479000,20004000,1475000,86018000,12218000,1681000,10537000,12218000,98236000,813786000,-748204000,-11785000,53797000,54340000,152576000,-1412000,1300000,797000,-4699000,-4014000,-826000,-843000,1e+06,1012000,-3845000,-3845000,89000,-3756000,654000,9e+06,-4029000,0.34128,-0.01145,-0.0261,-0.02711,-0.00965,2.73523,1.44836,1.8078,0.05899,-0.13857,-0.14166,5.30865,5.06087,-0.37902,-0.01949,-0.05332,-41.16514,41.67492
"29","2018_Q2",8.5746875,"Up",56182000,-38886000,17296000,-18522000,-13722000,-4798000,-1226000,52000,52000,-1174000,-1204000,639000,-565000,-565000,-657000,-657000,39368000,39103000,43635000,43635000,24776000,16084000,16084000,123863000,16934000,11417000,5735000,5682000,28351000,152214000,55921000,34443000,21478000,20914000,20087000,827000,85835000,11958000,1781000,10177000,11958000,97793000,814367000,-748861000,-11720000,53786000,54421000,152214000,-565000,1282000,1309000,2878000,4904000,-1378000,-1378000,0,7000,3533000,3533000,-97000,3436000,56000,9e+06,917000,0.30786,-0.02182,-0.01169,-0.01207,-0.00432,-1.39574,1.44304,1.79697,0.05913,-0.06179,-0.06179,5.28424,5.05888,0.08625,-0.00872,0.01217,-542.28571,24.76998
