"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",17.28671875,"Up",180632000,-93354000,87278000,-68342000,-34797000,-28545000,-5e+06,18936000,-4491000,-2774000,-1717000,14445000,-901000,13544000,1354000,14898000,14898000,14898000,14898000,172703000,146158000,26545000,179093000,179093000,85228000,16779000,52621000,437024000,37211000,350774000,226309000,2586000,121879000,387985000,825009000,70293000,32764000,2436000,35093000,1.5e+07,108551000,58520000,50031000,193844000,257247000,47261000,8276000,21172000,17813000,304508000,498352000,462058000,-734754000,607772000,-8419000,326657000,326657000,825009000,14898000,14736000,11686000,-18776000,22544000,-4899000,6280000,1381000,-3750000,-10733000,610000,-11343000,-13946000,9979000,9979000,-108000,9871000,33672000,272247000,8643000,0.48318,0.10483,0.08248,0.04561,0.01806,0.58014,2.25451,1.52561,0.32999,0.46364,0.45802,5.62139,10.16578,0.26898,0.02306,0.01338,2.95628,5.25687
"12","2013_Q3",19.86140625,"Up",186107000,-94758000,91349000,-69706000,-37388000,-27548000,-4770000,21643000,-2819000,-2992000,173000,18824000,37999.9999999999,18862000,-6790000,12072000,12072000,12072000,12072000,189294000,96849000,92445000,172521000,172521000,94400000,12441000,65843000,456215000,35173000,353038000,227546000,3312000,122180000,388211000,844426000,82441000,35623000,2282000,44536000,1.5e+07,111245000,56195000,55050000,208686000,254822000,47366000,8192000,22973000,16201000,302188000,510874000,466232000,-738244000,614775000,-9211000,333552000,333552000,844426000,12072000,13791000,5445000,7494000,38802000,-10034000,-63802000,-73836000,-5644000,-3229000,311000,-3540000,-8868000,-43902000,-43902000,-2867000,-46769000,35434000,269822000,39684000,0.49084,0.11629,0.06487,0.03619,0.0143,3.28728,2.18613,1.53162,0.31953,0.37578,0.37214,5.79321,10.38294,1.2353,0.01855,0.06098,2.27262,3.72074
"13","2013_Q4",22.93015625,"Up",186180000,-94898000,91282000,-70653000,-38444000,-27600000,-4609000,20629000,-3922000,-2441000,-1481000,16707000,-76000,16631000,-1331000,15300000,15300000,15300000,15300000,193898000,92736000,101162000,174757000,174757000,89236000,5903000,69238000,457891000,34674000,357299000,231235000,5475000,120589000,391973000,849864000,84193000,33211000,2360000,48622000,1.5e+07,98393000,50961000,47432000,197586000,252423000,45308000,9750000,18364000,17194000,297731000,495317000,470537000,-738372000,6.25e+08,-2618000,354547000,354547000,849864000,15300000,14265000,69000,-4398000,25236000,-9402000,-9017000,-16685000,-3750000,121000,362000,-241000,-13182000,-4631000,-4631000,518000,-4113000,34894000,267423000,22425000,0.49029,0.1108,0.08218,0.04315,0.018,1.46569,2.31743,1.39704,0.31467,0.47687,0.46841,5.80289,11.05059,0.69895,0.03736,0.03361,2.1071,3.56416
"14","2014_Q1",23.5268852459016,"Up",194549000,-94155000,100394000,-72493000,-41924000,-26315000,-4254000,27901000,-3953000,-2725000,-1228000,23948000,-11466000,12482000,-9484000,2998000,2998000,2998000,2998000,210837000,82686000,128151000,178511000,178511000,86027000,3815000,67127000,475375000,35061000,358544000,233599000,7447000,117498000,393605000,868980000,94624000,33376000,2814000,58434000,1.5e+07,97182000,47131000,50051000,206806000,250050000,46020000,9221000,20274000,16525000,296070000,502876000,473848000,-738372000,629011000,1617000,366104000,366104000,868980000,2998000,13660000,7655000,15739000,40052000,-12833000,-27348000,-40311000,-4579000,-46000,308000,-354000,-9391000,-9650000,-9650000,-4e+05,-10050000,41561000,265050000,53951000,0.51603,0.14341,0.01541,0.00819,0.00345,17.99566,2.29865,1.37359,0.30501,0.09332,0.0885400000000001,6.05581,11.39588,1.67936,0.01155,0.07967,1.30442,1.94305
"15","2014_Q2",21.8093650793651,"Down",188028000,-102104000,85924000,-63792000,-35299000,-25007000,-3486000,22132000,-3912000,-2559000,-1353000,18220000,-1218000,17002000,-7311000,9691000,9691000,9691000,9691000,183012000,65454000,117558000,195736000,195736000,83025000,4625000,69002000,461773000,33681000,358961000,234362000,8958000,115641000,392642000,854415000,71311000,31994000,2515000,36802000,16875000,106289000,50373000,55916000,194475000,245828000,42833000,7875000,18894000,16064000,288661000,483136000,473427000,-738372000,633586000,2638000,371279000,371279000,854415000,9691000,12076000,6216000,-36561000,-8578000,-6008000,10324000,4946000,-3750000,-6178000,340000,-6518000,-13116000,-16748000,-16748000,-484000,-17232000,34208000,262703000,-1050000,0.45697,0.11771,0.05154,0.0261,0.01134,-0.10835,2.37446,1.30127,0.30747,0.29985,0.28474,5.81788,11.48795,-0.03249,0.02195,-0.00155,2.3296,3.60071
"16","2014_Q3",22.820625,"Up",184558000,-93682000,90876000,-69017000,-39140000,-26437000,-3440000,21859000,-4079000,-2321000,-1758000,17780000,-38999.9999999981,17741000,-8338000,9403000,9403000,9403000,9403000,189583000,86122000,103461000,191615000,191615000,93782000,7640000,74697000,474980000,35711000,360099000,236788000,7950000,115361000,395810000,870790000,81553000,36306000,2273000,42974000,18750000,104437000,50377000,54060000,204740000,241634000,41586000,7363000,17653000,16570000,283220000,487960000,477714000,-738372000,637688000,5800000,382830000,382830000,870790000,9403000,11774000,3627000,43000,24847000,-8484000,13800000,5316000,-4847000,254999.999999999,321000,-66000,-9742000,20421000,20421000,247000,20668000,33633000,260384000,33530000,0.4924,0.11844,0.05095,0.02456,0.0108,3.56588,2.31992,1.27461,0.29902,0.28827,0.28033,5.65799,11.73641,1.02793,0.02127,0.04896,2.10511,3.23899
"17","2014_Q4",21.70953125,"Down",185003000,-94470000,90533000,-68918000,-39036000,-26329000,-3553000,21615000,-3767000,-2413000,-1354000,17848000,-7784000,10064000,-4831000,5233000,5233000,5233000,5233000,183459000,75573000,107886000,191024000,191024000,85351000,6633000,70027000,459834000,36762000,350788000,230798000,9654000,110336000,387550000,847384000,73503000,31082000,2258000,40163000,20625000,101615000,46899000,54716000,195743000,237469000,40920000,9270000,15116000,16534000,278389000,474132000,483860000,-743608000,637477000,-4477000,373252000,373252000,847384000,5233000,11836000,5383000,-2815000,19637000,-11149000,-4689000,-15338000,-3750000,-4480000,392000,-4872000,-13309000,-9010000,-9010000,-1539000,-10549000,33451000,258094000,24318000,0.48936,0.11684,0.02829,0.01402,0.00618,4.64705,2.34917,1.27027,0.30458,0.1605,0.15393,5.67424,11.44804,0.74586,0.01543,0.03617,2.23117,3.45293
"18","2015_Q1",23.9786885245902,"Up",193697000,-99087000,94610000,-70557000,-40013000,-26939000,-3605000,24053000,-2410000,-2362000,-48000,21643000,-4928000,16715000,-5331000,11384000,11384000,11384000,11384000,201800000,81712000,120088000,184369000,184369000,88201000,4088000,70909000,474370000,38326000,341936000,225269000,8890000,107777000,380262000,854632000,91165000,37052000,2672000,51441000,22500000,99170000,40004000,59166000,212835000,233331000,49833000,9648000,20446000,19739000,283164000,495999000,487081000,-757478000,635716000,-6686000,358633000,358633000,854632000,11384000,11951000,6092000,18318000,47745000,-5944000,-12396000,-18340000,-3750000,-13341000,341000,-13682000,-22144000,7261000,7261000,-1122000,6139000,36004000,255831000,53709000,0.48844,0.12418,0.05877,0.03174,0.01332,4.71794,2.22882,1.38303,0.29935,0.35295,0.34114,6.00536,11.11902,1.66519,0.02477,0.08085,1.50069,2.24633
"19","2015_Q2",26.4763492063492,"Up",185631000,-100266000,85365000,-62866000,-33442000,-25729000,-3695000,22499000,-5182000,-3201000,-1981000,17317000,-606000,16711000,-7353000,9358000,9358000,9358000,9358000,169894000,89277000,80617000,180096000,180096000,88578000,5799000,72693000,438568000,36991000,334657000,219666000,9169000,105822000,371648000,810216000,72568000,31224000,486000,40858000,7500000,101388000,47141000,54247000,181456000,277972000,43750000,8798000,18588000,16364000,321722000,503178000,478640000,-804437000,648437000,-15602000,307038000,307038000,810216000,9358000,11912000,4923000,-7257000,18936000,-7918000,39385000,31467000,27296000,-62357000,396000,-62753000,-41799000,8604000,8604000,-1039000,7565000,34411000,285472000,26589000,0.45986,0.1212,0.05041,0.03048,0.01155,2.84131,2.41694,1.63881,0.35234,0.29668,0.28068,5.8852,9.73426,0.84297,0.02389,0.04179,3.35875,5.13703
"20","2015_Q3",26.7359375,"Up",182641000,-91796000,90845000,-64319000,-34572000,-25897000,-3850000,26526000,-3710000,-2308000,-1402000,22816000,-370000,22446000,-9652000,12794000,12794000,12794000,12794000,194043000,94945000,99098000,172269000,172269000,93931000,9341000,77112000,460243000,36962000,339580000,226040000,8478000,105062000,376542000,836785000,82937000,31978000,587000,50372000,146394000,105761000,49076000,56685000,335092000,138750000,35280000,9268000,11375000,14637000,174030000,509122000,484266000,-804437000,655510000,-7676000,327663000,327663000,836785000,12794000,10808000,3168000,12806000,39576000,-8033000,-18508000,-26541000,-1875000.00000001,236000,344000,-108000,-7022000,6013000,6013000,-345000,5668000,37334000,285144000,51759000,0.4974,0.14524,0.07005,0.03905,0.01529,4.04557,1.37348,1.5538,0.34076,0.41542,0.38658,5.93029,10.6391,1.6806,0.02807,0.07986,2.44016,3.4344
"21","2015_Q4",29.81234375,"Up",186960000,-92182000,94778000,-62911000,-34247000,-24941000,-3723000,31867000,-3078000,-2248000,-830000,28789000,-846000,27943000,-11196000,16747000,16747000,16747000,16747000,199770000,100165000,99605000,177347000,177347000,96894000,6107000,77943000,474011000,34840000,331855000,222086000,7453000,102316000,366695000,840706000,86007000,37859000,572000,47576000,7500000,97220000,44532000,52688000,190727000,277345000,38726000,9587000,14591000,14548000,316071000,506798000,488200000,-804437000,666582000,-16437000,333908000,333908000,840706000,16747000,10901000,5539000,-7353000,25834000,-7199000,-573000,-8734000,-1875000,-1726000,408000,-2134000,-8859000,8241000,8241000,-3021000,5220000,42768000,284845000,39412000,0.50694,0.17045,0.08958,0.05015,0.01992,2.35338,2.48529,1.51778,0.33882,0.54162,0.50311,6.04657,10.79909,1.27464,0.03395,0.05994,1.98922,2.66969
"22","2016_Q1",32.8716393442623,"Up",197288000,-95497000,101791000,-66469000,-37578000,-25383000,-3508000,35322000,-4829000,-2172000,-2657000,30493000,-1252000,29241000,-5573000,23668000,23668000,23668000,23668000,240936000,132631000,108305000,178854000,178854000,80301000,4038000,76263000,500091000,35992000,326648000,219724000,17462000,89462000,362640000,862731000,111961000,43392000,8962000,59607000,148868000,98581000,41907000,56674000,359410000,130262000,27214000,9828000,182000,17204000,157476000,516886000,503926000,-814437000,675431000,-19075000,345845000,345845000,862731000,23668000,10436000,-6416000,24925000,52613000,-3713000,-8863000,-12914000,-1875000,366999.999999996,399000,-32000.0000000019,-6924000,32775000,32775000,-309000,32466000,45758000,279130000,72543000,0.51595,0.17904,0.11997,0.06844,0.02743,3.06502,1.39142,1.49456,0.32354,0.76487,0.6955,6.37565,11.17648,2.34433,0.04461,0.11123,0.8347,1.08131
"23","2016_Q2",37.6353125,"Up",186226000,-89483000,96743000,-61193000,-34051000,-23626000,-3516000,35550000,-4986000,-2537000,-2449000,30564000,2530000,33094000,-11590000,21504000,21504000,21504000,21504000,385230000,289733000,95497000,181650000,181650000,72494000,4314000,68180000,639374000,34290000,314756000,216911000,12470000,85375000,349046000,988420000,79824000,28938000,7407000,43479000,114355000,99412000,46930000,52482000,293591000,442390000,29256000,9045000,4036000,16175000,471646000,765237000,375362000,-823963000,691050000,-19266000,223183000,223183000,988420000,21504000,9931000,5320000,-26081000,10674000,-6782000,15967000,18035000,155506000,-18634000,356000,-18990000,127063000,155772000,155772000,1330000,157102000,45481000,556745000,24208000,0.51949,0.1909,0.11547,0.09635,0.02176,1.12574,2.17777,3.42874,0.56327,0.69904,0.63863,6.05377,7.25515,0.78694,0.03464,0.02992,3.77114,4.82461
"24","2016_Q3",36.89375,"Down",190252000,-92783000,97469000,-62770000,-34980000,-24281000,-3509000,34699000,-6981000,-3950000,-3031000,27718000,-10433000,17285000,-6448000,10837000,10837000,10837000,10837000,286732000,135117000,151615000,178914000,178914000,73350000,6006000,67344000,538996000,32748000,304984000,209662000,12025000,83297000,337732000,876728000,84829000,26660000,260000,57909000,53603000,105541000,51616000,53925000,243973000,366072000,25404000,7940000,50000.0000000019,17414000,391476000,635449000,396806000,-823963000,695894000,-27458000,241279000,241279000,876728000,10837000,10134000,7909000,11211000,40091000,-6542000,-56244000,-62786000,-127623000,-145000.000000007,359000,-504000,-133528000,-156223000,-156223000,1607000,-154616000,44833000,419675000,55950000,0.51232,0.18238,0.05696,0.04491,0.01236,5.16287,2.20924,2.63367,0.47868,0.35024,0.33029,6.14867,7.79778,1.80822,0.02415,0.08152,2.96529,3.83132
"25","2016_Q4",38.0531746031746,"Up",189311000,-93420000,95891000,-59478000,-32508000,-23572000,-3398000,36413000,-6107000,-3691000,-2416000,30306000,-147000,30159000,-12265000,17894000,17894000,17894000,17894000,266138000,140221000,125917000,201610000,201610000,71266000,4012000,67254000,539014000,30618000,298486000,206887000,14239000,77360000,329104000,868118000,86523000,25348000,2234000,58941000,47123000,98965000,48959000,50006000,232611000,358271000,24965000,7726000,19000,17220000,383236000,615847000,397701000,-823963000,707950000,-29417000,252271000,252271000,868118000,17894000,10279000,3136000,-22568000,8741000,-4256000,25357000,21101000,-19165000,-2556000,405000,-2961000,-26599000,3243000,3243000,1861000,5104000,46692000,405394000,32133000,0.50653,0.19234,0.09452,0.07093,0.02061,1.79574,2.31723,2.44121,0.46698,0.57606,0.54824,6.09442,8.12127,1.03445,0.03509,0.04707,2.98244,3.82435
"26","2017_Q1",37.6383870967742,"Down",195169000,-99461000,95708000,-69325000,-38928000,-27204000,-3193000,26383000,-5905000,-3627000,-2278000,20478000,-1017000,19461000,-6814000,12647000,12647000,12647000,12647000,276498000,126351000,150147000,208930000,208930000,73145000,11931000,61214000,558573000,33116000,300190000,201094000,14218000,84878000,333306000,891879000,101281000,35118000,822000,65341000,49426000,101322000,45064000,56258000,252029000,366834000,21656000,6694000,99000.0000000002,14863000,388490000,640519000,391881000,-826002000,714846000,-29365000,251360000,251360000,891879000,12647000,10898000,5633000,-4497999.99999999,24680000,-4270000,-24222000,-28492000,-1894000,-2314000,427000,-2741000,-9885999.99999999,-13698000,-13698000,-172000,-13870000,37281000,416260000,35327000,0.49039,0.13518,0.0648,0.05031,0.01418,2.79331,2.2163,2.54821,0.46672,0.40659,0.38401,6.27452,8.08102,1.13573,0.02674,0.05125,3.74888,5.29743
