"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",80.43,"Up",491444000,-380426000,111018000,-77125000,-77125000,33893000,-2290000,-2324000,34000,31603000,31603000,-5215000,26388000,26388000,26388000,26388000,37334000,37334000,313568000,313568000,138447000,11532000,11532000,500881000,115441000,1151616000,1082815000,48437000,2235000,1267057000,1767938000,328918000,254384000,74534000,14358000,343276000,267355000,136512000,132840000,3672000,403867000,747143000,848874000,333503000,1020795000,1020795000,1767938000,26388000,5442000,3410000,-17675000,17565000,-11196000,70000,70000,-11266000,-11266000,-38139000,6941000,-5554000,1387000,-19187000,-19187000,-19187000,39335000,281713000,15679000,0.2259,0.06897,0.05369,0.02585,0.01493,0.59417,1.45912,0.73192,0.15935,0.75265,0.7367,14.01726,29.11573,0.44721,0.01834,0.0109,6.21276,7.21031
"12","2018_Q3",71.2193650793651,"Down",605968000,-460927000,145041000,-101361000,-101361000,43680000,-7240000,-7321000,81000,36440000,36440000,-9288000,27152000,27152000,27152000,27152000,65737000,65737000,396220000,396220000,158495000,23929000,23929000,644381000,159265000,1596970000,1362861000,210345000,6130000,1756235000,2400616000,392659000,283708000,108951000,20300000,412959000,765251000,171481000,168590000,2891000,936732000,1349691000,851852000,360655000,1050925000,1050925000,2400616000,27152000,9743000,5399000,-18466000,23828000,-15898000,357000,357000,-16255000,-16255000,-487982000,500092000,-7535000,492557000,28403000,28403000,28403000,53423000,785551000,28347000,0.23935,0.07208,0.04481,0.02584,0.01131,1.04401,1.5604,1.28429,0.32723,0.7735,0.75765,17.26274,29.93861,0.80755,0.01352,0.01412,13.47386,16.47926
"13","2018_Q4",48.6279365079365,"Down",647290000,-485424000,161866000,-95648000,-95648000,66218000,-9204000,-9381000,177000,57014000,57014000,-14356000,42658000,42658000,42658000,42658000,93463000,93463000,419706000,419706000,161875000,24074000,24074000,699118000,166748000,1590960000,1362747000,205103000,5476000,1757708000,2456826000,417181000,300938000,116243000,23442000,440623000,760792000,169376000,167508000,1868000,930168000,1370791000,853797000,403313000,1086035000,1086035000,2456826000,42658000,11948000,3707000,-3673000,54640000,-14783000,75000,75000,-14858000,-14858000,-16391000,-26000,-1004000,-10523000,27726000,27726000,27726000,78166000,784234000,74066000,0.25007,0.1023,0.0659,0.03928,0.01736,1.73627,1.58666,1.2622,0.31921,1.21562,1.19191,18.44578,30.94866,2.11065,0.02091,0.03631,8.83723,10.43177
"14","2019_Q1",56.2816393442623,"Up",639547000,-481320000,158227000,-93065000,-93065000,65162000,-9395000,-9661000,266000,55767000,55767000,-17213000,38554000,38554000,38554000,38554000,100929000,100929000,407106000,407106000,168977000,27685000,27685000,704697000,167961000,1581873000,1364016000,199387000,5294000,1749834000,2454531000,417408000,313172000,104236000,26852000,444260000,760056000,178117000,176212000,1905000,938173000,1382433000,846838000,441867000,1072098000,1072098000,2454531000,38554000,12286000,19569000,730000.000000002,71139000,-9778000,347000,347000,-10125000,-10125000,-9306999.99999994,1197999.99999994,-32000,-54366000,7466000,7466000,7466000,77448000,786908000,85613000,0.2474,0.10189,0.06028,0.03596,0.01571,2.2206,1.58623,1.28947,0.32059,1.11974,1.10132,18.57464,31.13741,2.4865,0.01893,0.04203,8.85728,10.52729
"15","2019_Q2",76.4933333333333,"Up",619330000,-463635000,155695000,-99077000,-99077000,56618000,-9269000,-9602000,333000,47349000,47349000,-9366000,37983000,37983000,37983000,37983000,98278000,98278000,428713000,428713000,160689000,16494000,16494000,704174000,169891000,1668762000,1363292000,194214000,99381000,1838653000,2542827000,384758000,281346000,103412000,29091000,451350000,753107000,235517000,174227000,61290000,988624000,1439974000,854232000,479850000,1102853000,1102853000,2542827000,37983000,12475000,7395000,-34331000,23522000,-10138000,75000,75000,-10213000,-10213000,-10122000,-5601000,-5828000,-16051000,-2651000,-2651000,-2651000,69093000,782198000,33990000,0.25139,0.09142,0.06133,0.03444,0.01494,0.89487,1.56015,1.30568,0.30761,1.11161,1.09451,18.12533,32.27612,0.99475,0.01791,0.01603,9.89854,12.07955
"16","2019_Q3",88.32515625,"Up",660112000,-485189000,174923000,-98883000,-98883000,76040000,-9105000,-9630000,525000,66935000,66935000,-14883000,52052000,52052000,52052000,52052000,141767000,141767000,444823000,444823000,150282000,11416000,11416000,748288000,172719000,1660116000,1363738000,189041000,95304000,1832835000,2581123000,389267000,288985000,100282000,32261000,458055000,749482000,231940000,174269000,57671000,981422000,1439477000,855852000,531901000,1141646000,1141646000,2581123000,52052000,13063000,7379000,247999.999999993,72742000,-9883000,1886000,1886000,-11769000,-11769000,-9877000,-765000,-3734000,-19376000,43489000,43489000,43489000,89103000,781743000,94351000,0.26499,0.11519,0.07885,0.04559,0.02017,1.81263,1.63362,1.26088,0.30287,1.53205,1.50627,19.42917,33.60222,2.77705,0.02415,0.04378,7.18243,8.41631
"17","2019_Q4",104.03609375,"Up",682329000,-502998000,179331000,-98886000,-98886000,80445000,-8854000,-9508000,654000,71591000,71591000,-16615000,54976000,54976000,54976000,54976000,171591000,171591000,454640000,454640000,146702000,16457000,16457000,789390000,175274000,1659458000,1367918000,185844000,93938000,1834732000,2624122000,412411000,300125000,112286000,33262000,482533000,746360000,230022000,173493000,56529000,976382000,1458915000,857114000,586877000,1165207000,1165207000,2624122000,54976000,13467000,6705000,11367000,86515000,-11840000,278000,278000,-12118000,-12118000,-18289000,-3060000,-2664000,-38402000,29824000,29824000,29824000,93912000,779622000,110054000,0.26282,0.1179,0.08057,0.04718,0.02095,2.00186,1.63593,1.25207,0.2971,1.6271,1.59978,20.19456,34.48606,3.25721,0.02528,0.0506,6.47448,7.55834
"18","2020_Q1",102.087258064516,"Down",662350000,-491032000,171318000,-94898000,-94898000,76420000,-8517000,-9083000,566000,67903000,67903000,-21919000,45984000,45984000,45984000,45984000,184807000,184807000,428844000,428844000,149078000,17098000,17098000,779827000,178080000,1646056000,1367918000,181122000,92757000,1824136000,2603963000,406388000,307970000,98418000,34272000,476754000,743560000,230760000,175263000,55497000,974320000,1451074000,850045000,632862000,1152889000,1152889000,2603963000,45984000,13695000,13711000,15608000,88998000,-11354000,81999.9999999998,81999.9999999998,-11436000,-11436000,-11854000,-3378000,-1816000,-63928000,13216000,13216000,13216000,90115000,777832000,116288000,0.25865,0.11538,0.06943,0.03989,0.01766,2.52888,1.6357,1.25864,0.29871,1.38123,1.35721,19.89516,34.62959,3.49297,0.02127,0.0538,6.58076,7.76008
"19","2020_Q2",99.8655555555556,"Down",653228000,-481272000,171956000,-101967000,-101967000,69989000,-8270000,-8742000,472000,61719000,61486000,-10715000,50771000,50771000,50771000,50771000,187039000,187039000,431649000,431649000,152721000,10918000,10918000,782327000,185575000,1663938000,1379831000,182229000,97519000,1849513000,2631840000,412941000,305614000,107327000,23091000,471083000,750678000,230262000,174230000,56032000,980940000,1452023000,851054000,680408000,1179817000,1179817000,2631840000,50771000,14190000,7012000,957000,72930000,-15698000,194000,194000,-15892000,-15892000,-36224000,-7668000,-12679000,-34474000,2232000,2232000,2232000,84179000,773769000,80153000,0.26324,0.10714,0.07772,0.04303,0.01929,1.57872,1.6607,1.23072,0.294,1.5307,1.51105,19.69426,35.57046,2.41654,0.02325,0.0367,6.97003,8.38317
"20","2020_Q3",143.6159375,"Up",646099000,-468044000,178055000,-97601000,-97601000,80454000,-8187000,-8276000,89000,72267000,72267000,-16770000,55497000,55497000,55497000,55497000,258837000,258837000,4.23e+08,4.23e+08,147304000,7962000,7962000,837103000,176179000,1657297000,1379821000,176871000,96247000,1833476000,2670579000,413913000,293224000,120689000,23168000,471525000,744928000,236474000,174229000,62245000,981402000,1452927000,853418000,735904000,1217652000,1217652000,2670579000,55497000,19121000,8326000,22288000,105232000,-4476000,569000,569000,-5045000,-5045000,-4476000,-5739000,-3194000,-28958000,71798000,71798000,71798000,99575000,768096000,134157000,0.27558,0.12452,0.0859,0.04558,0.02078,2.41737,1.77531,1.19322,0.28761,1.68849,1.67147,19.65748,37.04691,4.08171,0.02497,0.06037,5.11433,6.32982
"21","2020_Q4",176.92546875,"Up",697224000,-498894000,198330000,-96804000,-96804000,101526000,-7606000,-7693000,87000,93920000,93920000,-23922000,69998000,69998000,69998000,69998000,315338000,315338000,436548000,436548000,142517000,32101000,32101000,926504000,172099000,1649198000,1379721000,172390000,92690000,1821297000,2747801000,429152000,311696000,117456000,23247000,485146000,738797000,242264000,173597000,68667000,981061000,1466207000,856361000,805900000,1281594000,1281594000,2747801000,69998000,14216000,5271000,-11924000,77561000,-4700000,1569000,1569000,-6269000,-6269000,-5624000,-5761000,-2116000,-15436000,56501000,56501000,56501000,115742000,762044000,123040000,0.28446,0.14561,0.1004,0.05462,0.02547,1.75776,1.90974,1.14405,0.27733,2.13106,2.10777,21.22666,39.01754,3.7459,0.03062,0.05383,3.8595,4.39992
"22","2021_Q1",203.215081967213,"Up",721487000,-523467000,198020000,-94943000,-94943000,103077000,-7660000,-7745000,85000,95417000,95417000,-24660000,70757000,70757000,70757000,70757000,330007000,330007000,427340000,427340000,161369000,17689000,17689000,936405000,180053000,1698825000,1410685000,190605000,94807000,1878878000,2815283000,439659000,331710000,107949000,23326000,496477000,734053000,235959000,168568000,67391000,970012000,1466489000,858803000,876660000,1348794000,1348794000,2815283000,70757000,14883000,490999.999999998,16030000,102161000,-13601000,131000,131000,-13732000,-13732000,-75559000,-5780000,-151000.000000001,-11933000,14669000,14669000,14669000,117960000,757379000,145049000,0.27446,0.14287,0.09807,0.05246,0.02513,2.04996,1.8861,1.08726,0.26902,2.15795,2.13199,22.00395,41.13559,4.42371,0.03021,0.06193,3.62302,4.14614
"23","2021_Q2",207.167301587302,"Up",742798000,-545039000,197759000,-101872000,-101872000,95887000,-6526000,-6603000,77000,89361000,75499000,-15657000,59842000,59842000,59842000,59842000,319619000,319619000,462848000,462848000,163988000,14255000,14255000,960710000,187033000,1744359000,1430913000,205513000,105166000,1931392000,2892102000,455759000,330813000,124946000,23406000,514284000,736690000,244765000,168424000,76341000,981455000,1495739000,856386000,936502000,1396363000,1396363000,2892102000,59842000,15519000,19686000,-5625000,89422000,-12228000,56000,56000,-12284000,-12284000,-73320000,-4606000,-17980000,-26490000,-10388000,-10388000,-10388000,111406000,760096000,109210000,0.26624,0.12909,0.08056,0.04286,0.02069,1.82497,1.86805,1.07117,0.26282,1.82298,1.80233,22.62799,42.53766,3.32688,0.02492,0.04548,3.9538,4.59371
"24","2021_Q3",210.0821875,"Up",834255000,-591075000,243180000,-114895000,-114895000,128285000,-6037000,-6104000,67000,122248000,122248000,-31868000,90380000,90380000,90380000,90380000,261739000,261739000,491625000,491625000,178576000,20523000,20523000,952463000,199982000,1846273000,1494200000,237573000,111771000,2046255000,2998718000,483087000,356570000,126517000,23476000,543236000,730455000,250211000,168091000,82120000,980666000,1523902000,858641000,1026882000,1474816000,1474816000,2998718000,90380000,17702000,6410000,-1711000,112781000,-16139000,137000,137000,-16276000,-16276000,-150458000,-5860000.00000001,-161000,-20203000,-57880000,-57880000,-57880000,145987000,753931000,160005000,0.29149,0.15377,0.10834,0.06128,0.03014,1.77036,1.75331,1.03328,0.25142,2.75326,2.72208,25.41406,44.92758,4.87426,0.03646,0.06455,3.37148,3.83671
"25","2021_Q4",255.90875,"Up",845757000,-595466000,250291000,-116485000,-116485000,133806000,-5437000,-5503000,66000,128369000,128369000,-32934000,95435000,95435000,95435000,95435000,327906000,327906000,516941000,516941000,202018000,21240000,21240000,1068105000,203530000,1849053000,1496737000,234872000,114693000,2052583000,3120688000,524193000,382932000,141261000,23557000,584798000,723342000,250837000,166240000,84597000,974179000,1558977000,861619000,1122317000,1561711000,1561711000,3120688000,95436000,17784000,5785000,-11703000,107302000,-13655000,140823.989291872,140823.989291872,-19232590.7172595,-19232590.7172595,-23272000,-5847000,-498000,-17863000,66167000,66167000,66167000,151590000,746899000,159166000,0.29594,0.15821,0.11284,0.06111,0.03058,1.66779,1.82645,0.99825,0.23934,2.91286,2.88422,25.81415,47.66646,4.85806,0.03729,0.06219,2.76399,3.13135
"26","2022_Q1",223.935161290323,"Down",1063397000,-780238000,283159000,-164718000,-164718000,118441000,-11139000,-10933000,-206000,107302000,107327000,-28968000,78359000,78359000,78359000,78359000,139779000,139779000,668419000,668419000,352801000,26692000,26692000,1187691000,244574000,2826265000,1949763000,684209000,192293000,3070839000,4258530000,637808000,461917000,175891000,95618000,733426000,1506358000,382312000,248243000,134069000,1888670000,2622096000,873422000,1200676000,1636434000,1636434000,4258530000,78358000,28385000,4042000,-17265000,93520000,-13109000,179878.902276646,179878.902276646,-19418485.0018924,-19418485.0018924,-1075195000,801993000,-5781000,793563000,-188112000,-188112000,-188127000,146826000,1601976000,145420000,0.26628,0.11138,0.07369,0.04788,0.0184,1.85582,1.61937,1.60232,0.37618,2.39167,2.36815,32.45695,49.94715,4.4385,0.02164,0.04016,9.95871,12.34536
"27","2022_Q2",183.005161290323,"Down",1168918000,-837717000,331201000,-167247000,-167247000,163954000,-11282000,-11966000,684000,152672000,152672000,-37961000,114711000,114711000,114711000,114711000,126553000,126553000,735452000,735452000,390061000,29102000,29102000,1281168000,248438000,2831957000,1964297000,669797000,197863000,3080395000,4361563000,681295000,473918000,207377000,38723000,777921000,1498584000,387818000,245674000,142144000,1886402000,2664323000,877957000,1315387000,1697240000,1697240000,4361563000,114711000,30499000,7290000,-63017000,89483000,-18160000,253000,253000,-18413000,-18413000,-32127000,-9634000,-11681000,-70507000,-13151000,-13151000,-13226000,194453000,1537307000,151237000,0.28334,0.14026,0.09813,0.06759,0.0263,1.31842,1.64691,1.5698,0.35247,3.50223,3.46379,35.6881,51.81824,4.6174,0.03167,0.04175,7.25499,8.60457
"28","2022_Q3",184.905,"Up",1274285000,-890188000,384097000,-176876000,-176876000,207221000,-13687000,-13409000,-278000,193534000,193534000,-49835000,143699000,143699000,143699000,143699000,123869000,123869000,773744000,773744000,431098000,25835000,25835000,1354546000,250051000,2816387000,1968603000,653458000,194326000,3066438000,4420984000,705535000,508227000,197308000,38162000,801693000,1497907000,378721000,245687000,133034000,1876628000,2678321000,861935000,1459084000,1742663000,1742663000,4420984000,143699000,30122000,11737000,-57344000,128214000,-17256000,365000,365000,-17621000,-17621000,-22035000,-9653000,-21000,-109080000,-2900999.99999997,-2900999.99999997,-2684000,237343000,1536069000,212578000,0.30142,0.16262,0.11277,0.08246,0.0325,1.47933,1.68961,1.53691,0.34745,4.43443,4.40599,39.32336,53.77711,6.55998,0.03929,0.05812,5.95004,6.81495
